0.00098095+0.00013237i,0.0016235-0.0016537i,0.0013868-0.0037934i,0.0003326-0.0039908i,-0.0017273-0.0028022i,-0.0033533-0.00088865i,-0.0021355+0.001032i,0.0001813+0.00038008i,0.0011362-0.00045522i,0.00090928-0.00075172i,0.00070799-0.00055416i,9.7683e-05+5.2938e-05i,-0.00044118-1.6077e-05i,-0.00051602+0.0001273i,8.932e-05+0.00015743i,0.00015894+0.00048498i,0.00046933+0.00078751i,0.00081077+0.00013675i,0.00020102-0.00040979i,-0.00036936-0.00032587i,-0.00067459-0.00083772i,-0.00083935-0.0016211i,-0.00089797-0.0014904i
-0.0011826-0.0011812i,-0.0013699-0.0010923i,-0.00075704+0.00023547i,-0.00049709+0.001425i,-0.0001014+0.0011864i,0.00068586+0.0010498i,0.00044521+0.001221i,0.00026235+0.0008654i,6.2503e-05+0.00051334i,-0.00015045+6.1119e-05i,9.7528e-05-0.00094985i,0.00041034-0.0013209i,0.00011105-0.00065651i,-0.00034018-0.00041947i,-0.00015842-0.0002669i,-0.00042114-0.00079171i,-0.00064214-0.0013953i,-4.0217e-05-0.0012903i,3.3961e-05-0.0011427i,-0.00013529-0.00085847i,0.00027153-0.00065329i,0.00056598-0.00025791i,0.00021089-3.3236e-05i
0.0013012+0.00018601i,0.00017908+0.00099643i,-0.00058016-0.00053243i,-0.00059633-0.0021325i,-0.00020281-0.0022801i,4.9422e-05-0.0010204i,0.00014183+7.6142e-05i,0.00040046-0.00013061i,-8.5199e-05-0.00089315i,-0.0004096-0.0010492i,-0.00014298-0.001064i,-0.00020652-0.00053596i,-0.00030145+5.6199e-05i,4.8138e-05+0.00047927i,0.00021892+0.00027001i,-0.00025745-0.00019062i,-0.00028141+0.00056986i,0.00064721+0.00072468i,0.0010361+8.7887e-05i,0.00045571-0.00010423i,-1.3705e-05+0.00020686i,-0.00049314+0.00021357i,-0.0001145-0.00043832i
4.3886e-05+0.0021117i,0.0004093+0.0013733i,0.0010072+0.0004416i,0.00071984-0.00051653i,0.00029057-0.00076988i,-0.00013949-0.00021955i,-0.00055483+8.907e-05i,-0.00010831+0.00044871i,-0.00030497+0.00035758i,-0.00032392-7.4997e-05i,7.5102e-06-0.00054366i,-0.00022042-0.00063764i,-0.00064348-0.00035483i,-0.0007237+0.00011606i,-0.00029887+0.00055953i,0.00057429+0.00074277i,0.00061501+0.0010904i,0.00012542+0.00072868i,-9.3753e-05+8.8735e-05i,-0.00016218+0.00031656i,-0.00065531+0.0002134i,-0.0011029-0.00017421i,-0.00099557-1.9863e-05i
0.0010463-0.0023805i,-0.00014485-0.0015098i,-0.00093967-0.0015999i,-0.00097629-0.00221i,-0.0011054-0.0017346i,-0.00099079-0.00015788i,0.00024485+0.0012196i,0.00057801+0.00090055i,-0.00031547-0.00068146i,-0.00085429-0.00079347i,-0.00091391+0.00027694i,-0.00086975+0.00095848i,-0.00041293+0.00078343i,-0.00049229+7.0137e-05i,-0.00074264-0.00022823i,-0.0003599-0.00028718i,-0.00025369-0.00051277i,-1.7724e-05-0.00065925i,0.00070116-0.00081219i,0.00081489-0.00060249i,9.8143e-05+4.5924e-06i,-0.00077155+0.00025042i,-0.00066917+0.00050378i
0.0010409+0.00028441i,0.0012721-0.0009669i,0.0012853-0.0014582i,0.0013283-0.0010175i,0.0011243-0.00039203i,0.00057572+0.00026048i,0.00041109-0.00023482i,0.00081636-0.00033591i,0.00049791+2.175e-06i,-0.00025195-9.3168e-07i,-0.00042441+0.00033587i,-0.00030783-0.00044343i,-0.00059897-0.0005821i,-0.00078544-0.00011675i,-0.00049131+0.00074961i,-8.3446e-05+0.001083i,3.8975e-05+0.00028063i,-0.0004072-0.00064572i,-0.0001002-0.0010209i,0.00024137-0.00057067i,-3.1609e-05-2.9102e-05i,-0.00011373+0.00037911i,-9.8531e-05+0.00043334i
0.00091722-0.00062011i,-0.0002172-0.00061489i,-0.00096551-0.0013126i,-0.00066195-0.00099598i,-0.0006546-0.00070038i,-0.00095678-0.00053324i,-0.0003218+0.00052188i,5.4838e-05-0.00018951i,0.00027389-0.0014828i,0.0007495-0.001503i,0.00042406-0.0010583i,-0.00025647-0.0011471i,-0.00054675-0.0010963i,-0.00032805-0.0002945i,-0.00011266+0.00021312i,-0.00029233-0.00016902i,-0.00045701+0.000122i,-0.00048384+0.00015015i,0.0003772+8.9414e-05i,0.001108+9.8729e-05i,0.00054305-0.00022094i,-0.00022596-0.00030937i,0.00013505-0.00035315i
0.0003633-0.00091805i,-0.00023717-0.0009084i,0.00030468-0.001477i,0.00062672-0.0020648i,3.3532e-05-0.0015331i,-0.00013995+0.00028494i,0.00028798+0.0014119i,0.00046211+0.00035255i,-0.00031103-0.00051527i,-0.00082466-0.00059704i,-0.00013479-0.00030809i,0.00033007+0.0002776i,7.6122e-05-0.00023351i,-0.00040923-0.00057816i,-0.0005787-0.00036717i,0.00026727-0.00014457i,0.00080733-0.00014233i,-0.00019933+5.2581e-05i,-0.00049171+1.5719e-05i,0.00039057-9.6209e-05i,0.00043617+9.7076e-05i,-0.00036687+0.00015687i,-0.00044242+3.9395e-05i
-0.0011668-0.00037158i,-0.0006083-0.00041303i,-0.0010297+0.00038085i,-0.0018558+0.00070241i,-0.0017628+0.00026342i,-0.00064972+0.00010178i,0.00048673-0.0001839i,0.00061613-0.00049478i,-0.00053255-0.00051009i,-0.00082353-0.00030377i,-0.00036761+5.5673e-05i,-0.00046159-0.00045189i,0.00014155-0.001691i,0.00072091-0.0018404i,0.00058999-0.00099611i,6.0724e-05-0.00029998i,-0.00036003-0.00016958i,-0.00047128+2.6978e-05i,2.4119e-05-0.00031579i,0.00030032-0.00043126i,-6.7116e-05-0.00040988i,0.00018435-0.0005607i,-0.00023749-0.00078367i
-0.0015047+0.0010963i,-0.0012295+0.001133i,-0.0012621+0.00071596i,-0.00068981+0.00035536i,0.00089164-0.00015836i,0.0011128-0.0004725i,-0.00056821-0.00035661i,-0.00088015-1.8393e-05i,5.09e-05-0.00054803i,0.00024624-0.0009104i,-3.6553e-05-0.00046519i,3.1113e-06+0.00029373i,-0.00064127+0.00031197i,-0.00051869-0.00014909i,-0.00031351-0.00044303i,-0.00021927+2.8612e-05i,2.9825e-06+0.000215i,-0.000272-5.3645e-05i,-0.00041403+0.00027169i,-0.00034279+0.00030654i,-0.00065685-4.967e-05i,-0.00092154-0.00011135i,-0.00049676-0.00016703i
-0.0011243-0.00064746i,-0.00022543-0.00068211i,-0.00059311-0.001175i,-0.00094272-0.00037018i,-0.00019923+0.00021334i,0.00024071+0.00043427i,0.00029228+0.0002495i,0.00061732-0.00069673i,7.5061e-05-0.00050526i,-0.00052829-0.00014922i,-0.00048769+0.00020154i,-0.0003879+0.0010685i,-0.00017017+0.0010566i,0.00024695+0.00035558i,-0.00036255-0.0002107i,-0.00080864-0.00077535i,3.2071e-05-0.00080057i,0.00032153-0.0001529i,0.00012398+0.0005176i,0.00026646+0.00049033i,0.00013649+0.00040481i,-0.00024712+0.00042394i,-0.0010759+0.00035648i
-0.00015066-0.0013102i,-0.00060446-0.00045361i,-0.0012488-0.00074719i,4.5891e-05-0.00090976i,0.00085659-9.282e-05i,-0.00065336+0.00071803i,-0.0012364+0.00064696i,-0.00081617+0.00020946i,-0.00047152-6.3531e-05i,-0.00019598+8.3595e-05i,-0.00057784-8.2838e-05i,-0.00099621-0.00082573i,-0.0001455-0.00069206i,0.00045124-0.00055814i,0.00026813-0.00033792i,-0.00020299+0.0003697i,-0.0005944+0.0002213i,-0.00034934+5.0116e-05i,-0.00016924+0.00046861i,0.00048251+0.00040992i,0.00053146+0.00022756i,-0.00035414-0.00025841i,-0.00037331-0.00076576i
0.00079937+0.0014274i,-0.00033527-3.012e-05i,-0.00033-0.0020243i,0.00033959-0.0030725i,0.0006485-0.0022376i,-0.00016751-0.00028669i,1.3071e-05+0.0010827i,0.0010659+0.00061085i,0.00076596-0.00056203i,0.00027062-0.0010677i,-0.0002014-0.00061471i,-0.00058253+0.00030287i,-0.00046598+0.00013588i,-0.00037188-0.00051772i,-0.00023952-0.0010016i,5.985e-05-0.00038677i,0.00011129+0.00025195i,9.4817e-05+0.00037336i,-0.00018227+0.0001114i,-0.0010419-0.00041947i,-0.0013169-0.00083485i,-0.00086051-0.00063346i,-0.00059891-3.7688e-05i
