-0.0017477+0.0015312i,-0.00015554+0.00056214i,-0.00020457-0.00058604i,0.00016326-0.0010037i,-0.00054933+0.00018084i,-0.0020438+0.0011172i,-0.0022711+0.0020364i,-0.00098473+0.0025008i,0.00026145+0.0015291i,0.00073742+0.00065518i,0.0018207-7.7922e-05i,0.002093-0.00023158i,0.00087746-8.3879e-05i,0.00015581+6.6835e-05i,-0.00056737+4.8695e-05i,-0.00050968-0.00027492i,0.00014817-0.00035347i,9.2829e-05-0.00041878i,0.00034597+0.00013752i,0.00088472+0.00059053i,0.0007514+0.0006914i,9.8853e-05+0.00040664i,0.00017704+0.0002477i
0.0012096+0.00089298i,0.00066226+0.0001816i,-6.5505e-05-0.00099659i,-0.00057744-0.0018717i,-0.00030203-0.0018162i,-0.00066589-0.0015251i,-0.0015046-0.00074875i,-0.00099266-0.00016132i,-2.9205e-05-0.00018476i,0.00053257+0.00023248i,0.00040865+0.00037325i,0.00017746+0.00033476i,0.0004508+0.00043757i,0.000877+0.00026768i,0.00074121-7.7218e-05i,0.00020334-0.00020334i,4.9491e-05-0.00019618i,0.00031511-8.4341e-06i,0.0001508+0.00052196i,-0.00032627+0.0012017i,-0.00096635+0.00073956i,-0.0010428-0.00034549i,-0.00044517-0.00096821i
0.00035025+0.00084674i,-0.00031772+0.00023203i,-0.00033913-0.0012676i,0.00062184-0.0017782i,0.00015137-0.00086425i,-0.00064299-0.00020727i,-0.00093283-0.00031445i,-0.00073297-2.0582e-05i,-1.3857e-05+0.00017313i,9.8697e-05-0.0002455i,-3.5584e-05-0.00060945i,0.00019278-0.0010832i,-0.00022315-0.0010688i,-0.0002153-0.00097518i,0.00050887-0.00049174i,0.00028731-0.00019435i,-0.00048879-0.00024971i,-0.00039351-8.0864e-05i,0.00036677+0.00013493i,0.00061697-0.00015609i,0.00015235-0.00074958i,-0.00015238-0.00061031i,-8.5039e-05-0.00019586i
-0.00185-0.0018075i,-0.0017558-0.0010958i,-0.0012652-0.00048629i,-0.00032271-0.00049973i,6.2421e-05-0.00083644i,-0.00038925-0.0011122i,-0.00014278-4.6773e-05i,9.4219e-05+0.00062219i,0.00020526-9.7371e-05i,0.00046833+0.0002139i,0.00042497+0.00056311i,0.00063273+0.00022386i,0.00030937+0.00043389i,-0.00081816+0.00070089i,-0.00039903+7.892e-05i,0.00068536-0.000156i,0.00088738+0.0002365i,0.00084184-0.00026196i,0.00050043-0.00046622i,0.00030417-0.00036903i,0.00039776-0.00099231i,0.00026418-0.00069433i,0.00029576-7.9638e-05i
0.0013666+0.00041238i,0.0016824+0.00067457i,0.00034849+0.0012061i,-0.00085389+0.00015569i,-0.0005259-0.00057988i,-0.00098202-0.00040808i,-0.001954-0.00080829i,-0.0013766-0.00087687i,-0.00051932-0.00031831i,-4.5088e-05+2.8953e-05i,0.00010613+4.0879e-06i,-0.00032026-0.00032612i,0.0003259-0.00039295i,0.00090334+9.6197e-05i,0.00083072+3.9536e-05i,0.0011336-2.3823e-06i,0.00046922+0.00050611i,-0.00030589+0.0010438i,-8.9e-05+0.00047131i,-0.00050489-0.00020496i,-0.00075548-0.00027801i,-2.7588e-05-0.00019383i,0.00081419-0.00032509i
0.0013984-0.0024807i,0.00075394-0.0024409i,0.00023108-0.0025158i,0.00013169-0.0023548i,-0.00041327-0.0018196i,-0.00071117-0.00041624i,-0.00017678+0.0010749i,-0.00010778+0.00077411i,0.00039553-0.00043632i,0.0007112-0.0005599i,0.00052541+5.3226e-05i,0.00034813-0.00028045i,0.00081919-0.00072515i,0.00082842-0.00045684i,0.00050369-7.5847e-05i,0.00034194-6.0172e-05i,-0.00030046-0.00017521i,-0.00024901-0.0007652i,-4.8051e-05-0.00069047i,-0.00032624+0.00018296i,-0.00057617-5.5891e-05i,-0.00010435-0.00015874i,0.00060351+0.00048474i
-0.0015419+0.0010666i,-0.0001424+0.00095054i,0.00080019+0.00046535i,0.00033398+0.00024578i,0.00018305+0.00090129i,-0.00068211+0.00080434i,-0.0011207+0.00057513i,-0.00082548+0.00092517i,-0.0013333+0.00030612i,-0.00018539-0.00056879i,0.0014449-0.00022499i,0.0015279-9.6558e-05i,0.00050553-2.9769e-05i,-0.00038491-0.00011988i,-0.00037651-0.00041968i,-1.821e-05-0.00078653i,-0.00012713-0.0012043i,-0.00016087-0.00054333i,-0.00022704-0.00013969i,-0.00033154-0.00090577i,-7.7229e-05-0.0006096i,-0.00015215-0.00031466i,0.0001411-0.0003325i
0.00039202-0.00038362i,-0.0014065-0.00029525i,-0.0020325-0.00059675i,-0.0012741-0.001026i,-0.00078733-0.0015878i,-0.00075194-0.0012685i,-0.00090937-0.00014387i,-0.0005418+0.00052979i,0.00067524+0.0003462i,0.00054078+0.00010181i,-0.00046444+0.00056689i,-0.00011826+0.0013363i,3.1602e-05+0.001142i,1.4003e-05+0.00054674i,0.00066422+6.5852e-06i,0.00021645-0.00045038i,4.3339e-05+0.00023374i,0.00037529+0.00056032i,7.7855e-05+0.00023012i,-0.0001588-0.00024251i,-0.00039737-0.00037703i,-0.0004049+0.00041769i,0.00022855+0.00068706i
7.6227e-05-0.0013323i,0.00078653-0.0017687i,0.00051103-0.001792i,9.8471e-05-0.0019152i,-0.00056487-0.0018058i,-0.0017042-0.0010198i,-0.0016633-0.00055184i,-0.0013613-0.00075547i,-0.00064469-0.00074556i,-0.00012581-0.00033586i,-7.4525e-06-0.00053231i,0.00032075-0.00066956i,7.6515e-05-0.00040726i,-3.8036e-05-8.6837e-05i,-0.00020817+0.0003675i,-0.00027364+0.00086226i,0.00020135+0.00063441i,0.00073308-8.9825e-05i,0.00061384+6.3203e-05i,0.00012991+0.00056076i,-0.00020582+0.00016322i,-0.00027696-0.00044669i,-0.00040746-0.00041257i
0.0008952+0.00056632i,0.00032395+0.00032928i,-0.00012058-0.00015507i,-0.00026667-0.00013323i,-0.00038273-0.00029338i,-0.00024169-0.0011311i,-0.00015306-0.0014899i,-0.00062047-0.0011016i,-0.00062211-0.00059424i,-0.00034786-0.00045436i,-0.00084506-0.00060726i,-0.00025165-0.00021966i,0.0011361+0.00018868i,0.00098612+1.1558e-05i,0.00065717-0.00083665i,0.0010279-0.00054294i,0.001233+0.00054104i,0.00054083+0.00022163i,-0.00022362-0.0001384i,0.00020948-0.00024579i,0.00033642-0.00030388i,-0.00061958-0.00024365i,-0.00062248+0.00027269i
0.0011986-0.00027168i,0.0014675-0.0010813i,0.00040401-0.0023229i,-0.0013645-0.0025384i,-0.002292-0.0014628i,-0.0016985-0.00050311i,-0.00043917+0.00045934i,-0.00021747+0.00065129i,-0.00055044+1.7998e-05i,-0.00087922-0.00034743i,-0.00070132-0.00076229i,3.7396e-05-0.00023222i,-0.00035771+6.082e-05i,-0.00059008-0.00027773i,0.00018669-0.0005395i,0.00079224-0.00073879i,0.00054442-0.00034461i,0.0004417-2.887e-05i,7.5035e-05-0.00091091i,-0.00016567-0.00064006i,-0.00059138+0.00040528i,-0.0010203+0.00021445i,-0.00026325-5.9356e-05i
0.00063734+0.00088312i,0.00055685+0.0008073i,0.00032618+3.2794e-06i,-2.0254e-05-0.00027638i,-0.00050874-0.00089886i,-0.0010452-0.001793i,-0.0016737-0.00088105i,-0.00098448-6.5167e-05i,-0.00029283+0.00012127i,-0.00038032-4.6706e-05i,-2.8518e-05-6.2929e-05i,-1.6991e-05+0.0005843i,-0.00065218+0.00063853i,-0.00068062-0.00023999i,8.9922e-05-0.00040757i,0.000284-0.00050465i,-0.00017925-0.0013172i,-0.00047964-0.0014663i,-0.00052224-0.00087067i,-0.00087285-4.8969e-05i,-0.00045745+0.0003696i,3.7575e-05-0.00014253i,-0.00035978-0.00015619i
-0.0014372-0.0012781i,-0.0008992+0.00028345i,-0.00044268+0.00096903i,0.0005418-3.5798e-05i,0.00058047+0.00026938i,-0.00070755+0.0006197i,-0.0015651-0.00040558i,-0.00081542-0.00082362i,-0.00056903-0.00064734i,-0.00056688-0.00022214i,0.00054954-0.0001838i,0.00076274-0.00052i,0.00020056+0.00023369i,0.00041223+0.00092415i,0.00085594+0.00077661i,0.00088425+2.086e-05i,0.00083492-0.00033287i,0.00056425-0.00018708i,0.00043976-0.00015729i,0.00084114+0.00061073i,0.0008288+0.0011161i,0.00032441+0.00016603i,0.00019328+8.9011e-05i
0.0016107+0.0013368i,0.0021861+0.0011721i,0.00071585+0.0004469i,-0.0002145-0.00041936i,-0.00050608-0.0008034i,-0.0004959-0.00017461i,-0.00066621+0.00048951i,-0.00081999+0.00056005i,-0.00021986+0.00030716i,7.1291e-05-0.00022029i,-0.0003071-0.00044632i,-0.00057418-0.0005446i,-0.00025134-0.00011775i,-0.00021086+0.00055492i,-0.00044497+0.0004549i,2.4876e-05+0.00027066i,0.00028148+0.00019934i,0.00062842-5.0738e-05i,0.0012477-3.3325e-05i,0.00020352-0.00039122i,0.00032623-0.0007069i,0.0010367-0.00050797i,0.000421+0.00059102i
-0.0016602-0.00042512i,-0.00074295-0.00062428i,-0.00082536-0.0021i,-0.00092166-0.0023554i,-0.0010307-0.0013442i,-0.0011413-0.000827i,-0.00099168-0.00058884i,0.00017628-0.0001445i,0.0011026-0.000173i,0.00066713-7.5564e-05i,-0.00013822+0.00025866i,-0.00080183+0.00037742i,3.4501e-05+0.0002505i,0.00095391+0.0004385i,0.00067801+0.00070961i,0.00020083+0.00082293i,-0.00029914+0.00048501i,-0.00055588-9.4739e-05i,-0.00035865+0.00028381i,-0.00028948+0.00039317i,-0.00033231-0.00037648i,0.00011847-0.00036648i,0.00062559-0.00036882i
-0.0006717+0.0011252i,-0.00083569+0.00025633i,-0.00064782-0.00048568i,-0.00014509-0.0013833i,0.00041359-0.0011348i,5.6641e-05-3.2339e-05i,-0.00085541+0.00013323i,-0.00064011+0.00050395i,0.00083887+0.00056323i,0.0010688+5.4935e-05i,0.00030262-0.00019164i,-1.5815e-05-0.00053382i,0.00022536-0.00054572i,0.00071129-0.0002066i,0.00045294+0.0001949i,-0.00010641-5.9926e-05i,-0.00035995-0.0001109i,0.00010791+0.00042123i,0.00057211+0.00031007i,-9.6915e-05+0.00024139i,-0.00018576-0.00012658i,0.00014865-0.00024327i,-8.7579e-05-0.00021706i
0.0012931-0.001197i,0.00070447-0.00060058i,-0.0001378-0.0016194i,-0.00076515-0.0014712i,-0.0012006+7.5695e-06i,-0.0014658+0.00055838i,-0.00079696+0.00013121i,-0.00074805+0.00013327i,-0.001263+0.00033897i,-0.0013051-0.00014778i,-0.0010254-0.00035006i,0.00010752+0.00022293i,0.00026471+0.00012024i,-0.00030026-0.00051437i,0.00026399-0.00044346i,0.00075322-0.00026727i,-0.0002759-8.0217e-05i,-0.0006302+2.4975e-06i,-9.46e-05-0.00024022i,0.00017464+0.00017015i,0.00031726+0.000551i,0.00032254+0.00042799i,2.1005e-05+0.00016753i
3.121e-05+0.001115i,0.00080264+0.0010379i,0.0014383+0.00085275i,0.00078242-0.00014695i,4.9865e-05-0.0014472i,-0.00038607-0.0015212i,-0.00037626-0.00059913i,0.00017798+0.00052355i,0.00043755+0.0008693i,0.00061968+3.8319e-05i,0.0005817-0.00060438i,-0.00043597-0.00052476i,-0.00036931-0.00073461i,9.1331e-05-0.00065224i,-3.0668e-05-0.00044957i,0.00017122-0.00023744i,0.00017892+0.00021076i,0.00011384+0.00028049i,-1.8168e-05-0.00021286i,0.00027552-0.00068378i,0.00019293-0.00082769i,-0.00022299+0.00010703i,-2.3404e-05+0.000477i
-0.00086143+0.00083795i,-0.0010801+0.00066761i,-3.6924e-05+0.00062497i,0.00070295-0.00050536i,0.00034488-0.0012496i,0.00018743-0.00082099i,-0.00018281-0.00026026i,-0.0002684+0.00039034i,-0.00018597+0.00049505i,-0.00014177+9.6016e-06i,0.00019227-0.00063367i,0.00049368-0.0007377i,-6.7578e-05-0.00056255i,-0.00012119-0.00046791i,0.00011033-0.00028345i,8.0657e-05+4.767e-05i,0.00029199+5.5626e-05i,-0.00030089+0.00013329i,-0.00067272+0.00020006i,-0.00016251+1.8676e-06i,-0.00021604+2.7095e-05i,-0.00046847+0.0001768i,-0.00010995+0.00035245i
0.00016229-0.0018821i,-0.00014818-0.0014139i,-0.001234-0.0010635i,-0.0007755-0.0013604i,-0.00065371-0.00086828i,-0.00032146+0.00021987i,0.00059448+0.00063972i,0.00080646+0.0001224i,0.00040606-0.00039144i,0.00010639-0.000715i,0.00028036-0.00064571i,0.00051056+0.0006246i,0.0005992+0.0014775i,0.00027317+0.001091i,0.00011243+0.00062071i,-0.00071992+0.0001975i,-0.0014672+0.00016971i,-0.0010529+0.00022238i,-7.8362e-05-2.2861e-05i,0.00023867-0.0005349i,-0.00074708-0.00090005i,-0.0016791-5.5491e-05i,-0.0012486+0.00078811i
-0.00048245+0.00097114i,0.0011699+0.00051017i,0.00072343+0.00012473i,0.00056017-0.00095503i,0.00073133-0.0012269i,0.00010082-0.0010037i,-0.00015878-0.00063284i,-6.7456e-05+6.4565e-05i,0.00014185+0.001151i,-6.439e-05+0.0012358i,-0.00038659-7.4399e-05i,4.3648e-05-0.00093323i,0.00089558-0.00033577i,0.00075541+0.00024677i,6.3017e-06-0.00012415i,-0.00021181-0.00095896i,-0.00016381-0.0012135i,0.0001492-0.00091928i,-1.0831e-05-0.00095865i,-9.312e-05-0.00097706i,-0.00015431-6.6545e-05i,-0.00021862+6.0315e-05i,0.00013821-0.0002354i
0.00048807-6.8746e-05i,0.00090572-0.0014067i,0.00063396-0.0014681i,2.3701e-05-0.00099619i,-0.00073461-0.001155i,-0.0010491-0.001622i,-0.000852-0.0017921i,-0.0005688-0.0013262i,-0.00036842-0.00073281i,-0.00039087+2.3355e-05i,-0.00071553-0.00022836i,-0.00072226-0.00088098i,-2.1959e-05-0.00025746i,0.00070121+0.00040463i,8.6662e-05-7.9894e-06i,-0.00072206-0.00095102i,-0.00020426-0.0015648i,-0.00040188-0.00054236i,-0.00010355+9.0685e-05i,0.00057456-0.00029368i,0.00050357-0.00042479i,0.00086948+0.00020813i,0.00082729+0.00058953i
-0.0006548-0.0011013i,-0.00047979-0.00058847i,-0.0005418+0.00010446i,-0.00084628+0.00037579i,-0.00082566-4.8199e-06i,-0.000817-0.0002598i,-0.0009805-0.000741i,-0.0017436-0.00041412i,-0.0014681+0.0003527i,-0.00048538+0.00089903i,-0.00065204+0.00074136i,-0.00096346-0.00025907i,-0.00045981-0.0002856i,0.00041043+0.00024812i,0.00049689+0.00036577i,0.00016309+0.00029042i,0.00021938+0.00058614i,-0.00022492+0.00066737i,-0.00017171+0.0005389i,9.4946e-05+0.00070101i,-0.00020081+0.00023777i,-0.00050654+7.0425e-05i,3.3414e-05+0.0002519i
-0.00021801+0.00013049i,-7.1893e-05+8.5015e-05i,0.00022719-0.0010558i,0.00064632-0.0018121i,0.00025631-0.0010846i,-0.00063008-0.0010039i,-0.00082963-0.0011651i,-0.00058776-0.0003673i,-0.00037033+2.1785e-05i,-0.00016292-0.00044766i,-7.5304e-05+0.00023688i,-0.00057913+0.00053032i,-0.00094271+0.00020009i,-0.00063372-4.7888e-05i,-0.00018648-9.8757e-05i,0.000704-0.00018976i,0.00098488-0.00057468i,0.00045234-0.00034119i,0.00027392+0.00013709i,0.00062977+0.00067801i,0.0006701+0.00058973i,0.00029869+0.00010888i,1.1191e-05+0.00042272i
-3.992e-05+0.0012617i,-0.00028442+0.00020718i,-0.00037554-0.00065735i,0.00071977-0.00095577i,0.00062403-0.0011775i,0.00019555-0.00093771i,-0.00036877-0.00056662i,-0.0015956-0.0004383i,-0.0016095-0.00030376i,-0.00040584+0.00027591i,0.00050646+0.00060979i,-0.00011919-8.0566e-05i,-0.0006388-0.00026469i,3.7991e-05+0.00021737i,0.00029173+0.00058421i,0.00016719+0.00032561i,0.00010878+0.00042346i,-1.5116e-05+0.00063823i,-0.00018118+0.00030406i,-0.00068609-0.00048891i,-0.00093326-0.00081257i,-0.00023689-0.00031768i,0.00037785-0.0002146i
-0.00073478+0.00013557i,-0.00040436+0.00033086i,0.000166-0.00067281i,0.00071958-0.00081063i,0.00088532-2.9347e-05i,0.00042273+9.7011e-05i,-0.0010121+0.00012679i,-0.0014775+0.00059435i,-0.00038234+0.00029282i,0.00085693+0.00038803i,0.00082412+0.00010221i,0.00035568-0.00024981i,0.00017233+0.00057256i,0.00022472+0.00053368i,0.0003069-0.00018253i,-0.00014601-0.00019252i,-0.0004977+0.00037792i,4.332e-05+0.00071143i,-0.00023624+0.00054015i,-0.0012606-0.00013451i,-0.00080441-0.00032227i,-0.00034144+0.00049419i,-0.00031547+0.00028606i
0.00054357-0.0013681i,0.00049639-0.0022883i,-0.00079494-0.0027148i,-0.00082892-0.00196i,-0.00034711-0.0011568i,-0.00036648-0.0014455i,-0.00063958-0.0013817i,-0.00070133-0.0011077i,-0.00048864-0.00096416i,0.00017019-0.00041157i,9.4544e-05-0.00018721i,9.1429e-05-0.00032551i,0.00086913+0.00011196i,0.00076973+0.00028339i,-0.00033567-0.00065647i,-0.00076173-0.0005643i,-0.00036479+0.00092684i,0.00030975+0.0012943i,0.00029614+0.00066955i,-4.4398e-05-7.574e-05i,-0.00044838-0.00018382i,-0.0008317+8.4884e-06i,-0.00050393-0.00011003i
-0.0004616+0.00074599i,7.3443e-05+0.00062752i,-0.00026356+0.00073933i,-0.00064331+0.00049324i,-0.00012857+0.00052703i,5.3961e-05+6.6468e-05i,-0.00047359-0.00040897i,-0.00073532-1.5076e-05i,0.00011487+0.00011789i,0.00064664+0.00022512i,0.00084835-2.3913e-06i,0.00079232-0.00053012i,9.4691e-05-0.00038899i,6.8911e-05-0.00013297i,0.00030669-0.00039269i,0.00016591-0.00045542i,-7.0328e-05-0.00084841i,0.00027799-0.00039323i,0.00043537+0.00049292i,9.6505e-05+0.0010109i,-0.0003932+0.00062697i,-0.0012858+4.1022e-05i,-2.8185e-06+0.00034645i
