-0.002105-0.00029395i,-0.0016117+0.00066491i,-0.0016353+0.0011186i,-0.0014189+0.0014209i,-0.0011408+0.0026294i,-0.00027196+0.0034339i,8.3932e-05+0.0030054i,0.00050714+0.0024034i,0.0011622+0.0017567i,0.0019301+0.00092097i,0.0016047-0.00076956i,0.00060144-0.0015688i,2.8842e-05-0.00079864i,0.0001475-0.00041051i,0.00016549-0.00038029i,-9.3667e-05-0.00017788i,0.00014319+0.00030814i,0.00070249+0.00064261i,0.00095668+0.00056541i,0.00067687-0.00027002i,-0.00030442-0.00051809i,-0.00069744-0.00034015i,-0.0004426-0.00027241i
-0.0020109+0.00087079i,-0.0024346+0.0013955i,-0.002328+0.0016944i,-0.001555+0.0022168i,-0.00036406+0.0022691i,0.00067463+0.0021119i,0.00050798+0.0017793i,0.00048839+0.0012934i,0.00019207-0.00037767i,0.00037759-0.0016611i,0.00017518-0.0012747i,-0.00049591-0.00014275i,-0.00027758+0.0011559i,-0.00018321+0.0014342i,-0.00051534+0.0013207i,-0.0001113+0.0009219i,0.0007842+0.00055944i,0.00075169+0.00032046i,0.00029212+0.00057872i,0.00015742+0.00090697i,0.00015319+0.00028148i,-2.9215e-05-0.00020363i,0.00022565-3.917e-06i
-0.0012076+8.6689e-05i,-0.00032409-0.00012514i,-0.00094646-0.00029369i,-0.00097242-9.7181e-05i,-0.00024484+0.00092872i,-3.0122e-05+0.0023584i,0.00063788+0.0021318i,0.00039799+0.00027958i,-0.00054967-0.00098268i,-8.2788e-05+0.00016928i,0.00092148+0.0017079i,0.0010343+0.0011973i,9.7549e-05+0.00022582i,-0.00099915-0.00055037i,-0.00073134-0.00043203i,0.0010202+0.0004266i,0.0018324+0.00027949i,0.00085464-0.00065611i,-0.00013663-0.0011536i,4.2803e-05-0.0013771i,0.00041203-0.00055525i,0.00048047+0.00027792i,-6.1905e-05+0.00048109i
-0.00086546-1.4685e-05i,-0.00091477+0.00045079i,-0.00022685+0.0016199i,-5.7435e-05+0.0021344i,-0.00059698+0.0026732i,-0.00095363+0.0018799i,-0.0010664+0.0002572i,-0.00041172-6.042e-05i,5.4189e-05+0.00054198i,0.00019226+0.00055579i,0.00021429-0.00019481i,0.00036187-0.00072906i,0.00055059-0.00055848i,-2.6065e-05-0.00069003i,2.8441e-05-0.00056683i,-7.9341e-05+8.6839e-05i,0.00034323+5.7901e-05i,0.00063446+0.0004184i,-0.00044053+0.000489i,-0.00047938+0.00032677i,0.00015456+0.00022062i,-8.1987e-05-0.00037156i,-0.00079448-0.00056878i
-0.0014856-0.00051237i,-0.0014301-0.00023086i,-0.0019285+0.0012774i,-0.0016313+0.0037167i,-0.00073922+0.0043487i,0.00078047+0.0033638i,0.0010912+0.0016532i,-0.00027545+9.9984e-05i,-0.0011265-0.00024502i,-0.00034109-0.00017499i,-0.0001626+5.3997e-05i,-8.9746e-05-3.5942e-05i,0.00038173-0.00052926i,0.00028603-2.5704e-05i,2.9374e-05+0.00039001i,-3.4281e-05+0.0002044i,0.00041345+0.00020741i,0.00035489+0.00012281i,-0.00075797+0.00020491i,-0.00092123+9.9899e-05i,-0.00037749+0.00025396i,0.00024131+0.001088i,0.00038406+0.0004642i
0.00041325+0.002987i,0.001843+0.0019916i,0.0011754+0.0011494i,-0.00033941+0.0019273i,-7.4017e-06+0.0027196i,0.00080498+0.00241i,0.00085479+0.0017002i,0.0002133+0.00078197i,5.0643e-05+3.2443e-05i,0.00037181-0.00044601i,0.00072968-0.00041749i,0.0010057+6.9794e-05i,0.00075645+0.00018575i,0.00042443+0.00068849i,0.00012061+0.00011526i,0.00022704-0.00051635i,0.00064231-0.00020364i,0.00078688+0.00014881i,0.00077455+0.00017962i,0.00063261-0.00044198i,3.5013e-05-0.00086873i,-0.00049191-0.00065693i,-0.00085837-0.00036755i
-0.00048724-0.00031828i,-0.00081263-0.0011243i,-0.001134-0.0017053i,-0.0015874-0.0010737i,-0.0021224+0.00033898i,-0.0012394+0.0012285i,0.00018289+0.0010493i,0.00010043+0.0004005i,0.00027617+0.00024445i,0.00053449-4.9255e-05i,0.0001664-0.00022233i,0.00020356+8.2578e-05i,0.00044842+0.00014721i,0.00029259+0.00017545i,1.1889e-05+0.00081717i,0.00050224+0.0010196i,0.00097979+0.00064393i,-9.5483e-05+6.0674e-05i,-0.00055194-0.00052739i,0.00022713-0.00076264i,0.00047566-0.000717i,0.00060851-0.00026298i,0.0001164-0.000151i
-0.00071863-0.0015899i,-0.00013192-0.0009679i,0.00053937-0.00043543i,0.00017008+0.00079987i,-0.00025177+0.0020565i,-0.00021351+0.0023604i,0.00044361+0.0015862i,0.00092508-2.7061e-05i,0.00034643-0.00057642i,-0.0007855+1.3741e-05i,-0.0010852+0.00011198i,-0.0015213-3.9321e-05i,-0.0014108+0.00026976i,-0.00074359+0.00032191i,-0.00082666+0.00021521i,-0.00045655+0.00023251i,-8.7574e-05+1.3452e-05i,-2.5516e-05-0.00034789i,0.0002965+7.668e-05i,-8.9631e-05+0.00025091i,-0.00047708-3.4592e-05i,-7.7683e-05+3.1338e-06i,0.00031739-0.00026826i
0.0013083-0.00050968i,0.00047474-0.0002424i,-0.00067075-0.00057563i,-0.0016906+0.00086936i,-0.0015103+0.0027432i,-0.00035974+0.0025219i,-8.5079e-05+0.0013849i,-0.00035001+0.00074203i,-0.00038955+0.00031152i,-0.00068743+0.00033288i,-0.0011027+0.00043625i,-0.00061227+0.00021279i,0.00014922+0.00010119i,-4.2176e-06-8.752e-05i,0.00019644+4.8991e-05i,0.00079048+7.5243e-05i,0.00019261+0.00020429i,-0.00058527+0.00012622i,-5.6418e-06-5.717e-05i,0.00087224+8.2807e-05i,0.00047922-0.00017292i,-0.00056769-0.00038824i,-7.3156e-05-0.00039658i
-0.0010385+0.0019292i,-0.001269+0.0014669i,-0.0013344+0.0014265i,-0.0013687+0.0017071i,-0.001325+0.0023166i,-0.00023329+0.0028695i,0.00070657+0.0018275i,0.00070139-0.00054287i,0.0011769-0.0018583i,0.0012217-0.001866i,0.00051878-0.0011877i,0.0002822-0.00032259i,0.00026164-5.1076e-05i,-0.00058711-0.0003157i,-0.0006918-0.00024844i,0.00024909+0.00010643i,0.00049773+0.00037349i,6.0414e-05+0.00028637i,0.00014635+0.00064077i,0.0003496+0.00033447i,0.00036001+3.8143e-05i,0.00038282+0.00075493i,0.00028361+0.0012272i
-0.00091158-0.00033078i,-0.00028232-0.00039184i,-0.00099563+0.00019797i,-0.00036706+0.0016848i,0.00041621+0.0028818i,0.0006569+0.0024977i,0.0010083+0.0017512i,6.7544e-05+0.0013295i,-0.00074719+0.00023897i,-0.0009428-0.00071217i,-0.0016392-0.00028352i,-0.00094147-0.00041329i,-6.8179e-05-0.00080342i,-4.6097e-05-0.00040287i,0.00012276+0.00019097i,-0.00027026-0.00011004i,-0.00051413+0.00022023i,-0.00023813+0.00027312i,8.7326e-05+0.00042174i,0.00024442+0.00075331i,0.00018654+0.00058138i,-0.00086346+0.00019655i,-0.00080406-0.00035566i
0.0030525-0.001212i,0.0015454-0.001404i,0.00023296-0.00030205i,-0.00074402+0.0008703i,-0.0012734+0.0010623i,-0.00099873+0.00074638i,-0.00036188+8.9619e-05i,0.00029224-0.00066196i,0.00064927+0.0002307i,0.00025789+0.0007775i,7.3185e-05+3.9671e-05i,0.0002557+5.3678e-05i,-0.00019879+0.00047631i,-0.00076081-0.00071661i,-0.00019796-0.0014968i,-0.00021055-0.00030467i,-0.0005313+0.00076266i,-9.5135e-05+0.00065692i,0.00014144-0.00014454i,0.00081024-0.00061872i,0.00082044-0.0002432i,-0.00038515-4.8001e-05i,-0.0010567+0.00053957i
-0.00044879-0.0012377i,-0.00026135+0.0011218i,-0.00033949+0.0017893i,-0.0010821+0.0014236i,-0.0017702+0.0015063i,-0.00128+0.0019208i,9.5181e-05+0.0013324i,0.00080555+0.00040431i,0.00056371-5.3357e-05i,0.00011573-0.00036366i,-0.0002525-0.0004852i,-0.00012182-0.00018989i,-8.7188e-05-8.8614e-06i,-0.00042057+0.00038483i,-0.00038395+0.00071986i,2.521e-05+0.0005499i,0.00036015+9.5638e-05i,0.00017415+6.2664e-05i,-0.00021487+0.00022241i,1.0719e-05-3.6746e-05i,0.00020716+0.00011589i,0.00041717+0.00035273i,7.0336e-05-8.4713e-05i
1.2667e-05-0.00016909i,-0.00034782+0.00041723i,-0.00086177+0.00015363i,-0.00056499+0.00034545i,-0.00031804+0.0013854i,-0.000648+0.0021984i,-0.00090619+0.00076896i,-0.000504-0.00036687i,0.00033675-0.00019702i,0.00071669-0.0010455i,4.547e-05-0.0014045i,-0.00026568-0.00024492i,-0.00069507+0.00068943i,-0.0011332+0.00049964i,-0.00050545+0.00012704i,-0.00046149-0.00025856i,-0.00040547-0.00040632i,0.00035716+0.00041465i,-1.804e-07+0.00073475i,-0.00069958+0.00025937i,-0.0010088-1.8683e-05i,-0.00079462+0.000353i,5.0391e-05+0.00044485i
0.00078422-0.0024654i,-0.00014302-0.0025534i,-4.8705e-05-0.0014051i,-0.00051363+0.00051206i,-0.0010909+0.0015688i,-0.00082351+0.0022807i,8.0901e-05+0.0015009i,0.00040504-1.9484e-05i,0.00062854+0.00027331i,0.00039635+0.00029467i,0.00076474+0.00023653i,0.00037575+0.0012495i,-0.00067071+0.00085747i,-0.00053961-0.00018151i,-6.766e-05-0.00067342i,0.00055013-0.00033939i,0.0006152-2.7183e-06i,0.00036964-0.0003515i,0.00043618-3.3403e-06i,0.00016633+0.000519i,0.00031524+0.00030281i,0.0014318-0.00034811i,0.0012485-0.00071802i
2.7547e-06-0.0013797i,0.00032615-0.00061241i,0.00045929-0.00011661i,-0.00054499+0.00013068i,-0.00059522+0.0013889i,-0.00032949+0.001706i,-0.00018509+0.00051334i,-0.00039877+0.00011955i,-0.00026789-0.00017802i,4.8913e-05-0.00084719i,8.0679e-05-0.00023554i,0.00023872+0.00039967i,-0.00022653-0.00020412i,-0.00010595-0.00047324i,6.7772e-05-0.00039673i,0.00013539-2.7105e-05i,0.00023781+0.00043634i,-0.00021413+0.00069693i,-0.0010516+0.00054473i,-0.0011068+0.00031709i,-0.00060711+0.00023921i,4.4502e-06+0.00015347i,-0.00024551+0.00010737i
0.00031186+4.8211e-05i,0.00039197-0.00020933i,0.00023096-0.00029271i,-0.00017506-0.00023482i,-0.00063843-1.2867e-05i,-0.00097111+0.00065176i,-0.00068354+0.00092725i,-0.00015641+0.00047889i,-0.0001225-0.00061125i,-0.00018877-0.001432i,0.0002527-0.00052303i,0.00035609-0.00018816i,-0.00010539-0.00072636i,-0.00045508-0.00033651i,-0.00081306+0.00032682i,-0.00080429+0.00045551i,-0.00026144+0.00047307i,-0.00043462+0.00026055i,1.3187e-05-7.8802e-05i,6.4874e-05+5.2467e-05i,-0.00058585+0.00015261i,-0.0008815-0.00015694i,-0.0011336-0.00037061i
-0.00026484+0.0008405i,-0.00056015+0.00016965i,-0.00092183-0.00082643i,-0.001154+7.7449e-05i,-0.0010234+0.0020761i,7.841e-05+0.002477i,0.00068068+0.0010237i,0.00015485-0.00014447i,-9.0978e-05-0.00071632i,-0.00034699-0.0013692i,6.2442e-06-0.0002342i,0.0008506+0.00078102i,0.0011613+0.00057996i,0.00072191+0.00012419i,-1.1985e-05-0.00016396i,-0.0002398+5.375e-05i,-0.00042789+0.00016531i,-0.0002965-7.1031e-05i,-0.0001879-0.0003555i,-0.00014008-0.00022903i,-0.00051722+0.00027587i,-0.00074387+0.00048478i,-0.00031816+0.0010125i
-0.0015071-0.0012573i,-0.00035943-0.0009368i,-0.0009162+0.0006627i,-0.0015177+0.0020653i,-0.0012674+0.0029678i,-0.00012839+0.0031345i,0.00068794+0.0018371i,0.00014983+0.00054572i,-0.00015218-0.0003342i,6.2302e-05-0.00040156i,-0.00022848-0.00032014i,0.00025907+0.00021283i,0.0010351+0.00031799i,0.00049666-0.0001763i,-0.00067473-7.3779e-05i,-0.0010736-0.00011372i,-0.00098977-0.00017094i,-0.00091717+0.00010735i,-0.00064594+0.00028935i,-0.0005629+0.00010593i,-0.00031019+5.5438e-05i,0.000518-0.00021276i,0.00072323-0.00019196i
-0.00073627-0.00087171i,-9.4205e-05+8.3459e-05i,0.00031426+0.00080408i,-0.00024544+0.0010084i,-0.00095187+0.0012686i,-0.00041686+0.0020108i,0.00088624+0.0020507i,0.0015295+0.00064387i,0.0011838-0.00098013i,0.00086683-0.0013359i,0.00076386-0.0011577i,0.00019831-0.00039346i,-0.00062889+0.00016213i,-0.0010564-0.00041541i,-0.00028145-0.00049778i,0.00010115-0.00013764i,-0.00015801-3.2115e-05i,0.00015112-0.00028376i,0.00020917-0.00053761i,-0.00013676+0.00020105i,-2.3547e-05+0.0010146i,0.00036492+0.00096474i,0.00085551+0.00033281i
-0.00018052-0.0010709i,-0.00094434-0.00085111i,-0.0012608+0.00020236i,-0.00092853+0.0017126i,-0.00093516+0.0023545i,-0.00069817+0.0022456i,0.00073463+0.000902i,0.0014567+0.00013439i,0.00038143+0.00015451i,-0.00054553+7.3603e-05i,-0.00042567+0.00020382i,0.00013617+3.3439e-05i,0.0004552-0.00019269i,0.00036992-0.00032913i,-0.00024704-0.00038994i,-0.00094104-0.00077677i,-8.2326e-05-0.0007148i,0.00043076+0.0002398i,0.00018034+0.00031818i,-0.00031452-0.00069231i,-0.0009064-0.0010237i,-0.00091165-0.0006107i,-0.00063105-0.00022069i
0.0013297-0.00036229i,-7.7565e-05+0.00017142i,-0.0010947+0.00074861i,-0.00068621+0.0017811i,-0.00064724+0.002284i,-0.0011767+0.0016178i,0.00015368+0.0009847i,0.00092766+0.00045766i,0.00011273+0.00026545i,-0.00016742-0.00011137i,-0.00027904-0.00040899i,-0.00034238+1.2219e-05i,-0.00018989+0.00013576i,-1.4612e-05-0.00011697i,0.00050057+9.2046e-05i,0.00061688+0.00039022i,-1.279e-05-5.8446e-05i,-4.9703e-05-0.00053493i,0.0004817-2.5305e-05i,0.00049592-0.00018773i,0.00037079-0.00063095i,8.315e-05-0.00073976i,0.00028512-0.0007425i
-0.00077652-0.00017197i,-0.00087582+0.00024864i,-0.00105-9.9126e-05i,-0.00088972-0.0001893i,-0.00095628+0.0014482i,-0.00091182+0.0020241i,0.0004256+0.00061029i,0.0011627-0.00032429i,0.00023056-0.00076001i,-0.00031162-0.00081522i,0.00021753-0.00015084i,4.7344e-06-0.00021531i,-0.00039364+0.00013728i,-0.00053602+0.00060201i,-0.00088114+0.00032135i,-0.00043555+0.00037536i,0.00077671-0.00016972i,0.00080983-0.00017931i,2.6254e-05-0.00078354i,-0.00031741-0.00095069i,6.163e-05+0.00079641i,0.00055941+0.001752i,-6.4053e-05+0.0012672i
-0.0010912+0.00084052i,-0.00032987-0.00024505i,0.00040944+4.0597e-05i,0.0014263+0.0010057i,0.0012892+0.0013428i,0.00056566+0.00081574i,0.00082365+0.00093757i,0.0011235+0.00035363i,0.0013283-0.00074837i,0.00072332-0.00075316i,-0.00017286-0.00073852i,-0.00046935-0.00071009i,-0.00016578-0.0003445i,8.5577e-05-0.00046998i,0.00048889-4.3136e-05i,0.00075591+0.00026336i,0.00031795-4.179e-05i,-0.00020068-0.00064477i,-0.00022624-0.00033211i,-0.00018693+0.00013948i,-0.00010345-0.00056202i,-0.00015987-0.00051807i,-0.00065886+0.0003525i
0.00062518-0.0026422i,-0.00022548-0.0017971i,-0.0016244-0.00057721i,-0.0025743+0.00055368i,-0.0028197+0.0016509i,-0.0017219+0.002032i,-0.00017453+0.0016773i,0.00036452+0.00043333i,0.00025566-0.0013125i,3.8274e-05-0.0006606i,-0.0003868+0.00045201i,-0.00014545-3.4518e-05i,0.00021026-0.00044368i,0.00021902+8.1146e-05i,4.2787e-05+0.00038408i,-0.00044431+0.00032891i,-0.00032996-0.00015992i,4.7875e-05-0.00081639i,0.00022483-0.00087264i,0.00036573-0.0002288i,0.00016343+0.00013031i,-0.00026931-7.2398e-05i,-0.00047171-0.00057715i
-0.00102-0.00056947i,-0.00093605+0.0005472i,-0.0013734+0.0011309i,-0.0011762+0.0015087i,-0.0016482+0.0022653i,-0.0013585+0.0026524i,-0.00010406+0.001906i,0.00071983+0.00052972i,0.00056827+0.00010867i,0.00035031+0.00021918i,0.00021172+0.00044949i,0.00011314+0.00088399i,0.00038588+0.0003416i,0.0002083-0.00011136i,-0.00013338+0.00054297i,0.00010346+0.00067209i,0.00016372+7.5283e-05i,0.00063046+0.00094661i,0.0010033+0.0012634i,0.0005748+0.00060451i,-0.00018432+0.00015661i,-0.00051842-0.00026461i,0.00015567-0.00014696i
-0.0022087+0.00073758i,-0.0018648+0.00067579i,-0.0017091+0.0005286i,-0.0019281+0.00077384i,-0.0018554+0.0016076i,-0.0010097+0.0017448i,-0.00011719+0.00073604i,0.00058341-4.6303e-05i,0.00030393-0.00030649i,-0.00039982-0.00036692i,-0.00029123-0.00013916i,-0.00014882-0.00046626i,-0.00038332-0.00028134i,-0.00016731+5.7176e-05i,-0.0004382-0.00044296i,-0.0010175-0.00053304i,-0.00032261+0.00062063i,0.00023287+0.0010323i,0.00036862+0.00028035i,0.00031286-0.00013146i,6.8497e-05+0.00027414i,5.573e-05-1.6123e-05i,-5.5129e-05-7.703e-05i
0.00012343+0.0010681i,-8.7588e-05+0.00043016i,0.00048478+0.0013127i,0.00074209+0.0017806i,0.00035617+0.0019431i,0.00017568+0.0026672i,0.00090979+0.0013997i,0.00069461-5.0499e-05i,-0.00022478-0.00013723i,0.00019672-0.00043443i,0.00068597-0.00049841i,-1.9525e-05-0.00053329i,-0.00012959-0.00063188i,0.0002799-8.8762e-05i,-2.3081e-05-0.000837i,-0.00010891-0.00133i,-9.5144e-05-0.00021427i,-0.00014138+0.00035643i,0.0003965+3.4664e-05i,0.00051187+0.00031975i,0.00010132+0.0007667i,6.2216e-05+0.00017193i,0.00017411-0.00024832i
6.0354e-05-0.0020306i,-0.00021147-0.0018647i,-0.0010536-0.0009987i,-0.0022348+0.00090173i,-0.0020649+0.0025464i,-0.00089703+0.003088i,-0.0004618+0.0023502i,-0.00034455+0.00022331i,-0.00015179-0.00082971i,0.00030385-0.00092223i,0.0013046-0.00072621i,0.0014008+0.00045645i,0.00023646+0.00086036i,0.0003042+0.0002725i,0.00055761-0.00039755i,5.5507e-06-0.00070642i,-0.00011987-0.00014752i,-5.9469e-05+0.00038015i,-9.8216e-05+0.00065911i,-3.6575e-05+0.00074209i,-7.1682e-05+0.00011405i,0.00039548-0.00025276i,0.00035226+7.0812e-05i
-0.00030247+0.0023317i,0.00027547+0.0016971i,0.00033131+0.00097962i,-0.00016426+0.001442i,-0.00022498+0.0016626i,0.00027603+0.0010286i,0.00032836+0.00027468i,0.00064377-0.00012342i,0.00083736-0.00066147i,0.0010257-0.0013075i,0.00096824-0.0010326i,0.00018252+9.9882e-06i,-0.00052866+0.00025291i,-0.00090936-0.00059305i,-0.00075191-0.00091016i,-0.00087003-0.00046574i,-0.0011816-0.00045927i,-0.00050888-0.00035921i,-2.4638e-05-0.00043426i,-0.00047031-0.00042025i,-0.00060576-0.00015359i,0.00048253+0.00041345i,0.00060811+0.0010075i
-0.002227+0.000963i,-0.0023021-0.00016093i,-0.0017585+0.00020658i,-0.0012243+0.00072358i,-0.0011463+0.0010705i,-0.0013405+0.0013475i,-0.00055452+0.00084153i,-0.00029958+0.00023852i,3.5939e-05-8.1617e-05i,0.0010534+4.4156e-05i,0.001026-0.00020266i,0.00046762-0.00019934i,-0.00015618+0.00036175i,-0.00092476+0.00017813i,-0.00094036-0.00048442i,-0.0010799-0.00035459i,-0.0012363-0.0007221i,-0.0002718-0.00045457i,0.00071806+9.3495e-05i,0.00071234-0.00021888i,0.00014707-2.936e-05i,-0.00034021-0.00031459i,-0.00015749-0.00037703i
0.0016716-0.0023553i,0.00050428-0.0022396i,-0.00029804-0.0012568i,-0.0013863-0.0004465i,-0.0020565+0.00012595i,-0.0015387+0.00074865i,-0.0010596+0.0013081i,-0.00087485+0.00058117i,-0.00041433-0.00046082i,0.00027117-0.00042118i,0.0004919+9.8768e-05i,0.00079904+0.00056872i,0.0003772+0.001051i,-0.0002246+0.0010894i,-0.00059974+0.00050092i,-0.001262+0.00018634i,-0.00093469+0.00025129i,-0.00023818-8.2453e-07i,-0.00051836+0.00034974i,-0.00026721+0.0010451i,0.00024859+0.00090108i,0.00037315+0.00047479i,-7.8396e-05+0.00065952i
