-0.0034366-5.6425e-05i,-0.001829-0.001173i,-0.0030507-0.0026536i,-0.0029323-0.0017448i,-0.0023405+0.0020599i,-0.00052571+0.0035886i,0.0015814+0.0031623i,0.0011989+0.0017625i,0.00061402+3.8644e-05i,0.0009226-0.00077561i,0.00012251-0.00074418i,0.00028928-0.00055175i,0.00055215-0.00082375i,0.00011528-0.0012455i,7.9293e-05-0.00070821i,0.00015534-1.3708e-05i,0.00011017+0.0001884i,0.00043586+3.9986e-05i,0.0014283+0.00010302i,0.0006452+0.0003204i,-0.0010341+0.00048105i,-0.00094518-2.7472e-05i,-0.00038253-0.00018711i
-0.00017896+0.00046636i,-0.00049527+0.00032726i,-0.00028096+0.00067108i,6.6803e-05+0.0018342i,0.00092485+0.0019226i,0.0019264+0.0017227i,0.0012894+0.0011491i,0.0008385-0.00010579i,0.00065579-0.0011052i,-0.00014973-0.0016305i,-0.00096911-0.0012309i,-0.00051702-0.00064471i,0.00052116-0.00080474i,0.00065886+0.00011094i,5.0211e-05+0.00084289i,-0.00036728+0.00043763i,9.7254e-05+0.0004332i,0.00044468+0.0011663i,-0.0001205+0.0013786i,0.00021822+0.00025995i,0.00060941-0.00060636i,-0.00026337-0.00030863i,-0.00039519+7.9466e-05i
0.0011759-0.00024081i,0.00078078-0.0004594i,0.00037823-0.00035123i,8.8882e-05-0.00015233i,-0.00032486+0.00010175i,-0.00092477+0.00039524i,9.2976e-06+0.0003507i,0.0010132+0.0001487i,0.00026404-0.00019462i,-0.0012461-0.00021075i,-0.0016253+0.00057497i,-0.00072797+0.0012114i,-0.00057837+0.001654i,-0.00018503+0.0010588i,0.00099049+0.0001206i,0.00038399+0.00037887i,-0.00018322+0.00076011i,-1.0787e-05+0.00015845i,-0.00015313-0.00041538i,-0.00067387-0.00052223i,-0.0011731-0.00069228i,-0.00073316+0.00011773i,-5.0009e-05+0.0012706i
0.00083556-0.00315i,-0.00075763-0.00219i,-0.0004709-0.0016237i,4.2685e-06-0.00077104i,-0.00072475+0.00060483i,-0.00050534+0.0015553i,0.0008496+0.0013056i,0.0015955+0.00074639i,0.0010721+0.00078387i,0.00035713-0.00021918i,3.3903e-05-0.00073048i,-0.00068941-0.00011532i,-0.00083714-6.8382e-05i,-2.704e-05+0.00013333i,0.00024934-1.1358e-05i,-0.00019888-0.00034608i,-2.7588e-05+0.00023618i,0.00079032+0.00034103i,0.00061741+0.00041136i,-0.00011216+0.00085073i,-0.00050648+0.00083216i,-0.00030511+0.00031528i,1.7414e-05+0.00017107i
4.0715e-05+0.00085337i,-8.5377e-05+0.00034807i,-0.00096442+0.00040583i,-0.0012597-0.00049361i,-0.00016528-0.0008427i,0.00079183-0.0002748i,0.00098273-4.1989e-05i,0.00054518-0.00073981i,-0.00021955-0.00075034i,-0.00015796-1.1523e-05i,3.1501e-06-9.0788e-05i,-4.0371e-05-0.00060731i,-0.00022396-0.00084027i,0.00012786-0.00044044i,0.00050948+9.9009e-05i,-6.3849e-05+0.00023851i,-0.0005202-0.00011401i,-6.076e-05+0.00033566i,-0.00018986+0.0004384i,-0.00042611+0.00013049i,-0.00062002+0.00032066i,-9.5996e-05+0.00033622i,0.00014077+0.00044275i
0.002809-0.00092789i,0.0011853-0.0022605i,0.00021537-0.0029361i,-0.00079221-0.0020644i,-0.0016123-0.001306i,-0.0019834-0.00023692i,-0.00099606+0.00052289i,0.00047432+0.00068831i,0.00087311+0.00031155i,0.00011404-0.00015609i,-0.00085135+3.0925e-05i,-0.00066908-5.7801e-05i,1.4598e-05+0.00022897i,-7.8789e-05+0.0012906i,-0.00044733+0.0011794i,4.149e-05+0.00032423i,0.00043096-7.7276e-05i,0.00027-0.00021583i,-0.00014335+5.961e-05i,-0.0008473+0.00010259i,-0.0012727-0.00030877i,-0.00063058-0.0004153i,-0.00041653-0.00092767i
-0.0015879+0.00078691i,-0.0022192+0.0013683i,-0.0024566+0.002478i,-0.0018322+0.0029068i,-0.00071775+0.0024417i,0.00029296+0.0019182i,0.0013345+0.00077868i,0.0011409-0.00032959i,-0.00010784-0.00059119i,-0.00029418-0.0012842i,-1.5917e-06-0.00112i,-0.00018733-0.0003806i,-5.16e-05-0.00032175i,-7.292e-06-0.00069156i,-3.2403e-05-0.00048329i,8.548e-05+0.00057352i,-7.1298e-05+0.00010629i,-5.2257e-05-0.00090131i,0.00013663-0.0010524i,-6.5973e-05-0.00056432i,0.00013474-0.00052421i,9.6479e-05-0.00032992i,-0.00035021-0.00027831i
-0.00061977-0.00022771i,-0.00012178-0.00077095i,-0.00019054-0.00022393i,-0.00079086-0.00028553i,0.00030044+0.00040673i,0.0023962+0.0013134i,0.0025674+0.00081458i,0.0012518+0.00035355i,0.00039501+9.9031e-06i,0.00028957+0.00011076i,0.00050137+0.00020912i,0.00099347-0.00022899i,0.00089082-0.00075756i,0.00049869-0.00042389i,0.0003291-0.00024905i,0.00024642-0.00069213i,0.00049637-0.00050044i,0.00042642-0.00066738i,-0.00010743-0.0011681i,-0.00042635-0.00054958i,-0.00072153+0.00014953i,-0.00027687-5.6993e-06i,-4.6314e-05+4.1277e-05i
-0.0015365-0.0020931i,-0.0017097-0.0016334i,-0.0024481-0.00021931i,-0.0025603+0.00063108i,-0.0018884+0.0013877i,7.7852e-05+0.0020718i,0.00095556+0.0015978i,0.00035886+0.00023769i,-0.00033369-0.00085875i,-9.7505e-05-0.00082065i,0.00050568+0.00017517i,0.00058147+0.00066266i,0.00030105+1.8217e-05i,-0.0005891-0.00054289i,-0.00084166-0.00016374i,-0.00041545+0.00027581i,0.00027668+0.00033438i,3.1424e-05+0.00041278i,-0.00048146-0.00052908i,-0.00099247-0.0011441i,-0.0014811-0.00029146i,-0.00089115+0.00010882i,0.00064186-1.2448e-05i
-0.00041598-0.0013101i,-0.0006818-0.0013344i,-0.0014775-0.0009868i,-0.0020343+0.00046445i,-0.00096134+0.0026932i,0.00077866+0.0031582i,0.0017063+0.0018402i,0.0013354+0.0015022i,0.0010218+0.00096364i,0.00062898-0.00040291i,-1.7848e-05-0.00075273i,-0.00013438-6.2125e-05i,0.00027487-0.0001118i,0.00032306-0.0012125i,0.00010405-0.0013549i,0.00030292-0.00074727i,-0.00012813-0.00072114i,-0.0006108-0.00035328i,-0.00048531-0.00023149i,-3.0121e-05-0.00054563i,0.00057511-0.00045231i,0.00051004+1.0274e-05i,0.00053016+0.00029992i
0.00065562-0.0011934i,0.00032677-0.00019088i,-0.00050644-0.00060959i,-0.00042951-0.0005157i,-0.00047357+0.0010506i,-0.0002142+0.0012195i,0.00071724+0.00083758i,0.00092244+0.00012573i,0.00074665-0.00073488i,0.00020872-0.0010919i,-0.00010632-0.00088613i,9.1527e-06-0.00030484i,-6.8105e-05+0.00031979i,0.00047677+0.00053155i,0.0011187+0.00042578i,0.00051594+0.00041328i,0.00065609+0.00024565i,0.00074791-0.00017966i,0.00022305-0.0010275i,-0.00018473-0.0009579i,-0.00012772-0.00064114i,0.00055734+5.7744e-05i,0.0011461+0.00020791i
0.00033505+0.0013842i,-0.00045179+9.7853e-05i,-0.0013185-0.00020149i,-0.0018769-1.5079e-05i,-0.0014607+0.00028066i,-0.00086951+0.001514i,-0.000122+0.00153i,0.00079742+0.00098957i,0.0011978-3.9296e-05i,0.00047539-0.00073245i,-0.00036632-0.0009802i,-0.00023047-0.0012436i,5.3796e-05-0.00053169i,0.00061203+0.00012287i,0.00086364-0.00017464i,0.0007931-0.00079771i,0.00081188-0.0009556i,0.00053632-0.00034687i,0.00056474-0.00010193i,0.00049474-0.00017199i,0.00022919-0.00033657i,0.00051811-0.00045754i,0.00015165-0.00084994i
0.00048286+0.00051008i,0.0010761-0.00010986i,0.0015485+6.4569e-05i,0.0010232-0.00046775i,0.00038032+4.1925e-05i,0.00060414+0.0011745i,0.0010902+0.0015183i,0.00027921+0.00049795i,-0.00028796-0.0011065i,-2.1834e-05-0.0017438i,-0.00043733-0.0015715i,0.00020348-0.0010654i,0.0012653-0.00044195i,0.00071158-0.00058195i,0.0010393-0.00049295i,0.0016459+0.00025754i,0.0006578+0.0010709i,-3.0254e-05+0.001062i,-6.2676e-05+0.00028491i,-0.00031774-0.00090762i,-0.00018102-0.0010206i,-0.00014191-0.0003525i,-0.00062311-0.00013889i
-0.00028222-0.00016809i,5.3704e-05+0.00049777i,-0.00059387-0.00044432i,-0.00082939-0.00096899i,-0.00065131-0.00039852i,-0.0001157+0.0010737i,0.0011597+0.0016598i,0.0011764+0.0012324i,0.00073789+0.00059219i,4.5889e-05-0.0004325i,-0.00066708-0.00060136i,-0.00050674-0.00055133i,-3.1725e-05-0.00017159i,8.1287e-05+0.00043377i,0.00087959+0.00018767i,0.0009406-0.00046365i,-0.00037569-0.0010315i,-0.00086287-0.0012744i,-0.00060198-0.0012481i,-0.00053959-0.00089839i,-0.00014282-0.00048712i,0.00018506-0.00048065i,-0.00014704-0.00013632i
0.00080129-0.0018846i,7.4398e-06-0.0015009i,-0.00076517-0.0015327i,-0.0018062-0.00053781i,-0.0015125+0.0013621i,0.00042325+0.00224i,0.0019214+0.0016746i,0.0018943+0.00072574i,0.0010012+0.0005989i,0.00046246+0.0006142i,0.00053823+6.0939e-05i,0.00030847+0.00034135i,1.123e-05+0.00084094i,0.00077687+0.0010116i,0.00088442+5.8797e-05i,0.0010044-0.00085629i,0.00089756-0.00080789i,0.00017367-0.00068889i,-0.00075014-0.00056802i,-0.0011913-0.00062811i,-0.00034712+0.00025488i,0.00035743+0.0010261i,0.00040881+0.0006096i
-0.00017129+0.00083105i,-4.7301e-05+0.00026979i,-0.00034109+0.0003438i,-8.458e-05+0.00011714i,0.00010343+0.00060045i,0.0005611+0.0013792i,0.0010637+0.00087252i,-3.4626e-05+0.00024523i,-0.00054533+0.00015286i,-8.1765e-05-0.00018403i,-0.00028816-0.00036687i,-0.00054046+0.00017046i,-0.00042036+0.00036314i,0.00039425-0.0006204i,0.00040124-0.001013i,-2.0884e-08-0.00058938i,-0.00062678-0.00053845i,-0.00015694+3.7304e-05i,4.1599e-05+0.00035886i,-0.00029278-0.00032883i,-0.00062826-0.00044015i,-0.00023932-0.00041423i,6.038e-05-0.00033816i
0.0005409-0.0012791i,-0.00064132-0.00070065i,-0.0011619-0.00088291i,-0.00025164-2.5194e-05i,0.00013922+0.0018818i,0.00060709+0.0022635i,0.0007132+0.0014388i,0.0006215+0.00039995i,0.00032985-0.00098292i,-5.8701e-05-0.0014831i,5.1366e-05-0.0001975i,0.00065115+0.00029468i,0.00080697-0.00046673i,0.00043255-0.00074416i,0.00098795-0.00048898i,0.00064608-0.00033192i,5.1813e-05+0.00029795i,0.0002672+0.00037245i,-0.00021879+0.0003697i,-0.00037809+0.00025472i,-0.00013498-0.00038645i,-0.00014791-0.00055217i,-0.00027459-0.00020281i
-0.00047793+0.00096324i,-0.0010247+0.00058874i,-0.0014803+0.00096444i,-0.0011154+0.0011726i,0.00046388+0.0012869i,0.0017605+0.0016119i,0.0016767+0.00089038i,0.00037647+0.00014985i,-0.00049416-0.00041956i,-0.00057775-0.00077682i,-0.00030635-0.00060617i,6.1116e-05-0.00038665i,0.0002359-0.00015533i,0.00020653+0.00024069i,0.00028228+0.00012538i,0.00080733-0.00077435i,0.00067422-0.0008407i,0.00052835+4.61e-05i,0.00071951+0.00028558i,0.00034794-0.00033875i,-0.00018304-0.0010627i,-0.00028491-0.0011778i,0.00015211-0.0008897i
0.0024191-0.00050715i,0.0012962-0.0014444i,0.0012763-0.0018836i,0.00075933-0.0011459i,-0.0010277+0.00016351i,-0.0010762+0.0011327i,0.00024033+0.00064133i,0.00010089-0.00049936i,0.00019589-0.00097308i,-0.00019534-0.00066318i,-0.00099908-0.00017521i,-0.0010331+0.00021028i,-0.00027524+0.0007227i,9.9815e-05+0.00032269i,-0.0002229-0.00055954i,-0.00059662-0.0013216i,7.2284e-05-0.0012432i,0.00070034+0.0001626i,1.2139e-05+0.00030303i,0.00023719-0.00062645i,0.00040874-0.00060296i,-0.00015063-0.00019384i,-0.0007811-0.0005628i
-0.00019049-0.00063732i,-0.00067048+0.00034609i,-0.0018072+0.00024287i,-0.0018025+0.00011508i,-0.001267+0.0015615i,-0.00047367+0.0022671i,0.00048196+0.0018299i,0.00075355+0.00095927i,0.0010881-0.00056123i,0.0005089-0.00088222i,0.00049463-0.00053858i,0.00065045-9.5819e-05i,0.00052969-0.00026697i,0.00070279+2.2609e-05i,0.00077227+0.00093462i,0.00053522+0.00069138i,0.00051797+0.00056273i,0.0004175+0.00057034i,8.5721e-05+0.00028265i,1.355e-06+0.00035385i,4.3337e-05+0.0006831i,-3.4275e-05-4.5778e-05i,7.2e-05-0.0010396i
0.0025282+0.00016202i,0.0025393-0.00096133i,0.0027844-0.0012163i,0.0019584-0.00038695i,0.00063566-0.00010947i,-0.00071883+0.001053i,-0.00060318+0.0011805i,0.00071685+0.00042893i,0.00071168+0.00012503i,0.00013657+0.00025179i,-0.00054904+0.00026799i,-0.00017141+0.00011114i,0.0006783+0.0003665i,0.00058535+0.00061747i,-0.00034567+0.00058069i,-0.00023114+0.00055445i,0.00037258+0.00045149i,0.0003589-4.8676e-05i,0.00030961-0.00042506i,-0.00058216-0.00059818i,-0.0011022-0.00044476i,-0.00075248+0.00011919i,0.00025865+0.00053763i
0.00027192+0.00089145i,0.00035347+0.00094242i,0.00012851+0.00085834i,-0.00045818+0.00079778i,0.00067729+0.00055776i,0.0014511+0.00058569i,0.00049151+0.00052121i,5.5116e-06-0.00018395i,-0.00019848-0.00097973i,-0.00082343-0.00088433i,-0.00092249-0.00073673i,-0.00065732-0.0010198i,-5.0801e-05-0.00066664i,-9.7301e-06+0.00028868i,0.00048864+0.00049772i,-0.00010035+0.00053017i,-0.00073995+8.9564e-05i,-0.00037483-0.00071616i,-0.00024954-0.0014658i,7.5395e-05-0.0017965i,-0.00013105-0.0012281i,-0.00045044-0.00092052i,-0.00044556-0.00019645i
0.00016256-0.00045245i,0.00022576-0.00060339i,-0.00033358-3.1491e-05i,-0.001584+0.00051071i,-0.0015523+0.0016026i,-0.00045666+0.001778i,0.00020613+0.0008227i,0.00039552+6.0794e-05i,0.00061761-0.00025445i,0.00039114-0.00056817i,-0.0003262-0.00065257i,-0.0006386-0.0004461i,-0.00061668-0.00135i,-0.00052732-0.0013892i,3.9999e-05-0.00025852i,-0.00017031+0.0001296i,-0.00092415+0.00031484i,-0.0010984-0.00023109i,-0.00036679-0.0004616i,0.00010262+0.00029454i,-0.00025939+0.00043476i,0.00029323+0.00016555i,0.0011822+0.00040978i
-0.0026007-0.0019795i,-0.0018406-0.0016183i,-0.0020723-0.00055787i,-0.0011507+0.0012796i,-0.00021084+0.0019633i,0.0007521+0.0008315i,0.0012933-5.1764e-05i,0.00035876-0.00045202i,-0.00019501-0.00039926i,-0.00026693-7.3518e-05i,-0.00052252-0.00010329i,-0.0001467-0.00035278i,0.00014557-0.00066113i,-0.00038145-0.0010134i,-0.00024773-0.00064389i,-2.3742e-05+9.5889e-05i,0.0004902-7.4788e-05i,0.0013527-0.00082979i,0.00070773-0.00056304i,0.00010384-0.00016526i,0.00067617+0.00057888i,0.0006674+0.00082881i,0.00036086+0.00015923i
0.00083203-0.000573i,0.0011389-0.0021478i,0.0018733-0.0025746i,0.0010948-0.0026379i,-0.00047647-0.0013604i,-0.00091948+0.00074529i,-0.00044184+0.00099381i,0.00035116+0.0012713i,0.00059775+0.001144i,0.0011952+0.00042911i,0.0013574-6.6135e-06i,0.00025232-0.00024382i,-0.00041547-0.00072562i,-0.00028086-0.00047067i,-5.244e-05+3.2731e-06i,0.00036278-0.00018552i,0.001023-0.00020605i,0.00093121-0.00021981i,0.00037776-0.00032857i,0.00021322+0.00024717i,-0.00030761+0.00086288i,-0.00056321+0.00022381i,-0.00028185-0.00031738i
0.00061484-0.001171i,-0.00030974-4.6474e-05i,-0.001079-0.00040951i,-0.001102-9.6921e-05i,-6.2223e-05+0.001267i,0.0013277+0.0021641i,0.0011651+0.0024093i,0.00052129+0.0010467i,0.00057341-0.00053282i,0.00049738-0.00081676i,0.00036513-0.00057405i,0.0003717-0.00047176i,0.00089379-0.00026441i,0.00070854-0.00047071i,-0.00055173-0.00066179i,-0.0010859-0.00025258i,-0.00043068-6.0279e-05i,9.6266e-05+0.00016533i,0.00039537+0.00048213i,0.0006666+0.00031116i,0.00010257+7.4392e-05i,-0.00057446-1.1586e-05i,-5.1448e-05-0.00051073i
0.0014719-0.0025779i,0.0017643-0.00067847i,0.0013715+0.0012099i,-0.00015637+0.0014231i,-0.0013459+0.0015115i,-0.00053463+0.0013832i,0.00010298+0.00058342i,0.00026847-0.00034258i,0.00035528-0.0015309i,0.00015483-0.0015523i,0.00018823-0.00066519i,0.00046306-0.00029851i,0.00086302+5.6135e-05i,0.00050087+0.00012958i,0.00082502-0.00018101i,0.0012989-0.000161i,0.0007091+2.0797e-05i,0.00029542+0.00016552i,0.00043267+0.00014803i,0.00069569+0.00060686i,9.4534e-05+0.00092538i,-0.00074871-0.00019702i,-0.00011598-0.00048279i
-0.0026162+0.0013745i,-0.0017572+0.002404i,-0.0010028+0.0028607i,0.00044465+0.0026162i,0.0022709+0.0027294i,0.0022016+0.0021805i,0.00046569+0.0004395i,-0.00031772-0.00076585i,-1.0809e-05-0.00018076i,-0.0003879+0.00056261i,-0.00057843+0.00024997i,-0.00027935+0.00048172i,0.00017386+0.00026965i,6.2147e-05-0.00065891i,-0.00026684-0.00038776i,-0.00023264+0.00048801i,-0.00033736-0.00027092i,-0.00029482-0.0010768i,3.5692e-05-0.0010597i,4.6072e-05-0.0012503i,-0.00021619-0.0012352i,-1.8485e-05-0.00049591i,-0.00054204+0.00064786i
-5.2889e-06+0.0015162i,0.00034231+0.0015048i,0.00072492+0.0010181i,0.00078429-0.00026761i,4.8679e-05-0.00024714i,0.00016005+0.0015244i,0.00077393+0.0021096i,0.00041785+0.0011471i,0.00024876+0.00010336i,0.00018095-0.00041684i,-0.00018979-0.00028319i,0.00075612+0.0001277i,0.0011889-0.0001872i,0.00059849-0.00056521i,0.00044889+5.3766e-05i,0.00054605+0.00051597i,0.00026297+0.00041318i,0.00010437+8.9569e-05i,0.00037028-0.00067019i,0.00058882-0.0011972i,0.0001421-0.00044401i,-0.00046972-2.6777e-05i,0.00013984-0.00011563i
-0.00070841+0.00087392i,-0.0016903+3.712e-05i,-0.0014693-0.00018873i,-0.00071251+0.0011834i,-0.00055193+0.0016423i,0.000139+0.0014666i,0.00055611+0.00096357i,2.8566e-05+0.0001865i,-0.00042525-0.0012812i,-0.00055733-0.0020276i,-0.00076816-0.0015158i,-0.00035259+0.00010045i,-0.00026625+0.0013979i,-0.00084455+0.0014788i,-0.00039346+0.0011638i,0.00069015+0.00028298i,-2.0185e-05-3.3066e-05i,-0.00028748-0.00038986i,0.00029773-0.00067994i,0.0003177+0.00037649i,0.00029256+0.00068841i,0.00054318+0.00040681i,0.00071906+0.00031096i
0.00060222-0.0018466i,5.4736e-05-0.0025008i,-0.00010821-0.0021764i,3.4953e-05-0.00044144i,0.00037083+0.00074619i,0.0012271+0.0009625i,0.0019696+0.0011544i,0.001882+0.00061952i,0.00080523+5.9831e-06i,-6.236e-05-3.1631e-05i,3.847e-05+0.00012258i,4.941e-05-0.00017488i,0.00028999-0.00029187i,0.00061896-0.00021617i,0.00044574+2.8475e-05i,-5.1715e-05+0.000676i,0.00013333+0.001093i,0.0006532+0.00097148i,0.00072482+0.00053982i,0.0002971-0.0001169i,6.4289e-05-0.00028395i,-0.00014113+9.2194e-05i,-8.1825e-05-0.00011148i
0.0013955-7.0907e-05i,0.0012558+0.00040837i,0.0007299-1.6336e-05i,0.00051771+0.00054772i,0.0004596+0.0014275i,-0.00029797+0.0017071i,-0.00028627+0.00080101i,0.00044725+7.5929e-05i,0.00024851-0.00010431i,-0.00011229+0.00027063i,-3.754e-05+0.00022388i,-0.00060979-0.00045322i,-0.00057802-0.00098079i,0.00039069-0.00069221i,0.00040881-0.00015368i,0.00052426+0.00024595i,0.0008512+0.00065822i,0.00010982+0.00054741i,-0.00047627+0.00027235i,-0.00012805-0.0001379i,0.00077291+5.7543e-06i,0.00058623+0.0002299i,-3.1386e-05-8.7226e-05i
