0.0017618+0.0010275i,0.003371-0.00039981i,0.0035324-0.0010711i,0.002845-0.0016572i,0.00072391-0.0020211i,-0.00073715-0.0013563i,-0.0005823+5.131e-05i,0.00038635+0.00074282i,0.0004105+0.00033995i,-8.5649e-05-0.00048968i,0.00018404-0.00064808i,0.00074158-0.00023864i,0.0011638+0.00051909i,0.00054224+0.00037572i,-0.00047421+0.00035382i,-0.0010533+0.00068349i,-0.00086022+0.00016235i,-0.00011252+0.00019979i,-0.00013756+0.00065624i,-0.00072452+0.00037597i,-0.00065434+0.0004823i,-0.00068262+0.0005417i,-0.00049462-0.00075763i
-0.00051683+0.00026434i,-0.00063244+0.0011668i,-0.00085041+0.0017695i,-0.00021841+0.0020873i,0.0016456+0.0023823i,0.0028801+0.0013051i,0.0021117-0.00054151i,0.00091219-0.0012172i,-0.00043621-0.001286i,-0.0017092-0.00054351i,-0.0016484+0.0002462i,-0.00033641+0.00035465i,0.00049249+0.00029678i,0.00046707+0.00059349i,-0.00013029+0.00044723i,-0.00071856-0.00045101i,-0.00082439-0.00085528i,-0.0011742+2.9094e-06i,-0.0011087+0.00045429i,-0.00051259+0.00045919i,-2.8013e-06+0.00076907i,0.00042367+2.3465e-05i,0.00045122-0.00017492i
0.0017996+0.0021135i,0.0018165+0.0005466i,0.0029626-0.00030655i,0.0040507-0.001003i,0.0035402-0.0019885i,0.0016064-0.0014003i,0.0009049-0.00059778i,0.0012348-0.00080359i,0.00091265-0.0016855i,-0.00019009-0.0021268i,-0.0014937-0.0011329i,-0.0019264+0.00072278i,-0.00078958+0.0016456i,0.0001816+0.00090534i,0.00016067-0.00035492i,-3.1135e-05-0.0011618i,0.00034748-0.00066457i,0.00054339-0.00026309i,-0.0001838+0.00015534i,-2.6852e-05+0.00052026i,5.6974e-05+9.632e-05i,0.00023663-0.0002242i,0.0002361+1.8947e-05i
-0.001313+0.00070425i,-0.00063236+0.0024873i,0.00057346+0.0031352i,0.0010497+0.0023806i,0.0020638+0.0016718i,0.0031439+0.0011501i,0.0025576+0.00014337i,0.0017285-0.0012551i,0.000942-0.0022774i,-0.0001553-0.002084i,-0.00088638-0.0012889i,-0.00044737-0.00031534i,0.00022428+0.00050235i,0.00048804-0.0001057i,0.00091923-0.00090136i,0.00040398-0.00063721i,-0.00053526-0.0002511i,-0.00029513-9.2189e-05i,0.00010701-0.00027281i,0.000371+0.00012339i,0.00034673+0.00060783i,0.00010668+0.00057739i,-0.00041059+0.00031392i
-0.0013985+0.00019578i,-0.00078985+0.00059267i,0.00041653+0.001098i,0.0023721+0.0012818i,0.0033177+0.0012909i,0.0024287+0.0011285i,0.00077781+0.00025399i,0.00045634-0.0014111i,0.0010001-0.0021104i,0.0012418-0.0012929i,0.0016107-0.0010225i,0.0019282-0.0010228i,0.0016066-0.00089618i,0.0002783-0.00021665i,0.00015107+0.00052011i,0.0002907+0.00065639i,-0.0005924+0.00043886i,-0.0016577+0.00056542i,-0.0017898+0.00028762i,0.00012475+9.7852e-05i,0.0010525+0.00076757i,0.00080749+0.0016099i,0.00071416+0.00099441i
0.0019173+0.00095919i,0.0019883+0.00047892i,0.0021901+0.00011655i,0.0018833-0.00046401i,0.001935-0.00021414i,0.0012402-0.00041359i,0.00037259-0.0012817i,0.000427-0.0016473i,0.00047121-0.0016912i,0.0004025-0.001186i,0.0001523-2.5375e-05i,-1.8574e-05+0.00054948i,-0.00041095-0.00047071i,-0.0011188-0.0013495i,-0.0012863-0.00038716i,-0.0014067+0.00052648i,-0.0015057+0.00066425i,-0.001606+0.0008812i,-0.00046124+0.00063431i,0.00050645+0.00035696i,0.0006691+0.00086859i,0.00016795+0.00082913i,-6.8101e-05+0.00012326i
0.00061449-0.00016855i,0.00045659+0.00057372i,0.0009527-0.00024693i,0.0013572-0.00073316i,0.0013473-0.00072876i,0.001239-0.0014419i,0.00094278-0.0018026i,0.00094209-0.0019197i,0.00063412-0.002835i,-0.0013153-0.0028777i,-0.0031996-0.0018314i,-0.0025862-0.0011534i,-0.00044278-0.00024941i,0.00026487+0.00070801i,-0.00056871+0.00067978i,-0.0013116+0.00069176i,-0.0014352+0.00084383i,-0.0018166+0.00013927i,-0.001161-0.00042572i,-0.00049839-0.00069998i,-8.6974e-05-7.6179e-05i,0.00082081+0.00086112i,0.00078594+0.00055195i
0.00070332+0.00028904i,0.00089059+0.0010821i,0.00081543+0.0012719i,0.0018288+0.00066956i,0.0025725-0.00031527i,0.0018058-0.00015346i,0.00063167+0.00029673i,0.00080573-6.4923e-05i,0.0011438-0.0011996i,-9.9239e-05-0.0022395i,-0.0015576-0.0024257i,-0.0014642-0.0017348i,-0.0011793-0.00034708i,-0.00075295+0.0001723i,-0.00026771+0.00025059i,0.00015709-0.00026632i,0.00079334-0.00033908i,0.00045228+0.00070127i,-7.8956e-05+0.0011264i,-3.7931e-05+0.00032906i,0.00016875+0.00047221i,-0.00048388+0.00055015i,-0.00097814+0.00024766i
-0.0013758-0.00029034i,2.1033e-05+8.0088e-05i,0.00031513+0.00071314i,0.00014935+0.0013556i,0.000718+0.0017307i,0.0019684+0.0009624i,0.0019113+3.4364e-05i,0.00081379-0.0010345i,-0.00016518-0.0023749i,-2.0722e-05-0.0011753i,0.00059595+0.00043899i,6.9062e-05+0.0010171i,-0.00111+0.0010524i,-0.00095143+0.00076743i,0.00037699+0.00047694i,0.001252+0.00015949i,0.0010549-0.00021095i,0.00025247-0.00027099i,0.00031105+0.00033622i,1.8553e-05+0.00036667i,-0.00069973+1.1806e-06i,-0.00054209-0.00046277i,0.00032249-0.00042829i
-0.00040692-0.00028006i,0.00034888+0.000248i,0.00043341+0.0010284i,0.00090801+0.00073976i,0.0019516+3.1567e-05i,0.002019-0.0010402i,0.0014187-0.0012858i,0.001222-0.00098612i,0.00060584-0.00094054i,-0.00074471-0.00053251i,-0.0010961+0.00050226i,-0.00059797+0.0016159i,0.00020857+0.00099692i,0.00019977-0.00046573i,-0.00090268-0.00084351i,-0.0016554-0.00049235i,-0.0017392+6.787e-05i,-0.0004385+0.00031434i,0.00063052+0.0013107i,0.00041682+0.0015417i,0.00042355+0.00083409i,0.00022022+0.00065592i,-0.00011089+0.00038525i
0.0001707+0.0015664i,0.00066493+0.0016774i,0.0003925+0.0025011i,0.0018419+0.0022564i,0.0030917+0.0010641i,0.0026421-0.0014642i,0.0017063-0.0022143i,0.00072784-0.0018008i,0.00037989-0.0015686i,-0.0001357+0.00015852i,-0.0010325+0.0013099i,-0.00071207+0.0015052i,0.00076996+0.0010359i,0.0011331+0.0005175i,0.0005644-0.00058877i,-0.00022263-0.0010865i,-0.00097724-0.00061268i,-0.0012595-0.00044891i,-0.00092433+0.00013681i,-0.000109+0.00056234i,0.00070871+0.0004726i,0.0011426+0.00093471i,0.00037331+0.00090688i
