4.3442e-05+0.0023379i,-0.00066625+0.0014393i,-0.0032451+0.0012449i,-0.0022666+0.00086558i,-0.00090278+0.0010575i,-0.0001364+0.0012243i,0.00069171+0.0015574i,0.0011838+0.0014019i,0.001517+0.00043388i,0.0013314+0.00018055i,0.0014804+0.00035004i,0.00090493+8.3297e-05i,-7.5903e-05-0.00050771i,0.0002161-0.0012255i,-0.0001216-0.0011562i,-0.00071347-0.00097082i,-0.00042835-0.00051049i,9.6942e-06+0.000272i,3.4147e-05+0.00022804i,-0.0004267+0.00012379i,-0.00090946+0.00049286i,-0.00087252+0.0008555i,-0.00036418+0.00083733i
0.0013112-0.00074992i,0.0018744-0.00061657i,-1.6265e-05-5.5646e-05i,-0.00087659+0.0011463i,-0.00032777+0.0015901i,0.00024715+0.00057773i,-7.6967e-06+0.00061974i,-0.00088781+0.00022673i,-0.00053011-0.00051767i,2.6455e-05-0.00041361i,-0.00020505+0.00033095i,-0.0006623+0.00054257i,0.00043745+0.00046149i,0.00099655+0.00040645i,0.00025572+0.00017318i,-0.00061414+0.00028793i,-0.0004444+0.00034261i,0.0002712-0.00021854i,0.00053273-8.379e-05i,0.00054517-1.5547e-05i,-0.00040922-0.00045041i,-0.00079489-0.00056579i,-0.00050107-0.00016956i
-0.00021119+0.0014306i,0.00049513+0.00014863i,0.00022292-0.0012061i,-0.00012343-0.00051728i,0.0010461-0.0002122i,0.0012006-0.00079952i,-0.00013554-0.00073701i,-0.00064061-0.00068031i,-0.0006411-0.00014519i,-0.00014149+0.00019754i,0.00060735+8.1213e-05i,0.00030335-0.00014479i,-0.00039002-0.00025916i,-0.00096484+0.0001442i,-0.00025677-0.00022596i,0.00050633-0.00019372i,1.1284e-05+3.1227e-06i,4.0186e-05-0.00036979i,-0.00010998-0.00067445i,-0.00075843-0.00025987i,-0.00058689+0.00030232i,-0.00051096+0.00019868i,-0.00042993-0.0001374i
-0.00013594+0.00025567i,0.0005691-0.0002628i,0.00040398+0.00017439i,0.00075987+0.0006997i,0.00077196+0.00027707i,0.0008215-0.00071369i,-0.00014866-0.0006804i,-0.00089748-0.00029821i,-0.00065698+9.6446e-05i,-0.00048113+0.00019936i,0.00029107-1.1867e-05i,0.00112-0.00033061i,0.0010938-0.0011086i,0.00054268-0.0007679i,-0.00019278+6.2264e-05i,8.5954e-06+0.00010628i,0.00096391+0.00019703i,0.0010176+0.00024287i,0.00013027+0.00020778i,-0.00072465-0.00011842i,-0.00038119+8.1727e-05i,9.41e-05+8.3103e-06i,0.00019538-0.0012258i
-0.0010506-0.00055477i,-4.3367e-05-0.00085785i,-0.0016779+0.00058912i,-0.0019706+0.0017463i,-0.00031534+0.0015246i,0.00025066-0.00015992i,-0.00042073-0.0011631i,-0.00080502-0.00032325i,-0.00051548+0.00019404i,-0.00027595-9.6969e-05i,-0.00017077-0.00038725i,0.00024092-0.00061185i,0.00039393+5.6777e-06i,-5.1095e-05+0.00022448i,0.00027002-0.00016193i,0.00029708-0.00057365i,-0.00041004-0.00093237i,-0.0001168-0.00094698i,0.00013233-0.00035735i,-0.00048178-0.00070653i,-0.00071738-0.0010729i,-0.00054152-0.00048189i,0.00033446-0.00041032i
-0.00032547-0.0010125i,-0.00081689-0.0015156i,-0.00047786-0.00081883i,0.00011985-0.00041095i,8.2427e-05-0.00024907i,0.00045141-0.00057903i,0.00090997-0.00052799i,0.00090686-8.635e-05i,0.00090985+0.00043536i,0.00034644+0.00054632i,0.00016151+0.00029555i,0.0013803-0.00043266i,0.0013866-0.00041228i,0.00061654+5.6913e-05i,-0.00044279+9.0932e-05i,-0.00094157+8.7426e-05i,-0.00091979-0.0001455i,-0.00092844-0.00015088i,-0.00072606-0.00015701i,-0.00040153-0.00028306i,-0.0001986-0.00011491i,0.00011074-6.0519e-06i,0.00057886+8.0134e-05i
0.0011516+0.00061094i,0.002647+0.00041244i,0.0027291+0.00075184i,0.0031247+0.001294i,0.002385+0.0010408i,0.0010666+4.6198e-05i,-0.00016643-0.00013611i,-0.00027251+0.00057714i,7.0089e-05+0.00044558i,0.00044338+0.00038487i,0.0013893+0.0005776i,0.0013593-0.0002365i,0.00024548-0.0011879i,-2.0084e-06-0.00089237i,0.00047635-7.2724e-05i,0.00035741+7.8852e-05i,-0.00049138-0.00019369i,-0.00039098+0.00025858i,-0.00052884+0.00023908i,-0.00087696+4.6561e-05i,-0.00069832+0.00058686i,-0.00089952+0.00078113i,-0.000119+0.00034326i
0.0012087+0.00029124i,0.00036063+0.00062268i,-6.1019e-05+0.0011383i,-4.5329e-05+0.0017224i,-0.00015808+0.0012258i,-0.00082707+0.00064118i,-0.00078026+0.00030848i,-4.6166e-05+0.00027463i,-0.00019751+0.00044499i,-8.7026e-05-4.1016e-05i,0.00012737-0.00012408i,-0.00042129+9.982e-05i,-0.0010857+0.0003145i,-0.00071308+0.00049016i,-0.00050737+0.00038228i,-0.00023226-0.00036258i,0.00051275-0.000598i,0.00034188-0.00030457i,-1.6035e-06-1.9934e-05i,0.00046748+0.00022083i,0.00050288+0.00081485i,0.0001971+0.00074424i,0.00027592+0.00026013i
0.0012911+0.0022359i,0.0011847+0.0014688i,-0.00020154+0.00074497i,-0.0014472+0.0001606i,-0.00086812-0.00038138i,-0.0003377-0.00054918i,-0.000457-0.00023538i,-0.00043873-0.00016243i,-1.9655e-05-0.00050986i,0.00064201-0.00042475i,5.1466e-05-0.00030821i,-0.00070318-0.00050673i,-0.00031285-0.00062316i,-0.0001213-0.00086569i,-0.00059321-0.00083791i,-0.00036417-0.00021376i,0.00017327+0.00024161i,8.7723e-05-0.00011404i,-0.00044011+0.00031265i,-0.00014764+0.0010065i,0.00044266+0.00048251i,0.00013255-0.00040153i,-0.00047534-0.00055905i
0.0020432-0.0011976i,0.0016771-0.0016725i,0.00086741-0.0014521i,0.00024315-0.00046126i,0.00020998+3.2681e-05i,-8.9584e-05-6.6798e-05i,5.0631e-05-5.299e-05i,0.00065145+0.00013637i,0.00086448-0.00036493i,0.00048258-0.00043786i,0.00015651-0.00071954i,-0.00032353-0.0012501i,-0.00042905-0.00096922i,0.00030709-0.00037422i,0.00055676-4.588e-05i,-0.00019543+9.8196e-05i,-0.00042399+0.00020272i,0.00026426+0.00029816i,0.0008947+0.00049264i,0.00059658-0.00017166i,0.00046213-0.00030709i,6.2431e-05+5.9755e-05i,-0.00041263-0.00046665i
-0.00031961+0.00030909i,1.6938e-06+7.9438e-05i,-0.0006853+0.00089907i,-0.0011057+0.0011771i,-0.00023523+0.00094099i,0.00099138+0.00072019i,0.00089513+0.00028361i,0.00030571+1.7179e-05i,-5.6133e-05+0.00041437i,-0.00022565+0.00068543i,0.00068406+2.1864e-06i,0.00094378+4.1264e-05i,0.00035347+0.00059641i,-0.00018909+0.0004714i,-0.00071061+0.00046165i,-0.00084592+0.00071046i,-0.00065426+0.00042416i,-0.00090387-0.00030126i,-0.0016267-0.0011474i,-0.0011418-0.00054941i,-0.00021598+0.00031915i,0.00013398+2.9792e-05i,0.00025953-0.00040713i
-0.00037685-0.0018323i,-0.0013833-0.0015646i,-0.0021253+0.00048391i,-0.0012258+0.001745i,9.2853e-05+0.00092741i,0.00051597-0.00057969i,-0.00068844-0.0007534i,-0.00098586-8.596e-05i,4.9055e-05+0.00029624i,0.00045524-0.00012913i,0.00044119-2.3713e-05i,-0.00019742+7.3027e-05i,0.0001788-3.7083e-05i,0.00072874+0.00035696i,0.00055518+0.00015899i,0.00073014+0.00010902i,0.00063215+0.00043779i,-0.00013303+0.00067282i,-0.00084838-0.00047978i,-0.00038671-0.00067928i,6.4026e-05+0.00026365i,0.00036102-0.00023869i,0.00045127-0.000316i
0.0025314-0.0030231i,0.0020103-0.0039104i,0.00075365-0.0033605i,0.0002347-0.0017978i,0.00034358-0.00057442i,0.00082938-0.0003591i,-0.00012211-0.0004921i,-0.00089997-0.00038535i,-0.00033456+0.00014483i,0.00023919+0.00035671i,0.0001683-0.00035953i,-9.5207e-05-0.0007799i,-0.00030239-0.0011006i,-0.00050151-0.00071622i,0.00019149+0.0006514i,0.00035129+0.00062019i,0.00012804+0.00026248i,0.00027041+0.00030593i,-0.0002084+0.00042125i,-0.00099145+0.00059561i,-0.0012187+0.00030889i,-0.00070235-0.00011225i,-4.9112e-07+0.00015099i
0.0019154+0.0018014i,0.0032421+0.0017395i,0.0029678+0.0028672i,0.0024229+0.0031126i,0.0020034+0.00047241i,0.00064251-0.0018017i,-0.00080544-0.00077736i,-0.00088563+0.00044786i,0.00017688+0.00052175i,0.00060347+0.00024934i,-4.9268e-05-0.00044086i,0.00027406-0.00079654i,7.1841e-05-0.001047i,-0.00052814-0.0015653i,-0.00084916-0.0017025i,-0.0010271-0.00089701i,-0.00039315+0.00056569i,4.6797e-05+0.0007774i,-0.00020252-1.9657e-05i,7.6523e-05+0.00010659i,0.00031792+0.00022645i,0.00071946-0.00019123i,0.00088002-0.00022713i
0.0026258+0.00013119i,0.0019623-0.00023564i,0.00063457-0.0010943i,3.0192e-05-0.0001446i,-0.00017403+0.00079152i,-0.00062581+0.00068042i,-0.0002616+0.00069759i,0.00054241+0.00080144i,0.00044002+0.00065264i,0.00029999+0.00046145i,0.00039644+0.00028501i,0.00017547+0.000354i,-0.00077345+0.00060839i,-0.00087401+0.00013527i,-0.00028014-0.00048393i,-0.0003011+0.00019344i,-0.00028604+0.00048207i,-0.0011789+0.00045981i,-0.00073653+0.0010804i,-0.00031391+0.00099289i,-0.00079538+0.00077213i,-0.00041129+0.00066689i,-3.1846e-05+6.7237e-05i
-0.00022335+0.00011545i,-0.00022322+0.00051531i,-0.0021986+0.0010271i,-0.0018339+0.0010771i,0.00037957+0.00089253i,0.0013552-0.00041295i,0.00037816-0.0012627i,-0.00070001-0.00097726i,-0.0010329-0.00093809i,2.0835e-05+0.00037909i,0.00067908+0.0016044i,0.00054145+0.0011833i,0.00043111+0.00054276i,0.00027052-0.00019277i,0.00050474-0.00061418i,0.00011554-0.00083339i,-0.0012963-0.00065618i,-0.0011529-0.00039862i,-0.00021235-0.00072301i,1.3772e-05-0.00022669i,-0.00032916+0.00061075i,-0.00075424+0.00083866i,-0.00053916+0.00044145i
-0.00077761+0.00099391i,0.00053732+0.0013068i,0.00068397+0.001241i,-6.5857e-05+0.00088271i,-0.00044353+0.00016993i,4.7022e-05+0.00050395i,1.0135e-05+0.00060737i,-0.0002972+0.00031839i,-0.00026384+0.0008773i,-1.7244e-05+0.00070173i,0.00040797+0.00033197i,5.9234e-06+0.00017964i,-0.00058792+0.00013216i,-0.000927+0.00016908i,-0.00050857+0.00059021i,0.00011866+0.00012132i,0.00056242-0.0012058i,0.00078185-0.00089111i,0.00058431-0.00011903i,-3.175e-05-0.00029418i,-0.00038526-0.00024624i,0.00042948-7.5291e-05i,0.0012856-0.00032139i
-3.0987e-05-5.0223e-05i,0.00035385+0.00031679i,-0.00025643+0.00028306i,4.9287e-05+0.00029832i,0.00078508+9.7409e-05i,0.00085709-0.00061192i,0.00021828-0.0011375i,0.00057515-0.00051131i,0.00064005+0.00025628i,0.00021354+4.6283e-05i,0.00066524-0.00038126i,0.00059361-0.00014139i,0.00030989+0.00074254i,-0.00013651+0.0013025i,-0.00092658+0.00098281i,-0.0010873+0.00022986i,-0.00065664-4.1426e-05i,-2.0656e-05+0.00035507i,-0.0003807+0.00024819i,-0.00078831-0.00052145i,-0.00019845-0.00057916i,0.00015825-3.3401e-05i,-0.00035171+0.00057366i
0.0008285-0.00022352i,-0.00053636-1.4752e-05i,-0.00084894+0.0003968i,-9.6554e-05+0.00022865i,0.00045071-0.00017843i,0.00016383-0.00063508i,-0.00016821-0.00032042i,0.00027962-0.00039322i,0.00030499-0.00082902i,6.1001e-06-0.0003191i,-0.00015278-0.00025207i,-0.00062192-0.00075375i,-0.00051061-0.00074789i,0.00040795-0.00074311i,0.00080736-0.00078315i,0.00012932-0.00045237i,0.00017264-0.00039744i,0.00064092-0.00037645i,0.00039521+0.0001406i,0.00026633+0.00012958i,0.00059414+0.00031234i,0.00035292+0.00028187i,3.2403e-05-0.00049885i
0.0024563+0.0015583i,0.0016802+0.00076736i,0.001136+0.00025693i,0.0012717-0.00070237i,0.00077778-0.0014824i,-0.00080628-0.0010267i,-0.0016635-0.00041847i,-0.0012614-0.00038684i,-0.00037127-0.00010745i,0.00050222-0.00027892i,0.0003587-0.0010662i,-0.0002486-0.001351i,-0.00060903-0.00014604i,-0.00022727+0.00064015i,-0.00068419+0.0001757i,-0.0012814-0.00064047i,-0.00077498-0.0009457i,-0.000271-0.00090073i,-0.00018485-0.0014006i,-0.00015703-0.0010702i,0.00031609-2.9668e-05i,0.00032756+0.00013689i,-0.00020807+1.64e-06i
0.0025949-0.00046454i,0.0018546-0.0017442i,0.001729-0.0019146i,0.0020897-0.00082346i,0.0014667-0.00025601i,0.00072154-0.00079446i,0.00053298-0.00040135i,0.00058313+0.00066658i,0.00088242+0.00062305i,0.00078406+0.00058873i,-0.00018736+0.00063792i,-0.00091201+0.00013131i,-0.00081205-0.00056617i,-0.00076527-0.0010499i,-0.00053736-0.00075561i,-0.00073965-0.00016874i,-0.00095548+0.00017041i,-0.00016196+0.00037738i,0.0006452+0.00035099i,0.00029827-9.8797e-07i,-0.00011189-0.00043854i,7.5144e-05-0.0003209i,-0.0001381+0.0006045i
0.0018535+0.0010635i,0.0027256+2.0646e-05i,0.0017643-0.00087919i,0.0013019-0.0009944i,0.00096222-0.00085083i,-0.00024039-0.00041264i,-0.00079798-5.2331e-05i,-0.00087004-0.00025899i,-0.00088431-0.0005157i,-0.00055091-0.00047538i,-0.00050671-0.00016834i,-0.00026148+6.6668e-05i,-0.00019448+0.00056632i,-0.0010699+0.00024824i,-0.00078295-0.0002059i,-3.7785e-05+0.00042079i,0.00038483+0.00078742i,0.00010556+0.00052383i,-0.00026808+0.00041894i,0.00023025+0.00061087i,0.00053819-0.0001408i,0.00095532-0.00053988i,0.0012548-0.00024409i
0.00037508+0.00028163i,0.0012761-0.00016481i,0.0012016-0.00049875i,0.00049247-0.00075716i,0.00042025-0.00087975i,0.00034448-0.00028387i,-0.00035206-0.00021611i,-0.00039855-0.00038883i,0.00020317-0.00024238i,-5.0538e-05-0.0002887i,-0.00071208+0.00036002i,-0.0012136+0.00087395i,-0.00092991+0.00042654i,-0.00047995+0.00019986i,6.1149e-05+0.00023468i,0.00038132-9.0362e-06i,0.00049811+3.5509e-05i,0.00055863-0.00036241i,-0.00017555-0.00029075i,-0.00069386+0.00061775i,-0.00040923+0.00051797i,-0.00022264+0.0002257i,1.6705e-05+0.00054235i
0.0011749+0.00024203i,0.00086341-0.00039474i,0.0015929-0.00027717i,0.0011408-0.00076258i,5.9493e-05-0.001375i,-0.00053583-0.000728i,-0.00049895+0.00027945i,-8.5441e-05+0.00078621i,0.00017524+0.00074822i,0.0001063+0.00088083i,4.9737e-05+0.00012812i,-0.00029092-0.0002316i,-0.00058555+0.00050416i,-0.00040015+0.00082148i,-3.4181e-06+0.00067987i,0.00019949+0.00043863i,0.00055728+0.00028288i,0.00094315-0.00057319i,0.0012467-0.0017558i,0.00038248-0.00095385i,-0.0011155+0.00057127i,-0.0007793+0.00091006i,-0.0005227+0.00045624i
0.00059908-0.00040818i,0.00088573+0.00021984i,0.00019194+0.00056807i,0.0001419+0.00077289i,0.00063466+2.2569e-05i,0.0003533-0.0011784i,-0.00043515-0.0011482i,-0.00029803-0.00024412i,0.00038745+0.00024354i,8.0182e-05+0.00045781i,-0.00050332+0.0010476i,-0.00021552+0.00088533i,6.073e-06+0.00013575i,-0.00073714-0.0002578i,-0.00050194-9.184e-05i,-0.00046544+0.0005241i,-0.00046722+0.0009164i,0.00036061+0.00049899i,0.00021145+2.0951e-05i,-0.00027659-0.00060733i,0.00022134-0.00084884i,0.00021356-0.00021681i,-0.00021956-0.00010573i
-0.0012299-0.00031647i,-0.0021828+0.00045522i,-0.002219+0.001173i,-0.001352+0.0014336i,-0.00038882+0.00033797i,-0.00034545-0.0007202i,-0.00046716-0.00095127i,0.00010701-0.00090915i,-9.1334e-05-0.00043317i,6.0636e-06+0.00027114i,0.00013546-0.00022314i,0.00033142-0.0013463i,0.0011689-0.0019861i,0.0011349-0.0015667i,0.00035963-0.00021658i,-0.00016265+0.00050895i,-0.00073017+1.8564e-05i,-0.0010582-0.00058095i,-0.0011475-0.00076735i,-0.00010332-0.00077364i,0.00074002-0.00093664i,-0.00048357-0.00065633i,-0.0011236-0.00051569i
0.0011738+0.0022238i,0.0018849+0.0011738i,0.0029101+0.00041838i,0.0024994+7.6987e-05i,0.0012148-0.00035425i,0.00077396-0.0006698i,0.00060912-0.00035856i,-2.3946e-05-0.00038704i,0.00013954-0.00061896i,0.00025047-0.0003551i,-4.7871e-05+0.00032219i,0.00099571+0.00090047i,0.0017968+0.00044367i,0.0008791-0.00023098i,-0.00016254-0.00089029i,-8.6837e-05-0.0009609i,-0.00011545-0.00025285i,-0.00029769-0.00030907i,-0.00038405-2.3943e-05i,-0.00052566+0.0002246i,-0.00027102-0.00015678i,8.4969e-05-0.00018456i,-0.0002188-9.7862e-05i
0.0015329+0.0020672i,0.0012352+0.0016587i,0.00067027+0.0022344i,0.00072713+0.0025778i,0.00046294+0.0007348i,-0.00097721-0.00075712i,-0.0018124-0.0003174i,-0.0013526+0.00019452i,-0.00071191-0.00011197i,-0.00028724-0.00062501i,-0.00033725-0.00015502i,-0.00013573+0.00044449i,2.5691e-05-0.00023135i,-0.00011254-0.00017903i,-0.00032084+0.00032235i,-0.0007035-0.00014144i,-0.00060363-0.00014098i,-0.00048668+3.1138e-06i,-0.00064203-0.00026611i,0.0001187-0.00015728i,0.00051298-0.00015281i,0.00043927-4.5615e-05i,0.00035228+2.7958e-05i
0.0013695+0.0012675i,0.00083543+0.0015555i,-0.0010338+0.001709i,-0.001494+0.0010409i,-0.00034986+0.00047957i,-0.00055919+0.00091793i,-0.001058+0.0011241i,-0.0011014+0.00019391i,-0.0011686-0.0004575i,-0.00077534+9.7252e-05i,-0.00064658+0.00058725i,-0.00051165+0.0001457i,-0.00024205-0.0002462i,-0.00066649+0.00013189i,-0.0010756+0.00015061i,-0.00039725+8.5564e-06i,1.6763e-05+0.00021547i,6.8045e-05+0.00044164i,0.00032075+0.0002342i,0.00049671-0.00037767i,0.0005778+0.00020629i,0.00056793+0.00060961i,-7.0274e-05-0.00032148i
0.0012552-0.0027376i,0.00034268-0.001845i,-0.0015566-0.0019665i,-0.0018782-0.0011758i,-0.00098168-0.00054607i,-0.0005582+9.8604e-05i,-0.00021495+0.00039173i,-0.00018274+1.8327e-05i,-7.858e-05-0.00078259i,-0.00027054-0.0010954i,-0.00086056-0.00050496i,-0.00094691+0.00047786i,-0.00065898+0.0011726i,0.00038794+0.0014934i,0.0010659+0.0007956i,0.00016665-0.00010972i,-0.0010597-0.00015254i,-0.00089495+0.00050024i,-0.00049359+0.00077933i,-0.00013421+0.00050416i,0.00039748+0.00013959i,-7.8861e-06-0.00057101i,-0.00026803-0.00022685i
-0.00027986-0.00059415i,-0.0011643-0.00026446i,-0.0023416-0.00025375i,-0.0016804+0.0004017i,-0.00053873+0.000584i,-0.00042277-0.00059503i,-2.8472e-05-0.00077495i,-0.00023634-0.00067108i,-0.00063094-0.0010694i,-0.00055623-0.00023897i,-0.00037361+0.00060174i,0.00038182-0.00014712i,0.00055777-0.0006179i,0.00044868-0.00030276i,0.00047675-1.3825e-05i,0.00024308-0.000474i,-0.0002747-0.00035318i,-0.00059341-0.00026785i,-0.00010438-0.0003762i,-0.00011907-0.00024032i,-0.00090692+0.0004481i,-0.0010327+0.00079677i,-0.00047552+0.00062557i
0.0013692+0.00082268i,0.0018032+0.00058331i,0.00183+0.00040057i,0.00054528-0.00031096i,2.1458e-05-0.0010625i,-0.00022797-0.001072i,2.6302e-05+1.1611e-05i,4.2621e-05+0.00013625i,0.00010983-0.00077603i,-3.4824e-05-0.0005446i,0.00035856-0.00067125i,0.00075022-0.00074052i,-0.00011655-0.0004077i,-0.00072654-0.00064892i,-0.00040263-0.00075126i,-0.00023129-0.00058701i,0.00040782-0.00047374i,0.00067083-0.00013733i,0.00032635+0.00069484i,8.0981e-05+0.0012071i,-0.00011141+0.00070621i,-0.00023039+0.00013642i,0.00061171+0.00011818i
