-0.0027085+0.0002391i,-0.0014819+0.001299i,-0.0030749+0.001855i,-0.0029043+0.0012789i,-0.0012796+0.0020745i,-0.00066046+0.0027222i,-0.00063155+0.0027941i,-8.6899e-05+0.0021653i,0.00084267+0.00076649i,0.00096539+1.5877e-05i,0.00030046-6.7804e-05i,0.00052537-0.00087091i,0.0010265-0.0011381i,0.0014378-0.00074543i,0.0018049-0.0011868i,0.0010848-0.0015976i,0.00034139-0.00051101i,-3.6687e-05+0.00033696i,0.00033326-0.00086786i,0.00052282-0.0013341i,0.00024806-0.00012543i,9.5542e-05+0.00055944i,9.0329e-05+2.3789e-05i
0.0008808+0.00043963i,0.00018764+0.0010277i,0.00018144+0.00043284i,0.00048837+0.00028597i,0.0012043+0.0015086i,0.00067286+0.0020103i,0.00046542+0.0017885i,0.00053485+0.0014605i,-0.00026314-7.1294e-05i,0.0002675-0.0004942i,0.00068519+0.00010077i,1.9195e-05-0.00019644i,-0.00027662-0.00049279i,-9.519e-05-0.00034857i,0.00048646+0.00012405i,0.00080319-3.6839e-05i,0.00024072-0.00052099i,-0.00013174-0.00040459i,-0.00059174-0.00054906i,-0.00082899-0.00071392i,-0.0010702-0.0010119i,-0.0007397-0.00098839i,-0.00010133+7.9361e-06i
-0.00040876-0.00039227i,0.00049499-0.00067137i,-0.00022487-0.00036742i,-0.00093064+0.0008084i,-0.00025533+0.0013346i,6.7267e-05+0.0019087i,-0.00013095+0.0023633i,0.00033024+0.0018682i,0.00088698+0.0011353i,0.00080346+0.00031281i,7.8921e-05+0.00026275i,-0.00072685+0.0003806i,-0.00069089+0.00073003i,0.00019216+0.00083365i,0.00070239+0.00079519i,0.00046315+0.00069587i,-0.00048771+0.0002166i,-0.00048179-0.00022284i,0.00017295-0.00016881i,0.0001124+2.4232e-05i,0.0001456+0.00061345i,-0.00011958+0.00054206i,-0.00078326-3.4932e-05i
0.00022427+0.0005353i,0.0010422+0.00095038i,0.0017927+0.00095502i,0.00083301+0.00074413i,0.00086354+0.0014245i,0.0011266+0.0023236i,0.00067473+0.0019845i,0.00090695+0.0011328i,0.00064643+0.00045303i,0.00031904+0.00044153i,0.00051925+0.00030478i,0.00031456-0.00026815i,0.00044713-0.00041708i,0.00064081-0.00023963i,-0.00026203+6.0262e-05i,8.4107e-05-0.00029679i,0.00066347-0.00072704i,-0.00010251-0.00081432i,3.647e-05-0.00015966i,0.00052767+0.00034112i,0.00064119-0.00031775i,0.000247-0.00088999i,-7.5999e-06-0.00069897i
-0.00084014-0.00013578i,-0.001897+0.0013032i,-0.0024008+0.0012017i,-0.0010396+0.00099803i,0.00058081+0.0016192i,0.0010682+0.0016156i,0.0010262+0.0011327i,0.00056605+0.00074834i,-0.00019074+0.00011049i,-0.00056737-0.00091935i,-0.00050384-0.0012033i,-0.00011013-0.00076715i,0.00072533-0.00071684i,0.0010967-0.0010589i,0.00081642-0.00082386i,0.00051039-0.00040157i,0.00061997-0.00039609i,0.00093+0.00012659i,0.0003634+0.00025679i,0.00018335+0.00030941i,0.00034494+0.00027388i,-4.8211e-06-0.00023653i,-5.8821e-05-0.0011847i
0.00013423+0.00042691i,-0.00035462+0.00050731i,-0.0016696+4.2479e-05i,-0.00091197+0.00035902i,-0.00010036+0.0011149i,-0.0011513+0.001405i,-0.0011656+0.00093228i,-9.7779e-05+0.0013674i,-0.00018579+0.0012704i,-0.00049748+0.00043936i,-0.00051711+0.00010553i,-9.343e-05-0.00046151i,0.00013653-0.00014221i,0.00049806+5.4757e-06i,0.00095655-0.00032276i,0.00086252-0.00017678i,0.0012184+0.00012682i,0.0016132+0.00017153i,0.0013394-0.00031873i,0.00061751-0.0004004i,-0.00020774-0.00045168i,-0.0002046-0.0005996i,0.00018639-0.00066622i
0.00012569+0.0013454i,0.00024221+0.0011475i,0.0003171+0.0010889i,-6.3865e-05+0.0010389i,-0.00069004+0.00071697i,-0.0010386-0.00027157i,-0.00072384-6.6645e-05i,-0.00010252+0.00097273i,0.00040881+0.00066685i,0.00036442-0.00053432i,0.00044319-0.0013797i,0.00072571-0.0010511i,2.8114e-05-0.00016378i,-0.0010195+0.00032709i,-0.00093675+7.4379e-05i,-0.00060887+8.0056e-05i,0.00016988-0.00038315i,0.00032943-0.0007586i,0.00012946-0.00011695i,0.0002664+0.00036815i,-0.00064725+0.00010785i,-0.00069964-0.00023966i,-0.00030046-0.00040642i
0.0016208-0.00087837i,0.00072683-0.0014453i,-0.00010108-0.0014592i,-0.0013208-0.00051085i,-0.0012342+0.0006997i,-0.00070025+0.0014794i,-0.00029306+0.0014705i,0.00073347+0.0015646i,0.0010662+0.001101i,-5.3347e-05+6.5922e-05i,-0.00077201-0.0001162i,-0.00065462+6.6021e-05i,-0.00099436+8.8653e-06i,-0.0015191+0.00041187i,-0.0011513+0.00032356i,-0.00012179+0.00017683i,-0.00031955+0.00023244i,0.00010814-0.00031037i,0.0013277-0.00031266i,0.0010655-0.00013148i,0.00057497-0.00024941i,0.00010113-6.8681e-05i,-0.00031413+0.00014904i
0.0026265+0.00034017i,0.0031968+0.00031377i,0.0026509-0.00019167i,0.00068257-0.00063883i,-7.363e-06-0.00071743i,0.00059737-6.3132e-05i,0.00051278+0.0011258i,0.00056446+0.0020969i,0.00084799+0.0011115i,0.00047959-0.00038356i,-1.006e-05-0.00063087i,0.00040767-0.00045127i,0.00033885+0.00020521i,-0.00059637+0.00061677i,-0.00097671+0.00017129i,-0.0005115+0.00040078i,-0.0011767+0.00063746i,-0.00094427+0.00017092i,-0.00035188-0.00053764i,-0.001072-0.00013549i,-0.00078133-0.00021018i,-0.00022515-0.00032915i,-0.00052868-7.1813e-05i
-0.00087507+0.0024485i,0.00015491+0.0027578i,0.00053051+0.0015824i,0.00072903+0.00022436i,0.0006171+0.0011603i,0.00024743+0.0016751i,0.00025269+0.0012269i,0.00084423+0.00072724i,0.0012659+0.00020766i,0.0004897-7.8702e-05i,5.1079e-05+0.0001514i,0.00022092-0.0001168i,-0.00051238-0.00043806i,-0.00065692-0.00048773i,-0.00065867-0.0001273i,-9.5656e-05-6.4752e-06i,0.00036692+0.00034063i,0.00039887+0.00026779i,0.00067446-0.00064908i,0.00063737-0.00071264i,0.00053135-0.00091878i,2.5815e-05-0.00075908i,-0.00035006+4.4357e-05i
-0.0011568-0.00011284i,-0.00041048+0.00037862i,0.0009293+0.00024065i,0.00051297-0.00070506i,-0.00012908-0.0003615i,0.00056053+0.00071856i,0.00072022+0.0010795i,0.00044013+0.0010222i,0.00046612+0.00021524i,0.00031754-0.0005273i,-0.00011109-3.3345e-05i,-0.00051453+0.00041236i,-0.00044624-0.00036903i,-0.00034308-0.00036384i,0.00010493+0.00059409i,0.00094426+0.00093147i,0.0008468+0.00091265i,6.3605e-05-0.00043358i,-1.8441e-05-0.0013033i,-0.00027925-0.00014901i,-0.00068435+0.0010591i,-0.0011977+0.00069881i,-0.0015329-0.00014789i
-0.00074996-0.001357i,-0.0013405-0.00064321i,-0.0021644-6.0319e-05i,-0.0016431+0.0008163i,-0.0011359+0.0020597i,-0.00040495+0.0030984i,0.00084835+0.0028589i,0.0007953+0.0020062i,0.0002606+0.0010755i,0.00069716+0.0008902i,0.00047857+0.00046458i,-0.00025334-0.00019439i,0.00023192-0.00016153i,0.00038473+0.00050016i,0.00049928+0.00046075i,0.00099919+0.0004375i,0.00043466+0.00047895i,-0.00033389+6.9776e-05i,-0.00075399-0.00049376i,-0.00077046-0.001204i,-0.00024132-0.00024427i,-2.9086e-05+0.00080622i,0.00032296+0.0002576i
0.0011965+0.0022905i,0.00021691+0.0015345i,0.00085903+0.00074228i,0.001393-0.00012925i,0.0010847-0.00022509i,0.00066791+0.00092907i,-0.00025622+0.0021797i,-0.00031895+0.0024556i,0.00055421+0.0012647i,0.00027013-0.00026065i,0.00028585-0.0014143i,0.00062303-0.0014552i,0.00041504-0.00070664i,0.00017849-5.1249e-05i,0.00036266+0.00028002i,0.0007626+0.00011867i,0.00086847+0.00037257i,0.00015494+0.00011566i,-0.00035054-0.00047816i,0.00043277-0.00017135i,0.00065688-0.00035664i,0.00029387-0.0005831i,7.0527e-05-0.00076725i
-0.0009071+0.0012469i,-0.00059283+0.0014419i,-0.00056409+0.0015165i,-0.00051578+0.0012038i,0.00038746+0.0008058i,0.00026819+0.0010949i,-0.00085387+0.001549i,-0.00082343+0.0020547i,-0.0002182+0.0014669i,0.00024669+0.00015214i,-0.00011791-0.00015182i,-3.5489e-05-0.00047669i,0.00032193-0.00083054i,-0.00015749-0.0008769i,-0.00023351-0.00077094i,0.00041821-0.00022801i,0.00039685-0.00031552i,0.00036997-0.00059033i,0.00083045-0.00051171i,0.0011054-0.00045813i,0.00086302-0.00037926i,0.00025538-0.00040045i,0.00026899-0.00052642i
-0.00039238+0.0021599i,0.00082919+0.0010457i,0.0015085-0.00067446i,0.00055851-0.00051312i,-0.00059605+0.00076717i,-0.0012226+0.0016536i,-0.00090608+0.001419i,-0.00016171+0.00090956i,-4.535e-05+0.0001205i,-4.1055e-05-0.00060603i,0.00045329-0.00048205i,0.00049252-0.00021166i,-0.00046618-0.00070529i,-6.1687e-05-0.00064526i,0.00074401-0.00046453i,0.00076148-0.00049131i,0.00047905+0.00026236i,-0.00015892+0.00063457i,-0.00080935-1.1929e-05i,-0.00028434+0.0003715i,0.00019961+0.001212i,0.00027697+0.00099415i,0.00022723+0.00088359i
0.0011441+0.00056555i,0.0010847+0.0014497i,0.002351+0.001127i,0.0024985-0.00047806i,0.0012888-0.0015596i,-4.0568e-05-0.0013654i,-0.0004227+2.8012e-05i,0.00044398+0.0011509i,0.00085915+0.00089851i,0.00014556-0.00024235i,-9.5764e-05-0.001258i,-0.0003357-0.001279i,-0.00034884-0.00087331i,0.00033326-0.00069971i,0.00052187+3.9494e-05i,0.00017612-0.00029806i,-0.00020957-0.00094677i,-0.00051091+0.00014482i,-0.0004479+0.00070869i,-0.00028761+0.00025057i,0.00015527-1.8859e-05i,0.00052842-0.00028068i,0.00036833-0.00037674i
0.0018717+0.00048999i,0.00066748+0.00045516i,-0.00066145+0.00069163i,-0.00045792+0.0015418i,0.00032917+0.0014869i,0.0004526+0.0016923i,0.00037621+0.0026188i,5.6511e-05+0.0028328i,0.00040689+0.0021908i,0.00099684+0.001294i,0.00087135+0.00034505i,0.00062656-0.00022019i,0.00075803-1.0689e-05i,0.00046624+0.00047324i,0.0009089+0.00080627i,0.00099275+0.00010655i,0.00054252-0.00045926i,0.00037244-0.00017427i,0.00033258-9.9577e-05i,0.00020713-0.00020176i,-0.00031718-1.7669e-05i,-0.00087314+2.6287e-05i,-0.00085982-0.00017145i
-0.0025269+0.0021828i,-0.0025376+0.0018852i,-0.00057625+0.0015183i,0.00074779+0.00075001i,7.1698e-05-0.00012297i,-0.00095184-0.00026727i,-0.00081885+0.00067861i,0.00079568+0.0006742i,0.0017736+0.00029201i,0.0013649+0.00042298i,0.00039028+0.00016081i,-0.00046802-0.00050009i,-0.0010065-0.0003769i,-0.00011971+0.00017685i,0.00062245+0.00055115i,-0.00020278+0.00097912i,-0.00073945+0.00034915i,-0.00053463-0.0004057i,-0.00057094-0.00026091i,-0.00077882+0.00029935i,-0.00050964+0.00046375i,-0.00011013+0.00072983i,-1.149e-05+0.0011775i
0.00070663-0.0015182i,0.0017237-0.0028053i,0.0018845-0.0016899i,0.0017142-0.0011536i,0.0013457-0.00078452i,0.00045858+0.00076031i,-0.00019414+0.0020925i,0.00016726+0.0019695i,0.00050567+0.00039739i,0.0006431-0.00024315i,0.0010672+9.9305e-05i,0.0014137+0.00012392i,0.00064965+0.00030258i,1.2836e-05+4.7626e-05i,-0.00012636-0.00080382i,-1.4322e-05-0.0011722i,0.00022018-0.00087638i,0.00015335-0.00047205i,0.00020612-0.00049502i,0.00082426+0.00049159i,0.00070713+0.00052023i,-0.00010226-0.0002893i,-0.00090185-0.00035707i
0.0016928+0.00046145i,0.0020398+0.00051634i,0.0010813+0.00014678i,0.0004061+0.00035685i,0.00040058-4.8447e-05i,0.00030661-6.1712e-05i,0.00011854+0.00086821i,0.00063265+0.001837i,0.0011873+0.0018327i,0.00032596+0.0012208i,-0.00015834+0.0010475i,-0.00020392+0.00015962i,-0.00034555-0.00054651i,-0.00039497-0.00011954i,-0.00044163-5.2228e-06i,0.00024897+0.00055375i,0.00024195+0.0012087i,-0.00029163+0.00029756i,-0.00048479-0.00049686i,-4.2686e-05+0.00010435i,0.00025539+0.00018992i,-0.00047573-7.9531e-05i,-0.0014506+0.00027584i
0.00023798+0.002021i,8.2317e-05+0.0015421i,-0.00067496+0.0013065i,-0.0002711+0.0010354i,0.0008059+0.00088456i,0.0004139+0.001631i,-0.00044824+0.0016582i,-0.00066701+0.0014308i,-0.00014005+0.0018128i,0.00066835+0.00098831i,0.0011136-0.00038777i,0.000839-0.0012158i,8.4413e-06-0.0012669i,-4.4641e-05-0.0010258i,0.00035379-7.033e-05i,-0.00019057-0.00011125i,-0.00059203-0.00013034i,-0.0011942+2.1831e-05i,-0.00083557-0.00066676i,-0.00018193-3.2996e-05i,-0.00036969+0.000615i,0.00034416-0.00012407i,0.00031701-0.00035917i
-0.0007061-0.0016579i,-0.00092065-0.00069769i,-0.00065324-0.0012122i,-0.00084102-0.00038747i,-0.00063429+0.00072474i,0.00010438+0.0014596i,0.00060423+0.0022008i,0.00066221+0.0016759i,0.00044236+0.00052163i,-0.00028588-0.0004544i,-0.00072367-0.00045189i,-0.00046039-7.8118e-05i,-0.00029911+0.00043639i,-0.00013495+0.0010362i,0.00063702+0.0013944i,0.0010636+0.0015272i,0.00060519+0.0010765i,0.00071167+0.0004817i,0.00096164-0.00044271i,0.00097832-0.001106i,0.00056232-0.00056263i,3.1996e-05+0.00046615i,0.00018101+0.00079469i
0.0029294-0.0011216i,0.0031074-0.0024573i,0.0018623-0.0020618i,0.000607-0.0014289i,0.00017822-0.00083744i,-0.00054233+0.00024892i,-0.001139+0.0018128i,-0.00024435+0.002101i,0.00040184+0.00085619i,0.00016043-0.0001115i,-0.0001558-0.00016803i,-0.00084495+0.00014189i,-0.00077907+5.5707e-05i,-0.0010105+0.00023124i,-0.00084065+0.00086378i,-0.00032673+0.00084289i,-0.00066525-0.00027396i,-0.00059308-0.00026071i,3.8899e-05+0.00064748i,8.428e-05+0.00085786i,0.00025026+0.00030066i,0.00065405-9.6233e-05i,0.00044253-0.00055421i
0.00076927+0.00064364i,0.00057053+0.0010797i,0.00050416+0.00033036i,0.00068847+4.361e-06i,-0.00033336+0.00057658i,-0.00015917+0.0016888i,0.00048566+0.0018157i,0.00067323+0.0014449i,0.00043243+0.00098644i,0.000155+9.1553e-05i,-3.18e-05-0.00090921i,-0.00040419-0.0010095i,0.00014961+0.0002601i,0.0012922+0.00049781i,0.00239-0.00025848i,0.0021061-0.00064503i,0.00086757-0.0006137i,0.00027661+0.00011638i,0.0001284+0.00058347i,0.00030268-3.4405e-05i,0.00061417-0.00014363i,4.918e-05-0.00032543i,-0.00069431-0.00064537i
0.00030644-0.00047828i,0.00014426-0.00044521i,-0.00066543+0.00046789i,-0.0017735+0.0004039i,-0.0014927-0.00059264i,-0.0011133-0.00020268i,-0.00027354+0.00029342i,0.00070862+0.00082685i,0.00079648+0.00064298i,0.00017201+0.00016513i,-0.00047656+0.00016276i,-0.00052611+0.00098125i,-0.00053905+0.001578i,-0.00066195+0.0014214i,-0.0010569+0.00072051i,-0.00048214+0.00075753i,0.00061971+0.0010301i,0.00079381+8.8093e-05i,0.00069263-0.00057291i,0.00033027+0.00012934i,0.00048464+0.00053167i,0.00027129-0.00021894i,0.0003252-7.3041e-05i
-0.00026503+0.0009004i,0.00010656+0.0020233i,0.00073559+0.0019243i,0.0017888+0.0011789i,0.0023489+0.0012873i,0.0011232+0.0010881i,-0.00023982+0.00049249i,-0.00048567+0.00027321i,-0.00028561+0.00027462i,9.4678e-05+0.00056971i,0.00067632+9.1949e-05i,0.00077966-0.00058557i,0.00032589+0.00017449i,0.00038994-2.6084e-05i,0.00016042-0.0012833i,0.00026592-0.00088543i,0.00050012+0.00029694i,4.3558e-05+0.00032992i,-0.00063348-0.00030999i,-0.00080082-0.00032757i,-0.00017938-0.00042221i,6.1402e-05-0.00050867i,-0.00010593-0.0003571i
0.0014503+0.0012429i,0.00054779+0.00080697i,0.0002756+0.00045902i,0.00015649+0.00098687i,-9.1672e-05+0.00090157i,-0.00048085+0.0011232i,-0.00072642+0.0016875i,-0.00010383+0.00094236i,-1.6324e-05+5.7321e-05i,0.0001505+0.00030076i,0.00049162-4.8805e-05i,6.9721e-05-5.81e-06i,-0.00046289+0.00016294i,-0.00029297+0.00060163i,0.00034865+0.0011836i,0.00093631+0.0013272i,0.0011158+0.00087994i,0.00070525-0.00022536i,0.00023921+2.7878e-05i,0.00020714+0.00025042i,0.00050127-0.00013257i,0.0007519-0.00050039i,0.00063787-0.00067765i
-0.0010489+0.0013748i,-0.0015712+0.0015232i,-0.0015345+0.00078839i,-0.00062402+0.00055299i,7.7538e-05+0.0004849i,6.0678e-05+0.00043089i,-0.00039384+0.0012106i,1.9681e-05+0.001229i,0.00036018+0.00021597i,0.00021187-0.00044694i,0.000118-0.00016603i,0.00015777+0.00042749i,0.00036245+0.00051949i,0.00062942+0.00052349i,0.00051376+0.00058614i,6.0105e-05+0.0007734i,-0.00098982+0.00024038i,-0.0016529-0.00042743i,-0.00071794-0.00017281i,-8.0995e-05-0.00020291i,-7.5735e-05-0.00051779i,0.00016212-0.00078817i,-0.00012651-0.00031983i
0.00017945-0.0019285i,0.0010131-0.0029189i,0.00096152-0.0020292i,0.00026064+0.00039793i,-0.00092767+0.0018838i,-0.0010179+0.0020163i,-0.00017954+0.0022339i,0.00046171+0.001827i,0.0010864+0.00034127i,0.00051063+7.9557e-05i,-0.00014548-0.00023425i,-0.00011498-0.0010218i,-0.00013349-0.00087091i,0.00087364+0.00084291i,0.0016178+0.0015704i,0.0015358+0.0012907i,0.00076865+0.00077531i,-0.0005502+0.0001133i,-0.0011576-0.00089101i,-0.00018011-0.0016883i,0.00069133-0.00095798i,0.00015945-0.00030111i,-0.00026183+0.0001192i
0.00036223+0.0012455i,0.00067578+0.0016845i,0.00063682+0.001081i,-0.00055134+0.00076081i,-0.0013566+0.0013184i,-0.00064302+0.001114i,0.00020423+0.00071152i,0.00099101+0.00071815i,0.0015468+0.0004195i,0.00095999-0.0002531i,0.00029902-0.0005903i,0.00081118+0.00033638i,0.0010555+0.00090006i,0.00085033+0.00077551i,0.00064691+0.00049241i,0.00014329+0.00023522i,-0.00018275-0.00026675i,-0.00020577-0.00074526i,-0.00041305-0.00071334i,-0.00045913-0.00079293i,-0.00093816-0.0011891i,-0.00098926-0.0011885i,-0.00016747-0.00062569i
-0.0015062+0.00014013i,-0.0017779+0.00053792i,-0.0019937+0.00036697i,-0.0016669+0.0010112i,-0.00048455+0.0009322i,0.00029725+0.0010551i,-3.9084e-05+0.0019129i,0.00014742+0.0012809i,0.00018141+0.00094059i,-0.00020044+0.0011811i,-1.7235e-05+0.00099172i,0.00055+0.00037303i,0.0011819-8.4001e-05i,0.0014523-0.00027672i,0.0011338-0.00025607i,0.00080006-0.00033622i,0.0010607-0.00038872i,0.00087741-0.00020069i,0.0001332-4.8747e-05i,-0.00018355-0.00035587i,-0.00049286-0.00079523i,-0.0010618-0.00052297i,-0.00086116-0.00052687i
0.00049905+0.0012839i,0.00083146+0.0013841i,0.0013227+0.0015228i,0.0008438+0.00098334i,0.00012183+0.0010509i,-0.00023043+0.0018804i,-0.00071844+0.0020047i,-0.00041586+0.0015876i,0.00020297+0.00045143i,0.00088805-0.00075947i,0.00058545-0.0010172i,-0.00019704-0.0013819i,-0.00045942-0.0011173i,-0.00019673+0.00022093i,0.00018125+0.00095109i,0.00030776+0.00053552i,0.00023459-0.00038423i,-0.00019147+3.507e-05i,-0.00029615+0.00050006i,-0.00036166+4.5765e-05i,-0.00038544+0.00054089i,-0.00018883+0.00052787i,-0.00020685+7.9068e-05i
-0.00060553+0.00018454i,-0.0018198+0.00084034i,-0.0021572+0.0011078i,-0.00044483+0.00036529i,0.0007583+0.00011563i,-1.6596e-05+0.00017203i,-0.00031516+0.00029963i,0.00033835+0.00040791i,0.00087133+0.00047335i,0.00081662+0.000581i,0.00051483+6.0459e-05i,0.00018485-0.00049676i,0.0002662-0.00049841i,0.00068554-0.00046666i,0.0013311-0.00013351i,0.0007808+0.00026121i,0.00010172-0.00033187i,-0.00032009-0.001114i,-0.00070459-0.00074887i,-0.00028182+0.00038728i,0.00051179+0.00048966i,0.00058153+0.00024199i,-0.00011779-0.00015629i
