-0.000273+0.0013213i,0.00044457-0.00073349i,-0.00081564-0.00053804i,-0.0015346+0.00030896i,-0.0010842+0.0010495i,-0.00076275+0.00095297i,-0.0011173+0.00014247i,-0.0010683+0.00035436i,-0.00038668+0.00058914i,0.0002443+0.00043536i,-0.00042578+0.00031607i,-0.00060372+0.00091549i,-0.001233+0.0010269i,-0.0017349+0.00019171i,-0.0013691+3.835e-05i,-0.0008586-0.00032146i,0.00020602-0.000533i,-3.6728e-05+8.1008e-05i,-0.00070764+0.00036645i,3.2247e-05+0.00039914i,7.3934e-05+0.00063805i,0.00033064+0.00036661i,0.00080488+0.00016922i
0.0012696+0.00084419i,0.001713+0.00065589i,0.00097503+0.00056828i,0.00013742+0.00055232i,-0.00018136+0.00077812i,-0.0011811+0.00017126i,-0.0015968-0.00020655i,-0.00069014+0.00035076i,-0.00061953-0.00053292i,-0.0010611-0.0011309i,-0.00091538-1.1182e-06i,-0.0004966+0.00039815i,-5.0309e-05+7.5619e-05i,0.00014007+0.00045566i,-6.2462e-05+0.00089302i,1.7755e-05+0.00032882i,-0.00065924-0.00037726i,-0.0015175-0.00055213i,-0.0013253-0.00018367i,-0.0012717-1.1441e-05i,-0.00021446-0.00023327i,0.00089617+0.000547i,0.00032267+0.0005263i
0.00039796+8.7157e-05i,0.00025218-0.00033887i,-0.0001653+0.00026694i,-0.00020538+0.00084113i,-0.00063598+7.6962e-05i,-0.00093483+0.00015235i,-0.00088238+0.00038371i,-0.00082947+0.00025057i,-0.0011749-0.00052969i,-0.00093075-0.00088702i,0.00027613-0.00050748i,0.00077078-0.00074089i,-1.186e-05-0.00072577i,-0.00029128+6.2176e-06i,-0.00011494+0.000398i,-0.00039797+0.00029268i,-0.00055101+0.00030757i,-0.00036991+0.00060168i,-0.00029063+0.00080886i,-0.00018845+0.00031214i,-0.00018597-0.00064146i,-0.00038329-0.00059258i,-0.00024413+0.00013609i
0.00041786+0.00016959i,-0.00030056-0.00076707i,-0.0012267-0.0012197i,-0.00093263-0.0004096i,-0.00047867+0.00083924i,-0.00039797+0.0010901i,-8.1185e-05+0.00028526i,6.6938e-05-9.7465e-05i,0.00014409-4.986e-05i,-0.00016605+0.00050219i,2.8476e-05+0.00085903i,0.00016538+0.00094403i,-0.00015333+0.00059858i,-0.00021023-0.00038112i,-0.00017005-0.00093149i,-0.00063067-9.5193e-05i,-0.0010664+0.00028856i,-0.00094195-0.00031817i,-0.00078878+3.269e-05i,-0.00049086+0.00043742i,-0.00021102+0.0010331i,-0.00066985+0.0016863i,-0.00055791+0.00097381i
0.00094301+0.00042424i,0.0016211-0.00017983i,0.0011177-0.0006197i,0.00033232-0.0006201i,0.00076802-0.00049929i,0.00045159-0.001012i,-0.00089492-0.0014029i,-0.0004103-0.00068743i,7.0382e-05+0.00022579i,-0.0009126-0.00031582i,-0.00082043-0.00064501i,-0.0001844+0.00031369i,-0.00035309+0.0008038i,-0.00080956+0.00068936i,-0.00055281+0.00063038i,-0.00048318+4.06e-06i,-0.00085757-0.00049283i,-0.00053566-0.00031298i,0.00014693+0.00016532i,0.00065628+0.00064466i,0.00074512+0.00088647i,0.00018205+0.00066338i,-1.5614e-05+9.3296e-05i
-0.00047393-0.0016121i,-0.00083126-0.0019097i,-0.0012028-0.00080872i,-0.0013314+0.00095796i,-0.0010986+0.0015053i,-0.00094529+0.0014932i,-0.00078874+0.00086004i,-0.00073768-7.1282e-06i,-0.00018533+0.00015976i,-0.00018133+0.00054829i,0.00022308+0.00048776i,0.00069774+0.00031819i,2.5681e-05+0.00012725i,0.00016263-0.00040354i,-0.00015427-0.00058315i,-0.00072618+0.00042092i,-0.0011985+0.0014589i,-0.00090823+0.00059109i,0.00020886+1.5089e-05i,0.00097961+0.00052876i,0.0011853+0.0009825i,0.0011283+0.0010028i,0.0005263+0.0010008i
0.0017353-0.00077972i,0.0013165-0.0013531i,0.0010727-0.002264i,0.00054404-0.0016968i,-4.4062e-05-0.00087783i,-0.0010915-0.0011509i,-0.0012999-0.0007824i,-0.00034817-0.00044894i,9.8088e-05-0.00060019i,0.00017355-0.00071774i,-0.00013007-9.3643e-05i,-0.00055372+0.00070715i,-0.00099284+0.00075298i,-0.00099709-0.00029497i,-0.00017163-0.00077042i,-0.0001113-0.00037809i,-0.00070644-8.3787e-05i,-0.00094951+0.00046186i,-0.00083777+0.00043777i,-0.00026292+0.00012315i,5.1602e-05-0.00015266i,-8.7887e-05+1.8722e-07i,0.00047095+0.00011634i
-6.5961e-05+0.0010514i,0.0013544+0.00079739i,0.0019469+0.00075977i,0.0014606+0.00038095i,9.7444e-05-0.00018034i,-0.0010627-9.3668e-05i,-0.001404-0.0002465i,-0.0013602-0.00046223i,-0.00045243+0.00051799i,0.00033914+0.0010833i,-0.00019648+0.00033823i,-0.00023625-0.00027193i,0.00022517+9.6119e-06i,0.00010952+0.00015053i,-0.0005598-0.00069983i,-0.00055866-0.00037316i,-0.00038758+0.00033452i,-0.00051461+0.00066812i,0.0001531+6.9012e-05i,0.00064535-0.00079021i,9.8702e-05-0.00041744i,-0.00080081-7.6283e-05i,-0.00084237-0.00063591i
0.00012584-0.00012868i,-0.0008802-0.00010808i,-0.0023023-0.00048276i,-0.0020382-0.00020659i,-0.0012163-0.00049978i,-0.00030587-0.00040572i,0.00061645+0.00064156i,0.00053895+0.0014069i,0.00081851+0.0007988i,0.00069087-0.00017101i,-0.00036706-0.0003297i,-0.0006423+3.4501e-07i,0.00024096+0.00022385i,0.00026774+0.00012743i,-0.00051784+0.00023292i,-0.00096957+0.00021143i,-0.0012655-5.5305e-06i,-0.0011809+0.0003135i,-0.0007937+0.00081077i,-0.00069398+0.00081484i,-0.00087735+0.00026133i,-0.00075698+0.00038954i,-0.00016861+0.00034266i
0.0015026-0.0012449i,0.0011419-0.0024904i,0.00056897-0.002458i,0.00024513-0.0020406i,-0.00019691-0.00084592i,-0.00033752-0.00037829i,-0.00051954-0.00074877i,-0.00064681-0.0015329i,0.00045665-0.0011524i,0.00090931+0.00016821i,0.00055278+0.00038397i,0.00078374-0.00011529i,0.0011305+0.00023203i,0.00063191+0.00084626i,0.00095797+0.00044953i,0.0012751+0.00018247i,0.00077435+5.4905e-05i,0.00076397-0.00010233i,0.00029058+0.00028034i,-0.00058461+0.00057435i,-0.00084839+0.00043073i,-0.00093937-0.0002179i,9.3881e-05-0.00016615i
0.0020927-0.00081067i,0.0023791-0.0016529i,0.0020726-0.0013803i,0.00077082-0.00012963i,0.00082502+0.00025245i,0.00049469-0.00032082i,-0.00034424-0.00062238i,-0.00023128-0.00094005i,-2.723e-05-0.0011896i,-0.00031044-0.0006241i,-0.00027425+0.00018345i,0.0002874+0.00028929i,-3.9468e-05-0.00065439i,-0.00050736-0.00088505i,-0.00083795+0.0004955i,-0.0017937+0.0011332i,-0.0019431+0.0010918i,-0.0012033+0.0010117i,-0.00099715+0.00046427i,-0.00063952-0.0002255i,-0.00047327+0.00016774i,-0.00027037+0.00014156i,0.00068743-0.00055659i
0.00031002+0.0011194i,-0.00059249-0.00024461i,-0.00033915+0.00036433i,0.00077613+0.00078119i,2.3813e-05-0.00015506i,-0.0014115-0.0010916i,-0.0021704-0.00076525i,-0.0015802-0.00016922i,-0.0003135+0.00067496i,-0.00036942+0.00060446i,-0.0003867+0.00036833i,0.00028057+0.00039656i,-8.2894e-06-0.00016718i,-0.00073137-0.00020367i,-0.00083748-0.00017876i,-0.00072174+0.0002491i,-0.00049615+0.00014577i,-6.811e-05-0.00041274i,-8.9491e-06-0.00044108i,0.00038763-0.00074487i,0.00011567-0.00010156i,-0.00036075+0.00063558i,-5.1037e-09+0.00011078i
0.0009161+0.00042209i,0.00049424-0.00026564i,-0.00083986-0.00034461i,-0.0014944+0.00020272i,-0.00097948+0.00027807i,-0.0002429-0.00014588i,-0.00031285-0.00051061i,-0.00057682-0.00051308i,-0.00013771-0.00053071i,-0.00012658-0.00083078i,-0.00047831-0.00060405i,-0.00039647+0.00023639i,-0.00095622+0.00058053i,-0.001395+7.1541e-05i,-0.0011803-1.4374e-05i,-0.00123+0.0004465i,-0.00045554-4.5825e-06i,0.00036219-0.00032325i,0.00040292-0.00021381i,-0.00046743+8.4726e-05i,-0.00088235+0.00074269i,-0.00041701+0.0013129i,-0.00040135+0.0010692i
0.001107-0.0013916i,0.0012181-0.00074785i,8.1106e-05-0.00035377i,-0.00079434+0.00022357i,-0.0014235+0.00032026i,-0.0016639+0.00043812i,-0.0012342+0.0003247i,-0.00057796-1.9519e-05i,-0.00043741-0.00041454i,-0.00047725-0.00024729i,-0.00016569+0.00034186i,-3.6332e-05+6.2194e-05i,0.00070034-0.00031669i,0.00060044-0.00032455i,-0.00040966-0.00037761i,-0.0011576+0.00017539i,-0.00069728+0.00018948i,-0.00017604+0.00022537i,-1.8222e-05+0.00038525i,0.00015515-0.00045356i,0.00029816-0.00060275i,0.00016573-8.5118e-05i,6.8485e-05+1.6449e-05i
0.001279-0.0024894i,-0.00014999-0.0022742i,-0.00079245-0.00072098i,-0.00080134-3.0027e-05i,-0.0013253-0.00044239i,-0.00095798-0.00015116i,-0.00049904+0.00028201i,-0.00075461+0.00040626i,-0.00062875+4.1932e-05i,-0.00042099-4.4001e-05i,-0.00050292+0.00075451i,-0.00044949+0.0012266i,-0.00026687-9.6963e-05i,-0.0002813-0.00081641i,-7.0327e-05-0.00031393i,0.00011558+0.00040545i,4.0915e-05+0.00098531i,-0.00057212+0.00051829i,-0.0004369+0.00018307i,0.00017944-2.6537e-05i,0.0002149-0.00011963i,-4.4146e-06-0.0002693i,0.00038344-0.00021945i
0.0018824-0.0003369i,0.0024438-0.00095742i,0.00023068-0.0015399i,-0.0005902-0.0009093i,6.554e-05+0.00021594i,0.00043881+8.2741e-06i,8.29e-05-0.0002987i,-0.00052677-0.00023975i,-0.00053065-0.00019951i,-0.0004105-0.00010019i,-0.00047395-0.00020019i,-0.00046816-2.4602e-05i,0.0010657-0.00018238i,0.0013891+0.00025568i,0.00030868+7.557e-05i,0.00054718-0.00060862i,7.3325e-05-0.00054415i,-0.00024019-0.00040259i,-0.00024475-0.00050528i,-0.00088921+0.00014405i,-0.00070009+0.00072227i,-0.00044014+0.00039453i,-0.00099996+5.3879e-05i
0.0021959+0.00041159i,0.0019482-0.00051126i,0.0015888-0.00087335i,0.00034566-6.0809e-05i,-0.00058064+0.00022686i,-0.00086413-0.00019691i,-0.0014543-0.00012703i,-0.00096184+0.00039787i,-0.00034176+0.00054792i,-0.00016735+0.0001294i,0.00022773-0.00066746i,0.00058764-0.00089819i,0.00062413+0.00042626i,0.00016198+0.0015834i,-3.3526e-05+0.0010738i,-8.7511e-06+0.00014108i,-0.00048021-0.00015363i,-0.00092863+5.4605e-05i,-0.0017868+0.0006216i,-0.0018525+0.0010913i,-0.00069187+0.00062323i,0.00019875+0.00056718i,0.00056861+0.00065543i
0.00045796+0.0005078i,0.0013364-5.4661e-05i,0.0013831-0.00020646i,0.00046644+8.8622e-05i,-0.00025937+0.00045578i,-0.0003561-0.00024243i,-0.00064471-0.00082585i,-0.00098766-0.00057064i,-0.00097586-0.00054026i,-0.00064684-0.00052827i,-0.00011878-0.0003439i,0.00023762-0.00029587i,0.00018033-0.00041365i,0.00020157-0.00057787i,-0.0001164+0.00030393i,-0.00017096+0.00080543i,0.00033093+3.2421e-05i,-8.6606e-05-0.00034851i,-0.00039082-0.00029666i,-0.00022435-0.00017794i,-0.000183-0.00025536i,-0.00029371-0.00019959i,-0.00057313+0.00010244i
-0.00080132-0.00063814i,-0.0025009-0.0016055i,-0.0029955-0.00099406i,-0.0010527-6.6653e-07i,0.00072683+3.019e-05i,0.00042345-0.0007418i,-0.00073056-0.00062427i,-0.00051676-6.7361e-05i,0.00064853+0.00041275i,0.00039538+0.00071111i,0.00012585+0.00012363i,-0.00050953-0.00075041i,-0.00067606-0.0008373i,-0.00041225-7.5726e-05i,-0.00061189+0.00010978i,-0.0006303+0.00060882i,-0.0012047+0.00095142i,-0.0010733-0.00031429i,-0.00016229-0.0005476i,0.00038032+0.00018529i,0.00080938+0.0004416i,0.0009031+0.00040194i,0.00052436-0.00017059i
0.0013998-7.8017e-05i,0.00034255-0.00093325i,-0.00018503-0.0013176i,0.00015903-0.0013925i,0.00059549-0.0011028i,-0.00035515-0.0018795i,-0.0013676-0.0017996i,-0.00092155-0.00048652i,5.0105e-05-0.00033575i,0.00051097-0.00026395i,0.00067575+0.00026466i,0.00029743+0.00024917i,-0.00057546+0.00027643i,-0.00088347+0.00080573i,-0.00032769+0.00069273i,-4.9155e-05+0.0011304i,-0.00016092+0.0015012i,0.00038447+0.0016584i,0.00077588+0.001915i,0.00036628+0.0014982i,0.00016835+0.001176i,8.2761e-05+0.00049648i,0.00013585-0.0001476i
0.0018151+0.00041389i,0.0012031-0.00016052i,0.00017772-0.00076196i,-9.1574e-05-0.0013092i,4.5966e-07-0.0014511i,-0.00082446-0.00078683i,-0.00093976+9.8857e-05i,7.9281e-05+0.00088503i,0.00041536+0.00046355i,0.00070445-0.00047577i,0.00094541-0.00070647i,0.00042022-9.1204e-05i,-0.0003873+0.00057633i,-0.00066199+0.00058699i,-4.3686e-05+2.8724e-05i,-0.00015297-0.00051086i,-0.00040151+0.0001254i,-2.2837e-05+0.00070356i,4.7684e-05+0.00052064i,-0.00027502+0.00034039i,-2.8225e-05+0.00016399i,0.0010101-0.00040873i,0.0014002-0.00072813i
0.0022822-0.00026019i,0.0016032-0.00054375i,-0.00036186-0.0011984i,-0.0012057-0.0010041i,-0.00077952+1.8217e-05i,-6.9596e-05+0.00017017i,0.00012926-1.5797e-05i,0.0005168+0.0002455i,0.00032068+0.00028254i,-0.0005426-0.00034015i,-0.00073603-0.00099219i,-0.0003949-0.0010497i,-0.00025907-0.00075462i,-0.00011389-0.00044155i,-4.619e-06-0.00023739i,-0.00090942+0.000377i,-0.0013865+0.0007708i,-0.00074982+0.00055829i,0.00040862-3.303e-05i,0.00039261+2.8426e-05i,-0.00020665-4.8911e-05i,0.00020945-0.00023876i,0.00067205-0.00011801i
0.0011154+0.0002645i,0.00062411-0.0003732i,0.00085441-0.00085384i,0.00024826-0.00041863i,-0.00013427-9.0796e-05i,-0.00092035+2.8153e-05i,-0.0013911+0.00019939i,-0.00084663+0.00016397i,-9.491e-05+0.00024244i,-0.00028891+8.8174e-05i,-0.00061937-0.00053435i,-0.0004013-0.001114i,-0.00049557-0.0010338i,-0.00023306-0.00060802i,0.00019505-0.00016078i,0.00011194+0.00022466i,-4.5933e-05+0.00048007i,-2.7177e-05+0.00026806i,-0.00041588-1.4511e-05i,-0.00033777-0.00014316i,-1.1818e-06-0.00024349i,0.00025422+0.00031156i,0.00046763+0.00030866i
0.00024438-0.00015855i,0.00023123-0.0008234i,0.00064869-0.00061768i,-0.00011344-0.00022043i,-0.00011268-0.00037082i,5.4291e-05-0.0008438i,-0.00031877-0.0012769i,-0.00017672-0.00075349i,-0.00081502+0.00047472i,-0.0010125+0.00083429i,-0.00023606+0.00016185i,-0.00018137-0.00023872i,-0.00022064+0.00024068i,-0.00062511+0.00071423i,-0.00074468+0.00040799i,-0.00035311+0.00028201i,-5.9018e-05+0.00022076i,0.00011685-0.00015835i,-0.00044918-1.9514e-05i,-0.00019162+0.00024497i,0.00039063+8.6236e-05i,0.00036046-0.00055698i,5.6873e-05-0.00067809i
0.00014085-0.0010381i,-0.00049586-0.00085411i,-0.0010962-0.00011691i,-0.00031929-5.5461e-05i,0.00061862+9.3404e-05i,0.00022717+3.3805e-05i,-0.00058694+0.00046976i,-0.00079922+0.0010807i,-0.00047487+0.0010115i,1.3862e-06+0.00034262i,-0.00016167-0.00049168i,-0.0010401-0.00029858i,-0.0013749+0.00050046i,-0.0013049+0.0011249i,-0.0011828+0.00071464i,-0.00024262+0.00050701i,-0.00077056+0.00061564i,-0.001172+0.00035724i,-0.00047736-5.5852e-05i,-0.00042517+0.00024953i,0.00041196+0.00079519i,0.0010249+0.00061522i,7.0619e-05+0.00023577i
0.0011184-0.0026613i,0.00062749-0.0029718i,-0.0013452-0.0028867i,-0.0024316-0.00096737i,-0.0020386+0.00051303i,-0.001453+0.00071737i,-0.0007182+0.00055734i,-0.00014539+0.0001557i,0.00043511-0.0001144i,0.0010487+0.00012426i,0.00027804+0.00016865i,-0.00047871+0.00021295i,-0.00069234+0.0003748i,-0.00048272-0.00027906i,0.00077565-0.00044783i,0.0013862+0.00040987i,0.0010259+0.00062071i,0.00091226+0.00032775i,0.00067375+8.3505e-05i,-0.000191+0.00052943i,-0.00064068+0.00074036i,0.0001203+8.4993e-05i,0.00026798+0.00029175i
0.001457+0.00023528i,0.001115-0.00030916i,7.5669e-05-2.0334e-05i,-0.00075336+2.2583e-05i,-0.0010865+0.00014912i,-0.00075557-0.00024148i,-0.0012531-0.00095214i,-0.0009001-0.0011427i,-0.00014617-0.00050397i,0.00012141+0.00031745i,-0.00049113-4.2947e-05i,-0.00070186+0.0002842i,9.0717e-06+0.0004676i,0.0005486-0.00039478i,-0.00016117-0.0013691i,-0.0010991-0.0019595i,-0.00079685-0.0011412i,-0.00064729-0.00025666i,-0.00063388+7.1558e-05i,0.00020296+0.0001714i,0.00058327-0.00011345i,0.00032147-0.00045345i,-4.0305e-05-0.0010138i
0.00064589-0.0011508i,-0.00035913-0.0018531i,-0.00013581-0.0020647i,0.00065896-0.00089835i,0.00018191+0.0002096i,-0.0010727-0.00046159i,-0.0010882-0.00056442i,-0.0004264-0.000137i,-4.9523e-05+0.00018899i,-0.0003291+0.00025537i,-0.00053099+0.00062589i,-0.00074411+0.0010011i,-0.0014549+0.00067113i,-0.001206+0.00015806i,-0.00071798-0.00010071i,-0.00028457+7.3255e-05i,0.00029946+0.00036946i,0.00061635+0.0011723i,0.00053923+0.0012664i,-4.8388e-05+0.00062512i,-9.4685e-05+0.00079181i,0.00044555+0.00063584i,0.00047042-0.00023905i
0.00080857-0.00048054i,0.00060593-0.0022366i,0.00091442-0.0023907i,0.00029064-0.0012944i,-0.00032554-0.00042394i,-0.00094538+0.00019071i,-0.0012629+5.8818e-05i,-0.00051313-4.4317e-05i,-0.00029115-0.00035639i,-0.00068363-0.00050723i,-0.00028696-2.3961e-05i,-0.00024671-9.9285e-06i,-0.00063036-0.00035373i,-0.00056762-0.00059489i,-0.00023465-0.00021782i,0.00024733-0.00053821i,0.00033039-0.0011309i,-6.7975e-05-0.00060817i,-0.0001437+0.00020958i,-0.00040342+0.00054332i,-0.0004316+0.00024978i,-0.00012517+3.8239e-05i,0.00010214+0.00042137i
0.00084667-0.00013375i,0.0010502-0.0013176i,0.00041456-0.001089i,-0.00046108+0.0001541i,-6.2338e-05+0.00039093i,-4.5752e-05-0.00015906i,-6.3496e-05-0.00024964i,-0.00051568+0.00047269i,-0.00050373+0.0015235i,0.00033702+0.0015338i,0.00013148+0.00068111i,1.142e-05-0.0002044i,0.00038361-0.00052515i,0.00037227-0.00028161i,0.00075852-0.00047908i,0.00093503-0.00020657i,0.00023172+0.00073756i,-0.00037939+0.00087064i,-0.00098333+0.00053944i,-0.0010025+0.0012581i,-0.00063095+0.0019317i,-1.0273e-05+0.0015135i,0.0010153+0.00087458i
5.848e-06-0.00045678i,0.00056669-0.00075978i,0.00019727-0.0013637i,-0.0010119-0.0010593i,-0.0015189-0.00057527i,-0.0011206-0.00075693i,-0.00071638-0.00083738i,-0.0010929-0.00088141i,-0.00097736-0.0011001i,-8.2973e-05-0.00089414i,0.00033833-0.00040634i,0.0002962-0.00075952i,1.697e-05-0.00067408i,-0.0010573-0.00055071i,-0.0016308-0.00032188i,-0.00065621+0.00049975i,-7.8955e-05+0.00084959i,-0.00054184+0.0011877i,-0.00051698+0.00058982i,-1.7361e-05-0.00038104i,9.162e-05-0.00041718i,0.00053759-8.9827e-05i,0.00062656-0.00026392i
-0.00018748-0.0014179i,-0.0010203-0.0014206i,-0.0019811-0.0015333i,-0.0025726-0.00012565i,-0.0013429+0.00069004i,0.00077304+0.00031045i,0.00084343+0.00012981i,0.00024421+4.7305e-05i,0.00027088-0.00033448i,0.00030182-0.00057047i,-0.00016413-0.00018774i,-7.1451e-05+6.2702e-05i,0.00020809-0.00057242i,-0.00024236-0.0011943i,-0.00063543-0.00099219i,-0.0007494-0.00070035i,-0.00061772-0.00063708i,-0.00051955-0.00031227i,-0.00010928-0.001118i,0.00047026-0.00097939i,5.8238e-05+3.4843e-05i,0.00012336+0.00054346i,0.001007+0.00061229i
