-0.0029133+0.0017551i,-0.0024652+0.00090882i,-0.0030633+0.00067144i,-0.0027444+0.0011258i,-0.0015215+0.0013107i,5.0585e-05+0.0013312i,0.00062414+0.001651i,0.00095213+0.0014403i,0.0012765+0.0011942i,0.00070991+0.00091593i,0.00026156+0.00036335i,4.6129e-05-1.5092e-05i,-0.0010942-0.00060631i,-0.0013504-0.0012232i,-0.0012941-0.0003656i,-0.0022072+0.00038714i,-0.0021882-0.00027391i,-0.00022954-0.0012454i,0.00049486-0.00080106i,-0.00024907+8.6036e-06i,-0.00016771-3.9613e-05i,9.189e-06+0.00015275i,-0.00028265+0.00035432i
0.0001721+0.00058936i,5.5543e-05+0.0011014i,-0.0010481+0.0015946i,-0.0012529+0.0016136i,-0.00027949+0.00078724i,0.00040578-0.00019335i,0.00028773+0.00044262i,0.00011283+0.0005277i,0.00022425+0.0004006i,-0.00023309+0.00041153i,-0.00015298+0.00014635i,0.00050404+0.00023998i,0.0002743+0.00027132i,-0.0003908+0.00036382i,-0.00023423-0.00010761i,3.7847e-05-0.00085417i,-1.5144e-05-0.00048893i,-5.1784e-05-0.0006886i,-0.0003014-0.00074258i,-5.9223e-05-0.00055248i,0.00019316-5.1093e-05i,0.00011608+0.00042328i,-0.00012361+0.00053983i
-0.0023699-0.00091729i,-0.0025434-0.00012214i,-0.0024416+0.0013555i,-0.0013415+0.0024447i,0.00052939+0.0024549i,0.0013827+0.0012801i,0.00086499-7.3784e-05i,0.00018114-0.00032262i,-0.00095823-2.5872e-05i,-0.0011771+7.184e-05i,0.00037361-0.00017908i,0.0007855-0.00022752i,0.00027015-0.00081612i,0.00030652-0.00085421i,0.00029025-0.00022311i,0.00040653-0.00024888i,0.00021962+9.5418e-05i,-0.00021431+0.00069098i,-0.00034658+0.00038354i,-0.00071059+0.0007625i,-0.0010274+0.0012759i,-0.0011135+0.00064321i,-0.00052913+0.00031105i
-0.0007367+0.0017591i,0.00035814+0.00034444i,0.000533-0.00025124i,0.00095722+9.51e-05i,0.0012909-0.0002554i,0.0008746-0.0007547i,0.00065608-0.00076326i,0.00050001-0.00069923i,0.00065828-0.00031616i,0.0008119+0.00032361i,0.0009372-6.8514e-05i,0.0010879-0.00076059i,0.00026038-0.00081169i,-0.0007275-0.0011157i,-0.0010964-0.0010321i,-0.00091349-0.00066364i,-0.00026737-0.00035231i,-3.6961e-06-0.00026647i,-0.00027354-0.00076532i,6.7823e-05-0.00063845i,0.0010336-0.0011236i,0.00077217-0.0014499i,-0.00067537-0.00081428i
0.00015529-0.00058132i,-0.00022939-0.00099477i,-0.0001796-0.00068352i,0.00011209-0.00061169i,-0.00074355-0.00057715i,-0.0018247-0.00040374i,-0.0015115-0.00062181i,-0.0010985-0.00057613i,-0.0007714-0.00020416i,-0.00016826+0.00048969i,0.00027517+0.00074779i,-0.00031189+0.00062918i,-0.00084231+0.0008722i,-0.00055777+0.00077749i,-0.0004266-3.3876e-05i,-0.00036213-0.00038815i,0.00020233-0.00047291i,0.00067719-0.00036743i,0.0002996+7.9841e-05i,0.00066978-2.3327e-05i,0.00075333+0.00024289i,-0.00014021+0.00050684i,-0.00026813+7.8721e-05i
-0.00014741+0.0010434i,-0.0010013+0.00060401i,-0.0024773-0.00060699i,-0.0023608+7.3682e-05i,-0.00085376+0.0013164i,9.8972e-05+0.0003231i,0.00012285-0.00037081i,7.4009e-05+0.00026312i,-0.00034682+0.0010011i,-0.00097619+0.00087606i,-0.00065012-0.0004283i,-4.4189e-06-0.00064133i,5.957e-05+0.00012273i,-0.00022513-2.8921e-05i,-0.00059071-0.00036476i,-0.00066167-0.00020653i,-0.00026517-0.00010353i,-0.0003916-0.00011572i,-0.00064423+7.0239e-05i,-0.00082041+0.00047284i,-0.0013744+0.00031437i,-0.00078404-0.00013623i,0.00033663+0.00013887i
0.00084257-7.8844e-05i,0.0018374-0.00018072i,0.0026734+0.00033235i,0.0021707+0.00087592i,0.00091857+0.0011313i,-3.9595e-05+0.00078405i,-0.00016908-3.3165e-05i,0.00017973-0.00094829i,-0.00027018-0.00036328i,-0.0001998+0.00041357i,0.0001373+0.00069752i,-0.00012591+0.00048099i,-4.0164e-05+0.00029167i,0.00032319+8.6964e-05i,0.00031276-0.00011213i,0.00049149-0.00012371i,0.00039422+0.00030107i,7.066e-05+0.00053325i,-0.00054623+0.00045089i,-0.0010997-0.00016121i,-0.00054745-0.00053772i,-0.00016107+7.1439e-05i,-0.0002596+0.00029005i
-0.00054572+0.00086083i,9.8742e-05+0.0012624i,-0.00016357+0.0011302i,-0.00072693+0.00074236i,-0.00062306+5.5229e-05i,-7.2569e-05-0.00038855i,-0.00042402-0.00020023i,-0.00097024+0.00025228i,-0.0006659+0.00046172i,-0.00024505+0.00017791i,0.00045865-0.00020143i,0.00017512-0.00041067i,-0.00034937-0.00079741i,-0.0004375-0.0012078i,-0.00033915-0.00089484i,-0.00070507-0.00058124i,-0.0010037-0.00033929i,-0.00032571-4.4207e-05i,7.3592e-05-0.00036116i,0.00051182-0.00063915i,0.0011357-0.0011315i,0.00073507-0.0013523i,-0.00012161-0.00067771i
0.00026964+0.0019889i,0.00024051+0.0008346i,-0.00011815+0.00055208i,0.00014901+0.0006299i,0.00076148-0.00021072i,-8.5863e-05-0.00060933i,-0.00045513-0.00047662i,-8.5995e-05+0.00022939i,-0.00016492+0.00051242i,0.00028547+0.00041039i,0.000341-4.1021e-05i,3.4905e-05-0.00042198i,-0.00018926+0.00059552i,-8.1872e-05+0.00069108i,0.00025412+0.00026362i,-2.3771e-05+0.00068513i,-0.00056957+0.00063595i,-0.00028962+0.00031888i,-0.00011607-0.00027026i,-0.00032548-0.00035172i,-0.00050594+0.00017032i,-0.0010843+0.00057927i,-0.0011217+0.0001234i
-0.0017247+0.00021356i,-0.001321+0.00032913i,-0.00067212+0.00064105i,-0.0004066+0.0015479i,-0.00031178+0.0012634i,0.00030269+0.0011561i,0.0007972+0.0008481i,0.00060373-0.00010237i,0.00031609+4.679e-05i,0.0004297+0.00059774i,0.00074255+0.0002095i,0.00016796-0.00015913i,-0.00046751-0.00032773i,-0.00015002-0.0010359i,-8.2568e-05-0.00074624i,-0.00059347+0.0011019i,-0.00061493+0.0012941i,-0.00027957+0.00060762i,-0.00021485+0.00037349i,-9.8728e-05+0.00023831i,0.00032134+0.00039884i,8.3891e-05+0.00058888i,-0.00039957+0.00041974i
0.00025981-0.0025163i,-0.00092685-0.0023958i,-0.0012196-0.0022105i,-0.00077211-0.0011556i,-0.0015142+1.5393e-05i,-0.0023776+0.00044624i,-0.0016037+4.0607e-05i,-0.00041532-0.00030576i,-0.00055366-6.2635e-05i,-0.00086791-3.7331e-05i,-0.0010293-0.00015143i,-0.00061264+0.00018469i,-0.00061165+0.00094421i,-0.0006614+0.0011411i,-0.00012+0.00097572i,0.00013225+0.00032012i,-0.0003324-0.00010732i,-0.00047192+6.6565e-05i,-0.00025146+0.00042319i,-0.00053824-2.951e-05i,-0.00058818-0.00049787i,0.00010282-0.00014417i,-7.8777e-05+0.00023502i
