8.4558e-05-0.0011211i,-0.0016192-0.0016584i,-0.0026462-0.00084101i,-0.0017019+0.00054375i,-0.0018568+0.00063984i,-0.0021009+0.00036485i,-0.0012789+0.00098648i,2.839e-05+0.0011623i,0.0010897+0.00083553i,0.00083072+0.00024449i,0.00082673-4.0039e-05i,0.0012605-0.0001244i,0.0012122+0.00013813i,0.0011732+0.00028877i,0.0008442+0.00023586i,0.00058994+0.00016111i,0.00076411+0.00016254i,0.00077001+0.00017961i,0.00044036-0.000534i,-0.00016233-0.00060352i,-0.00058216+0.00018003i,-0.00053315+0.00029507i,-0.00076725+2.1103e-05i
-0.0016256-0.0051105i,-0.0041083-0.0051039i,-0.0051587-0.0022453i,-0.0028503+0.00021578i,-0.00083419+7.1577e-05i,0.00010989+0.00022493i,5.4602e-05+9.4112e-05i,-6.6356e-05-0.0010328i,0.000131-0.0010657i,0.00028645-0.00054906i,0.00054942-0.00083945i,0.00065857-0.00088634i,0.00057956-0.00053631i,0.0003237-0.0010139i,0.000814-0.0007164i,0.0008365+0.00012132i,0.0012839+0.00043904i,0.0013978+0.00036057i,0.00090962-0.00011038i,0.00036317-9.4389e-05i,0.00017035+0.00044976i,0.00055439-0.00035775i,0.00048657-0.0006907i
0.0019359-0.0026872i,0.0013547-0.0023607i,0.0010653-0.0013709i,0.0016554-0.00017894i,0.00057171-0.00018194i,-0.0010328-0.001038i,-0.0011957-0.00080417i,-0.00045882-0.00049277i,0.00049893-8.6606e-05i,0.00056287+2.1557e-05i,0.00041223-0.0003477i,0.00042546-0.00074296i,0.00023008-0.0012292i,-0.00088937-0.001331i,-0.0016183-0.0011164i,-0.0010697-0.00028656i,-0.00065197+0.00018782i,6.6822e-06+0.00040861i,0.00013614+0.00072241i,-0.00062846+0.00038023i,-0.0003509+0.00029276i,0.00040407+0.00080906i,-0.00027457+0.00025213i
0.003556-0.0027821i,0.00083753-0.0019351i,-0.0017628-0.00094817i,-0.0018286-7.0208e-05i,-0.00081987+0.00064348i,-0.00077487+0.001144i,-0.00067466+0.00092458i,-0.00027608+0.0005654i,-0.00033004+3.3082e-05i,-0.00038377+4.7015e-05i,-0.00047235+0.00092998i,-0.00020468+0.0014478i,0.00024381+0.0010204i,0.00077275+0.00064367i,0.0010934+0.00063734i,0.00020347+0.0005713i,-0.00020851+8.0756e-05i,6.2767e-05-0.00046048i,-0.00016548-0.00042151i,0.00019482-0.00024831i,0.00022552-0.00035628i,-9.3687e-05+1.9672e-05i,-0.00040716+0.00075655i
0.00031373-0.0018919i,-0.0010659-0.0010934i,-0.0021338+0.00081349i,-0.00094387+0.00055703i,0.00053455-0.00029895i,0.0002396-0.00061443i,-0.00033013-0.00064227i,-0.00054592-0.00027306i,-0.00035543+0.00044323i,0.00053099+0.00053699i,0.00068117-9.4758e-05i,0.00038053-0.00054816i,0.00088954-0.00022724i,0.00089259-0.00014486i,0.00050807-0.00044291i,-4.7365e-05-0.00044126i,-0.00025602-0.00013021i,2.6643e-05-3.164e-06i,-0.00024927-0.00050081i,-0.00085665-3.3535e-05i,-0.0012322+0.00043061i,-0.00083624+0.00022267i,-0.00065775+0.00012067i
-0.00058889-0.0010623i,-0.0022684-0.0010305i,-0.0031616-0.00022815i,-0.002091+0.00050261i,-0.00055686+0.00050596i,-0.00054646-0.00012881i,-0.0012447-0.0010499i,-0.00079779-0.00092777i,-0.00029848-0.00021669i,-0.00061012+0.00045903i,1.8203e-05+0.00060137i,0.0011629+0.00095584i,0.00065401+0.00067042i,0.00045409-0.0001398i,0.00084026+0.00015314i,0.00026216+0.00030125i,-0.00056984-0.000234i,-0.00064388-0.00043608i,-0.00028614-0.00051362i,-0.00023958-5.5707e-05i,0.00014131+0.00010844i,0.00058772+9.3054e-05i,-9.3547e-05+7.0744e-05i
-0.0022044-0.0022698i,-0.0031803-0.0027186i,-0.0034083-0.00080804i,-0.0021726+0.00054333i,-0.00078279+0.00028648i,-0.00065535-4.7014e-05i,-0.00081923-1.738e-05i,-0.00024445+0.00021678i,0.00057216-4.5907e-05i,0.00031361+3.906e-06i,-0.00051625+0.00038064i,-0.0007215+0.00017522i,0.00027028+0.00016352i,0.00094428+0.00023101i,0.00068581-0.00025536i,0.00025065-0.0002383i,0.00070786-7.0251e-05i,0.00071025-0.00078842i,4.2606e-05-0.0009462i,0.00038968-0.00099582i,0.00087421-0.00074088i,0.00035688-0.00025967i,-0.00021119-0.00035281i
-0.0005299-0.0027969i,-0.0016445-0.0032388i,-0.0015061-0.00079325i,-0.00057167+0.0014348i,-0.0003625+0.0013418i,-0.0014552+0.00053028i,-0.0009995+0.0004005i,-0.0004269-0.00033352i,-0.00013191-0.00032293i,0.00024237-3.2371e-05i,0.00023127-0.00037494i,0.00028396+0.00040256i,0.00024787+0.0010933i,0.00027256+0.0010515i,0.00038113+0.00053629i,0.00091157+0.00054451i,0.00080429+0.0014427i,0.00081685+0.0012608i,0.0013894+4.2468e-05i,0.00091467-0.00075404i,0.00016956-0.00022751i,9.2624e-05-0.00023511i,0.00022789-0.00027707i
0.00041432-0.0022123i,-0.00030413-0.0018021i,-0.00072819-6.7317e-05i,-0.00088296+0.00065045i,-0.00082582+0.0001641i,-0.0016162-0.00096567i,-0.0015899-0.0017055i,3.9998e-05-0.0011307i,0.00046682-0.00051882i,-0.00044525-0.00030568i,-0.00025369-0.00032144i,8.7976e-05+0.00036222i,1.2822e-05+0.00096683i,0.00031974+0.00086563i,0.00079919+0.00010096i,0.00063516+9.7565e-05i,0.00052012+1.964e-05i,0.00073537-0.00039083i,0.00025734-0.00089456i,-0.00023308-0.0008222i,-0.00011784-0.00032097i,0.00013396-0.00055011i,-7.4933e-05-0.00055392i
0.000227-0.0031759i,-0.0010317-0.0029551i,-0.00043754-0.0010287i,-0.00038369+0.0002972i,-0.00044068-6.9892e-05i,-0.00026565-0.00057786i,-0.00085981-0.00063361i,-0.00094841-0.00066705i,0.00012055+9.7878e-05i,0.00073222+0.00073587i,0.0010785+0.00084865i,0.0014048+0.00095922i,0.00076662+0.00015542i,-2.7312e-05-0.00026689i,9.3267e-05-0.00032035i,0.00064266-0.00046095i,0.00057038-0.00061672i,0.00041715-0.0005831i,7.6237e-05-0.00041978i,-0.00027828-0.0005332i,-0.00035872-0.00021915i,0.00031288-0.00037908i,0.00064138-0.0012984i
0.0012724-0.002783i,-8.6754e-05-0.0027091i,-0.00089353-0.00066105i,-0.00014689-7.2211e-05i,0.00011547-0.00097398i,-0.0013777-0.001065i,-0.0014648-0.00029658i,-0.00054613+0.00045613i,-0.00010388+0.00087596i,0.00034378+0.0013557i,0.00054743+0.0011598i,0.00050805+0.00017926i,0.00017364+8.8994e-05i,0.0005506+0.00048392i,0.00079102+7.9658e-05i,0.00038873-0.00021335i,0.00010176+0.00041969i,0.0001788+0.00077819i,0.00037893+0.00011716i,5.3329e-05-0.00032127i,-9.4068e-05-4.3099e-05i,0.000137+0.00020229i,0.00028309+0.00015614i
0.0010644-0.00089599i,-0.0010604-0.0020277i,-0.0017354-0.0018124i,-0.00073561-0.00077415i,-0.00065395-0.00086431i,-0.001619-0.00075547i,-0.0017437-0.00025134i,-0.00077406+9.1037e-05i,-1.228e-05-0.0006937i,8.5676e-05-0.00073003i,-0.00059165+3.4344e-05i,-0.00060332+0.00025037i,0.00026391-8.0382e-05i,-6.9245e-05-0.00036737i,-0.00085369+0.00037135i,-0.00097605+0.00052249i,-0.0012031+4.4995e-05i,-0.00042984-2.4064e-05i,0.00036611+0.0003331i,0.00011302+0.00093455i,-0.0001065+0.0011987i,-0.00039479-6.5728e-05i,-0.00028071-0.00035805i
0.0017619+0.0001794i,-0.0013134-0.0016536i,-0.0018374-0.0019013i,-0.00082002-0.0011347i,-0.00074754-0.00085774i,-0.0014946-0.0013618i,-0.0012669-0.0012276i,-0.00049624-0.00047332i,0.00030081-8.308e-05i,0.0005285-0.00021261i,-0.00017084-0.00046041i,-0.00026555+0.0001019i,0.00045154+0.00056757i,0.00058901+0.00037034i,0.00044789+0.00017517i,0.00069602+0.00057053i,0.00078468+0.00094632i,0.00034914+0.000927i,0.00028329+0.00070214i,0.00065656+0.00037015i,-0.0003455+0.00019927i,-0.00070917-0.0001376i,0.00017799-0.00053628i
-0.0010472-0.00081875i,-0.0029786-0.0016309i,-0.0035451-0.00053974i,-0.0020841-0.00021585i,-0.0013112-0.00053575i,-0.0021917-6.552e-06i,-0.0018309+0.00012825i,-0.0011021+0.00067014i,-0.0007075+0.00044844i,5.3097e-05-0.00012618i,0.00024838+0.00015818i,-8.6061e-05+0.00015575i,0.00065121-0.00056629i,0.00073229-8.4184e-05i,0.00012622+0.00029897i,0.00028826-6.9502e-05i,0.00026544+3.1163e-05i,-6.347e-05-0.00029851i,-0.00022614-0.00069878i,0.00027244+0.00015147i,0.0003897+0.00040598i,0.00033525+0.00035382i,-2.5016e-05-0.00016872i
-0.0021883-0.0049255i,-0.0033283-0.004289i,-0.0036571-0.001788i,-0.0023527-0.00015818i,-0.0015508+0.0003372i,-0.0012026+0.0011759i,-0.00075455+0.00099831i,-0.00034857-0.00026764i,0.0001578+8.329e-05i,-0.00041657+0.0008176i,-4.5996e-05+0.0002901i,0.00054243+0.00067921i,0.00020048+0.0015009i,3.1706e-05+0.0013112i,0.00021971+0.00089581i,0.00064993+0.00059204i,0.00052963+2.7402e-05i,-0.00024967+0.00012359i,-0.00069322-0.00027864i,-0.00092479-0.00079199i,-0.00021819-0.00037525i,0.00014631-0.00022833i,-0.0002937-0.0004945i
0.00020731-0.0031191i,-0.00077762-0.0030968i,-0.00091341-0.0013453i,-0.0012847-0.00039359i,-0.0012933-0.00012547i,-0.001049+3.7253e-06i,-0.00087253-0.00022633i,-0.00047328+3.0021e-05i,-0.00060018+0.00061508i,-0.00028513+0.00025374i,0.00049841+0.00024873i,0.0011245+0.00048737i,0.00076248-0.00034354i,-0.00069621-0.0015523i,-0.00042098-0.0016795i,0.0012695-0.00064283i,0.0011865-0.00012943i,0.00047022-0.00017378i,0.00021737-0.00074557i,-0.00012868-0.00023253i,0.00035179+0.0011839i,0.00055968+0.0012456i,0.0003179+0.00042956i
0.00027871-0.0014951i,-0.0013623-0.0014885i,-0.0027708+0.00081168i,-0.00203+0.0020948i,-0.0014587+0.0011618i,-0.0017537-3.6967e-05i,-0.0017933+7.7192e-05i,-0.00079893+0.00062075i,0.00031573+0.0007766i,0.00013926+0.00075762i,-0.00033717+0.00095752i,-0.0008804+0.0010403i,-0.00071188+9.9091e-05i,-8.9202e-05-0.00099218i,-0.00046916-0.0010084i,-0.00097266-0.00042366i,-0.00043907-0.00014277i,-0.00060414+0.00039887i,-0.0013125-6.4439e-05i,-0.0011544-0.00059137i,-0.000568+6.8655e-06i,-0.00069301+0.00054741i,-5.8992e-05+0.00044406i
0.0018731-0.0039962i,0.00057007-0.0035109i,-0.00046235-0.0019043i,-0.00079173-0.0003404i,-0.0013312-0.00092472i,-0.0010114-0.0011787i,-0.00057332-0.00072585i,-0.00014329-0.00053282i,9.7173e-05-0.00038813i,-0.0005371+4.1238e-05i,-0.0003253+0.00063068i,0.000745+0.00074923i,0.00062945+0.00047015i,0.00052046+6.7018e-05i,0.0011841+0.00039988i,0.00090988+0.0009338i,0.00028812+0.00033024i,0.00017995+7.3933e-05i,-9.5836e-05+3.5361e-05i,0.00010867-0.00049881i,-4.2593e-05-0.00076396i,-0.00027707+0.00036274i,-0.00038937+0.00081746i
0.00098845-0.0020509i,9.7902e-05-0.0019108i,-0.00060902-0.00023751i,0.00069889+0.00079818i,0.00076929+0.00064474i,-0.00031662+0.00032755i,-0.0007601+0.00069629i,-0.00087793+0.0010103i,-0.000671+0.00085512i,-0.00036619+0.00059508i,-8.4791e-06+0.00053706i,-0.00016352+0.00043025i,-0.00048033+0.00092367i,-0.00064127+0.00078694i,8.6166e-05-0.00022264i,-0.00019646-0.00023223i,-0.00060938-1.0535e-05i,0.00035501+0.00010127i,0.00017579+7.0325e-05i,-0.00066425+0.00036452i,-6.7186e-05+0.00098774i,0.00042089+0.00014877i,9.2303e-05-0.00046536i
0.00017169-0.0022066i,-0.0022445-0.0024154i,-0.0032664-0.00090163i,-0.0021703+0.00076442i,-0.0010642+0.00049768i,-0.00082241-0.00096631i,-0.00057709-0.0017173i,-0.0004022-0.00084996i,-0.0002429-0.00028139i,0.00055422-0.00018342i,0.0013348+0.00078361i,0.0015179+0.00093176i,0.00080956-0.00015662i,0.00022388-0.00043956i,0.00010108+5.1177e-06i,-0.00049521-0.00012606i,-0.0004305+0.00040523i,0.00026704+0.0018242i,2.7602e-05+0.0011894i,-0.00013119-0.00064542i,0.00050331-0.0006923i,0.0007067-0.00051417i,0.00033378-0.00061514i
0.00019321-0.0026809i,-0.00053691-0.0026551i,-0.0012438-0.0014954i,-0.00056702-0.00061166i,-0.00028987-0.0005765i,-0.00095098-0.00038764i,-0.0018876-9.3831e-05i,-0.0012091+0.00014786i,-0.00026843+0.00052613i,-0.00032782+0.00023476i,0.0001727+0.00017814i,0.00037633+0.00055994i,0.00035448+0.00071148i,0.00017432+0.00060104i,-0.00060418+0.00074333i,-0.00073787+0.0011983i,-0.00013343+0.00091951i,-0.0002342-6.6911e-06i,-0.00028194-0.00022638i,0.00015652-0.00032546i,0.00073242-0.00040779i,0.00050132-0.00041416i,-0.00037831-0.00058824i
0.0022597-0.0013628i,-0.001447-0.00216i,-0.0022752-0.0012029i,-0.00144+0.00043142i,-0.0012163+0.00016034i,-0.0015225-0.00049224i,-0.00076498+0.00024782i,0.00065516+0.00052704i,0.0012223-0.00037668i,0.00074726-0.00064857i,0.00014464+1.7802e-05i,5.5657e-05+0.0011848i,0.00058098+0.00068713i,0.0008012-0.00044295i,0.00025399-0.00022354i,0.00043889-0.00010324i,0.00090727+0.00021639i,0.00053104+0.00082527i,0.0001126+0.00089573i,0.00061992+0.00086641i,0.00074246+0.00035339i,0.00047127-0.0003593i,-0.00041893-0.00050123i
0.00071107-0.0012754i,-0.0012384-0.0018161i,-0.0011712-0.00052404i,-0.0008921-1.0367e-05i,-0.001506-0.00044294i,-0.0024285-0.0012141i,-0.0016056-0.0017881i,-0.00082189-0.00147i,-0.00066687-0.0011458i,0.00071934-0.00082282i,0.0011211+0.00040366i,0.00043763+0.0010051i,-7.3826e-05+0.00085732i,5.4176e-05+0.00036271i,5.8369e-05+0.00012099i,0.00046495+0.00027014i,0.00081494+0.00040895i,0.0002089+0.00013294i,-0.0004542+7.525e-05i,-0.00016048+0.00029505i,0.00028761+0.00048642i,0.00049468+0.00039622i,-7.7411e-05+0.00018685i
0.0016628-0.00065186i,0.00053106-0.0017546i,-0.0003634-0.0010131i,-0.00022049+0.00033735i,-0.0006987+0.00024914i,-0.00070536-0.00018633i,0.00048124+0.0003583i,0.00021201+0.00050662i,-0.0003623-7.0378e-05i,-0.00017382-0.0003531i,-0.00025354-0.00027465i,0.00018104-0.00024503i,3.9558e-05-0.00033887i,-0.00061564-0.00040629i,-0.00033598-0.00018627i,-0.0001374-0.00034305i,-6.7386e-05-0.00066427i,9.9926e-05+7.6462e-05i,-0.00032915+0.00087518i,-0.00064708+0.0012659i,-0.00025169+0.00046428i,0.00072212-0.00057965i,0.00081967-0.00012932i
-4.924e-05-0.0021652i,-0.0018787-0.0010951i,-0.0034408+2.0846e-05i,-0.0024805-0.00027918i,-0.0013501-0.0010637i,-0.0013959-0.0012783i,-0.0015753-0.00051265i,-0.0015295-0.0002867i,-0.00045245-0.0005508i,0.00021404+0.00014976i,-0.00014721+0.00073469i,-0.00018899+0.0012627i,7.8218e-05+0.0010779i,-6.4901e-05+0.00016872i,-0.00029927-6.6785e-05i,0.00010008-1.749e-05i,0.00041425-0.00011639i,0.00050038-5.5985e-05i,0.00031988-0.00037696i,0.00036003-6.007e-05i,0.00011079+4.0019e-06i,0.00017364-0.00042844i,0.00038166+7.5122e-05i
0.0015574-0.0029024i,-0.0012785-0.0042036i,-0.0026161-0.0025993i,-0.0016253-0.0015279i,-0.0014106-0.00099003i,-0.0019992-0.00014006i,-0.0015628-4.7077e-05i,-0.00021496-0.00010681i,0.00062407-0.00016892i,0.00043245-0.0006505i,-9.4467e-05-0.00044754i,-0.00046183+0.00048434i,-0.00039998+0.0007891i,-0.00037286+0.00052969i,-0.00026229+0.00081706i,1.4901e-07+0.00098653i,3.2455e-05+0.00079606i,5.1685e-05+0.00044453i,0.0002316+3.192e-05i,0.00028872+0.00025275i,0.00033646-0.0001509i,6.8002e-05-0.0012148i,-0.00060748-0.0010303i
0.00061085-0.0025589i,-0.00050516-0.002236i,-0.00058742-0.00082848i,-8.3995e-05+0.00013422i,-9.8205e-05-0.00040925i,-0.00096245-0.0010277i,-0.0015637-0.0011972i,-0.0014099-0.001149i,-0.00044094-0.00062604i,0.00046763-0.00024211i,5.1195e-05-0.00042191i,-0.00061035+3.304e-05i,-0.00046851+0.00050202i,0.00036821+7.76e-06i,0.00035925+2.1601e-05i,-9.6005e-05-0.00024724i,0.00058952-0.00056202i,0.0011353-0.00050381i,0.00074269-0.00024983i,-0.00017947+0.00069424i,-0.00045165+0.00081121i,-0.00037934-0.0001491i,-0.0011532-0.00095191i
-0.0019379-0.0033296i,-0.0027259-0.002515i,-0.0032251+5.6013e-05i,-0.0023991+0.00068247i,-0.0011722+0.00042333i,-0.001174-5.9361e-05i,-0.0013374-0.00056702i,-0.00088808-0.00062796i,-0.0002462-0.00011992i,0.00011542+0.00035811i,0.00057336+0.0011723i,0.0011097+0.0010603i,0.00084048-0.00024508i,0.00085254-0.00049893i,0.0012108-0.00017i,0.0006245-0.00032182i,-0.0001923-7.7908e-05i,-0.00012141+0.00045501i,-0.00034902+0.00027882i,-0.00022742-4.2406e-05i,9.1038e-05+0.00077847i,-0.00067377+0.00060173i,-0.0007051-0.00031316i
0.00055889-0.0049698i,-0.00089154-0.0052638i,-0.00090578-0.0031561i,-0.00082034-0.00096972i,-0.0010978-0.00065237i,-0.0014112-0.00057147i,-0.0011029-0.00078021i,-0.00055619-0.00074469i,0.00018259-0.00023474i,0.00070234-6.0821e-05i,0.00043789+0.00013198i,-0.00010827+0.00059481i,0.0011315+0.0002425i,0.0022558-0.00019393i,0.0014463-7.3842e-05i,0.00046405-0.00023144i,6.7405e-05-0.00056671i,-0.00033103-0.00087149i,-0.00048564-0.0010488i,-0.00056398-0.00028872i,-0.00040834+0.00010355i,-0.0010061-0.0003534i,-0.0011139-0.00053075i
0.0028682-0.0034957i,0.00065985-0.0035921i,-0.0005269-0.0027534i,-0.00036042-0.0012916i,-0.00095516-0.00045751i,-0.0018307+0.0001019i,-0.00092636+7.4532e-06i,0.00025816-6.7042e-05i,-0.00034871-0.00023787i,-0.00084458-0.0010927i,-0.00016184-0.00061234i,0.00092361+0.00070143i,0.00051772+0.0010338i,-0.00031411+0.00041591i,-0.00031192+8.4486e-06i,0.00041089-0.00064571i,0.00079739-0.0005839i,0.00094008+0.00010293i,0.0014121+0.00075224i,0.0005102+7.8028e-05i,-0.00037967-0.0011998i,-0.00050296-0.00062165i,-0.00072216-1.9478e-05i
0.0016646-0.0006299i,2.3278e-05-0.0016253i,-0.0010536-0.0011059i,-0.00070119+0.00031622i,-0.00066716+0.00066747i,-0.00085593+1.1027e-06i,-0.00075171-0.00023362i,-0.00082098-0.00033835i,-0.00052953-0.00050497i,0.00036829-0.0002182i,0.00017949+0.00038252i,-0.00039731-0.00014928i,-0.00039159-0.00083331i,4.1373e-05-0.00039235i,-0.00019668+0.00019025i,-0.00055811-0.00027737i,-0.00011048-0.0010552i,-0.00012517-0.00077555i,0.00037223-0.00067112i,0.00095871-0.00092491i,-6.6781e-05-0.0005915i,-0.00093379-0.00022696i,-0.00079933-0.00016178i
