-0.00071665+0.0012323i,1.5474e-05+0.0017801i,-8.0538e-05+0.0017366i,-0.00078623+0.00088294i,-0.001168+0.00079974i,-0.0011041+0.0013047i,-5.0491e-05+0.0016351i,2.0345e-05+0.0018587i,-0.00025068+0.0016554i,-4.0572e-05+0.00092589i,0.00024286+0.00063877i,-6.1009e-05+0.00048408i,-0.00022369-0.00085348i,-0.00078224-0.0016334i,-0.00073025-0.0010951i,5.5318e-05-0.00026929i,-0.00042705-0.00038958i,-0.0012694-0.00011984i,-0.0007834+9.6845e-05i,0.00019897-0.00033462i,0.00026417-0.0010269i,-0.00014184-0.001017i,0.00027567-0.00043604i
0.0010005-0.00061711i,-0.00028786-0.00075341i,-7.4011e-05-0.0012752i,0.00055713-0.0019593i,0.00037938-0.0017037i,0.00030141-0.00050784i,-7.5005e-05+9.4033e-05i,-8.0683e-05+1.6719e-05i,-5.4312e-05+0.00035671i,-0.00060384+0.00010873i,-0.00013758-0.00011317i,5.2947e-05-0.00012623i,0.0001656-0.00037324i,0.00015291-4.2372e-05i,0.00033348+0.00048873i,0.00057801+0.0004629i,0.00013153+0.00027876i,9.7003e-06+0.00053959i,0.00034753+0.00079342i,-0.00026409+0.00014057i,-0.00086219-0.0001229i,-0.00073914-3.3885e-05i,-0.00038978-0.00035403i
-0.00088909-0.0020972i,-0.001108-0.0020048i,-0.0012259-0.0010572i,-0.0014737-0.00091377i,-0.0014259-0.0012929i,-0.0015373-0.0012312i,-0.0013139-0.00061013i,-0.00026236+0.00013298i,0.0004626+0.00066306i,0.00027034+0.00054852i,-7.8057e-06-0.00017842i,-0.00023035-0.00034376i,0.00037098-0.00011249i,0.0013609-0.00061542i,0.001169-0.00079562i,0.00021574+9.6181e-05i,-0.0004016+0.00022932i,-0.00043668+0.00014529i,-0.00020888+0.00033001i,0.00017409+7.524e-06i,-0.0001243-0.00032486i,-0.00078281-0.00052955i,-0.00056545-0.0001361i
0.00067078+0.00024361i,0.00072776+0.0010189i,2.4475e-05+0.00094714i,0.00011+0.00032692i,0.00095685+0.00043087i,0.00089306+0.0010282i,0.00030976+0.0012979i,0.00040848+0.00011639i,0.00024567-0.00094065i,-0.00016892-0.00019784i,-0.00040054+0.00067384i,-4.3095e-05+0.00015131i,0.00062473-0.00067095i,0.0004603-0.00064886i,-0.00011455-0.00053713i,-0.00045448-0.00017577i,-0.00041269-9.1939e-06i,0.0002218-0.00072211i,0.00087779-0.00087164i,0.00058258-0.00052089i,0.00013823-0.00035501i,0.00018188-3.4837e-05i,0.00031072-4.0808e-05i
0.00029071+0.0014615i,0.00037753+0.00054742i,0.0012046+0.0004108i,0.0015578+2.4727e-05i,0.00075712+5.1968e-07i,-0.0010133+0.00023356i,-0.0012442-0.00036883i,-0.00032239-0.00038325i,-4.8786e-05+0.00031344i,0.00037164+0.00043011i,0.00030604+0.00060988i,-0.00053397+0.00043634i,-0.0011239-0.00032176i,-0.00073637-0.00067845i,0.00031911-0.00012402i,0.00067469+0.0005997i,5.1998e-06+0.00036025i,-0.00028033-0.00010844i,-5.7632e-05-8.4723e-05i,-0.0006021+0.00020621i,-0.00075459-0.00031965i,-0.00019425-0.00037353i,0.00018322+0.00029274i
0.00139-0.0015004i,0.0010951-0.0027405i,0.0003272-0.0032613i,0.00021774-0.0018762i,-3.2425e-05-0.0015266i,-0.00047363-0.0008854i,-0.00034258+0.00018236i,-0.00024563-0.00037571i,5.6001e-05-0.00089451i,0.00025953+0.00011215i,-0.00024461+0.00094533i,-0.00048721+0.00045368i,-0.0002934-5.2178e-05i,0.0001602-0.0002367i,0.00045971-0.00030372i,0.00018611-0.00067109i,-6.8582e-05-0.00021548i,-0.00020042+0.00026833i,-0.00041968+1.5567e-05i,-7.4335e-05-0.00022633i,0.00029867+0.0004062i,-0.00016955+0.00059548i,0.00031282+0.00036881i
-9.2642e-06+0.00040946i,0.0013582+0.0012072i,0.00085756+0.0021039i,6.2445e-05+0.0020695i,0.00050449+0.00078541i,0.00071964-0.00039726i,0.00038629-0.00064555i,2.1543e-05+0.00036397i,-0.00032871+0.0020849i,-0.00020556+0.0023841i,0.00034632+0.0011616i,0.00087053-0.00019776i,0.00045883-0.00094006i,-2.9022e-05-0.00062525i,0.00032053-0.00033257i,0.00020975+0.00036753i,-0.00011044+0.0013076i,0.00048304+0.0015474i,0.00044912+0.0010642i,0.00043412+3.8691e-05i,0.0007769-0.00033254i,-0.00045276-0.00046687i,-0.0013175-0.0010088i
0.0013907+0.0011826i,0.00059293+0.00093433i,0.00074963+0.00038391i,0.00022082-0.0003527i,-2.5228e-05-0.0011178i,-0.00044274-0.00082918i,-0.0010444-0.00049667i,-0.00064817-0.00012918i,5.1735e-05+0.00046618i,7.8622e-05+0.00011896i,0.00035808-0.00062722i,0.00030969-0.00038908i,0.00016894-0.00059296i,0.00035345-0.00068528i,0.00060774-0.0002338i,0.00049006-0.00055564i,0.000166-0.0011237i,1.6867e-05-0.00061118i,3.2671e-05+8.5677e-05i,0.00038027+1.1111e-05i,0.00023367-1.028e-05i,-0.0004652+9.8686e-06i,-0.0010381-0.00060142i
0.00013298-0.00063017i,-0.00045846-0.0016592i,-0.000276-0.0021608i,6.9342e-06-0.0011067i,0.00051324-0.0006221i,0.0003142-0.00096378i,-0.00032816-0.0001118i,-3.2247e-05+0.0005052i,0.00051095+0.00017619i,2.6534e-05-7.0599e-05i,-0.00081288-0.00012605i,-0.00077122+0.00023485i,0.00016683+0.00015672i,0.00047477-1.3475e-05i,3.9136e-05-1.3337e-05i,0.00027177+4.0865e-05i,0.00037868+0.00013484i,0.00037086-0.00022931i,-0.00032074-0.00022491i,-0.00085959+0.00029247i,1.4954e-05+0.0004519i,0.00097534+0.00018962i,0.00078706+1.0362e-05i
0.0012613-0.00069832i,0.00036014+0.00020729i,-0.0001037+0.0011466i,0.00033722+0.00039719i,0.00064157-0.0010275i,0.00019756-0.0014642i,-0.00051376-0.00045584i,-0.00056609+0.00067258i,-0.00045598+0.00063198i,-7.4918e-05+0.00046599i,0.00041579+0.00025885i,0.0001105-0.00043413i,0.00027831-0.00061326i,0.00016636+6.5639e-05i,0.00019187+4.7443e-05i,0.00043549-7.6937e-05i,7.3966e-05+0.00032833i,-2.7392e-05-1.6923e-05i,-6.6701e-06-1.9444e-05i,-0.00021244+0.00040903i,-0.00055981+0.00015587i,-0.00048248-0.0004754i,-0.00060636-0.0005289i
-0.00025424+0.00035843i,-0.00051039-0.00033559i,-0.0003748-3.776e-05i,0.00020262+0.00076207i,0.00018049+0.00038303i,6.6998e-05-0.00093731i,-0.00053187-0.0014174i,-0.0011021-0.00096762i,-0.00072599-0.00034758i,0.00020199+0.00021345i,-0.00047889+0.00057229i,-0.00092314+0.00037345i,-8.1929e-05-2.5221e-05i,9.4925e-05-0.00035814i,-2.4118e-05-0.00067054i,-0.00013642-0.00027111i,-0.00027379-0.00039278i,-0.00054902-0.00070832i,-0.00069628-0.00059215i,-0.00010297+0.0001885i,-8.96e-06+0.00069972i,-0.00022164+0.00019449i,-7.2005e-05-0.00054156i
0.00016438+0.00039279i,-0.00056009+0.00046201i,-0.0013109-0.00028476i,-0.0016563-0.00037686i,-0.0024023-0.00034777i,-0.0020283+0.00036381i,-0.00057763+0.0003679i,0.00057356-0.00041325i,0.00076851-0.0001042i,0.00017855-0.00049471i,-5.5909e-05-0.00098941i,-0.00045353-0.0010877i,-0.00039923-0.00065101i,0.00030018-0.00020227i,0.0012611+3.8586e-05i,0.00093652+0.00028563i,0.00017116-0.00028858i,0.00025874-0.00093972i,9.3073e-05-0.00088566i,-0.00064173-0.00089838i,-0.00076473-0.00023769i,-0.00061749+0.00026686i,-0.00055349+1.3478e-05i
0.00056523-0.0015943i,0.00013583-0.0018755i,-0.00037413-0.001817i,-0.00035303-0.0016693i,8.3782e-05-0.0015794i,-0.00021022-0.00034559i,-0.00010453+0.00063936i,0.00049045+0.00020378i,0.00053332-0.00039901i,-0.00051589-7.8234e-05i,-0.00050846+0.0010636i,-0.00043494+0.0011018i,-0.00017581+0.00035847i,-0.00014187-0.00033107i,-0.0001706-0.0004077i,0.00055165-0.00017763i,0.00065678-0.00012785i,0.00048241+0.00052155i,3.2657e-05+0.0015404i,0.00018901+0.00095879i,0.00078998+0.00044008i,0.0010775+0.00037996i,0.0013947-0.00024273i
0.00035687+0.0006303i,0.00040261+1.8194e-05i,0.00041307-0.00066679i,-0.00012396-0.00089458i,-7.0354e-05-0.0011519i,0.00016519-0.001148i,-0.00037644-0.00010798i,0.00023929+0.00082335i,0.00099545+0.0010572i,0.0015598+0.00088564i,0.001182+0.00023757i,-0.0004897-4.6978e-05i,-0.00085478-9.154e-05i,-0.00016032-0.000316i,6.8258e-05+4.0652e-05i,-7.0768e-05+0.00021775i,-0.00012734+0.00057442i,-0.00039649+0.0010249i,-0.00030566+0.00081647i,-0.00020457+0.00084168i,-0.00032232+0.00062537i,-0.00041799+0.00071254i,-0.00039649+0.00041916i
-0.00045417+0.00037893i,-0.00017944+0.0011781i,-0.00074233+0.0006432i,-0.0014066-0.00019061i,-0.0011097-0.00044764i,-0.00032051+0.00059152i,0.00013399+0.00022311i,0.0002562-0.00081443i,-6.7188e-05-0.0011109i,-0.00027054-0.00080241i,-0.00044346+0.00017746i,-0.00059703+0.00021136i,-0.00036267-0.00035633i,0.00053628-0.00091335i,0.0013258-0.001322i,0.0012727-0.0011603i,0.00018948-0.00058352i,-0.00059022+0.00043551i,-0.00077754+0.00042762i,-0.00053182-0.00032018i,-5.3611e-05-0.00066711i,-0.00027641-0.00028992i,-0.00096025+0.00050739i
-0.00021019-0.00094902i,-0.0011864-0.00089709i,-0.0013101+0.00056697i,-0.0010459+0.00051798i,-0.00097085-1.9617e-05i,-0.00029187+0.0006802i,0.00026115+0.00083184i,5.9028e-05+8.8903e-06i,-0.00015502-0.00044569i,-0.00022984+0.00013544i,0.00031061+0.00044834i,0.00061169+0.00014465i,0.0004334-0.00038293i,0.00053234-0.00050638i,-6.4146e-05+0.00018904i,-0.00097948+0.00057278i,-0.00082265+0.00025952i,8.07e-05-0.00032819i,0.0011834-0.00018091i,0.0012477+0.00046431i,0.00033563-0.00018565i,-0.00020588-0.00054629i,-0.00062817-8.975e-05i
0.00058141-0.0026767i,7.5944e-06-0.0029671i,-0.000878-0.0026862i,-0.0013399-0.0016i,-0.00086258-0.00039822i,-0.00094987+0.00028108i,-0.00060192+0.0013237i,8.7682e-05+0.00093199i,0.00050567-0.00075819i,0.00020146-0.00055849i,-6.3238e-06+0.00055748i,7.7516e-05-3.4561e-05i,-0.00021338-0.00061411i,0.00020263-9.6543e-05i,0.00087224+1.399e-05i,0.00088676-0.00032211i,0.00064207-0.00035468i,0.00088778-0.00062844i,0.00022862-0.00064526i,-0.00016266-0.00030934i,0.00029664-0.00030384i,0.0001785-0.00035789i,-5.372e-05-0.0001818i
-0.0011526+0.0010671i,0.00048401+0.00075767i,0.00090009+0.0010642i,-0.00029631+0.0018322i,-0.00010174+0.0016225i,0.00076945+0.00040163i,0.00094455-0.00022396i,0.00024785-0.00013833i,-0.00046489+0.00078658i,-0.00017911+0.00092878i,-3.0039e-05+0.00051767i,0.00020162+0.00062307i,5.1002e-05+0.00043834i,-0.00039659+0.00029605i,-8.0247e-05+0.00065685i,0.00019347-0.00017323i,-7.1772e-05-0.0014424i,-6.3596e-05-0.00097985i,-6.655e-05-6.4179e-06i,-0.00015904-0.00029237i,0.0002684-0.00055323i,-0.00021783-3.0463e-05i,-0.0011401-0.00047273i
0.00075949+0.0010902i,0.00018241+0.00075125i,0.00069026+0.001597i,0.00090204+0.00023228i,0.00027961-0.0016119i,-0.00082622-0.0012252i,-0.0013652-0.00015311i,-0.0013939+0.0002095i,-0.00078087-0.00019349i,-0.00019078-0.00025859i,-0.00033252-0.00074784i,-0.00084663-0.00098423i,-0.00061193-0.00013255i,-0.00017409+0.000769i,-0.00043597+0.0010874i,-4.1201e-05+0.00050723i,0.00084115+0.00032875i,0.00022919-4.7098e-05i,-0.00053535+0.00034047i,-0.00021602+0.00092194i,0.00031295+0.0012244i,0.00023588+0.0013013i,-0.00038337+0.00065688i
1.6684e-05-0.0015532i,-4.6629e-05-0.0023231i,-0.00043998-0.0033394i,-0.001611-0.002098i,-0.002022-0.00083434i,-0.00083462-0.00064982i,-0.00048421+1.9085e-05i,-0.00062156-8.9578e-05i,-0.00061623-0.00052486i,-0.00051895+0.00029409i,-0.00019977+0.0010347i,-0.00014144-0.00023671i,0.00013508-0.0015059i,0.0011103-0.00098297i,0.001513+0.00039214i,0.00040048+0.00073303i,-0.0010404+0.00038179i,-0.0012392+7.7898e-06i,-0.00012711-0.00053255i,0.00099598-0.00042604i,0.00041876-0.00036346i,-0.00038695-0.00060856i,-0.00026492-0.00019581i
0.00031581+0.0017567i,0.00080181+0.0012098i,0.0015407+0.00076969i,0.0016695+0.0011503i,0.0010787+0.00096731i,0.00071873-0.00026719i,-0.00022616-0.00088405i,-0.00039667-0.0004837i,0.00019801+9.328e-05i,0.00013212+0.0005629i,3.6502e-05+0.00058326i,-0.00019864+0.00095396i,-0.0013346+0.0012258i,-0.0015396+0.00082327i,-0.00058678+0.00031454i,0.00058161-0.00018737i,0.0012935-0.00042494i,0.0010507-0.00088932i,0.00047391-0.0010334i,5.5408e-05-0.00077092i,9.722e-05-0.00044277i,0.00024328-2.0224e-05i,-4.1315e-05+0.00031734i
0.00014241+8.6468e-05i,0.00026744+0.00064172i,-5.914e-05+0.00031854i,0.000358-0.00040559i,0.00041235-0.0008994i,-0.00056494-0.0016678i,-0.00088451-0.0015797i,-0.0010328-0.00016205i,-0.00097932+0.00056332i,-0.00030301+0.0003649i,0.00052515-0.0001266i,0.00047511+9.8465e-06i,-3.9397e-05+0.0001654i,4.1762e-06-0.00018276i,0.00036345-0.0001164i,0.00047103-0.00033796i,0.00066038-0.00081034i,6.04e-05-0.00056749i,-0.00060956-0.00044922i,-0.00065897-0.00034123i,-0.00059705-0.00057611i,-3.0242e-05-0.0008026i,-0.00013672-0.00022026i
0.001018+0.00086946i,0.0007965+0.00021285i,0.0013363-0.0011812i,0.0026002-0.0012649i,0.0024073-0.0013019i,0.00087242-0.0017425i,0.00041721-0.0016799i,0.00026305-0.00093393i,-4.5866e-05-0.00012123i,4.4182e-06+0.00028811i,7.53e-05+0.00037364i,2.1436e-05+0.00031505i,-0.00017882+0.0002925i,0.00037061+0.00024543i,0.00024555+0.00039071i,-0.0010237+0.0004031i,-0.001116+0.00068254i,6.7388e-06+0.001095i,0.00024086+0.00079693i,-0.00026995+0.00038924i,-0.00037387+0.00037714i,-0.00030155+0.00029984i,-0.00015832+1.0559e-05i
0.0027753+0.0003201i,0.0025544+0.00045899i,0.0020534-0.00044839i,0.0014336-0.001334i,0.00041569-0.0017993i,0.00016472-0.0016525i,-0.00046767-0.0015247i,-7.1586e-05-0.0009026i,0.00017883-0.00047941i,-0.00083491-0.00037926i,-0.001054-0.00012312i,-0.0010692-0.00022886i,-0.00066673-0.00034278i,-0.00019867+0.00043331i,0.000189+0.0014191i,0.0010423+0.0014403i,0.0011744+0.0016607i,0.00078516+0.0013143i,-0.00021074+0.00015687i,-0.00050147-0.00023967i,-0.00063184-5.5579e-05i,-0.0010977-0.00029785i,-0.00074784-0.0011564i
-0.0010166-0.00023841i,-0.0014762+0.00046508i,-0.0017717+0.00043147i,-0.002401-9.0359e-05i,-0.0011178-3.1182e-05i,0.00042975+0.00010348i,-0.00031117-5.2503e-05i,-0.00025812+0.0001261i,0.00070887+6.5128e-05i,0.0012362-0.00036159i,0.00092733-0.00018846i,0.0002752-8.5207e-05i,0.00032291-0.0010643i,0.00074449-0.001243i,0.00069084-0.00033672i,0.00092339+0.00037266i,0.0009242+0.00060051i,0.00016706+0.00027322i,-0.00010023+0.00010099i,0.00017823+1.5692e-05i,-0.00018922+3.266e-05i,-0.00082971+0.00026942i,-0.00040988+0.00022843i
-2.5917e-05-0.0019769i,-0.0012252-0.0015255i,-0.0012941+0.00027243i,-0.0005579+0.0018198i,0.0001091+0.0021038i,0.00062513+0.0017069i,0.00065186+0.00051731i,0.00018858-0.00086032i,-5.1115e-05-0.00098493i,-0.00010182-0.00056018i,-1.5042e-05-0.00028505i,0.00032709+8.1293e-05i,4.1452e-05+0.00012499i,-0.00074621-0.00032835i,-0.0010225-0.00040991i,-0.0006514-3.3194e-05i,-0.00015835+8.668e-05i,0.00038602+9.472e-05i,-4.1734e-07+0.00071384i,0.0001027+0.0012326i,0.00019983+0.00080036i,-3.3674e-05-7.581e-05i,4.2618e-05+0.00039024i
0.0011877+0.0011219i,0.0013234+0.0013386i,0.0010011+0.0011005i,0.0007808+3.3353e-05i,0.00099161-0.00022403i,0.00055493+0.00011146i,0.00048858-9.8866e-05i,0.00044098-0.00060431i,0.00012781-0.00093196i,-0.00082495-0.0007782i,-0.00059271-0.00032745i,0.00024388+0.00012402i,0.00034334+0.0010709i,-0.00012364+0.0007611i,-2.3633e-06-9.6842e-05i,-0.00024208+0.00022789i,-0.0010543+0.00074537i,-0.00088164+0.00015562i,-6.1031e-05-0.00015286i,0.0001349+4.6644e-06i,-0.00029277+2.1963e-05i,7.5133e-05+0.00068155i,0.0003678+0.00076698i
0.00022214+0.00018045i,0.00093632-0.00098447i,0.0012916-0.00082851i,0.00027151-0.00015646i,-0.00034396+0.00057778i,-0.00036871+0.00076707i,0.00018474+0.00089929i,0.00029095+0.00071848i,-0.0003238+0.00015078i,-0.00021955+0.00035732i,-0.00020003+0.00087812i,-0.00015711+0.00057183i,0.00024395+0.00063033i,0.00018485+0.00098591i,0.00023903+0.00075466i,0.00026389+0.00080223i,-0.0010541+8.6281e-05i,-0.0016631-0.00022751i,-0.0013764+0.00014911i,-0.00088686+3.6624e-05i,-0.00015499-0.00037675i,0.00039407+0.00024431i,-0.00034285+0.00047132i
-0.0025734-0.0023778i,-0.0022089-0.00079391i,-0.001413+0.00014886i,-0.0012388+0.0015511i,-0.0013987+0.0026459i,-0.00067236+0.002053i,-0.00054535+0.00094559i,-0.00097351+0.00088987i,-0.0010747+0.00085579i,-0.00065757+0.00070697i,-0.00030869+0.00018067i,0.00061226-0.00030576i,0.0011061-0.00071162i,0.0011057-0.0007935i,3.457e-05-0.00065505i,-0.00062627-0.00055469i,-0.00030052-0.00028808i,-0.00019876-0.00043267i,-0.00012877-0.00062993i,-0.00022995-0.00038674i,-5.1723e-05+1.6068e-05i,0.00022959+0.00036783i,0.00043305+0.00024801i
0.00053334+0.0010615i,0.00044264+0.00076621i,-7.0744e-05+0.00023051i,-0.00041457+0.00030794i,2.1386e-05-9.6398e-05i,0.00019237-0.00065388i,-0.00041969+0.00015933i,-0.00069573+0.00094873i,-0.00017683+0.00073348i,4.8734e-05+0.00051862i,-3.7979e-05+0.00012107i,7.9213e-05-0.00025417i,0.00016163+0.00059653i,0.00022869+0.00086509i,0.00090184-0.00013123i,0.0013468-0.00074009i,0.00069432-0.00038859i,0.00018409+3.4225e-05i,-4.76e-05-8.7547e-05i,0.00022534+8.5797e-05i,0.0002301+0.00023659i,-0.0005789+0.0002465i,-0.00022576+2.0175e-05i
-0.00029098+0.0013527i,0.00036601-0.00020285i,0.00073038-0.00063364i,0.0011892-0.0012257i,0.00086235-0.0015071i,0.00043514-0.00076005i,-0.00015538-0.00047923i,-0.00043768-0.00071116i,0.00044124-0.0011742i,0.0010167-0.0011899i,-0.0001333-0.00013205i,0.0004329-0.00014185i,0.00090852-0.00048795i,-0.00027614-0.0001999i,-0.00064238-0.00013633i,-0.00038426+0.00021923i,-0.00051869+0.00054377i,-0.00051944-7.3112e-05i,0.00032399-0.00010029i,0.0007341+0.00015483i,0.00058207-2.7454e-05i,0.00058546+4.1589e-05i,0.0003452+0.00026914i
0.0006093-0.0011353i,0.00061939-0.0013321i,0.0010926-0.0018147i,0.00088233-0.0022596i,-0.00018786-0.0019778i,-0.00069557-0.001207i,-0.0008479+0.00020103i,-0.0010021+0.001124i,-0.00073067+0.00071371i,-0.00065929+0.00051849i,-0.0010875+0.00010828i,-0.0012009-0.00039301i,-0.0005628-0.00013377i,3.2702e-05-0.00023954i,6.2994e-05-7.519e-05i,-0.00027755-7.0617e-05i,-0.00098314-0.00018378i,-0.00064004+0.00032176i,-0.000117+0.00028171i,0.00012773+0.00014957i,0.00026865+0.00029656i,-0.00012178+0.00025194i,-0.00041423-0.00027756i
