-0.00029669+0.00043043i,0.0001576-0.00077983i,-0.00058841-0.0017729i,-0.0018302-0.0019173i,-0.0026892-0.0016227i,-0.0025272-0.0012384i,-0.0013504+0.00084632i,8.2043e-06+0.0026296i,0.00115+0.0018663i,0.0021404+0.00087655i,0.0018976+9.8082e-05i,0.00076075-0.0011313i,-0.00034932-0.0010235i,-0.00079999-5.0198e-05i,-0.00040504+0.00059642i,-0.00052839+0.00093825i,-0.00059167+9.6819e-05i,-0.00051477-0.00068575i,-1.1834e-05+0.00031103i,7.6406e-05+0.00052663i,-0.00056104+0.00011702i,-0.001032-0.00041235i,-0.0012678-0.00098985i
0.00071071-2.553e-06i,0.00040411+0.00039018i,-0.00011179-0.0004764i,-0.0010624-0.0012403i,-0.0016248-0.0015758i,-0.0017196-0.0013551i,-0.0013168-0.00043043i,-0.00076074+0.00031458i,4.1166e-05-3.3368e-05i,0.00022552+2.6284e-05i,-0.00071733+0.00037927i,-0.00086131+0.00027913i,-0.00036051+0.00046413i,-0.00015739+0.00058312i,2.0485e-05+0.00058052i,0.00021854+3.6262e-05i,0.00059782-0.00016161i,0.00030612+0.000756i,3.1614e-05+0.0010116i,5.3836e-06+0.00032975i,-0.00070945+0.00018701i,-0.00077922+0.00039721i,-0.00098295+0.00084617i
0.0012058+0.00022455i,-7.5803e-05-0.0013483i,0.00043413-0.0030244i,4.0811e-05-0.0034428i,-0.001108-0.0029875i,-0.0014995-0.0013733i,-0.0010792-3.0255e-05i,-0.00017595+0.00047048i,0.00060778+0.0006806i,0.00054473+0.00024909i,0.00065261-0.00018399i,0.00048448+9.2652e-05i,-0.00027183+0.00021091i,-0.0010251+0.00011822i,-0.00086492-0.00025097i,-0.00016986-6.234e-05i,-0.00041049+4.917e-05i,-0.00095807+2.6618e-05i,-0.00043803+0.00043807i,0.00038965+0.00076541i,0.00069395+0.000837i,0.00015809+0.0008565i,-0.00016307+0.0007548i
-0.00046646-0.00039415i,-0.00082083+0.00078108i,-0.00070036+0.00133i,-0.00026841+0.00059262i,-0.00056928-0.00037279i,-0.00064781-0.0016911i,-0.00069936-0.0019856i,-0.00089631-0.0011717i,-0.00051331+0.00020355i,-0.00027175+0.00090506i,-3.6746e-05+0.00039541i,0.00013835+0.00039337i,0.00016214+0.0012592i,-0.00035335+0.0012186i,-0.00022703+0.00064502i,0.00032525+0.00055591i,-0.00030389+0.00022258i,-0.0012808-0.00044474i,-0.0011524-0.00016593i,-0.00026405-0.00017058i,0.00019111-0.00071958i,0.00011473-0.00045018i,0.00020597+0.00064844i
-0.00089303-0.00027248i,-0.00047432-0.0005055i,-0.0012828-0.00029358i,-0.0019769-0.00047259i,-0.0022164-0.00087495i,-0.0016294-0.00071245i,-0.0011432-0.00089694i,-0.0010121-0.00087987i,-0.00033557-0.00048477i,-0.00016507-0.00046023i,-5.9969e-05-0.00040019i,0.0007385-4.9143e-06i,0.00083193+0.00055066i,-0.00021054+0.00097489i,0.00023135+0.000793i,0.00089449+0.00045423i,0.00044608-0.00066943i,-3.7297e-05-0.00092981i,-0.00032655+0.00029085i,-0.00026058+0.0007883i,0.00044246+0.00050191i,0.0012261+0.00031151i,0.00042328-7.1387e-05i
0.00071118-0.00049018i,0.00085047-0.00049392i,0.00080871-0.0016916i,0.00051133-0.00178i,-0.00074392-0.00071359i,-0.0017316+0.00016164i,-0.0017672+0.00070039i,-0.001234+0.00068713i,-0.00022825+0.00069102i,0.00015217+0.00065893i,0.0001559+0.00064792i,-0.0003945+0.00018811i,-0.0010391+7.4871e-06i,-0.0010531+0.00037955i,1.2919e-05+0.00015323i,0.0007927-0.00026621i,0.00066177-0.00055305i,-1.8914e-05-0.00041871i,-0.00048963-0.0005054i,4.0105e-05-0.00078783i,0.0003511-9.9315e-05i,0.00028731-0.00019968i,0.00016325-0.00025898i
8.2319e-05+0.0004702i,-0.00080639+0.00047464i,-0.0013997+0.00035429i,-0.00064834-0.00010419i,-0.000101-0.00065393i,-0.00031055-0.0008008i,-0.00061923-0.0003961i,-0.00082679-0.00038194i,-0.00037311+0.00028906i,0.00037656+0.0010992i,0.00044913+0.0010817i,0.0001839+0.00060155i,-0.00016385-0.00017262i,0.00040914-0.00040269i,0.00060559+0.00057104i,-0.00015222+0.00092133i,-0.00070507-0.00011738i,0.00020626-0.00029495i,0.00027709+0.00054569i,-0.00014766+0.001355i,0.00045456+0.0011558i,0.00085124+0.00034376i,0.00045835+0.00025395i
-0.0024349+0.00020586i,-0.0018515+0.00072811i,-0.0011947+0.00052727i,-0.00042341-0.00053305i,-0.0003662-0.0020874i,-0.000587-0.0022222i,-0.00071968-0.0016718i,-0.00079315-0.0013338i,-0.00089586-0.0002084i,-0.00038302+0.00047823i,0.0005127+0.00026985i,0.00042175-6.5075e-06i,-0.0001985-0.0003095i,-0.00065444+3.3766e-06i,-0.00047324+0.0007302i,0.00030446+0.00063725i,0.00021221+8.5126e-05i,-5.4305e-05-0.00052867i,0.00036601-0.00073029i,-0.00018016-0.00054198i,-0.00066273-0.00049751i,-0.00060844-0.00033224i,-9.4952e-05-0.00025368i
0.00049861+0.0013692i,0.00044149+0.0002814i,-5.3261e-05-0.00038108i,-0.00035826-0.0010651i,-0.00049054-0.001897i,-0.0004099-0.0013507i,-0.00021648-1.9247e-06i,-0.00012996+0.00069264i,0.00015036+0.00049104i,0.00048824+0.00025089i,0.00087757+0.00047884i,0.001006+0.00067822i,0.00015708+0.00059884i,-0.00034498+0.00036207i,-3.0889e-05-9.813e-07i,-2.4916e-06-0.00039456i,-0.00053127-0.00019843i,-0.00092015-4.6135e-06i,-0.00099697+0.00041094i,-0.00067466+0.0010161i,0.00024128+0.00011163i,0.00075886+8.0419e-05i,0.00042004+0.00042888i
-0.00091217-0.0019427i,-0.00053274-0.0019692i,-0.00044547-0.0013532i,-0.0010143-0.0016168i,-0.00091873-0.001831i,-0.00029642-0.0012983i,-3.2975e-05-0.0012236i,-0.0006296-0.0003316i,-0.00022342+0.00054728i,0.00059996+0.00057624i,0.00066733+0.00074697i,0.00064888+0.00032426i,0.00043257-0.00021328i,0.0008253-0.00019635i,0.00074145+0.00010439i,-0.00037934+0.00058828i,-0.0011664-0.000145i,-0.0011992-0.0012548i,-0.00066119-0.00099906i,-0.00015551+0.0005178i,-0.00045146+0.00085629i,-0.00049243+9.7722e-05i,-0.00016969-4.7958e-05i
-0.0001946-0.0019271i,-0.00050865-0.0015622i,-0.0010589-0.0011603i,-0.0022922-0.0011348i,-0.0024199-0.0013056i,-0.0017433-0.0017152i,-0.00092252-0.001243i,3.0845e-05+0.00025299i,0.00040057+0.00081418i,0.0010016+0.00044551i,0.0012222+0.00016765i,0.0008941+0.00014565i,0.00055857+7.9671e-05i,0.00011332-0.0001665i,-7.4173e-05+0.00022778i,0.00065909+0.00049021i,0.00058381+5.3836e-06i,-2.2284e-05+1.4646e-05i,0.00010971+0.00012898i,0.00034232+0.00037337i,0.00038164+0.0012695i,0.00012743+0.0010765i,-0.00011169+0.00013355i
-0.0010215-0.0013271i,-0.00047895-0.00094511i,0.0005736-0.00051707i,0.00058148-0.0010324i,-0.00012145-0.0013874i,-0.00068211-0.00053334i,-0.00093539+0.00020456i,-0.00043195+9.8304e-05i,0.00024657+0.00080852i,0.00072538+0.0013556i,0.001269+0.00062849i,0.0013032+0.00011075i,9.4743e-05+0.00061075i,-0.00079354+0.00084578i,-0.00054603-5.5542e-05i,-0.00083443-0.00040718i,-0.0010121-0.00036927i,-0.00056477-0.00059174i,-0.0002876-0.00047509i,0.00022328-7.2987e-06i,0.00066679+0.00022585i,-0.00016914+0.00028784i,-0.00061907-7.7222e-05i
0.0022417-2.1546e-07i,0.0015476-0.0011364i,0.0017841-0.0016987i,0.0019409-0.0022082i,0.00017089-0.0017353i,-0.0019101-0.0012549i,-0.0018678-0.0010011i,-0.0010343+0.00019262i,-0.00025736+0.00086946i,0.00033996+0.00035704i,0.00018952-2.1355e-05i,-0.00024554+5.183e-05i,-0.00074067+0.00065946i,-0.00045107+0.0010917i,-0.00011497+0.0010579i,8.4132e-05+0.00080902i,-0.00017692+5.3699e-05i,-0.00034842-0.00043532i,-0.00010476-0.00013185i,0.0002355-0.00012725i,0.00065889-0.00054417i,0.0008805-0.0006811i,0.00030732-0.00055101i
5.2653e-05+0.00021917i,0.00054588-0.0006609i,0.0017359-0.0024106i,0.0015143-0.0041716i,0.00071889-0.0040193i,-3.6164e-05-0.0023585i,-0.001001-0.0012518i,-0.00055345+1.2887e-05i,0.0001016+0.001051i,-0.00038605+0.00076172i,-0.0003746+5.0995e-05i,-6.1491e-05-0.00028497i,3.4074e-05+0.00036133i,-0.00036538+0.00070791i,-0.00057233-0.00028292i,-0.00063192-0.00025431i,-0.0010236+0.00044711i,-0.001713+5.9188e-05i,-0.0014532+3.0906e-06i,-0.00081973+3.0033e-05i,-0.0010667-0.00011175i,-0.00047355-0.00071826i,0.0009-0.00033658i
-0.00059398+0.00041445i,0.0002503+0.00081022i,0.00034108+0.0010481i,-7.23e-05+0.0011083i,-0.00087471+0.00072658i,-0.00093847+0.00012078i,-0.00073872+0.00063843i,-0.00070012+0.0008046i,-0.00022805+0.00069543i,3.5907e-05+0.00030312i,-9.0521e-05-0.00030896i,-0.00024561-0.0006318i,-0.00058585-0.00057362i,-0.00048108+0.00010518i,-0.00024445+0.00068187i,-0.0003625+0.00033382i,-0.00052859+4.3222e-05i,-0.00073717+0.00017751i,-0.00061746+4.7441e-05i,-0.0004173-0.00056288i,-9.5222e-05-0.00037628i,0.00028396+8.437e-05i,-0.00018151+0.0004727i
0.00063132-0.00031935i,-0.00017327-0.00046324i,-0.0011012-0.0011555i,-0.00034999-0.0014131i,-0.00085449-0.0016439i,-0.0020571-0.0016984i,-0.0012241-0.00080299i,-0.00059493+7.3772e-05i,-0.0011266+0.00041792i,-0.00031449+0.00088049i,0.0012579+0.00080833i,0.0011572+0.00026412i,0.0007886-0.00031457i,8.2087e-05-0.00069755i,-0.00092845-0.00053714i,-0.00067535-0.00064642i,-9.323e-05-0.00092937i,0.00010201-0.00087305i,-0.00031121-0.00039362i,-0.00024024-0.00011277i,0.0011029+0.0005597i,0.0014464+0.0011843i,0.00091649+0.00085321i
0.00089887-0.00046891i,0.00066978-0.00053258i,0.00072623-0.00054709i,0.00060488-0.0010965i,-0.00089617-0.001671i,-0.0025773-0.0012932i,-0.0021087-0.00036531i,-0.00018909+0.00051576i,0.0009047+0.00097031i,0.00087536+0.00054777i,0.00058708-0.00017158i,0.00055145-0.00032782i,0.00017026+0.00048251i,-0.00024393+0.00071442i,-0.00059422-1.1365e-05i,-0.00020871-0.00023947i,-0.00011575-0.00010717i,-0.00096346-3.0902e-05i,-0.000665-0.0001261i,0.00021921+0.00073368i,-0.00030683+0.00074987i,-0.000834+0.00020615i,-0.00085962+0.00028908i
0.00076045+0.00066115i,0.00032002+0.0014183i,-0.00020192-0.00030311i,-0.00015499-0.0026518i,-0.00032446-0.0033094i,-0.0011273-0.0023902i,-0.001114-0.00099028i,-0.00028543-0.00010645i,-0.00023509+0.00065567i,-0.00070695+0.00042503i,-0.00037077+0.00045393i,-0.00033991+0.0005727i,0.00029985+0.00030743i,0.0012053+0.0002273i,0.0012674-0.00039896i,0.00065729-0.00081213i,-0.00041593-0.00040955i,-0.0007328+0.00025314i,-1.6549e-05+0.0002854i,-5.7292e-05+0.00067888i,-0.00012723+0.0011403i,0.00026452+0.00057395i,0.00056763+0.00016133i
0.00062882-0.0031176i,-0.00077398-0.0023307i,-0.0017063-0.0014938i,-0.0013603-0.00078798i,-0.00061108-5.2059e-05i,9.6496e-05+3.7914e-06i,-0.00012705+0.0002072i,-0.0007681+0.00087761i,-0.00092995+0.0002769i,0.00012805-0.00027562i,0.0011819-8.4478e-05i,0.0013341+0.0002084i,0.00095709+0.00050921i,0.00013761+0.0005102i,0.00019223+0.0010374i,-0.00025924+0.0012491i,-0.00046647+0.00023083i,0.00026841-0.00017689i,0.00058103+8.6682e-05i,0.00046189+0.00012636i,0.00077428-0.00017512i,0.0007837-7.5726e-05i,-8.7382e-05-0.00023583i
-0.00152+0.00044796i,-0.0001926-2.4378e-05i,0.00032841-0.00056203i,-0.0011591-0.00040984i,-0.0017179-0.0010542i,-0.00089239-0.0012081i,-0.00022375-0.00091217i,0.00017683-0.00068019i,-3.1558e-05-0.00010607i,-0.00032711+0.0004121i,0.00014598+0.00057594i,0.0006184+0.00045173i,0.0005895+0.00026963i,0.00054718-0.00035432i,0.00060043+0.00012782i,0.000735+8.3414e-05i,0.00040089-0.00030279i,-7.811e-05-0.00015575i,-0.00045392+8.5696e-05i,3.6209e-05+0.00032787i,0.00089556-0.00027693i,0.00081683-0.00050907i,0.00048501-0.00021493i
-0.00083103+0.00025139i,-0.00079123-0.00031777i,-0.00076071-1.3165e-05i,-0.00021482-0.00038731i,-0.00082438-0.0016526i,-0.0011265-0.0019438i,-0.00053028-0.00093791i,-0.00042102+0.00025143i,0.00017263+0.00050978i,0.0010911+0.00045532i,0.00094439+0.00030496i,0.00093404+0.0003815i,0.00055521+0.00040455i,0.0004668-0.00035684i,0.00049447-0.00094948i,0.00017024-0.00056272i,0.00021977+0.00020673i,-0.00048523+0.00017048i,-0.0007612+0.00040167i,4.18e-05+0.00054078i,0.00060355-0.00023316i,0.00044567-0.00019899i,-7.3341e-05+0.00060925i
0.00013211+0.00024484i,0.00072108+0.00081711i,0.00095517+0.00014368i,0.00047188-0.0011476i,-0.00030195-0.0015759i,-0.00027263-0.0011231i,-0.00026773-0.00038593i,-0.00045129+5.4884e-06i,-0.00059865+0.00072183i,-0.00010687+0.00073922i,0.00074523+0.00073916i,0.00059097+0.00071272i,0.00016686+0.00022234i,9.5134e-06+0.00045329i,0.00041198+0.00029151i,0.0009765-0.00036692i,2.0204e-05+0.0002426i,-0.00075884+0.00046482i,-0.00043849+0.0002972i,-0.00010605+0.00065766i,0.00020214+0.00070963i,0.00015333+0.00012229i,0.00046032-0.00068344i
-0.0025637-0.00062086i,-0.0031943-0.00076258i,-0.0026091-0.00065099i,-0.0010523-0.0013021i,-0.00046394-0.0013802i,-0.00094688-0.0010798i,-0.00054519-0.00034982i,-0.00057984-0.00035264i,-0.0002436+0.00025201i,0.00056046+0.00068431i,0.0006272+0.00023705i,0.00073481+0.0004245i,0.00095565+0.00033134i,0.001112+0.00022828i,0.00088526+0.0011201i,0.00074442+0.00080086i,0.00076735-0.00063725i,0.00047233-0.0009193i,0.00064492-0.0005463i,0.0010689-0.0001124i,0.00075528+0.00059694i,0.00052582+0.00032355i,0.00043229-0.00057033i
-0.0016668-0.00011917i,-0.0013295+0.00097073i,-0.0010877+0.0023635i,-0.00098916+0.0015275i,-0.001563+0.00049922i,-0.0013462+0.00051056i,-0.00087276+0.00041518i,-0.00096148+0.0001193i,-0.00095413+0.00011181i,-0.00020417+0.00040923i,0.00036607-4.5429e-05i,0.00077384-0.00078762i,0.00084274-0.0009313i,0.00028091-0.00046014i,-0.00013967+4.6137e-05i,-0.00049056+0.00040079i,-0.00070295+0.00074026i,-0.0011613+0.00078054i,-0.0008977+0.00051811i,0.00059618+0.00020465i,0.00093434-0.00015076i,-7.9993e-05-0.00060297i,-0.00057098-0.00078002i
-0.00042303+0.00067219i,-0.0014743+0.00030899i,-0.0012895+1.1946e-05i,-0.0005774-0.00032821i,-0.00075566-0.00087444i,-0.00089034-0.0015066i,-0.00090279-0.0014455i,-0.0011032+0.00034204i,-0.00098013+0.00085998i,-0.00010081+0.00029617i,0.00055701+0.00012611i,0.00024581-4.595e-05i,-0.00024538+0.0003124i,-0.00018999+0.0006921i,0.00029278-0.00011904i,-8.8358e-05-0.0001251i,-0.00071941+0.00023143i,-0.00068354-0.00011145i,-0.00034366+9.0885e-05i,-0.00013866+7.5908e-05i,-0.00037612-0.00010403i,-0.0006517+1.4232e-05i,7.263e-05+0.00037862i
0.0003934-0.00092236i,0.0010126-0.0017653i,0.0017246-0.0022065i,0.0018384-0.0022282i,0.00048382-0.0017977i,-0.0014424-0.0013008i,-0.0014839-0.00059687i,-0.00048623+0.00045315i,0.00017363+7.9492e-05i,-9.367e-05-0.00013766i,-0.00064004-0.00010873i,-0.00027577-0.00039567i,0.00045556-0.00011278i,0.00067794+2.8629e-05i,0.00013502-2.1383e-05i,-5.4205e-05+0.00017982i,4.2441e-05+8.1927e-05i,-0.00043645+6.2979e-05i,-0.00095682+0.00085757i,-0.00059416+0.0016018i,-0.0002056+0.0012083i,0.00042448+0.00076079i,0.00062939+0.00093023i
-0.0013777-0.0021758i,-0.0022587-0.0021548i,-0.0028178-0.0021171i,-0.0030249-0.0017445i,-0.0023745-0.00078722i,-0.0012936-0.0004241i,-0.00070693-0.00021729i,-0.00023578-0.00023793i,-0.00014731+2.9444e-05i,0.00035023+0.00055838i,0.001196+0.0012419i,0.00078879+0.0011759i,0.0001087+0.00092234i,-0.00045369+0.0006778i,-0.00058426+4.9005e-05i,0.00026055+5.0925e-06i,-0.00010859+9.5692e-05i,-0.001124-0.00053566i,-0.00078257-0.0013779i,-6.1295e-05-0.0010191i,-0.00018674-0.00029333i,-0.00041108-0.00030602i,-0.00069462-0.0005799i
0.00088989+0.00072293i,0.0019776-7.8936e-05i,0.001712-0.0014993i,0.00032475-0.002468i,-0.0010754-0.0033391i,-0.0020705-0.0030057i,-0.0014506-0.0011432i,-0.00083956-6.3018e-05i,-0.0011793+0.00020174i,-0.0012054+0.00044449i,-0.0005911+0.00076262i,-0.00051916+0.00061309i,-0.00054227-4.6289e-05i,-0.00010605+9.0286e-07i,0.0004155+1.8243e-05i,0.00023814+0.00050804i,-0.00017068+0.00062003i,-0.00022892+0.00031663i,-9.8595e-05+0.00055398i,0.0003853+0.00081322i,0.00028378+0.00078521i,0.00035248+0.0011627i,0.00075378+0.00051222i
0.0010379-0.0013411i,0.00061131-0.0021177i,0.00087416-0.003052i,0.00025544-0.0042449i,-0.0010007-0.0046544i,-0.0023266-0.0037415i,-0.0023304-0.0024653i,-0.00079515-0.00077307i,-2.2315e-05+0.00060689i,-0.00011817-8.4282e-05i,0.0007343-0.00028181i,0.0014234+0.00058457i,0.0012386+0.00058392i,0.00084464+0.00023188i,-4.1094e-06+0.00031944i,-0.00041064+0.00044715i,-0.00012746-0.00016046i,-0.00012045-0.00044609i,-0.00036543-0.000438i,-0.00042002-0.00018878i,-0.00088041+0.00013566i,-0.00080693+0.00036556i,9.4592e-05+0.00028441i
0.0014002-0.0018781i,0.001512-0.0022065i,0.00049355-0.0038961i,-0.00042126-0.0037709i,0.00015542-0.003005i,5.8685e-05-0.0026849i,-0.0004796-0.00094671i,-0.00019135+0.00034701i,0.00018447+0.00080536i,0.00027126+0.00073089i,0.00086674+0.00055172i,0.00074401+0.00047463i,0.00022536-0.0001216i,0.00056603-0.0004776i,0.00062118-0.00035997i,4.7222e-05-0.00028465i,0.00044657+0.00014587i,0.00097658+0.00080657i,0.00020097+0.0010429i,3.6339e-05+0.00038681i,0.00010345-4.2161e-05i,-0.00017312+0.00040904i,-7.0621e-05+0.00042055i
-0.00070051+0.00065196i,0.00014988+0.0011852i,-0.00086437+0.0012294i,-0.0023034-0.00046512i,-0.0026678-0.0015015i,-0.0021784-0.0011397i,-0.0012138-0.001186i,-0.00060841-0.00076137i,-0.00036991+0.00024532i,0.00012333+0.00066991i,0.00034813+0.00056339i,0.00061913+0.0004317i,7.8078e-05+0.00060911i,-0.00049304+0.00084795i,-0.00030916+0.00062928i,9.4096e-05+0.00054737i,-9.059e-05+0.00033913i,-0.00051018+0.00066315i,-0.00075505+0.0016809i,-0.00093686+0.0014018i,-0.0005718+0.00031076i,-7.0624e-05+0.00021548i,0.00037238+0.00045027i
0.00049196-7.1928e-05i,0.0017474-0.00083875i,0.0014007-0.0022888i,-0.00037579-0.0033522i,-0.00096266-0.003985i,-0.00085188-0.0031218i,-0.00052742-0.0012384i,-0.00044067+0.0001519i,-0.0004025+0.00023113i,-0.00031413+0.00031144i,0.00033429+0.00021186i,0.00042957+6.5574e-05i,-6.6645e-05+0.00043539i,0.00042576+0.00078339i,0.00055748+0.00034049i,-0.00023084+0.00024208i,-0.00032964-0.00023084i,0.00013319-0.00039214i,2.0298e-05+0.00032906i,-6.6884e-05-7.3206e-05i,0.00010573-0.0001769i,0.00034814+0.00014695i,0.00025401-0.00056196i
