-2.7816e-05+0.00097167i,0.0011768-0.00038129i,-0.00020933-0.0013263i,-0.0011671+2.3877e-05i,-0.0020845+0.0018474i,-0.002147+0.0015495i,-0.00059216+0.0014565i,0.00090236+0.0013073i,0.0015174+0.00051766i,0.0011642+0.00018986i,0.00064466-0.00014487i,0.00038442-0.00042124i,0.00012414-0.0007542i,-0.00055764-0.0010996i,-0.0013245+9.4398e-05i,-0.001046+0.00080094i,-1.8816e-05+8.4253e-05i,0.0004359-0.00037795i,0.00017317-0.00035214i,-0.00015154+0.00014329i,-0.00076051-1.5904e-05i,-0.00088647-0.00022941i,-0.00046316+1.992e-05i
0.00026097-0.00086661i,-0.0010839-0.0011548i,-0.0019125-0.0010864i,-0.0012246-0.00047294i,-0.00098683+0.00040821i,-0.001338+0.00053469i,-0.00097821+0.00036568i,0.00031631+0.00048561i,0.0011382+0.00023602i,0.00028515-0.00010621i,-0.00029869-0.00041861i,-0.00034358-0.00024289i,-0.0004992+5.5106e-05i,-0.00058355-0.0002108i,-0.000271-0.00065612i,-1.463e-05-0.00076059i,0.00033853-0.0003091i,0.00076388+0.00032104i,0.0005861-0.00011305i,0.00036225-0.00053602i,6.5353e-05-0.00049021i,0.00063648-0.00060688i,0.0012732-0.00061268i
-0.00024309+0.00014404i,0.00077886+0.00027813i,0.0003421+0.00081832i,-0.00081456+0.0019026i,-0.0011804+0.0013548i,-0.00029565+0.00028714i,0.00081757-0.00061899i,0.00097897-0.00091589i,0.00016495-0.00067439i,-0.00028304-0.00041719i,-0.00021716-8.9356e-05i,-8.3075e-05+9.0754e-05i,-0.001001+5.9795e-05i,-0.0014131-0.0003288i,-0.001371-0.00052225i,-0.0010951-0.0003161i,0.00013828-0.00020108i,0.0006778+4.284e-05i,-0.00010439+0.00075669i,-0.00077011+4.6395e-05i,-0.0009108-0.00049435i,-0.00022689-0.00024648i,-0.00017768-0.00010026i
-0.0017022-0.00010243i,-0.00057924-2.7694e-05i,-0.00028883-0.00050375i,-0.00022892-0.00066164i,-0.00049784-0.00019543i,-0.0010657+0.0002011i,-0.00052463-7.8774e-05i,-0.00014717-0.00051476i,-0.0003299-0.00076832i,-0.0007503-0.001084i,-0.00012529-0.00075638i,0.00010221-0.00053573i,3.5446e-05-0.0003494i,0.00038511-0.00031522i,0.00069772-0.00054218i,0.00065724-0.00022382i,0.00024532+8.3254e-05i,0.00015216+8.1833e-05i,-4.6529e-05-0.0001375i,-0.00011683-3.8895e-05i,0.00034254+0.0002574i,0.0006119+0.00068723i,0.00021964+0.0004813i
0.0014105+0.0013971i,0.0013632+0.00091147i,0.0020267-0.00043122i,0.0014662-0.0007687i,-9.7928e-05-0.00054187i,-0.00055891-0.00073235i,-0.0003588-0.0004245i,7.7446e-05+0.00035069i,0.00013482+0.00025979i,-7.4847e-05-0.00023505i,-0.00078787+0.00014623i,-0.0010441+0.00016678i,-0.00045474-5.1479e-05i,-0.00029093+6.7029e-05i,0.00018234+6.7203e-05i,0.00039451+0.00014767i,-0.00013901-4.7277e-05i,-0.00041676-0.000612i,5.6403e-05-0.0011558i,0.00044576-0.0009158i,0.00075772-0.0011089i,0.00027727-0.0012874i,-0.00067606-0.00091864i
0.00092299-0.0012967i,0.00055049-0.0021396i,6.0415e-05-0.0026189i,0.00023823-0.0024565i,-2.9265e-05-0.0015361i,-5.1935e-05+0.00035101i,0.00010129+0.0011816i,-8.2314e-05+0.00081911i,-0.00029182+0.00062066i,0.00010523+0.0002151i,0.00029364+0.00041071i,-0.00020229+0.0006407i,-0.00049507-0.00016602i,-0.00034189-0.00048004i,-0.00071429+0.00074116i,-0.0014123+0.00051878i,-0.00093936+0.00064229i,-0.00047285+0.0011364i,-0.00016169-3.4179e-05i,0.00025683-0.00059047i,-3.9526e-05-0.00025222i,0.00012658-0.00050182i,0.00014002-0.00029112i
0.00080166+0.00012956i,0.00095028+0.00022231i,0.0002813-0.00051879i,-0.0010754-0.001375i,-0.001689-0.0010769i,-0.0014628+0.00019125i,-0.00034188+0.00072071i,0.00067647+5.6464e-05i,0.00073599+1.7014e-05i,0.0006149+0.0005823i,0.00024951+0.00019441i,0.00091886-0.00019427i,0.0016394+6.0337e-05i,0.0010148+0.00042927i,-8.4431e-05+0.00066082i,-0.00024948+0.00073724i,-4.0218e-05+0.00059391i,0.00035259+0.00011232i,0.00079603+0.00025304i,0.0009096+9.9113e-05i,0.00020016+0.00017845i,-0.0010283+0.00052181i,-0.0013112+8.2817e-05i
-0.00077354-0.001532i,-0.0016771-0.00097095i,-0.0014619-0.00088194i,-0.00076563-0.0012328i,-0.0011437-0.00025526i,-0.0014306+0.00033282i,-0.0015655+2.924e-06i,-0.0010931-0.00015067i,-0.00037285+0.00029961i,0.00030471+0.00028282i,0.00073894-8.6747e-05i,0.00070561-0.00026995i,0.00013048+0.00019719i,-0.00029527+0.00056985i,-4.23e-05+0.00018494i,0.00038698-7.2029e-05i,0.00028203-0.00044356i,-0.00036416-0.00014633i,-0.00033505+0.00078225i,8.7506e-05+0.0010393i,-0.0004859+0.0011628i,-0.00058581+0.0010077i,-0.00011312+0.00042742i
-0.0011921-0.00087476i,-0.001009-0.00054456i,-0.00090088+0.0005887i,-0.00063223+0.0019573i,5.0487e-05+0.0012659i,-0.00019639+0.00017165i,-0.00043899+0.00039373i,-0.00038406+0.00063845i,-0.00013483+0.00041252i,0.00017859+7.241e-05i,0.00045788-0.00013382i,0.00050092-0.00072484i,0.00010872-0.0011212i,-0.00038933-0.00088239i,-0.0004026-0.00097624i,-0.00051175-0.0011357i,-0.00079261-0.0008493i,-0.00083495-0.00044342i,-0.00043591-0.00061575i,2.526e-05+0.00010352i,5.1632e-05+0.00054688i,-0.00015842-1.3846e-05i,-0.00048646-0.00011751i
-0.00018571+3.6045e-05i,0.00090037+9.5423e-06i,0.0018358+0.00011231i,0.0018834+8.441e-05i,0.0012134-0.00013838i,0.00034883-0.00012569i,-0.0002654-0.00061079i,4.7714e-06-0.0008502i,0.00018784-8.7894e-05i,0.00044639+0.00042944i,0.0005943+0.0001684i,0.0002614+0.00041199i,5.9288e-06+0.00041539i,-1.3949e-05-1.1074e-05i,0.0001325-0.00011851i,-0.00019237-0.00012272i,-0.00052287+1.4056e-05i,-0.00029157+0.00013127i,-1.472e-05-6.9077e-05i,-0.00035918-0.00010763i,-0.0006067-7.1542e-05i,-0.00072449+0.00038833i,-0.00050589+0.00078767i
-0.0019249+0.0018577i,-0.0012312+0.0012475i,-0.00053805+0.0014004i,7.404e-05+0.0020346i,0.00053135+0.0017175i,0.00065156+0.0016014i,0.00040258+0.0012329i,-9.5418e-06+0.00050575i,-0.00027892-2.8619e-05i,0.00010746-0.00011945i,0.00064942+0.00064361i,0.0010236+0.00046841i,0.00026317+0.00023306i,-0.00033711+0.00038393i,-0.00048952-9.267e-05i,-0.00052805-0.0002788i,0.00013163+5.2019e-05i,-0.00020366+0.00013401i,-0.00063187-0.00016206i,-0.00020295-0.00057326i,7.3397e-06-0.00049911i,-4.4057e-05-0.00046327i,-6.6553e-05-0.00023872i
0.00077464-0.00017827i,-0.00039425-0.00071174i,-0.00037626-0.0018838i,-0.00058582-0.001867i,-0.00065675-0.0011881i,-0.00089456-0.00038768i,-0.0011392+0.00039422i,-0.00027531-6.5183e-05i,0.0011873-0.00048604i,0.0013111-0.00096093i,0.00046526-0.0011632i,-8.5584e-05-0.00081121i,0.00011181+0.00012711i,0.00058704+0.00095444i,0.00064053+3.5566e-05i,0.00045632-0.00044008i,0.00057175-0.00015667i,0.00058216+2.4859e-05i,-0.00017779-0.00016933i,-0.0006056-9.1261e-05i,-0.00063751+0.00039232i,-0.00061259+0.00081848i,-0.00044701+0.00054312i
-0.00054572-0.0010263i,-0.0012354-0.0010236i,-0.0014728-0.00023195i,-0.0019857+0.00024154i,-0.0014295+0.00027671i,-0.0006582+0.00063846i,-0.00023184+0.00014824i,0.00027718-3.3065e-05i,0.00076557-0.00013584i,0.0010392-0.00017539i,0.00077154-0.00051388i,0.00056712-0.0001254i,-0.00018791+0.00033469i,-0.00069961+0.0001183i,-8.9298e-05+0.0001026i,-5.4269e-05+0.00058916i,0.00014826+0.00032123i,0.00082141+0.00038614i,0.00072752+0.0012679i,0.0006917+0.00037226i,0.00047921-0.00046782i,-8.9328e-05+0.00011247i,-0.00021448-0.00031355i
-2.6664e-05+0.0009918i,0.00053397-6.7545e-05i,0.0018258-0.00068183i,0.0018374-0.0008305i,0.00062328+0.00031585i,-0.00016727+0.0011926i,-0.0001446+0.00047644i,-0.00022383-0.00027104i,-5.9209e-05+0.000257i,-7.9632e-05-0.00021688i,0.00073795-0.00085106i,0.0014333-0.00025227i,0.00088122+0.00059012i,6.928e-06+0.00034126i,-0.00044631-0.00024903i,-1.3078e-05-0.00038702i,0.00021004-3.4061e-05i,0.00022278+0.00028268i,0.00021215+0.00026126i,-0.0002575+4.9734e-05i,-0.00049167-0.00023329i,0.00027236-0.00034547i,0.00055622-0.0008774i
0.00015558+0.00037539i,0.00054313+0.00036021i,9.2163e-05-0.00072616i,-0.00011999-0.001113i,-0.00058543-0.00091131i,-0.00069691-0.00051131i,-0.00060667+0.00060837i,-0.00072133+0.0012597i,-6.3962e-05+0.0004653i,0.00011866-0.00045367i,-6.6598e-05+0.00025681i,0.00040708+0.00042827i,0.0010094+0.00012416i,1.5866e-05+0.00020125i,-0.00049629+0.00013904i,-5.9996e-05+0.00041729i,1.5576e-05+0.00068084i,-0.00021858+0.00067888i,2.0794e-05+0.00067486i,0.00027677+0.00042075i,-0.00033774+0.0001702i,-0.0007261-8.5528e-05i,-0.00076229+6.5224e-05i
-0.0023546-0.00027335i,-0.0026377-0.0003872i,-0.0018063+0.00072907i,-0.00064424+0.0010132i,0.00010571+0.0005986i,-7.0942e-05-0.00033067i,-0.00048438-0.00079422i,-0.00046254-0.00018348i,-0.00063443-0.00010463i,-0.00027783-7.6714e-05i,0.0002141+0.00037417i,4.4306e-05+0.0003361i,-7.6839e-06-0.00024077i,5.873e-05-0.00048319i,0.00018761-0.00015219i,5.5518e-05+0.00014337i,-0.00065385+0.00016088i,-0.0013511-0.00035696i,-0.00060514+6.7376e-05i,0.0001131+0.00066635i,-0.00010178+6.2325e-05i,-0.00046756-0.00033748i,-0.0008579+3.5416e-05i
-0.0012224-0.00030783i,-0.0011957+0.00057429i,-0.0012878+0.0014891i,-0.00038338+0.00077518i,0.00011646-0.00041183i,0.00061296-0.00021387i,0.00099858+0.00028882i,0.00063385+0.00048956i,0.00010745+0.00094416i,-2.4246e-05+0.0011464i,-0.00082029+0.00031752i,-0.00034047-4.6057e-05i,0.0001044+0.00048952i,-0.00052003+0.00051315i,-0.00028511+0.00072973i,-0.00058955+0.00036392i,-0.00036092+8.8671e-05i,0.0006981+0.00014949i,0.00046446-0.00024712i,-8.3278e-05-0.0003048i,-0.00024109+5.3769e-05i,-0.00097396-0.0001682i,-0.00082268-0.00066103i
0.0010334+0.00024244i,0.0016149-0.00087685i,0.00072474-0.0012953i,-0.00047087-0.0010351i,-0.0017334-0.00045817i,-0.0025099+0.00018581i,-0.00091426+0.00019685i,0.0006809+0.00028716i,0.00090323+1.1432e-05i,0.00075715-0.00030842i,-7.5213e-05+0.00040753i,-0.00060943+0.0008472i,-0.0001571+0.00069954i,1.5667e-05+0.00051072i,0.00022884+0.00016076i,5.6275e-05+0.00017787i,-0.00040176-8.1225e-05i,-0.00052928-0.00035189i,-0.00037935-7.783e-05i,0.00020455-0.00011967i,8.0355e-05-0.00046317i,-0.00041548+2.313e-05i,-0.00060021+0.00048847i
0.0011083-0.0012007i,0.00017721-0.00097745i,-0.0014873-0.0012751i,-0.001466-0.0015673i,-0.0008739-1.1485e-05i,-0.0017168+0.00080889i,-0.0011699+0.00021536i,-0.0003126+0.0006835i,0.00031746+0.00079853i,0.00085604+0.00036773i,0.00016476+6.3521e-05i,-0.00016316+0.00081671i,-0.00038943+0.001755i,-8.3997e-06+0.0016704i,0.00047882+0.00055272i,0.00015951-0.00083534i,-0.00019327-0.00080544i,-6.7619e-05-0.00041067i,-0.00034977-0.00037126i,-0.00093875-0.00014709i,-0.00048527-0.00026324i,0.00021495-0.00010742i,0.00049692+0.000287i
-0.00096559-0.00047022i,0.0001372-0.00078411i,0.0012834-0.00032816i,0.0014497-0.00078114i,0.00080703-0.0011704i,0.00024643-0.00045238i,-0.00042589-0.00016792i,-0.0011572-0.00042482i,-0.0004394-0.00027417i,0.00095196+0.00016312i,0.00098687+0.00035851i,0.00088288+0.00013278i,0.0010576-0.00024517i,0.00098527-0.00035433i,0.00029019-0.00021517i,-0.00023981-0.00013157i,-0.00027867-0.00015692i,-0.00030633-3.0036e-05i,-0.00051673+0.00021142i,-0.00097244-1.1527e-05i,-0.001073-0.00054278i,-0.00060631-0.00059736i,0.00035188-0.00015192i
0.00059903-0.00036361i,0.00078496-0.00028809i,0.00017096-0.00087386i,-0.00079608-0.0010922i,-0.00070583+0.00017581i,-0.0011842+0.00079587i,-0.0016738-9.4663e-05i,-0.0018074-0.00021451i,-0.0011819+0.00025539i,-0.00039444+0.00040447i,-0.00017199+0.0002185i,-0.0001162-0.00022134i,-7.9755e-05+0.00012092i,0.00028382+3.4968e-05i,0.00010489-0.00041266i,-0.00023662-0.00075775i,-0.00038917-0.00065446i,-0.00045411+0.00011452i,-0.00026465-0.00066764i,2.7408e-06-0.001122i,-5.9806e-05-0.00030942i,-0.0003232-0.00030998i,0.00013296-0.00067615i
0.0014797+0.0025223i,0.0007315+0.0029103i,0.00055423+0.0022147i,0.00058067+0.00061949i,0.00072857-0.0003334i,0.00010192-9.0001e-05i,-0.0012319+5.5826e-05i,-0.00079396+0.00021039i,0.00014185+0.00019123i,-1.6969e-05-0.00040767i,0.00013988-3.2991e-05i,-0.00026973+0.00012473i,-0.00061503+0.00010853i,3.1131e-05+0.00022706i,0.00047205+0.00012298i,-0.0003008+0.00045117i,-0.00090961+0.00040357i,-0.00044848-0.00060622i,2.3455e-05-0.0010871i,-6.5122e-05-0.00050876i,0.00068704-0.00015063i,0.00071953-0.00032649i,0.00025546-0.0005209i
-0.0001242-2.4078e-05i,-0.00064066-0.00079703i,0.00065822-0.0013962i,0.0009101-0.00085012i,-0.00024103-0.00048107i,-5.0485e-05-0.00062286i,0.00037494-0.00091815i,0.00030791-0.0004679i,0.00064554-0.00021327i,0.00092529-0.00047482i,0.00045003-0.00043151i,-0.00022272-0.00080726i,-0.00018857-0.0015509i,0.00045508-0.0013726i,0.0010543-0.00054536i,0.00053156+8.8486e-05i,-5.5369e-05+0.00017467i,0.00017043-4.2819e-05i,0.00048817-0.0003184i,-0.00040653-0.00063698i,-0.00069416-0.00077876i,-0.00036025-0.00052487i,0.00045089-0.00038958i
-0.00024811+0.001586i,0.00046738+0.0018658i,0.00065543+0.0013672i,0.00088296+0.0014272i,0.00070273+0.0012611i,0.00024714+0.00049568i,2.4735e-05+0.00023575i,0.00050154-0.00041374i,0.00076863-0.00075962i,0.00043175-0.00032312i,-0.0003292-0.00038379i,-0.00057412-0.00035024i,-0.00061042-0.00020176i,-0.00024914+0.00016249i,-3.9097e-05+0.00058592i,-5.3866e-05+0.0002963i,-0.00015443-1.1653e-05i,-0.0006224+0.00032043i,-0.00058521+0.00021073i,-0.00080496-7.9538e-05i,-0.0012214-0.00038664i,-0.00030583-0.00036982i,0.00025964-0.00043482i
0.00082573-0.0019379i,0.00056027-0.0015128i,0.00086025-0.0024643i,-0.00038956-0.002466i,-0.0020152-0.0016167i,-0.0010824-0.00022886i,-0.00074639+0.00044081i,-0.00065351+0.00019556i,0.00032553+0.00053154i,0.0002119+0.00051205i,7.5313e-05+0.00057712i,0.00046073+0.00054122i,0.00037717+0.00022833i,0.00014352+0.00043403i,0.00028623+0.000588i,-0.00025855+8.5352e-05i,-0.00098157-4.0062e-06i,-0.0010442+0.00027265i,-0.00066141+0.0001974i,-0.00031109-0.00039483i,-0.00023395-0.00075231i,-5.1248e-05-0.00041364i,-7.2104e-05+0.00018098i
-0.00020082-8.8942e-05i,-0.0010077+0.00062352i,-0.0011319+0.00086698i,-0.00024824+0.0011519i,-0.00035479+0.0017341i,-0.0009836+0.0014656i,-0.00076334+0.00060915i,0.00025545+0.00028113i,0.00026141-0.00024229i,0.00014965-0.00075236i,0.00045044-0.00048763i,0.00074107-0.00032355i,0.0009157-0.000702i,0.00081477-0.00057023i,2.3833e-05+5.5537e-05i,-0.00081713+0.00065078i,-0.00071265+0.0010213i,-0.00052202+0.00064377i,-0.00045171+5.6104e-05i,-0.00090556+0.00024407i,-0.00057239-0.00012897i,0.00032155-0.00078825i,0.00090738-0.00034688i
0.00044873+0.00027936i,0.00047997-0.00037468i,0.00067984-6.9574e-05i,0.0014921-0.0005796i,0.00094982-0.0012388i,-3.0044e-05-0.0015138i,0.00036733-0.0011258i,0.00029433-0.00022827i,-0.00024253+2.7856e-05i,-0.00084049+0.00033447i,-0.0012496+0.00049431i,-0.00068839+0.00011979i,-0.00019382-0.00029558i,-0.0001624-0.00067826i,0.000177-0.00068039i,0.00074185+0.00035108i,0.00057275+0.00091685i,0.00024629+0.0003172i,3.5252e-05-0.00048069i,0.00014871-0.00024255i,0.0001535-2.4328e-05i,-0.00064355+5.0026e-05i,-0.0011166-0.00014675i
-0.00045096-0.00049616i,-0.00042564-0.0010315i,-0.0014165-0.0013154i,-0.001094-0.0006294i,-0.00083513-0.00021635i,-0.00084281+2.2802e-06i,-0.00039749+0.00098535i,0.00064761+0.00099984i,0.0010411-0.00045548i,0.00030179-0.00085241i,0.00066145+0.00034033i,0.0013337+0.00035413i,0.0008454-0.000183i,9.5499e-05-0.00034766i,0.00014109-0.00015113i,0.00056743-0.00046913i,0.00036952-0.00024552i,0.00032704-0.00024606i,0.00016354-0.00046865i,-0.00057108-0.00020898i,-0.00054397-0.00014413i,0.00015992-0.00013501i,6.5588e-05+0.00011309i
0.0017575+0.0013779i,0.001737+0.00053421i,0.0015702-0.00051787i,0.00085488-0.0010094i,0.00032211+1.1621e-05i,0.00020796+0.00025346i,-0.0004247-0.0001408i,-0.00085107-0.00029001i,-0.0010189+0.0003018i,-0.00053789+0.00045038i,0.00049855+6.2315e-05i,6.6924e-05+1.9042e-05i,-0.00056088+0.00060851i,-0.00010569+0.00046917i,-0.0002023+0.00039487i,-0.00029985+0.00084709i,-3.3659e-05+0.00069684i,0.00010353+0.00017186i,0.00038387-0.00010596i,-4.6726e-05-4.4046e-05i,-0.00020993-0.00026683i,0.00033306-0.00036871i,0.00043822-0.00066226i
1.7979e-05-0.0031136i,-0.0010554-0.0012231i,-0.0026928-0.00057512i,-0.0021562-0.00057017i,-0.00073361-0.00023027i,-0.0008125+0.00081449i,-0.00049547+0.0017708i,0.0002715+0.0016377i,8.3705e-05+0.00062769i,-0.00040103-0.00031207i,-0.00030842-0.00032662i,-3.0139e-05+3.5557e-05i,0.00029504-1.0639e-05i,0.0004473+0.00040451i,-3.2729e-05+0.00071963i,9.3681e-05+0.00058111i,0.0006742+0.00093781i,0.00067382+0.0012505i,0.00071611+0.00080517i,0.00065281+3.2939e-05i,4.726e-05-0.00033333i,-0.00023169-0.00013935i,-0.0003996-8.6299e-05i
-0.00080723-0.0010123i,0.00012568-0.00073272i,0.00016315-0.00018125i,-0.00015406+0.00088186i,-0.00069528+0.00088654i,-0.00053228+0.00015531i,-0.00073239+0.00045604i,-0.00045472+0.00057255i,0.00019646+0.00012733i,0.00051007-0.00024487i,0.00030541+0.00044244i,-0.00023852+0.00045205i,0.00024204+0.0002628i,0.00058432+0.00061835i,0.00012824+0.00051712i,-2.3698e-05+0.00044842i,-0.00019374+1.9458e-05i,-8.0922e-05-0.00029387i,0.00018109-9.8999e-05i,0.00059709-0.00046005i,0.00080081-0.00061391i,-0.00020682-8.5742e-05i,-0.00051655+0.00046778i
-0.0013609-0.00121i,-0.0007248-0.00035547i,-0.0012479-4.8968e-05i,-0.00085652+5.3797e-05i,-0.00038346+0.0010833i,0.0003466+0.0011344i,0.00021331+0.00031862i,-0.00048359+1.4899e-05i,-0.00026225-0.00055853i,0.00064188-0.00070414i,0.00074894-0.00036398i,0.000282-8.4306e-05i,0.00038001-0.00040875i,0.00051916-0.00092242i,-0.00013521+0.00015754i,-0.00041689+0.00054472i,-0.00030765+5.4872e-05i,0.0001924+0.00029087i,0.00046182-5.6426e-05i,0.00041987-3.1593e-05i,0.00017257+0.00023184i,0.00025886+0.00019877i,-0.00018942+0.00018755i
