-0.00247+0.0011034i,-0.00067857+0.00087804i,-0.00031691+0.00014872i,-0.00026678+7.0114e-05i,-0.0014704+0.00083937i,-0.0027871+0.0004125i,-0.0017408+0.0013593i,-0.00030015+0.0024874i,0.00082423+0.002053i,0.001301+0.00073182i,0.0010388-0.00043096i,0.00058159-0.00090704i,-4.5931e-05-0.00044516i,-0.00043224+9.0635e-05i,-0.00081492+0.00032677i,-0.00017221+0.00073228i,0.001063+0.00089481i,0.0011564+0.001046i,0.00096493+0.00088216i,0.0010166+0.00050442i,0.00094483+0.00080562i,0.00076215+0.0010477i,0.00087623+0.001379i
8.5288e-05+0.00046431i,3.723e-05+0.0011912i,0.0010345+0.0014447i,0.00092184-0.00041898i,-0.00084047-0.0017183i,-0.0022392-0.0014269i,-0.0014302-0.00064951i,-0.00059196-0.00029407i,-0.00066043+0.00018672i,-0.00020984-6.0768e-06i,-0.00010173-0.00066915i,-0.00045602-0.00051065i,-0.00023026+0.00013015i,-0.00042892-0.0001634i,-0.00061946-0.00062468i,0.00037219-0.0008744i,0.000777-0.00086573i,-0.00012683-0.00038i,-0.00025807-1.9439e-05i,-3.8947e-06+0.00067462i,-0.00023214+0.00077108i,-0.0001849-7.5182e-05i,-0.00015213-0.0011177i
0.0006729-0.0014723i,-0.00038273-0.002602i,-0.0012721-0.0030571i,-0.0016884-0.0024108i,-0.0030484-0.0013327i,-0.0038798-0.00022982i,-0.0022687+0.00051147i,-0.00042492+0.0016401i,0.00018551+0.0013496i,0.00032409-0.00019239i,0.00033114-0.00049268i,-0.00029445-0.00082969i,-0.00046252-0.0010309i,-9.0347e-05-0.00052785i,0.00031645-0.00060077i,-9.2254e-05-0.00018966i,-0.0008422+0.00053703i,-0.00043169+0.00062153i,-0.00029588+0.00062404i,-0.00058205+0.00017211i,-0.00050412+0.00017117i,0.00020708+0.00059982i,0.00015595+0.0008777i
0.00018124+0.00026137i,0.00095731+0.00036569i,0.00053783+0.0011342i,-0.00036773+0.0012475i,-0.0011715+0.00064193i,-0.0014281-0.00046532i,-0.0011669-0.00072044i,-0.00028544-0.00041159i,0.00021325+1.717e-05i,0.00066079+0.00020425i,0.00068155-0.00051573i,0.00015352-0.00089843i,3.4371e-05-0.0011984i,-0.00017008-0.00083865i,-0.00032748-0.0001662i,-0.0004142-0.00029302i,-0.00072386+1.6232e-05i,-0.00033245+7.4899e-05i,0.00066671+0.00031452i,0.00062048+0.00058956i,8.0481e-06+0.00058826i,0.00012861+0.00065554i,0.00015345+0.00044926i
0.00058783-0.0010846i,0.0012057-0.0024234i,0.00059439-0.0027835i,-0.0010162-0.0014987i,-0.0017285-0.00052526i,-0.0019049-0.00087278i,-0.00094752-0.00025322i,-0.00014089+0.00025063i,0.00014037+5.2405e-05i,0.00087348+9.68e-05i,0.00058077+0.00021966i,0.00016298-0.00023066i,0.00087368-0.0005023i,0.0012597+8.4142e-05i,0.00059438+0.00019462i,0.00022857+0.00030658i,0.00071885+0.00030641i,0.0012948-0.00093632i,0.001448-0.0014063i,0.00084918-0.00094428i,-0.00012804-0.00056203i,-0.00023501-0.00080825i,-0.00040941-0.00080448i
5.4459e-06+0.0012535i,0.0015654+0.001547i,0.0017718+0.0019852i,0.0010851+0.00099658i,-4.5749e-05-0.00024604i,-0.0017267-0.00081308i,-0.0019897-0.00039344i,-0.0012307+0.00072672i,-0.00013305+0.00037052i,0.00040918-0.00028062i,0.00013863-0.00035095i,-0.00054644-0.00054272i,-0.00086085-1.9478e-05i,-0.00047169+0.00014514i,-0.00041216-0.0010548i,-0.00026687-0.0012418i,9.4044e-05-0.00043253i,-1.4909e-05+8.0853e-05i,6.0975e-05+0.00047134i,2.9676e-05+0.00031971i,-0.00033511-0.00037599i,-0.00013695-0.00038142i,6.1054e-05+2.0115e-05i
-0.00082609+0.00066592i,-0.00079853+0.00063041i,-0.00046423-0.00052828i,-0.00092554-0.0012564i,-0.0017019-0.00079945i,-0.0015305-0.0004307i,-0.00056336-9.9481e-05i,0.00031758+0.00031471i,0.00068428+0.00062327i,0.00087223+0.00063307i,0.0011262+0.00017938i,0.00060124-0.00021214i,0.00030146+0.00028872i,0.00037351+0.00087707i,-0.0004765-0.00047874i,-0.00034201-0.0011637i,0.00028493-0.001008i,0.00045783-0.0012143i,0.00089056-0.00051371i,0.0012463-0.00043168i,0.0010889-0.00082334i,0.00050356-0.00040517i,3.9245e-05+4.8978e-05i
0.00054796-0.0025881i,-0.00077979-0.0021372i,-0.0019773-0.0023168i,-0.0030231-0.0018541i,-0.0040848-0.00097158i,-0.0040856+4.2006e-05i,-0.0021963+0.00040858i,-0.00026132+0.00051605i,0.00047601+0.00044339i,0.00019846+7.1931e-05i,0.00035852+2.1432e-05i,0.00040497-0.00041375i,0.0006586-0.0005322i,0.0010656+0.00058373i,0.0012734+0.0011339i,0.00101+2.3461e-05i,0.00061184-6.3216e-05i,0.00068519+0.00055309i,0.00019764+0.00030462i,-0.00037335-4.6126e-05i,-0.00042592-0.00051033i,-3.1873e-05-0.0012954i,3.5613e-05-0.00088036i
-8.2767e-05-0.0010118i,-0.0002888-0.00099332i,-0.00024246-0.0011861i,-0.00072085-0.001633i,-0.0020424-0.0019003i,-0.0035719-0.00079671i,-0.0036348+0.00034647i,-0.0024332+0.00036052i,-0.00038344+0.0007449i,0.00091653+0.00084805i,9.4843e-05+4.7252e-05i,-0.00019105+1.0427e-05i,0.00019665+0.00072305i,-0.0002497+0.00038035i,-0.00020451-8.979e-05i,0.00056119-0.00067185i,0.00084248-0.0008658i,0.00084155-0.00034374i,-5.6077e-05-0.00027446i,-0.00034048-0.00010311i,-7.0818e-05-0.00012419i,-0.00037949-8.7313e-05i,-0.00040635-0.00019443i
0.00071446-0.00024667i,0.0013717-6.8584e-05i,0.00075813+1.4518e-05i,-0.00041954-0.00077967i,-0.001732-0.002392i,-0.0029057-0.0024574i,-0.0018962-0.0003502i,-0.00053604+5.4394e-05i,0.00035211-0.00029769i,0.00065602+0.00034546i,0.00069711+0.00068662i,-9.4602e-05+0.00061028i,-0.00085825+0.00068846i,-0.00026449+0.00072723i,0.00061117+0.00024671i,0.00097539-0.00040461i,0.00073603-0.00040192i,0.0004054-0.00031636i,0.00022231-0.00039121i,2.8287e-05-0.00081414i,-0.00045173-0.00027629i,-0.00088349+0.00067238i,-0.00017216+0.00052886i
0.00089635-0.0012608i,0.0012877-0.0019741i,9.8051e-05-0.0033865i,-0.00038611-0.0030411i,-0.00069202-0.0011858i,-0.0015149+0.00037668i,-0.0011606+0.0014283i,-4.8867e-05+0.00068575i,0.00038853-0.00013036i,0.00089416+4.874e-05i,0.0011148-0.00013122i,0.00020927-6.3005e-05i,0.00019167+0.0008094i,0.00076744+0.00090735i,0.00055519+1.0904e-05i,0.00046605-0.0004485i,0.00051633-0.00035615i,0.00017394-9.4931e-06i,-0.00044032+0.0005855i,-0.00065516+0.00054714i,-0.00038806-0.00029889i,-0.00075516+0.00014749i,-0.0012447+0.00068473i
0.00076029+0.0014512i,0.00029158+0.0015084i,0.00061763+0.00080104i,0.00059275-0.0016491i,-0.00014694-0.0035364i,-0.0010134-0.002936i,-0.0014801-0.0010391i,-0.0011485-0.00051078i,-0.00073315-0.00068063i,-0.00041191-0.00027819i,-6.6311e-05-0.00036732i,-0.00033595-9.2923e-05i,-0.0010795+0.00031998i,-0.00055909+0.0010082i,2.7276e-05+0.00065607i,0.00065333+1.5723e-05i,0.0008192+0.00059355i,0.00058155+0.00018722i,0.00058702-0.00038491i,-0.00011449+1.4363e-05i,0.00015688+0.00025212i,0.00063243+0.00030604i,0.00045762+0.00026283i
-0.0017151-0.0017566i,-0.00095099-0.0012845i,-0.00070003-0.00041993i,-0.0022253-0.0011306i,-0.0036501-0.0018318i,-0.003475-0.00042629i,-0.0019091+0.00040527i,8.5977e-05-4.2676e-05i,0.00067481-0.00050975i,8.7593e-05-0.00017956i,-0.0002729-5.3017e-05i,2.0486e-05-6.937e-05i,0.00083292-0.00043966i,0.0011488-0.00068428i,0.00044868-0.0004711i,0.00069978-0.00042564i,0.0011082-0.00078871i,0.0010587-6.801e-05i,0.00095854+0.00031152i,0.00056835-0.00042392i,0.00020776-0.00034294i,0.00021013+0.00013395i,0.00032741+0.00038315i
-0.00062529-0.0012213i,-0.0018441-0.00028419i,-0.0017527+0.00090674i,-0.0012887+0.00010651i,-0.0015743-0.0005742i,-0.0015684-5.2086e-05i,-0.00093157+0.00052873i,0.00022195+0.00050106i,0.00028737-8.3831e-05i,5.9912e-05-0.00011261i,1.406e-05-0.00013895i,-0.00010734-3.2795e-05i,-0.00011096+8.4792e-05i,-2.3251e-05+0.00021499i,-0.0004514-0.00053034i,-0.00031274-0.00081667i,0.00024527-0.00036281i,-0.00025987-7.554e-05i,-0.00032471+0.0003739i,-0.00036324+0.00041624i,-0.00052562+5.7908e-05i,-0.00069996+0.00019056i,-0.00056931+0.00060635i
0.0028696-0.0012619i,0.0027797-0.0012213i,0.002372-0.0017134i,0.0013996-0.002845i,-0.00011355-0.0035085i,-0.0020569-0.0018436i,-0.0019436+0.00087122i,-0.00067514+0.0020099i,0.00045299+0.00086025i,0.0011759-0.00020955i,0.00072098-0.00025262i,-0.00020925-0.0004347i,-0.0008927-0.00041821i,-0.00021731+0.00026101i,0.00102+0.00044854i,0.0013755+0.00030555i,0.00072054+7.5229e-05i,0.0002298-0.00065907i,0.00034365-0.00098866i,0.00089295-0.00087242i,0.00080506-9.0727e-05i,9.6983e-05+0.00068964i,0.00039075+0.00049014i
0.00048266+0.0018764i,0.0013883+0.0016529i,0.00070065+0.00064075i,-0.00035584-0.0011911i,-0.00065517-0.0025959i,-0.00060012-0.0026283i,-0.0012064-0.0012678i,-0.00092799-0.00079084i,-0.00028099-0.00091657i,0.00047639-0.00047137i,0.0012325-9.4071e-05i,0.00080707-0.00013506i,0.00032211-0.00034804i,0.0002272-1.68e-06i,-0.00063375-0.00013765i,-0.00094313-0.0007578i,-0.00026391-0.00034261i,0.00064274-0.00036837i,0.0008516-0.00059322i,0.00039375-6.7514e-05i,0.00011756+3.6889e-05i,-2.8092e-05-0.0005194i,-0.00015128-0.00048681i
0.0023306+0.00014003i,0.001262-0.00058056i,0.00038977-0.0022785i,-0.00061304-0.0033036i,-0.0017978-0.0031058i,-0.0032771-0.0011823i,-0.0019331+0.00013772i,0.00029345+0.00082236i,4.4561e-05+0.00028514i,0.00013257-0.0010109i,0.00078572-0.00031736i,0.00014542+1.611e-05i,-0.00037475-0.00013679i,6.4227e-05-0.00023214i,0.00043934-0.00033021i,-6.6603e-06-5.2321e-05i,-0.00018235+0.00029272i,-0.00014979+0.00054222i,-0.00016646+0.00030697i,-0.00036191+0.00038574i,-0.00051112+0.00025956i,-0.00019571+0.00020183i,-0.00057863+0.00045511i
6.2826e-05-4.6999e-05i,2.5826e-05-7.6938e-05i,0.0001455-0.00042571i,-0.00059073-0.00095761i,-0.0013251-0.00064993i,-0.0015113+0.00099414i,-0.0016033+0.00065129i,-0.00065921-0.00058005i,2.9429e-05-0.00035449i,0.0001475-0.00011257i,0.00078068-0.00010335i,0.00098394+2.5293e-05i,0.00024252+0.00054943i,-0.00013213+0.00027353i,-0.00023385-0.00024102i,-0.00038757+2.6142e-05i,-0.00020215-0.00049817i,7.3931e-05-0.00027211i,9.9653e-05+5.9591e-05i,0.0001356-0.00070619i,8.7377e-05-0.00032828i,-0.00011391+0.00017908i,-3.7265e-05+0.00014159i
-0.00092749+0.00022184i,-0.00036013+0.00064062i,-0.00060349+0.00085444i,-0.00071418-0.00027058i,-0.00027351-0.0018543i,-0.0011622-0.0019311i,-0.0013939-0.00070522i,-0.00084224-0.000811i,-0.00034108-0.00092068i,-3.313e-05-0.0001285i,-0.00010783-2.631e-05i,3.0036e-06+4.7286e-05i,-0.00047471+0.00069339i,-0.00029093+0.00019277i,-0.00014086-0.00051326i,-0.00036574-0.0005379i,0.00024565-0.0006606i,0.00093961-0.00077434i,0.00058271-0.00052493i,-4.8721e-05-0.0001125i,-6.1136e-06+0.0011143i,0.00050218+0.0018545i,0.00018716+0.00030419i
0.00016847-0.001031i,0.0011068-0.001968i,0.0012009-0.0024778i,-5.9216e-05-0.0027266i,-0.0017433-0.0021232i,-0.0020042-0.0008862i,-0.0015817+5.6477e-05i,-0.0010154+0.00052024i,0.00022707+0.00089895i,0.00017477+0.00064574i,-0.00053862+0.00026595i,-0.00026536+0.0004379i,0.00033362+0.00050711i,0.00062873+0.00029863i,0.00061935-0.00048808i,0.0005901-0.00063882i,0.00098665-5.7526e-05i,0.00060664+8.7802e-05i,-0.00014144-0.00011206i,-0.00071479-0.0004081i,-0.00026679-0.00062437i,0.00017928-0.00016724i,-1.355e-07-3.369e-05i
0.002902-0.00028125i,0.0017592-0.00086042i,0.00098515-0.0014991i,6.9228e-05-0.0019954i,-0.0011431-0.0028033i,-0.0017135-0.0020851i,-0.00059961-0.0002319i,0.00014548+0.0010776i,0.00041421+0.00070698i,0.00061404+0.00017532i,0.00062803-3.3898e-05i,0.00038637-9.9785e-05i,0.00011786-0.00042689i,0.00046138-0.00020128i,0.00030922-0.00016735i,1.013e-05-0.00090321i,-0.00036472-0.0011288i,-0.00048079-0.00040773i,-0.00024145+0.00016627i,-0.00051681+0.00027356i,-0.0003263+0.00080206i,5.6917e-05+0.00069304i,-1.6653e-05+0.000471i
-0.0012556+0.0012325i,-0.0015008+0.0023496i,-0.0019841+0.0023833i,-0.0017024+0.0016287i,-0.00055893+0.00082966i,-0.00077008+0.00043985i,-0.0012428+0.00025441i,-0.00092598+0.00036362i,-0.00076238-0.00037116i,-0.00018753-0.00068428i,0.00075915+0.00019997i,0.00047739+0.00015939i,-0.00047435+0.00039925i,-0.00046382-0.0001299i,-0.00013408-0.0012219i,0.00016585-0.0010692i,0.0002007-0.00051988i,0.00021443-0.00048051i,0.00035858-0.00031418i,0.00050359+0.0007713i,0.00011476+0.001237i,-0.00055155+5.5973e-05i,-0.00061693-0.00088313i
-0.00065958+0.00095834i,-0.00017698+0.00076017i,0.00016176+0.0011462i,0.00019617-2.073e-05i,-0.0002981-0.0010388i,-0.0015526-0.00070812i,-0.0017516-0.00025589i,-0.0006152+0.00043838i,1.8316e-05+0.00046955i,-0.00027616-0.00045648i,-7.5648e-05-0.00063813i,-0.00019584-0.00065031i,-0.00036639-0.00063699i,-3.0961e-05-0.00024766i,-0.00012279-2.4385e-05i,-0.00022636+3.0798e-05i,-0.00032903-0.00020892i,5.8601e-05-0.00039023i,0.00050928-0.00059882i,0.00018161-0.00069261i,-5.9208e-05-0.00068027i,0.000149-0.00035632i,0.00051393-0.00078264i
0.00010101+0.0021973i,0.00014479+0.0028051i,0.00074187+0.0016163i,0.00060762-0.00040186i,0.00012225-0.0016836i,-0.00081756-0.0017709i,-0.0011654-0.00076906i,-0.00069803-0.0005726i,0.00028126-0.00050031i,0.00093313+5.4927e-05i,0.00088815-3.9336e-05i,0.00089149-0.00094907i,0.00035717-0.0010699i,-0.0001103-0.00029312i,0.000363+0.00054608i,0.00033076+0.00042449i,9.2984e-06-4.9773e-05i,0.00015652-6.5329e-05i,-0.00031472-0.00044532i,-0.00061591-0.00056883i,-0.00034764-0.0001532i,-0.0003904-0.00032317i,-0.000373-0.00028627i
0.0012496+0.00039214i,0.0015792+7.7177e-06i,0.0021959-0.00071291i,0.0016072-0.0017926i,-0.0010073-0.0020966i,-0.003078-0.0014375i,-0.0022595-0.00080621i,-0.00068212+9.3026e-05i,0.00015099-3.5094e-05i,0.00047818-0.00067935i,-6.5291e-05-0.00073767i,-0.00080532-0.0004642i,-0.00044476-0.00040427i,0.00047897+0.00020492i,0.00081048+0.00014151i,0.00041768-0.00025801i,0.00041712+0.00029646i,0.00067716+7.7141e-05i,0.0008803-0.00074793i,0.00028803-0.001155i,-0.00010517-3.1939e-05i,0.00068327+0.0014583i,0.0012741+0.0016063i
-0.00089532+0.00018385i,-0.00012047+0.00015462i,-0.00027484-0.00062606i,-0.00096841-0.0005365i,-0.0016056+0.00012928i,-0.0018652-0.00011271i,-0.0016988-0.0007409i,-0.00027515-0.00067332i,0.00036975-0.00043617i,-4.3827e-05-6.1255e-06i,0.00071817+0.00034178i,0.00093812+0.00018482i,0.00067942-0.00074269i,0.00091602-0.00074393i,3.5479e-05+0.0010365i,-0.00072653+0.00098862i,-0.00012811+9.3918e-05i,-0.00013804+2.7874e-05i,-0.00022267-9.6737e-05i,9.8943e-06-0.00011155i,6.9431e-05+0.0005486i,-0.00031333+7.8962e-05i,-0.00066993-0.00023707i
-0.00035075+0.0019776i,-0.00038066+0.0021552i,0.00092751+0.0016519i,0.0013949-0.00020189i,0.00021975-0.0015765i,-0.001807-0.00050043i,-0.0019844+0.00068053i,-0.00020562+0.00014324i,0.00078603-8.6695e-05i,0.00074732+0.00035113i,0.00024117+0.00098707i,0.00043777+0.0009267i,0.0003381-0.00025176i,0.00014593-0.00025209i,0.00039174+0.0005487i,0.00024898-0.00013156i,0.00041677-0.00068437i,0.00021257-0.00059881i,8.1914e-05-0.00050341i,0.00045322-0.0003773i,0.00020626-1.1209e-05i,-0.00010471+0.00083289i,0.00016114+0.00060002i
-0.00032911-0.0002176i,-0.0001337+3.3348e-05i,-0.0012954+0.00050484i,-0.0017065-0.0003174i,-0.0013095-0.0006324i,-0.00064975+0.00018083i,9.8244e-05+0.00041318i,0.00025246-0.00037387i,-0.0003035-0.00097172i,-0.00031739-0.00089277i,2.1464e-05-0.0011219i,0.00014592-0.00099203i,1.6019e-05-0.00040356i,0.00055051-0.00034854i,0.00062945-0.00046911i,-8.2009e-05-0.00058842i,-0.00017909-0.00071958i,-0.00026816-0.00018788i,0.00014553-1.6285e-05i,0.00024614-4.6063e-05i,-0.00035754+0.0001127i,-0.00017275-0.00058456i,0.0002623-0.00084683i
-0.00024265+0.00037279i,-0.00046952+0.0012457i,-0.00038343+0.00060294i,-0.00095583-0.00046731i,-0.002019-0.00088054i,-0.00165-0.0013699i,-0.0017203-0.00095151i,-0.0011325+0.00031531i,-0.00027704+0.00070419i,-0.00012741+0.0002995i,0.00041939-7.7715e-05i,0.0007073-0.00085111i,0.0006071-0.0012997i,0.00043717-0.00060452i,7.2309e-05-0.00012809i,0.00018028-0.00045469i,0.00088536-0.00038252i,0.0013269+0.0002329i,0.0008237+0.0003358i,-0.00026123-0.00015612i,-0.00090122+0.0002088i,-0.00034898+0.00026452i,0.00074104-0.0004392i
