-0.0011227+2.6609e-05i,-0.0016444-0.00018763i,-0.0011937-0.00013324i,-0.00081551+0.00021394i,-0.00097117+0.0003522i,-0.0016396-0.00088221i,-0.001989-0.0014897i,-0.0013335-0.00053758i,-0.0010437-6.7661e-05i,-0.00063695-0.0002119i,0.00014667+0.00028334i,0.000863+0.00033788i,0.00095398+0.00027128i,0.0005519+0.00013938i,0.00066127+0.00022914i,0.0003926+0.00024917i,0.00062452+0.00026499i,0.00072892+0.00011803i,-0.00037312+0.00049986i,-0.0016408+0.00069389i,-0.001567-0.00037265i,-0.00056337-1.7204e-05i,-0.00015208+0.0010888i
-0.00013043+0.0012428i,-0.0010274+0.0008723i,-0.0010784+0.00027197i,-0.00055451+0.0010874i,-0.00068606+0.0010449i,-0.00022155+0.00055022i,-0.00038316-0.00013873i,-0.00081898-0.00045835i,-0.001015-0.00041465i,-0.0010842-0.00021005i,-0.0004051+0.00026094i,0.00013152+0.00041487i,-0.00019512+0.00024332i,-4.9745e-05-0.00023579i,0.00099253+0.00039128i,0.00089146+0.0013048i,0.00032504+0.00081347i,-3.484e-05+0.00050932i,-0.00071023+0.00056109i,-0.0006433+0.00014368i,8.7904e-05+0.00018911i,0.0010634+9.9307e-05i,0.00084981+8.7489e-05i
-0.0021643+0.00070749i,-0.0012533+0.0015014i,-0.00012705+0.0011546i,0.00081711+0.00080239i,5.4701e-05-0.00041059i,-0.00095137-0.0010007i,-0.0011364-0.00080373i,-0.00075693+0.00022809i,-0.00039298+0.0011721i,-2.6927e-05+0.00035952i,0.0003905-0.00029642i,0.00063187+0.00055806i,0.00058417+0.00068784i,0.00086347+2.0856e-05i,0.00057679+0.00026321i,-0.00039743-1.265e-05i,-0.00043708+5.5608e-05i,-0.00020224+0.00061287i,-0.00043903+0.00041915i,-0.00021696-0.00043481i,-0.00022819-0.00099683i,-0.0004493-0.00033954i,-6.6072e-06+0.00030069i
-0.00055846-0.00097089i,-0.00093679+0.00040863i,-0.00061752+0.00081228i,-3.542e-05+0.00019674i,-0.00012296-0.00060234i,-0.00057424-0.00065992i,-0.0012073-0.00079905i,-0.0011416-0.00061857i,-0.00029063+0.0001772i,0.000226+0.0005337i,0.00021491+0.00039158i,-2.7042e-05-0.00025703i,8.7785e-06-0.00052032i,0.00042599+0.00020609i,0.00045472+0.00083589i,-0.00012023+0.00028936i,-0.00049642-0.00017038i,-0.00028839-0.00016934i,-0.00014742-0.0001486i,0.00011634-0.00050101i,0.00080196-0.00091376i,0.00089626-0.00042487i,0.00026409+0.00016405i
-8.6929e-05-0.0010913i,-0.00053925-0.00062286i,-0.00098685-0.00057027i,-0.00099026-0.0001766i,-0.0011762+0.00067303i,-0.0017571+0.00054956i,-0.0015136+0.00013503i,-0.00067302+0.00025394i,-0.00014732+0.000265i,0.00026468-8.4451e-05i,0.00027291-0.00040249i,-0.00023687-0.00078807i,-7.8042e-06-0.0010047i,0.001132-0.00082932i,0.0013738-0.00036053i,0.00040833-0.00039999i,0.00016084-0.00072425i,-0.00024551-0.00093003i,-0.00026929-0.00083688i,0.00069995-0.00072154i,0.0007541-0.00075424i,0.00041933-0.00061752i,0.00037102-3.4578e-05i
-0.0013319-0.00089974i,-0.0013864-0.00033916i,-0.0013279+0.00086501i,-0.0013395+0.00046072i,-0.00074025-0.00020099i,8.5637e-05-0.00036966i,-0.000358-0.00039677i,-0.00072456-0.00037118i,-8.4277e-05-1.6779e-05i,-8.0078e-05+0.00048291i,-0.00018105-2.9865e-05i,0.00041951-0.00074672i,0.00046978+0.00016394i,-0.0005461+0.0017806i,-0.00056277+0.0014633i,-0.00026158+0.00027605i,-0.00028654+8.5464e-05i,0.00063591+8.2983e-05i,0.00034635+0.00054021i,-0.00044724+0.00015751i,-0.00023934-0.00068477i,0.00014336-0.00041096i,9.6984e-05+0.00027i
-0.00099931+0.001754i,-0.00057924+0.0021146i,0.00012061+0.0017839i,0.00065161+0.0011375i,-0.00024217+0.00059139i,-0.0011487-0.00041699i,-0.00175-0.00037601i,-0.0020547+0.00024522i,-0.0010906+0.0005825i,5.4668e-05+0.00019116i,8.2224e-05+1.5863e-05i,5.5683e-05-0.00032507i,-0.00022565-0.00065802i,-0.00057089-0.00023783i,-0.00015918+0.00081993i,-0.00014388+0.00094779i,0.00012275+0.00047714i,0.00024451+0.00083094i,-0.00013242+0.0012759i,0.00028827+0.00073242i,0.0012192+0.00053275i,0.00086616+0.00091026i,0.00025504+0.00056151i
-0.0014335-0.00025648i,-0.0023271+0.00011848i,-0.0018827-0.00019139i,-0.0012462-0.00050295i,-0.0012557+7.3056e-05i,-0.0015554+0.00036834i,-0.0012812-2.5893e-05i,-0.0004682-6.2455e-05i,4.5656e-05+0.00025608i,0.00027253+0.0011579i,0.00033284+0.0020825i,0.00033812+0.0013546i,0.00017595+0.001121i,0.00012405+0.0014495i,-8.6351e-05+0.00092053i,0.00066035+1.0894e-05i,0.00054046-0.00071198i,3.1961e-05+2.1215e-05i,0.00034558+0.00084616i,0.00083244+0.00056697i,0.00040772-0.00050377i,-3.5195e-05-0.00075954i,0.00047727+0.00011683i
-0.00027906+0.00081529i,-0.00021266+0.0017588i,0.00073603+0.0014102i,0.001022+0.00034633i,-0.001145-0.00026i,-0.0030673-0.0011692i,-0.0027328-0.0012814i,-0.0019474-1.0732e-05i,-0.00095717+0.00046939i,9.9232e-05+0.00025594i,0.00034341+0.00052085i,0.00059043+0.00021658i,0.00078845-0.00038955i,-0.00011416-0.00017677i,-0.0015891-0.00023248i,-0.0012599-0.00072034i,-0.00070369+8.4252e-05i,-0.00089212+0.00064862i,-0.00035952+0.00023381i,-0.00031123+2.7899e-05i,-0.00018716+0.00019772i,0.00033789+0.00040626i,0.00021418+0.00014292i
-0.0008283+0.00096433i,-0.0006831+0.00090305i,-0.00057807+0.0015203i,-0.0007334+0.0013543i,-0.00034627-0.00048753i,-0.00030662-0.0011422i,-0.00105-0.00079292i,-0.00076248-0.0010061i,0.00050349-0.0013835i,0.00028693-0.0011425i,-0.00033393-0.00061133i,-0.00039378-0.00014397i,-0.00019645+7.2732e-05i,0.0005568-5.859e-05i,0.00041544-0.00059493i,0.00020059-0.0013708i,0.00014831-0.0011699i,-0.00044362-0.00033504i,-0.00059151-1.0263e-05i,-0.00075506-0.00019542i,-0.0009346-0.00054675i,-0.00069577-0.00081369i,-0.000382-0.00071513i
