-0.0015946+0.00019072i,-0.0013831-0.00031695i,-0.0015329-5.6502e-06i,-0.0010742+0.00043481i,-0.0012895+0.00047806i,-0.0013663-0.00011687i,-0.00034634-0.00081863i,-2.8687e-05-0.00010526i,0.000484+0.0013189i,0.00090875+0.0016937i,3.15e-05+0.00093688i,-0.00029062+8.9372e-05i,-7.9189e-05-0.00030881i,-0.00031454-0.00065245i,-0.00074902-0.00058909i,-0.0013855+0.00011256i,-0.0012973+0.00016628i,-0.00072215-0.00017671i,-0.00016591+0.00011203i,0.00026131+0.00025615i,0.00016291+0.0004117i,8.3092e-05+0.00051096i,0.00012059+0.0002573i
0.0018133+0.0012324i,0.00092119-0.00041726i,0.00043493-0.0014848i,0.00064507-0.0010792i,0.00092713-0.00097275i,0.00049581-0.0015467i,-0.0001954-0.0011434i,-0.00027625-0.00041322i,9.2724e-05-0.00010863i,0.00020098+0.00024844i,-3.2586e-05+4.5203e-05i,-8.6802e-06-0.0004966i,-0.00013461-0.0006494i,-7.8635e-06-0.00043186i,0.00044124-0.00026492i,0.00032401-0.00016365i,-0.00031712-0.00012603i,-0.0008524+2.5095e-05i,-0.00062759+0.00023123i,0.00013986+0.00057862i,0.00086864+0.00018068i,0.0014963-0.00033159i,0.00065009-0.00026398i
-0.0017538+0.00089541i,-0.00083425+0.0017844i,-1.9938e-05+0.0015648i,0.00058729+0.00082041i,0.00060203+0.00062495i,0.00014645+0.00082434i,-0.00040792+0.00027125i,-0.00066855+0.00017035i,-0.00056937-0.00035867i,-0.00035735-0.00012734i,0.00023929+0.00074122i,0.00047244+0.00044033i,0.00042118+0.00041194i,0.00033722+0.00014812i,-0.00014891-0.00064229i,-0.0003047-0.00034791i,7.2395e-05+0.00033161i,9.035e-05-0.00028296i,-0.00076132-0.0013336i,-0.00092209-0.0010475i,8.8787e-05-0.00035651i,0.00024229+0.0002714i,0.00019446+0.00038127i
0.00065816-0.00094453i,-0.0010141-0.00016283i,-0.001518-0.00052785i,-0.00024276-0.00032595i,-0.00049669-0.00014774i,-0.00049666-0.00091482i,0.00031352-0.0011785i,0.00052048-0.00065578i,0.00067821-0.00079949i,0.00022424-0.00078205i,-0.00025823-0.00042459i,9.3317e-05-0.00021431i,0.00035563+0.00024538i,0.00023723+0.00056581i,-0.0002489+0.00024812i,-0.00073513-0.0004832i,-0.00050441-0.00090087i,-0.00023062-0.0001218i,-0.00096244+0.00048401i,-0.00092237+0.00038486i,0.00060374-0.00010677i,0.0011748-0.00060368i,0.000636-0.00059671i
0.00022838+0.0013695i,-8.1757e-05+0.0012941i,-0.0009743+0.0005782i,-0.00030068-4.6673e-05i,0.00087798-0.00030533i,0.00056816-0.00046433i,0.00051076-0.00030892i,0.00064946-0.00021352i,0.00075761+0.00041976i,0.00066456+0.00074232i,-0.00014038+0.00058182i,0.00020472-0.00046758i,0.00071403-0.0014966i,0.00032115-0.0009587i,-0.00044174-0.00045533i,-0.00070399-7.8654e-05i,-0.00069934+7.143e-05i,-0.00051241-0.00055204i,3.1008e-05-0.0012344i,0.00024811-0.00063018i,0.00092111+0.00011981i,0.0011031+0.00038349i,0.0011279+0.00022666i
-0.0017097+0.00016572i,-0.0015328+0.00061983i,-0.0012079+0.00082797i,9.0118e-05+0.0013691i,0.00065772+0.0016596i,0.00059909+1.7599e-06i,9.2736e-05-0.0010875i,-5.7239e-05-0.00059846i,4.7588e-05-7.0312e-05i,-0.00033827-0.00023969i,-9.2528e-05-0.00026295i,0.00061227-0.00058666i,0.00034061-0.00035692i,0.00055825+0.00015156i,0.00138-0.00039097i,0.00088724-0.00058235i,-8.8724e-05-0.00044595i,-0.00065495-0.00055322i,-0.00017243-0.00028964i,0.00076617-0.00022335i,0.00065816-0.00081841i,0.00039971-0.0004643i,9.6923e-05+4.7272e-05i
-0.001431-0.0022487i,-0.001367-0.003114i,-0.0021215-0.0031046i,-0.002554-0.00085122i,-0.0015871+0.00097651i,-0.00084921+0.0015051i,-0.0013945+0.0013688i,-0.0011306+0.00072089i,-0.00046507+0.00040901i,-0.00038118+0.0002168i,-0.00011056-5.6456e-05i,0.00031281+0.00038525i,0.00023413+0.00087961i,0.00047002+0.00018709i,0.00069584-0.00070333i,0.00071502-0.00039195i,0.00050285-0.00010611i,0.00024506+6.2073e-05i,-0.00030797-1.2267e-05i,-0.0010209-0.00032469i,-0.00041082-0.00079466i,0.0011364-0.00061181i,0.00096182+7.2986e-05i
-0.00026288+0.0015477i,0.00087661+0.0025299i,0.00065785+0.002873i,-9.803e-05+0.002047i,0.00048453+0.00045296i,5.2493e-05+5.6537e-05i,-0.00035559-0.00043129i,0.00010571-0.0010037i,-7.1651e-06-0.00039356i,0.00019569+0.00025896i,0.00014007-0.0001927i,3.3535e-05-0.00045763i,2.8676e-05-0.0011047i,0.00046611-0.0012841i,0.00068202-0.00074583i,-0.00042482-0.00066722i,-0.001119-0.00055942i,-0.0012426-0.00068126i,-0.00048079-0.00015152i,-0.00012238+6.577e-05i,-0.00038281-0.00030584i,0.00039148+0.00018948i,0.0006196+0.00052739i
7.2449e-05-0.00033629i,-0.00056343+0.00025655i,0.00058471+2.9863e-05i,0.00096612-0.00080372i,6.5207e-05-0.0014555i,-0.00039003-0.00090362i,-0.00033474-0.00031018i,0.0001851-0.00078758i,0.00084761-0.00018512i,0.00060741+0.00083566i,0.00012312+0.00026066i,7.3544e-05+0.0003659i,2.41e-06+0.00020602i,-0.00039679+1.3777e-05i,-0.00090845+0.0004372i,-0.00069345+0.00034441i,-0.00095054-0.00045808i,-0.00097309-0.00078579i,-0.00027896+0.0002285i,-3.4756e-05+0.0008363i,-0.00031123-8.2034e-05i,-0.00010278-0.00093234i,0.00036811-0.00062925i
0.0011064+6.3076e-05i,0.0015762-0.00023708i,0.0021253-0.0014182i,0.0017877-0.0020507i,0.0010123-0.0019843i,0.00026038-0.00185i,0.00029988-0.0010561i,0.00038985+9.6371e-05i,0.00018982+0.00067294i,-1.3825e-05+0.0008041i,-0.0002624+0.00061585i,-0.00078137-7.5831e-05i,-0.00038599-0.00075213i,0.00050539-0.00021663i,0.00092727+0.00024836i,0.00087859+0.00029758i,0.00028371-0.00041727i,0.00013011-0.0012038i,-0.00023519-0.0010305i,-0.00062856-0.00046145i,-0.00027419+0.00019275i,-0.00024407-9.8838e-05i,-0.00040239-0.00088301i
