-0.00038582+0.00057854i,0.0012097-0.0004227i,0.00026399-0.0012995i,-0.00078061-0.00072894i,-0.0011097+0.0013028i,-0.0010804+0.0029474i,-0.001152+0.0031419i,-0.00051154+0.0022387i,0.00068948+0.0015551i,0.0019089+0.0012311i,0.0021145+0.0006532i,0.0011212+0.00040221i,1.7925e-05+0.00056688i,-0.00048189+0.00047445i,-0.00050735+0.00020892i,-0.0003838-0.00023743i,6.6221e-05-0.00014664i,0.00045046-0.00013144i,0.00044173-0.00071648i,0.00025602-0.00065258i,0.00051182-0.00040516i,0.00036076-0.00012739i,-8.8296e-06+6.6474e-05i
-0.0016624+0.0025342i,-0.00046573+0.0017665i,0.00034223+0.00063128i,0.00045439+0.00098193i,0.00030017+0.0016591i,-0.0001614+0.0014136i,-0.000661+0.0011783i,-0.00067029+0.0012956i,-0.0003241+0.0011561i,-5.4829e-05+0.00077283i,-0.00027928-8.627e-05i,-0.00036028-0.00086069i,-0.00045651-0.00071485i,-0.00015202-0.00024085i,-7.6352e-05+0.00056862i,-0.0005064+5.9206e-05i,-0.00055038-3.3335e-05i,-6.5952e-05+0.00030354i,0.00043002-8.69e-05i,0.000323-0.00019771i,-0.00047515-0.00050095i,-0.00086967-0.00041729i,-0.00059761+4.1846e-05i
0.00096137+0.0013458i,7.9848e-05+0.0017332i,-2.8282e-06+0.0010591i,5.8727e-05+0.0011309i,-0.00063803+0.0022662i,-0.00065087+0.0032817i,2.353e-05+0.0026392i,0.00052988+0.0015982i,0.0007887+0.00056099i,0.00059736+0.00025302i,0.00011137-0.00040736i,-0.00065582-0.0013227i,-0.00072942-0.0010558i,0.00046089+0.00041379i,0.00085681+0.00065118i,0.00037873-7.4105e-05i,0.00017972-0.0001035i,-0.00038896-0.0008022i,-0.00068376-0.00042273i,-0.00034437+0.00031944i,0.00011068+0.00023643i,0.00056134+0.00045187i,0.00072675+0.00025293i
0.00026874+0.0011173i,0.00066942+0.00085483i,-0.00023215+0.00088365i,-0.0011009+0.001359i,-0.00071654+0.0018637i,-0.00012483+0.0017851i,0.00014629+0.0019128i,0.0002445+0.0020399i,0.00049639+0.0013152i,0.00017304+0.0007284i,-0.00013677+0.00067527i,0.00024354+0.00045723i,0.00044876-0.00013677i,0.00078907-0.00015331i,0.00086617+0.00035484i,0.00045404+0.000295i,0.00060561+0.0005013i,0.00015323+0.00054184i,-0.00066893-7.9744e-05i,-0.00078277+0.00014006i,-9.5448e-05+0.00055207i,0.000259-2.044e-05i,-0.00016493-0.00018361i
-0.0008948+0.00037632i,-5.4235e-05+0.0011821i,9.3987e-05+0.001313i,-0.00010278+0.0015363i,-0.0004025+0.0018126i,-0.00030389+0.0020499i,-0.00050264+0.0018556i,-0.00019603+0.0014282i,0.00044224+0.0008403i,0.00071341-8.3734e-05i,0.00055967-0.00025846i,0.0004864-0.00019853i,0.00016725-3.8159e-05i,0.00023569+0.00034683i,0.00067308-0.00014109i,0.00047488-0.00073737i,-1.3175e-05-0.00090713i,-0.00026079-0.00088347i,-0.00037846-0.00033292i,-0.00036333-2.0184e-05i,-0.00022637+8.3618e-05i,-0.00025735+9.5937e-05i,-0.00012708+0.00012237i
-7.7921e-05+0.00020395i,0.0010708-0.00017392i,0.0016931+3.7352e-05i,0.0013226+0.00082337i,5.1444e-05+0.001482i,-0.00090917+0.0020623i,-0.001246+0.0014292i,-0.0012771+0.00049295i,-0.0001548+0.00033772i,0.0012378+0.00035652i,0.0011814+2.4704e-05i,0.00044735-0.00039898i,0.00054835-0.00025031i,0.00074309+0.00068489i,0.00033835+0.00073576i,-3.7917e-05+0.00014813i,4.2117e-05-0.00038478i,4.9738e-05-0.0010201i,-0.00072432-0.00057752i,-0.0012309-2.5031e-06i,-0.0013195+4.3151e-05i,-0.00024628-0.00036111i,0.001041-0.0005951i
0.0014329+0.001895i,0.0014848+0.0016439i,0.00036093+0.00085533i,-0.00067116+7.8129e-05i,-0.00086871+0.0014051i,-0.00064587+0.00249i,-0.00066635+0.0021417i,-0.0005655+0.0018943i,0.00030042+0.0013425i,0.00058532+0.00083964i,-0.00014494-4.7783e-05i,1.2829e-05-0.00052943i,0.00056516-0.00051203i,0.00063446-7.2707e-05i,0.00048369+2.0099e-06i,9.5096e-05+3.119e-05i,-4.3464e-06-8.1187e-06i,0.0004387-0.00042384i,-0.00020033-0.00084027i,-0.0011695-0.00040617i,-0.00098626+0.0004551i,-0.00027486+0.00033712i,-7.7095e-05-0.00025109i
-0.00039828+0.0020844i,0.00045695+0.0018129i,0.00086202+0.0011375i,-3.4808e-05+0.00078352i,-0.00093678+0.0012844i,-0.0011681+0.0014791i,-0.00090971+0.0018877i,-0.00095994+0.0017333i,-0.00076151+0.00041682i,0.00034614-0.00051626i,0.0010782-0.00054647i,0.00080284-0.00043471i,4.5215e-05-0.00051156i,-7.3622e-05-0.0002316i,0.00061475+0.00044773i,0.00056786+0.00047523i,-0.00020902-9.1017e-05i,-0.0010368-0.00037457i,-0.00078777-0.00026691i,0.00010083+0.00015191i,0.00022709+0.00039866i,-3.4358e-05-0.00055776i,0.00010389-0.00078608i
0.00053318+0.0012565i,0.0010063+0.0014849i,0.00015235+0.00011797i,-0.00095527-8.0947e-05i,-0.0014435+0.0012166i,-0.00072099+0.0023436i,0.00010588+0.0026174i,-0.00035992+0.0018207i,-0.00084694+2.9526e-05i,-0.000178+3.9454e-05i,0.00041595+0.0010764i,0.00074248+0.00044391i,0.0011012-0.00016102i,0.0016181-0.00020572i,0.0015394-0.00061381i,0.00036872-0.0012862i,-0.00055211-0.0010041i,-0.00054972-0.00070024i,-0.00040607-0.00060601i,-0.00069063+0.00011607i,-0.0004382+0.00025361i,8.5193e-05-0.00026764i,-0.00016266-0.00062936i
-0.00086761+0.001308i,-0.00020915+0.00074875i,-0.00043734+0.00013764i,-0.00063683+0.001157i,-0.00048554+0.0020344i,-0.00071377+0.0015357i,-0.00082412+0.0013404i,-0.00077916+0.0013435i,-0.00039515+0.00058i,-0.00012226+0.00041676i,0.00012943+0.00066223i,0.00024793+0.00038284i,0.00058324+0.00075032i,0.00063415+0.00084303i,4.139e-05+0.00023966i,-0.0006309-0.00032573i,-0.00032864-0.00012386i,-0.00010706-4.7999e-05i,-0.00079293-4.2878e-05i,-0.0011702+0.00021582i,-0.00065094+0.00037274i,0.00066336+0.00064322i,0.0010671+0.00047921i
0.00077367+0.0018869i,0.0013159+0.0007286i,0.0013092+0.00026657i,0.00049773-9.6662e-05i,0.00032442+0.0001516i,-0.00065313+0.00067006i,-0.0015252+0.0012923i,-0.0010781+0.001383i,0.00011465+0.00056288i,0.00031321+1.8357e-06i,-0.00029034-5.8334e-05i,-0.00034895-8.3888e-05i,0.00013592+0.00031417i,0.00012251+0.00080954i,0.00014913+0.00085843i,0.00098629+0.00028487i,0.00096087-0.00024035i,0.0003126-4.8975e-05i,-0.00027254-0.00048111i,-0.00066588-0.00063568i,-0.00053378+0.00017741i,-0.0003045+0.0011161i,-0.00046038+0.0010976i
0.00071203-0.00071616i,0.00084896-0.00091733i,0.00049066-0.00075975i,-0.00061355+0.00030646i,-0.0012568+0.0011666i,-0.00044861+0.0021252i,0.00031447+0.0021108i,0.0006245+0.0017536i,5.1331e-05+0.0008918i,-0.00026127+0.0005076i,-0.00049002+0.0014093i,-0.00030581+0.0012592i,0.00035706+0.00020209i,0.00028188-0.0001314i,0.00053926-0.0005417i,0.00071513-0.0006377i,4.0407e-05+0.00016401i,-0.000333-0.0002464i,-0.00046424-0.00068603i,-0.00062022-4.8308e-05i,-0.00031254+0.00049748i,0.0001033+0.00076348i,4.4029e-05+0.00072215i
-4.1608e-06+0.00050475i,0.00022084+0.0008788i,0.00036351+0.00046946i,-1.8544e-05+0.00028492i,-0.00096891+0.00069211i,-0.0014977+0.00082905i,-0.0016248+0.00098993i,-0.0009475+0.0013057i,-0.00026108+0.0013719i,9.0948e-05+0.0011947i,0.00033353+0.0008072i,5.6597e-05+0.00018061i,-0.00027309-0.00013847i,2.352e-05-0.00020694i,0.00027721-0.00035044i,-8.8165e-05-0.00077552i,-0.00020483-0.0011417i,-0.00025896-0.00046717i,-0.00051038+0.00041526i,-0.00053369+0.00022836i,-0.00064447+3.7132e-05i,-0.00060447+0.00011274i,-0.00012039+0.00024797i
-0.00029384+0.002627i,-0.00011335+0.0026586i,4.3172e-05+0.001211i,-0.00051679-8.8262e-05i,-0.00091188-5.0084e-05i,-0.0010509+0.00094448i,-0.00098372+0.0018931i,-0.00096864+0.0012416i,-0.00074405+0.00024451i,-2.4848e-05-2.0857e-05i,0.0010448-0.00036803i,0.0006703-0.00019713i,0.000139+0.00068066i,0.00045556+0.00063928i,-6.0726e-05-0.00055869i,-0.00067186-0.00047124i,-0.0004454-3.8859e-05i,-0.0003989+2.6704e-05i,-0.00027952+3.766e-05i,-7.8518e-05+8.4219e-05i,0.00019722-4.5488e-06i,0.00026411-0.00010654i,3.0008e-05-0.00054481i
-0.00049323+0.0016487i,-0.00094072+0.0011963i,7.5099e-05+0.00014091i,0.00041258+0.00040307i,-0.00040758+0.0010127i,-0.0010774+0.0011553i,-0.00081833+0.0014858i,-6.0014e-05+0.0015248i,0.00026236+0.0011387i,0.00060995+0.00063597i,0.00054183+0.00026524i,0.00010478+0.00017515i,0.00050133-6.5112e-06i,0.00073995-5.3334e-05i,0.00045974+0.00017238i,0.00054239+0.00035424i,0.0002994+0.00050948i,-0.00055878+0.00019507i,-0.0012517-0.00027617i,-0.00094049-1.5792e-05i,-0.00052465+4.8747e-05i,-8.447e-05-0.00095713i,0.00039432-0.00089677i
0.00092179+0.00025375i,0.00091127+0.00072139i,-0.00031993+0.00069905i,-0.00064867+0.00035581i,-0.00027441+0.0007241i,-0.00055112+0.00054578i,-0.00045101+0.00072804i,-7.3922e-05+0.00099717i,-0.00010427+0.00092392i,0.00022861+0.00073434i,0.00015984+0.00062222i,0.00040628+9.4215e-05i,0.00086895-4.7119e-05i,0.00047684+0.00016495i,0.0002167-9.5337e-05i,0.00047448+0.00023013i,1.9669e-05+0.00032742i,-0.00043067-0.00056442i,-0.00084177-0.00051112i,-0.0014862-0.00010023i,-0.00085532-1.9019e-05i,-0.00026428+3.5322e-05i,0.00020547+0.00018094i
0.0012283+0.00091163i,0.0017804+0.00022425i,0.0011031-0.00085884i,-0.00060544-0.00053538i,-0.00058628+0.0021209i,-0.00020998+0.0033398i,-0.00064475+0.0020478i,-0.00085087+0.00081489i,-0.00057474+0.00017211i,-0.00018547+0.0002743i,7.8497e-05+4.0575e-05i,-5.5362e-05+0.00022635i,0.00017482+0.00041118i,0.00061866+3.3034e-05i,0.00042029+0.00036085i,0.00013265+0.0005405i,7.8047e-05+0.00069855i,-0.00012094+0.0011309i,-0.00045935+0.00064829i,5.4426e-06+0.00056595i,0.00027714+0.00074726i,0.00034877+1.2618e-05i,0.00078451+0.00017748i
-0.00070236+0.0020148i,0.00024289+0.0013422i,-0.00033588+0.001337i,-0.00031997+0.00090415i,-0.00016111+0.0012428i,1.6e-05+0.0012584i,-0.00042178+0.00075609i,-0.00067946+0.00083199i,-0.00085902+0.00072299i,-0.00017146+0.00083881i,0.0007888+0.0010935i,0.00021571+0.00083989i,-0.00062055+0.00011316i,-0.00067705-0.00025106i,-0.00022194-0.00023097i,9.5931e-05-0.00024486i,8.7268e-05-4.8696e-05i,-0.00085118+4.9103e-06i,-0.0010583-0.00048983i,-0.00077199-0.00049201i,-0.0007367-0.0001241i,-7.674e-05+0.00049655i,-0.00010182+0.0012585i
0.0002958+0.00081869i,-0.00016195-3.7351e-05i,-0.00057477+0.00024878i,-0.00061662+6.107e-05i,-0.00078+0.00062075i,-0.0010388+0.0011621i,-0.00051704+0.00096947i,-1.0985e-05+0.0012686i,5.1567e-05+0.00066247i,0.00012184+0.00011285i,0.00018997+2.7436e-05i,8.2524e-05+0.00014958i,-0.0001511+0.00037449i,-7.8148e-05+0.00016994i,0.00023598+0.00013661i,0.00060914+0.0006735i,0.00099722+0.00074619i,0.001014-0.00035935i,0.00082479-0.00087361i,0.0007283-0.00074729i,0.00070266-0.00070628i,0.00091157-0.00010549i,0.00062138+7.8382e-05i
-0.00011116+0.0013261i,-0.00029274+0.00036094i,-0.00016251+0.00060033i,-0.00052091+0.0015249i,-0.00063389+0.0013053i,-0.00014908+0.0015733i,-0.00061476+0.0019149i,-0.00095414+0.0012314i,0.00012244+0.00056525i,0.00046194+0.00094145i,2.5707e-05+0.00081483i,-0.0001389+2.1257e-05i,-2.1738e-05-3.8723e-05i,0.0004712+5.9804e-05i,0.0004-0.00076835i,0.0003351-0.00084772i,0.00029723+6.4973e-05i,0.00035787+0.00063326i,0.00042796+0.00016682i,0.00010607+0.00022478i,3.3695e-05+0.00051728i,0.00031343+0.00020237i,1.9553e-05+0.00052572i
-0.00033066+0.0016179i,-5.5309e-05+0.0013253i,-0.00021806+0.0004127i,-0.00097732+0.00081419i,-0.0012885+0.0016084i,-0.0013146+0.001994i,-0.0011549+0.0017755i,-0.00044627+0.0010858i,0.00036131+3.0394e-05i,0.00010225-0.00085367i,0.00046991-0.00047632i,0.00014616+0.00048134i,-0.00025345+0.0004023i,-0.0001437+5.0747e-05i,-0.00063441-0.00055223i,-0.00078308-0.00069971i,-0.00023764-0.00025712i,0.00042936+0.00051595i,6.7634e-05+0.00095889i,-0.00044238+0.00096616i,0.00017028+0.00042278i,0.00038695-0.00038698i,0.0005571-0.00041928i
-0.00078722+0.0023111i,-0.00046139+0.0015149i,0.00033466+0.00023691i,5.8198e-05-6.0341e-05i,0.00013392+0.0011638i,-7.2283e-05+0.0018209i,-0.00051819+0.0021665i,-0.0010877+0.0018718i,-0.00033036+0.0012944i,0.00075545+0.0011908i,0.0011554+0.00052277i,0.00072452+0.00023853i,0.00086333+0.00017945i,0.0009689+0.00028585i,0.00063152+0.00056676i,0.00087003+0.00046188i,0.00059708+0.00035419i,0.00063653+0.0009716i,0.00059859+0.00089925i,-9.0407e-05+0.00044043i,-0.000532+7.9961e-05i,-0.0001544+0.00024676i,-0.0003482+0.00028682i
1.5428e-05+0.0013717i,0.00090667+0.0013685i,0.00085953+0.0014973i,0.00014867+0.0019817i,-0.00057593+0.001989i,-0.00097039+0.0017915i,-0.0011363+0.0013335i,-0.00091436+0.00058062i,-0.00037468+0.00016078i,0.00011065-0.00027408i,0.00061529-1.8189e-05i,0.00052804-0.00011064i,8.7095e-05-0.00063695i,6.8654e-05-0.00039414i,7.5819e-05+0.00032363i,-0.00043491+0.0005232i,-0.00087148+0.00041665i,-0.0010732+0.00031926i,-0.00078176+0.00034477i,-0.00075023+0.00085522i,-0.00077327+0.00074723i,0.00030042+0.00025063i,0.00027574+0.00045564i
-0.00043095+0.0020222i,0.00037247+0.002201i,0.00013457+0.0019826i,-0.00018304+0.00061302i,-7.6123e-05+0.00042386i,-0.0010362+0.0011888i,-0.0021323+0.0018391i,-0.0011671+0.0018693i,-1.2661e-05+0.0011954i,0.00052906+0.00099002i,0.0012676+0.00062622i,0.00051242+0.00011018i,-0.00020684-0.00082708i,-0.00011025-0.00054425i,4.7892e-05+0.00037239i,-5.7521e-05+0.00033968i,0.0001357-0.0001912i,0.00044901-0.00048297i,0.00020981-0.00064251i,-0.00018756+0.00011669i,-0.00079076+0.00045766i,-0.00035778+0.00037915i,2.0204e-05+0.00061016i
0.00056935+0.00077219i,0.0010598+0.00073434i,0.00039639+0.00076274i,-0.00054226+0.0013035i,-0.00018752+0.0016428i,-0.00018476+0.0018568i,-0.00081727+0.0017261i,-0.00067834+0.00096105i,-7.9154e-05+0.0010739i,0.00038469+0.00094066i,0.00040948+0.00036308i,0.00013526+1.7991e-05i,-2.5115e-05+0.00036968i,-0.00032415+2.2797e-05i,-0.00030319-0.00083544i,8.982e-05-0.0010223i,3.4278e-05-0.001179i,-0.00040661-0.00050556i,-0.00095536+0.00025772i,-0.00074705+0.0002684i,5.5083e-05-7.9902e-05i,0.00047352-0.00047737i,0.00078754-0.00040959i
-0.0012219+0.0018184i,-0.00040497+0.0012061i,-0.00045141+0.00082151i,-0.00015288+0.00097976i,0.00045286+0.0014628i,0.00067364+0.0018322i,0.00063322+0.0015279i,0.00051182+0.0011171i,0.00018259+0.00083314i,-2.128e-05+0.00060115i,-3.8146e-05+0.00042496i,0.00014433+3.6437e-06i,9.7028e-05-0.000726i,8.1229e-05-0.00042545i,-9.3167e-05+0.00018596i,0.00016288+0.00029909i,-9.9217e-05+0.00023977i,-0.00044396+0.00020895i,-0.0011448+0.00046663i,-0.001587-0.00040505i,-0.00086095-0.00073871i,-0.00060904+0.00026944i,-0.00033148+0.0007857i
0.00075925+0.00034965i,0.0013821+0.00025965i,0.00070465-5.6717e-07i,-0.00026678+0.00058231i,-0.0010111+0.001035i,-0.0011927+0.0018545i,-0.0010076+0.0018807i,-0.00084516+0.0011615i,-0.00083679+0.00010313i,-5.0584e-05-0.00089937i,4.7552e-06-0.00078829i,-0.00097404-0.00018468i,-5.0984e-05-0.0004198i,0.00076067+0.00015646i,0.00076374+0.00064562i,-3.9533e-06-0.00036105i,-0.00089242-0.0005792i,-0.00036252-0.00031298i,0.0007247-0.00034834i,0.00071513-0.00010482i,0.00036348+0.00079142i,0.00011465+0.0016941i,-0.00041206+0.0015729i
-0.00039513+0.00062472i,-9.3474e-05+0.0015648i,-0.00012752+0.0010644i,-0.00064353+0.00031391i,-0.00013792+0.000657i,0.00011879+0.00072111i,8.8368e-05+0.00042598i,0.00043407+0.000186i,0.0006393-9.3848e-05i,0.001222+0.00022538i,0.0012482+0.00093103i,0.00074752+0.00059338i,0.00043512-0.00047252i,0.00066586-0.00063713i,0.0016358-0.00012189i,0.00083252-1.1854e-05i,-0.00024147-9.1308e-05i,-0.00025336-0.00044345i,0.00027366-0.0009132i,-0.00011413-0.00071027i,-0.00046558-0.00069741i,-0.00034255-0.00094667i,3.0226e-05-0.00056597i
-0.0013116+0.00084944i,-0.0014274+0.00021253i,-0.00061109+0.00024967i,0.00012405+0.0008261i,0.00026876+0.0015051i,-0.00030311+0.0020325i,-0.00090234+0.0024765i,-0.00044936+0.002323i,0.00045441+0.0012808i,0.00050313+0.00028963i,0.00050522-0.00015028i,0.000523-0.00073414i,0.00031456-0.00044178i,0.00044318+0.00022621i,0.00055082+0.00076417i,0.00011796+0.0010198i,6.8496e-05+0.00011223i,0.00016629-0.00047542i,-0.00049475-6.9735e-05i,-0.00053007-5.6134e-05i,7.5114e-05+8.8771e-05i,-0.00013171+0.00051143i,9.4502e-05+0.00037741i
0.00010875+0.0022465i,0.00095171+0.0019069i,0.001626+0.0016812i,0.0016001+0.0011845i,-0.00025839+0.0016984i,-0.0018001+0.0019767i,-0.0014373+0.0013282i,-0.00067874+0.00053314i,-0.00056788+0.00064126i,0.00022509+0.0010589i,0.00092706+0.0011805i,0.00010182+0.00090476i,-0.00067376+0.00017766i,-0.00076608-0.00032371i,-0.00022821-0.00029155i,0.00044273-0.00019276i,0.00062138+0.00024827i,-0.00025038+0.00040886i,-0.001148-5.9868e-05i,-0.0011038+0.0002751i,-0.00053248+0.00065555i,1.8493e-05+0.00024253i,0.0002187-0.00033154i
-0.0015036+0.00091537i,-0.0009058+0.00063483i,-0.00054171-0.00013908i,-0.00034126+4.4028e-05i,0.00017185+0.0016373i,2.6141e-05+0.0024898i,-0.0004265+0.0021711i,-0.00037341+0.0015834i,-0.00030932+0.0011637i,-0.00045573+0.00069583i,-0.00030027-2.2316e-05i,-8.2671e-06-0.00047108i,0.0001032-0.00048805i,0.00031957-0.00027264i,0.00036596-0.00075632i,0.00018627-0.00074977i,-9.3833e-05-0.00026704i,-0.00033816-0.00026814i,-0.00072514-7.9686e-05i,-0.00012603+3.4373e-05i,0.00049118+2.2502e-05i,4.6006e-05+0.0001598i,-0.00059411+0.0002676i
0.00082968+0.0021063i,0.00045248+0.001114i,0.00015805+0.0013406i,-4.5831e-05+0.0021434i,0.00019624+0.0020611i,-0.00065052+0.0010806i,-0.0019399+0.00091656i,-0.0010762+0.0013974i,8.4343e-05+0.0016795i,0.00015139+0.0015039i,2.1514e-05+0.00095792i,-0.00018048+0.00030261i,-0.0005393+0.00059994i,-0.00042728+0.00068797i,5.2998e-05+0.00047084i,0.00038971+0.00052872i,0.00040284+0.00045762i,-0.00047286+8.3915e-05i,-0.0008423-0.00074836i,-0.00033016-0.0004869i,-0.00034084+0.00039966i,-0.0010631+0.00061439i,-0.0015591+0.00022508i
