0.00039867+0.00087347i,0.00078486-0.001017i,0.00013545-0.0029949i,-0.00054196-0.0038663i,-0.0019515-0.0015165i,-0.0025591+0.0014657i,-0.0011752+0.0021223i,0.00077166+0.00096108i,0.0013614-0.00019162i,0.0010504-0.00072145i,0.00083665-0.0007986i,0.00036581-0.00069107i,-0.00091562-0.00022935i,-0.00099514+0.00033212i,0.00065442+0.00054493i,0.00094587-0.00029746i,-7.9518e-05-0.00038322i,-0.00033583-4.5623e-05i,-1.125e-05-0.00056147i,-0.00040065-0.00070846i,0.00017546-0.00047836i,0.00089776-0.0003548i,0.00017634-0.00017457i
-0.00031542-0.0019571i,-0.0004552-0.0023267i,-0.0013862-0.0020042i,-0.0019454-0.0010323i,-0.0011738+0.00026637i,-0.00070378+2.4958e-05i,-0.00041666-0.00079359i,-0.00032682-0.00019794i,-3.7622e-05+0.00056274i,0.000469+0.00047329i,0.0005716-0.00030023i,0.00010684-0.0011196i,0.00022085-0.00023412i,0.0001303-0.00014336i,0.0001482-0.00062862i,0.00022174-0.00053948i,5.7072e-05-0.00083706i,-0.00020305-0.00093608i,-0.00020779-0.00024294i,-0.00017984+0.00022047i,-0.00070063+0.00044142i,-0.00089693+0.00025617i,-0.0003461+0.00026027i
-8.9741e-05-0.00073835i,-0.00050075-0.00052962i,-0.0012805-0.00076636i,-0.00070911-0.00079741i,-0.0007279-0.00079643i,-0.00098085-0.00064586i,-0.00029007-0.00035413i,-1.7949e-05-0.00083067i,0.00022855-0.00099406i,-0.00042972+0.00034609i,-0.0012723+0.00078114i,-0.00031439+0.00081638i,0.0007304+0.00057552i,0.00080831+9.5939e-05i,0.0011734+6.6773e-05i,0.0012672+5.0634e-05i,0.00045323-5.3844e-05i,-0.00022824-3.8684e-05i,0.000177-8.9343e-05i,-0.00039562-9.288e-05i,-0.00068566-0.0001455i,-6.6127e-05+0.00019695i,-0.00044821+0.00012187i
0.00033161-0.0012733i,-0.00043101-0.0013525i,-0.0012265-0.0024235i,-0.00091085-0.001765i,-0.0013256-0.00020176i,-0.0017346+0.00010834i,-0.00034634-0.0003061i,9.9061e-05-0.00045232i,-0.0010727-0.00040954i,-0.00091243-0.00018097i,-0.00022655-7.1925e-06i,8.1355e-05-0.00011439i,0.00082546-0.00048907i,0.0015143-0.00044068i,0.0014747+0.00025367i,0.00061351-2.1825e-05i,0.00024141-0.00023146i,0.00028712+0.0004764i,-0.00060722+0.00015194i,-0.0011756+0.00037814i,-0.00071224+0.00059577i,-0.00024491-0.00015788i,0.00014791-0.00097504i
-0.00048967-0.00070165i,0.00029706-0.0011997i,0.00058912-0.0022597i,6.4941e-05-0.0023852i,-0.00077776-0.0025095i,-0.0007561-0.0022396i,-0.00024952-0.00083827i,0.00010309+2.0477e-06i,-0.00029392-7.8008e-05i,-0.00073064-0.00046585i,-0.00076142-0.00055929i,-0.00067541-0.00037797i,-0.00047569-0.00015164i,-6.1464e-05-0.00014448i,-0.00018766-0.00016765i,-0.00029465-0.00044317i,-0.00036882-0.00043425i,-0.00054017-0.00014816i,-0.00089155-0.00030762i,-0.00062222+0.00030015i,0.00052245+0.0004693i,0.0010827-0.00034665i,0.00097443-0.00051489i
0.00054907-0.0021264i,0.00057458-0.0020361i,-3.2936e-05-0.0021573i,-0.00063102-0.0023866i,-0.0010934-0.0018118i,-0.0012521-0.00014171i,-0.0004991+0.0011223i,9.2246e-05+0.00010395i,-0.00011645-0.00094413i,-0.00015137-0.00079873i,0.00015433+0.00017187i,0.00052586+0.0014364i,0.00050855+0.0017318i,0.00014013+0.00095588i,8.8164e-05+0.00096461i,0.00041373+0.00125i,0.00075665+0.00022429i,0.00016996-0.00019783i,-0.000121-0.00057151i,-3.7246e-05-0.0003546i,0.00026202+0.00010881i,0.00050761+0.00063455i,0.00067964+0.00080116i
-0.00041292-0.00324i,-0.00084143-0.0021346i,-0.0014186-0.00095756i,-0.0018124-0.00018482i,-0.0019056+0.00035796i,-0.00076513+0.0005434i,0.00066656+7.2841e-06i,0.0012718-3.5299e-05i,0.00010412+0.00051553i,-0.0006995+0.00095477i,-0.00027758+0.00049597i,0.00024208+0.00016376i,0.001169+0.00016832i,0.0014197-0.00035i,6.6618e-05+5.0397e-05i,-0.00079852+0.00036501i,-0.0004214-9.9062e-05i,-0.00042685+0.00021685i,-0.0003698+0.00034104i,4.6362e-05-8.3616e-05i,-0.00045688+0.00046948i,-0.00061742+0.00043444i,-0.0006116-0.00040627i
0.002291+0.00081282i,0.0017894+8.4015e-05i,0.0017152-0.00084291i,0.0015675-0.00078443i,0.00047075-0.00078746i,-0.00062885-0.00095167i,-0.00082089-0.0011799i,-0.00032747-0.0014916i,-7.4068e-05-0.0010431i,-0.00049621-0.0010216i,-0.00092257-0.0012816i,-0.0013123-0.0013211i,-0.00093541-0.00073046i,-0.00029359+0.00046854i,-0.0002673+0.00082231i,-0.00020976+0.0003456i,0.00012727-0.00012691i,0.00026425+0.00027966i,-0.00045734+0.00049034i,-6.2495e-05+6.2521e-05i,0.00054188+0.00010255i,0.00018148+0.00028125i,-0.00011975-0.0001219i
-0.00030685+0.001874i,-0.00054321+0.0015924i,-0.0003169+0.0010324i,0.00012417+0.00020766i,7.8953e-05-0.00093941i,0.001023-0.0010741i,0.0019116+0.00010597i,0.0012524+0.0008523i,-6.8279e-05+0.00043158i,-0.00049932-3.2735e-05i,-0.00041936+3.3151e-05i,-0.0005255+0.00050173i,-0.00062109+0.00080273i,-0.001305-0.00011919i,-0.00093272-0.0007495i,-0.00014394+3.1207e-05i,-0.0001166+0.0003702i,-6.23e-05+0.00028319i,-1.0466e-05+0.00047445i,-0.00031083+0.00062639i,-0.00067307+0.00067636i,-0.00050877+0.0013342i,-0.00069236+0.0011452i
-0.00043925-0.00042091i,-0.00068492-0.00038966i,-0.00054152-2.6372e-05i,-0.00015983-0.00081095i,-0.00023788-0.0018939i,-0.00030469-0.0018358i,-0.00026597-0.00058028i,-0.00036984+0.00063214i,0.00021693+0.0011663i,0.00043313+0.00085434i,0.00038102-1.6252e-05i,0.00084359-0.00024727i,0.00066039+0.00041111i,-0.00018134+0.00052165i,-0.00037613-0.00017424i,-5.9113e-05-0.00087843i,-0.00047934-0.00071104i,-0.00063336-0.00083202i,-0.00075322-0.0015541i,-0.00035714-0.0011475i,-0.00041314-0.00026923i,-0.00095787-0.00022773i,-0.00029301-0.0002159i
-0.00058681-0.0012254i,-0.00068093-0.00021391i,-0.00036534-0.00054249i,-0.00041106+3.7914e-05i,-0.0010018+0.00091037i,-0.00036091+0.00034266i,-0.00014128-0.00061625i,-0.00046858-0.00061593i,-0.00063562-1.751e-05i,-0.00018874+0.00061142i,-0.0001513+0.00035061i,-0.00014953+0.00013998i,-0.00013831+0.0004706i,-0.00052875-0.00039984i,-0.00042273-0.00084471i,-0.00010845-0.00032076i,6.7535e-06-0.00050586i,3.4332e-05-0.00079961i,0.00041513-0.0010858i,0.00042735-0.00090549i,-0.00016011+0.00024762i,-0.00042035+0.00082552i,-0.00079198+0.00047994i
0.00022326+0.0029943i,0.0005683+0.0023824i,0.0013507+0.00095733i,0.0019247-0.0006991i,0.001034-0.0015337i,0.00026481-0.0018132i,0.00055552-0.0017464i,-0.00018983-0.00076533i,-0.00072273-0.00019986i,-0.00048091-0.00019113i,-0.00014526-0.00025839i,-0.00015621+9.8018e-05i,-0.00014756+0.0011467i,0.00015811+0.0015368i,0.00039139+0.00080048i,0.00048649+0.00053311i,6.3363e-05+0.00011871i,0.00011403-0.00040884i,0.00025737-0.00017959i,-0.00059236-0.00012377i,-0.0012032-0.00053157i,-0.00068318-0.00031008i,-9.5846e-05-0.00049938i
-0.00096606-0.0012224i,-0.0019201-0.00010227i,-0.0024763+0.000142i,-0.0021385+0.00038092i,-0.001769+0.0012579i,-0.0018351+0.00071927i,-0.00046914-0.00046986i,0.0010117-0.00051982i,0.00033468-0.00013313i,-0.00034184-0.00039783i,-0.00023523-5.6048e-05i,-0.00025798+0.00060318i,9.8511e-05+0.00058069i,-0.00021158-0.00018949i,-0.00057335-0.00089899i,-0.00010874-0.00072951i,-0.00016349-0.00082639i,-0.00059977-0.00096396i,-8.755e-05-0.0010575i,-0.00015191-0.0010201i,-0.00018556-0.00050483i,-5.1852e-05-0.00019561i,-0.00027086-0.00014609i
-0.0016671+0.0010399i,-0.0014783+0.00079844i,3.4307e-05+0.0013694i,0.0010594+0.0012175i,0.0017808+0.00050402i,0.0013572+9.1334e-05i,4.5877e-05-0.00058118i,-0.00061943-0.00044089i,-0.00020273+0.00032739i,-0.00037883+0.00050784i,-0.00091854+0.00015225i,-0.00048272-6.757e-06i,-0.00079045+0.00013097i,-0.0010588-5.3709e-05i,-0.00065301-0.00095066i,-0.00049656-0.00095063i,0.00031767+0.00015264i,0.00074735+0.00064112i,0.00026574-0.00042392i,-0.00045345-0.0016772i,-0.00066554-0.00065513i,4.0353e-05+0.00034443i,0.00063071+0.0010691i
0.0015556+0.0015922i,0.0011203+0.001413i,0.00096503+0.00021462i,0.00021993-0.00084229i,-0.00037747-0.00087407i,-0.00042685-0.00055418i,-0.00033595+0.00045921i,-0.00054553+0.000816i,-0.00039075+0.00051162i,-0.0001851+0.00042971i,-7.0838e-05+4.9356e-05i,0.00013431+0.00033072i,-0.00016551+0.00086717i,-0.00034648+0.00039169i,0.00030057+8.1245e-05i,-2.4196e-05+0.00027849i,-0.00056547+0.00031526i,-0.0004802-0.00038941i,-0.00056378-0.00041993i,-0.00055268+0.0002139i,-0.00030538+0.00063481i,-0.00033595+0.00038106i,0.00012784-0.00027078i
0.00023472+0.002804i,0.0017312+0.0023214i,0.0029046+0.0017479i,0.0038814-0.00033872i,0.0033347-0.0017135i,0.0021261-0.0019124i,0.00070806-0.0014866i,-0.0001752-0.00097754i,-0.00011573-0.0006667i,-0.00027185-0.00043593i,-0.00061599-0.00039346i,-0.00018576-0.0005468i,-0.00047784-0.0002263i,-0.0014623-0.00044694i,-0.0013108-0.00017629i,-0.00084029-0.00020215i,-0.00095159-0.00090279i,-0.00089538-0.00073834i,-0.00059029-0.00018101i,-0.0008001+0.00047491i,-0.0010021+0.00025661i,-0.00024732+0.00050336i,0.00069107-0.00011077i
0.00092236+0.0015711i,-0.0002446+0.00073539i,-0.00091231-0.00033912i,-0.001136-0.00074416i,-0.00055966-0.00046461i,0.00025841-0.00039311i,0.00060394+0.00013092i,0.0004771+0.00072213i,9.3463e-05-0.00015928i,0.00083747-0.00076243i,0.0012862+1.8289e-06i,0.00070016+0.00059642i,0.00061455+0.00027267i,-5.5939e-06-2.2129e-05i,-0.00092408+0.00043193i,-0.00052379+0.0004667i,0.00042185+3.1085e-05i,0.00071255+7.4892e-05i,0.00032602-0.00065895i,0.00023777-0.0014725i,0.0003737-0.0010894i,0.00027448-0.00021828i,0.0011041+0.0003128i
-0.00083567+0.00048965i,8.0951e-05+0.00054557i,0.0010288-0.00031697i,0.0015644-0.0013386i,0.0013726-0.0020527i,0.00055462-0.002014i,-0.00029996-0.0013428i,-0.00039619-0.0011394i,-3.2393e-05-0.00073247i,0.00079722-0.00034246i,0.0013956-0.00026086i,0.00068908+0.00042418i,0.00019323+6.2034e-05i,0.00040881-0.00065099i,0.0003099-0.00059565i,0.0003448+0.00017249i,-2.4961e-05+0.00046359i,-0.00069202-4.8253e-05i,-0.00074743-0.0001335i,-0.00072895-0.00028604i,-9.4151e-05-0.00043312i,0.00054239+0.00039343i,-2.7202e-05+0.00065263i
0.00069098-0.0013857i,-0.00034674-0.00087944i,-0.00060221-0.00078819i,-0.00071584-0.00058811i,-0.0010667-5.7939e-05i,-0.0008696+0.00080661i,9.4752e-05+0.00090202i,0.00046152+0.00015287i,0.00035833-0.00045381i,-7.9282e-05+3.9852e-05i,-0.00039989+0.001083i,-0.0002963+0.0014041i,-5.7831e-05+0.00065426i,0.000468-5.7138e-05i,0.00043954+0.00028377i,0.00076797+0.00072451i,0.00097166+0.00031858i,0.0005498-0.00042454i,-0.00042716-0.00094715i,0.00015846-0.00039341i,0.0010443+0.00063547i,0.00040505+0.00077049i,-0.00011229+0.00025238i
-0.00057317+0.0010086i,0.00016689+0.00043137i,-0.00037249+0.00024346i,-0.001307+0.00049104i,-0.0014365+0.00054308i,-0.00067462-0.00021515i,-0.0004421-0.00088634i,-0.00023544-0.00055052i,8.973e-05+0.00016366i,-8.9953e-05+0.00075654i,-0.00041214+0.00040708i,-0.00028921+4.6942e-05i,0.00030168-0.0001435i,0.00021573-0.00075291i,-0.00039944-0.00084928i,-0.00034863-0.00013434i,-5.4761e-05+0.00043957i,0.00029534+0.00021689i,0.00064312-0.00049541i,0.00042319+4.6684e-05i,0.00020481+0.00079073i,0.00031358+0.00026294i,0.00088943-0.00028966i
-0.0001839+1.6988e-05i,0.00024366+0.00027135i,9.6295e-05-0.00069879i,-0.00038949-0.0017112i,-0.00026139-0.0012039i,4.0574e-05+0.00025184i,0.00021226+0.00063706i,0.00083168+0.00062765i,0.0010828+0.00046623i,0.00068822+0.00054602i,0.0008101+0.00065905i,0.00074018+0.00036286i,-0.0003214-0.00064721i,-7.2996e-05-0.00041574i,0.00051895+0.00057272i,-9.3724e-05+0.00028961i,-0.00064942+0.00019353i,-0.00067091+0.0001276i,-9.6967e-05-0.00037254i,-6.2014e-05-0.00055308i,-0.00016074-0.00029986i,-0.00034546+8.1508e-05i,-0.00056484+0.00012387i
-0.0009135-0.0013899i,-0.00095404-0.0022525i,-0.0012368-0.0015921i,-0.0010953-0.0006854i,9.4218e-05+0.00015386i,0.0012963-0.0004966i,0.0010315-0.00066996i,0.00017733+0.00049629i,-0.00025131+0.0010674i,-0.00023007+0.000785i,-0.00019526+0.00061148i,0.0006303+0.00027333i,0.00058097+0.0003102i,-0.00041651+0.00028028i,-0.0003065-0.00010929i,0.00077414-0.00067248i,0.0012131-0.00077108i,0.00026404+5.5906e-05i,8.6009e-05-0.00012869i,0.00096699-0.00098948i,0.00068609-0.0014152i,-0.00063271-0.0012965i,-0.00073494-0.00090175i
0.0006189+0.00049685i,0.00079182+0.00047681i,0.00040412-0.00044312i,-0.00067179-0.0019223i,-0.00098323-0.0019895i,-0.0006297-0.0012494i,-0.00015041-0.00077881i,-2.2271e-05-0.00040626i,7.7981e-05+0.00028366i,-0.00026804+0.00077284i,-0.001052+0.00081034i,-8.6828e-05+0.000389i,0.00083162-0.00046704i,0.00065627-0.00061627i,0.00077132+0.00019376i,0.00076112+0.00070689i,0.00032617+0.0002168i,0.00030667-0.00028031i,0.00053656-0.00064911i,-0.00020806-0.0006011i,-0.00028671+0.0001962i,5.7657e-05+4.019e-05i,-5.528e-05-0.0003554i
-0.0014413+0.00099492i,-0.0010968+0.0014164i,-0.00080407+0.0028414i,0.0003138+0.0027134i,0.00023104+0.0015676i,-0.00039136+0.00017132i,-0.00019084-0.0004181i,-0.00011223-0.00035875i,-0.00077636-0.00016747i,-0.000758-7.4382e-05i,5.8815e-05+8.5157e-05i,-8.7887e-05+0.00036356i,-9.1242e-05-0.00062859i,-0.00028521-0.00077727i,-0.00057815-0.00021955i,-0.00067763-0.00025402i,-0.00020078+0.00037141i,0.00018224+0.00042604i,0.00062497-0.00044943i,0.0011919-0.00052262i,0.00081896-0.00090743i,0.00026457-0.0011078i,0.00019447-0.00028482i
-0.001159+0.0013707i,-0.00067766+0.00035064i,-0.00021631-0.00070488i,0.00028776-0.00044767i,0.00021109-0.00028871i,-0.00031459-0.0007227i,-0.00061919-0.00015265i,-0.00057559+0.00081519i,-0.000293+0.00038642i,-0.00039887+0.00027389i,-0.00034582+0.00074384i,0.00012893-0.00038307i,0.00047427-0.0014064i,0.00038848-0.0017125i,5.5587e-05-0.0012148i,-0.00040419-0.00015755i,-7.7526e-05-0.00027234i,-0.00051284-0.00056907i,-0.00087509-0.00079393i,-0.00036131-0.00069969i,0.0002441+3.0425e-05i,0.00020969+0.00050005i,0.00038605-7.6412e-05i
-0.00099916-0.0011546i,-0.00053703-0.001023i,-0.00082678-0.0012044i,-0.001429-0.00067816i,-0.00048628+0.00076071i,0.0005307+0.0014438i,0.00013838+0.00062391i,1.557e-05-4.8e-05i,0.00042465-9.513e-05i,-0.00021197+0.00049953i,-0.00066316+0.00060737i,0.00025046+8.1812e-05i,0.00053829-9.0478e-05i,0.00056466+0.00037709i,0.00069231+0.00018532i,0.0010204-0.00023122i,0.00093825+0.0001556i,0.00023011-0.00069182i,0.00053773-0.0015087i,0.00080939-0.0007519i,0.00041089+0.00016333i,0.00019811+0.00075132i,-0.00056808+0.00083523i
0.0018654+0.0016181i,0.0013817+0.00039696i,0.00099759-0.00096583i,0.00058391-0.0020344i,3.7613e-05-0.001317i,-0.00082418-0.0014969i,-0.0010992-0.0025387i,-0.00043803-0.0012569i,-0.00023106-0.0006739i,-0.00011045-0.00057229i,-0.00053436-0.00032285i,-0.0009787-0.0001719i,-0.00090131-0.00052281i,-0.00057735+2.5812e-05i,-0.00015748+0.00073119i,0.00023016+0.00021932i,0.00042257+0.0003913i,-9.9823e-05-0.00036579i,-0.00012395-0.0012365i,-0.00031126-0.00083645i,-0.00087921-0.0003138i,-0.00088165+6.9439e-05i,-0.00021556+0.00031475i
-0.00046418-0.00067919i,-0.00042518+0.00015811i,-0.00090654-9.5697e-05i,-0.0010174-0.001003i,-0.00086107-0.00081787i,-0.00083333-0.00025378i,-0.00082376-0.00019108i,-0.00043575-0.00060885i,-0.00073315-0.0012483i,-0.00046548-0.0010806i,0.00060076-0.00052897i,0.00033192-0.00044422i,-0.00099926-0.0002122i,-0.0010464+0.0005798i,-0.00032856+0.0014336i,-0.00032423+0.00056342i,-0.00070145-0.00010839i,-0.0005379-0.00019142i,-0.00032997-0.00021009i,-0.00041047+2.5018e-05i,-0.00055112+0.00044473i,-0.0010696+0.00029661i,-0.0010568-0.00043332i
-0.00040768+0.0014482i,-8.7652e-05+0.00022587i,0.00067564+8.5606e-05i,0.00030925-2.9819e-05i,-6.3883e-05-0.0011254i,-0.00014145-0.0013959i,-0.00020762-0.00053886i,0.00013011-0.0002216i,2.9113e-05-0.00054168i,-0.00021698-0.00020434i,0.00042048+0.00010823i,0.0004193-0.00040413i,1.2268e-06-0.00010812i,-0.00056492+0.00010125i,-0.00077689-0.00024635i,-0.00018264-0.00036325i,-0.00012058+0.0001505i,-0.0005919+0.00023363i,-0.00060998-0.00010892i,-0.00039931+0.00070317i,-0.0008024+0.00060203i,-0.00070092-0.00019747i,-0.00059628-0.00028843i
-0.00060841-0.00075122i,-0.00036897-0.00074983i,-1.7908e-05-0.00087515i,-0.00036439-3.7727e-05i,-0.0014488+0.0003292i,-0.0019746-0.00058392i,-0.0012953-0.00040657i,-0.00061894-0.0001533i,-0.0012064+0.00026658i,-0.0014304+0.00068725i,-0.00037507+0.00034296i,0.00016476-0.00021424i,-8.1781e-05+0.00019556i,-0.00049302+0.0005784i,-0.00089683-1.3922e-05i,-0.00065034-0.00027816i,0.00034478-5.6026e-05i,0.00060008+0.00019075i,-0.00030064-0.00029462i,-0.00029916-0.0013648i,-2.558e-05-0.0012428i,-6.3726e-05-0.00060974i,-9.088e-05+0.00036407i
0.00022541-0.00024402i,0.00045796+3.094e-05i,0.00060689-0.00087769i,0.00064378-0.002038i,0.00060671-0.0017753i,-0.00019735-0.0011361i,-0.00051112-0.00028018i,-0.00019379-2.088e-05i,0.00011605-0.00043246i,0.00012191+7.2966e-05i,-0.00012205+0.00049889i,3.7307e-05+0.00018877i,-0.00013937+0.00021592i,-0.0002768+0.00084499i,0.00020689+0.0010829i,0.00071271+0.00045997i,0.0007157-0.00040327i,0.00065234-0.00020794i,-1.0017e-05+5.8198e-05i,-0.00075143-0.00039908i,-0.00044544-0.00062604i,0.00075987-0.00064822i,0.00099516-0.0002516i
-0.00049245-0.00054039i,-0.00085252-0.0016075i,-0.00061148-0.0011158i,-0.00088839+0.00010129i,-0.00087735-0.00029825i,-0.00020598-0.001098i,0.00014073-0.0014438i,0.00027814-0.001296i,-0.00053256-0.00085158i,-0.0013262-0.00053455i,-0.0004665-2.2445e-05i,0.00029707+1.3942e-05i,0.00032502+1.5216e-05i,0.00037195+0.00053669i,0.00056624+0.0010888i,0.00035228+0.001191i,-0.00017513+0.00089793i,0.00015429+0.00030765i,0.0006607-0.0004521i,0.00059306-0.00088294i,0.00027151-0.00072614i,0.00038283+1.0624e-05i,0.00041435+2.7018e-05i
