-0.00077766-0.0018225i,-0.00084023-0.0011299i,-0.00025127-0.0011099i,-0.00039978-0.00084991i,-0.00042738-0.00047662i,-0.0012344-0.00066422i,-0.00094375-0.0010196i,-0.00036978-0.0010693i,-0.00082539-0.00084802i,-0.0012273-0.00055629i,-0.00029455-0.00068564i,-0.00016082-0.00032916i,-0.00031449-8.6943e-05i,-1.3449e-05-0.00024687i,-0.00031865+4.3026e-06i,-0.00036965+0.0002103i,3.2706e-05-0.00012784i,0.00054968-0.00036207i,0.00014103-0.00027905i,-0.00065379-0.00026958i,-0.00073347-0.00027806i,-0.00088326+0.00013316i,-0.00042321+1.7418e-05i
0.00089903-0.00096485i,0.00072434-0.00052983i,0.00027438-0.00035192i,-0.00024796+0.00036926i,-0.00028006+0.00052595i,-0.00044488-0.00026506i,0.00018445-0.0006528i,0.00053637-0.00013463i,0.00010256+0.00013482i,-0.00020905+0.0001979i,-0.00033109+0.00017203i,-0.00075211-0.00042868i,-0.0012256-0.00060109i,-0.00099147-0.00019657i,-0.00044372-0.00019313i,-0.00028962-0.00039672i,-0.00037173-0.00058636i,-0.00034876+2.5315e-05i,1.8977e-06+0.00056215i,-6.9624e-06+0.00022262i,-0.00023668+0.00014711i,-0.00023926+0.00030994i,-0.00067107+0.00018803i
0.00024166-0.00099939i,-9.9307e-05-0.00052532i,-0.00041835-0.00069444i,7.5783e-05-0.0011444i,0.0008179-0.0014593i,0.00074572-0.000668i,0.00082358-0.00077545i,0.00070733-0.0017524i,0.00012225-0.00105i,-0.00032169-0.00036771i,-0.00054517-0.00029109i,-0.00050966-8.4687e-05i,-0.00014177-0.00046311i,0.00043414-9.8907e-05i,0.00098946+0.001126i,0.00098781+0.00040667i,0.00015699-0.00032005i,-8.8267e-05-1.2649e-05i,0.00053116+5.4349e-05i,-7.0216e-05-0.0005134i,-0.0010314-0.00093932i,-0.001143-0.0010143i,-0.00035545-0.00028435i
0.00071194-0.0011447i,-0.00037899+0.00017911i,-0.00089412+0.00019512i,-0.0011963-0.00048479i,-0.0013602-0.0009941i,-0.0010088-0.00079055i,-0.0010518-0.00015331i,-0.0011894-0.00019964i,-0.0012116-0.00098765i,-0.00084304-0.00073132i,-0.00063464-0.00032911i,7.231e-05-0.00057405i,9.6342e-05-0.00088508i,-0.0006432-0.00093036i,1.9756e-05-0.00041846i,0.00053524-9.3005e-05i,3.9214e-05-0.00076657i,-0.0001439-0.0005077i,6.7693e-05+0.00017285i,7.5847e-05+3.701e-05i,-0.0006073-0.00043299i,-0.00070956-0.001026i,4.674e-05-0.00056629i
0.0012539-0.00027055i,0.00043319-0.00099445i,7.2087e-05-0.0025099i,-0.00016703-0.0025521i,-0.00063145-0.0013797i,-0.00069741-0.00086212i,0.00026309-0.00040128i,0.00039216-0.00076055i,0.0003062-0.00058183i,0.00088741-1.3211e-05i,0.00028828-0.00026729i,-0.00083811-4.9571e-05i,-0.00095914+0.00028717i,-0.00049034+0.00019264i,0.00039739-0.00027124i,0.0007075-0.00059487i,0.00021671-0.00016339i,0.00028574+7.1862e-05i,-0.00050536+0.00013718i,-0.0011089+0.00041245i,-0.0011719+0.00047853i,-0.00099182+0.0008314i,-0.00050438+0.00065753i
0.00017225+0.0020303i,0.0012439-0.0001649i,0.00077868-0.00049066i,0.00059648-0.00095476i,0.0013675-0.0012935i,0.0011346-0.0009932i,-8.5442e-05-0.0013997i,-0.0017484-0.001216i,-0.0016578-0.0001499i,-0.00074648+0.00037464i,-0.00019701+0.00032618i,7.9492e-05-8.5472e-05i,-0.00044541-0.00032535i,-0.00031562-0.00030119i,0.00057101-0.00064772i,0.00074466-0.00040256i,0.0006383-5.9585e-05i,0.00015586-0.00042777i,-0.0010262-0.00016844i,-0.00080139-0.00028977i,5.3155e-06-0.00071392i,0.00034508-0.00044965i,-8.3036e-05-9.9914e-05i
-0.00096-0.00011514i,-0.00087008+0.00038514i,-0.0013165+0.0013143i,-0.0015256+0.00145i,-0.00027246+0.0011846i,0.0010064-7.1819e-05i,0.0006314-0.0017565i,0.00027999-0.00092976i,-0.00019363+0.00063708i,-0.001035+0.0006098i,-0.00062594+0.00095585i,0.00051905+0.0015968i,0.00052725+0.0009567i,0.00034119+0.00062306i,0.00097408+0.00078796i,0.00069565+0.00091309i,-2.9846e-05+0.00071216i,-0.00016427+0.00064391i,0.00025948-6.7214e-05i,0.0007044-0.00062645i,0.00043214+0.00021214i,-0.00014196+0.00090608i,0.00013729+0.00066849i
-0.00052227-0.00048281i,-0.0015544+0.00039366i,-0.0016589-0.00035012i,-0.0014288-0.00045159i,-0.0011559-0.00032355i,-0.0012806-0.00060045i,-0.00059102-0.00053254i,0.00067817-0.00095293i,0.00081206-0.00080991i,0.00071255+0.00047793i,0.00035152+0.00079344i,-6.4066e-05+0.00032055i,-5.0603e-05-0.00038886i,-0.00033147-0.00040799i,-0.0008416-0.00010716i,-0.0010721+0.00012482i,-0.00053623+0.00026796i,0.00016739+0.00032799i,-0.00021376+0.00031174i,-0.00054116-7.7141e-05i,-5.2928e-05-0.00056545i,0.00023231-0.00036714i,0.00056017+0.00051167i
0.00034203-0.0019049i,0.00086078-0.0016758i,0.0012517-0.0013498i,0.00042375-0.0010252i,-0.0004693-0.00071578i,-0.0011036-0.00014729i,-0.00081686-0.0001136i,2.1522e-05-0.00056733i,0.00046416-0.00048374i,0.00096442-0.00029596i,0.0010042+0.00052388i,-0.00033586+0.0007721i,-0.0011606+2.5575e-05i,-0.0012771-0.00032524i,-0.0010367-0.00021598i,6.2488e-05+0.00056368i,0.00046678+0.00096772i,-0.00011135+0.00036566i,0.00019017-0.00012616i,9.0916e-05+0.00038205i,-0.00039578+0.0004757i,-0.00032904-0.00038987i,0.00015947-0.00045755i
0.00026966+0.00074727i,-0.00068145+0.00096356i,-0.0013446-0.00054395i,-0.00085419-0.001751i,-0.00028403-0.0015813i,7.8047e-05-0.00097848i,-0.00012511-0.0014139i,-0.00075124-0.0012776i,-0.00081215-0.00010403i,-2.0805e-05+0.00011316i,0.00034688-7.9035e-05i,0.00051196+0.0002951i,0.0002259+0.00047366i,-0.00056811+0.0003601i,-0.0002875-4.1732e-05i,0.0001438-0.00026613i,0.00014448-0.00012574i,0.00020453+4.0622e-05i,0.00026958+0.00070918i,5.8464e-05+0.00099101i,-0.00024992+0.00035537i,-3.0285e-05+0.00020281i,0.00069663-0.00059328i
