0.00068291+0.00064944i,0.0010579+0.00045996i,0.00084045-0.002054i,-0.00020781-0.003002i,-0.0016622-0.0014691i,-0.0011648+0.00067441i,-0.00032785+0.001993i,-0.00014808+0.0014365i,0.00096759+0.00013248i,0.0017018-0.00053208i,0.0012689-0.00076976i,-1.1941e-05-0.0010866i,-0.00093948-0.00078251i,-0.0013035-0.00022592i,-0.0008385+0.00020064i,-0.00075187-0.00022616i,-0.0010245-0.00021179i,-0.00023494-0.00040735i,0.0010368-0.00057424i,0.0010373-0.00013492i,0.00096858-0.000573i,0.00090045-7.1979e-05i,0.00051307+0.00037354i
-0.0012353+0.00022638i,-0.00071076+0.00053525i,-0.00051551+0.00016851i,-0.0010595+0.00054821i,-0.00094698+0.00044471i,0.00061896-0.00066319i,0.00076235-0.00091629i,-0.0003985-0.00038704i,-0.00050963-0.00044913i,-0.00098492-0.00016876i,-0.0012212-5.6504e-05i,-0.00029402+0.00010525i,0.00070864+0.00090754i,0.00094833+0.00063849i,0.00070904+0.000127i,-0.00015453+0.00027761i,-0.00046971+0.00040491i,0.00015175+0.00018069i,0.00010517-0.00046647i,-0.0001059-0.00017071i,-0.00054901+0.00033972i,-0.00085651+0.00055161i,-0.00030091+0.00033715i
0.00095815-0.0011607i,0.00076396-0.00056877i,0.00068927+0.00038151i,0.00053643+0.00027536i,0.0002345-8.5494e-06i,-0.00058903+0.00035198i,-0.00078902+9.6735e-05i,-0.00075563-4.2162e-05i,-0.00058982+0.0001034i,-0.00041741-0.00013638i,-0.00051267-7.7681e-05i,-0.00089217-0.00030047i,-0.0011341+0.00015414i,-0.00058759+0.00093214i,0.00046496+0.00082199i,0.00070588+0.00094613i,-4.6275e-05+0.0010236i,-5.619e-05+0.00020634i,0.00022914-0.00010144i,0.00012027+0.00013982i,0.00029007+0.00036251i,0.000772+0.0003701i,0.0010896+0.00016195i
-0.000755+0.0012448i,0.00077971+0.0023484i,0.00043699+0.0030925i,0.00013533+0.0025793i,0.00076654+0.0011715i,0.00052947+0.00034677i,-0.00023612-0.00066383i,-0.00080254-0.0011292i,-0.00080544-0.00051124i,-0.00088107-9.6295e-05i,-0.00067291+0.00013665i,-0.00041514+0.00034526i,-0.0002847-0.00058352i,0.00033497-0.00062961i,0.00071669+0.00021477i,0.00081101+3.4967e-05i,0.00038287-0.00016453i,-2.3412e-05-0.00032044i,-7.0232e-05-0.00055739i,-0.00034333-0.00074599i,-0.00026491-1.1636e-05i,0.00025055+0.00049786i,0.00031828-8.2994e-05i
7.9681e-05+0.0024217i,0.00012858+0.0022243i,-0.00032083+0.00080292i,-0.00014159-0.00031509i,4.9236e-05-0.00041015i,0.00069302-0.0010852i,0.00090722-0.0005515i,0.00041909+0.00098918i,0.00063893+0.0011367i,0.0010238+0.00052968i,0.00040259+0.00087899i,-0.0001611+0.0013735i,0.00021354+0.0013736i,0.00055999+0.00051251i,0.00047577-4.9644e-05i,9.5965e-06+0.00032894i,-0.00039871-0.00059675i,-0.0002846-0.00098052i,-0.00030232-0.00074171i,7.0754e-05-0.00090353i,0.00053052-0.00049818i,-0.00036289-0.00050205i,-0.00042304-0.00060151i
-7.8718e-05+0.001106i,-0.00016315+0.00076204i,-7.0048e-05+0.00037901i,-0.00079641+0.00020694i,-0.00043806+0.00061206i,0.00022858+0.00016247i,-0.00027525-0.00023748i,-0.00054178+0.00022366i,-0.00012073+0.00045432i,-9.3456e-05+0.00025044i,-0.00043581-9.5271e-05i,-0.0015991+0.00019804i,-0.0018352+0.00017484i,-0.00079406+7.778e-05i,-0.00027076+0.00016558i,-0.00012858+0.00022535i,-0.00020042+0.00016647i,2.5459e-05+6.3111e-05i,0.00035856-4.284e-05i,0.00058271-0.00026265i,0.00033155-0.0005908i,-0.00040302-0.0009591i,-0.00064308-0.00061707i
0.00031352+0.00079276i,0.00045077+0.0019421i,0.00015097+0.00080271i,0.00036547+0.00066588i,0.00048173+0.0010315i,0.00034703+0.00071265i,-0.00013786-8.0676e-05i,-0.00029219-0.00040993i,-0.00045824+2.0938e-05i,-0.00061764+0.00052396i,-0.00024788+0.00047831i,-0.00030737+0.00018266i,-0.00039283+4.9691e-05i,0.00017419+0.00071659i,0.00078667+0.0011928i,0.00063242+0.0005132i,9.7953e-05-9.2876e-05i,-5.845e-05-0.00024566i,-9.9275e-05-0.0005467i,0.00027723-0.00021869i,-0.00030499+0.00040513i,-0.0010845+7.3083e-05i,-0.00073238-0.00032509i
-0.00066247+0.00043804i,-0.00096346+0.00088972i,-0.0009079+0.00167i,-0.00013678+0.0015034i,-4.0647e-05+0.00083547i,-0.00050878+0.00038752i,-0.00085793+0.00070247i,-0.00050233+0.00066011i,0.00027187+0.00031018i,-1.6504e-05+0.00016012i,-0.00054657-9.4175e-05i,-0.000226-0.0002542i,-0.00043522-0.00036108i,-0.00046812-0.00059882i,5.9967e-05-0.00061846i,-9.8761e-05+2.1152e-05i,-0.00047439+0.00049778i,-0.00051916+0.00071477i,-0.00024725+0.00063016i,-4.9473e-05+0.00051113i,0.00050587+1.3561e-05i,0.0010103-0.00055375i,0.00033187-0.00057854i
-0.00098497-0.0014259i,-0.0011161-0.00020661i,-0.0013493+0.00045106i,-0.0020061+0.0013005i,-0.0012015+0.0018553i,0.00041159+0.0010907i,0.00031347-0.00025538i,2.6454e-05-0.00061218i,-0.00039019-0.00039761i,-0.00064358-0.00046307i,4.3225e-05-0.00044354i,0.00058939-8.3802e-05i,0.00060848-0.00040652i,0.00043232-0.00027387i,0.00053917-0.00036571i,0.00042167-0.00080893i,0.00020099-0.00030804i,0.00080715+0.00025592i,0.00049468+0.00071994i,0.00010502+0.00045545i,0.00022448+0.00026175i,0.00024062+0.00092446i,0.00040464+0.0011075i
0.00065132+0.0035043i,0.0014069+0.0042883i,0.0010641+0.0027934i,0.00096552+0.00093677i,0.0007465+0.00043954i,-0.0002872+0.00025428i,-0.00047857-0.00018233i,-0.0003069-0.00032468i,0.00010408-4.1119e-05i,0.00047077+0.00013929i,-8.4518e-05+9.3316e-05i,-0.00091591-0.0004357i,-0.00062471-0.00071115i,1.923e-05-0.00036766i,0.00090102-0.00040905i,0.00097882-0.00044124i,0.00047205-2.2051e-05i,-0.00035987+0.00010026i,-0.00073854+0.00057432i,-0.00050328+0.00084508i,-0.0002056+0.00099205i,-9.8133e-05+0.00055966i,0.00020406+0.00011286i
0.00045861+0.00045322i,0.00032236+0.00083991i,0.00046881+0.00026932i,0.00071506+9.3821e-05i,0.0011891+0.00069046i,0.00099726-5.4225e-05i,0.0008323-0.00046338i,0.0010522-0.00018334i,0.00089056+7.2211e-05i,-0.00014834-3.3356e-05i,-0.00054362+0.00049883i,-0.00052929+0.00052121i,-0.00082605-7.5532e-05i,-0.00064592-5.7269e-05i,-0.00010759+0.00021341i,0.00027358+8.0011e-05i,0.00046465+0.00037276i,0.0007892+0.0011167i,0.0010592+0.00061204i,0.0014604+0.00026384i,0.0012004+0.00025902i,-6.5246e-05+0.00024663i,-0.00088767+0.0002844i
-0.0012682+0.00047263i,-0.0011191+0.00080868i,-0.0018272+0.00059253i,-0.0015761+0.0013054i,-0.00088815+0.0015122i,-0.000396+0.00010852i,0.00012033-0.00038918i,0.00046962-0.0001869i,-0.00030567+0.00036652i,-0.00020562+0.00051581i,0.00052877-0.00021326i,0.00059392-0.00035913i,0.00077462+0.00043343i,0.0013551-3.1591e-05i,0.0010316-0.0003697i,0.00052789-0.00022233i,0.00014234-0.00054404i,-2.0054e-05-0.00071548i,0.00053502-0.00076522i,0.00070602-0.00015618i,0.00050339+0.00071188i,0.00058245+0.00073554i,0.00032416+0.00030973i
-0.00019906+0.0011797i,0.0012613+0.00057024i,0.0022292+0.0015374i,0.0018073+0.0013504i,0.00099428+0.00038101i,0.00060878-0.00036547i,-0.00011882-0.0013327i,-1.5975e-05-0.0014384i,0.00048815-0.00024058i,-2.9185e-05+0.00019998i,-0.00051506-1.2212e-05i,-0.00068512+0.00010828i,-0.00072196-0.00014685i,-0.00028827-0.0010305i,0.00029226-0.00088099i,-8.4348e-06-0.00067033i,-0.00048206-0.0008932i,0.00013528-0.00067778i,0.00068489-0.00011126i,-8.839e-06+0.00049066i,-0.00076904+0.00035092i,0.00021432-3.2015e-05i,0.00082095+0.00031079i
-1.4828e-05+0.00075628i,4.7087e-05+0.0008864i,0.0011238-0.00047992i,0.00060608-0.00065823i,-0.00039559-0.00014199i,-7.5595e-06+0.00052827i,0.00024507+0.0014757i,6.3681e-05+0.00074782i,-7.4642e-05-0.00025809i,-0.0005933-0.000267i,-0.00085969+0.0002188i,-0.00019504+0.0011886i,0.0002565+0.0010036i,0.00042191+0.00031497i,0.00044298+0.00099067i,0.00010018+0.0010048i,0.00075056+0.0002911i,0.00065636-0.00014564i,0.00069366-4.5688e-05i,0.0003237+0.00030423i,-0.00020575+0.00011456i,-2.7081e-05-0.00020475i,-0.00018884-0.00010002i
-0.00021958+0.0027528i,-0.00088447+0.0032919i,-0.0011886+0.0035591i,-7.3518e-05+0.0024829i,0.00071754+0.00046904i,0.00050299-0.00069076i,0.00021667-0.00082013i,-7.1706e-05-0.00091602i,0.00032808-0.00078328i,0.00033802-0.00048756i,1.8935e-05-0.0012293i,-0.00060459-0.0011504i,-0.00060158-0.0002141i,-0.00053772-0.00049751i,-0.00085399-0.00093304i,-0.00063616-0.0011719i,-0.00024911-0.00092273i,5.4966e-05-0.00017861i,-0.00020994+0.00071249i,-0.00052558+0.00075601i,0.00026751+0.0004193i,0.00028236+0.00011626i,-0.000368-0.00021118i
-0.0019374+0.00034953i,-0.0012837+0.00097872i,0.0003802+0.0014744i,0.0008631+0.0014607i,0.00079953+0.0016368i,0.00095845+0.0019379i,0.00036098+0.001476i,-0.00050564+0.00050379i,-0.00077512-0.00018202i,3.0957e-05-0.00069519i,0.00069796-0.00064545i,0.00025458-0.00052511i,-0.00028024+0.00011958i,-0.00021087+0.0010766i,0.00026253+0.0012779i,0.00047277+0.0010078i,0.00092192+0.00046051i,0.0010048+0.0002142i,0.00026928+0.00051535i,4.4314e-05+0.0012629i,0.0001419+0.00091833i,0.00056474+0.00012389i,0.00050853-0.00033258i
-0.0011475+0.0012264i,-0.00088728+0.0015243i,-0.00041215+0.00077498i,0.0001123-0.00046396i,0.00064804-0.00052128i,0.00084813-7.0836e-06i,0.00086742-0.00017268i,0.00096443-0.00050764i,0.00081932+2.8026e-05i,0.00057849-0.00032303i,0.00089607-0.00097741i,0.001054-0.0003747i,0.0001972+0.00030169i,-0.00079513+0.0004861i,-0.0010538+2.5265e-05i,-0.00060655+2.5955e-06i,-0.00031266+0.00051346i,0.0001947+0.00024745i,0.0012662-0.00037886i,0.0011969-0.00073165i,0.00010032-0.0013619i,9.3992e-05-0.0010708i,0.00055365-0.00013585i
0.00019126+0.00099513i,-0.00012482+0.0013427i,-0.00037895+0.0009292i,-0.00024595+0.00085735i,-0.00011904+0.000109i,0.0003509+0.00010691i,0.00043068+0.00064968i,0.00043227+0.00076124i,0.00079371+3.7846e-05i,0.00012149+0.0001036i,-0.00029905+0.00031694i,7.5321e-05+8.9889e-05i,0.00024518+0.00042746i,0.00025052+6.1246e-06i,0.00085755-0.00016596i,0.00087174-2.7609e-05i,0.00042394-0.00081172i,-0.00017683-0.0014683i,-6.1744e-05-0.0015168i,0.00078533-0.0010358i,0.00063994-0.00035926i,-7.4403e-05+0.00054198i,-0.00051849+0.00062241i
-0.00028395+0.00021955i,-0.00028397-0.00047886i,4.2742e-05-0.00071261i,-0.00040112-0.00055774i,-0.00049231+0.00013366i,0.00013667-0.00044023i,0.0001848-0.00056511i,-0.00023815+6.084e-06i,-0.00023309+1.3177e-05i,-0.00050753+0.00013024i,-0.00097025-0.00024507i,-0.00081008-0.0011399i,-0.0010392-0.0010332i,-0.0021659+8.5711e-05i,-0.0019026+7.8584e-05i,-0.00062073-0.0005459i,6.4549e-06-0.00059875i,-0.00010921+0.00019887i,-0.00053927+0.00011836i,0.00019185-0.00043091i,0.00033513-0.00024729i,-0.0002278-0.00033922i,1.7201e-05-5.1656e-05i
-0.0013576+0.00015107i,-0.0010668+0.00048646i,4.7051e-05+0.0013705i,0.00050887+0.0016159i,0.00048718+0.0015483i,0.0002437+0.00039435i,-0.00033082-0.0012241i,-0.000715-0.0012995i,-0.00031615-8.5341e-05i,-6.6037e-05+0.00094903i,-4.991e-05+0.00072674i,-0.00018366+0.00021747i,-0.0007005-0.00012062i,0.0002034-4.9439e-06i,0.0010385+0.00045746i,0.00032735+0.0008676i,-0.00051416+0.00065262i,-0.0003794+0.00047704i,-0.00018638+0.00025969i,-0.00050806-0.00022609i,-0.00037775-0.00022954i,9.268e-05+0.00066235i,-0.0004302+0.00060744i
-0.00017266+0.0016203i,0.00042816+0.0013579i,0.00049743+0.0011954i,-4.7126e-07+0.00063208i,-0.00016708+0.00012298i,0.00025115+0.00017377i,0.00033724-9.3252e-05i,-0.00068955-0.00035049i,-0.0014005-0.00036156i,-0.00066981-0.00027764i,-0.00027543-0.00041203i,-0.00033238+2.0315e-05i,-0.00015985+0.00022666i,-0.00049573-0.00028952i,-0.0001749-0.00097774i,-0.00011373-0.0011043i,-0.00032107-0.00086701i,3.903e-05-0.00090622i,9.4872e-05-0.0007559i,0.0002468-0.00054377i,0.00066635-0.00047057i,0.00096167-0.00039633i,0.0011199-0.00044454i
-0.0010435+0.0010291i,-0.00052883+0.0012866i,3.6595e-05+0.00041407i,-2.1713e-05-5.0694e-05i,0.00038843+0.00055694i,0.0014467+0.0012518i,0.0015795+0.0010068i,0.00077409+0.00050085i,0.00062936+0.00010953i,0.00066479-0.00055041i,6.8259e-05-0.00080429i,-0.00020599+0.00024917i,-0.00031068+0.0010059i,-6.9964e-05+0.0005275i,0.00057329+0.00056361i,0.00042565+0.00058302i,-0.00033734-7.8138e-05i,-0.00059017-0.00036099i,-0.0003589-0.00015457i,8.7804e-07+7.964e-05i,-0.00028093-0.00063967i,-0.00050799-0.00020651i,-0.00032107+0.00063485i
0.00025817+0.00083915i,0.0015998+0.0020599i,0.0012492+0.003i,0.00097679+0.0023526i,0.00072322+0.0010704i,-5.587e-05-0.00034794i,-0.00023636-0.0006332i,-1.736e-05-0.00043648i,0.00020626-0.00030753i,0.00059404-0.00081582i,0.0012795-0.0011705i,0.0013877-0.00080182i,0.0011833-0.0003929i,0.00047811+0.00025626i,0.00016923-0.00070753i,0.00014748-0.0016946i,8.1868e-05-0.0011939i,0.0004889-0.00032674i,0.00086663-0.00011558i,0.00057983+0.0001111i,-0.00023729+0.00055761i,-0.00033104+0.00090741i,0.00047722+0.00081125i
-0.0013153+0.0019155i,-0.0010192+0.0020561i,-0.00047854+0.0014275i,-3.9365e-05+0.0012429i,-5.06e-05+0.0011073i,-0.00036272+4.5576e-05i,-0.00040189-0.00042477i,-0.00016285-0.00048057i,8.7414e-05-5.8287e-05i,-0.00017683+0.00057542i,-4.4268e-05+0.00042005i,0.0006817+0.00010244i,0.0012865+0.00018178i,0.00090169+0.00022659i,0.00051856-0.00051963i,0.00070535-0.00061793i,0.00043043-0.000104i,0.0002406+0.00017859i,0.0007046+0.00040387i,7.2192e-06-0.00020274i,-0.00060606-0.00076733i,-0.00013857-0.00052949i,4.4255e-05+0.0002494i
-2.2385e-05+0.0010139i,0.00072165+0.0016102i,0.0013826+0.0021575i,3.1504e-05+0.0014367i,-0.00051677+0.00024638i,-0.00024963-3.1976e-05i,2.8634e-05+3.8763e-05i,-0.00010961-0.00013838i,-0.00020103-0.00024729i,-0.0007863-4.4265e-05i,-0.00070831-0.0007074i,3.2547e-05-0.0013137i,-0.0001081-0.0007076i,0.00033075-0.0003923i,-7.3385e-05-9.1765e-05i,-0.0013066+0.00059929i,-0.00050378+0.00047487i,0.00045244+8.2232e-05i,0.00025519+0.00022279i,-7.7997e-05+0.00026123i,0.00027841+0.00067975i,-0.00044585+0.00066192i,-0.00096639+0.00017136i
6.3165e-05+0.00045495i,6.8437e-06+0.0013014i,-0.00031645+0.0016007i,-9.3964e-05+0.00057056i,0.00023038-0.0007088i,9.6074e-06-0.00048993i,-0.00034381-9.2689e-05i,-0.00056741+0.00015035i,-0.00044505+0.00033582i,-0.00012578-0.00058185i,-0.00022583-0.00043878i,-0.00014402+0.00062181i,0.00021679+0.00082141i,0.00039559-0.00021246i,0.00066824-0.0012372i,-0.00013324-0.00067712i,-0.00045804+0.00012854i,0.00069856-0.00017535i,0.00070939-0.00025055i,-4.0676e-05-0.00051192i,0.00037948-0.00099299i,0.0010087-0.00043216i,0.00064739+8.1373e-05i
-0.0009417-0.00099396i,-0.00086639-0.00071808i,-0.00096259-0.00033138i,-0.00032284+0.00024414i,0.00014974+0.00063563i,2.5422e-05+0.00061578i,0.00044637+0.00010385i,0.001722-1.9273e-05i,0.00090371+0.00036827i,9.6316e-05-0.00028493i,0.00059834-0.00078005i,0.00083249-0.00080976i,0.00085091-0.00051713i,0.00041447-0.00032793i,0.00063584-0.00095057i,0.0011157-0.00066609i,0.00043238-0.00044807i,-0.00052197-0.00031613i,-0.00050143-0.00023427i,-0.00025598-0.00034887i,-0.00029852-0.0006627i,-0.00034034-0.00077052i,-0.00037939+8.4708e-05i
0.00038461+0.00035853i,0.00015082+0.00033501i,-0.00053845+0.0017013i,0.00041302+0.0018236i,0.00095963+0.00051275i,0.00017231-7.0957e-05i,-1.7679e-05+0.00019957i,1.9283e-05-5.9482e-05i,-7.648e-05-0.00026571i,-0.00034618+0.00023003i,-0.00030467+0.00031955i,-5.3214e-05+0.00014594i,0.00011585-0.00018065i,0.00098499-0.00017777i,0.0012131+0.0001971i,0.0002404-0.00040852i,-0.00065739-0.00092901i,-9.4572e-06-0.00055745i,0.0005259-0.0001375i,0.00023188+0.00083032i,-0.00016283+0.00098601i,-0.00014954+0.0001806i,-1.6627e-05-0.00068028i
8.6429e-05+0.0012955i,0.0002517+0.0012923i,0.00092739-0.00038301i,0.00026633-0.00081761i,4.4022e-05-0.00081628i,0.00052407-0.00080046i,0.00033814+9.7328e-05i,0.00054189+0.00096639i,0.00062883+0.00082128i,8.7873e-06-0.00020812i,-0.00052048-0.0015077i,-0.0014366-0.0012978i,-0.00089184-0.00034632i,0.00024941-0.00064324i,-8.2883e-05-0.00051207i,2.4959e-06+6.2935e-05i,-0.00010885+0.00031929i,-4.4557e-05+0.00046762i,3.6379e-05+0.0002119i,4.9715e-05-0.00063778i,0.00051558-0.0010228i,0.001161-0.00066593i,0.0010385-0.0003758i
-0.0016896+0.0016012i,-0.001531+0.0028108i,-0.0010076+0.0024099i,0.0001868+0.0018647i,0.0010053+0.001508i,0.0014009+0.00081665i,0.00083735+0.00082264i,3.1299e-05+0.00030928i,0.00038918-0.00076942i,0.00036287-0.00055704i,-0.00012397-0.00020503i,-0.000366-9.6551e-05i,-0.00017726+7.7584e-05i,0.00067101+0.00020002i,0.00086346+0.00013916i,0.00029578-0.00016575i,0.00040753+2.4016e-05i,0.00045557+0.00030728i,-0.0002113+0.00031743i,-6.793e-05-0.00022238i,0.0012596-0.00050504i,0.0008048+0.00039715i,-4.8479e-05+0.00025107i
-0.0023344+0.00018722i,-0.0017397+0.0010674i,-0.0018806+0.00025644i,-0.00092587+2.8554e-05i,0.00057772+0.00093076i,0.0013045+0.00042104i,0.0010612-0.00072235i,-7.1811e-05-0.00098667i,-0.00072548-4.9624e-05i,-0.00057221+0.000646i,-0.00028633+0.00036509i,0.00034363-0.00037817i,0.00062556-0.00068303i,0.00031399-0.00029758i,0.00020819+0.0005181i,-1.7033e-05+0.00038156i,0.0001899-0.00076995i,7.2382e-05-0.0010966i,-6.7503e-05-0.00058402i,0.00012355-3.361e-05i,-3.1176e-05+0.00041219i,-0.00015034-0.00014776i,0.00024388-0.00089599i
-0.00089395-0.0002827i,-0.0011087-4.019e-05i,-0.0010267-0.00031352i,-0.0011413-0.00057842i,-0.00075283-5.5392e-05i,-0.00039156+0.00015512i,0.00032499+0.00030457i,0.00096579+0.00041899i,0.00044366-4.6486e-05i,-0.00042701+0.00040317i,-0.00029851+0.00071849i,-0.00022823+0.00069177i,-0.00069415+0.00079654i,0.00017745+0.00062349i,0.0007051+0.00025543i,3.5431e-05+0.00069i,0.00015736+0.00051199i,0.00031225-0.00064181i,0.00039014-0.0012795i,0.00053976-0.00060607i,-0.00012781-0.00029482i,-0.00080172-0.00063633i,2.7606e-05-0.00047386i
