-0.0011968-0.00045958i,-0.0010334+4.6413e-05i,0.00033421+0.00054837i,0.00061569-0.00013592i,0.00089511-0.00066517i,0.00090387-0.00036487i,0.00057965-0.00037035i,0.00083434-0.00018921i,0.00079084-3.3666e-05i,0.00055931-0.0001799i,0.00017544-0.00010063i,-0.00028551-0.0003956i,-0.00042874-0.00090138i,-0.00025956-0.00082379i,-1.6065e-05+0.00013072i,6.1085e-06+0.00088032i,-9.9439e-05+0.0005068i,-0.00029047+0.00010046i,-0.00041346+0.00022112i,-0.0002531+0.00046425i,-0.00057393+0.00054045i,-0.0004239+0.00074817i,5.353e-05-0.00020288i
0.0012253-0.0017105i,-0.00035415-0.0014699i,-0.00081134-0.0026002i,-0.0011289-0.0030573i,-0.0010111-0.0015949i,-0.00085436-0.0002709i,-0.00039107+0.00037407i,0.00024449+0.00037365i,0.00052196+4.2741e-05i,0.00034001-0.00038465i,0.00016916+5.0171e-05i,-0.00083285+0.0011819i,-0.0016887+0.0014402i,-0.0011419+0.00089481i,-0.00083671+0.00085956i,-0.0012436+0.00076631i,-0.0011219+0.00031731i,-0.00069371+0.00015282i,-0.00025157-0.00024857i,0.00029971-0.00032314i,5.3011e-05-0.00029557i,-0.00037494-0.00021617i,-0.00019323+0.00057935i
-0.00094246-5.9581e-05i,-0.0014296+0.00013016i,-0.001472+0.0017231i,0.00021875+0.0026192i,0.0012667+0.0022176i,0.0011798+0.0016743i,0.00077472+0.00067775i,0.00015961-0.00082924i,0.00016703-0.0005025i,0.00084882+0.00027661i,0.00099682+0.00063347i,0.00062943+0.00075473i,0.00057681-0.00024216i,0.00022417-0.0006975i,-3.1096e-05-0.00056635i,0.00028821-0.0011506i,0.00021022-0.00087324i,0.00012295-0.00046242i,0.00056502-0.00095461i,0.00037544-0.0010431i,-0.00019303-0.00073084i,-0.00040658-0.00038201i,0.00019017-0.00011411i
0.00080903-0.0010553i,0.00064916-0.00096593i,-0.00022187-0.00026353i,-0.0011405+0.00055051i,-0.00048631+0.00054079i,0.00055514-4.667e-06i,0.00081688-0.00081867i,0.00060101-0.00078069i,0.00092648-0.00026531i,0.00091888+0.00022587i,0.00041234+0.00043285i,0.00029816+0.00035983i,-0.00013967+0.00068518i,-0.00047016+0.00053496i,0.00022292+0.00017375i,6.7656e-05+0.00037095i,-0.00057552+0.00021206i,-0.00063531-0.00034194i,-0.0003146-0.00091242i,-4.1577e-05-0.0008355i,-5.62e-05-0.00040892i,4.7023e-06-2.5251e-05i,0.00060966+0.00047118i
-0.0008189+0.00019541i,-0.00026014+7.7688e-05i,-0.00016859-0.00021054i,9.4411e-05+0.00028221i,-7.8483e-06-7.0014e-05i,-0.00026319-0.00053728i,-0.00065952+0.00017461i,-0.00025112+0.00053465i,-2.9036e-05+0.00083678i,-0.00011987+0.00060415i,-9.6913e-05+0.00016301i,0.00045909+0.00020892i,0.0012319+0.00014834i,0.0010135+5.1329e-05i,0.00012649-0.00051238i,-0.00020477-0.00097865i,0.00012373-0.00073361i,-0.00022315-0.00015171i,-0.00049998+0.00013936i,-0.00026587+0.00026791i,0.00029193+0.00039232i,0.00012076+0.00092614i,-0.00046052+0.0014233i
-0.0026919-0.00048204i,-0.0023035-0.0006694i,-0.0028347-0.00043571i,-0.0021425+0.0002795i,-0.00079498+0.0014188i,-0.00064749+0.0015483i,-0.00042551+0.00035953i,0.000413+0.00012173i,0.00027477+0.0007186i,0.00035348+0.00070784i,0.00096771+0.0007668i,0.00096655+0.00075659i,0.00043173+0.00017487i,0.00023274-0.00055225i,0.00020315-0.00047398i,0.00017987-0.00026544i,2.3001e-05-0.00022529i,-0.00064274+6.4758e-05i,-0.00061769+0.00061487i,-0.00024325+0.00072902i,-0.0005917+4.2657e-05i,-0.00082839-1.0839e-05i,-0.0009879+9.8628e-05i
-0.00049607+0.0013843i,-0.00049347+0.00045468i,8.7156e-05+0.00077781i,0.00058944+0.0011784i,0.0012694+0.00052196i,0.001376-0.00025019i,0.00075751-0.00015142i,0.00052302+0.00017613i,0.0002551+0.00073584i,0.00061985+0.00023428i,0.0012385-0.00010059i,0.00071212-0.00013278i,0.00028705-0.00069423i,0.00014967-0.00073134i,-8.5602e-07-0.00084549i,-0.00082695-0.00043793i,-0.0010576+0.00029176i,-0.00042741-0.00022351i,-0.00093632-0.00029199i,-0.0013674-0.00025268i,-0.00057139-0.0002782i,0.00075483+0.00010678i,0.0007465-0.00018526i
-0.00062661-0.0010352i,0.00022058-0.00085026i,0.00036941-0.0012776i,-0.00011249-0.0012531i,0.00040603-0.00059371i,0.0013453+0.00072295i,0.0012738+0.00048574i,0.0003689-0.00028032i,0.0001128-0.00028677i,0.00058916-0.00056569i,0.00072415-0.00065007i,0.00022658-0.00065345i,9.5843e-06-0.00085689i,-0.00026902-0.00041388i,-0.00065484-0.00015927i,-0.0011433+5.7506e-05i,-0.00099031+0.00071263i,-0.00010233+2.7774e-05i,0.00025002-0.00061888i,-0.00044857-0.00024035i,-0.00082448-0.00041152i,-0.00036433-0.0010411i,-0.00034621-0.0013814i
0.0022691-0.0012599i,0.0024871-0.0013472i,0.0020185-0.00097013i,0.0014027-0.00012284i,0.00083969+0.00036976i,8.991e-06+0.0010409i,0.00015701+0.0013513i,0.00074266+0.0010509i,0.0010304+0.00065045i,0.00063064-7.7388e-05i,0.00037597-0.00064638i,-0.0002327-0.00060543i,-0.00030229-0.00017631i,-0.00055626+0.00042874i,-0.00080585+0.00017359i,-0.00062286-6.8631e-05i,-0.00068616+8.2003e-05i,-0.00010719-0.00051251i,5.5096e-05-0.00060791i,-9.4979e-05-0.00029769i,-0.0002433-4.8951e-05i,-0.00075879-0.00015864i,-0.00095104-0.0001931i
0.0014162+0.00066163i,0.0015723+0.00028786i,0.002312+0.00027086i,0.0024547+0.00034946i,0.0014075-0.00053794i,0.00061437-0.00084298i,0.0008255-0.00033105i,0.00087936-0.00030579i,0.00066177-6.9331e-05i,0.00099859+0.0007647i,0.00065477+0.0002887i,-0.00021452-0.00016401i,9.4207e-05-0.00011122i,0.00057976+0.00031648i,0.00058992+0.00069824i,0.00030457+0.00052156i,-0.00012919+9.0064e-05i,-0.0001575-0.00038659i,0.00056043-0.00040133i,0.0009683+0.00012752i,0.00085209+0.000455i,0.00031666-9.2851e-05i,-0.00043632-0.00081841i
-0.00069464-0.00064118i,6.9563e-05-0.00075473i,0.00061691+6.5895e-05i,0.00021146+0.00024986i,0.00063642+0.00046322i,0.00075381+0.00014702i,2.734e-05-0.00065634i,-0.0003373-0.00057285i,0.00071235-0.0006587i,0.001509-0.00047585i,0.00088907+0.00048334i,0.00033191+0.0011999i,0.00070057+0.00092986i,0.00034086+0.00090239i,-0.00048114+0.00052972i,-0.00078106-0.00026106i,-0.00098397-0.00023162i,-3.5353e-05+0.00048907i,0.0010017+0.00081187i,0.00056196+0.00057835i,-0.000628+0.00024566i,-0.00061337+0.00071421i,-0.00016237+0.00067007i
0.000204+0.00069913i,0.00060865+0.00037949i,0.00046625+0.00051675i,0.00053072-0.00017093i,0.00051256-0.0011385i,0.0011604-0.0010897i,0.00065026-0.00087092i,0.00015317-0.0002303i,0.00047775+0.00051616i,0.00051693+0.0006129i,0.00035044+0.00019966i,-0.00057596-1.099e-05i,-0.00054737-0.00039341i,0.00021737-0.0005733i,-4.8145e-05-0.00065104i,-0.00057961-0.00044359i,-0.00065154+0.00019579i,-0.00077925-0.00018071i,-0.00021305-0.00081049i,0.0003555-0.00080161i,0.00095585-0.00020451i,0.00087954+0.0002441i,0.00057113-0.00012392i
