-0.0055455-0.000246i,-0.0030152-0.00056221i,-0.0031048+0.00015812i,-0.0028489+0.0013603i,-0.0026372+0.0028681i,-0.001996+0.0018215i,-0.00086537+0.00092625i,-0.00016831+0.0015556i,0.00015999+0.0020122i,0.00060838+0.0016194i,0.00027511+0.00078977i,-0.0001238+0.00042982i,-0.00024306+0.00022058i,-0.0011411-0.0001496i,-0.0013199+0.00014207i,-0.00072386+0.00024818i,-0.00067351-0.00025418i,1.0039e-05+0.00024651i,0.00061804+0.00057127i,0.00040136+0.00037685i,0.00017237-0.00041104i,0.00027976-0.00043925i,0.00031631+0.00020926i
0.00098337+0.00093788i,0.00078386-6.3808e-05i,0.00079879-0.00076817i,0.0004098-0.00038675i,6.1079e-05-0.00063757i,-0.00030023-0.0008454i,-0.001017-0.00085857i,-0.00099035-0.0010832i,-0.00010097-0.00099169i,0.00019336-0.00042349i,-0.00025424-0.00053357i,-0.00064887-0.00039594i,-0.00084479+0.00011616i,-0.00073451+7.9842e-05i,-0.00064713-0.00014781i,-0.00034056+0.00015728i,-0.00041988+0.00088441i,-0.00054175+0.0011204i,-0.00064957+0.0014736i,-0.00062808+0.001684i,-0.00019003+0.00079892i,0.00022484-3.7882e-05i,7.2573e-05+5.4965e-05i
-0.0019282+0.0015896i,-0.00070931+0.0015599i,-0.00031486+0.00077033i,-0.00013615-0.00073522i,0.00016613-0.0013193i,0.00012604-0.0011365i,-0.00027985-0.00066892i,-0.00026878-0.0001482i,2.2582e-05+0.00055845i,0.00059759+0.00079016i,0.00093048+0.00071216i,0.0010891+0.00025508i,0.00028996-0.00050756i,-0.0005868-0.00073696i,0.00014023-0.00025676i,0.00058685+0.00071888i,-0.00063549+0.00078791i,-0.00074772+0.00028103i,-0.00014127+0.00038042i,2.3244e-05+0.00095013i,-0.00014829+0.00092257i,-0.00033223+7.5312e-05i,-2.7225e-05+8.059e-05i
0.0020717-0.00074493i,0.00099068-0.0010539i,0.00097448-0.001623i,0.00020726-0.0022739i,-0.0015402-0.0021724i,-0.0019583-0.00090366i,-0.0014473+0.00018777i,-0.0013104-0.00069355i,-0.0010898-0.00098083i,-0.00064097-0.00028178i,2.9458e-05-0.00014979i,0.00062488+0.00014939i,0.00089672+0.0011716i,0.00014779+0.00088612i,-0.00043903+6.4503e-05i,0.00028574+0.00045458i,0.00053534+0.00054767i,0.00023162-0.00053523i,0.00025628-0.00055545i,0.00042761+0.00048215i,0.00056271+0.0014247i,1.2552e-05+0.00048848i,-0.00032967-0.00082461i
0.00047631+0.00087327i,0.00071455-0.0015789i,2.6361e-05-0.0022004i,-0.0015393-0.000947i,-0.0016969-0.00047966i,-0.001561-0.00036387i,-0.0011192-0.00026135i,-0.001028-8.1382e-05i,-0.0013206+0.00011909i,-0.0010137-0.00018703i,-0.00088201-0.00032263i,-0.00048469-0.00020615i,0.00033885-0.0002257i,0.00074387-0.00035157i,0.00055351+0.00018573i,-0.00010257+0.00079164i,-2.3688e-05+0.00064948i,0.00016371+0.00020712i,-0.00022159-0.00026817i,-0.00060484-0.00023198i,-0.00010711+0.00028253i,0.0002547+7.6106e-05i,0.00010534-0.00025102i
-0.0019156+0.0033598i,0.0010738+0.003022i,0.0028379+0.0026372i,0.0035253+0.0027479i,0.0029377+0.0019819i,0.0011351-0.00073872i,-0.00041843-0.0018767i,-0.00093851-0.0010069i,-0.00065719-0.00029605i,-0.00012201+3.5608e-05i,8.2598e-05-0.00049423i,0.00020218-0.00065757i,0.00037262-0.00039557i,-0.00061438+0.00034752i,-0.0013222+0.00040785i,-0.00094146-0.00027184i,-6.7349e-05-0.00068556i,0.00012116-0.00090463i,0.00018702-0.0012228i,-4.9537e-05-0.00061959i,-0.00075048+8.1019e-05i,-0.00069983-0.00054771i,-0.00019965-0.00068098i
-0.0014885-4.4785e-05i,-0.0010727-8.8171e-05i,-0.00028253+0.00081485i,-0.00027011+0.00086024i,-0.00083954+0.00018032i,-0.0010407-0.0006651i,-0.00055427-0.0012869i,-0.00022728-0.0010537i,-0.00048164-0.00037621i,-0.00040017+0.00029636i,0.00015149+0.00019162i,0.00027957-0.00022073i,0.00012516-0.00046755i,4.3151e-05-0.00075398i,0.00021798-0.00091189i,0.00026462-0.0003981i,-0.00018005-0.00020099i,-0.00044524-0.00095395i,-0.00044672-0.00096998i,-0.00075365-0.00043536i,6.6095e-05-4.2375e-05i,0.0008639-0.00017928i,0.00055534+6.9052e-05i
0.00059703-0.00044719i,0.00099784+0.00023173i,5.4763e-06-0.00063245i,-0.0013696-0.0019115i,-0.0015251-0.002028i,-0.0014728-0.0012757i,-0.00070516-0.00060293i,9.8843e-05-7.7014e-05i,-8.807e-05+0.00013782i,-0.00092704+0.00012182i,-0.0016252-4.8633e-05i,-0.0014957-0.00018711i,-0.0002887-0.00061869i,0.00044414-0.00044324i,0.00031577+0.00027839i,0.0005649+9.9171e-05i,0.00083526-0.00011213i,0.00030716+0.00015263i,-0.00062745+0.00024034i,-0.00066198-0.00020889i,0.00015417+0.00028465i,0.00071454+0.0010618i,0.001041+0.00035462i
0.00084768-4.4693e-05i,0.00074003-0.00066429i,0.0011794-0.00064652i,0.0011637-0.00049641i,0.00083726-0.0007841i,0.0001763-0.0014907i,-0.00098626-0.0010091i,-0.00096226-0.00016509i,-0.00025254+0.00010438i,-0.00014969+0.0001322i,-0.00052422-0.00020413i,-7.8948e-05-0.00017228i,9.8347e-05+0.00010893i,0.00010568+0.00021746i,-0.00026213+0.00014933i,6.9355e-05+1.3215e-05i,0.0011161+0.00050379i,0.00081972+0.0011789i,0.00016322+0.00090223i,0.00024078+0.00061879i,-0.00010573+0.00069544i,-0.00035693+0.00063431i,6.9202e-06-0.00018403i
0.001698+0.0035921i,0.0017053+0.0013086i,0.0012743-0.00050616i,0.0013174-0.0019017i,0.0014681-0.0034696i,-0.00010828-0.0037819i,-0.0014106-0.0022221i,-0.0015117+0.00041517i,-0.0014509+0.00093048i,-0.0012098+2.7614e-05i,-0.00020878-0.00012715i,-0.00010078-0.00014432i,-0.00088324-0.00055577i,-0.00086652-0.00087485i,-0.00043004-0.00036497i,-0.00024096+0.00077679i,-0.00038305+0.0010111i,-0.00055672-5.2631e-05i,-0.00036819-0.0004453i,4.5876e-05-0.00057136i,-9.2709e-05-0.00099519i,-9.7091e-05-0.0011829i,7.5999e-05-0.0010867i
0.00093482+0.0015509i,0.0011768+0.002317i,0.0016309+0.0013873i,0.00098918-0.00018371i,-0.0001828-0.0010798i,-0.0012507-0.001223i,-0.0013746-0.00067688i,-0.0010164-0.00031167i,0.00017302-0.00032399i,0.00098239-0.00027702i,0.00026734+0.00024872i,0.00014293+0.00086371i,0.00029359+0.0014468i,-0.00043102+0.0011134i,-0.00068864+0.00022847i,-0.00046299+2.72e-05i,-0.00023515+0.00056852i,-0.00064641+0.00045952i,-0.00088187+7.2869e-05i,-0.0003877+0.00043734i,0.00027408+0.00046416i,0.0009568+0.00052981i,0.00080822+0.00056759i
-0.00044115+0.00034497i,-0.0012156+0.00041998i,-0.0019857-0.0001269i,-0.00099445-0.00078358i,0.00020674-0.0005688i,-0.00046955-0.00086717i,-0.00018656-0.0013857i,0.00036275-0.00086055i,-0.00084795+0.0006404i,-0.0012445+0.0015503i,-0.00054303+0.0014562i,-0.00077058+0.00097838i,-0.0011891-8.3786e-05i,-0.00043907-0.00082977i,-0.00078296-0.0012442i,-0.0010706-0.00087974i,-0.00014131+8.127e-05i,0.00027697+0.00083327i,0.00018333+0.0011119i,0.00061829+0.00039773i,0.00052704-0.00062122i,-0.00027686-0.00064633i,-0.00054165-0.00030862i
0.0003888+0.0010265i,0.00099363+0.00077492i,0.00072266-0.00021025i,-0.00091017-0.00090844i,-0.0018755-0.0013361i,-0.00099939-0.0012217i,-0.00063737-3.1066e-05i,-0.00052222+0.00056609i,-0.00036948+0.0003609i,-0.00021349+0.00069765i,0.00046254+0.00044711i,0.00044071-0.00042813i,5.2362e-05-0.000542i,0.00011961-0.00037084i,0.00046258-3.2413e-05i,0.00054687+0.00021507i,0.00016444-0.00040105i,-0.00024285-0.00042604i,-0.00034552+0.00063145i,-9.2113e-05+0.00086603i,-0.00016691+0.00034737i,-0.00032563+0.00034753i,0.00016156+0.00025377i
3.0477e-05+0.00043731i,0.00026361+0.00018405i,0.0013737-0.00015068i,0.0011352-0.00075065i,0.00043025-0.0010891i,-0.00058347-0.00070985i,-0.0016255+3.49e-05i,-0.001555+0.00081348i,-0.00080249+0.0010644i,-0.00025365+0.00046298i,0.00011245+0.00027758i,-0.00031608-0.00030728i,-0.00055914-0.00082729i,-0.00017718-0.00032178i,-0.00044027-0.00016533i,-0.00051712-0.00025851i,-9.2592e-05+0.0001641i,0.00015082+0.00052893i,0.00019409+0.00039942i,0.00014253+0.00059645i,-0.00057068+0.00029275i,-0.00047743+0.00045608i,0.00024402+0.00022466i
9.1084e-05-0.0022645i,-0.00011927-0.0023189i,-0.00062749-0.0022074i,-0.001381-0.0024242i,-0.0021253-0.0022618i,-0.0021634-0.0014743i,-0.0011517-0.00074246i,-0.00078191-0.0004828i,-0.00050507+0.00027319i,-0.00027946+0.00069535i,-0.00018891+0.00023898i,-7.5187e-05+0.00014041i,0.00013815+0.00021566i,0.00047628+8.4332e-05i,0.0003795-0.00063775i,-2.4565e-06-0.00031742i,-0.00073098+0.00053913i,-0.00051085+0.00026324i,8.7929e-05+0.00014741i,0.00016792+0.00045266i,0.00048378+0.00050314i,0.00061241-0.00011101i,-0.00021578-5.4821e-05i
0.0011863-0.00062456i,0.0005092-0.0014806i,-2.0473e-05-0.0016652i,-0.00056204-0.0012707i,-0.00021393-0.0010214i,-0.00014131-0.00039993i,-0.0001581-0.00020953i,-7.5087e-05-0.00031321i,-0.00026297+0.0002764i,-0.00066585+0.00045524i,-0.00059589-0.00017152i,6.9661e-05-0.00014378i,7.6633e-05-3.8105e-05i,0.00050299+7.5869e-05i,0.00055063-0.0001369i,0.00033686-0.00010785i,-1.9731e-05+3.5236e-05i,-0.0003912-0.00014872i,-1.9476e-06-5.5862e-05i,9.4744e-05+0.00057575i,-3.2314e-05+0.00070394i,-0.00029025-2.2503e-05i,-0.0007853-0.0003568i
0.0012727+0.002394i,0.00073874+0.0013823i,0.0011878-0.0011623i,0.00091845-0.0026911i,-0.00021534-0.0019568i,-0.00059974-0.00086434i,-0.0006302-0.00060432i,-0.00090559-0.00062466i,-0.0010155-0.00067997i,-0.00038472-0.00078122i,0.0002673-0.00014201i,0.00062697-9.5232e-05i,0.00024726-0.00071349i,-0.00074692-0.0011304i,-8.6021e-05-0.0011815i,0.00089417-0.00074675i,0.00102+0.00054007i,0.001026+0.0017897i,0.00060845+0.0013388i,0.00085827+0.00016996i,0.00085193+0.00044456i,-6.5589e-05+0.0006204i,-0.00072948+0.00029283i
-0.0014382+0.0012853i,-0.00048791-0.00020469i,-0.00043084+0.00086522i,-0.0006866+0.0018821i,-0.00086259+0.00065146i,-0.0012558-0.00099543i,-0.0012479-0.001158i,-0.00050754-0.00046849i,-0.00075345+9.9772e-05i,-0.0011669+0.00074375i,-0.00064269+0.0011677i,0.00022482+0.0007787i,2.9622e-05+0.00011389i,-0.00057572+0.00031766i,-0.00039546+0.00034127i,-3.5536e-05+4.2984e-06i,0.00012346+0.00034429i,0.00038733+0.00065452i,0.00084137+0.00090614i,0.00029682+0.0010559i,-6.2455e-05+0.00056864i,-2.222e-05+0.00075546i,-0.00024333+0.00072214i
-0.00061123-0.0027573i,-0.00011391-0.0025556i,-0.00065876-0.0020518i,-0.0014605-0.00106i,-0.0015463-0.0009484i,-0.00096154-0.00098323i,-0.00058101-0.00040911i,-0.00086476+3.0195e-06i,-0.00026418+0.00032388i,0.0005194+0.00040914i,0.00032607+0.00058288i,0.00051649+0.0004533i,0.00041124+0.00026098i,-0.00022813+0.00023964i,0.00030292+0.00068295i,0.00018019+0.00068936i,5.8551e-05+0.00024054i,0.00062221-0.00013158i,0.00039717-0.00017561i,0.00016447-0.00042317i,-0.00023623+5.7308e-05i,-0.00075307+0.00016984i,0.00013868-0.00078456i
-0.00021972-0.00043755i,-0.00079381-0.00024149i,-0.0020421-0.00095363i,-0.0018038-0.00026762i,-0.0018444+0.0007904i,-0.0013108+0.00050049i,-0.0001042-4.8096e-05i,-0.00019588+0.0002296i,-0.00040885+0.00046072i,0.00024699+0.00071224i,0.00065608+0.001379i,0.0006739+0.0013209i,0.00063819+0.00065433i,0.00010676+0.00035737i,-0.00034683+0.00031708i,-0.00014746+0.00061138i,7.0488e-05+6.1904e-05i,0.00031922-0.00046622i,0.00043952+3.9788e-06i,9.5706e-05+0.00023298i,0.00012499+0.00038716i,-7.0472e-05+0.00020609i,-3.0244e-05-0.0001712i
0.00044036+0.0036052i,0.0011937+0.0025119i,0.0025955+0.0016546i,0.0030552+8.5994e-05i,0.0019223-0.00088388i,-5.9894e-05-0.0015403i,-0.0008669-0.0014131i,-0.0010292-0.0005966i,-0.0013637-0.0003711i,-0.0010045-0.00038624i,-0.00099956-4.9697e-05i,-0.0016745+0.00013141i,-0.0013569-0.00011174i,-0.00069272-0.00040743i,-0.0002245-0.00086466i,0.00012517+2.3826e-05i,-5.4422e-05-7.0827e-06i,-0.00012375-0.00070491i,0.00045145-2.4542e-05i,0.00068243+0.00071971i,0.00018418+0.00021461i,-0.0001559-0.00020807i,-0.00047322+0.00045028i
-0.0012763+0.00054663i,-0.0017863+0.00029859i,-0.0012584+0.00058466i,-0.00075049+0.00079048i,-0.0013394+0.00071533i,-0.0020448+0.00019404i,-0.0020734-0.00045287i,-0.00092968-0.00052179i,-0.0004652-6.4755e-05i,-0.0007762+0.00061529i,-0.00056089+0.00047657i,-0.00034336+0.00018868i,-0.00017828+5.2153e-05i,0.00018212+8.1633e-06i,0.00013865+0.00012379i,-0.00046541-0.00010641i,-0.00011311-0.00057203i,0.00068204-0.0010164i,0.00096473-0.0011146i,0.00097938-0.00085906i,0.00035677-0.00022191i,-0.00035512+0.00069887i,-0.00063844+0.00040834i
-0.00034251-0.0015845i,-0.00075586-0.0014225i,-0.0020328-0.0014981i,-0.0020537-0.0012506i,-0.0012388-0.00075439i,-0.00063632-0.00069101i,0.00016746-0.00061644i,0.00020053+0.00028965i,-0.00091278+0.0003446i,-0.0011883+0.00011314i,-0.00047849+0.00071043i,0.00021607+0.00032389i,0.00097044-0.00019357i,0.00097579-0.00033292i,0.00035937-0.00025635i,0.00047211-0.00032125i,0.00097042-0.00036855i,0.001026-0.00038942i,0.0003747-0.00029496i,0.00010397-0.00018207i,0.00014445+0.00029058i,0.00065374+0.00042829i,0.0010154+0.00056313i
0.0025183-0.0011754i,0.0014361-0.0010531i,0.00066563-0.0010096i,1.1619e-05-0.0014463i,-0.00077566-0.0018721i,-0.0003246-0.0018759i,0.00011799-0.0013958i,-0.00010027-0.00043586i,-0.00056402+0.00067548i,-0.00073918+0.0010171i,-0.00036881+0.00067957i,-2.5662e-05-0.00034403i,-0.00072467-0.00081054i,-0.00087084+0.00034584i,0.00038378+0.0012351i,0.00094615+0.00042213i,0.00018772-0.00071604i,6.7925e-05-0.0011949i,0.00045545-0.00023975i,0.00070405+9.9305e-05i,0.00072831-0.00042203i,0.00023196-0.00022995i,-0.00047596-0.00018262i
0.002383+0.0012155i,0.0023896+0.0019077i,0.0022229+0.00083869i,0.0017845-0.00091282i,0.00017344-0.00097485i,-0.0011377-0.0005109i,-0.0013677-0.00040828i,-0.0010866-0.00039163i,-0.00046791-0.00050495i,0.00044545+0.00026262i,4.3098e-06+0.00061161i,-0.00057962+0.00021707i,-0.00045593-0.00052483i,-0.00024952-0.00082111i,-0.00033739-0.00028567i,-0.00027407-9.2083e-05i,0.00042271+0.00012241i,0.00027582+0.00032821i,-6.943e-05-9.8483e-05i,-5.959e-05-0.00044277i,0.00044426-0.00072774i,0.00037898-0.00082406i,-0.00026539-6.4593e-05i
-0.00044559+0.0020952i,0.00040352+0.0013072i,0.00090943+0.0011753i,0.00060687+0.0010113i,-0.00017761-0.00034631i,-0.00031428-0.0013687i,-0.00031876-0.00065979i,-0.00021256-4.4471e-05i,6.2468e-05-0.00029089i,0.00010744-0.00030802i,0.00025805+0.00043181i,-0.00039327+0.00011088i,-0.0014508-0.0010468i,-0.0012265-0.00093433i,-0.0007957-0.00016982i,-0.00017064-0.00012389i,0.000528-0.00038818i,0.00058823+0.00014032i,0.00072455+0.00030571i,0.00072383-0.00020743i,0.00015566-0.00026167i,1.9205e-06+0.00026215i,0.00035018+8.229e-05i
-0.0024986-1.5812e-05i,-0.0026695+0.00033293i,-0.0027822+0.0004354i,-0.00098037+0.00071328i,0.00037973+0.00051098i,0.00064944-0.00072743i,0.00085758-0.0012954i,8.1041e-05-0.0010193i,-0.00072228-0.00071633i,-0.00039629-0.00052341i,0.00037041-0.00020993i,0.00011549+0.0005048i,0.00046031+0.00050733i,0.00045873-0.00045874i,-0.00011121-0.00019436i,-0.00060533+0.000184i,-0.00047296-0.00015446i,0.00036806-6.1437e-05i,0.00059472+0.00016403i,0.00042106-0.00030533i,0.00011455-0.00022969i,-0.00037628+0.00030543i,-0.00063155+0.00020353i
0.00044382+0.00092499i,0.00034857-0.00012139i,0.0001871+0.00032254i,-1.7177e-05-0.00015321i,-0.00035295-0.00086039i,-0.0011887-0.00060711i,-0.0013077-0.00052045i,-0.00131-0.00088001i,-0.0010305-0.00093563i,-0.00031021+4.9195e-05i,-0.00036138+0.00064836i,-0.00060612-9.4254e-05i,-0.0003723-0.00047375i,-6.8853e-05-4.1109e-05i,0.00016986+0.00039167i,0.00056143+0.00044276i,0.0005202-5.1288e-06i,5.5275e-05-0.00014048i,-0.00040256+8.1823e-05i,-0.00046031+2.0082e-05i,-0.00011056-0.0008091i,-0.00038394-0.00048265i,-0.00032923+0.00018086i
0.0017211+0.00025591i,0.0016324+0.0007194i,0.0011522-0.00040566i,0.00056758-0.0024068i,0.00027253-0.0025136i,-0.00064348-0.0014689i,-0.0016263-0.0010502i,-0.0012681-0.00071637i,-0.00057633+0.00011344i,0.00014492+0.0011991i,0.00048407+0.0011154i,0.00047054+0.00023494i,0.00013172+0.00021634i,-0.00051284+0.00020284i,-0.00066892+0.00024743i,-0.00064977+0.00028447i,-0.00059902-0.00010669i,-0.00072524-0.00021593i,-0.00032544-0.0004883i,-0.00044462-0.00049892i,-0.00060328-0.00025632i,0.00016758-0.00023712i,9.8523e-05-0.00035996i
0.00035929-0.00050355i,0.00020777-0.0010707i,-0.00030526-0.00095111i,-0.00052482-0.00028297i,-0.00079765+2.7713e-05i,4.029e-06-5.8582e-05i,9.4919e-05-0.00016164i,-0.0003572-0.00068651i,-0.00080153-0.00087846i,-0.0010001+0.00011849i,-0.00089596+0.00039198i,-0.00098648-9.6983e-06i,0.00040394+0.00015852i,0.00037507+0.00022894i,-0.00079727+0.00060011i,-0.00036536+0.00071013i,3.3331e-05+0.00016393i,-8.1345e-05-0.00025572i,-7.3781e-05-8.2179e-05i,0.00032365-0.00043456i,7.9821e-05-0.0005572i,-0.00032895-0.00024715i,-0.0002337-0.00020458i
-0.001844-0.00030058i,-0.0012558+0.00019252i,-0.00091359+0.00080564i,0.0003384+0.00079629i,0.001097+0.00029436i,0.00015518-0.00090691i,-0.00093159-0.0015611i,-0.0011568-0.0011029i,-0.00013697+0.00011345i,0.00025115+0.0014099i,-0.00079064+0.0014217i,-0.00055032+3.9704e-05i,-0.00014983-0.00085688i,-0.00043606-0.0005464i,-0.00063588-3.6452e-05i,-0.00061351+0.00063045i,-0.00050515+0.00086873i,-4.0108e-05+0.00054983i,0.00041361+0.00084837i,0.0002936+0.0010637i,-0.00036485+0.00075589i,-0.00044643+0.00042259i,-6.0015e-05+0.00047395i
0.00085658+0.0014577i,0.00071181+0.00095695i,0.0011272+0.00020206i,0.00043006-0.00048171i,-0.00049208-0.0012601i,-0.00094845-0.0015095i,-0.001423-0.00085493i,-0.00074389+0.00010364i,-0.00020542+0.00067218i,-0.00021251+0.0003233i,-4.1865e-05+0.00028422i,-0.00057532+0.00039466i,-0.0008467+8.0185e-06i,-0.00028697-0.00039606i,8.0722e-05-0.00034198i,0.00081668+9.5716e-05i,0.00063359-4.2406e-05i,0.00025376-0.00052708i,0.00031856-0.00056571i,0.00045039-0.00033974i,0.00030988-0.00030605i,-0.00065982+0.00013691i,-0.0010057+0.0010866i
