-0.0031917+0.00095127i,-0.0032338+0.0016963i,-0.0044071+0.0028225i,-0.0049321+0.0032093i,-0.0044752+0.0024872i,-0.0020595+0.0019464i,0.00038391+0.001007i,0.00085621+0.00040944i,0.00058438+0.00028387i,0.00033311+0.00031546i,0.00063104+0.00089339i,0.00043537+0.0009348i,-0.00041544+0.0008185i,-0.00014604+0.00018975i,0.00084908+0.00017704i,0.0015834+0.00042209i,0.0015142-2.6263e-05i,0.0003811-0.00012914i,-0.00022957+0.00057429i,-0.0003295+0.0011707i,9.8907e-05+0.0010231i,0.00076927+0.00034439i,0.00084831+2.5465e-05i
-0.00048069-0.00072441i,0.00048742-0.0012001i,0.0009842-0.00063219i,0.0013479-0.00017996i,0.0013098+0.0005576i,0.0012079+0.00017958i,0.00082921-0.0006169i,0.00037635-0.00071082i,-0.00026384-9.2903e-05i,-0.00036878+0.00047948i,-2.6107e-05+0.00056326i,0.0003594+0.00017156i,0.00023189+0.00053383i,-7.3513e-05+0.00048275i,0.00028813-6.0539e-05i,0.00023459-0.00060355i,0.00040611-0.00081313i,0.00028253-0.00065411i,-9.708e-05-0.000295i,-0.0002771+0.00024517i,-0.00021143+0.00040845i,-7.5283e-06+0.00047437i,-0.00057982-0.00015888i
0.001187-0.0030974i,0.00018332-0.003037i,-0.0017706-0.0033407i,-0.0027603-0.0022538i,-0.0030698-0.001318i,-0.0018511-0.00081458i,0.00039478-0.00058645i,0.00052314-0.00054427i,-0.000396-0.0008118i,-0.00043498-0.00024517i,-3.2142e-05+0.00054494i,-0.00039842+0.00040011i,-0.00079945-6.7092e-05i,-0.00088654+3.7962e-05i,-0.00070778+0.00032992i,-0.0004154+0.0009199i,-0.00097141+0.00070933i,-0.00054575-0.00037429i,-0.00036308-0.00042582i,-0.00087357-0.00033328i,-0.00060048-5.7008e-05i,-0.00017483+0.00012974i,0.00024395+0.00037421i
0.0021847+0.00053212i,0.001321+4.2626e-05i,0.0014977-6.1669e-05i,0.001958+2.191e-05i,0.0013581-0.00035397i,0.0010063-0.00039237i,0.00094346-0.00054934i,0.00092355-0.0010817i,0.00058236-0.001199i,0.00010289-0.00073704i,0.00025544-0.00032868i,0.00065699-0.00025393i,0.00051714-0.00060333i,0.00038261-0.00050507i,1.8636e-05+0.00010009i,-0.0007032+0.00072623i,-0.0011026+0.00081911i,-0.0013407+0.00033681i,-0.0013438-0.00028907i,-0.00017597-0.00056815i,0.00070413-1.3797e-05i,0.00030036+0.00028329i,-8.002e-05-0.00043862i
0.00082928+0.0013866i,0.00010174+0.00085987i,0.00048999-0.00067408i,5.1623e-05-0.0021323i,-6.0625e-05-0.0014094i,-0.0003455-0.00033585i,-0.00052224-0.00029453i,-0.0003146+5.8616e-05i,0.00037853+0.00033244i,0.00035665-0.00043562i,3.8223e-06-0.00066119i,0.00056669-0.00011378i,0.00081201+7.7644e-05i,-0.00016946+0.00021926i,-0.00023823+2.4723e-05i,0.00010533-0.00062586i,-0.00012036-0.00079671i,0.00012551-0.00068136i,-0.00058753-0.000616i,-0.0010074+0.00022929i,-0.00061026+0.0012051i,-0.00057637+0.00013665i,-0.00068851-0.00065227i
-2.8645e-05+0.00033321i,0.00072894-0.00096632i,0.00168-0.00058326i,0.0014716+0.00060087i,0.0012105+0.00030684i,0.00077975-0.00015507i,0.00089456+0.0004646i,0.00062484-7.339e-05i,-6.7867e-05-0.00059207i,5.5953e-05-0.00043022i,0.00043461+0.00033589i,0.00029314+0.00033902i,0.00020405-0.00032829i,0.00061088-0.00067265i,0.0010122-0.0005142i,0.0018975+9.2602e-05i,0.0012839-0.00021274i,0.00027872+4.4995e-05i,0.00018257+0.00083654i,0.00021972+0.00030282i,0.00051472-0.00059168i,0.00061061-0.00057524i,0.00027306-0.00055961i
0.00078574+6.9711e-05i,0.00038956+0.00031417i,0.00051822+0.00081623i,0.00019653+0.0017741i,-0.0004305+0.00137i,8.9835e-05-0.00013268i,0.00087565-0.0010833i,0.00036039-0.00094885i,0.00016258-0.00076927i,0.00030921-0.00091206i,2.6053e-05-0.00061379i,-0.00014382-0.00061272i,0.00098214-0.00051199i,0.001809-2.1189e-05i,0.0010837+0.00040209i,0.00034572+0.00051688i,0.0004228+0.00077502i,0.00023591+0.00063155i,-0.00025457+0.00013346i,-0.00099326-0.00076309i,-0.001282-0.00079834i,-0.00092992-0.00031683i,-0.00024982-7.5061e-05i
-0.0011138-0.00064637i,-0.0016403-0.00067352i,-0.0017493-0.00018764i,-0.0012719+0.00021555i,-0.00073167+0.00010769i,0.00028381-0.00057353i,0.0003482-0.0013053i,-0.0007343-0.0016367i,-0.0010599-0.0002898i,-0.0012188+0.00079319i,-0.00035665+0.00038254i,0.00097108+0.00020744i,0.00049805+0.00020109i,0.00013973-0.00028361i,0.00060757+1.4956e-05i,0.00073294+0.00055323i,0.00053445+5.0447e-05i,0.00051978-6.2795e-05i,0.00039911+0.00021922i,0.00022045+0.00033443i,0.00029291-5.3547e-05i,0.00058841-0.00033263i,0.00069556+9.5144e-05i
-0.0010999+6.2236e-05i,-0.0011696-0.00052823i,-0.00032942-0.0007929i,0.00071539+0.00010495i,0.0010047-0.00036588i,0.00096407-0.00088489i,0.0013414-0.0011776i,0.00098637-0.0012907i,0.00055172-0.00082889i,0.00024648-0.00042948i,-2.646e-05+0.00018141i,0.0005485+0.00086379i,0.0005267+0.00063746i,-0.00053627+0.00024202i,-0.00049992+1.4691e-05i,0.00026165+0.00013902i,0.00011163-0.0002637i,-0.00040979-0.00060479i,-0.00075312+0.00041317i,-0.0010296+0.00050898i,-0.00095581-6.4744e-05i,-0.00050143-0.00022631i,-0.00054032-0.00025853i
0.0015588-0.001659i,0.0014712-0.0020908i,0.001883-0.0022786i,0.0015183-0.0012381i,0.00064494-4.7515e-05i,0.0003251-0.00016672i,0.00073682-0.00065131i,0.0006493-0.00091877i,0.00025854-0.00077337i,-0.00015012-0.0005671i,-0.00086269-0.00014472i,-0.00040594+0.00026784i,-2.6439e-05+0.00023371i,0.00038005+0.00030993i,0.0010588+0.00072264i,0.0010736+0.00056771i,0.00071887+0.00080401i,0.00039922+0.0006202i,0.00025263-0.00017863i,-8.0734e-06-0.00012209i,0.00011118+0.00012332i,0.00027735-0.00023637i,0.00047352-0.0011862i
0.0025132+5.3582e-05i,0.0025807+0.00064957i,0.00095337-0.00050094i,0.00015759-0.00062104i,-0.00042919-2.7469e-05i,5.2603e-05+3.6651e-05i,0.00081636-0.00038594i,0.00061839-0.00077448i,0.00016918-0.00022504i,-0.0010337-4.559e-05i,-0.00090014+0.00021455i,0.00033817+0.00061158i,0.00037751+0.00041214i,0.00011949-0.00035402i,0.00011907-0.00063062i,-7.6862e-05-0.00033112i,-0.00010551+1.5309e-05i,-0.00019417-8.3654e-05i,-0.00030525-0.00059999i,-0.0005397-0.00020298i,-0.00072363+0.00064788i,0.0001086+0.00059175i,0.00020466+0.0005973i
-0.0016008-8.3855e-05i,-0.0019379-0.00064981i,-0.0012602-0.0016532i,-0.0014376-0.0018762i,-0.0016996-0.0012369i,-0.0010272-0.00038972i,7.5921e-05-0.00028932i,0.00083655-0.0010538i,-4.2655e-05-0.0012306i,-0.00012221-0.00080765i,0.00037945-0.00028415i,0.00042026-0.00034421i,0.0006658-0.00086786i,0.00079295-0.00056739i,0.00047313+1.6805e-05i,0.00075146+0.00019241i,0.0011843-0.00017826i,0.00078401-0.00057153i,-0.00080936-0.0006507i,-0.0011976-0.00035448i,-0.0007236+1.3884e-05i,-0.00038379+0.00018618i,-0.00034977+0.0003187i
0.00067617-0.00094145i,0.00058728-0.001265i,0.00039174-0.0011921i,-0.00016934-0.0011488i,-0.00072147-0.00066868i,-0.00030482-5.7688e-05i,0.00014556+0.0004595i,-8.6932e-05+0.00021938i,-0.00016086+3.0792e-05i,-0.00013555-2.0384e-05i,-0.000194-0.00035935i,-4.6705e-05-9.8284e-05i,-8.3066e-05+0.00023956i,-0.00030622-6.2317e-05i,6.9098e-05-0.00046142i,0.00020057-0.00036928i,0.00014137+2.0672e-05i,0.00031846+0.0001039i,0.00035442-5.6966e-05i,1.5399e-05-0.00054839i,-0.0001821-0.00064978i,0.00067739-0.00037506i,0.0016668-0.00041706i
0.00057229+0.0011765i,0.00075817+0.00087563i,0.00069804+0.00064294i,0.0015947+0.0003205i,0.0020826+0.00024328i,0.0018488-0.00035846i,0.0010361-0.0011903i,7.9751e-05-0.00078674i,-0.00012727+0.0002241i,-0.00034261+0.00079063i,-0.00042893+0.000525i,-0.00031632-4.3537e-05i,-6.3691e-06-0.00048829i,0.00031606-0.00063016i,8.96e-06-0.0013104i,5.0198e-05-0.0010698i,3.1012e-05+0.00029379i,-0.00019699+0.0001312i,-0.00023191-0.00085384i,-0.00018377-0.0010695i,-0.00033604+0.00017327i,-0.0001312+0.00069038i,-0.0002015+3.9981e-05i
0.00086957+0.0007542i,0.00087716+0.00096348i,0.0011222+0.00080825i,0.0013285+0.00083968i,4.412e-05+0.00054134i,-0.00018222-0.00045177i,0.00032018-0.00031908i,1.6034e-05-3.7048e-05i,0.00013814-0.0005222i,7.3601e-05-0.00074611i,0.00014749-0.00057794i,0.00030298+0.00011634i,-0.00038126+0.00084933i,-0.00092392-2.0633e-05i,-0.0011339-0.00020531i,-0.00091091+0.00020531i,-0.00067482-8.2572e-05i,-0.00076153-0.00055229i,-0.00062015-0.00012799i,-0.00030362+0.00039106i,-0.00031105+0.0001792i,-0.00023092-5.8116e-05i,-0.00032753-0.00017078i
0.00015589+0.0014599i,0.00039022+0.00061287i,0.0012255+0.0010834i,0.001181+0.00069613i,-2.0139e-05+0.00025727i,-0.00054153-0.00014548i,-0.00032916-0.0003711i,-0.0001333-0.00077471i,-0.00029829-0.0010332i,-0.00081949-0.00046799i,-0.00086142-0.00010428i,-0.00077874-0.00052466i,-0.00061999-0.0010321i,-9.5038e-06-0.00079325i,-0.00038046-4.0669e-05i,-0.00072771+0.00055441i,-0.00049849+0.00068855i,0.00010385+0.00022307i,0.00041271-0.00029718i,-0.00018239+0.0001569i,-0.00076366+9.381e-05i,-0.0006724-0.00069381i,-0.00041772-0.00069304i
-0.00094216-0.00033021i,-0.000665+0.00014673i,-0.00082253+0.00029028i,-0.00072369+0.00097346i,-0.00043883+0.0014462i,8.8941e-05+0.0008778i,0.00043057-0.00048038i,0.00019182-0.001048i,-0.00022492-0.00064379i,-0.00048237+5.1379e-05i,-0.0001552+0.00073004i,0.00016263+0.00105i,-0.00053405+0.00054791i,-0.00064264-0.00021418i,0.0003818+0.00016503i,0.00043384+0.00055427i,0.00029342-1.7945e-05i,0.00094834-0.0006009i,0.00068273-0.00021629i,-3.9349e-05+5.962e-05i,0.00016862-0.00059659i,0.00038108-0.0011842i,0.00045392-0.00047667i
-0.0013039-0.00064446i,-0.0011617+0.0002345i,-0.0014344+0.00014805i,-0.0012638-6.1362e-05i,-0.00045444+0.00037556i,0.0002003-0.00013378i,0.00026784-0.00092729i,0.00030876-0.0011767i,-4.5728e-05-0.00052199i,-0.00033777-2.7677e-05i,0.00055369+0.00038318i,0.00048138+0.00081401i,-0.00024558+0.00028285i,-9.439e-05-0.00040892i,0.00019959-8.3895e-05i,0.00058912+0.00037996i,0.00037761-9.062e-05i,0.00030188-0.00021895i,0.00046952+3.684e-06i,0.00010418-3.4355e-05i,0.00067533-0.00052456i,0.0011818-0.00059825i,0.00050137-0.00028085i
-0.0004523-0.0018548i,-0.00085628-0.0015893i,-0.0017793-0.0012351i,-0.0017774-3.2594e-05i,-0.0012956+0.00051654i,-0.00021708+0.00039107i,0.0008004+7.7096e-05i,0.0007281-3.59e-05i,0.0002219+0.00023439i,-0.00012375+0.00030032i,-0.00067957-0.00046648i,-0.00060451-0.0011952i,-0.00083476-0.00042623i,-0.0011871-1.8754e-05i,-0.00065573-0.00049766i,-0.00034863-0.0004567i,0.00023067-0.00054676i,0.00059189-0.00089229i,0.00056996-0.00017344i,0.00033992+0.00039738i,-5.0393e-06+0.00047335i,0.00011791+0.00030189i,8.4254e-05+0.00015661i
-0.001476-0.0014306i,-0.001891-0.0022375i,-0.0016598-0.0019566i,-0.00096066-0.00096461i,0.00010896-0.00048205i,0.00085211-0.00079717i,0.0010034-0.0010148i,0.00027771-0.00043314i,-0.00020412+9.7299e-05i,-0.00068115-2.0251e-05i,-0.0013586-0.000366i,-0.0010666+8.1159e-05i,-0.00042364-5.585e-05i,-0.00014925-0.00084578i,-3.3878e-06-0.00068497i,-1.1825e-05-0.00061659i,0.0002989-0.00082049i,0.00024564-0.00081596i,-0.00023417-0.00078393i,-0.0005204-0.00059089i,-0.00050331-0.00075433i,4.8126e-05-0.00026209i,0.00050144-0.00054478i
-0.00033106-0.0004404i,-0.0015656+0.00042773i,-0.0020191+0.0006473i,-0.001299+0.0015651i,-0.0012358+0.0012011i,0.00014583+0.00054885i,0.0014546+2.3559e-05i,0.0011716-0.0005515i,0.00014674-0.00046747i,-0.00087391+8.227e-05i,-0.00024379+0.00079102i,0.00028933+0.00069992i,-5.6428e-05+0.00013813i,-0.00015505+0.00012731i,0.00015737+0.00013563i,0.00053065-0.00025389i,-0.00013477-0.00065194i,-4.8937e-05+0.00013938i,0.00094207+0.00057731i,0.00082986+0.00040949i,-6.2466e-05+0.00055018i,1.3325e-05+0.00060481i,0.00018117+0.00032539i
-0.00014429+0.0015947i,-0.00016113+0.0021507i,-0.00025353+0.0018158i,-0.00049056+0.0010222i,-0.00064022-1.9351e-05i,-0.00047202-0.0013121i,-2.1574e-05-0.0019729i,0.00047436-0.0020602i,0.00096839-0.00092281i,0.00018152-6.2408e-05i,-0.00081333-3.7459e-05i,-0.00075276-8.2997e-05i,-0.00033335-0.00027435i,-5.2492e-05-0.00022574i,0.000795-7.8954e-05i,0.00090461+0.0003094i,0.00034548+0.00032576i,0.00030948-0.00032398i,-0.00030448-0.00045561i,-0.00060216-0.00065188i,-0.00048203-0.00088235i,-0.00039619-0.00059066i,-0.00017017-0.00029885i
-0.00017775-0.00054882i,-0.0012963-0.00025371i,-0.0010938-0.0009181i,-0.0009636-0.0014882i,-0.00046257-0.0016169i,-0.00011891-0.00098278i,0.00031365-8.2818e-05i,0.00038961+4.73e-05i,0.00023186-0.00013866i,0.00055021-0.0009444i,-0.00014681-0.0017933i,-0.00093208-0.00096779i,-0.00035079-0.0002733i,1.6054e-05+0.00018756i,0.00014234+7.3635e-05i,0.00062918-0.00091111i,0.0011822-0.000939i,0.00048868-0.000671i,-0.00033471-0.0006508i,-0.00065535+0.00017016i,-0.0014108+0.0010761i,-0.00081964+0.0010216i,-0.00017589+0.00048821i
-0.00014837-0.00082434i,0.00015846-0.00023908i,-0.00033305+8.0261e-05i,-0.00036747-8.5661e-05i,-6.3751e-05+0.00013086i,-0.000326+0.00077716i,-0.00019951+0.00022706i,-2.8928e-05-0.00087236i,0.00018272-0.00098066i,0.00015227-0.00032448i,0.00016202+1.0878e-05i,0.00032352-8.0902e-05i,-0.00043384-0.00035873i,-0.001103-0.00081327i,-0.00074367-0.00070914i,-0.0001952-0.00032866i,-0.00033062+7.8333e-05i,5.9076e-05-4.077e-05i,0.00042062-0.00024022i,0.00036655-0.00073086i,0.00058637-0.0012334i,0.0006197-0.00083195i,0.00020457-0.00069396i
0.0011333+0.0017704i,0.0011732+0.0013745i,0.000369+0.00020055i,-3.8356e-05-0.0011631i,0.00042981-0.0012478i,0.00092987-0.0015778i,0.0010085-0.0012675i,0.00081159-0.0006312i,0.00030464-0.00064785i,0.0002197-0.00070492i,-0.00081926-0.00031147i,-0.00092525-0.00037435i,-0.00023599-0.00080333i,4.3256e-05-0.00047502i,0.00065255+0.00064953i,0.00083972+0.0007181i,0.00044276-9.681e-05i,-0.00022631-0.0005264i,-0.00055173-0.00010708i,0.00017216+0.00078391i,0.0001179+0.00063431i,-7.321e-05-0.00014891i,0.00052302+0.00015624i
0.001046+0.0010593i,0.0015957+0.00066055i,0.001638+0.00080886i,0.00046243+0.00096928i,-0.00035992+0.00034403i,0.00047611-0.0010117i,0.0011971-0.0014485i,0.00075781-0.00097312i,-1.7927e-05-0.00086768i,-0.00016663-0.00036798i,0.00056828-0.00010685i,0.00063822-0.00061566i,0.00077852-0.00060686i,0.0011947-0.00025932i,0.0004674-0.00034574i,-0.00025985-0.00039754i,0.00032728-0.00019248i,0.00040008+0.0002666i,-0.00025664-0.00029132i,-0.00018527-0.00042815i,0.00026336+0.00062352i,0.00054852+0.00085149i,0.00092517-7.2453e-05i
0.00044488+0.00080194i,0.00013934+0.0006598i,0.0012597-0.00044013i,0.0010025-0.0018866i,0.00020238-0.0025337i,-0.00044868-0.0023529i,0.00021197-0.0019994i,0.0016067-0.0010898i,0.0010494+5.98e-05i,0.00018635-0.00032328i,-0.0002668-0.0011424i,-0.00046451-0.0010575i,-0.00084975-0.00077086i,-0.00084487+0.00010566i,-0.00057718+0.0011989i,-0.00047419+0.0010378i,0.00022452+0.00080091i,0.00046375+0.00037844i,-0.00018075-0.00053061i,-0.00039089-0.00066131i,-0.00030281-0.00054301i,-0.00030512-0.00059152i,-0.00010733-0.00055595i
4.2426e-05+0.0022983i,0.00055001+0.001254i,0.0022052+0.0014882i,0.0019622+0.0011166i,0.00138+5.4784e-06i,0.0015295-0.00014448i,0.0014969-0.00031719i,0.00068437-0.00087341i,0.0010886-0.00043086i,0.001642+0.00025866i,0.0012627+0.00027496i,0.0010922+0.00042228i,0.00086946+0.00038931i,0.00025377-2.1323e-05i,0.00021058+0.00044848i,0.00097724+0.00058447i,0.00026392-0.00059498i,-0.0009773-0.0010773i,-0.00092366-9.4516e-05i,-0.00029182+6.1463e-05i,5.6175e-05-0.0005136i,0.00044081-0.00086958i,0.00039252-0.0006548i
1.061e-06+0.00044044i,5.5646e-05+0.00076222i,0.00043597+0.0021058i,0.00068069+0.002238i,0.0010409+0.0018561i,0.0022236+0.001332i,0.0017786-0.00023478i,0.00081365-0.00068783i,0.00026504-0.00068865i,0.00017088-0.00062395i,0.00087333+0.00017275i,0.0011363+2.6666e-05i,0.00026207-0.00029874i,7.9153e-05-0.00023386i,0.00067745+0.00059169i,0.00089243+0.00066106i,0.00073981+1.0487e-05i,0.00032441-0.00041567i,8.2578e-05-0.00010097i,-1.8323e-05+0.00021285i,-0.00044029-0.00018561i,-0.00067787-0.00079728i,-0.00051195-0.00098173i
0.00086522+0.0013742i,0.0005721+0.00095147i,0.00064855-6.9658e-05i,-2.091e-05-0.0011572i,-0.001045-0.0014229i,-0.00064711-0.0011231i,0.00034842-0.0008741i,0.0006774-0.00079119i,9.7791e-05+0.00014338i,-0.00040942+0.00039651i,-0.00016931+6.714e-05i,0.00020686+0.00062818i,0.00019811+0.0016337i,0.0003438+0.0013859i,0.0002263+0.00046138i,0.0006458-0.00063314i,0.0011363-0.00054073i,0.00065793+0.00034546i,0.00032415+0.00023225i,0.00019637+0.00014146i,0.00018089+0.00049325i,0.00014578+0.00068714i,0.0003116+8.8253e-05i
0.00037397-0.00011409i,0.00098906+0.00094936i,0.0018575+0.00027848i,0.0022136-0.0008984i,0.0016832-0.0010651i,0.00098155-0.00080199i,0.0011095-0.00038301i,0.00039443-0.00012809i,-0.00077513-0.00012294i,-0.00081407-0.00048854i,4.575e-05-0.00106i,7.6566e-05-0.00067776i,-0.00038164-0.00022267i,-0.0010711+8.9272e-05i,-0.0011829+0.00042641i,-0.00028879-0.00025247i,0.0004627-0.00049947i,-0.00021076-6.4197e-05i,-0.00029374+0.00014773i,-0.00026769+0.00025774i,-0.00060053+0.00012526i,-0.00055338-0.00032691i,-0.00052148-0.00083951i
0.0002313-0.0010746i,0.00032272-0.0013838i,-0.00020337-0.00102i,-0.001394-0.00089821i,-0.0021171-0.00091955i,-0.0013497-4.8551e-05i,-0.0001136+0.0007072i,0.00068679+0.00019698i,0.00034794-0.00072591i,9.6408e-05-0.00056963i,5.1963e-05+0.00066591i,-0.00083173+0.00081177i,-0.00066841-0.00010893i,2.2266e-06-0.00012077i,9.3138e-05+0.00019768i,0.00059639+0.00011659i,0.00013052+0.00016166i,-0.00063857-6.8204e-06i,-0.00063402-5.5227e-05i,6.2801e-05-5.7619e-06i,0.00038605+0.00019962i,-0.00070957+0.00051003i,-0.00058422+0.00021323i
