-0.0016956+0.0016275i,9.409e-09+0.0011195i,-0.00057986+0.0010373i,-0.0011264+0.00154i,-0.0010366+0.0028092i,-0.0001074+0.0033172i,0.00057264+0.0028911i,-0.00015509+0.00161i,-6.6367e-05+0.00022689i,-0.00019973+0.00017963i,1.8297e-05+0.00048553i,7.2033e-05+0.00019898i,-0.0003729+0.00015054i,-0.00093424+0.00028532i,-0.00072301+0.00052094i,-0.00017492+0.00059846i,6.65e-05+0.00057651i,-1.6941e-05+0.00024552i,0.0003358-0.00020204i,0.00036398-0.00019527i,-0.00034951-0.00041481i,-0.001065-0.00032367i,-0.001184+0.00045284i
-0.001622-0.0025682i,-0.0022583-0.0015404i,-0.0028805-0.00040602i,-0.0037099+0.0016346i,-0.0036577+0.0021904i,-0.001782+0.002102i,-0.00048385+0.0011545i,-0.00057425+6.2826e-05i,-0.00088822+0.00047438i,-0.0010179+0.00018191i,-0.00044046-0.00029606i,0.00010821+4.2291e-05i,0.00043188+0.00010995i,0.00031004-0.00071999i,-0.00013296-0.0005367i,-0.00036238+0.00020945i,6.1375e-05+0.00041989i,3.4146e-05+0.00051755i,-0.00037276-0.00019286i,4.5139e-05-0.00040471i,-2.0281e-05+0.0003055i,-0.00054153+1.6713e-05i,-0.00018419-0.00080711i
-0.00014967-0.00088419i,-0.00081844-0.00016865i,-0.0014381+0.00058019i,-0.0016052+0.0016717i,-0.0015916+0.0026769i,-0.0005328+0.0026443i,0.00090911+0.0016812i,0.00042755+0.0010922i,-0.00042766+0.00059805i,-0.00062898+0.00055266i,-0.00053788+0.00043716i,-0.00079327+0.00047782i,-0.00065092+0.00052065i,-7.631e-05+0.00072098i,8.2313e-05+0.0011943i,0.00015332+0.0009602i,-0.0002852+0.00067536i,-0.00058322+0.00087382i,-0.00057987+0.00056933i,-0.00035252+6.3786e-05i,0.00025375-0.0003518i,0.00058371-0.00028343i,0.00037283-0.00035918i
-0.0021321-0.0013689i,-0.0020612+0.0001348i,-0.0017522+0.00028432i,-0.0015357+0.0011557i,-0.0016739+0.0018343i,-0.00082851+0.001328i,-0.00031124+0.00052816i,-0.0011119-0.00074049i,-0.0017492-0.0011801i,-0.0016982-0.00052504i,-0.00036996+0.00031545i,0.00058458+0.00095693i,0.00035017+0.00078738i,7.2666e-05+0.00031282i,-2.6845e-05-4.416e-05i,0.00015187-0.00074789i,-0.00035622-0.00085681i,-0.00073305+0.00029471i,-0.00035561+0.0007901i,-0.00027611+0.00034725i,-0.00030582+0.00074806i,-0.00020011+0.00097769i,-9.9472e-06+0.00053662i
0.0015042+0.0004749i,0.0011478+0.00038063i,0.00070632-0.00027141i,-0.00049544-0.00037604i,-0.0013663+0.00064756i,-0.0017315+0.0018747i,-0.0012037+0.0015701i,-0.0003373+0.00086651i,-0.00013788+0.00035524i,9.0065e-05-0.00031276i,2.2272e-05-0.00013683i,4.341e-05+0.00048143i,-5.2958e-05+0.00073678i,0.00014943+0.00044854i,8.1436e-06+9.7748e-06i,-0.00021496-6.2291e-05i,1.3053e-05+0.00010604i,-0.00061523-7.8163e-05i,-0.0012412-0.00011018i,-0.00071032+0.00012865i,-0.00017938+0.00050142i,0.00012208+0.00039855i,0.00095466+0.00023344i
0.0020769+0.00036318i,0.0017751+0.00038279i,0.0012884-1.798e-05i,-0.00020491+6.2035e-05i,-0.00091965+0.0012589i,-0.001102+0.0024802i,-0.00072339+0.0016465i,-0.0006921+0.00018701i,-0.0011793-0.0010815i,-0.0011981-0.0012605i,-0.0011517+0.00029118i,-0.00067572+0.00066058i,-0.00010416-6.1422e-05i,-0.00038426-0.00069173i,-0.00032082-0.00075627i,0.00014166-0.0001659i,0.00031885+0.00041932i,-0.00045362+3.2053e-05i,-0.00039613+0.00015886i,0.00032022+0.00025111i,0.00048993+0.00017229i,0.0010934+1.3711e-05i,0.0008562-6.6235e-06i
-0.00082775+0.000747i,0.00019432+0.001711i,-0.00012869+0.0024375i,-0.0010164+0.0022816i,-0.00045877+0.0023839i,0.00025953+0.0025898i,0.00048414+0.0018967i,0.0007715+0.00082755i,0.00031291+0.00021592i,-0.00041226-0.00017042i,-0.0010551-0.0002043i,-0.00085798+0.00016526i,-0.00063632-0.00020797i,-0.00073193-0.00075592i,-0.00042149-0.00044881i,-0.00079504-0.000169i,-0.00060977-0.00030141i,-0.00013572-0.00014263i,-0.00015343+0.00053641i,-0.00055642+7.49e-05i,-0.00054915-0.00042349i,0.00014825-0.00011538i,0.00020472-0.00019798i
0.00026932+9.6492e-05i,-0.00015514-0.00019327i,-0.0007212+0.00010836i,-0.00021392+8.1078e-05i,-0.00057658-6.1597e-05i,-0.0013467+0.00075737i,-0.00092642+0.00054081i,-0.00074468-0.00020883i,-0.0011731-0.00046392i,-0.0014754-0.00032505i,-0.0010976+0.00015515i,-0.00043572+0.00041609i,-0.00026603+0.00029591i,-6.8082e-05-0.00027337i,3.6897e-05-0.00068124i,-0.00059903+5.316e-05i,-0.00072709+0.00039766i,0.00010484+0.00010738i,9.5215e-05-2.1728e-05i,-0.00027379+0.00033906i,-0.00035645+0.00053334i,-0.00059641+0.0005173i,-0.0011255+0.00020004i
-0.0018107+0.0012264i,-0.0023079+0.002116i,-0.0012028+0.0029187i,-0.00050974+0.0028649i,-4.2551e-05+0.0014862i,-0.00034305+0.00094751i,-0.0010554+0.00083865i,-0.0009678-0.00026952i,-0.00086137-0.00056267i,-0.00089666+2.7412e-05i,-0.00016043-0.00080347i,-0.00022237-0.0012237i,-0.0013914-0.00076115i,-0.0015777-0.00081205i,-0.00072716-0.00082748i,-0.00020666-0.00067784i,-0.00011019-0.00025499i,0.00010287-0.00012798i,0.00010968-7.845e-05i,6.7328e-05+0.00044881i,5.2523e-05+0.00022658i,-0.0002376+0.00013091i,-2.8682e-05+0.00049415i
0.00083118-0.00027982i,0.00023948+0.00082859i,0.00034058+0.0020772i,0.00058848+0.0015946i,0.0003182+0.00057718i,0.00054386+0.00096363i,0.0010388+0.0010538i,0.00081849+0.00032799i,-0.00021318-3.1333e-05i,-0.00069137+0.00010994i,-0.00029659+0.00050423i,-0.00067657+0.00061115i,-0.00083418+0.00022082i,3.3225e-05+4.8144e-05i,0.00041929+0.00015491i,0.00073543-0.00039844i,0.00086697-0.00083894i,0.0002479-0.00029147i,0.00017525+0.0002577i,0.00023266+0.0003137i,0.00041234-0.00017791i,0.00064464-0.00057091i,0.0005225-5.0741e-05i
-0.00089912-0.00074695i,-0.00090833+0.00086399i,-0.0018456+0.0016135i,-0.0020782+0.0014786i,-0.0013313+0.0023771i,-0.00018908+0.003027i,0.0011132+0.0011014i,0.00052944-0.00053199i,-0.0014485-0.00040596i,-0.0024227+0.00013132i,-0.0017351+0.00041133i,-0.00079118+0.00045871i,-0.0003895-0.00050248i,-5.6366e-05-0.0015411i,0.0002716-0.00096244i,0.00031042-0.00031618i,-0.00037844-0.00049991i,-0.00095999-0.0003298i,-0.00067316-0.00056995i,0.00022147-0.00044617i,0.00053264+7.9489e-05i,4.1365e-05-0.00016077i,0.00036913-0.00011406i
-0.00060451-0.0013778i,-0.00073662-1.336e-05i,-0.001003+0.0020292i,-0.00069511+0.0029517i,0.00027154+0.0031481i,0.0011417+0.0027888i,0.000567+0.0012599i,-7.3052e-05-0.00025393i,-8.8644e-05-0.00047213i,-0.00041726+0.00017016i,-0.0010252+0.00073668i,-0.0010374+0.00094598i,-0.0001604+0.00026545i,0.00051224-0.00026604i,-0.00017604+0.00027363i,-0.00018588+0.00082752i,0.0005325+0.00037607i,0.00017224-0.00043193i,-0.000639-0.00097168i,-0.000182-0.00069868i,0.00051591-0.00018421i,0.00084044-0.00057746i,7.7743e-05-0.00024514i
-0.00058048-0.00067932i,-0.0010684-0.00073929i,-0.00088341+0.00073578i,-0.00067889+0.0021182i,-0.0003556+0.0015509i,-4.2323e-05+0.001113i,4.8789e-05+0.0017185i,6.3486e-05+0.00095924i,-0.0002353-0.00042506i,-0.00016502+6.2025e-05i,-0.00055315+0.00061427i,-0.001152-0.0003703i,-0.00098209-0.0010305i,-0.00083715-0.00085222i,-0.0012328-0.00043168i,-0.00093542-0.00032032i,-1.5453e-05-0.00054045i,-8.1093e-06-9.6357e-05i,-0.00020195+0.00058787i,0.00029203+0.00016796i,0.00045028-6.6512e-05i,-0.00013591+0.00045459i,-0.00044128+0.00062185i
0.00048172+0.0016441i,0.00059151+0.001411i,0.00081266+0.00056706i,0.00094108+0.00061659i,0.00053761+0.0016665i,-0.00032011+0.0022892i,-0.00039709+0.0012657i,-0.00068112-0.000132i,-0.00088982-0.00095277i,-0.00099316-0.00047385i,-0.0012244+0.00079792i,-0.00043481+0.00041332i,-2.8959e-05-0.0005247i,-0.00038147+0.00030404i,-8.434e-05+0.00073808i,-0.00029428-0.00020599i,-0.0012113-0.00044982i,-0.0013295-0.00072227i,-0.00031094-0.00038701i,-0.00048275+0.0007952i,-0.00045558+0.0008682i,0.00021908+0.00030796i,0.00018079+9.4488e-05i
8.842e-05-0.00023917i,-0.00018622-8.6635e-05i,-0.00074489+6.4025e-07i,-0.0015534+0.00092767i,-0.0023187+0.0021226i,-0.0017046+0.0017342i,-0.00024307+0.001009i,-5.3386e-06+0.0011776i,-0.0011221+0.0011222i,-0.001548+0.00088966i,-0.00033891+0.00019921i,0.0001359-0.00021906i,-0.00028297-0.00034743i,-0.00054352-0.00045609i,-5.5124e-05+0.00011883i,-0.0001768+0.00017044i,-0.00061746-0.0013535i,-0.00061808-0.0011893i,-0.00024305-0.00054453i,-0.00015393-0.00062579i,-0.0005635-0.0004122i,-0.00047336-0.00054376i,-1.8093e-05-0.00063879i
-0.00044447+0.00039197i,-0.00097915+0.0016767i,0.00030458+0.0021941i,0.00097546+0.0022438i,8.7757e-05+0.0017181i,-0.0006754+0.0020491i,-0.00061371+0.001764i,-0.00016544+0.00071599i,-0.0010913+0.00034311i,-0.0021187-4.3794e-05i,-0.0019769-0.00019186i,-0.0015088+0.00027058i,-0.00092688+9.7751e-05i,-0.00057704-0.00025398i,-0.00060282-3.8833e-05i,-0.00069083-3.7846e-05i,-0.00098884-0.0001299i,-0.00069632+9.2168e-05i,1.811e-05-7.6394e-05i,0.00025658-9.3977e-05i,0.00018484+0.00080129i,0.00010377+0.0011194i,-0.00040434+0.00057703i
0.0010059-0.0016647i,0.0010356-0.0012882i,-0.00075147-0.00083458i,-0.0010722-0.00099243i,-0.0011264+0.00071814i,-0.0011944+0.0023065i,-0.00069847+0.0016552i,-0.00046201+0.00058267i,-0.00094083-0.00044433i,-0.0011449-0.00053719i,-0.00053944+0.00019071i,-0.00029602+3.0424e-05i,-0.00029349-6.255e-05i,5.9442e-05+6.1565e-05i,-0.00012414+0.00021962i,-0.00058468+0.00033609i,-8.0533e-05+0.00056518i,-0.00020546+0.00018723i,-0.0010175-0.00022744i,-0.00073629+0.00087907i,-0.00029383+0.0011464i,-4.5652e-05+0.000563i,-0.0002544+0.00057934i
-0.0010592-9.3342e-05i,-0.00074061+0.0006947i,-0.00059499+0.0001706i,-0.00046076+0.00038171i,-0.00048703+0.0017564i,-0.00058124+0.0015671i,-0.0006166+0.00059585i,-0.00059662+0.00031903i,-0.00090765+7.3613e-05i,-0.0007394-0.00025243i,-0.0001544-1.6129e-06i,-3.6405e-05+0.0006323i,-0.0005859+0.00080524i,-0.00053719+0.00055737i,-0.00024263+8.5158e-05i,-0.00056839-6.2072e-05i,-0.00036455-0.00017439i,8.3228e-05-0.00014453i,8.85e-05+0.0002851i,9.8812e-05+0.00026262i,0.00032504-0.00023698i,0.00063112-0.0003515i,0.0007266+1.9758e-05i
-0.0010257+0.00012034i,-0.0012658+4.1263e-05i,-0.0015808-0.00043435i,-0.000925+0.00043025i,3.6677e-06+0.0016318i,0.00052419+0.0014303i,0.00052706-0.00013804i,0.00012061-0.00077176i,-0.00020135-0.0006344i,-0.00037718-2.4683e-05i,-0.00029187+0.00056012i,4.8993e-05-0.00030703i,7.0103e-06-0.00088094i,0.00021301-0.00057156i,0.00023456+0.00013594i,-0.00040479+0.00090343i,-0.00040313+0.00037412i,5.722e-05-0.00032925i,0.00017485-0.00054054i,0.0002399+0.00011712i,0.00054609+0.00065538i,0.00062717+0.00035056i,-9.9961e-05-4.6697e-05i
-0.0013222+0.00089975i,-0.0016686+0.0012896i,-0.00064663+0.0023761i,0.00015119+0.0024i,0.00018004+0.0012791i,0.00023674+0.00066836i,0.00013777+0.00074648i,0.00045631+0.00054707i,0.00014282-2.8194e-06i,-0.00025185+0.00047214i,0.00010797+0.0008289i,-0.00011884+0.00026144i,-0.00084227+0.00063802i,-0.001299+0.00097542i,-0.0014944+0.00038359i,-0.0016429+0.00013487i,-0.00094151-0.00041171i,-0.00037174-0.0003845i,-3.9231e-05-9.683e-05i,0.00033825-0.00010238i,1.2997e-05-0.00036677i,-3.1154e-05-0.00033922i,-0.00021256-6.9728e-06i
6.2229e-05-0.0007726i,0.00048934-0.00011695i,-0.00075383+0.00067413i,-0.0010364+0.0015997i,-0.00059006+0.0020968i,1.9691e-06+0.0015453i,0.000108+0.00081731i,-0.00040208+0.00020034i,-0.0012607-4.1534e-05i,-0.001382+8.7419e-05i,-0.00028032+0.00067308i,5.6458e-05-0.00013945i,0.00073683-0.00097347i,0.00089243-0.00032349i,0.00069014-0.00050509i,0.00079869-0.00094572i,-4.2562e-05-0.001038i,-0.00044607-0.0010541i,-0.00053585-0.00087755i,-0.00038904-0.0002031i,7.4315e-05-0.00035894i,0.00018077-0.00045984i,0.00034674+0.00035138i
-0.0014723+0.0032633i,-0.00053251+0.0031718i,-0.00064546+0.0033715i,-0.00026102+0.0024734i,0.0016308+0.0017788i,0.0014124+0.0017751i,2.5913e-05+0.0012619i,-0.00068955+0.00057662i,-0.00063213+0.00034723i,-0.00066227+0.0001185i,-0.0011623-0.00059916i,-0.0012355-0.0013751i,-0.00023842-0.0011909i,5.5934e-05-0.00036155i,-0.00015025-0.00035688i,0.00037569-0.00040689i,0.00016577+0.00051696i,-0.00044665+0.0014884i,-0.00021661+0.0010118i,0.00038365+0.0001565i,0.00042306-0.00028963i,0.000176-0.00051797i,0.00042621-6.5606e-05i
0.00037066-0.001296i,-5.9765e-07-0.001106i,-3.6452e-05-0.0010815i,-0.00085331-0.00044695i,-0.0012187+0.00011894i,-0.00039665+0.00036638i,0.00042644+0.00054306i,-0.00046053+0.00069656i,-0.001204+0.00036881i,-0.0013122+0.00036411i,-0.00091554+0.00088712i,9.2817e-05+0.00082924i,0.00048885+0.00068117i,0.00073275+0.00025612i,0.0007649+7.714e-05i,1.8313e-05-0.0004117i,-0.00073706-0.0011765i,-0.00079238-0.00077981i,-0.00064263-0.00011964i,-0.00031354+0.00035373i,-0.0002542+0.00047632i,-0.00016354+0.00027813i,1.661e-05+0.00010706i
-0.0018639+0.00089566i,-0.0028995+0.00081493i,-0.0027306+0.0012841i,-0.0012584+0.0025898i,-0.00036623+0.0030555i,-0.00022343+0.0024253i,0.00025602+0.00057908i,0.00039495-0.00092344i,-0.00010369-0.0011118i,-0.00039757-0.00027259i,-1.9461e-05-0.0001061i,0.00014082-0.00090662i,-0.00045247-0.00074822i,-0.00053766+1.6555e-05i,-0.00039106+0.00034148i,-0.00029618-4.1867e-05i,0.00024538-0.00051135i,-0.00013399-0.00030595i,-8.9097e-06+8.2157e-05i,0.00065003+0.00045016i,0.00029974+3.2015e-05i,-0.00034648-0.00056805i,-0.00031101-0.0002785i
-0.0010148-0.0015029i,-0.0010059-0.00018529i,-0.00056517+0.001153i,-0.00063+0.0016971i,-0.0017483+0.0018185i,-0.0013876+0.0020657i,-0.00057253+0.0016511i,-0.00047141+0.00045802i,-0.00089739-0.00073027i,-0.0017229-0.00024369i,-0.0013926+0.00059419i,-0.00058253+0.00026026i,8.6456e-05+5.9188e-05i,0.0007807-3.2782e-05i,0.00041972-0.00056762i,-8.6665e-05-0.00091771i,2.3111e-05-0.00045993i,0.00071069+0.0001507i,0.0010144-0.00017391i,0.00054129-0.00057326i,0.00033454-0.00049466i,8.1594e-05-0.00068439i,-0.00049451-0.0010238i
6.5545e-05-0.00036854i,-0.00027564+0.00049006i,0.00010302+0.00077202i,-0.00079047+0.00055386i,-0.0018387+0.00067611i,-0.00092004+0.000886i,0.00083136+0.0010243i,0.00059529+0.0008223i,-0.00054401+0.00016659i,-0.00097909-1.0117e-05i,-0.0012951+0.00047623i,-0.00098791+9.0543e-05i,-0.00088973-0.00076536i,-0.00066056-0.00084307i,0.00023989-0.00072977i,0.00046275-0.00041479i,-0.00031816+0.00011347i,-0.0002023-5.1627e-06i,0.00044957-0.00025744i,0.00054809+0.00019976i,0.00031185+0.00014906i,3.3688e-05-0.00013015i,4.2337e-05+0.00097337i
-0.0030084+0.0012347i,-0.0010006+0.0017735i,-0.0010345+0.0029613i,-0.001978+0.003398i,-0.0010584+0.0028363i,0.00016437+0.0025837i,0.00048581+0.0018871i,0.00012222+0.00047688i,-0.00076906-0.00055377i,-0.0012495-0.00063128i,-0.00043787-0.00024592i,-0.00028341-0.00061494i,-0.00042874-0.0011661i,0.00052542-0.00047315i,0.00088935+0.00044492i,0.00032202+0.00028991i,-0.00050616+0.00017084i,-0.00030232+0.00028804i,0.00083682-0.00019515i,0.00082904-6.1518e-05i,0.00069922+0.0002741i,0.00027175-0.00077898i,-0.00017041-0.00052713i
0.00064563+0.0011084i,-0.00017258+0.0013709i,-0.00013189+0.0014935i,0.00013945+0.0012225i,0.00019489+0.0010915i,8.9787e-05+0.0012201i,0.00020285+0.0011872i,0.000422+0.00094656i,3.9602e-05-6.5177e-05i,-0.0006719+0.00011745i,-0.0011883+0.00021893i,-0.00080921-0.00018441i,-0.00046755+1.3618e-05i,-0.00011913+6.8836e-05i,0.0003459-0.00031483i,0.00030445-0.00036616i,-0.00025156-0.00017926i,-0.0002331-0.00020364i,0.00026329+3.4756e-05i,0.00042158+0.00064188i,-0.00033451+0.0004086i,-0.00070335+0.00017302i,0.00016392+0.0005093i
-0.0010694-0.00050812i,-0.00095889+0.00066873i,-0.0011321+0.0017905i,-0.0015143+0.0021911i,-0.0010148+0.0015741i,0.00058459+0.00089871i,0.0013519+0.00024193i,0.00056945-0.00050126i,-0.0010089+0.00019634i,-0.001838+0.00080821i,-0.0015068+0.00052368i,-0.0012075+0.00050534i,-0.0011617+0.00033876i,-0.00090862-0.00012614i,-0.00097574+1.1876e-05i,-0.0007925+0.0005364i,-0.00010574+0.00049088i,0.00054113+0.00042733i,0.00041951+0.00030158i,5.5273e-05-0.00028349i,0.00018365-0.00023374i,-4.3112e-05-0.00029567i,-0.00019436-0.0005409i
-0.00069925-0.00099272i,-0.00041722+0.00026838i,-0.00090417+0.0025623i,-0.0011938+0.0033923i,-0.00080708+0.0019333i,-0.00022901+0.0010095i,-0.00031423+0.0016082i,-0.00061995+0.0013232i,-0.00064921+0.00023437i,-0.00098853+0.0002487i,-0.00092059+0.00023722i,-0.00076938+0.00029819i,-0.00067277+0.00031681i,-0.00025818+0.00072685i,-4.7519e-05+0.001428i,0.00018445+0.00056492i,0.00052542-0.00035005i,0.00012993+3.7359e-05i,-0.00072841+0.0004485i,-0.00088705+0.00062057i,-0.00053211+0.00072831i,-0.00046994+0.00084256i,-0.00022122+0.0011845i
3.6437e-05+0.0013392i,0.00028455+0.00073622i,-0.00039264+0.0012608i,-0.0011271+0.0012835i,-0.00035104+0.0010253i,0.0002289+0.0017998i,-4.1174e-05+0.0015262i,-0.00037079+0.00089153i,-0.00108+0.0006302i,-0.0016223+0.00066627i,-0.0013686-4.1834e-05i,-0.0003553-0.00022201i,0.00016742+0.00053999i,-9.2813e-05+0.00024905i,-8.7408e-05+0.00012579i,0.00024548+0.00027686i,0.00075998+5.8333e-05i,0.00088959-0.00046558i,0.00022224-0.00032777i,-0.00022628+0.00022864i,-0.00088721+0.00017667i,-0.0015538-3.6664e-05i,-0.0011371-0.00041905i
-0.0018219+0.00019516i,-0.0011681+0.001115i,0.00013189+0.0015089i,0.00028866+0.0012321i,0.00023452+0.0013328i,0.00053953+0.0014817i,-0.00013+0.00050974i,-0.00099718-0.00042239i,-0.00099985-0.00091274i,-0.00176+0.00064957i,-0.0015596+0.0013697i,-0.00032334+0.00037502i,-0.00017131-6.919e-05i,0.00016209-0.00028094i,1.5736e-05-0.00028086i,-0.00080206-0.00049092i,-0.0011631-0.00025287i,-0.00047881+6.7139e-05i,0.0002899+2.4021e-05i,9.4392e-05-0.00039714i,-2.5864e-05+0.00028775i,0.00033813+0.00092213i,5.8531e-05+0.00048319i
