-0.001129-0.0019973i,-0.00092222-0.0025241i,-0.0019129-0.00080697i,-0.0012617+0.00084765i,-0.00046699+0.0011457i,-0.00054566+0.0012139i,-0.0003692+0.0016278i,-0.00066511+0.0015649i,-0.00039109+0.00039851i,2.7073e-05-0.00070851i,7.0397e-05-0.0012083i,0.00050264-0.00061568i,0.00046521-0.00011493i,0.00071004-0.00015772i,0.0011603+0.00023668i,0.00026479+0.00089559i,-0.00016174+0.00094876i,-9.707e-06+0.00074615i,-2.5625e-05+0.00054313i,-0.00042909+0.00036912i,-0.00016123+0.00031823i,7.8428e-05+9.4863e-05i,-0.0010197-0.00038819i
0.00053709+0.00069266i,-0.0005424+0.0012178i,-0.00081237+0.0011738i,-9.0273e-05+0.00024548i,0.00016795-0.0013839i,-0.00071903-0.0017037i,-0.0013028-0.00039476i,-0.0010435+0.00056334i,-0.00066374+0.00047045i,-0.00043241-0.00074945i,-0.00031884-0.00088641i,-0.00055234-0.0002222i,-0.00063982+8.1449e-05i,-0.0006688-0.00074252i,-0.0009236-0.0010116i,-0.0010008-0.00014224i,-0.0012332-0.00020001i,-0.001026-0.0011196i,-0.00033398-0.00086897i,1.1132e-06+8.3267e-05i,-8.6089e-05-6.4555e-05i,-0.00041043-0.00012597i,-0.00040879-0.00016747i
0.00014419-0.0010945i,0.00012477-0.0013491i,-1.41e-05-0.0011399i,-0.00048514-0.00028006i,-0.0010555+0.00021722i,-0.0010233+0.00033104i,-0.00021376+0.00051423i,7.0874e-05+0.00026856i,-0.00019048+0.00018955i,-0.00077252-0.00040151i,-0.0006306-0.00075706i,-0.00053642-6.4206e-05i,-0.00012013+7.4621e-05i,-0.00027673-6.0992e-05i,-0.00095984-0.00025267i,-0.00080959-0.00040839i,-0.00023227+3.9662e-05i,0.00063908+0.00083709i,0.00094729+0.00048401i,0.0010317+0.00038427i,0.0010803+0.00090455i,0.00093057+0.00070832i,-6.8047e-05+7.4551e-05i
-0.00072253-4.1506e-05i,-0.00056083-0.00029477i,-0.00040319+9.7631e-05i,3.6537e-05+9.1166e-05i,0.0010472-0.00040879i,0.00072914-0.00052174i,-0.00050664+0.00031211i,-0.0013783+0.00042331i,-0.0011281+0.00021137i,-0.00070007+0.00042721i,0.00016495+0.00057985i,0.00071772+0.00054421i,0.00031958+0.00020831i,-8.4161e-05-0.0005597i,-5.1482e-05-0.00047846i,4.1468e-05+0.00016723i,-0.00064705+0.00027476i,-0.00083064+0.00032104i,-0.00092485-0.00052171i,-0.00067047-0.0010646i,-3.6273e-05-0.00029032i,-0.00045115+0.00026913i,-0.0006587+0.00022069i
0.00027703+0.00016097i,-0.00061184+6.5365e-05i,-0.00061568+0.00021661i,-0.00062345+0.0011232i,-0.00030305+0.00095138i,0.00081386+3.9996e-05i,0.0007099-1.4182e-05i,-0.00018329-0.00017112i,-0.00042026-0.0003385i,-0.00017888-0.0002178i,-0.00014414+0.00032328i,-0.00021654+0.0001986i,-0.00017756+0.00041088i,-0.00027638+0.00059082i,-0.00036882+6.0669e-05i,-0.00019812+1.7578e-05i,0.00015417+2.3384e-05i,0.00055218-0.00020224i,0.00032601-0.00040021i,1.8992e-05-6.8285e-05i,-0.00023454+0.00014507i,0.00012808-0.00061157i,0.00038515-0.00043076i
-0.00043961-0.00023425i,-0.00041038+9.3163e-05i,-0.00048045-0.00096038i,-0.00073179-0.0013514i,-0.00096439-0.00096268i,-0.0010068-0.00021485i,-0.0014646+0.00049536i,-0.0013964+0.00079469i,-0.0012418-0.00022514i,-0.0010721-0.00080807i,-0.00036355-0.00061666i,-8.7062e-05-0.00038728i,0.00019147-0.00069149i,0.00090644-0.0011203i,0.00095401-0.00042763i,0.00062004+0.00025122i,0.00098471+0.00018759i,0.00099399+8.2706e-05i,0.00074343+0.00010178i,0.0005168-0.00011452i,0.00011034-0.00033229i,-5.9616e-05-4.2847e-05i,-0.00076986+0.00029353i
-0.00087999-0.0019416i,-0.00047878-0.0019201i,-0.00053621-0.00070825i,-0.00085297+0.00076663i,-0.00043099+0.0013499i,4.8398e-05+0.0010774i,0.00099078+0.0008404i,0.0012962+0.00023322i,0.00034759-0.00059806i,-0.00041957-0.00017938i,-0.00072446+0.00030365i,-0.00073624+0.00037305i,-0.00052905+0.00022564i,-0.00013946+0.00018356i,0.00052121+0.00035204i,0.00011066-8.9636e-05i,-0.00027406-0.00046421i,-0.00066113-0.00050843i,-0.0004399-0.00011525i,3.625e-06+0.00015327i,0.00022426-0.00036202i,0.00031477-0.0001213i,-0.00028275+0.00012577i
0.00020439-0.00070018i,0.00035784-0.00042973i,0.00064934+0.00019156i,0.00068285+0.00019154i,0.00092911-9.7948e-05i,0.00061626-2.2795e-05i,0.00030717+0.00020891i,-0.00026297-8.9336e-05i,-0.00069274-0.00057527i,-0.00056416-0.00085748i,-0.00060468-0.00072439i,-0.00035254-0.00044509i,-0.00015084-0.00051393i,-0.00027364-0.00033024i,0.00017961-9.6507e-06i,9.7163e-05+0.00018126i,-0.00046531+0.00085455i,0.00021657+0.0010539i,0.00046689-1.3343e-05i,0.00032045-6.1616e-05i,0.00062827+0.00051281i,0.00065815+0.00069397i,-0.00018484-0.0001246i
-0.0012312+0.0018603i,-0.0011475+0.0026545i,-0.00082529+0.0025204i,2.3788e-05+0.0016281i,0.00049087+0.0010737i,-6.4821e-05+0.00015707i,-0.00054345-0.00077315i,-8.2328e-05-2.9411e-05i,-0.00013774+0.00078313i,-0.00045927+0.00040169i,-9.1983e-05-0.00080267i,6.3134e-05-0.0013962i,-0.00037377-0.0010709i,-0.00043632-0.0002644i,2.1713e-05+0.00022779i,0.00045652-0.00017116i,0.00078937-0.00061048i,0.00085059-0.00085006i,0.00063171-0.00043904i,0.0002564+4.5831e-05i,-0.00014011-1.5066e-05i,-0.00023861+0.0005029i,-0.00042846+6.8514e-05i
-0.00057766+0.0020018i,4.8269e-05+0.0013476i,0.00023378+0.0014096i,0.0005013+0.0015899i,0.00091586+0.00080451i,0.00032833-0.00049316i,-0.00068763-0.00068996i,-0.0010207-0.00084542i,-0.00045499-0.00074903i,-0.00016158-0.0004044i,9.931e-05-0.00017903i,0.00021234-0.00013901i,0.00042562-0.00010854i,0.00020376-0.00037983i,-0.00025774-0.00077425i,-0.00069926-0.00016445i,-0.00036283+7.43e-05i,0.0001727-0.00027176i,-0.00036689-0.00073408i,-0.00062227-0.0010997i,-0.0004721-0.00062213i,-0.00013081+0.00037662i,-6.0845e-05+0.00061421i
-0.0012257+0.0010656i,-0.00013734+0.0013917i,0.0013872+0.00088341i,0.0019504+1.0566e-05i,0.00046558-0.00065302i,-0.00078486-0.0010925i,-0.00075345-0.0012564i,0.00020645-0.00080444i,0.00054887+0.0001312i,-0.000578+0.00035796i,-0.00044057+0.00054825i,0.0002332+0.0008651i,0.00049675+0.0007019i,0.00056458-6.51e-06i,9.5347e-06-3.8185e-05i,-0.00056994+0.00076032i,-0.00021985+0.00069897i,0.00065052+2.1836e-05i,0.00095679+0.00016825i,0.00087466+0.00030424i,0.00042281+8.1298e-05i,-0.00022507-1.7314e-05i,-0.00075833+0.00054921i
-0.00098636-0.0013798i,-0.00051438-0.00060061i,-0.00021527+0.00034631i,0.00052781+0.0003179i,0.00075235+0.00020973i,5.06e-05-2.2855e-05i,-0.0010453+0.00025711i,-0.00098213+0.00070561i,-0.00052736+0.00031011i,-0.00064029+0.00030622i,-0.0006312+0.00069795i,-0.00066859+0.00082431i,-0.00072776+0.00040411i,-0.0004757-0.00033131i,-0.00034777-0.00062895i,0.00044079-0.00061023i,0.00020723-0.00048124i,-0.00062078-0.00022851i,-0.00036201+1.5889e-05i,0.00024778-0.00037236i,0.00042836-0.00014718i,-0.00035598+0.00048492i,-0.00057019+0.00079132i
0.0019071+0.00061157i,0.0014223-0.0002392i,0.00039023-0.0014611i,-0.00039603-0.0016829i,-0.00070798-0.00044291i,-0.0012282+0.00096997i,-0.0012333+0.0011079i,-0.00087892+0.00043547i,-0.00034463+0.00023323i,-0.00021763+0.00083818i,-0.00011006+0.00094465i,-0.00019083+0.00092078i,-0.00078824+0.00091693i,-0.00083076+0.00088718i,-0.00045866+0.0013258i,-0.00033786+0.0011057i,9.0906e-05-0.00056166i,0.00064776-0.0012356i,0.00068962-0.00018358i,0.00053142+0.00045324i,7.8424e-05-0.00039434i,-0.00037009-0.00088796i,-0.00028324-0.00037064i
0.00018989+0.00015068i,0.00035576-0.00074221i,0.00074203-0.00045468i,0.00049139-6.5416e-05i,0.00012606+0.00022607i,3.8951e-05+0.00069247i,0.00052994+0.00017836i,0.0004608+0.0001828i,0.0001233+0.00026471i,-0.00024018-0.00030132i,-0.00061147+0.00023281i,-0.00056892+0.00046037i,-0.00046273+0.00064557i,-0.00077729+0.0015362i,-0.0003779+0.0010306i,0.00012431+9.5013e-05i,0.00010605+0.00042979i,0.00026709+0.00099435i,0.00081591+0.00083334i,0.00076502-0.00015742i,0.00064604-0.00085183i,0.00068991+3.3287e-07i,7.6466e-05+0.00033144i
-0.00020399+0.0002763i,-0.00077842+0.00044538i,-0.0004756+0.00037868i,0.0002516+0.00041765i,0.00079409+0.00022974i,0.00089975-0.00011845i,0.00050018-0.00020511i,0.00013167+0.00024219i,-0.0002255+0.000306i,0.00013765+0.00030379i,0.00055514+0.00066817i,0.00049739+0.00062046i,-6.6238e-05+0.00064522i,-0.0010571+0.00019443i,-0.00032821-0.00042275i,0.0002884-0.00021825i,2.7049e-05+0.00019675i,6.4656e-05+0.00074914i,0.00049694+0.00088193i,0.00065161+0.00017184i,1.9479e-05-0.00017949i,-9.979e-05+0.0001264i,0.00040761+0.00011858i
1.1241e-05-0.00053322i,-0.0004028+0.00055515i,-0.00046271-0.0002058i,0.0001896-0.00064133i,-9.7345e-05-0.00015045i,-9.0533e-05+0.00071576i,0.00043268+0.00075973i,0.00047381+0.00020151i,0.00025165-8.4995e-05i,0.00027222-4.0814e-06i,0.00011857+0.00094739i,-0.00031815+0.0012242i,0.00017159+0.00041245i,-0.00018954+0.00013914i,-0.00093039+0.00079856i,-0.000189+0.0003068i,0.00093358+1.3778e-05i,0.00056157-8.4522e-05i,9.0177e-05-0.00024211i,0.00023257-0.00027622i,0.00040084-0.00055288i,0.00066648-0.00027812i,0.00025991-9.3175e-05i
5.3846e-06+0.0022008i,1.0508e-06+0.001651i,0.00054147+0.0010171i,0.0017386+0.0004118i,0.0019713+0.00013975i,0.00066156-0.00059038i,-0.00041319-0.00075475i,0.00025621-9.4434e-06i,0.00071966+0.00015721i,0.00024667-0.00080941i,0.00032394-0.00087665i,0.00038937-0.00052879i,0.00034559+0.00016645i,0.00072837+0.00016016i,1.5267e-05-0.0010131i,-0.00098286-0.00096363i,-0.00050827-0.0001169i,-0.00019733-4.5869e-05i,1.3434e-05-0.00029643i,0.00036277+0.00067193i,0.00010874+0.00053542i,-7.5126e-05-0.00035385i,-0.00010982+0.00029874i
-0.00028966+0.00076211i,-0.00040523-0.00046063i,0.0004373-0.0012546i,0.00097908-0.0010768i,0.00048852-0.00070252i,-1.1407e-06-0.00047745i,4.1393e-05-0.00021471i,0.00012117-0.00023172i,0.0001259-0.00067893i,-6.5707e-05+0.00011955i,-0.00044022+0.0004528i,0.00026795-0.00012832i,0.00057181+0.00017422i,0.00036058+0.00051464i,0.00031696-0.0001015i,-0.00032958-0.000373i,-0.00043751-0.00021547i,2.6877e-05-0.00034829i,0.00018427-0.00019962i,7.774e-06-0.00021858i,-0.00014194-0.00077853i,-2.6777e-06-0.0010871i,0.00015646-0.00090632i
0.00035992-0.00067389i,0.0012899-0.00042754i,0.0013663-0.00046538i,0.00048985-0.00058461i,4.5959e-05+3.8059e-05i,-0.00052923+0.00050448i,-0.0010543+0.00025804i,-0.00050761+0.00051261i,-0.00030326+0.00038869i,-0.00098488-0.00023928i,-0.00085677-0.00040566i,0.00015115-0.00023594i,0.00075367+0.00043422i,0.00076347+0.00097453i,0.00017122+0.00021146i,-0.00021581-0.00026444i,-0.00031399-0.00011463i,-0.00056515-0.00066655i,0.00049328-0.00066299i,0.0010131-0.00017638i,8.783e-05-0.00021289i,-0.00019294-8.2739e-05i,0.00040371+0.00020752i
-0.0026807+0.00027467i,-0.0018444+0.0018614i,-0.0010407+0.0027952i,-0.0003391+0.0018984i,-0.00040338+0.00066454i,7.6967e-05-0.00033242i,0.000436-0.00038088i,0.00020434-0.00023756i,0.00013624+5.4837e-05i,0.00084568+0.00068512i,0.00086546+0.00056316i,0.00011402+0.0002648i,0.00011898+7.9597e-05i,0.00053771-0.00059799i,0.00073067-0.0016837i,0.00069564-0.0014656i,-0.0001171-0.00030988i,-0.00065925-0.00059653i,-0.00082324-0.00053903i,-0.00069253-8.323e-05i,0.00029851+5.199e-05i,0.0002702-7.8908e-05i,3.0628e-05+0.00036135i
0.0011033-0.00060709i,0.0010982-0.0001697i,0.00085934+0.00036783i,-0.00025396-6.5665e-05i,-0.00058727-0.00055948i,-0.00040308+7.7934e-05i,-0.00099614+0.00039037i,-0.00076251+1.7292e-05i,-0.00011989+0.00049608i,9.2895e-05+1.6174e-05i,-0.00022919-0.00063196i,-0.0008726-0.00050353i,-0.00069723+0.00027153i,-0.00087917+0.00075512i,-0.0011208+0.00016902i,-0.00064316-0.00033965i,7.0185e-05+0.0007036i,0.0002457+0.0014883i,-0.00032063+0.0010791i,-0.00012217+0.00020561i,0.00035364-0.00024184i,0.00046181-0.00010575i,5.2968e-05-0.00041149i
0.00037438+9.3918e-05i,0.00052361-0.00031604i,0.00012639-0.00020351i,0.00015603-0.00045158i,0.00057653-0.00066076i,0.00049188-0.00054156i,9.9247e-05-0.00042868i,-0.0002622-0.00018068i,-0.00015272-6.3249e-05i,0.00022832-0.00018058i,-0.00029193+0.0002681i,-0.00033066+0.00079955i,-9.5197e-05+0.00065656i,0.00018318-0.0005495i,0.00039722-0.00076058i,-4.2237e-05-2.1935e-05i,4.5752e-06-0.00013089i,0.00073179-0.00020733i,0.00052098+0.00014452i,2.0115e-05-0.00020495i,-0.00012223-0.00031301i,-0.0005418-4.577e-05i,-0.00090257-9.2526e-05i
-0.00048813+0.00035038i,4.8176e-05+0.00037806i,-0.00029079+6.4354e-05i,-0.00023314-0.00034171i,-0.00028352+0.00044556i,-0.00027201+0.0010709i,-4.2801e-05+0.0005602i,0.00016171-0.00016596i,0.00013296-0.00010752i,-0.00013995-5.0698e-05i,-0.00085764-0.00047779i,-0.00068512-0.00040335i,-1.9148e-06-0.00032423i,-0.00030381-0.00065148i,0.00056676-0.00070761i,0.0012882-0.00037802i,3.1336e-05-0.00014991i,-0.00078637-0.00060162i,-0.00050357-0.00032838i,3.8068e-05-0.00031079i,0.00048-0.00048687i,0.00019668-0.00032707i,-1.7216e-05-0.00075573i
0.0010313+0.0009665i,0.0012709+0.00026874i,0.00088851+1.2257e-06i,0.0003996+0.00065452i,-0.00023264+0.00034117i,-0.00034224-0.0002561i,-8.0137e-05-1.037e-05i,0.00016016+0.00033338i,-0.00013421+0.00060854i,-0.00072983+0.00036313i,-0.00017551+0.0002555i,0.00030668+0.00076646i,-0.00056995+0.0011288i,-0.0010359+0.00072163i,-0.00065106+0.00016885i,-0.00044744-0.0004187i,-6.2469e-06-0.00062899i,0.00058545-0.00039625i,0.00074205-0.00047404i,0.00048561+0.00022378i,0.00043216+0.00081889i,6.9968e-05+1.3832e-05i,-0.00078594-0.00083669i
-0.00073984-0.0024366i,0.00011108-0.001498i,2.6472e-05-0.00013967i,-0.00043588+0.00026743i,-0.00029481+0.00056254i,-5.0883e-05+0.00020489i,-0.00059912-0.00019777i,-0.00090296-0.00030442i,-0.0005587-0.00083851i,-0.00050709-0.0008793i,-0.00051542+0.00020379i,0.00049218+0.00055827i,0.001007+0.00033185i,0.0004407+0.00060333i,-6.8528e-05+0.00082771i,6.699e-05+0.0007857i,0.00052031+0.0004001i,0.00056104-0.00043332i,0.00030837-0.00051218i,0.00023002-0.00024803i,-0.00021923+0.0003297i,-0.0010171+0.00044332i,-0.00043502-0.00017889i
0.00058267-0.00066442i,-7.0893e-06-0.00067234i,-0.00063301-0.0013454i,-0.00022923-0.00084305i,0.00046506-0.00012319i,0.00054301-0.0001555i,0.00011136-0.00022121i,-0.00014203-8.7358e-06i,0.00023107+0.0006658i,-0.00016819+0.00099672i,-0.00087275+0.00058131i,-0.00058777-0.00026705i,-0.00044678-0.00070954i,-9.6697e-05-0.00099843i,0.00023327-0.0012724i,0.00035908-0.0009014i,0.00076915-7.1031e-05i,0.00050712+0.00040367i,0.00028447+0.00052914i,0.00086026+9.1387e-05i,0.00047963-0.0009768i,-0.00048008-0.0011698i,-0.00083473-0.0003084i
-0.0016292-0.00072958i,-0.0012664+0.00023423i,-0.00031624+0.0013046i,0.00052281+0.0012603i,0.0010728+0.00052181i,0.0016579-0.00074814i,0.0004137-0.00099104i,-0.00073999-0.00018694i,-0.00046661+0.00056245i,-0.00017279+0.0011771i,-0.00086988+0.0011743i,-0.00064461+0.00030783i,0.00032035-0.0007169i,0.00021718-0.00047616i,0.00039766+0.00024687i,0.00073667+5.2687e-05i,0.00018354-0.00045451i,0.00068356-0.00081684i,0.00087134-0.00056424i,-0.00020478-0.00024045i,-0.00017616-0.00021273i,0.00077731-0.00015062i,0.00093329+0.00020687i
0.00057919+0.00086631i,0.00058535+0.00055882i,0.00082339-7.693e-05i,0.0011167+0.00040905i,0.00077429+0.0004695i,-2.6721e-05-0.00036476i,-0.00078746-7.5293e-06i,-0.00085824+0.00022499i,0.00023544+2.5132e-05i,0.0010847-1.755e-05i,0.00042519-0.00017621i,0.00017692-0.00030086i,0.00014783-0.00090913i,-0.00020148-0.0017034i,0.00020049-0.00084461i,0.00047315+0.00030963i,0.00028699+0.00080371i,0.0005158+0.00018246i,0.00058412+1.2442e-05i,-0.00066379+0.00047423i,-0.00064003+0.00065535i,-0.00040486+0.00039756i,-0.00073493-0.0003108i
-0.00099682+0.002823i,-0.00040942+0.0022894i,0.00074763+0.00094542i,0.00086016+0.00035313i,0.00049013+0.00018374i,0.00028342-0.00029233i,0.00012452-0.00010304i,0.00061462+0.00053762i,2.225e-05+0.0005231i,-0.00024735-0.00014717i,0.00071531-0.00024494i,0.00042169-0.00041859i,6.24e-05-0.00031078i,-0.00051307-0.0001917i,-0.00076798-0.00095665i,-0.00020275-0.00081625i,0.00034032-2.7185e-05i,0.00063046+0.00027367i,2.2209e-05-3.5394e-05i,-0.00065247-0.00022934i,-0.00027353-0.00020667i,0.00028391-0.0003125i,0.00015523-0.00024243i
8.3512e-06+0.00048451i,0.00092628+0.00057603i,0.0014646+0.0005678i,0.00088241+0.00054161i,-2.7567e-05-0.00043529i,-0.00075601-0.00040447i,-0.0009072+0.00047481i,-0.00022002+0.00094045i,-3.9796e-05+0.00076638i,-0.00044196+0.00024559i,-0.00031268-0.00043235i,-0.00070642-0.00038583i,-0.0011577+0.00054214i,-0.0011802+0.00070563i,-0.00079345+0.000373i,-0.00061383-0.0002752i,-0.0004821-0.00095746i,-0.00056601-0.00078365i,-0.00064229-6.8805e-05i,-3.0622e-05+0.00059427i,3.4869e-05+0.00034332i,0.00040828+8.2711e-05i,0.00088923+0.00023979i
-0.00010275-0.0003401i,-0.00082738-0.00012964i,-0.00058577-0.00036991i,0.00067123-0.00035779i,0.0012943+0.00019437i,0.00028382+0.00016805i,-0.0003634-3.1434e-05i,-0.00056226+0.00025703i,-0.0006047+0.00040622i,0.00034696-1.4723e-06i,0.00083888+0.00011034i,0.00030043+0.00027425i,-7.396e-06+0.00046969i,-0.00045124+0.0013863i,-0.001087+0.00054381i,-0.00079323-0.00095529i,3.4998e-05-0.0005853i,0.00036955-0.00067817i,0.00063116-0.00081451i,0.00044434+0.00020636i,6.7565e-05+0.00047104i,-0.00024298+6.9732e-05i,-0.00050259-0.00062787i
