0.00079249+0.00026907i,0.00038675+0.00029463i,-1.298e-05-0.0014243i,-0.00075632-0.0015521i,-0.0021783-0.00025592i,-0.0023021+0.00066768i,-0.00042181+0.00044226i,0.00099603+0.00036652i,0.00077757+0.00068653i,0.00049397-1.3218e-05i,0.00035318-0.00041132i,-0.00035504-8.5542e-05i,-0.00023578+2.7259e-05i,-0.00014739+0.00018946i,-0.00043679+0.00031857i,-0.0005374-0.00017844i,-0.00064016-0.00049997i,-0.00051103-5.9918e-05i,6.0596e-05+0.00027462i,-0.000159+0.0002955i,-5.1714e-05+0.00076653i,-0.00031038+0.00097058i,-0.00032491+0.00061084i
0.0011428-0.0017262i,0.00028588-0.0018403i,-0.0005025-0.001659i,-0.0013444-0.00078329i,-0.00091176-0.00047902i,0.00060868-0.0010869i,0.0015047-0.0017031i,0.001378-0.0015169i,0.00052175-0.00087651i,-3.4216e-05-0.00061328i,0.00032242-0.00072206i,0.0007021-4.3093e-05i,0.00052355+0.00090417i,1.665e-05+0.00097589i,-0.00083411+0.00073166i,-0.00073381+0.00048521i,5.2069e-05+0.00048515i,0.00012149+0.0007465i,0.00022365+0.00033732i,-0.00011199+7.6528e-05i,-0.00059929-0.00012159i,-1.8514e-05-0.00039642i,0.00053745-0.00033185i
0.0011498+0.0017189i,0.0013303+0.0018623i,0.00011132+0.00068378i,-0.00034391-6.8773e-05i,-3.3044e-05-0.00027388i,0.00027276-0.0010746i,0.00074215-0.0014058i,0.00025384-0.0014348i,-0.00031808-0.0013791i,-0.00021034-0.00073915i,-0.00031524-0.00012053i,-0.00075374+0.00036351i,-0.0010533+0.00047927i,-0.0014242-0.0003148i,-0.001125-0.00080556i,-0.00039147-8.1819e-05i,0.00033244+0.00018099i,0.00043127+0.00092207i,0.00051712+0.00096024i,0.0012458-0.00014119i,0.00034161-0.00028879i,-0.00050878-0.00010565i,-0.00028231-8.1302e-06i
-0.0012579+0.0022088i,0.00012428+0.0015937i,0.0011649+0.00085452i,0.00058968+0.00031672i,-0.00063259-0.00012956i,-0.0010604+5.422e-05i,-0.00045431-0.00041969i,-0.00022124-0.00086466i,-0.00024428-0.00062282i,-0.00064666-0.000348i,-0.0011987-0.00029789i,-0.00082084-0.00047995i,-0.00049689-0.00061718i,-0.00075327-0.00030804i,-0.00033711+0.00019265i,0.00036137+0.00061465i,0.00052622+0.0017337i,8.454e-05+0.0020361i,0.00036726+0.0011642i,0.00082485+0.00011757i,0.00032694+0.00034519i,-0.00046+0.00051093i,-0.00066365-0.00015353i
-0.0018999-0.00040806i,-0.0014807+0.0003034i,-6.5305e-05+0.00041663i,0.0012999+0.00062714i,0.0014276+0.00057644i,0.0015474-0.00077209i,0.0011127-0.0016435i,-0.00024987-0.00139i,-0.00094453-0.00069797i,-0.00066682-0.00035524i,-0.00032432+0.0001417i,3.1265e-05+0.00039629i,-0.00043238+0.00010398i,-0.00072921-0.00054434i,-0.00014332-0.00061963i,6.1679e-05-0.00016907i,-0.00033986-0.00018061i,-0.00035603-0.00023739i,-0.00046699+0.00054112i,-0.00093952+0.00059617i,-0.00067562+0.00013155i,-0.00033392-2.4603e-05i,-0.00019081+6.2714e-05i
-0.00021526-0.00060743i,0.00022065-0.00054438i,-0.00037331-0.0018189i,-0.00092142-0.0013735i,-0.00068458-0.0010354i,-0.00011847-0.0011302i,-0.00030388-0.0011631i,-0.00030395-0.0011559i,-1.967e-05-0.00062561i,-0.00030045-1.6222e-05i,-0.00049005+0.00019569i,-0.00056756+0.00073833i,-0.00010075+0.0006419i,0.00025974-0.00012511i,0.00016816-0.00033499i,-0.00033181+0.00016521i,-0.00080065+6.4398e-05i,-0.00023163-0.00044333i,0.00016227-0.00019461i,-3.3404e-05+0.00036998i,-0.00010281+9.9632e-05i,0.00015406-0.00036629i,0.00057879-0.00015379i
-0.00022835+0.0010954i,-0.0001044+0.0011835i,0.00033019+0.0010014i,0.00082222+0.00088629i,0.00094536+0.00072381i,0.00077599-0.00010088i,0.0005277-0.00078112i,0.00046148-0.0011365i,0.00044614-0.00022173i,0.00044878+0.0011256i,-0.00059772+0.00084731i,-0.0013388-0.00033685i,-0.00056179-0.00049711i,-0.0003207-0.00022903i,0.00013867-0.00035247i,0.00040364-0.00018906i,-0.00020585-0.00036567i,-0.0004626-0.00036509i,-0.00028589+0.00047i,-0.00059087+0.00025353i,-0.0010842-0.00011929i,-0.00058742+0.00064285i,-0.00018376+0.00062968i
-0.0017022+0.00099349i,-0.00094535+0.00099971i,-0.00022231+0.00012755i,0.00064891+9.4638e-05i,0.00098997+0.00021762i,0.001066-0.00072299i,0.0014545-0.0017351i,0.0010501-0.0010937i,0.0005558-0.00018583i,0.00062169-0.00017952i,0.00084982+0.00016335i,0.00075997+0.00080943i,1.7158e-05+0.0006822i,-3.8038e-05+4.111e-06i,0.0007821-0.0004051i,0.00024328-0.00015057i,-0.00028117+0.00067391i,-0.00031111+0.00090487i,-0.00063182+0.00021784i,-0.00082811-0.0012178i,-0.00023025-0.0014704i,-0.00027609+6.7663e-05i,-0.00037232+0.00017454i
-0.0023564+0.0016976i,-0.001607+0.0020815i,-0.0011461+0.0025123i,-0.0007694+0.0016282i,0.00049012+0.00014364i,0.0017826-0.00037762i,0.0011692-0.00095714i,-0.00074751-0.0011455i,-0.001146-1.9475e-05i,-0.00018056+0.0013781i,0.0003537+0.00066642i,0.00029464-0.00089828i,0.000163-0.0012929i,3.7842e-05-0.00063322i,-0.0001477-0.00038379i,-0.0002622-0.00047138i,-0.00025013-0.00045605i,-0.0003121-0.00017849i,-0.00041342-0.00015999i,-0.00017204-7.0087e-05i,-9.9323e-05+0.00063559i,0.00031192+0.00044037i,0.00012314-0.00050942i
-0.0012496-0.00038554i,-0.0015907-0.00048378i,-0.0015996-0.00065533i,-0.00033708+0.00013745i,-0.00019236+0.00098294i,-0.00073437+0.00016725i,0.00016642-0.0015012i,0.00033095-0.0015265i,-6.9604e-06-0.00063599i,-0.00040329+0.00013614i,-0.00097293+0.00051306i,-0.001223+0.00055169i,-0.0012965+0.00021012i,-0.00086949-0.00020294i,-0.00093979+5.7233e-05i,-0.00070074-0.00015928i,-0.00054114-0.00031885i,-0.00046385+0.00037313i,-9.9046e-05+0.00085896i,0.00038193+0.00063977i,0.00074156+0.00039444i,0.00080625+0.00078851i,-0.00015288+0.00066546i
-0.00079879-0.0022754i,-0.0015548-0.00099346i,-0.0022358+0.00023429i,-0.0015507+0.00062376i,-0.00010377+0.00021237i,0.001202-0.00078244i,0.000883-0.0013978i,-0.00025193-0.001356i,-0.00098693-0.00069151i,-0.00089536+0.00013199i,-0.0010945+0.00055419i,-0.001094+0.00048854i,-0.00022628+0.00040523i,0.00089137+9.3799e-05i,0.0011153-0.00028544i,8.3291e-05+4.7257e-05i,-0.00084485+0.00021281i,-0.0006425-8.4909e-05i,-0.0005442-0.00068841i,-0.001135-0.0007685i,-0.0018482+0.00036665i,-0.0016012+0.0010544i,-0.00083492+0.00074344i
-0.00038095-0.0013029i,-0.0014652-0.00019433i,-0.0013211+0.00046777i,-0.00073238+0.0001888i,-4.8866e-05-0.00065594i,0.0010452-0.001435i,0.0016937-0.0013318i,0.00056875-0.0005048i,-0.00060898-0.00021253i,-0.0011272-5.6423e-05i,-0.001076-6.4205e-05i,-0.00028784-0.0006844i,0.00046681-4.3298e-05i,0.00022455+0.00056015i,-0.00058547+0.00012192i,-0.00025364+0.00023833i,8.2411e-05+0.00052329i,-1.3423e-05+0.00082273i,-0.0001521+0.0010001i,0.00020994+0.00029128i,-0.00014897-4.378e-05i,-0.00060185-8.1893e-05i,0.00010775-0.00016373i
-0.0012646-0.0015174i,-0.001128-0.0011793i,-0.00069417+0.00023463i,-0.00024905+0.0010979i,0.00012437+0.00040311i,-6.4366e-05-0.00055019i,0.00024025-0.00061598i,0.00046756-0.00073536i,0.00046507-0.00046687i,-4.6069e-05+0.00043575i,-0.00034016+0.00065764i,-0.00027368+0.00077818i,-0.00029841+0.0010405i,-0.00043353+0.00067884i,-0.00071924-8.4501e-05i,-0.0013664-0.00079038i,-0.00092618-0.00094812i,-0.00020381-0.00058558i,-0.0003747-1.1457e-05i,-0.00022164-7.8541e-05i,-0.00032607-0.0004258i,-0.00075776-0.00023673i,-0.0010809-7.655e-05i
-0.0019093+0.00083888i,-0.0025195+0.000689i,-0.0016911+0.00035699i,-0.00047811-0.00044556i,-0.00045199-0.0011689i,-0.00029836-0.0016103i,-2.6701e-05-0.0017841i,-0.00019889-0.0011517i,-0.00026501-0.00072028i,-0.00079081-0.00032396i,-0.0005032-0.00043293i,-0.00010086-0.00073769i,-0.00045582+0.00016847i,-0.00052085+0.0009775i,-0.0008117+0.00074322i,-0.00086898+0.00019929i,-0.00014061+0.00034338i,0.00031183+0.00045716i,0.00012364+0.00027208i,-6.3244e-05-3.5856e-05i,-0.00021672-0.00037608i,-8.3707e-05-0.00021812i,3.2787e-05-0.00013202i
0.00029073+0.00099998i,-0.00064843+0.0012902i,-0.00065966+0.0013204i,1.966e-05+0.00064147i,0.00059422-0.00099737i,0.00068237-0.001537i,0.00044468-0.0019287i,0.00096423-0.0015338i,0.00042341-0.0002237i,-0.00014011+1.133e-06i,0.00025414-0.00018982i,-5.3349e-05+0.00026377i,-0.00095279+0.0011167i,-0.0011404+0.00052648i,-0.00022386-5.7513e-05i,0.0003152+0.00037231i,0.00081989+0.0001379i,0.00092685+0.00011803i,-0.00015885+0.00022641i,-0.00069752-0.000364i,-0.0002601-0.00011034i,-0.00010067+0.00033535i,-0.00010479+0.00024079i
0.00083292+0.0015983i,-0.00011181+0.00051448i,-0.00075497+0.00066817i,1.2035e-05+0.001065i,0.0011075+0.00050907i,0.00094299-8.9496e-05i,3.4823e-05-0.00059011i,-0.00098511-0.0004841i,-0.0011231+7.4727e-05i,-0.00077822+0.00030642i,2.6231e-05+0.00030199i,0.00024594+0.00015203i,-4.8684e-05-4.0056e-05i,-0.00048476+0.00029491i,-0.00042267+0.00051886i,0.00025505+0.00030179i,0.00057727-0.00013953i,0.0012725-0.00064814i,0.001033-0.00058608i,0.00029695+6.6974e-05i,0.00045595+0.00069261i,0.00061237+0.00066491i,0.00028043+0.00043702i
0.002085+8.5975e-05i,0.0018298+0.00018137i,0.0017669+0.00016895i,0.00065027-5.0572e-05i,0.00079913-0.00091833i,0.0014507-0.0015462i,0.0011555-0.0013527i,0.00067252-0.00090734i,0.00051077-0.00045482i,0.00017972+0.00027091i,5.1782e-05+0.00062043i,-0.00044546+0.00032751i,-0.00025372-0.00020148i,-0.00027219+0.00010555i,-0.00054754+0.00072191i,-0.00023676+0.00065306i,-0.00039965+0.00070052i,0.00012068+0.00022098i,0.00083012+0.0002875i,0.00029773+0.00035962i,-0.00015083-0.00018698i,0.00041909-7.9685e-05i,0.00074305-8.272e-05i
-0.00057873+0.0011407i,-0.00071833+0.0014991i,-0.0011384+0.00026923i,-0.00090397-0.00054061i,0.00022376-0.00011471i,0.00077533-9.538e-05i,0.00031949-0.00097023i,-0.00012584-0.0012362i,-0.00061668-0.00080563i,-0.0013149-0.00010966i,-0.0014215+0.00054754i,-0.0010699+0.00058786i,-0.0004283-0.00012268i,-0.0005302-0.00032121i,-0.00060247-7.9903e-05i,-0.00056455-0.00034171i,-0.0003772-0.00016649i,9.281e-06+0.00058638i,0.00032202+3.2324e-05i,0.00034749-0.0013669i,0.00027897-0.00098992i,0.00064231+0.00017829i,0.00025902-9.6258e-05i
-0.0021443+0.0015902i,-0.0019424+0.0018405i,-0.0011661+0.0015841i,0.00040146+0.00059106i,0.0012087-0.00011722i,0.001005-0.00056796i,0.00038018-0.0012835i,-0.0001323-0.0012301i,-0.00073667-6.5822e-05i,-0.0010675+0.00094168i,-0.0010715+0.00096661i,-0.00093177-5.3621e-05i,-0.00027396-0.0004867i,-0.00022877-0.00065369i,-0.00051127-0.0011496i,-0.00017376-0.0010897i,-0.00025157-0.00032393i,-0.00046429-0.00014805i,-0.00052901-0.00018951i,-0.00067217-0.00027448i,-0.00020411-0.00030189i,5.4992e-05-0.00036448i,-0.0006744-0.00033863i
-0.0032559-0.00049034i,-0.0027669+0.00036226i,-0.0016989+0.00095435i,0.00040935+0.0011987i,0.0017223+0.0012134i,0.0027951-0.00042128i,0.0020221-0.0014158i,0.00014243-0.0015583i,-0.00035674-0.00074388i,-0.00083682-3.0837e-05i,-0.00078535-1.183e-05i,0.0001632+0.00018351i,0.00036638+0.00016411i,0.00080408-0.00047784i,0.0014305-0.0010949i,0.0013199-0.00037139i,0.0006432+0.00031437i,-2.0119e-05+0.00033814i,0.00013357+0.00040629i,2.8026e-05+0.00032011i,2.7085e-05+0.0003062i,0.00080907+0.00014135i,0.00084874+7.2943e-06i
0.0011365+0.0001746i,-1.9993e-05+0.0010929i,-0.0015244+9.9952e-05i,-0.0019173-0.001162i,-0.00163-0.0012092i,-0.00039617-0.00115i,0.00062336-0.0018855i,0.00099802-0.0014166i,0.00059666-0.0009317i,-0.00047021-0.0011168i,-0.00062581-0.00047467i,-0.0002422+0.00023603i,-9.8572e-05+2.0368e-05i,-0.00063197+0.00020192i,-0.0010568+0.00031034i,-0.00043217-2.3008e-05i,-3.7157e-06-0.00011024i,0.00042479+0.00050511i,0.00054536+0.00073328i,0.000196+0.00023618i,-0.00021827+6.5345e-05i,-0.00031175+0.00043326i,0.0003999-0.00012553i
-0.0018399+0.0021395i,-0.0015223+0.0022609i,-0.00014475+0.0013801i,0.00049656+0.0004029i,0.00080727-0.00049671i,0.0010761-0.0011552i,0.00063165-0.0017015i,0.00017012-0.0010457i,-0.00038438+6.5055e-05i,-0.00046344-0.00039837i,-0.00025242-0.00013058i,-0.00039193+0.0011725i,-0.00032465+0.0014854i,-0.00036667+9.957e-05i,-0.00024902-0.00052621i,-2.1887e-05-0.00036438i,0.00024478-0.0001989i,-0.00030263+0.0001816i,-0.0010657-0.00029002i,-0.00091154-0.00065142i,-0.00043207-0.00055817i,0.00034306-0.00057431i,0.00054065-0.00041732i
-0.00016576+0.00065305i,-0.00091029+0.0015887i,-0.00082184+0.0018458i,-9.806e-05+0.00070283i,0.00051924+0.00063418i,0.0013219+0.001194i,0.0021168+0.00056401i,0.0010987+2.8965e-05i,-0.00027875+1.2617e-05i,-0.00047296+0.00055754i,-0.00015929+0.00011391i,-0.00029328-0.00015212i,-0.00076961-3.3948e-05i,-0.00021031-7.5041e-06i,0.00050513+9.4415e-05i,0.00055947-3.1167e-06i,3.3516e-05-7.8772e-05i,-0.00015427+0.00038618i,-0.00029733+0.00074368i,-0.00023102+0.00058607i,0.0006405+0.0004187i,0.00060975+0.00029342i,0.0004532+0.00059328i
0.00018048+0.0016084i,0.0003653+0.0018962i,4.5175e-06+0.00098649i,5.9008e-05-0.00018405i,0.00078769-0.00062638i,0.0012675-0.00053713i,0.00067141-0.0010882i,0.000272-0.0017107i,0.0001731-0.0011673i,1.8067e-05-0.00052327i,-0.00065109-0.00049236i,-0.00097732+2.0257e-05i,-0.00083091+0.00028594i,-0.0009136-9.1483e-05i,-0.00060568-0.00080308i,-0.00023358-0.00085588i,-7.9913e-06-0.00015763i,-0.00012531+0.00078293i,-0.00023885+0.00093596i,0.00043974+0.00056484i,0.00078797+0.0009643i,-0.00016064+0.00092543i,-0.00042517+0.0002264i
0.00052673+0.0028952i,-0.00010526+0.0030853i,0.00047797+0.0020217i,0.00068261-0.00039433i,-0.0001112-0.0018126i,-0.00010232-0.0013907i,7.772e-05-0.00088363i,-0.00050597-0.0003658i,-0.00032703+0.00012421i,-0.00010835+0.00048778i,-0.00046314+0.00037878i,-0.00040687-0.0004354i,1.6529e-06-0.00041703i,-0.00033122+1.4705e-05i,-0.0010822+1.2666e-06i,-0.0010169-0.00016151i,-0.0008868-0.00019916i,-0.00068963-0.00023926i,-0.00010115+0.00022761i,3.0503e-05-0.0002137i,0.00012788-0.00047807i,0.00064586-0.00046037i,0.00078046-0.00018984i
-7.2487e-05-0.00023121i,-0.0014054+0.00016966i,-0.00044209-6.6566e-06i,0.0011575-0.00020438i,0.0012473+5.2816e-05i,0.0013564+0.00023732i,0.0017681-0.00017454i,0.00088201-0.00067078i,0.00029685-0.00097579i,0.00072273-0.00076839i,0.00052066+0.00023466i,-0.00043007+0.00037826i,-0.00068691-0.00012345i,-0.00043491-0.00012565i,-0.00046022+3.6419e-05i,-0.00020177-0.00033454i,0.00012148-0.0010167i,0.00025592-0.00030476i,0.00041256+0.00010319i,0.00036719+0.00025398i,0.0004664+0.00071242i,0.00022168+0.00026184i,-0.000619+0.00052407i
0.0003239+0.0020113i,-0.00025758+0.0017732i,0.00031481+0.0012761i,0.00038496-0.000559i,0.00061227-0.001938i,0.00034718-0.0018103i,0.00017652-0.0012969i,0.00032026-0.00084325i,0.00029886-0.00026939i,6.3037e-05+0.00030925i,-0.00048868+0.00010698i,-0.000918+0.00027679i,-0.00066444+0.0012412i,-0.0009887+0.00029754i,-0.0015923-0.001289i,-0.0013026-0.0011772i,-0.00082491-0.00070219i,-0.00085203-0.00052926i,-0.0010729-2.0571e-05i,-0.00090277+0.00033511i,-0.0005161+0.00011245i,0.00010557-0.00011711i,0.00084301-0.00071414i
-0.0016232-0.0001454i,-0.0021459+0.00039027i,-0.00094875+0.00091142i,0.0003935+0.0017541i,5.1438e-05+0.0011119i,-4.5745e-05-0.00015213i,0.00044853-0.0011574i,-0.00021446-0.001528i,-0.0008399-0.00050198i,-0.0007017+0.00025594i,-0.00028805+0.00045127i,-4.8504e-05+0.00031458i,0.00019183+0.00028457i,0.0004779+0.00051662i,0.0001956+0.00027657i,0.00036903-0.00020998i,0.00065104-0.00037672i,-0.00033597-0.00012229i,-0.00060969-0.00016222i,5.7763e-05+0.00021754i,8.2908e-05+0.00075541i,-4.5539e-05-0.00015906i,0.00012067-0.00084035i
-0.00040193-0.00048879i,-0.00058169-0.00075963i,-0.0010977-0.00054927i,-0.00077757-0.00076889i,-7.3071e-05-0.0006747i,0.00048279-0.0012102i,0.0012441-0.0019443i,0.0012475-0.0016536i,0.00087653-0.00056662i,0.00016924+9.9708e-05i,0.00012475+0.00033312i,0.00091242+8.3762e-05i,0.0012772-0.00015504i,0.0011395-0.00028308i,0.00092169-0.00078696i,0.00037049-0.00067431i,-0.00020487-6.5451e-05i,-0.00012736-0.00015731i,-0.00033175-6.2167e-05i,-0.00068282+0.00034275i,-0.000534+0.00012411i,-0.00071839+0.00055214i,-0.001009+0.00049738i
-0.00023065+0.0011857i,-0.00056476+0.00066069i,-0.00033369+0.00083396i,0.00065923+0.00055883i,0.0014208-0.00048637i,0.0018082-0.0009875i,0.0014849-0.0011598i,0.00053687-0.0011346i,-0.00035633-0.00048915i,-0.00051971+7.1269e-05i,-0.00057536+0.00075265i,-0.00085592+0.00051506i,-0.00058009+6.9057e-05i,-0.00056529-0.00027576i,-8.9528e-05-0.00033578i,0.00024367-0.00069969i,5.9195e-05-0.0013971i,5.1516e-05-0.0012001i,-0.00022101-0.00030603i,-0.00020456-0.00015202i,-0.00032877-0.00041558i,-0.00069527+0.00053839i,-0.00030056+0.00069518i
-0.0022812+0.00079404i,-0.0017923+0.00041054i,-0.0011409+1.5509e-05i,-0.00081239-0.00021349i,-0.00051318-0.00069098i,0.0005187-0.00040744i,0.0011931-0.0005135i,0.00050938-0.00068885i,0.00010472-0.00026265i,-0.00033086-0.0002027i,-0.00034548+0.00037962i,0.0001853+0.00023693i,0.00046469-0.0012038i,0.00046824-0.0015503i,0.00029106-0.00112i,-9.2086e-05-0.00054896i,3.0043e-05-0.00049173i,0.00047377-0.00047771i,0.00082005-4.2509e-05i,-9.9868e-05-0.00035235i,-0.00057026-0.00078841i,-0.00037834-0.00017658i,-0.00025264+0.00026976i
-0.002074-0.00058369i,-0.0025316+2.8067e-05i,-0.0025705+0.00057224i,-0.0011785+0.0010527i,0.00054441+0.00116i,0.0014356+0.00029993i,0.0021003-0.00085062i,0.001901-0.00093377i,0.0012216-0.00098159i,0.00081233-0.00087738i,0.00020938+0.00041663i,-0.00039047+0.0012567i,-1.0319e-05+0.00074854i,0.00033517+6.1846e-05i,0.00036888-0.00011373i,9.2391e-05-7.2285e-05i,-0.00026509+0.00017993i,-0.00017947+0.00060666i,0.00030065+0.00036037i,0.00044179-0.0003803i,0.00065983-0.00040039i,0.00055499-0.00047962i,9.3542e-05-0.00065236i
