0.00024828+0.0012423i,0.00017406+0.00088281i,-0.00031051+0.00062521i,-0.0018348+0.0011171i,-0.0022844+0.0009932i,-0.0013692+0.0015448i,-0.00090554+0.001318i,-0.00011635+0.00092089i,0.00012623+0.00036436i,9.1635e-05-5.7572e-06i,0.00052546+0.00064226i,-0.00018646+0.00053421i,2.8217e-05-0.00011528i,0.00039295+0.00053113i,-0.00045255+0.00086642i,-0.00068543+0.00012707i,-0.00051615-0.00078132i,-0.00030382-0.00046365i,0.00066632-0.00043241i,0.0010368+4.5131e-05i,1.7261e-05+0.0004736i,-0.00021019+3.0145e-05i,-5.3137e-05+0.00021817i
2.2649e-05+0.00017507i,0.00039373-0.00022063i,0.00017526-0.0007434i,0.0003364-0.00072606i,0.00071034-0.00057822i,0.00039074-0.00025744i,-0.00030006-0.00013383i,-0.0010468-0.00012267i,-0.00097907-0.00032673i,-0.00065336-0.00051895i,-0.00023447-0.0006162i,4.2707e-05-0.00058154i,-0.00034316-0.0010251i,-0.00056464-0.0012985i,-0.00048482-0.00043403i,-0.00010172+0.0002815i,0.00018464+0.00062072i,0.000262+0.00059021i,0.00065541+0.00010595i,0.00058313-4.8671e-05i,0.00036823-4.7803e-05i,0.00028892+0.00016919i,0.00044032+0.00028096i
0.00078728-0.0019223i,0.0015631-0.0017921i,0.0024231-0.0005974i,0.0021386-0.00029065i,0.00076144-2.2746e-05i,-0.00039479+0.00080092i,-0.00024451+0.00069473i,0.0001915-0.00079576i,0.00010163-0.0018722i,-0.00034821-0.0011438i,-0.00092631-0.00025179i,-0.00081802+0.00016058i,3.0169e-05+0.000254i,0.00061357+0.00037356i,0.00080686+0.00053206i,0.00067179-6.6133e-05i,0.00030003+0.00010523i,0.00028201+0.00085081i,0.00078332+0.00096278i,0.00062582+0.0011323i,-0.00025018+0.00069005i,-3.5991e-05+5.028e-06i,0.00039675+0.00016979i
0.00063858-0.00054027i,0.00022194-0.00022826i,-0.00087348-7.7933e-05i,-0.0017061+0.0012387i,-0.0019905+0.0023215i,-0.00095874+0.0016361i,-0.00038893-9.2731e-05i,-8.5483e-05-0.00095632i,0.00035573-0.0006997i,-0.00071655-0.00036227i,-0.0010181+0.00023074i,-0.00038989+0.00052724i,-7.0214e-05+0.00020069i,0.00052971-0.00038446i,0.00048295-0.00055519i,-8.1369e-06-0.00044376i,-0.00014364-0.00013187i,0.00029296+0.00048057i,0.00057498+0.00030765i,0.000311-0.00071632i,0.00021953-0.0007748i,-0.00022961-0.00066538i,-0.00068036-0.00081881i
-0.00088344-0.0010922i,-0.0014176-2.5747e-05i,-0.0017729-0.00054774i,-0.0012116-0.0004633i,-0.0009229+0.00051804i,-0.00070549+0.00097681i,-0.00040306+0.000453i,-5.5421e-05-0.00018442i,-0.00076075-0.00017506i,-0.0010833-0.00023533i,-0.00053088-0.0006527i,7.4345e-05-0.00050003i,0.00029228+0.00061095i,0.00017126+0.0010416i,0.00046769+0.00022608i,-0.00054237+0.00038435i,-0.0012793+0.00036929i,-0.00025854+0.0001302i,0.00036201+0.00060493i,0.00010362+0.00040712i,-0.00029434+0.00016747i,0.000267-0.00020751i,0.00039175-0.00088707i
0.0014667-0.00053098i,0.0007792-0.00066943i,-1.1232e-05+3.4521e-05i,0.0002925+0.00017615i,0.0012338+3.0172e-05i,0.00076956-0.00048249i,-0.00057961-0.00082585i,-0.00035686-0.00051811i,0.00050637-0.00038364i,0.001109-0.00052491i,0.00085937-0.00012046i,-9.9172e-05+0.0003005i,-0.0012009+0.00052774i,-0.00085373+0.00085823i,-8.2572e-05+0.0010086i,-0.00070466+5.6325e-05i,-0.00076856-0.00022138i,0.00066319+0.00071357i,0.000962+0.00044942i,0.00053135-0.00034884i,0.00070377+0.00018458i,0.00051104+0.001132i,-2.0223e-05+0.0009062i
0.00187+0.00085144i,0.0014515+0.0015772i,0.0011364+0.00093234i,-0.00052796+0.00090508i,-0.0010974+0.0011702i,-0.00076848+0.00091623i,-0.00057295+0.00057313i,-0.00057442+0.00035514i,-0.00090751+6.1347e-05i,-0.00069406+2.0156e-05i,-4.7021e-05+0.00016786i,0.0003196+0.00031503i,0.00017663+0.00049562i,-0.00011062+6.6159e-05i,-0.00013968-5.6546e-07i,-0.0003284-5.767e-05i,-0.00019572-0.00061347i,-0.00023902-0.00029083i,-0.00080094+0.00022694i,-0.00043668+0.00053931i,0.00051236+0.00060374i,0.00079276+0.00020448i,0.00033215-0.00065083i
-0.00074478+0.00029858i,-0.0014963+0.00017974i,-0.0011212+0.0005735i,-0.0013724+0.00052485i,-0.0021569-0.00012823i,-0.002262-0.00050041i,-0.00054903-0.00032715i,0.00031461+0.00057294i,-0.00034397+0.0008253i,-0.00071942+0.00076193i,-0.00036506+0.00061347i,-0.00033466+0.00076496i,-0.00036885+0.00012341i,-0.00010331-0.00060926i,-0.00048414-0.00020156i,-0.00086536+0.00039938i,-0.0009866+0.00053585i,-0.0008063-0.00032477i,-0.0010979-0.00076526i,-0.0011329-0.00016753i,-0.00022277+0.0011286i,0.00035256+0.0013737i,0.00065427+0.00058861i
0.0011295-0.0024435i,0.0012448-0.0022496i,0.00062276-0.0019773i,0.0001198-0.00070132i,0.00046532+0.00083471i,-0.00011723+0.00065459i,0.00038201-0.00030264i,0.0011439-0.00053198i,-0.00019745+8.2639e-05i,-0.0010643+0.00027075i,-0.00051977-0.00014961i,-0.0003135-0.00012076i,-0.00042997+0.00038357i,0.0002592+0.00048701i,0.001031+8.979e-05i,0.0011708-7.6244e-05i,0.0007836+0.00022541i,0.00011809+0.0010585i,0.00030409+0.0011746i,0.00061845+0.00027873i,0.00072129-6.9813e-06i,0.00052348+0.001069i,-1.2298e-05+0.0011817i
0.00054078+9.4063e-05i,0.00054203-0.00043621i,0.0003375-0.00079728i,0.0001556-1.5991e-05i,-0.00044791+0.0011329i,-0.0015658+0.0017278i,-0.0014203+0.00083461i,0.00014014+0.00013633i,0.00029107+0.00038072i,-0.00054562-0.000277i,-0.00050758-0.00012465i,-0.00044851+0.0010746i,-0.00057508+0.0010962i,0.00037946+0.00065001i,0.00081889+0.00019014i,0.00070523-0.00034763i,0.00050687-0.00020512i,0.0001959-0.0001228i,-0.00020521+0.0004467i,-0.00029738+0.0011151i,0.00040797+0.00053287i,0.0010863-0.00041798i,0.00087756-0.00053319i
-0.0015913+0.0003084i,-0.0015734+0.0011598i,-0.0010864+0.0017547i,-0.00056374+0.00075603i,-0.00029777-0.00023959i,0.0003797-5.9873e-05i,0.0012803+0.00039395i,0.00064375-8.0237e-05i,-0.00029577-6.0197e-05i,-0.0010031-0.00032757i,-0.0012258-0.00074605i,-0.00049179-0.00051745i,0.00029249+0.00010092i,0.00034669+0.00037305i,-0.00029689-0.00043908i,-0.00071146-0.00071113i,-0.00088166+8.082e-05i,-0.00054494+0.00082324i,-5.2007e-05+0.00065274i,0.00036114-4.8516e-06i,0.00032074-7.9787e-05i,9.5496e-05-0.00037255i,0.00019557-0.00092941i
0.00010024-0.0015057i,0.0012401-0.0008463i,0.0016162-7.0666e-05i,0.0012284+0.00057634i,0.00091317+0.0011073i,0.00037679+0.00076474i,-0.00047853+0.0001834i,-0.0011209-0.00019842i,-0.00053412-0.00049065i,-0.00019617-4.7957e-05i,-0.00019751+0.00016539i,0.00036748+0.0004787i,0.00082463+0.00043479i,0.00080763+9.1194e-05i,-0.00047724+0.00055491i,-0.0012766+0.00034343i,-0.00082653+0.00024299i,-0.00045836+0.00063493i,2.6654e-05+0.00071512i,-6.145e-05+0.00024936i,-0.00041697-0.00024781i,-0.00010067+0.0001447i,0.0004557+0.00034726i
0.003002-0.00043373i,0.0027444-0.00057779i,0.00068016-0.00010878i,-0.00074231+0.00043625i,-7.234e-05+0.0012696i,0.0007255+0.00094539i,0.00059861-4.673e-05i,0.0004388-0.00040545i,9.4258e-05-0.00012948i,-0.00076084-0.00070691i,-0.0014654-0.00088583i,-0.0015088-5.9907e-05i,-0.00062101-0.00010882i,-0.0002186-0.00078436i,-0.00039132-0.00065923i,-0.00020692-0.00060143i,-0.00016519-0.00033099i,-0.00014745+1.3312e-05i,0.0002017+0.00037129i,6.1376e-05+0.00046581i,0.00030525+0.00032339i,0.0007011+0.00042026i,0.00044946-4.4678e-06i
-0.00090899+0.0013519i,-0.00017061+0.00040175i,0.0011292+0.00087786i,0.0021309+0.00063452i,0.0013095-0.00043495i,0.00046869-0.00039288i,9.906e-05-0.00043432i,-0.00026496-0.00071076i,2.2048e-05-0.00055779i,0.00010929-0.00028509i,-0.00053554-0.00014608i,-0.00040152+0.00019227i,-0.00027386+0.00013209i,-0.00047367-0.00047472i,-0.00029063-0.00021041i,-0.00031872-0.00041152i,-0.00043393-0.0013482i,-8.0286e-05-0.001477i,0.000251-0.0010298i,0.00023388-0.00058763i,0.00053556+0.00026263i,0.00042004+0.00015676i,-9.1665e-05-0.00025621i
-0.001019-0.00053805i,-3.6446e-05-0.00057835i,0.00029031-0.00018589i,0.00091223+0.00053256i,0.00056821+0.00013278i,-0.00036325-0.00024624i,-0.0001274-0.00049103i,0.0005939-0.00045147i,0.00041154-0.00078303i,0.00074661-0.00094039i,0.00045845-0.00054803i,-0.00036927-0.00013735i,-0.00044485+0.00080654i,-0.0012747+0.00045315i,-0.0011522-0.00070003i,-0.00015213-0.00068687i,-0.00032017-0.00016158i,8.8234e-05+0.00014909i,0.0008302+9.7536e-05i,0.00031526+0.00016483i,-0.00013566+2.333e-05i,-0.00022782-0.00012844i,0.00032803+0.00025456i
0.00087224-0.00011378i,0.0010092-7.4468e-05i,0.0003211+0.00022169i,-0.00026534+0.0013965i,-3.8548e-05+0.0013152i,0.00042569+0.00038416i,0.00075294+0.00032765i,0.0006068+8.7547e-05i,5.2794e-05-0.00038393i,-0.00038986-3.4388e-05i,-0.00021896+0.00059517i,-0.00027813-2.1916e-05i,-0.00036648-0.0011058i,-0.00034657-0.00030415i,0.00023607+4.9284e-05i,0.00066493-0.00017549i,0.00010611+0.00035416i,-0.00019143+0.00040976i,-3.196e-05+3.0906e-05i,1.896e-05+8.7305e-05i,0.00021514+6.2374e-05i,0.00035111-0.00020182i,0.00049857+0.00012261i
-0.00015157+0.000519i,-0.0013093+0.00080827i,-0.0016042-0.0001811i,-0.0013351-0.00025785i,-0.00074795+0.00078628i,-0.0003813+0.0015165i,-0.00019731+0.00038225i,-0.0003821-0.00022096i,-0.00078077-9.4463e-05i,-0.00072852+0.00020387i,-0.00033593-2.516e-05i,-0.00038129+0.00014101i,-8.4074e-05+0.00054184i,0.00060989-0.00034254i,0.00099113-0.0008881i,0.00037461-0.00065913i,0.00030247-0.00032195i,-0.0001995-0.00056112i,-0.00050548-0.00080798i,3.5026e-05-9.741e-05i,0.00042071+1.2026e-05i,0.00011024-0.00036438i,0.00049478+0.00030078i
-0.0014911-0.00015438i,-0.0016155+0.00049866i,-0.0015736+0.00032953i,-0.00096293-0.00034396i,-1.9802e-05-0.0004361i,0.00027925-0.00016706i,0.0004147-0.00033589i,0.00075786-0.00058392i,0.00069251-0.00056186i,0.0011343-0.00014431i,0.0010207+0.00031778i,0.0002753+8.9984e-05i,-0.00044789+0.0001863i,-0.0006864+0.00033029i,-0.00045308+0.00023019i,-0.00036944+0.00069702i,-0.00030409+0.0014497i,-0.0011035+0.00086735i,-0.0016804+0.00023284i,-0.00071019+0.00038049i,0.000506+0.00033244i,0.0012748+5.3159e-05i,0.00071669-0.00020958i
0.0012027-0.00073764i,0.0019-0.00089964i,0.0019753+0.00076528i,0.0014136+0.0016629i,0.00061435+0.001179i,8.0469e-05+0.00020141i,-0.00053964-0.00077569i,-0.00036566-0.0014233i,-0.0001307-0.001297i,-0.00056594-0.0010902i,-0.0007363-0.00062945i,-0.00035167+0.000655i,-0.00026332+0.00087971i,-0.00049301-0.00043942i,0.00035476-0.00090886i,4.7928e-05-8.1979e-05i,-0.00076123+0.00033268i,1.9512e-06+3.9379e-05i,0.0006722+5.6977e-05i,0.00087913+0.00027018i,0.00076456+0.00032777i,0.00029687-0.00025851i,0.00030569+2.8896e-06i
0.00071419+0.001143i,0.00070752+0.00088654i,0.00045644+0.00040809i,0.0004419+0.0010799i,0.00049036+0.0019217i,-6.3446e-05+0.00096137i,-0.0002877+0.00040592i,-0.00011945-0.00018002i,0.00011457-0.00060539i,-0.00010015-0.00010864i,-0.00020129+0.00047634i,-0.00063996+7.9078e-05i,-0.00053388-0.00033705i,0.00013816+9.113e-05i,-0.00017586+0.00048588i,-0.00093151+0.00049002i,-0.0009826+0.0002838i,-0.00028907-9.2864e-05i,-8.0736e-05-0.00078084i,-0.0003112-0.0011869i,-8.0654e-05-0.00084636i,7.54e-05-0.00021702i,-0.00022972+0.00013895i
-0.00045609+0.0001063i,-0.00044216+0.00030792i,0.00037223+0.00015115i,0.001263+0.00017438i,0.0016943-0.00012509i,0.00095909-0.00068296i,-0.000477-0.00024588i,-0.00030236+0.00049682i,0.00016298+0.00071673i,0.0003993+0.00046991i,0.0013445-0.00042706i,0.0020441-0.00053907i,0.0012688+0.00053429i,-0.00027168+0.00090933i,-0.00062258+4.0589e-05i,-0.00012432-0.00042106i,-0.00063843-0.00028847i,-0.0009568-0.00013308i,-0.00030184+0.00043393i,-0.00018749+0.00073706i,-0.00059868+0.00055389i,-0.00080339+7.0271e-06i,0.00012996-0.00076503i
0.0015153-0.00089023i,0.0013909-0.0010454i,-5.4942e-06-0.0010196i,-0.0001464-0.00013536i,-0.00020622-0.0001895i,-5.9715e-06-0.0007244i,0.00027944+7.6275e-05i,0.00038157+0.00022462i,4.9553e-05-0.00036955i,-0.0012984-0.00029073i,-0.001253+0.00071365i,-0.00033107+0.00069515i,0.00010114+1.4037e-05i,-4.7403e-05+0.00010815i,-0.00010597+0.00028705i,0.00026452-1.3522e-05i,-0.00034384+4.5159e-07i,-0.00087193+0.00020564i,-0.0010991+8.18e-06i,-0.00034091-5.8547e-05i,-0.00010001-0.00025339i,-0.00057031-0.0010167i,-0.00060508-0.00077421i
0.0013025+0.00088792i,0.0013591-0.0011871i,0.0011345-0.0016774i,0.0010555-0.0014315i,0.00088188-0.0013806i,0.00036326-0.0006663i,0.00044123+0.00023938i,0.0004515-0.00016083i,0.00076768-0.0002498i,0.0005429+0.0002777i,6.1912e-05+3.6004e-05i,0.00011876-0.00016768i,-0.00029538+3.1402e-05i,-0.00072496+0.0002858i,-0.00054155-0.00019191i,-0.00059509-0.00020259i,-0.00058285+0.00030447i,0.00053206+0.00049951i,0.00044228+0.00039539i,-0.00047024+0.00037339i,1.9147e-05+0.00085479i,0.0011096+0.00077834i,0.00092593+0.00025126i
-0.00056473-0.00036296i,0.00014415+0.0013436i,-0.00030497+0.0013287i,-0.0013877+0.0014307i,-0.0015473+0.0019i,-0.0010614+0.0021197i,-0.00037222+0.0012583i,0.00072129+0.00032462i,0.00074929-0.00016065i,-0.00039723-0.00029772i,-0.0011211-7.5926e-05i,-0.0007745-0.00014785i,-0.00020084-0.00097312i,0.0003045-0.0011912i,0.00031097-0.00040947i,-0.00028321-0.00061557i,-0.00052365-0.00039888i,-0.0010288+0.00061218i,-0.0010012+0.00082377i,-0.00093677+2.2151e-05i,-0.00039065-0.00034688i,0.00032754+0.00036139i,-0.00012893-0.00013203i
-0.0012856-0.0014708i,-0.00078912+6.0302e-05i,-0.0011003+0.0013062i,-0.0013939+0.0012294i,-0.00095486+0.0013358i,-0.00025909+0.0015925i,0.00021183+0.0006671i,0.00016777+4.3615e-06i,-0.00046365-0.00015217i,-0.00018627-0.00060541i,0.00077904-0.00033928i,0.00047022-5.9039e-05i,-0.00058704+7.8999e-05i,-0.00062678-5.8118e-05i,0.00052291-0.00023862i,0.00083481+7.3691e-06i,0.0004943+0.00012017i,0.00045763-0.00028793i,0.00012154-0.00027923i,0.00021938-4.2543e-05i,0.00019974-0.00044483i,0.00010299-0.00085283i,0.0010755-0.00056674i
-9.15e-05+7.4362e-05i,-0.00056264-0.00019151i,-0.001186-0.001343i,-0.001262-0.00056719i,-0.0010539+0.00042326i,-0.00057616+0.00038133i,-0.00032686+0.00061043i,-0.00036279+0.00022074i,9.8349e-05-0.00069144i,0.00039042-0.00040304i,-2.9592e-05+0.00061994i,-0.00059129+0.001103i,-0.00049605+0.0010036i,-0.00015948+0.00047949i,-4.6866e-06+0.00011805i,-2.8436e-05+0.00049492i,-0.00030442+0.00013275i,-0.00041964-6.6717e-05i,0.00069059+8.7723e-05i,0.0010319+0.00018443i,0.00047866-5.7575e-05i,0.00047583-0.00036834i,0.00076943-0.00058922i
-0.00015714+0.00074752i,-0.00055328+0.0015041i,-2.1721e-05+0.00065065i,0.00052686-0.00081147i,0.00042289+6.8589e-05i,-0.00042653+0.00075587i,-0.00091834+0.00030397i,-0.00060234-4.8226e-05i,-4.2046e-05+8.1051e-05i,-0.00014038+0.00036059i,-0.00041683+0.00027297i,-5.2291e-05-0.00026171i,-2.5741e-05+0.00028434i,-6.2626e-05+0.00087819i,1.6875e-05+0.0002258i,-1.2956e-05+0.00049465i,-0.00050888+0.00089257i,-0.0013658+0.00059973i,-0.00097339+0.00035338i,-0.00020451-0.00017394i,-0.00029502-0.00032672i,8.2209e-06-5.9641e-05i,0.00084015+0.000512i
-8.8934e-06-0.00013467i,0.0012296+0.00015274i,0.0025829+0.00085489i,0.0023191+2.4635e-05i,0.0012253-0.00053505i,-0.00035949+3.8799e-05i,-0.001368+0.00028956i,-0.00058608+0.00038119i,0.00016314-0.0003517i,0.00042226-0.0014374i,0.00054692-0.00089042i,0.00014352+0.00047928i,0.00025541+0.00045257i,0.00038174+0.00054811i,0.0001184+0.0011514i,-0.00050217+0.00073271i,-0.00053316-4.75e-05i,0.00026013-0.0010424i,-0.00010546-0.0011446i,-0.00040493-0.00073553i,-4.705e-05-1.5976e-06i,-0.00021253+0.00028438i,0.00020502+0.00016718i
0.00082556-5.112e-05i,0.0013173+0.00074096i,-0.00015091+0.0013318i,5.005e-05+0.00066289i,0.0010653+0.00041691i,0.00073304+0.00071836i,0.00013426+0.00010264i,-0.0001357-0.000358i,-0.00014251+8.135e-06i,-0.00030829+0.00047609i,-0.00017934+0.00039802i,0.00024877-0.00043255i,0.00011896-0.0011907i,0.00027246-0.00033349i,-0.00045913+0.00036589i,-0.0012245+6.8772e-05i,-0.00036565-4.6378e-06i,0.00024821+0.00011676i,-0.00030177-6.2633e-05i,-0.00022523-1.6886e-05i,0.00045159+0.0002385i,0.00062022+0.0002698i,0.00010553-0.00016057i
0.00056615+0.00068734i,-9.5094e-05+0.0004635i,-0.00025542-0.001442i,-0.0007726-0.00076158i,-0.0004021+0.00026194i,-9.7021e-06+0.00030439i,6.2748e-05+0.00016706i,0.00052858-0.00038729i,0.00033335-0.00074944i,-0.0002155-0.00060688i,-0.00020733-0.00022644i,-2.5674e-05-4.2805e-05i,0.00029177+6.1518e-05i,0.00092336+0.0002954i,0.00059459-0.00021047i,0.00039341-0.00051782i,0.00043366+0.00041121i,0.0001564+0.001089i,-0.00053426+0.0011373i,-0.0004921+0.00049234i,0.00040267+0.00028115i,0.0006497+0.00033648i,0.00048647+0.00011539i
0.0010912-0.0014656i,0.0014088-0.0019566i,0.0001558-0.0013479i,-0.00059427-0.00051696i,-0.00050322+0.0005207i,-0.00022365+0.00083577i,3.2707e-05+0.00037909i,-0.00027938+0.00014463i,-0.00025994-0.00017913i,0.00015422+0.00028735i,-6.1147e-05+0.001203i,-0.00064462+0.0010714i,-0.00098627+0.0002133i,0.00017344+0.0001411i,0.0012895+0.00011188i,0.00015626-0.000637i,-0.00089934-0.00087461i,-0.00076705-0.00087982i,-0.00066802+0.00017258i,-0.00095639+0.00026908i,-0.00055083-0.00075577i,7.5125e-05-0.00082371i,3.7462e-05-0.00088826i
0.00047342+0.00076784i,0.00042119+0.0009963i,-0.00030233+0.0014043i,-0.00057083+0.0016601i,-0.00023157+0.0016984i,6.4506e-05+0.0006758i,0.00043285-0.00032939i,0.00043522-0.00037123i,5.2274e-05-0.00062423i,-0.00024029-2.3729e-05i,-0.00012589+0.0004495i,0.00052763-8.8655e-05i,0.00032508-0.00033298i,-0.00025081-0.00082209i,0.00047559-0.00067416i,0.0010822+0.00014926i,0.00041724+0.00041012i,-0.00039739+0.00087844i,-7.9082e-05+0.00086636i,-0.00014478+0.00069331i,-0.00020939+0.0006589i,-0.00011745-0.0004691i,-0.00063315-0.00077837i
