0.00035545+0.00073394i,-0.0006822+0.00067315i,-0.0017904-0.00063748i,-0.00228-0.0018479i,-0.0025964-0.0015004i,-0.0028066+0.00023143i,-0.0027937+0.0013879i,-0.0014815+0.00064135i,0.00021302-0.0003985i,0.00053255-0.00066511i,0.00010442-0.00072734i,0.00010351-0.00046615i,0.0010083+0.00031696i,0.00095628+0.00060215i,9.4903e-05+0.00033025i,-0.00024651-0.0001607i,-0.00052364-0.00020098i,-0.00063667-0.00023179i,-0.00071518-0.00054537i,-8.2604e-05-0.00032204i,0.00098985+0.0001088i,0.00034954-0.00011486i,-0.00038223+4.6129e-05i
0.0021246-0.00033953i,0.0022265-0.00048396i,0.00071231-0.00050779i,-0.00095093-0.0013119i,-0.00086366-0.001874i,-0.00035758-0.0013284i,0.00049067-0.0011907i,0.0013061-0.00041164i,0.0011998-0.00036593i,0.00044936-0.00080575i,-0.00012229-0.00079906i,4.0246e-05-0.00078734i,0.0001393-0.00042477i,0.00018982-0.00047529i,0.00037752-0.00085159i,0.00013938-7.7335e-05i,-0.00015126+0.00030776i,2.6854e-05-0.00027195i,-0.00014229-0.00019517i,-0.00031364+0.00020127i,-0.00034204+0.00068158i,-0.00025915+0.00077014i,-0.00067625-4.6111e-05i
-0.0014076-0.00063019i,-0.0024693+0.00081994i,-0.0027288+0.001746i,-0.0006761+0.0016321i,0.001071+0.00066658i,0.00051876-0.00025727i,-0.00048819-0.0006279i,-0.0003248-0.00061978i,-0.00049858+6.3114e-05i,-0.00086916+0.00025238i,-0.0010282+5.066e-05i,-0.00049945-0.00032937i,-0.00040541+4.5282e-05i,-4.8812e-05+0.00028218i,0.00054899+8.0776e-06i,0.00015946+0.00033578i,-0.00025394-2.7376e-06i,-3.3503e-05-0.0012047i,-0.0003109-0.0019083i,-0.00046006-0.0010534i,-0.00027655-0.0004882i,-3.5381e-05-0.00055755i,0.00043846-0.00082781i
0.0020488-0.0002749i,0.0025381-0.00012848i,0.002028+0.00056452i,0.0011707+0.0007376i,0.00045898+0.00052793i,-0.0004169-0.00051111i,-0.0011956-0.00093872i,-0.0013695-0.00065139i,-0.00050016-0.00036326i,-9.4688e-07+0.00038302i,-0.00034711+0.00065892i,-0.00031238+0.00050781i,0.00011662+0.00036523i,0.00034334-0.00040613i,0.00069882-0.00037092i,0.00072733+0.00028419i,0.00046346+0.00034769i,4.0039e-05-0.00017077i,-5.7626e-06+0.00036237i,-5.6746e-05+0.0010087i,-0.00052235+0.00051564i,-0.00036771+0.00037272i,-0.00015854-0.00037877i
-0.00040392+0.00082546i,-0.0003836+0.001566i,-0.0010528+0.0008975i,-0.00073071-0.00087217i,0.00038837-0.0014132i,0.00091062-0.00062859i,0.00078594-0.0002346i,0.00069776-0.00053615i,0.0013703-0.00094111i,0.0011966-0.0006384i,0.00010331-0.00025874i,-0.00040888-0.00033288i,-0.00023082-9.1995e-05i,-0.00037774-0.00040179i,-0.0004399-0.00054176i,-0.00039382-0.00037864i,0.0003136-0.0010082i,0.00031711-0.0012299i,-0.00059725-0.00070125i,-0.00048187-0.00013914i,6.8542e-06-0.00014001i,-0.00044496-0.00060265i,-0.00023707-0.00012453i
-0.00057722+0.0001225i,0.00030565-0.00022094i,0.00098465+0.00074034i,0.0016836+0.0014068i,0.0014037+0.00045924i,0.00083445-0.00066696i,-4.1443e-05-0.00073188i,-0.00074081-0.00070347i,-0.00024652-0.00016092i,0.00040645+0.00023747i,0.00035307-3.5537e-05i,-0.00065894-0.0003433i,-0.0007647-0.000271i,0.00046495+0.00032992i,0.00095632+0.00041771i,0.00073129-0.00017663i,0.00089419-0.00046651i,0.0010001+0.00033779i,0.00036646+0.00070903i,-0.00068249+0.00062669i,-0.0011414+0.0005684i,-0.00078461+0.00021789i,-0.00061128+0.00014479i
-0.00052678+0.00051202i,-0.00062445+0.00052224i,-0.0015767+0.0017925i,-0.001207+0.0021643i,-0.0010259+0.0015461i,-0.0012351+0.00098544i,-0.00060696+0.00032171i,-0.0002434-0.00086526i,-0.00059468-0.00099181i,-0.00064074-0.00078923i,-0.00025582-0.00054775i,-0.00052147-0.00052432i,-0.0004093-0.00057639i,-0.0004216-0.00060416i,-0.00053694-0.00010865i,-0.00068737-0.00012735i,9.8854e-05-0.00051584i,0.00046884+0.00012602i,0.00086694+0.00031111i,0.00093238-5.673e-05i,-0.00013968-0.0004814i,-5.3976e-05-0.00075502i,0.00023511-0.0013806i
-0.00023747-5.4991e-05i,0.00073318+0.00043539i,0.00033647+0.0011747i,0.00097939+0.0014561i,0.0014631+0.002053i,0.00020197+0.00091522i,-0.0001929-8.7309e-05i,-0.00057744-0.00028428i,-0.0012127-0.00071733i,-0.00093784-0.00037893i,-0.00010932+0.00049406i,0.0001257+0.00057304i,-0.00080944+0.00018727i,-0.00089083-0.00040681i,-0.0003137-0.000741i,-8.8336e-05-0.00044484i,-0.00021067-0.00039315i,-1.0609e-05-0.00011145i,0.00026184+0.00044171i,0.00032929+0.00022214i,0.0009425-0.00023055i,0.0011092-0.00011025i,0.00059679-1.586e-06i
-0.0020932+0.00065764i,-0.0037234+0.00076895i,-0.0036437+0.00062564i,-0.0030382+0.00097205i,-0.0019503+0.0014237i,-0.00069013+0.00098222i,-9.2122e-05-0.00030544i,-0.00018594-0.00084033i,-0.00062741-0.00051649i,-0.00051715+0.00039888i,-0.00012611+0.00053074i,-9.4142e-05-0.00010607i,-0.00038665-0.00011387i,-0.00041256-8.929e-05i,-0.0002135-0.00054274i,-0.00039811-0.0012331i,-0.00039787-0.0013276i,-0.00015514-0.0013668i,0.00029375-0.001042i,0.00076433+0.0002514i,0.00049747+0.00053811i,0.00068314+0.00010907i,0.00078489-0.00024652i
0.0014523-0.0018122i,0.0014292-0.0019837i,0.0010279-0.0010996i,0.0003761+9.5537e-05i,-0.00035092+0.00036413i,-0.00098293+0.00083041i,-0.00081547+0.00070144i,-0.00062604-0.00036138i,-0.00056481-0.0010558i,-0.00049669-0.00081791i,-0.00024197+3.0903e-05i,-0.00045+0.00023683i,-0.00041256+0.00059881i,-4.8151e-05+0.00067443i,-0.00022227+0.00014016i,-0.00059254-0.00017506i,-0.00042142-0.00051356i,-0.00012685-0.00069746i,0.00012417-0.00079112i,0.00014938-0.00066048i,-0.00067792-0.0006125i,-0.0012125-0.00016305i,-0.00093492-0.00036148i
0.00074116+0.00055046i,0.0012825-1.765e-05i,0.0016764+0.00061496i,0.00065219+0.0007842i,-0.00065004+0.00033429i,-0.00098418-0.00038442i,-0.00030243-0.00092426i,-0.00029704-0.00092124i,-0.000483-0.00089137i,0.00021334-0.00083283i,0.00025917-8.2313e-05i,-0.00036846+0.00063695i,-0.0005007+1.3568e-05i,-0.00017991-0.00015582i,0.00011389+9.2094e-05i,0.00014986-0.00043404i,-0.00015419-0.00069816i,0.00012912-0.00063492i,0.00014852-1.3823e-05i,-0.0004613+0.0004678i,-0.00041646+0.00047181i,0.0002145-4.0521e-05i,-0.00011631-0.00057686i
0.0027719+0.00091344i,0.0019539+0.0010024i,0.0006482+0.00053096i,-0.00052648-0.00056323i,-0.0016837-0.0011329i,-0.0015143-0.00079931i,-0.00024055-0.00077218i,0.00058391-0.00071059i,0.0010452-1.6365e-05i,0.00086456+0.00045652i,0.00077143+0.0009052i,0.00071801+0.00085112i,9.2529e-06+0.00015966i,-0.00053135-0.0004304i,-0.0003542-0.00029577i,0.00081494-0.00037572i,0.00095333+7.9743e-06i,-0.00045615+0.00020542i,-0.00051301+0.00011101i,-0.0006503+0.00020563i,-0.0010685-6.7846e-05i,-0.0010681-0.00015836i,-0.0006776-0.0002678i
-0.0016921-0.00037313i,-0.0015514-0.00043483i,-0.00068765+0.00032276i,-0.00010062+0.00052616i,0.00094042+0.00061994i,0.0010049+0.00063268i,-0.00012135+0.00033812i,-0.0006341+0.00044469i,-0.00033687+0.00030278i,0.00012616+0.00040675i,-0.00038119+0.0010786i,-0.00064691+0.0011305i,-8.5734e-05+0.00063172i,-3.954e-05-0.00018646i,-0.0005345-0.00041515i,-1.1656e-05-0.00025334i,0.00051293-0.00011463i,0.0011423-7.8579e-05i,0.00094334-0.00065743i,2.519e-05-0.00075405i,-0.00023356+7.7197e-05i,-0.00015175+0.00030128i,0.00036033-3.7841e-05i
0.0025264-0.000983i,0.0025102-0.00027125i,0.0018414-0.00018467i,0.0002628-0.00075763i,-0.0012023-0.0012755i,-0.0017875-0.0011373i,-0.0011504-0.0010591i,-0.00024352-0.00049913i,-0.00013979-0.0011382i,-0.00022498-0.0016011i,-0.00015518-0.0007564i,-0.00016396+0.00039637i,-0.0009185+0.0013561i,-0.00054577+0.00094209i,0.00028739-0.00039849i,0.00024873-0.00075225i,0.00035384+0.00053231i,0.00068874+0.00014133i,0.00099053-0.00050424i,0.00083535+0.00022953i,3.5584e-05+2.0688e-05i,-0.00037451-6.7297e-05i,4.7957e-05+0.00012123i
-0.00055866+0.00014715i,-0.00037475-0.00045935i,-0.00048783+0.00029282i,-0.00020109+0.0018682i,-1.5761e-05+0.0020981i,0.00043538+0.00048953i,0.00029027-0.00079064i,-0.00076477-0.00084531i,-0.0005462-0.00048094i,-0.00026175+0.00033106i,-0.0006837+0.0010345i,6.9296e-05+0.00069976i,0.00071484+0.00012968i,-1.7493e-05-8.0187e-05i,-0.00055151+0.0001609i,-4.05e-05+3.1769e-05i,8.3228e-05-0.00019954i,-0.0003172+0.00015614i,0.00017003-0.00017404i,0.00085892-0.00027465i,0.00096779+0.00020685i,0.0001337+0.00020034i,-0.00015667+0.00011047i
0.00018287+0.0015758i,0.00061984+0.0019448i,-0.00010458+0.0011194i,-0.00091931+0.00010024i,-0.00077287-0.0003084i,-0.00092553-0.00070684i,-0.00072027-0.00077054i,-0.00064124-0.0004639i,-0.00041428-2.9458e-05i,0.00018985+0.00016228i,9.6692e-05-0.0004676i,-0.00033381-0.00071011i,-1.5538e-05+0.00034285i,0.00030103+0.00058509i,-0.00024961+7.1381e-05i,-0.00040356-2.7206e-05i,-0.00016743-0.00074264i,-0.00049969-0.0014291i,-0.00082957-0.0014086i,-0.0010538-0.00089125i,-0.00072054+0.00010051i,-0.00066193+0.00048204i,-0.0006819+0.00021539i
0.00079921-0.0010857i,6.8861e-05-0.0015621i,0.00010755-0.0014202i,0.00073002-0.0002794i,0.00084048+0.00072806i,0.00057127+0.00076569i,0.00044712+0.000692i,7.3708e-05+0.00078184i,-0.00089999+0.00040601i,-0.00127-0.00035755i,-0.00020614-0.0002743i,0.00046228+0.00039285i,0.00030542+7.8542e-05i,-0.00010957-5.0984e-05i,-0.00017974+0.00015297i,-0.0002858+0.00069475i,-0.00087196+0.00093062i,-0.0014451+0.00022666i,-0.00044669-0.00042524i,-0.00029457-0.00011677i,-0.00070549+0.00023599i,-0.00030389+0.00066621i,-7.1662e-05+0.00033331i
-0.000116+0.0014267i,-0.00012652+0.002002i,-0.00018242+0.0014512i,-1.918e-05+0.00026108i,0.00033417+0.00017334i,0.00053213+0.00040458i,8.3439e-05+0.00055006i,-0.00054741+0.00035263i,-0.0005026-0.00033948i,-0.00061587-0.00014252i,-4.3721e-05+0.0001798i,-6.5075e-05+0.00036564i,-0.0004807+0.000779i,0.00013993+0.00028487i,0.00048137-0.00016454i,3.6303e-05-0.00020023i,-0.00049405+7.189e-05i,-0.0005451+0.00067015i,-0.00077097+0.00027927i,-0.0008044+5.3155e-05i,-0.00044492+0.00068216i,0.00039866+0.00055093i,0.00059317+0.0002907i
0.00066198+0.00031394i,0.0013197+0.00078734i,0.0015187+0.0014633i,0.0024354+0.00085441i,0.0030599-6.1746e-05i,0.0016748-7.6775e-05i,-0.00026776-2.4596e-05i,-0.00086119+0.00017844i,-0.00055918+0.00047271i,-0.00070747+0.00077577i,-0.00057342+0.000788i,-0.00017685+0.00047842i,0.00023748+0.00040015i,0.0005923+0.00011289i,-0.00018134-0.00015838i,0.0001617-0.0010879i,0.001251-0.00070819i,0.00048577-9.8325e-06i,-0.0004588-0.00082634i,-0.00032879-0.00082502i,-0.00044288-0.00020377i,-0.00042019+0.00032619i,-0.00013908+0.0003045i
-0.00035374-0.00078716i,-0.0011705-3.1038e-05i,-0.00048064+0.00063609i,-0.0011519+0.00088505i,-0.0014641+0.0010382i,-0.0018771-0.00022142i,-0.0018315-0.0017757i,-0.00022726-0.0018337i,0.00048339-0.001731i,-7.8002e-05-0.0015152i,-0.00064664+0.00014825i,-0.00083792+0.0010312i,-0.00040615+0.00053412i,0.00053097+0.00023473i,0.00010961-0.00011468i,-5.2537e-05+3.1451e-05i,0.00053362+0.00036474i,0.0003564+3.9844e-06i,0.00030095+0.0001302i,0.00020087+0.0005189i,-8.0953e-05+0.00076626i,-0.00059343+0.0010446i,-0.00099473-0.0001258i
-0.00043893+0.0002549i,0.00046037-0.00042293i,0.00026331+0.00059401i,0.000367+0.00085491i,0.00046987+0.00094071i,0.0001671+0.0010989i,-5.5701e-06+0.00079058i,-0.00025226+0.00010144i,-0.0012956-0.00050096i,-0.0014219-0.00047682i,-0.00087964+0.00010648i,-1.3247e-05+0.00084117i,0.00016626+0.00073327i,-0.00028973-0.00039392i,-0.00033823-0.00089684i,-0.00064783-0.00054264i,-0.00078566+2.3571e-05i,-0.00035511+0.00066867i,0.00076654+0.0010025i,0.0013877+0.0008491i,0.00059884+0.0003193i,-0.00050952+0.00039309i,-0.00060543+0.00062868i
0.00056941+0.00066963i,0.0014085+0.00064097i,0.0018609+0.0010188i,0.0021788+0.0015847i,0.0016068+0.0020438i,0.00061574+0.00064648i,-0.00021726-0.00044554i,-0.00054428-0.00045091i,-0.0010225+5.4758e-05i,-0.0011751+0.00035977i,-0.00060566+5.028e-05i,-0.00058786-0.00022532i,-0.00054099-2.9262e-05i,-0.00038485-0.00023888i,-0.00026334-0.00061064i,0.00019831-0.00066444i,8.1847e-05-0.0011562i,-0.00073633-0.0012658i,-0.0006671-0.00073651i,6.6017e-06-0.00057787i,0.00042742-0.00041421i,-0.00015987+0.00013064i,-0.0005117+0.00012293i
0.0010439+0.00047133i,0.00063089+0.00023592i,-0.000125+0.00069369i,-0.00065587+0.00017003i,3.5789e-06-0.00084971i,5.8716e-05-0.0011394i,-0.00084512-0.001445i,-0.00060464-0.0014545i,-9.4457e-06-0.00055471i,-0.0007057+0.00075483i,-0.0015841+0.00048013i,-0.0015797+0.00016492i,-0.00089851+8.7986e-05i,-0.00053798-0.00090298i,-0.00046875-0.0010809i,0.00010366-0.00037993i,0.0005019-0.00041421i,0.00058411-0.00056817i,0.00056992-3.9203e-05i,0.0004318+0.00034982i,0.00051039-5.1229e-05i,0.00036198-0.00032311i,0.00045542+0.00013262i
-0.0015323+0.0003013i,-0.00066158+0.0018765i,-0.00013903+0.0025352i,-0.00066268+0.0020749i,-0.0013734+0.00066475i,-0.00090121-0.00019451i,-0.00033052+0.00021658i,-0.00045692+0.00071875i,-0.00055046+0.0004379i,-0.00083791+0.00014311i,-0.00082374+0.00059623i,-0.00041744+0.00086756i,0.00034548-3.0762e-05i,0.00050042-0.0010861i,-0.00013241-0.001087i,-0.00045291-0.00056718i,0.00026189-0.00030231i,0.00086211-0.00027865i,0.00024202-0.0001469i,6.7153e-05+0.00081274i,-0.000302+0.00099655i,-0.00014272-1.3769e-05i,0.00060593-0.00015572i
-0.00032346+0.002846i,0.0010277+0.0014557i,0.0017414+0.0005206i,0.0026136+0.00057081i,0.002717-0.00038804i,0.0015277-0.0012986i,6.731e-06-0.00079634i,-0.00033068-0.00025841i,-0.00061145-0.00025452i,-0.00034419-0.00016792i,0.00033271-0.00072838i,0.00012316-0.00046471i,-0.00083907+0.00056576i,-0.00059571+0.00059545i,0.0001186+0.0002314i,-4.8268e-06-0.00022489i,0.00065972-0.00015082i,0.0010387-0.00051482i,0.00065885-0.00083144i,0.00070927-0.00014626i,0.00049268-8.7494e-05i,0.00031172-0.00026247i,0.00038535+0.00010603i
0.0020591+0.00067717i,0.0028937+0.00029598i,0.0026809+0.00019907i,0.0014756+0.00037161i,0.0007394+0.00068625i,0.00070158+0.00041034i,0.00031739-0.00010217i,-0.00050837-0.00095065i,-0.00012626-0.00079612i,0.00059878-0.00040497i,0.00056325-0.00041954i,0.00022534-0.00036838i,0.00046346+8.526e-06i,0.00018162+0.00075226i,-0.001062+0.00048339i,-0.0011486-0.00026234i,-0.00055994-0.00024817i,-0.00062614+0.0005173i,-0.00019565+0.00067565i,-0.00041386+0.00023777i,-0.0010876-0.00051492i,-0.00097608-0.0012971i,-0.00086548-0.0010464i
-0.00040411+0.0018561i,-0.00015685+0.002608i,-0.00023651+0.002208i,-0.0008188+0.002608i,-0.0010687+0.0029268i,-0.00024124+0.0015047i,-0.00039735+0.00010581i,-0.00090202-0.00034479i,-0.00095979-0.00048222i,-0.00044901-0.00016075i,0.00045107+0.0001421i,3.1538e-05+0.00071234i,-0.0008601+0.00083955i,-0.00068667+0.00043127i,0.00030661+0.00028018i,0.00040084-4.7053e-05i,-2.4066e-05-0.00018729i,0.00013712+0.0002521i,-6.6535e-05+0.00044887i,-0.00031414+2.2408e-05i,-0.00069944+2.9988e-05i,-0.001124+0.00044652i,-0.00090569+0.00048404i
-0.00031322-0.00085512i,-0.00030169-0.0012381i,0.00057417-0.0012583i,0.0011804-0.0020623i,0.00078618-0.0012547i,0.00026835-0.00065621i,-2.0934e-05-0.001256i,-0.00017405-0.001483i,-2.934e-05-0.00099945i,-0.00026926+0.00027721i,-0.0016078+0.0010301i,-0.0017138+0.00071533i,-0.00074707+1.0061e-05i,-8.5506e-05+8.9645e-05i,-0.00028198-2.2879e-05i,-0.00058857-0.00018673i,-0.00038853-0.0004819i,-0.00018066-8.9192e-05i,-0.00015569+0.00046342i,0.00062505+0.00048482i,0.0005364+0.00042065i,-0.00024484+0.00045607i,-4.155e-05+0.00057493i
0.0020484+3.4526e-05i,0.0023119+0.0012162i,0.0025427+0.00076098i,0.0011382+9.7111e-05i,-0.00021-0.00057759i,-0.00069306-0.0010025i,-0.00075753-0.00068226i,-0.00040781+0.00015485i,1.3936e-05+0.00069589i,0.00035729-0.00053153i,0.00016969-0.0010737i,-0.00018704+0.00028297i,-0.00036308+0.00090083i,-0.00022016+0.00057156i,0.00038992-1.649e-05i,0.0005404-0.00021501i,-9.4509e-05+0.00036631i,-0.00041065+0.0014223i,-0.00010202+0.0013429i,0.00038687+0.00033335i,0.00034554+0.00030376i,-0.0001902+0.00035135i,0.00040162-0.00044995i
0.0015754-0.00033337i,0.0007389-0.00043924i,0.00084445-0.00054382i,0.00071804-2.5187e-05i,-8.5884e-05+0.001615i,-0.00013303+0.0021245i,0.00023446+0.001331i,0.0004148+0.0003532i,0.00063777+3.2755e-05i,-0.00017551-0.00029491i,-0.0013372-0.00039023i,-0.0011702+0.00019156i,-0.00056777+0.00036573i,0.00044281-0.00024662i,0.00095201-0.0006013i,0.00082695-7.4584e-05i,0.00068045-0.00043731i,5.4798e-05-0.0010467i,-0.00037572-0.00067764i,-0.00048006+5.6244e-05i,-0.00075643-0.00035608i,-0.00085893-0.00011418i,-0.00088865+0.00026546i
-0.00046165+0.00095658i,-0.0014924+0.0018709i,-0.0021927+0.0017923i,-0.0017308+0.00059169i,-0.00020235+0.0003722i,0.00016713+0.00071941i,-0.00052695+0.00035615i,-0.00096863-9.2633e-05i,-0.00062259+0.00015076i,-0.00093082-9.6665e-05i,-0.00098085-0.00030384i,-0.00011616+0.00051523i,0.00037582-0.00013701i,0.00040438-0.00060687i,0.00047639-0.00055391i,-0.00026323-0.0004545i,-0.0010403+0.00021882i,-0.00063039+0.00059307i,0.00050903+0.00058459i,0.00098612+0.00041642i,0.00079145+6.4037e-05i,0.00036174-0.00054176i,-0.00025833-0.001107i
-0.00056524-0.00094792i,-0.0010259-0.0024333i,-0.00095415-0.0019084i,-0.00047558-0.00017952i,-0.00091796-0.00014353i,-0.0019256-0.00011488i,-0.0014164+0.00025878i,-0.00013187-0.00069483i,-0.00016731-0.0012863i,-0.0005075-0.00078603i,-0.00049547-0.00025362i,-0.00091363-6.9622e-05i,-0.000675+0.00042309i,4.2359e-05+0.00056646i,0.00090774-0.00025358i,0.00029855-0.00063862i,-0.0010105-0.00086376i,-0.0001294-0.0010502i,0.0010015-0.00056058i,0.00057678-0.00027027i,-0.00031336-0.00034665i,-0.0007136-6.2611e-05i,-0.00093109+0.00046189i
