-0.00062062+3.0646e-05i,-0.00084298+0.00063569i,-0.00063878+0.00081576i,0.00013163+0.0012296i,-0.00012356+0.0010602i,0.00011876+0.00033087i,0.00064499+0.00012144i,0.00045658+0.00031138i,0.0005269-0.00061018i,0.00029095-0.00071721i,-0.00068984-0.00025061i,-0.0011253-0.00084001i,-0.00037056-0.00032743i,0.00062037+0.00075722i,-0.00031765+0.00036575i,-0.00086252-0.00071857i,-7.4458e-05-0.00060959i,6.3535e-05-0.00029254i,3.3748e-05-0.00011638i,0.00027391+0.00028692i,0.00015517+5.2146e-05i,-7.185e-05-8.8407e-05i,0.00027152+9.8044e-05i
0.0012896-0.0019957i,0.00126-0.0018943i,0.00020912-0.001751i,-0.001764-0.00097452i,-0.0027235-0.0010366i,-0.0029228-0.00057243i,-0.0015165+9.9419e-05i,-0.00013797-7.5526e-05i,-0.00072595-0.00056399i,-0.0008766-0.0003296i,-0.00055392+4.1014e-05i,-0.00060736+9.6326e-05i,-0.00064675+0.0002538i,-0.0007973+0.00051707i,-0.0010228+0.00075031i,-0.0008554+0.00052752i,-0.00051711+8.7467e-05i,-0.0001296+0.00020982i,-0.00037048+8.5448e-05i,-0.00037321-7.3267e-05i,-0.0001893+0.00018112i,2.2908e-05+0.00025372i,0.00035613+0.00038112i
0.0014997+0.0014801i,0.0017843+0.0021398i,0.0023389+0.0015894i,0.00086671-0.00074882i,-0.00017439-0.0022345i,-0.00029507-0.0016241i,-0.00046251-0.0014315i,6.7818e-05-0.0018712i,0.00053838-0.00083097i,0.000587+4.8417e-05i,0.0012087+0.00037381i,0.00085626+0.00041551i,0.00014631+0.00013823i,0.00026988+0.00045268i,0.00040376+0.00075615i,0.00015706-5.6491e-05i,4.3399e-05-0.00072763i,0.00029353+0.00021354i,0.00022147+0.00059648i,1.3863e-05+0.000197i,-1.933e-05+0.00024998i,-0.00028478+0.00059782i,0.00077659+0.00068461i
-0.00029145+0.00016434i,-0.00073485+0.00025307i,-0.00099486+0.00093605i,-0.001372+0.00078412i,-0.00088061-0.00097575i,-0.00030646-0.0013257i,0.00031559-0.00093503i,0.00010578-0.00171i,0.00018549-0.001444i,0.0010225-0.00041275i,0.00099631-8.6036e-05i,0.00072794-0.00032775i,0.00056794-0.00030131i,0.00014841+4.1357e-05i,0.00019376+0.0003196i,0.00055131+0.00090564i,5.5758e-06+0.00018152i,2.9282e-05-0.00047028i,0.00032198-1.7768e-05i,-0.00026324+0.00028558i,-0.00032169+0.00016241i,0.00063622+0.00032564i,0.0010493-0.00020573i
0.00035923-0.00070205i,0.00034396-0.00090554i,-0.00045196+0.00033377i,-0.0014747+0.00011979i,-0.0011602+0.00019331i,-0.00041971+0.000581i,0.00038576+0.0013908i,0.00044695+0.0015897i,-0.00037778+0.00075316i,-0.00099225+0.00013417i,-0.00070181-0.00044444i,0.00015334-0.0011663i,0.00072099-0.00077159i,0.0008563+0.00017223i,0.00013195+0.00078009i,-0.00025809+0.00095684i,-0.00014008-6.3472e-05i,4.8646e-05-0.00079804i,0.00052256+0.00026824i,0.00053414+0.00085197i,-0.00047996+0.00040465i,-0.00089158+0.00048807i,-0.00042381+0.0004937i
0.00095159+0.0014824i,0.0011065+0.0020721i,0.0011721+0.0011741i,0.0013943-0.00015729i,0.0011462-0.00074643i,0.00013725-0.0012126i,0.00015604-0.0016893i,0.00050219-0.0011114i,0.00092842-0.00047679i,0.0013287-0.00011381i,0.00070607+0.00031i,-0.00013987+7.4206e-05i,-0.00073137-0.00010404i,-0.0012595-0.00030142i,-0.00025608-0.00039377i,0.00084289+5.9997e-05i,4.5676e-06+0.00026542i,-0.00056301+0.00075903i,-2.5406e-05+0.00093944i,-0.00014358-0.00033056i,0.00056585-0.00046073i,0.00096292+0.00043354i,0.00061513+0.00064824i
0.00018404+0.0017188i,8.0018e-05+0.0007953i,0.0018786+0.00018766i,0.0024919+0.00055379i,0.0018058+0.00097954i,0.00093324+0.00028493i,0.00061643+4.3216e-05i,0.00045521+0.0001519i,-0.00048596-0.00049526i,-0.00075182-0.0010038i,-0.0010128-0.00071351i,-0.0015103+0.00018794i,-0.00055205+0.00076871i,0.00016836+0.00067533i,-0.00011119-5.0361e-05i,6.5305e-05-0.00049952i,0.00050503-0.00062668i,3.3808e-05-0.0006716i,-0.00073642-0.0001356i,-0.00059055+0.00010821i,-3.6904e-05-0.00029561i,0.00010614-0.00050953i,0.00015478-0.00051255i
-0.00051715+0.00158i,0.00019971+0.0010326i,0.00033719+0.00075947i,0.00025217+0.00010568i,6.2278e-05-0.00084067i,-0.00081465-0.00070909i,-0.00065995-7.9626e-06i,-0.00018344-0.00039217i,0.00048384-0.00046438i,0.00072471-0.00010194i,-0.00019033-9.5013e-06i,-0.00076633+0.00011701i,-0.00044048-0.0002693i,-0.00044714-0.00055111i,0.00014138-0.00046634i,-0.00015574-0.00049715i,-0.00038844-5.1206e-05i,0.00069528+0.00029111i,0.00078598-0.0001745i,0.00022932-0.00062601i,0.00014325-0.00038736i,-0.00021151-0.00012929i,-0.00019244+0.00021716i
0.00061547+0.00011878i,0.00085086+0.00058739i,0.00059925-0.00017892i,-0.00013174-0.0003733i,-0.00031146-0.00030041i,1.6343e-05+0.00032566i,4.0376e-05+0.00051312i,-0.00020302-2.3904e-05i,-0.00027477-0.00027469i,-8.6543e-06+0.00047313i,-0.00037903+0.00075764i,-0.00046988-0.00023193i,-5.9464e-05+4.323e-05i,7.173e-05+0.0010721i,0.00038832+0.0010984i,0.00067697+0.00050512i,0.00010731+0.00071542i,-0.00075652+0.00011447i,-0.00021192-0.00011657i,-2.6289e-06+0.00029197i,-0.0010088+0.0004075i,-0.00069505-9.6413e-05i,-0.00012276-0.00099991i
-0.0034544+0.00081696i,-0.0023501+0.0019568i,-0.00154+0.0012929i,-0.0010148-0.0002376i,-0.00051793+5.4045e-05i,-0.001038+0.00040099i,-0.0013012-0.0002405i,-0.001056-0.00043914i,-0.00045378+0.00031742i,0.00051682+0.00082984i,0.00062951+0.00046255i,0.00074402-0.0004723i,0.0010223-0.00039367i,0.00026016-0.00085808i,4.8414e-05-0.001491i,-4.3827e-05-0.00049183i,-0.00032753+0.00052104i,-0.00036029+0.00011438i,-0.0010966-0.00043531i,-0.0011717-0.00016765i,-0.00058352-8.8504e-05i,1.6705e-06-0.00069011i,0.00030682-0.00051584i
