-0.0012254+0.0003457i,0.00044259+0.00017873i,0.00064704+0.00098938i,0.0002776+0.0010746i,-0.00075516+0.0011525i,-0.00047968+0.0013258i,-4.3775e-06+0.0012864i,-0.00020541+0.001161i,0.0007896+0.00042348i,0.0017123-0.0005487i,0.0012208-0.00062127i,0.00077286-0.00029377i,0.00041747-0.00067818i,0.00039306-0.0013665i,0.00068434-0.0011734i,0.0009512-0.00090664i,0.00066363-0.00073993i,0.00047372-0.00040509i,0.00052671-0.00025316i,0.00033892-0.00013368i,0.00016696-0.00082713i,-0.00010528-0.00036188i,-0.00030479+0.00028834i
-0.0012239-0.0013485i,-0.0012119-0.00062954i,-0.00061481+0.00010488i,-0.00048437+0.00017707i,5.6542e-05-0.00055448i,0.0004103-0.0011058i,-3.0855e-05-0.001163i,-0.00015739-0.00062018i,-0.00026067+7.0014e-05i,-2.2011e-05+0.00016411i,0.0004811+0.00027295i,0.00076142+5.5306e-05i,0.00083747-0.00014203i,0.0003963-0.0001439i,-0.00010826-0.00064232i,-0.00018642-0.0013811i,6.43e-05-0.0014409i,0.00021003-0.00045403i,9.1223e-05+3.4208e-05i,6.0691e-05+0.0002979i,-0.0004035+0.00014211i,-1.2959e-06-0.0001989i,-0.00018243-0.00034165i
-0.00058336-0.00044666i,-0.0010248+0.00068307i,-0.0014661+0.0010011i,-0.00053802+0.00077651i,-0.00020842+3.2085e-06i,-0.00066838-0.00084711i,-0.00068894-0.00084238i,0.0005163-0.00015467i,0.0011494+9.6417e-05i,0.00041739+0.00030469i,-8.9987e-05+0.00029126i,0.00045096+0.00019401i,0.00073852+0.00046273i,0.0006844+0.00077i,0.00076523+0.00038789i,0.00055057+9.1916e-06i,0.00036034-1.3974e-05i,3.4267e-05+7.334e-05i,-0.00035094-0.00021491i,-0.00054913-0.00058887i,0.0004198-0.00060501i,0.00074899-0.00065388i,-1.3154e-05-0.00073926i
-0.00026492-0.0012619i,-0.00010667-0.00064303i,9.983e-06-0.00010091i,0.00078927-0.00065306i,0.0012963-0.0002611i,0.00078252-1.3172e-05i,0.00022235-0.00042959i,0.00061233-0.00038051i,0.00075364-0.0002864i,0.0006991-0.0001643i,0.00091827+0.0002167i,0.0011025+0.00046717i,0.00087353+5.8384e-05i,0.00024047-0.00058913i,-0.00024351-0.00049413i,0.00011985+0.00019449i,0.00016853+0.00033801i,8.9642e-05-8.4092e-05i,-2.3134e-05-0.00062978i,-0.00097762-0.00088694i,-0.0011337-0.00051226i,-0.00076003+8.8526e-05i,-0.000527-0.00015172i
-0.00081035+0.00022232i,-0.0010849-0.00071863i,-0.001264-0.0002316i,-2.7186e-05+0.0014457i,0.0014616+0.0013137i,0.001204-0.00025871i,5.5575e-06-0.00090572i,-0.00041851-0.00054232i,-0.00072162-0.00012418i,-0.00075312-0.00024935i,-0.00030813-0.00067985i,0.0002825-0.0010523i,0.0010458-0.00066658i,0.00072569-0.00054169i,0.00029594-0.00079124i,0.00057947-0.00096761i,0.00046087-0.00092415i,0.00031118+0.0005155i,-0.00038838+0.0012177i,-0.00076743+0.00065096i,-0.00041013-0.00026018i,-0.00032631-0.00039872i,-0.00010485+4.6269e-05i
0.0013272+0.00077672i,0.0031184-0.00017562i,0.0039486-0.00033227i,0.0032071-0.00022877i,0.0018986-0.00098657i,0.00092754-0.0016221i,0.00083012-0.00088223i,0.00096172+0.00028932i,0.00060106-0.00040755i,0.00090716-0.0014456i,0.00041293-0.0011225i,-0.00052631+6.1363e-05i,0.00021424+0.00041533i,0.00070002+0.0003951i,-7.8285e-05+0.00039097i,-0.00027974+0.00046536i,-0.00022434+0.0004989i,-0.00045033-7.8584e-05i,-0.00068934+0.00040563i,-0.00039746+0.00047237i,-0.00046654+9.0156e-05i,-0.0010838-0.00021021i,-0.0010726-3.1348e-05i
0.00071833-0.0011122i,-0.001508-0.00090428i,-0.0034212-0.00041697i,-0.0028763-4.5024e-05i,-0.0012726+0.00033159i,-9.2298e-05+0.00068713i,0.00048116+0.0009005i,0.00027211+0.00080731i,-0.00046348+0.00016893i,-0.00099216-9.5208e-05i,-0.00073297+0.00021729i,0.00031203+0.00054484i,0.0003726+0.00054833i,-0.00031883+0.00091164i,-0.00030271+0.00085333i,0.00040659+0.0007031i,0.0012522+0.00055577i,0.001028+0.00029598i,-0.00015399+0.00028443i,-0.00089851-7.5579e-05i,-0.00080192+0.00016763i,-0.00027648+0.00013316i,0.00042291+8.4011e-05i
8.7605e-05+0.00020321i,-7.6114e-05+0.00018314i,-0.00077258+0.0011156i,-0.00087328+0.0011548i,-0.00037672+0.00051912i,-6.6151e-05+0.00023662i,-6.5492e-05-0.00048581i,6.6706e-05-0.00044053i,0.00026067-0.00014738i,0.00067123-0.00048593i,0.00052671-0.00056669i,-8.1956e-05-0.0008592i,0.00012916-0.00062065i,0.0008056-0.00019778i,0.0011223-2.5219e-05i,0.00086303+0.00036686i,0.00096808+0.00037577i,0.0014197+0.00032243i,0.0010322+0.0001817i,0.00014666-0.00058037i,-0.00011695-0.00039901i,0.00018471+0.00036769i,0.0002264+0.00024743i
0.00034757+0.0010754i,0.0016703+0.0017209i,0.0013525+0.0018394i,0.00089307+0.0017186i,0.0013901+0.0010043i,0.0014632+0.00051545i,0.0011078+0.000409i,0.0011043+0.00011741i,0.00072598+4.0095e-05i,2.5004e-05+4.1146e-05i,0.00026226-0.00069826i,0.00062587-0.0010182i,0.00073265-3.185e-05i,0.0010292+0.0006285i,0.00025657+0.00056516i,-0.00064513-2.3817e-05i,0.0001282-0.00025234i,0.00071641+0.00024037i,-3.1005e-05+0.00017396i,-0.00070437-0.00028781i,-0.00068212-8.1993e-06i,-0.00053661+0.00090089i,-0.00054451+0.001477i
-0.00036637-0.00034937i,-0.00048971+0.00076043i,-0.0005052+0.00079779i,8.5957e-05-0.00036561i,0.001552-0.0011363i,0.0016542-0.0013702i,0.00050668-0.00056421i,-0.00032708+0.00056055i,0.00021076+0.00074628i,0.00077994+0.00040747i,0.0004795-0.00021251i,0.0013295-0.00041448i,0.0013844+5.4508e-05i,0.00042534+0.00057607i,0.00073998+0.0011413i,0.00065751+0.0011499i,0.00020668-5.3489e-05i,0.00026039-0.00041702i,0.00025949+0.00053193i,-0.00016538+0.00077877i,-0.00080914+0.00028571i,-0.00042363-0.00022822i,0.00035613-0.00080446i
-0.00045824+0.00067534i,1.409e-06+0.00065129i,0.0008651+0.00020166i,0.00091851+0.0002174i,0.00062911+0.00041588i,0.00033689+0.00041023i,-0.00017453+2.1366e-05i,-0.00054134+0.00015834i,-0.00068399+0.00078837i,1.1426e-05+0.00076719i,0.001077+0.00053545i,0.0011677+0.00044901i,0.00029096+2.0961e-05i,0.00087221-0.00034894i,0.0016343+0.00022892i,0.00095437+0.0004916i,0.00081137-0.00024152i,0.00071826-0.00058253i,-0.00017945-0.00028256i,-0.00037514-0.00039771i,-0.00025458-3.8708e-05i,-0.00047616+0.00090189i,-0.00074337+0.00072835i
-0.00087916-0.00082677i,-0.00049669+0.00016804i,-4.1706e-05+0.0010399i,0.00012457+0.0022425i,0.00090688+0.0016261i,0.00077715-0.00033511i,-0.00052433+0.00025387i,-0.00035335+0.001095i,0.00053861+0.0006998i,0.00018092+0.00027951i,6.4934e-06-0.00024154i,0.00081765-0.0007364i,0.00078594-0.0015984i,0.00037532-0.0018298i,0.0009747-0.0017286i,0.00071086-0.0013278i,-0.00017577-0.00068783i,-0.00105-0.00025673i,-0.0012099-1.2344e-05i,-0.0011096-4.4204e-05i,-0.0011969-0.00035512i,-0.0008976-0.00015516i,-0.0011305+6.8723e-05i
-0.00065787+0.001048i,0.00019332+0.0010098i,-3.187e-05+0.0014667i,-0.00033969+0.0018285i,0.0003743+0.0011333i,0.00045156+0.00020929i,2.469e-05+1.6784e-05i,0.00015967+0.00032494i,-3.8598e-07+0.0011705i,-0.0002023+0.001281i,-0.00033847+0.00050055i,-9.5816e-05+0.00058108i,0.00023811+0.00049514i,0.00044068-0.00046332i,0.00055173-0.00085618i,0.00017768-0.00084719i,0.00038295-0.00086237i,0.00086705-0.00051583i,0.00051695-0.00025557i,0.00034438-0.00060395i,0.00024052-0.00092988i,-2.9858e-06-0.00052498i,-8.1194e-05-0.00014752i
0.0011317-0.0016752i,0.0010456-0.0010579i,0.0012932-0.001268i,0.00080511-0.00076956i,-0.00025003-0.00023336i,0.00029018+0.00053778i,0.00061095+0.00064997i,0.00017679-0.00030314i,0.00034824-0.00024249i,-1.3435e-05-0.00038935i,-0.0003959-0.000977i,-0.00026994-0.00054473i,4.9221e-05-0.00034212i,0.00066437-0.00047117i,0.00051345-0.0005125i,-4.1428e-05-0.00095285i,0.00025492-0.00052767i,0.00025655+5.9054e-05i,-0.00044304-0.00073066i,-0.00040745-0.00089313i,-0.00083601-0.00028631i,-0.0016004-0.00041394i,-0.00041481-0.0002998i
0.0010265-0.0023612i,-0.00067684-0.0014055i,-0.0024399-0.00053362i,-0.0025284+0.00051548i,-0.001474+0.00095319i,-0.00037061+0.00039736i,-0.00023045+7.0092e-05i,-0.0010807+0.00018316i,-0.0014877-8.2647e-05i,-0.00051275-0.00029766i,0.0005091-0.00019177i,0.0008331-1.0141e-05i,0.0012501+0.00049949i,0.0014172+0.00099604i,0.0016404+0.00063952i,0.0013958+0.00032956i,0.00083295+0.00012687i,0.00035759+7.1112e-05i,-0.0006727+0.0004248i,-0.00065761+0.00048618i,0.00031939+0.00045829i,0.00014385+0.00019607i,0.00034275-3.376e-06i
0.0005961-0.00034143i,0.00031545-0.00099262i,0.00074884-0.0014788i,0.0022508-0.00087335i,0.0024955+0.00014274i,0.0012857+0.00016321i,0.00021127+5.324e-06i,0.0005436-7.1129e-05i,0.00087618+0.00015512i,0.00052978+0.00032569i,0.00044037+0.00013784i,0.00058425-0.00041695i,7.4185e-05-0.00073503i,-0.0002353-0.00071604i,0.00016646-0.0008174i,6.7769e-05-0.00067696i,-6.9524e-05-0.00068304i,0.00035878-0.00050605i,0.00044313-4.1971e-05i,0.00018017+0.00018533i,0.00020246-7.3439e-05i,0.00089133-0.00045797i,0.00042309-0.00055185i
0.00092055+0.0001401i,0.00062415-0.00061216i,0.00063119+0.00015012i,0.00033884+0.0012818i,-7.3374e-05+0.00013337i,-0.00045836-0.0013868i,-0.00011185-0.0010371i,0.00024279+0.00035599i,0.00028897+0.00073545i,0.00070337-0.00026856i,0.00049542-0.0010063i,7.3726e-05-0.00052297i,9.0411e-05+0.00052046i,0.00022784+0.00063141i,0.00031809-2.9483e-06i,7.224e-05-0.00025819i,0.00041763-0.00016039i,0.00039044+0.0002921i,-0.00046592+0.00077095i,-0.00062083+0.00076329i,0.00017735+0.00050507i,0.00055453+0.0002047i,-0.00018204-0.00014906i
-0.0019628+0.0013509i,-0.00098946+0.0020422i,0.00034805+0.00377i,0.0014703+0.0036616i,0.0018063+0.0015195i,0.001665-0.00019078i,0.00099457-0.00097807i,-0.00010281-0.00063027i,0.00032972+0.00049625i,0.00074945+0.00061422i,0.0010467+0.00063574i,0.0013105+0.00072222i,0.00055501+0.00019555i,0.00022129-0.00049167i,0.00058507-0.0012463i,0.00072569-0.001008i,0.00012123-0.00037815i,1.1693e-05-0.00056048i,0.00056599-0.00040068i,-0.00023666-0.0003384i,-0.00075976-0.00066297i,-4.976e-05-8.5931e-05i,0.00037371+4.2793e-05i
-3.5981e-07+0.0018813i,-1.4701e-05+0.0010226i,0.00014542+0.00098478i,0.00097565-6.0683e-05i,0.0021352-0.00067591i,0.001554+0.00018065i,0.00031724+0.00040299i,-0.00053537+0.00030884i,-0.00027062-0.00012103i,0.00049347-0.0013387i,0.00042603-0.001163i,0.00062058-0.00096507i,0.0012758-0.00066668i,0.0011521+1.446e-05i,0.00057217-0.00048941i,0.00017797-0.0001163i,-6.9123e-05+0.00070174i,0.00031882+0.00019767i,0.00095298+0.00073541i,0.00032228+0.0013417i,-0.00024672+0.0009749i,-0.00034023+0.0008731i,0.00017797-0.00013646i
-0.00080443-0.0004439i,-0.00039708-0.00044513i,0.00023879+0.00032259i,0.00079632+0.0011266i,0.00032938+0.00039743i,0.00012833-0.00095598i,0.00011677-0.0011885i,-0.0004423-1.2201e-05i,-0.000934+0.0005754i,-0.00031259+7.0076e-05i,0.00040555-0.0001692i,0.00082329+8.9356e-05i,0.00047325-0.0001126i,-9.2409e-05-0.00081077i,-0.00015603-0.00052916i,-7.4588e-05+0.00035971i,-0.0002536+0.00033564i,-0.00045584-5.8976e-05i,-0.0006213-0.00062001i,-0.00057627-0.00058478i,5.6992e-05-0.00037274i,0.00028292+0.00014296i,-0.00041772+0.00037582i
-0.0015431+6.3507e-06i,-0.0012505+0.00091113i,-0.00068074+0.0015185i,-0.00047889+0.0016431i,0.00033723+0.0013749i,0.0012182+0.00016026i,0.00098918-0.00069858i,0.00024199-0.00063793i,-0.00028243-0.00071267i,-0.00085207-0.00094123i,-0.0004944-0.00088603i,0.00076917-0.00034884i,0.0010619-0.00028301i,0.00024621-0.00044388i,-0.00012763-6.7971e-05i,0.0010302+0.00046733i,0.0012912+0.00068182i,0.00027353+0.00038164i,-0.00017559-0.00030853i,-0.00030238-0.00018927i,-0.00041854+0.00079708i,-0.00039155+0.001549i,-7.7205e-05+0.0012734i
0.00019648-0.0015804i,-0.00051451-0.0014632i,-0.00066649-0.00017322i,0.00044651+0.0015291i,0.0011431+0.0021722i,0.0016191+0.0011039i,0.0016635+0.00089589i,0.00063206+0.00073038i,-2.9431e-05-0.00031744i,-9.5576e-06-0.00040455i,-4.1196e-05+0.00024525i,0.00021859-0.00034162i,0.00028136-0.00098452i,-3.4298e-05-0.00067762i,-0.00029817-0.00024347i,-0.00014463-0.0001149i,0.00021549-0.00029361i,0.0011057+0.0005555i,0.0011381+0.001663i,0.00053385+0.0010847i,-0.00050155+0.00029196i,-0.0011315-0.00052928i,-0.00083233-0.0013146i
0.00021815-0.00034501i,0.00071694-0.00056946i,0.0011053-0.00025547i,0.00064324+0.00066609i,0.00077636+0.00043603i,0.0010518-0.00059123i,0.00053034-0.00087339i,0.00023111-0.00070868i,0.00012738-0.00034402i,0.00028627-0.00035875i,0.00054329+6.3398e-05i,0.00010164+0.0006751i,-4.9037e-06+0.00062792i,0.00017866+0.00036452i,-0.0004268-0.00019465i,-0.00099955-0.00087853i,-0.00052826-0.00086412i,5.7807e-05-6.7586e-05i,-7.9937e-05+0.00018156i,-0.00043635-0.00013916i,-0.00081966-0.00044012i,-0.00076165+4.7706e-05i,-0.0007008+0.00055005i
0.00021312-0.00054871i,-0.00094689+0.00015899i,-0.00098526+0.00047212i,-0.00079765+5.5899e-05i,-0.0007843-0.0002841i,-3.1386e-05+2.8494e-05i,7.3314e-05+0.00018629i,-0.00017355-0.00034037i,3.0234e-05-0.00078838i,-0.00045497-0.00028512i,-0.00052782-0.00014613i,-0.0003906-0.00013988i,-9.0681e-05+0.00022996i,0.00078003+0.00072354i,0.00047805+0.0011943i,0.00039981+0.00083927i,0.00098123+0.00082856i,0.00070994+0.00046864i,0.00042537-0.00025652i,-4.768e-05-0.00036222i,-0.00039385+5.7025e-05i,0.00020511+0.00055956i,0.00010035+0.00064918i
-0.0010515-0.00021791i,-0.0010677+0.00032206i,-0.0005523+0.0012652i,0.00028213+0.0022058i,0.00099713+0.0015684i,0.00097019-0.00011313i,-7.2764e-06-0.00070208i,-0.00085251-9.2953e-05i,-0.00087033+0.00039853i,-0.00035152-8.1691e-05i,-0.00017892-0.00063832i,-0.0002698-0.0011954i,0.00024363-0.0012329i,0.00050102-0.0011489i,-5.2273e-05-0.0010187i,0.00016096-0.00062922i,-0.00014872-0.00037722i,-0.00057587-0.00017881i,-0.00026746+0.00013693i,-0.0003299+0.0001075i,1.5797e-05-0.00025784i,-0.00039953+1.5307e-06i,-0.001268-0.00013974i
-0.00035091-0.00044334i,0.00044573-0.00023531i,0.0005752+0.00060778i,0.00060071+0.0014808i,0.00077082+0.00075148i,0.00086171+3.1268e-05i,-0.00015762-0.00011722i,-0.00016786-8.3529e-05i,-0.0001682+0.00032386i,-0.00078333+0.00035847i,-0.00021658-0.00017182i,0.00027043-0.00017046i,-7.8879e-05+5.9774e-05i,-0.0002379-1.7099e-05i,9.1579e-05-0.00047335i,1.9162e-05-0.00098276i,-0.00079657-0.00050604i,-0.00047159+0.00015803i,0.00026889+0.00048514i,0.00036099+0.00059963i,0.0003276+0.0005753i,-0.000133+0.00089732i,-0.00063842+0.00092866i
-0.00070425+0.0001102i,-0.00072634+0.00085271i,-0.00033976+0.0012756i,0.00065686+0.0019318i,0.0010756+0.001489i,0.0011972+0.0004184i,0.00079846-6.8356e-05i,0.00036031-9.6598e-05i,0.00013798+0.00036164i,0.00036274+0.00051797i,0.00084223+0.00023469i,0.00026697+8.6844e-06i,-0.00026879-7.0553e-06i,-0.00030326-0.00072105i,-0.00049208-0.00038953i,-4.4062e-05+0.00028346i,0.00033972+0.00016675i,-0.00016093-0.00046798i,-0.00067309-0.0014455i,-0.00040379-0.001914i,7.8806e-05-0.0011986i,0.0001496-0.00057908i,-0.00016842-0.0007495i
-0.0023538+0.0021322i,-0.002561+0.0025399i,-0.0017625+0.00194i,0.00035637+0.0013091i,0.000837+0.00091447i,0.00064772-0.00029567i,0.00080055-0.0005436i,0.00052185+0.00061942i,0.00050636+0.001228i,6.8936e-05+0.0012843i,-0.00022178+0.00097288i,-0.00024218+0.00026712i,0.00015193-0.00050639i,0.00065476-0.00073597i,0.00057077-0.00069649i,0.00012021-5.2712e-05i,2.4012e-06+0.00016458i,-0.00010523-0.00015391i,-0.00041357-0.00014706i,-0.00026391-0.00048212i,-0.00010372-0.00015743i,-0.00054265+0.00038196i,-0.00067516+7.1079e-05i
0.00094516-0.00056749i,-0.00027001-0.00068392i,-0.00041522-0.00051183i,0.00017281+0.00073721i,0.00029651+0.0010836i,4.0244e-05+0.00047878i,-0.00050127+0.00086514i,-0.001068+0.00072529i,-0.00076078+0.00017747i,0.00016834-0.00055513i,0.0002888-0.00067746i,-0.00025716-0.00028026i,-0.0001873-0.0005244i,-0.00023455-0.00028442i,-6.9078e-05+0.00010791i,-4.2983e-05+0.00068728i,-2.3322e-05+0.0013837i,-1.185e-05+0.0016731i,-0.00026857+0.00085135i,2.1645e-05+0.00043209i,0.00044773+0.00035817i,0.00042081+0.00025581i,-0.00030258+0.00047689i
0.0010556+0.00036031i,0.0013985+0.00014085i,0.0012732+0.0010169i,0.0012073-0.000311i,0.0011929-0.001411i,0.0010887-0.0013161i,0.00047227-0.00010258i,-0.00033639+0.00094025i,-0.0007207+0.00064388i,-0.000652+0.00044244i,-0.0003547+0.00010202i,0.00010913-0.00023924i,0.00018803+0.00024595i,0.00012155+0.00024464i,-4.1639e-05+0.0002138i,-0.00045381+0.0010602i,-0.00064262+0.00091341i,-5.4079e-05+0.00047783i,0.00014764-5.9314e-05i,-0.00054557-0.00027464i,-0.0010647-0.00031697i,-0.00071503-3.0617e-06i,-2.937e-05-8.3266e-05i
-0.0020447+0.00085995i,-0.0013367+0.00083491i,-0.0010995+0.0012407i,-0.00016568+0.0021439i,0.0015511+0.002188i,0.0017839+0.00094428i,0.0010121-0.00011456i,0.00026132-7.5653e-05i,-0.00054835-0.00017964i,-0.00093833-0.00028187i,-0.0001006+0.0001419i,0.00024569+0.00019855i,0.00073374+0.00020841i,0.00079715+0.00069182i,0.00049538+0.00038498i,0.0002614-5.3499e-05i,0.00013521-0.00042503i,0.00077966-0.00070075i,-0.00017721-0.00036586i,-0.0010984+0.00033274i,-0.00076668+0.00090217i,-1.4977e-05+0.0006371i,-0.00033439+9.4018e-05i
0.00087911+0.0015731i,0.0014797+0.00066986i,0.0028445+0.00051919i,0.0023721+3.8585e-06i,0.0011194-0.00062254i,0.0010469-0.0010586i,0.00023409-0.0005169i,-0.00045426+7.9142e-05i,0.00018822-0.00031482i,0.00091256-0.00074669i,0.00016482+0.00036317i,-0.00082282+0.00054238i,-0.00094655-0.0003844i,5.0517e-05-0.00043526i,0.0010062+0.00039476i,0.0010551+0.00087086i,0.0010502+0.00048426i,0.00080959-0.00013995i,0.00010283-0.0004042i,-0.0002692-0.00019385i,-0.00012374+8.6098e-05i,-5.216e-05-3.8351e-05i,0.00024253-9.8513e-06i
0.00043177-0.00050575i,0.0011687+0.00078782i,0.000811+0.0012255i,0.00054453+0.0017181i,0.00027027+0.0013058i,-1.3177e-05-0.00017212i,-0.00042874-0.00050657i,-0.0002269+0.00023833i,0.00025039+0.00047223i,8.0104e-05-6.8176e-05i,-0.00029605-0.00087283i,-0.00029092-0.0011643i,0.00034988-0.00097635i,0.00063955-0.0011759i,0.0003029-0.0012935i,0.00066159-0.00063786i,0.00071709-0.00025851i,-0.00039326-0.0002157i,-0.00051515-0.0003905i,0.00019662-0.00024588i,-0.00013653-0.00013694i,-0.00015139+0.00030087i,0.0006367+0.00072847i
