5.6003e-05-0.00059728i,-0.00029101-0.00042817i,-0.00095504-4.0757e-05i,-0.00069821-4.1016e-06i,9.9522e-05+0.00024322i,0.00041065+9.7789e-05i,1.8368e-05-3.0834e-05i,-0.00049034+0.000152i,-0.00053436-8.4335e-05i,-0.00071895+0.00020145i,-0.00065929+0.0004919i,0.00049322+0.0003054i,2.9648e-05-0.00042235i,-0.00087653-0.00037694i,-0.00052894+0.00041574i,-4.5769e-05+0.00075107i,-0.00015225+0.00076123i,-0.00033484+0.00069909i,-7.8908e-05+0.00048568i,0.00018498-0.00015877i,0.00021772-3.9775e-06i,8.1907e-05+0.00048763i,-0.00046088+0.00024933i
0.00051564+0.00063861i,0.0014759+0.0015625i,0.0019945+0.0018425i,0.0013584+0.0017147i,0.00010273+0.0011077i,-0.00047433-0.00014235i,-0.00075899-0.00074065i,-0.00086554-0.000918i,-0.00046389-0.00049317i,-0.00026038+4.7048e-05i,-0.00050343-1.7548e-05i,1.2225e-05+0.0002082i,0.00044041+0.0006416i,0.00035866+0.0004796i,0.00073301+0.00014861i,0.00061074-0.00012319i,-6.9307e-05+0.00037694i,-0.0005975+0.00063324i,-0.00058618+0.00041713i,-0.00014013+0.00020564i,4.4637e-05-0.00035722i,-0.00010544-0.00052095i,-0.00020284-0.00016462i
-0.00043261+0.00030634i,-0.00045206+0.001267i,-0.00021426+0.0019148i,-0.00014319+0.00064039i,-0.0001497-0.0010318i,-5.5547e-05-0.0012097i,-2.0647e-05-0.00092048i,0.00017123-0.00050771i,4.5665e-05-2.6334e-05i,6.0419e-05+0.00029796i,0.00012563+0.00024454i,0.00047856-0.00021768i,0.0008884-0.00015218i,-2.6656e-05+0.00013328i,-0.00052983+4.8989e-05i,-0.00050425-0.00017165i,-0.00036918+0.00037934i,-8.6392e-05+0.00099153i,0.00028244+0.00048451i,-0.00021822+6.6881e-05i,-0.00048816-0.00035669i,-8.4204e-05-0.00067003i,0.00035525-0.00038017i
7.9885e-05-0.00083569i,-0.00028697-0.00075989i,-0.0013841+0.00056969i,-0.001095+0.00098088i,-0.00020097+0.0012445i,1.5318e-05+0.0011946i,-4.4489e-05+0.00054106i,0.00031878-0.00067984i,0.0003342-0.00075551i,0.00012712+0.00016888i,0.00026179-0.00025177i,0.0003718-0.00051786i,0.0003022+0.00054795i,7.3182e-06+0.001379i,8.3322e-05+0.00056931i,0.0001242-0.00028731i,-0.00012751-0.00036237i,-0.00026658-0.00057831i,6.9753e-05-0.00099186i,9.5597e-05-0.0005391i,-0.00044793+8.6757e-05i,-0.00079699+0.0001833i,-0.00020237-7.7341e-05i
-0.00077385+0.0021503i,-0.00030742+0.0029204i,0.00097913+0.0028297i,0.0017682+0.0017728i,0.0014811+0.00049334i,8.4207e-05+0.00048361i,-0.0013665+0.00034238i,-0.0017618-0.00071221i,-0.00157-0.00087888i,-0.0012106-0.00083676i,-0.00064183-0.00096754i,5.7866e-05-0.0004595i,-0.00021287+0.00079449i,-0.00061556+0.00090182i,-0.00069151+0.00040722i,-0.00079944+5.1444e-05i,-0.00044404+0.00021929i,-0.00012652+0.00054498i,0.00034695+0.0002125i,0.0012376-0.00033119i,0.0010014-0.00040272i,-2.8795e-05-7.9879e-05i,-0.00085593+0.00035664i
-0.00032312-0.0010518i,-0.0010274-0.0013421i,-0.00065147-0.00047161i,0.00047398-8.4029e-05i,0.00034568-0.00024367i,-0.00046777-0.00011165i,-0.00024175+0.00042344i,0.00014001+5.7272e-05i,-6.7335e-05-0.00070447i,-0.00038164-0.00066678i,-0.00058632+0.00012695i,-0.0004863+0.00090484i,-0.00027731+0.00060575i,0.00024387+0.00010545i,0.00045817-0.0002446i,0.00055772-0.00024823i,0.00052827+7.8689e-05i,-1.6761e-05+0.00016961i,0.00013677+0.00041969i,0.0010004+0.00024679i,0.0005885+0.00035648i,0.00010999+0.00049184i,-0.00014717+0.00031215i
-0.0003126+0.00126i,0.00033455+0.0020595i,0.001503+0.0016024i,0.001786+0.00091782i,0.00096073+0.00048367i,5.3722e-05+8.0721e-05i,-0.0006703-0.00047465i,-0.00049463-0.00093486i,-0.00068351-0.00056554i,-0.00043442-0.00031242i,6.1175e-05-0.00042666i,0.00013283-0.00061094i,0.00064437-0.00066326i,0.00063137-0.00010051i,0.00044655-8.598e-05i,6.919e-05-9.3734e-05i,-0.00060353+0.0003867i,-0.00025628+8.8286e-06i,0.00018288-0.00022897i,-0.0001175+7.0832e-05i,-0.00010515-7.9096e-05i,0.00057166+0.00035162i,0.00011862+4.8517e-05i
-0.00024945-0.0015003i,-0.0010986-0.0010368i,-0.001084-0.00040227i,-0.00094627-3.1615e-05i,-0.0011856+0.00051296i,-0.00048253+0.00035688i,-0.00048311-0.00060433i,-0.0014336-0.00049532i,-0.0012247+0.0003224i,-0.0008375+0.00038449i,-0.00062155+0.0004474i,-0.00069887+0.00063844i,1.9106e-05+0.00078763i,0.00077122+0.00044968i,0.00057733-0.00034449i,0.0010323-0.00026786i,0.0013651+9.764e-05i,0.0016125-0.00047803i,0.0011701-0.00059143i,0.0002325-0.00012284i,-0.00019645+8.4931e-05i,-2.0381e-05-0.00048717i,0.00040512-0.00083713i
0.00013976+0.00059831i,0.00022632+0.0017443i,0.00047375+0.0016235i,0.0007313+0.00090537i,-0.000612+0.00070586i,-0.0014395+0.00069493i,-0.0001367+6.8532e-05i,0.00010688+1.4972e-06i,-0.00029149+0.00016054i,0.00030044+0.00047597i,0.00028775+0.00045195i,-0.00024897+0.00036936i,-0.00074015-7.4829e-05i,-0.0012848-0.00048611i,-0.00098839-0.00056256i,-0.00092519-0.00055868i,-0.001014-0.00028119i,-0.00036005+0.00018947i,-4.4742e-05+1.3728e-05i,-0.00019396-0.00065103i,-0.00062198-0.00072153i,-0.00023368-0.00079427i,0.00030474-0.00049367i
0.0011286+0.000685i,0.00080132-0.00031417i,0.00012694-0.00084832i,2.2552e-05-0.00018952i,-0.000203-2.8618e-05i,-0.00017532-0.00035544i,0.0002247-0.00030037i,0.0006564-0.00039052i,0.00092987-7.0333e-05i,-0.00018422+2.3713e-05i,-0.0011288-0.00071423i,-0.00089821-0.00044075i,-0.0007853+0.00058723i,-0.00083685+0.00089151i,-0.0010682+0.00060797i,-0.0010636+0.00016478i,-0.00090737+0.00030283i,-0.00024679+0.00076233i,-0.00021855+0.00023897i,-0.00063668-0.00068676i,-0.00053342-0.00040242i,0.00030638+0.00076403i,0.00065157+0.00078103i
