-0.004728+0.00092218i,-0.00085425+0.0011974i,0.0004956+0.0014206i,0.0014772+0.0024027i,0.0023824+0.0026839i,0.0023022+0.0017708i,0.0012726+0.0012877i,0.00073376+0.00098255i,0.00024627+5.3375e-05i,0.0001157-0.00049223i,0.00065429-0.00074333i,0.0012668-0.00072616i,0.00091675-0.00078637i,-0.00021001-0.0011899i,-0.00081379-0.00092591i,-0.00012415-0.00084981i,0.00062352-0.00042404i,0.00048275+0.0002526i,0.00071704+0.00020154i,0.00057014+0.00020709i,-0.00032277+0.00046976i,-0.00033499+0.00066129i,6.1913e-05+0.0008209i
0.00064565-1.6113e-05i,0.00061385+0.00082423i,0.0015817+0.00092562i,0.0023755+0.00030103i,0.0017739-0.001003i,0.00093438-0.0015763i,0.00025476-0.00046493i,0.00019372+0.00012905i,0.0006721+0.00022403i,0.0003798-2.875e-05i,-0.00083861-0.00015404i,-0.0015025+0.00045392i,-0.00096592+0.0002015i,0.00030478-0.00031091i,0.00084732-0.00010133i,0.00018621-6.5231e-05i,-0.00036825-0.00012538i,-0.00026743+0.00018544i,4.0944e-06+3.2054e-05i,0.00041143+0.00019678i,8.5185e-05-0.00036969i,-0.00034333-0.00099574i,-8.0623e-06-0.00071502i
0.00039682+6.8979e-05i,-0.00081407+0.0009551i,-0.0012807+0.0012396i,-0.00031232+0.00024975i,0.00040818-0.0001008i,0.00093272-9.3822e-05i,0.0011622-0.00036456i,0.00057074-0.00018844i,0.00014972+5.5191e-05i,7.0243e-05+0.00032383i,-0.00057394+4.7039e-05i,-0.00084828-0.00088654i,-0.00020219-0.001506i,0.00043333-0.0012837i,0.00032001-0.00058444i,-1.7901e-05-7.3689e-05i,-0.00035574+7.8862e-05i,-0.0011558+0.00018615i,-0.0010325-0.0001165i,-0.00046412+2.6725e-05i,-0.00011325+0.00060377i,-3.022e-05+0.0010637i,6.8774e-05+0.00074994i
-0.0015716+0.00011039i,-0.00065053+0.0013086i,0.0012649+0.0016507i,0.0028486+0.0013968i,0.0045152+0.0013198i,0.0037697+0.00067292i,0.0018318+0.00016273i,0.0010536+0.00018528i,0.00041124-6.5474e-05i,0.0004288-0.00044377i,0.001025-0.00041761i,0.0011475-0.0001632i,0.00031925-6.5633e-05i,0.00054059-0.00026476i,0.00053642-0.00060144i,0.00036676-0.00027606i,0.00051347+0.0002391i,0.00018958+0.00088976i,9.8361e-05+0.0012342i,-0.00011372+0.00093001i,-5.9282e-05+0.00029716i,0.00024502-0.00013914i,0.00030606-0.00044228i
-0.0012324-0.0010983i,-0.0012827-0.00016153i,-0.00097739+0.001204i,8.677e-05+0.0015062i,0.0013808+0.00059914i,0.0022709-0.00018662i,0.002484-0.00015162i,0.0016205+0.00053748i,0.00045144+0.00011855i,-0.00046274-0.00042831i,0.0001045-0.00055399i,0.00098992-3.9111e-05i,0.00065224-0.00018873i,0.00065944+0.00020293i,0.00038704+0.00063962i,-0.00014416-0.00027631i,-0.00033748-0.00059462i,7.149e-06+1.8293e-05i,2.5225e-05+0.00026989i,-0.00030932-0.00012737i,-0.00015929-2.9436e-05i,0.00012664-0.00030058i,-0.00024405-0.0003089i
-0.0010251+0.00090932i,-0.00069528+0.0012965i,0.00091446+0.00091027i,0.0033668+0.00046122i,0.0037017+0.00010335i,0.0028838-0.00068869i,0.0011914-0.001503i,0.00062314-0.0011943i,0.00056441-0.00015454i,0.00050252-0.00028721i,-0.00056287-2.1471e-05i,-0.0017996+0.00034628i,-0.00052054-0.00014499i,0.00092951-0.00013798i,0.00098314+0.00025249i,-2.6797e-05-0.00016265i,-0.00018867-0.0012041i,0.00079179-0.0011578i,0.0013259-0.00037633i,0.00082975+0.00052735i,0.00054578+0.0012405i,0.00049142+0.0013173i,0.00017973+0.00091602i
-0.0030244-0.00041695i,-0.0018032+0.00075405i,-0.00023117+0.0021074i,0.0010356+0.002748i,0.0023251+0.0012166i,0.0032328+0.00042906i,0.0029319+0.0002334i,0.0017276-0.00027399i,0.00062248-0.000147i,-9.2485e-05-0.00048085i,-0.00024068-0.00027644i,0.0002287+0.00050498i,0.00021267+0.00040732i,2.4145e-06+0.00016589i,0.00013542+0.00049098i,0.00010707+0.00011538i,-0.00049585-0.0008289i,-0.00047871-0.00083806i,0.00048557-0.00019354i,0.00050127-0.00025944i,-0.00012132-5.7914e-06i,-0.00051788+0.00037318i,-0.00061-3.9461e-05i
-0.0016049-0.00025408i,-0.0016584-0.001082i,-0.0014909-0.00053703i,-7.0588e-05+8.6514e-05i,0.00091397-0.00024912i,0.0014517-0.00033094i,0.00093601-0.00029202i,0.00074303-0.00034635i,0.0006263-0.0011333i,-0.00026465-0.0012775i,-0.000713-0.00065939i,-0.00026424-0.00077116i,2.9216e-05-0.00072237i,-0.0003905+8.1062e-05i,-0.00014082+0.00047688i,0.00010059+0.00033284i,1.6458e-05+3.3655e-05i,0.00050389-2.7442e-05i,0.0004288+3.4736e-05i,0.00020225+1.0947e-05i,0.00048688+0.00062141i,0.00054238+0.00014933i,2.5427e-05+9.0042e-05i
0.00029045+0.00047763i,0.0012145+0.0010459i,0.0021931+0.0028061i,0.0028837+0.0026451i,0.0034232+0.0010714i,0.0030132-0.00019014i,0.0013661-0.00020646i,-8.6979e-05-0.00057681i,-0.00033027-0.0011158i,0.00047405-0.00084232i,7.4296e-05-0.00033089i,-0.00072518+0.00032142i,-0.0010229-0.00036248i,-0.00056856-0.0016859i,0.00042731-0.0014956i,0.00070939-0.00058449i,-5.4002e-05-0.00016161i,-0.00095005-9.0703e-05i,-0.00046117+0.00023237i,0.00088508+0.00051101i,0.0011902-0.00017575i,0.00048723-0.00047954i,0.00030794+0.00018473i
-0.00060239+0.0010749i,0.0011108+0.0011613i,0.0031361-0.00015004i,0.0035359-0.0014249i,0.0039701-0.0016361i,0.0036756-0.0020786i,0.0021288-0.0017191i,0.0004237+4.5648e-05i,-2.933e-05+0.00090732i,0.00042089-1.7686e-05i,0.00018286-0.00056547i,0.00031568-0.000476i,0.00031906+0.00017891i,-0.00032148+0.00046044i,-0.0003445+7.8285e-05i,0.00021465-0.00036256i,0.00089482-0.00016295i,0.0005117-1.9292e-05i,-0.00011454-0.00010925i,-0.00015086-5.6473e-06i,0.00059625-6.2447e-05i,0.00079357+0.00063656i,-5.8389e-05+0.0006989i
-0.0025194+0.00072446i,-0.0023388+0.0010386i,-0.00014707+0.0036171i,0.0024372+0.0037595i,0.0035738+0.00083364i,0.0027683-0.00088784i,0.0014787-0.00037813i,0.00033612+0.00081467i,-0.00025667+0.001202i,-0.00051688+0.00062757i,0.00025589+0.00045538i,0.00056365+0.00058535i,0.00042396+1.2995e-05i,0.00066515-0.00064779i,0.00056726-0.0010137i,8.0594e-05-0.0010483i,-0.00015466-0.00090179i,0.00046684+3.5146e-05i,0.00050718+0.00045641i,0.00044753+0.00036025i,6.6932e-05+0.00057466i,-0.00038881+0.00018429i,-0.00019494-0.00048339i
-0.0014321-0.0003167i,-0.00097124-0.00019071i,-0.00029299+0.00026995i,0.0010832+0.00018474i,0.0032286+0.00064374i,0.0032955+6.8963e-05i,0.0018623-0.00096207i,0.00083435-0.00040949i,0.00031052-7.9469e-07i,0.00087372+0.0002859i,0.0010647+0.00062118i,0.00078006+0.00026515i,0.00051658-8.3492e-05i,-0.0002825+0.00022047i,-0.00057754-0.00014786i,-0.00014178-0.00043509i,0.00016931+2.3054e-05i,6.3825e-05+0.00022202i,0.00019727+0.00049715i,0.0010758+5.363e-06i,0.001182-0.00059523i,0.00029082-0.00016083i,-0.00016942+0.00017987i
0.00046263+0.0014982i,0.00061239+0.001336i,0.0022332+0.0019274i,0.0035838+0.0015866i,0.0038544-0.00023213i,0.0029832-0.0012293i,0.0022145-0.00081732i,0.0015078-0.00065606i,0.00043536-0.00027857i,-0.0008141-0.00031579i,-0.0011105-0.0002841i,-0.00011316+0.00039426i,0.00035555+0.00099266i,-6.2687e-05+0.00075462i,-0.00047355-0.00028949i,-0.00019594-0.00097603i,4.1591e-05-0.00077759i,-7.6006e-05+0.0003436i,0.00045378+0.0010722i,0.00097756+0.0005789i,0.00077715+0.00023499i,0.00049629+0.00015331i,-6.7681e-05-0.00022531i
0.001174-0.00084056i,0.0009706-0.0005026i,0.00089629-0.00038766i,0.00045958-0.00058457i,0.00057415-0.00053745i,0.0017849+0.00025801i,0.0015533+0.00046549i,0.00031993-0.0002932i,-5.8496e-05-0.00076024i,0.0004121-0.00056394i,0.00070255-0.00024884i,0.0007254+8.239e-05i,0.00014129-0.00049058i,-0.00017881-0.00083379i,0.0010043-0.00024908i,0.0010686+0.00022037i,0.00039168-0.00023074i,0.00038397-0.00019399i,2.6258e-05+0.00030867i,0.00041104+7.332e-05i,0.00037158+1.7443e-05i,0.00019721+0.00025303i,0.00095662+0.00054684i
0.0014539-0.00096616i,0.001601-0.0009526i,0.002947-0.0012921i,0.0030303-0.0018155i,0.0025096-0.0012381i,0.0016368-0.0004474i,0.0010136-0.00016904i,0.00035355-5.5595e-05i,7.2466e-05-0.00059407i,0.00019049-0.00072398i,-0.00015205-0.0002928i,7.1831e-05+0.00016855i,0.00074202+0.00054822i,0.001136+0.00058916i,0.00065042+0.00061081i,-0.00010215+0.0005727i,0.00016434+0.00034931i,0.00046896+0.00053055i,0.00017414+0.00064662i,-0.00020685+0.00044789i,-0.00041412+0.00064591i,0.00037059+0.00067136i,0.0010001-6.6491e-05i
-0.0018911-0.0022009i,-0.0028702-0.0021947i,-0.0027229-0.0010544i,-0.0021636+0.00029385i,-0.0016221+0.00082532i,-0.00055155+0.00089073i,0.00013379+2.0601e-05i,-3.4733e-05-0.00075385i,0.00019844-0.00015883i,0.00039112+0.00067192i,0.00041487+0.0011364i,0.00038064+0.00068932i,0.00046327+0.00010945i,0.00091392+0.00029437i,0.0013217+0.00026188i,0.00090696-0.00012136i,7.2149e-05-0.00052626i,0.00024592-0.00039948i,0.00026372-0.00031321i,-6.6146e-05+0.00017579i,0.00011768+0.00045013i,0.00072814+0.00017985i,0.00052875+7.9287e-06i
0.0033048-5.8939e-05i,0.0021455+0.00080537i,0.001629+3.8174e-05i,0.002297-0.0016679i,0.0024681-0.0019981i,0.0017818-0.0012039i,0.0014604-0.00060597i,0.0011336-0.00025246i,0.00078267-0.00077533i,0.00024387-0.00060439i,-0.00048558+0.00026958i,0.00011405+0.00036576i,0.00065088+0.00035021i,-3.9883e-05+0.000177i,-0.00061851+0.00015792i,6.0277e-05+3.6693e-05i,0.00033481+0.00036195i,-0.00057824+0.0010385i,-0.0006395+0.00040902i,-0.00028155-3.4616e-05i,0.00032954+0.00024572i,0.00064925+9.5722e-06i,-0.00011079-0.0002913i
-0.00016989-0.00051465i,-0.00051685-0.00021225i,-3.5248e-05-0.00019453i,0.0021561+0.00070731i,0.0033995+0.0018865i,0.0029728+0.0014628i,0.0018806+0.00037009i,0.00054047-0.00030549i,-0.00028624-0.00050422i,-0.00024726+4.3396e-05i,0.00020571+0.00037333i,0.00078763+0.00068187i,0.00097663+0.0010706i,0.00069182+0.00067i,0.00046934+0.00045316i,0.00075398+0.00041693i,0.00074681-0.00012368i,0.00036346-0.00027594i,0.00011133+0.0003371i,0.00013893+0.0010651i,-0.00018057+0.00073054i,-0.00030842-0.00013195i,0.00024088+0.00041141i
0.0011139+0.00065363i,0.0015422+0.00019671i,0.0032179-5.4266e-05i,0.00445-0.00054228i,0.0042453-0.0015029i,0.0026982-0.0020787i,0.0011862-0.0018098i,0.00019011-0.00099071i,-0.00049604-0.00054792i,-0.00025986-0.00042676i,0.00029784-0.0007148i,0.00038344-0.00051465i,0.00056359-0.00017758i,0.00025568-0.00022065i,-0.00012554-0.00031155i,3.5658e-05-0.00022686i,0.00035141-0.00082417i,0.00068036-0.0012241i,0.00059502-0.00049029i,0.00067217+0.00023455i,0.00085056-0.00017486i,0.0004685-0.00034256i,-8.8704e-05-0.00054719i
-0.00047129-0.00098874i,-0.00046568+0.00025121i,-0.00064047-0.00014239i,8.0206e-05-0.001133i,0.0010081-0.0011935i,0.0016544-0.0010702i,0.0016611+9.5664e-05i,0.00062819+0.00080554i,-3.8128e-05+0.0001703i,-0.00010993-0.00072135i,-0.00017243-0.00064777i,-0.00037893+0.00014055i,0.00021102-2.2691e-05i,0.00099873-0.00013965i,0.00057141+0.00012342i,-6.8998e-05+0.00039969i,0.00012314+0.00074681i,-8.8739e-05+0.00049163i,-5.4345e-05-9.1529e-05i,-0.00010084-0.00025248i,9.3751e-05+3.5075e-05i,0.00049663+0.00013676i,0.00033532+0.00061135i
0.0023651+0.00029046i,0.001712-0.00047105i,0.0017881-0.00112i,0.0025634-0.0014775i,0.0026487-0.0013211i,0.0014825-9.955e-06i,0.00040714+0.00069942i,0.00026694-7.3315e-05i,-2.8761e-05-0.00057492i,-0.00084144-0.00055774i,-0.00018513+0.00039719i,0.00077698+0.00090258i,0.00085761+0.00069441i,0.00082982+0.00026001i,0.00014577-0.00030074i,-0.00085224-3.21e-05i,-0.00093279+0.00018165i,0.00020315-2.7429e-06i,0.0017368+0.00035964i,0.0015652+0.0011138i,0.00055116+0.00040759i,0.0002634-0.00030517i,0.00050081-1.5893e-06i
-0.00072622+0.00046934i,0.00039834+0.00097296i,0.0016822+0.0017788i,0.0033644+0.0016989i,0.0038884+0.0008906i,0.0030083-7.9308e-05i,0.0016255-0.00094027i,-0.0002844-0.00049267i,-0.00067628-0.00022376i,-0.00034065-0.00071124i,-0.0010812-0.00068532i,-0.00099661-0.00029938i,-0.00030738-0.00023572i,-0.00054908-0.00062092i,-0.0006688-0.00073837i,-2.3469e-06-0.00036386i,0.00047437+0.00012938i,0.00059047+6.8067e-05i,0.000451-0.00041148i,0.00055984+0.0002475i,0.00042643+0.00091425i,0.00020189+0.00083348i,0.00041556-0.00020676i
0.00045599-3.2514e-05i,0.0017691-0.00034041i,0.002518-0.00096003i,0.0027234-0.00076385i,0.0023064-0.00043938i,0.00098924-0.00028369i,-9.0612e-05-0.00049201i,-3.6286e-05-0.00056135i,0.00060062-0.0001165i,0.00085715-0.00011451i,0.00089614-0.00020388i,0.00093154-0.00053398i,0.00019378-0.00040588i,-3.982e-05+0.00012398i,0.00018493+5.9496e-05i,0.00042448-0.00062848i,-4.6279e-05-0.00083225i,-0.00018947-0.00043712i,0.00062001+8.7247e-05i,0.00072879+0.00070852i,0.00019802+0.0004729i,-0.00054758+0.00011328i,-0.00027711+0.00042563i
0.00011087+0.0031297i,0.0010549+0.0035696i,0.0021422+0.0040892i,0.0034591+0.00325i,0.0039035+0.0019382i,0.0027154+0.00029382i,0.0017495-0.0011063i,0.00087393-0.00084924i,0.00061554+2.7647e-05i,0.00079487+0.00042447i,0.00053938+0.00065086i,-5.8606e-05+0.00084407i,-0.00073529-5.9186e-05i,-0.0011864-0.00046556i,-0.0011161-0.00024351i,-0.00039942+0.00018906i,0.00024994+0.00062276i,0.00011391+0.00082327i,-0.00010299+0.00058507i,0.00014582-5.017e-06i,3.1131e-05-0.00010766i,-0.0004237-4.47e-05i,-0.0004453+0.00011694i
0.00046382-0.001981i,-0.00038725-0.001847i,-9.598e-05-0.001459i,0.00078785-0.0015744i,0.00077756-0.0017117i,0.00068642-0.0010606i,0.00049044-0.00030718i,0.00078525-0.00014582i,8.3463e-05+0.00084184i,-0.0010625+0.0016568i,-0.00084687+0.001012i,-0.000199-3.7371e-06i,-0.0003068-6.546e-05i,-0.00023724+0.00018146i,0.00039199+0.00029564i,3.8149e-05+0.00056482i,-0.00054727+0.00049513i,-0.00056947+0.00053742i,-8.7831e-05+0.00050589i,0.00068182+0.00064993i,0.00062928+0.0016835i,0.00053139+0.0014253i,0.00047529+7.213e-05i
0.0016551+0.0024672i,0.0026906+0.0020487i,0.003242+0.0019547i,0.0038989+0.00061647i,0.0044-0.0017091i,0.0024452-0.0029668i,0.00040227-0.0015636i,-0.00026101+6.9059e-05i,-4.0789e-05+0.00066326i,0.00016256+0.0002105i,0.00034851-2.7815e-05i,0.00022044-0.0004302i,-0.00062248-8.7232e-05i,-0.0015425+0.000231i,-0.0017525+0.00030951i,-0.001331+0.00029389i,-0.00077026+0.00020359i,-0.00056167+0.0011687i,0.00010997+0.00084215i,0.00080756-0.00039289i,0.00070336-0.00040866i,-0.00011901-0.0004879i,-0.00045864-0.00082374i
0.00039583-0.0013749i,0.0011384-0.00033603i,0.0014649+0.00044363i,0.0017048+0.00019819i,0.0016806+2.3873e-05i,0.0015663+0.00021253i,0.00071389-4.557e-05i,0.00042885-0.00041339i,0.00060916-8.6335e-05i,0.00048163+0.00030723i,0.00017911+0.00084487i,5.916e-05+0.00037249i,-0.00019154-0.0004301i,-0.00040541-0.00024658i,-0.00049291-6.8826e-05i,-0.00050204+0.00034077i,-0.00014598+0.00037716i,0.0004657-4.9541e-05i,0.00030107+0.00011074i,0.00018716-0.00011323i,0.00042951-0.00065364i,0.00056513-0.0003107i,0.0001665-0.00045121i
0.00060966+0.00077915i,0.00072625+0.0012876i,0.0013293+0.0016444i,0.0024191+0.0015829i,0.0029243+0.00057261i,0.0027768-0.0004139i,0.001813-0.00015623i,0.0011651-0.00055124i,0.00069192-0.0013607i,-0.00043442-0.0011451i,-0.00053479-0.00020436i,7.3437e-06+0.00022814i,0.00019972+0.00016333i,-0.00016188+0.00011687i,-0.000441+0.00044029i,-0.00030425+0.0006475i,-0.00040345+0.00049882i,-0.00040717+0.00024023i,-4.9011e-05+6.8043e-05i,0.00045969-0.00011291i,0.00014886+8.5981e-05i,-0.00036935+0.00083018i,2.0301e-05+0.00049052i
-0.00099643-0.0014147i,-0.0011804-0.00051267i,-0.0014651-9.4375e-05i,-0.00066486+0.00018761i,0.0013955+0.00034651i,0.0021442-0.00015362i,0.00084767-0.00043591i,0.0002107-0.00023941i,0.00033973-0.00030538i,-3.8079e-05-0.00029554i,0.00027668-0.00011949i,0.00063512-0.00070164i,0.00035008-0.00045012i,0.00029319-0.00049307i,-7.0039e-05-0.0012272i,-0.00053004-0.0010514i,-0.00010495-0.00051976i,0.00083264-0.0001729i,0.00095952+0.00030137i,0.00046729+0.00024682i,0.00078651+0.00044695i,0.00079253+0.00088785i,0.00036939+0.00034639i
-0.00038483+0.0012127i,0.0015505+0.0015494i,0.0020413+0.0011495i,0.0028646+5.8556e-05i,0.0034592-0.00050087i,0.0028387-0.00048509i,0.0014318-0.00040157i,0.00050473-0.00010351i,0.00015877-0.00019013i,-0.00074152-0.00045785i,-0.0011421-0.00077683i,-0.00085479-0.00093663i,-0.00046605-0.0011546i,1.0173e-05-0.0010845i,-0.00050948-0.00046658i,-0.0004546-0.00026245i,-9.8436e-05-0.00020686i,-7.3426e-05+0.00045313i,0.00032235+6.0714e-05i,0.00030706+0.00017851i,-9.3038e-05+0.00081361i,0.00033023+0.0010721i,0.00041765+0.00091851i
-0.0016141-0.0006974i,-0.0020272+0.00035526i,-0.0018312+0.0015579i,-0.00042177+0.0014281i,0.0020466+0.00012449i,0.0024502-0.0011247i,0.0018353-0.00096939i,0.00059287-0.00048951i,-0.00030371-0.00021989i,-0.00010087-0.00022614i,3.6795e-05-0.00014118i,-0.00012913+0.00043494i,0.00031758+0.00016443i,0.0013353+2.1747e-05i,0.00095211-0.00013244i,-0.00017805-0.00029291i,0.00021129+0.00038118i,0.0003155+0.00033581i,0.00060491-4.0431e-05i,0.00050381+0.00026046i,-0.00071931+0.00065971i,-0.00096295-8.7136e-05i,-1.8263e-05-0.00027162i
0.00098259+0.0019269i,0.0016973+0.0011097i,0.0040449+0.00011054i,0.0048317-0.00070709i,0.0036172-0.001665i,0.0022911-0.0018436i,0.0011291-0.0012356i,2.6356e-05-0.00049742i,-0.00031198-0.00096047i,-0.00019696-0.0012701i,-0.00080657-0.00069173i,-0.0010663-0.00060023i,-0.00071216-0.00042886i,-5.0599e-05-0.00040806i,0.0007368-0.00052152i,0.00065757-0.00045966i,0.0001251-0.00079746i,3.9559e-05-0.00078549i,0.00046792+0.00016013i,0.00019406+0.0010426i,0.00024937+0.00071333i,0.00067776+0.00093753i,0.00061881+0.00061732i
-0.0012388-0.0020421i,-0.0012213-0.0010146i,-0.0011488-0.00032023i,-0.00027302+1.3514e-05i,0.00081561+0.00057473i,0.0014393+0.0012745i,0.0010582+0.001276i,0.00093864+0.00024954i,0.00020586-0.00021699i,-0.00097943+0.00047809i,-0.00035958+0.0013658i,-2.1697e-05+0.0014029i,-8.5759e-05+0.00086177i,0.00030667+0.00053666i,0.00034702+0.00076642i,0.001135+0.001159i,0.001159+0.00069447i,0.00016354-0.00037022i,0.00039651-0.00049898i,0.00083106-0.00017913i,0.0010191+2.9275e-05i,5.9613e-05+0.00052906i,-0.00078524+0.00081685i
