-0.00060644+0.00056465i,-0.00013917-0.00055974i,-0.0013494-0.00068946i,-0.0026896+3.1526e-05i,-0.003704+0.0010985i,-0.0026932+0.0017326i,-0.001374+0.0019139i,-0.00083727+0.0011797i,0.00068378+0.00036864i,0.0010858-0.0003267i,0.00048356-0.00089783i,-0.000157-0.00088429i,-0.00070556-0.00047012i,-0.0012974-0.00055127i,-0.0012254-0.0004607i,-0.00037661-2.504e-05i,0.00076872+0.00012526i,0.00044677-0.00011264i,-0.0005809+0.00011607i,-0.00044425+0.00017297i,0.0002443+0.00032322i,0.00031982+0.0004109i,0.00020482+0.00057066i
0.00045775+0.00065229i,-0.00065528+0.0010233i,-0.0019298+0.0010856i,-0.0013464+0.00063268i,-2.1071e-05+0.00036764i,0.00018687+0.00021343i,9.5877e-06+0.0005682i,0.00017524+0.00042461i,0.00018157+0.00033275i,-8.2203e-05+0.00045281i,6.9883e-05-7.9127e-05i,0.00029203-0.00071424i,-9.3481e-05-0.00019111i,-0.00049812+0.00032384i,-0.00035168-0.00039664i,-0.00029313-0.0011437i,-0.00016387-0.0011907i,-1.4638e-05-0.00037421i,-0.00017182+0.00010384i,-0.00020497+0.00019392i,-0.00069667+0.00010385i,-0.00088709-0.00043817i,9.566e-05-0.00022518i
-0.0016021-0.00040943i,-0.0013198+0.00020718i,-0.0010242-0.00028832i,-0.0014094+0.00027586i,-0.0020043+0.0019694i,-0.0017635+0.0022666i,-0.00093098+0.0011139i,-0.00049711+0.00055423i,-0.0006937-0.00023541i,-0.00040525-0.0010819i,-2.9598e-05-0.00083067i,-0.00030108-0.00072632i,-0.00068695-0.0002988i,-0.0010846-0.00029615i,-0.00062207-0.00090887i,0.00023374-0.0007339i,0.00046795+0.00012986i,0.00033324+0.00048455i,3.3117e-05+0.0007906i,0.00020999+7.8588e-05i,0.00010952-0.00045579i,-8.7127e-05+0.00034655i,-0.00026908+0.00087514i
-0.0008078+0.00011111i,-0.00094018+0.00092736i,-0.00072137+0.0011546i,-0.0015638+0.00038535i,-0.0017244-1.0351e-05i,-0.0014154+0.0002392i,-0.0012977+0.000444i,-0.00071536+0.00070992i,-0.00041278+0.00097077i,0.00059836+0.00085672i,0.00089561+0.00075379i,4.8607e-06+0.00033404i,-0.0001692+0.00053242i,-5.1341e-06+0.0004686i,-0.000459-0.00028943i,-7.3989e-05+0.0003601i,3.235e-05+0.00097671i,-0.00019293-0.00029091i,-0.00037596-0.001345i,-0.00060195-0.0010599i,-0.00052987-0.00051975i,-0.00073865+0.00021844i,-0.00058805+0.00068563i
-0.0020113-0.00017302i,-0.0017607-0.00040768i,-0.0016567+0.00059293i,-0.0015161+0.0013675i,-0.0013732+0.0015516i,-0.001352+0.0016007i,-0.0010358+0.0013366i,-0.0006079+0.00086417i,-0.00042414+0.00019406i,2.1538e-05-0.00051987i,0.0003532-0.0010578i,0.00025281-0.00093998i,0.00038685+0.00019826i,7.6794e-05+0.00035039i,-0.00059264-0.00021344i,-0.00056303-0.00068468i,-0.00021345-0.0010734i,4.2813e-05-0.00066793i,0.00043987+1.0675e-05i,0.00022871-0.00061003i,-0.00054202-0.0007213i,-0.00024591+6.6744e-05i,-7.803e-05+0.00065432i
4.3718e-06+0.0012878i,0.0012521+0.0011193i,0.0020525+0.0010054i,0.001085+0.0010594i,0.00074219+0.0013653i,-7.1652e-05+0.001128i,-0.00095569+0.0005791i,-0.00073792+4.203e-05i,0.00012791+0.00050916i,0.0011538+0.0008474i,0.00085335+0.00045548i,-0.00017502+0.00016365i,-0.001068-0.00016543i,-0.0007834-0.00063144i,-3.4438e-05+1.4711e-05i,-4.9195e-05+0.00083793i,0.00012174+0.00054991i,-0.00067523+0.00035056i,-0.0012292-0.00025518i,-0.0006294-0.0011579i,9.4864e-05-0.0005137i,0.00038411-5.6861e-06i,-4.1414e-05-0.00052491i
-0.0002153+0.0024323i,0.00065793+0.0029177i,-1.9545e-07+0.0032825i,-0.00081262+0.002333i,-0.0008888+0.0012721i,-0.0012451+3.3018e-05i,-0.0013341+0.00020711i,-0.0013337+0.00045633i,-0.00071698+0.00025606i,0.00070219-0.00011545i,0.00099179-0.001036i,0.00091719-0.0013709i,0.00063117-0.00097407i,-0.00084896-0.0010365i,-0.0007963-0.00075742i,-0.0005092-8.8788e-05i,-0.00056821+0.00022182i,-3.0911e-05+0.00040031i,0.00068281-0.0001365i,0.00094349-0.0006623i,0.00039396+0.00018555i,-0.00039582+0.00073248i,-0.00060145+0.00047998i
-0.00053232+0.0011262i,-0.00088463+0.00056032i,-0.00096046+1.873e-05i,-0.0018369+4.995e-05i,-0.0027477+0.0006008i,-0.0030792+0.00065804i,-0.002724+0.0010459i,-0.0012179+0.0010602i,0.00019646+0.00066978i,-8.028e-05+0.00062359i,-0.00039742+0.00027399i,-1.5668e-05+0.00047772i,0.00033311+0.00062483i,0.00033667-0.00012473i,-0.00033102+0.00011333i,-0.00088294+0.00031076i,-0.00073997+0.00044534i,-0.00031221+0.00051772i,-0.00033108+0.00024557i,-0.00040583+0.00075586i,1.2417e-06+0.00093512i,6.7204e-05+0.00061202i,-1.4223e-05+0.00036759i
0.0010967-0.00087231i,0.0011239-0.00047928i,0.00030678-0.00025711i,-0.0010163+0.00027461i,-0.001285+0.00029359i,-0.0010129+0.0004293i,-0.00073389+0.0010333i,2.6534e-05+0.00092226i,0.00069025+0.00035784i,0.00064909+0.00023598i,0.00027273+0.00013652i,-0.000209-0.00017438i,-7.3946e-05+2.7032e-05i,-4.3751e-05+0.00063443i,0.00013105+0.00055304i,0.00073548-6.6492e-05i,0.00075325-0.00034538i,0.00023537-0.00055393i,-0.00070505-0.00054267i,-0.0004779-0.00013394i,0.00056471+0.00021129i,0.0006126+0.00045961i,0.00021163+0.00038544i
0.00038606+0.00068186i,0.0014252+0.0012155i,0.0014384+0.00066796i,-0.00041474+9.6283e-05i,-0.0019615-0.00027968i,-0.0018651-0.00016236i,-0.0013396+0.0005721i,-0.00048827+0.00064191i,0.00025662+0.00033768i,0.0007328+0.0007455i,0.00044828+0.00062012i,-0.00019433-4.6724e-05i,-0.00047407-0.00022528i,0.00011496-0.00012926i,0.0004849-0.00044336i,0.00015277-0.00012715i,2.1995e-05+0.00056709i,-0.00051566+0.00053923i,-0.00014579+0.00056603i,0.0003134-0.0003858i,-0.00028286-0.0014418i,-0.00037763-0.0015922i,0.00022616-0.0011735i
0.00092109+0.0015909i,6.6318e-05+0.00069564i,-0.00034745-0.00016876i,-0.00091323+3.8273e-05i,-0.0020519-0.00052486i,-0.0018873-0.00037504i,-0.00041383+0.00076777i,0.00064196+0.0005561i,0.00089893-0.00029695i,0.00073868-0.00065188i,0.00025184-0.00046015i,0.00022579-0.00031854i,5.9192e-05-5.8206e-05i,-0.00056728+0.00088483i,-0.00085296+0.0010544i,-0.00097058+0.00012151i,-0.00073353-0.0003368i,-0.00054782-0.00031872i,-0.00024836-0.00021581i,4.0841e-05-0.00059891i,0.00011932-0.00097102i,-6.0636e-05-0.00054771i,-0.00019599+1.6197e-05i
-0.00055681+0.0019806i,-0.00023978+0.0012568i,0.001209+0.00094214i,0.0015566+0.00070049i,0.00023873+0.00037564i,-0.0012313+0.00015459i,-0.0015444+0.00034819i,-0.0005498+0.00078672i,0.00025039+0.00035133i,0.00017621-0.00060835i,0.00010189-0.0012681i,-0.00032128-0.00075924i,-0.0014562-0.00019558i,-0.0013303+6.1453e-05i,-0.00072518+3.0381e-05i,-0.0012215-4.7102e-05i,-0.0013623+0.00043487i,-0.0010393+0.00091479i,-0.00026362+0.00020524i,9.8454e-07-0.0010678i,-9.4107e-05-0.0009966i,0.00017816-5.667e-05i,0.00022637-3.3616e-05i
0.0026723+0.0016797i,0.002757+0.00035962i,0.0020183-0.00036001i,0.00061681-0.00064975i,-0.00068973-0.0013272i,-0.0017599-0.00070072i,-0.0007351+0.0010995i,0.00018567+0.0016286i,0.00022535+0.0010742i,0.00035985+0.00062517i,0.00014041-0.00024926i,-0.00033829-0.00048465i,-0.00055448+1.5729e-05i,-0.00093984+0.00046764i,-0.001057+0.0012169i,-0.00058836+0.0015446i,-0.00053902+0.0010978i,-0.00080362+0.00050917i,-0.00041979-0.00026476i,-0.00051172-0.00081435i,-0.00087499-0.00088798i,-0.00061422-0.00051134i,-0.00012115-0.00016689i
0.00054938+0.0002664i,0.00016681+0.00048803i,0.00053947+0.00068811i,-9.6834e-05+0.0013696i,-0.0010945+0.00056278i,-0.0012634+6.8189e-05i,-0.0010225+0.00026395i,-0.00038388+0.00053671i,-0.00023162+0.00083506i,-0.00012026+0.00031067i,-0.00043837-3.2017e-05i,-0.00086242+0.0001376i,-0.00061676-0.00012631i,3.4778e-05-2.2263e-05i,-0.00014042+7.9435e-05i,-0.00023731-1.1887e-05i,-0.00024939+0.00039331i,-0.00052415-8.3925e-05i,8.0659e-05-0.00034938i,0.00012315-0.00016778i,-0.00037056+0.00035602i,-0.00073414+0.00066162i,-0.0009804-0.00014063i
-0.0012782-0.00135i,-0.0015713-0.00066133i,-0.0028923+5.922e-05i,-0.0032337+0.0012776i,-0.0030917+0.0030262i,-0.0027891+0.0027943i,-0.0012972+0.0015864i,-0.00079473+0.00098622i,-0.0014373+0.00055383i,-0.00092799+0.00040509i,-2.2128e-05+0.00021498i,0.0005103+0.00029914i,0.00055128+0.00018331i,0.00056774+0.00026439i,0.00044961-0.00012895i,0.00048429-0.0010189i,0.00073253-0.0006237i,0.00060346-8.7262e-05i,0.00025145+9.8971e-05i,9.4463e-05+0.00015122i,6.0159e-06+0.00015569i,0.00012848+0.00033996i,6.8243e-05-5.7528e-06i
0.00036793+9.1804e-06i,0.00066028+0.00032464i,-0.00013411+0.00040095i,-0.0014057+6.7678e-05i,-0.0022725+0.0001004i,-0.0023741+0.0009804i,-0.001772+0.0013077i,-0.0001481+0.0004278i,0.00079453-1.441e-05i,0.00092027+0.00046917i,0.00073112+0.00061671i,-0.00010462+0.00044722i,-0.00022971+9.1711e-06i,-0.0002382-0.00045154i,-0.00058438-0.00065434i,-0.00057515-0.00031574i,-0.00015839-0.00038604i,0.00031237-0.00071866i,0.00038627-0.0010445i,-0.00014243-0.0006758i,0.0002216+0.00025121i,0.00057435+0.00036964i,-2.3106e-05+0.00068214i
-0.00014506-0.00021088i,0.00049484-0.000401i,0.00081171+0.00016995i,3.0552e-06+0.00090513i,-0.00052973+0.0013702i,-0.00024987+0.0010391i,-0.00026908+0.00074414i,-0.00085068+0.00059792i,-0.00035422+0.00080167i,0.00056737+0.00098146i,0.00041145+0.00057397i,0.00058316+5.551e-05i,5.0732e-05+0.00019612i,-0.0010273+0.00021332i,-0.00056021-6.6883e-05i,0.00045774-0.00043121i,0.00012441-0.00030064i,-0.0008644-0.00033851i,-0.0010436-0.00097485i,-0.00049294-0.00095233i,0.0002719-0.00040214i,0.00072765-0.00036232i,0.00018912+0.00025457i
-0.0016288+0.00015284i,-0.002287+0.00085348i,-0.0032798+0.001809i,-0.0031172+0.0026107i,-0.0026555+0.0026942i,-0.0021892+0.0021434i,-0.00086218+0.0019519i,-0.00027032+0.00072458i,-0.00063633-0.00049995i,-0.0003759-0.00027851i,0.00034284+0.00020833i,0.00071223-5.4373e-05i,0.00054958-0.0010318i,0.00025539-0.0012527i,1.3748e-05-0.00074345i,0.00020229-0.00022112i,0.00060803+0.00024616i,0.0001454+0.00040621i,-0.00022384-0.0003089i,0.00031907-0.00067748i,0.00092177-0.00016266i,0.00054168+0.00018693i,-0.00077397+0.00085271i
0.00015009+0.0011723i,0.00052441-2.4988e-05i,0.0010303-0.00090763i,0.0002874-0.0013841i,-0.0013881-0.00076218i,-0.0014056+0.00038601i,-0.0013983+0.00024413i,-0.0012261+0.00014176i,-0.00012776+0.00038723i,0.00042912+5.9855e-05i,0.00027684-0.00072131i,-7.2199e-06-0.0011852i,0.0001492-0.00094774i,0.00013763-0.00066175i,-0.00012784-0.0001143i,-0.00036779+3.0712e-05i,-0.00053874+0.00041595i,-0.0012349+0.00036845i,-0.0011884+0.0001069i,-0.00028732+0.00062649i,-0.00010977+2.8566e-05i,-0.00020577-0.00059889i,-7.3918e-05-0.00010425i
0.0011682+0.0017566i,0.0015092+0.0020661i,0.00089615+0.0019589i,-0.00046195+0.001476i,-0.00226+0.00054687i,-0.0030596+0.00068397i,-0.0017631+0.00089346i,-0.00043496+0.00063702i,0.00064432+0.00048445i,0.00078721+0.00076555i,-0.00023715+0.00052939i,-0.00091384-0.00010044i,-0.00076511-0.00034754i,-0.00087896+3.3627e-05i,-0.00078009+0.00020939i,0.0002685+0.0004714i,0.00090239+0.0010336i,0.0011164+0.00065084i,0.00078901-0.00020358i,2.3805e-05-0.0006524i,-2.2535e-05-0.0010543i,0.00016637-4.3492e-05i,-0.00051289+0.00054444i
-0.00092434+0.00019704i,-0.00041528-0.00014258i,0.00076203-0.0010547i,-4.9321e-05-0.0008622i,-0.0023759-0.00019062i,-0.0024427+0.00031715i,-0.0012731+0.00088563i,-0.00046074+0.00072505i,-0.00016897+0.00074584i,-0.00014848+0.00089168i,-6.7019e-05+0.00067923i,-0.00031641-0.00016868i,-0.00085631-0.00060117i,-0.00096152+0.0002902i,-0.0006905+0.00058586i,-1.5313e-05+2.4604e-05i,0.00062943-0.00029323i,6.603e-06-0.0004432i,-0.00080511+0.00028854i,-0.00085264-0.000101i,-0.000171-0.00072339i,3.3656e-05-0.00057763i,-0.00041039-0.00071064i
0.00092608-0.00036393i,0.00016859+0.00052994i,-0.00027453+5.2246e-05i,-0.00091111+9.2284e-05i,-0.0020042-0.00022907i,-0.0029948+0.00013649i,-0.0028049+0.0011229i,-0.00083907+0.0002765i,5.3961e-05+9.0714e-06i,0.00030951+0.00094423i,0.00018981+0.00084565i,-1.407e-09+6.3054e-05i,-5.8568e-05-0.00010613i,-0.00043405-1.098e-05i,-0.00047365+0.00015726i,-0.00025087+0.0010955i,-0.00027294+0.0013003i,-0.00040811+0.00064923i,0.00017135+2.5002e-05i,8.4711e-05-0.00016492i,-0.00030527-0.0010578i,0.00017922-0.001275i,-0.0001012-0.00034606i
-0.00068495-0.00040041i,-0.0011736-0.00032457i,-0.00092917+0.00050848i,-0.0018801+0.00094305i,-0.0021566+0.00046554i,-0.0014663+0.00010075i,-0.00092386+0.00030291i,-0.00052594+0.0007816i,0.0003576+0.00097914i,0.0011055+0.00089919i,0.001333+0.00066504i,0.00026479-0.00020905i,-0.0006505-0.0012178i,-0.00087514-0.00098026i,-0.0012643-0.00017538i,-0.000433+0.00024718i,0.00027244+5.9353e-05i,0.00052403-0.00024632i,0.00060659+0.00023804i,0.00031672+0.00041426i,0.00038924-0.0002727i,0.00077755-0.00062482i,0.00038892-0.00058513i
0.00082688-3.4706e-05i,0.00031399+0.0002668i,0.00023231-7.1945e-05i,-0.00058459-0.00046221i,-0.0018057-0.00011115i,-0.0022939+0.00042409i,-0.0014379+0.0013627i,-0.00036691+0.001577i,0.00057108+0.0011208i,0.00092757+0.00057545i,0.00053637-0.00044544i,-0.00020587-0.00032146i,-0.00027191+0.00057673i,-0.00027204+0.00058407i,-0.00074068+0.00074486i,-0.00018582+0.0007622i,0.0004414+0.00028396i,0.00048174+0.00046921i,0.00016777+0.00029656i,0.000369-0.00029064i,8.6808e-05-0.00027205i,0.00011119+0.00013409i,0.00071273-0.00032732i
-0.0024245-0.00018236i,-0.0022988+0.00065751i,-0.0018964+0.0012926i,-0.0017865+0.00066093i,-0.002294+0.0004845i,-0.0018563+0.0011408i,-0.001366+0.00049867i,-0.00086877+0.00025018i,0.00017935+0.00047466i,0.0009692+0.00013812i,0.00083901-0.00030256i,0.00023399-0.000881i,0.00021117-0.00055308i,0.00038781-0.00011319i,-2.3734e-05-8.732e-07i,5.7424e-06-0.00013708i,-0.00018184-0.00020907i,-0.00055991-0.00060904i,-2.1739e-05-0.00093621i,0.00077256-0.0010415i,0.0014981-0.00085765i,0.0012757-0.00019133i,2.8137e-05-0.00036888i
0.0011248-0.00010219i,0.00059879-0.00042906i,9.7216e-05-0.0013756i,-0.00064966-0.0011617i,-0.0011821+0.0005493i,-0.0015882+0.0013297i,-0.0018499+0.00096422i,-0.00099562+0.0010271i,-0.00041496+0.00069829i,-0.00051828-0.0003683i,-0.00025121-0.00023111i,-8.1144e-05+0.00033238i,0.00014129+0.00053695i,0.00031594+0.00086943i,-0.00014113+0.0011076i,-0.00055024+0.00026079i,-9.1779e-05-0.00022563i,-0.00021412+0.00025854i,-0.00055762+0.00021142i,-0.0010459-5.6543e-05i,-0.00076553-0.00014934i,-6.0231e-05+0.00027628i,0.00014241+0.00022983i
-0.0014785-0.00018335i,9.5722e-06-0.00053967i,0.00025423+0.00013356i,-0.00077795+0.00075667i,-0.0016356+0.00049186i,-0.0019661+0.00020599i,-0.00126+0.0003208i,-0.00010135-7.0417e-05i,0.00028941+0.0001937i,-0.00046661+0.00073085i,-0.00057333+0.0003733i,-2.2475e-05-0.00026107i,0.00063891-0.00011802i,0.00091072+0.00012009i,0.00048898+6.4547e-06i,0.00019627-0.00022426i,0.00028773-0.00067457i,0.0003552-0.00086385i,0.00020879-0.0003989i,0.00021901-0.00027504i,0.00037944-0.00041156i,0.00049982+0.00012574i,0.00057618+0.00090206i
0.00067777+0.00076957i,-0.00012422+0.002246i,-0.00037458+0.0022873i,-0.00052385+0.00076152i,-0.0014656-0.00048875i,-0.0026497+0.00039783i,-0.0027078+0.0011591i,-0.0011409+0.00048771i,-9.0239e-05-3.3963e-05i,0.00037417-0.00016855i,0.00034326-5.1494e-05i,-0.00014679+0.00029981i,-0.00053776+0.00088184i,3.576e-05+0.00050994i,0.0001269-0.00021565i,-0.00094618+0.00021955i,-0.0012665+0.0010801i,-0.00069448+0.0012759i,-0.00086182+0.00064771i,-0.00085436+9.4715e-05i,-0.00030995-8.4157e-05i,0.00014852-0.0005428i,0.00021678-0.00063954i
