-0.006924+0.0015745i,-0.0041603+0.0028662i,-0.0018621+0.0018952i,0.00017241-0.00055973i,0.0006462-0.0011425i,0.00014965-0.00068524i,-0.00013319-5.8668e-05i,0.00016708+0.00096741i,0.0010538+0.00069175i,0.00079755-0.00034015i,-0.00032806-0.0010625i,-0.00037866-0.00088436i,0.00034012-0.00079689i,0.00070378-0.00028309i,0.0003324+0.0005784i,-5.5982e-05+0.00078443i,-0.00047949+0.0013717i,-0.00045366+0.0012748i,8.505e-05+0.00027772i,8.5183e-05-0.00070946i,-0.00055775-0.00054773i,-0.0013726-0.0002562i,-0.0011602+9.9864e-05i
-0.0063431+0.0018466i,-0.0036104+0.0021688i,-0.0015087+0.0016883i,-0.00035139+0.00072143i,0.00045398-0.00058573i,0.00053688-0.0016105i,-0.0003019-0.0010079i,-0.0008578-0.00044532i,-0.00061869-0.0003692i,6.0856e-05+4.2118e-05i,0.00041795+8.3883e-05i,0.00011912+0.0001457i,0.00016128-3.4579e-05i,0.00034465-7.0203e-05i,-5.9777e-05+4.3179e-05i,-0.00011373+0.00035838i,-1.0884e-06-1.0514e-05i,0.00024365-8.5372e-05i,0.00036685+0.00056716i,7.7768e-05+0.0003432i,-0.00021668-0.00084174i,0.00010387-0.00070695i,0.00013987+0.0003545i
-0.0042223-0.0003675i,-0.0014153+0.0014119i,-0.00059268+0.0017083i,0.00036269+0.00036911i,0.0018768-0.0010507i,0.0016153-0.0010685i,0.00064262-0.00072867i,0.00055518-0.00084956i,0.00047945-0.00069091i,-0.00048444-0.00098624i,-0.00090802-0.0011579i,0.00012014-0.00064897i,0.00023092-0.00028965i,-0.00020972-0.00023074i,-7.9583e-05+0.0001535i,0.00017599+0.00023419i,3.5722e-05+0.0002497i,8.4422e-05+0.00064935i,-9.1531e-05+0.0007733i,-0.00019784+0.00083605i,-0.00024121+0.0006936i,-0.00013127+0.00090709i,0.00016377+0.00017129i
-0.0067974+0.00089501i,-0.0043681+0.0027115i,-0.0023669+0.0024908i,-0.00092005+0.0017655i,0.00019098+0.00045723i,0.00058845-0.00065454i,0.00067733-0.001284i,0.00049742-0.0012311i,0.00042649-0.0011159i,0.00014892-0.00069941i,-4.9806e-05-0.0012562i,0.00047463-0.0009248i,0.00097365+0.00019937i,0.00078709+0.0001892i,0.0006675+0.00043052i,0.00090352+0.00092105i,0.00089404+0.00071785i,0.00072365-9.1687e-05i,0.0005037-0.00039944i,0.00010417+0.00053213i,-4.8164e-05+0.0005852i,-0.00033039-0.00013485i,-0.00028684-0.00056493i
-0.0057449+0.00074359i,-0.0020976+0.00029805i,0.00013636+0.00012941i,0.0011037+0.00022673i,0.0017873-8.0704e-05i,0.0011655-0.0011364i,0.0002699-0.0020431i,0.0002046-0.0010464i,0.00021367+0.00011373i,0.00043171-0.0002707i,0.00069508-0.00059509i,0.0005716-0.00010517i,-0.00031267-0.00010593i,-0.00069573-5.6818e-05i,-0.00042677+5.6852e-05i,-0.00010367+0.00029155i,-0.00018555+0.0012814i,-0.00030949+0.0016385i,-0.00074886+0.0006315i,-0.0004141+0.00022654i,0.00026766+0.0005573i,6.1675e-05+0.00045691i,0.00022749-4.0494e-06i
-0.0048894+0.00059748i,-0.00086773+0.0020568i,0.001201+0.0024657i,0.0011315+0.0018249i,0.00081771+0.0003638i,0.00062733-0.00024614i,0.00011847-0.0005086i,0.00012418-0.00071997i,-0.00016065-0.0003761i,-0.00094687-6.5376e-05i,-0.00071987+0.00020536i,-0.00027075+0.00043743i,-0.00072615+0.00059839i,-0.00022372+0.00083612i,0.00032465+0.00095699i,-0.00021967+0.00011155i,-0.00051487-0.00059479i,-0.00037742-0.00041576i,-3.6769e-05-0.00016757i,0.00074473-0.00016331i,0.0010263+7.0984e-05i,0.000447-1.2185e-05i,0.00040446-0.00039248i
-0.0058383+0.00049105i,-0.0036156+0.0011015i,-0.0022521+2.6487e-05i,-0.00082191-0.00010233i,-4.6955e-05+0.00044426i,3.8248e-05+0.00055062i,0.00058151+0.00026537i,0.00036448-0.00045602i,-0.00041666-0.00077747i,-0.00038568-0.00060726i,-0.00021825+1.0309e-05i,-0.00047213+0.00049909i,-0.00030318+0.00053225i,-0.00037924+0.00030443i,-0.00035562+0.0013274i,-0.0001966+0.0014266i,-0.00032575-0.00015515i,-0.00038886-0.00089231i,-0.00012312-0.00058603i,-0.00016104+0.00030298i,-0.00030796+0.0012754i,8.149e-05+0.00084669i,0.00033742+0.00047098i
-0.0053874-0.0024543i,-0.0026855-0.0024129i,-0.0010228-0.002691i,-0.0011385-0.0018742i,-0.00090802-0.0017288i,-0.00056129-0.0017911i,-0.00054998-0.0010462i,-3.329e-05-0.0001515i,0.00073169-0.00016728i,0.00054851-0.0005846i,-0.00012617-0.00053963i,-0.0001184-0.00024218i,0.00019619+0.00051081i,0.00028603+0.0010272i,0.00018066+0.001164i,0.00038999+0.00090035i,0.00050777+0.00042303i,-0.00065054-9.0298e-05i,-0.0011462-3.3177e-05i,-0.00040166+0.00021778i,4.5617e-05+0.00012511i,-0.00016412-0.00040441i,-0.00017391+0.00028668i
-0.0044548-0.0003491i,-0.0010014+0.00049517i,-0.00018213+6.7426e-05i,-5.9893e-05-0.0010276i,0.00065036-0.0013914i,0.00062476-0.0014405i,0.00021545-0.0014977i,0.00015368-0.00090189i,-8.5641e-05-0.00011866i,-0.00013341+0.00015739i,-4.7532e-05+0.00022802i,5.3111e-05+0.00066708i,0.00063707+0.00094248i,0.00062639+0.00068756i,4.4447e-05+0.00065015i,-0.00035694+0.00012602i,-0.00048088-0.00018429i,-0.00023325+0.00034662i,-0.00042907+0.00033669i,-0.00062364+0.00045366i,-0.0001852+0.00065372i,0.0002737+0.000593i,0.00012159+0.00044303i
-0.0047657+0.0021148i,-0.0030333+0.0035317i,-0.0013208+0.003429i,0.00012069+0.0017125i,0.0010173-0.0001014i,0.0010481-0.00048881i,3.6921e-05-0.00047341i,-0.00084954-0.00026106i,-0.00047727-6.4053e-05i,-0.00038914+0.00022255i,-0.00043981-0.00011046i,-0.00030298-0.00022179i,-8.0793e-05+0.00046217i,0.000685+0.0010921i,0.00052205+0.00078867i,-5.1621e-05+0.00090076i,-0.00064855+0.00099893i,-0.00054614+0.00060958i,-0.00023801+0.00084466i,-0.00019243+0.00088533i,3.3476e-05+0.00053615i,-3.2854e-05-0.00011422i,-0.0005757-0.00024141i
-0.0058885+0.0018604i,-0.0039511+0.0015815i,-0.0019133+0.00029029i,0.00057948+0.00053835i,0.0023994+0.00074828i,0.0019973+9.1792e-05i,0.0010311-0.00082692i,0.00026488-0.0011889i,-0.00072534-0.00024836i,-0.00089837+0.00028827i,-0.00080367-0.00027464i,-0.00062489-0.00016894i,-0.00041662+7.2297e-06i,-0.00021537-0.00023789i,-5.8983e-05-0.00023712i,0.00013848-0.00032336i,0.00046416+3.0658e-07i,0.00030849+0.00020134i,0.00058133-0.00063548i,0.00087133-0.00037361i,0.00051309+0.00038977i,0.00021206-7.5212e-05i,3.3299e-05-0.00030032i
-0.0079547+0.00017694i,-0.0044183+0.00090424i,-0.0015407+0.0011103i,-0.00021723+0.00082308i,0.00093939-0.00040557i,0.0018947-0.001126i,0.0024009-0.0012832i,0.0021825-0.00077909i,0.00068902-0.00086497i,-0.00023913-0.00096738i,-1.2309e-05-0.00027927i,-7.8535e-05+0.0005287i,-0.00028276+0.0010278i,-0.00023246+3.6376e-05i,-0.00011871-0.00041505i,0.00069321+4.8761e-05i,0.00093313+9.263e-05i,0.0001935+0.00018421i,-0.00012023+0.00017215i,0.00013666+0.00026025i,0.00041051+0.00082962i,0.00062539+0.0011214i,0.00096594+0.00088347i
-0.0060161-0.00070227i,-0.0036779+0.0009706i,-0.0022551+0.00079038i,-0.0018905-0.00014515i,-0.00087004-0.0010236i,-0.00049175-0.00074683i,-0.0004349-0.00058998i,6.9558e-06-0.00022884i,0.00010241+8.6174e-06i,0.00011212-0.00077682i,0.00017702-0.00097837i,0.0009114-0.00056225i,0.00081452+0.00023132i,-2.2927e-05+0.00062489i,-0.00036835+0.00043049i,-0.00041153+0.00018207i,-1.5155e-05+0.00042148i,0.00031001+0.000559i,0.00019612+0.00021298i,0.00042834+4.3113e-05i,0.001261-0.00011696i,0.00092447-6.593e-05i,0.00064236-0.00019832i
-0.0063317-0.0013689i,-0.0034002-0.00077839i,-0.0012889+0.00023581i,-0.00061937+0.00056923i,0.00075985+0.00022053i,0.00132-0.0005101i,0.00062776-0.00069552i,0.00025058-0.0002468i,-0.00038912-0.00054847i,-0.00075731-0.00068897i,-0.0008763-0.00027262i,-0.0011694-0.00042917i,-0.00073147-0.0009556i,-0.00021985+0.00013318i,2.2005e-06+0.000606i,-0.00011445+2.0879e-05i,0.0003478+0.0004333i,0.001063+0.0010317i,0.00090052+0.0010125i,0.0010665+0.00073845i,0.0011421+0.00035155i,0.00052854-3.4416e-05i,-0.00037915-7.706e-05i
-0.0058752-5.3771e-05i,-0.0026072+0.0013313i,-0.00070082+0.0017843i,0.0010016+0.0011973i,0.0016531+0.0009111i,0.0020857-0.00044415i,0.0020404-0.0015038i,0.0010082-0.00081671i,0.00069087+0.00045361i,0.00072917+0.00077311i,0.00050292+0.00045221i,0.00018474+9.92e-05i,6.1581e-05-0.00064629i,0.00074188-0.00020606i,0.001361+0.00050458i,0.00098247+0.0003877i,0.00026009+0.00061177i,0.0006458+0.0011576i,0.0014594+0.001511i,0.00098199+0.00063875i,0.00029603+0.0001133i,0.00047503+0.00044255i,0.00033302+0.00041933i
-0.0053201-0.00013415i,-0.0030521+0.0013634i,-0.0010739+0.00065078i,0.00061793+0.00023973i,0.0014625+0.00013606i,0.0015205+0.00036028i,0.00069957+0.00041162i,0.00086031-0.00038019i,0.0014316-0.00068249i,0.0011944-0.00079865i,0.00035543-0.00082443i,-0.00083661-0.0006865i,-0.00021138-0.00016626i,0.0012614+0.00046368i,0.0014251+0.00058712i,0.00030489+0.00054121i,-0.00014258+0.0006559i,0.00052189+0.00041372i,0.00096897+4.7295e-05i,0.00085873-1.0893e-05i,0.00044917+0.00016153i,0.0011551-4.8606e-05i,0.0011242+0.0001335i
-0.0039515+0.00061931i,-0.0016151+0.00029412i,-0.00047462-0.00051486i,-0.00037898-0.00098016i,0.00090571-0.0011009i,0.0010203-0.0007773i,-0.00022573-0.00056722i,-6.1337e-05+7.7014e-05i,0.0010177+0.00045556i,0.00091314+5.4525e-05i,0.00019396-0.00020798i,0.00032725-0.00033435i,9.3606e-05-0.00028761i,-0.0003999-0.0001244i,8.9348e-05-3.7633e-05i,0.00057688+0.00063672i,-2.1255e-05+0.00049584i,-0.00062325-1.4e-06i,-0.00011639+0.00034546i,-0.00019766+0.00093118i,-0.0009+0.0011059i,-0.00085111+0.00087242i,-0.0001878+0.00047923i
-0.0054588+0.00023805i,-0.0016197+0.001691i,0.0005448+0.0016683i,0.0015359-0.00013849i,0.0021107-0.0011591i,0.0018705-0.001102i,0.00091005-0.0010584i,0.00029883-0.0007296i,-0.00041585+7.055e-05i,-0.0011936-0.00027599i,-0.00059585-0.00039813i,8.4881e-05+0.0003446i,-0.00031289+0.00088885i,-0.00033899+0.00085878i,-1.8608e-05+0.00012218i,-0.00038286+0.00015997i,-0.00040262+0.00062697i,-0.00011082+0.0003878i,-0.00047026+0.00025022i,-0.00069896+0.00051423i,-9.1778e-05+0.00021107i,0.00024772+0.00010084i,-9.1712e-05+0.00053045i
-0.0057004-0.0012407i,-0.00326+0.00097441i,-0.0014083-0.00014569i,0.00063592-0.0012141i,0.0011944-0.00049408i,0.0015734-5.979e-05i,0.0011883-0.00081546i,0.00026974-0.001362i,-0.00031087-0.0010809i,-0.00011371-0.00071053i,-1.3838e-05-0.0004085i,-0.00017451+0.00018199i,-0.00063727+0.0009354i,-0.00067249+0.0011102i,-0.00040047+0.00033884i,-0.00043272-0.00012605i,-0.00040489-0.00028414i,0.00018672-0.00033025i,0.00015297+0.00027701i,-4.9781e-05+0.0007636i,0.00036972+0.00031859i,0.00030776+0.00049316i,0.00029585+0.0005767i
-0.0056162-0.0025551i,-0.0033943-6.8976e-05i,-0.0012808+0.0007i,-0.00033769+0.00092328i,-0.00070676-5.5139e-05i,-0.00057438-0.0012102i,-0.00017054-0.0012815i,-0.00062037-0.00094102i,-0.00089058+0.00010398i,-0.00042322+0.00025392i,-0.00060313-0.00019026i,-0.0010711-6.6418e-05i,-0.00057578-6.8239e-05i,-0.00065723-0.00028936i,-0.00058994+0.00018568i,-0.00018678+0.00021627i,4.9389e-05-0.00013486i,-4.9636e-05-0.00011611i,0.00014299-8.6364e-05i,8.1844e-06+0.00016227i,-0.0001817+0.00047529i,0.00030362+0.00059125i,-6.5811e-05+0.00039791i
-0.0055572-0.0013719i,-0.002194+0.00037739i,-5.5479e-05+0.00081527i,0.00016458+0.0010076i,0.00011324-0.00013736i,0.0011069-0.0010717i,0.0014809-0.0011262i,0.00059054-0.00093881i,0.00041213-0.00063825i,-7.594e-05-0.0001578i,-0.0010864-0.00014148i,-0.0013895+0.00010388i,-0.00029445+0.00070588i,0.00069442+0.00058283i,0.00087924-2.5284e-05i,0.00062486-0.00084481i,0.00067811-0.00060446i,0.0011294+5.3344e-05i,0.00068838+2.2271e-07i,0.00049861+0.00012215i,0.00080939+0.00017483i,0.00053244+0.00020756i,-0.00028781+0.00013795i
-0.004413+0.0015728i,-0.0025782+0.002911i,-0.0014117+0.0018999i,-5.7618e-05+0.00065069i,0.00092618+6.8813e-05i,0.0009225-3.1315e-05i,0.00095844-0.0004212i,0.00073571-0.0010581i,0.00061325-0.00073276i,0.00039385-3.0579e-05i,-0.00026385+9.4621e-05i,-6.6809e-05-4.4163e-05i,0.00018699+0.00047845i,-0.00022697+0.00086676i,-0.00017184+0.00013616i,0.00018856-8.6813e-05i,-4.2171e-05+0.00013571i,-0.00090441+0.00047759i,-0.0010081+0.00078462i,-0.00013562+0.00064224i,9.145e-05+0.00021481i,-0.00053987-0.00079419i,-0.00056988-0.0013494i
-0.0062558+0.0023539i,-0.0033728+0.0039313i,-0.0010267+0.003853i,0.00076758+0.0025951i,0.0017621+0.0012123i,0.0019093-0.00028997i,0.0015492-0.0014732i,0.00040184-0.0014359i,-0.00021451-0.00070579i,-0.00030513-0.00079307i,-0.00016219-0.0013479i,2.1636e-05-0.00087573i,-0.00060654-0.00089152i,-0.00064374-0.0009839i,-0.00025655-4.1487e-05i,-0.00024208+0.00017839i,-0.00026444-0.00031094i,-9.9179e-05-0.00035764i,0.0001547-0.00059555i,-8.8316e-05-0.00054407i,-0.00042715-3.0975e-05i,-0.00073481+0.00077127i,-0.00056264+0.0007594i
-0.0050137+0.0045507i,-0.0019804+0.0042293i,-0.00027473+0.0021497i,0.0010045+0.00093467i,0.0023083+0.0001236i,0.0019465-0.00094527i,0.0016003-0.00056641i,0.0013884-0.00043554i,0.0011434-0.00060226i,0.00028465-0.00066204i,-0.00068815-0.00078131i,-0.00048139-0.00013327i,0.00023429+0.00022745i,-0.00020037-5.7569e-05i,-0.00074492-9.6171e-06i,-0.0007438+0.00022809i,-0.00061277+0.00044279i,-0.00017272+0.00020343i,-0.00025645+8.0929e-05i,-0.00038371+0.00013626i,-0.00048115-0.000456i,-0.00061252-0.00028693i,-0.00057917+0.00038399i
-0.0067727-0.0011365i,-0.0035193-0.00025369i,-0.0020801+0.0010288i,-0.00081839+0.00096166i,0.0012795+0.00040624i,0.002562+0.00062549i,0.0025619+0.00059724i,0.0020288+0.00040649i,0.0013613+0.00075623i,0.00051856+0.0010779i,-0.00030707+0.00085489i,-0.00064579+0.00034717i,0.0002147+0.00045477i,0.00020416+0.0004299i,-0.00066373+0.00035011i,-0.00085873+0.0002527i,-0.00036063-1.0828e-05i,0.000103-0.00014527i,0.00022515+0.00015442i,-0.00025983+0.00069997i,-0.00074172+0.00056218i,-0.00046606+0.00052834i,-0.0005955-9.3812e-05i
-0.0046588-2.7793e-05i,-0.0027007+0.00075503i,-0.0014487-0.00039794i,-0.0012585-0.00037512i,-0.00095365-0.00054019i,1.9668e-05-0.00073928i,0.00048807-0.00027016i,4.7926e-05-0.00055065i,-0.0002329-0.00033191i,-0.00025287-4.4454e-05i,-0.00054667-0.00014563i,-0.00082165+0.00032855i,-0.00085777+0.0011278i,-9.4386e-05+0.00010943i,0.00074206-0.00071119i,0.00051465-0.00039542i,0.0003847-0.00063536i,0.00065209-0.00063494i,-9.3661e-05-0.00027923i,-0.00087484-0.00042941i,-0.00016277-0.00033323i,0.00096293+0.00039393i,0.0012134+0.001157i
-0.0078809-0.0002015i,-0.004262+0.0010032i,-0.0017346+0.0021126i,-4.5652e-05+0.0014536i,0.0011513+0.00067859i,0.00099817+0.00018335i,0.0001711-0.0006323i,0.00022129-0.00074462i,0.00022171-0.00056609i,-0.00024525-0.00034607i,-0.0001088-0.00039455i,0.00063372-0.00062808i,0.00068506-0.00041955i,0.00037732-0.00049035i,0.00021219-0.00041646i,-4.858e-06+0.00010865i,0.00031506+0.00044033i,0.00050967+0.00022733i,0.00073126-5.2239e-05i,0.00071793-0.00021106i,-8.4076e-05-0.00062556i,-0.00037281-0.00023695i,0.0003252+5.4092e-05i
-0.0055084+0.00072472i,-0.0042432+0.0024848i,-0.0020078+0.0028168i,3.9643e-05+0.0017777i,0.0013751+0.00078088i,0.00177+3.9279e-07i,0.0013589+0.00046368i,0.0011545+0.0011769i,0.00044298+0.0008604i,-0.0007948-0.0004186i,-0.0010621-0.00090779i,-0.00042302+0.00013686i,-0.00072221+0.00014008i,-0.00047183+0.00023758i,0.00015205+0.00096555i,-0.00022063+0.001001i,-0.00064027+0.00076205i,-0.0006155+0.001134i,-0.00086622+0.00064079i,-0.0012958+6.6116e-05i,-0.0012466-0.00039102i,-0.00077633-0.00054357i,-0.00042954+0.00011347i
-0.0049792-0.001855i,-0.0022239-0.00081691i,-0.001602-0.00089983i,-0.00072528-0.00076138i,-0.00021253-0.00087818i,-3.4857e-05-0.0012918i,0.0001006-0.0015983i,-0.00022388-0.0014507i,0.00049955-0.00066051i,0.000436-0.00068848i,-0.0006089-0.0007653i,-0.00081017-1.0957e-05i,-0.00070255+0.00016701i,-0.00051779-0.00037367i,0.00068489-0.00038689i,0.00092841+0.0004466i,0.00038756+0.00091101i,0.00016359+0.00052095i,0.00030677+0.00031854i,0.00046817+0.00026223i,0.00095404+0.00023358i,0.00080249+0.00017568i,0.00013763+5.355e-05i
-0.0074399+0.00064757i,-0.002963+0.0016645i,-0.00045695+0.0023591i,0.00032501+0.0013702i,0.00079209-0.00040408i,0.0012785-0.0017474i,0.0010485-0.0011443i,0.00032062-0.00054954i,0.00039956-0.00051375i,-0.00046822-0.0002983i,-0.00087387-0.00016439i,-3.4512e-05-0.00024926i,5.8316e-05-0.00058901i,0.00021096-0.00018199i,0.00020692+0.00049038i,0.00097191-0.00017394i,0.0012295-0.00026644i,-0.00011941+0.00072759i,-0.0012003+0.00090488i,-0.00028833+0.0011783i,0.00040493+0.0012563i,-0.00023386+0.00082714i,-0.00035273+0.00081633i
-0.0078977-0.0018209i,-0.0046852+0.0015215i,-0.002551+0.0014257i,-0.0008036+0.00080898i,0.00065758+0.0004727i,0.00070257-3.4614e-05i,3.1402e-05-0.00012917i,-0.00062446-0.00021197i,-0.00037507-0.00038721i,0.00014026-0.00050212i,-0.00031589-0.00017848i,-4.1333e-05-2.9428e-05i,0.00063069+6.187e-05i,0.001126+0.00051447i,0.0012853+0.00067811i,0.00038304+0.0006756i,7.2468e-06+0.00068933i,-0.00045261+0.00065359i,-0.00098718+0.00049301i,-0.00022636+9.1944e-05i,-0.00028272+0.00013551i,-0.00072938-0.00019769i,-0.00018001-0.0001769i
-0.0053297-0.0014816i,-0.0025519-0.0011015i,-0.0019994-0.00093269i,-0.0012024-0.00072584i,0.00044209-0.00068711i,0.0014346-0.00099776i,0.0010597-0.0010431i,0.00016802-0.000793i,-0.00018427-0.00027509i,-0.00058372+0.00010066i,-0.00016771+0.0010796i,-7.1102e-05+0.001515i,-0.00017928+0.00028762i,0.0004139-0.00015789i,0.0001899+0.00022089i,-0.00031987+0.00024512i,2.3981e-05+0.00026072i,0.0010921+0.0005698i,0.00055549+0.00092821i,-0.00043396+0.00091298i,-0.0003241+0.00070118i,6.0388e-05+0.00017553i,9.1389e-05-0.00013973i
