-0.0034466-0.00038376i,-0.0031415+0.00028835i,-0.0038286+0.0017346i,-0.0023098+0.0021398i,-0.0012653+0.0026841i,-0.00075411+0.0024675i,-0.00014684+0.0026164i,0.00057382+0.0023301i,0.00087715+0.00086516i,0.0013352+0.00029535i,0.0016114+0.00014821i,0.00085617-0.00033616i,0.00074017-0.0012336i,0.00196-0.0015016i,0.0021929-0.00048255i,0.00083057-0.0005434i,0.00040145-0.00098802i,0.00084802+7.3974e-05i,0.00062786+0.0010057i,-0.00072412+0.00034849i,-0.0011251-0.00025334i,-0.00039894-8.5357e-05i,-0.00024548-7.7591e-05i
0.00075803-0.002091i,0.00058658-0.00079749i,-0.00011818-0.0012079i,-0.00069603-0.0012254i,-0.00099685+0.00018177i,-0.0006081+0.0013321i,-0.00058944+0.002201i,-0.00020419+0.0016521i,0.00090187+0.00053537i,0.00045012-0.00027405i,-0.00051694-0.00086105i,7.1019e-05-0.00091717i,0.0007131-0.00061983i,0.00052033-0.00010411i,0.0007043+7.0966e-05i,0.0010349+0.00010828i,0.0011612+0.00029476i,0.00090706+0.00034409i,0.00059427+0.00035568i,0.00064257+0.00044662i,0.00066537+0.00010304i,0.0002389-0.00026822i,-0.00077666-0.00026873i
-0.0017994+0.00060996i,-0.00095748+0.00035171i,-0.00023572+0.00012731i,0.00061029+0.00029177i,0.00057914+0.00015783i,0.0001825+0.00062218i,0.00025688+0.0021937i,-3.0989e-05+0.0021231i,0.0003365+0.00086323i,0.00083529-0.0001669i,0.0003589-9.8042e-06i,-0.00033077-7.8358e-05i,-0.00033097-0.00029735i,0.00010441-7.9865e-05i,0.00054641-8.5658e-05i,0.0004007-0.00010414i,-1.7059e-05+0.00019608i,-2.0323e-05+0.00026066i,0.00034334-3.1028e-06i,0.00022751+0.00043732i,4.903e-05+0.0014107i,-9.766e-05+0.0011116i,-5.6567e-05-0.000289i
0.00079594+0.00054632i,0.00080093+0.00056597i,0.00012296-4.5527e-05i,0.00011334-0.00034424i,-0.00044179-0.00085065i,-0.0006951-8.8376e-06i,-0.00029727+0.0014717i,0.0001853+0.0014988i,0.00043403+0.00071223i,0.00024926+0.00034448i,0.00023703+0.00044696i,0.00037182+1.4335e-05i,-0.00075007-6.2963e-05i,-0.0014215+0.00044448i,-0.00075564+0.00042267i,-0.00044764-0.00035695i,-0.00019895-0.00048799i,1.8795e-05-7.7703e-05i,-0.00031241-0.00010303i,-0.00036357-0.00067102i,-0.00029396-0.00054653i,-0.00017955+9.7228e-05i,7.5975e-05+0.00026214i
0.00066452-0.00012149i,0.0018832-0.00099801i,0.0018378-0.00062813i,0.0013955-0.00034885i,0.0008758-0.00058594i,6.4168e-05+0.0001864i,-0.00059976+0.0014764i,-0.00038678+0.0012288i,0.0001638+0.00054496i,9.7724e-06+0.00081849i,6.6422e-05+0.00019312i,0.00031637-0.0012521i,0.00041172-0.00071923i,0.00069437-0.00023687i,0.00099592-0.001401i,0.00041242-0.0011618i,-0.00023364-0.00017517i,-0.00022069+0.00045467i,-0.00020432-4.6696e-05i,-0.00047967-0.00064474i,-0.00021466+0.00036186i,0.00065203+0.00060199i,0.00093547+0.00021615i
0.00099775-0.00030994i,0.00071518+2.8035e-05i,0.00058063-8.173e-05i,0.00096198+0.00032254i,0.00075086+0.00028093i,4.3083e-05+0.00052048i,-0.00060228+0.00038099i,-0.00044474+4.3089e-05i,0.00012902+6.1136e-05i,0.0005004-8.3978e-05i,0.00015959-2.7302e-05i,-0.00015973-0.00061549i,-0.00014072-0.0013881i,-0.00033041-0.0012152i,-0.00017741-0.0010456i,0.00010669-0.00078367i,-0.00025827-0.00039163i,-0.00085298-4.875e-05i,-0.00080515+0.00029345i,-0.00069699+0.0004317i,-0.00042669-0.00034085i,-1.8417e-06-0.00028978i,0.00032152+0.00037972i
0.003073+0.00052799i,0.0022674-0.00062034i,0.0012208-0.0012391i,0.00034138-0.00082174i,-0.00024447-0.00031409i,-0.00051701+0.00072631i,-0.00034593+0.0023322i,-0.00031079+0.002587i,-0.00022208+0.00064657i,4.3594e-06-0.00076237i,5.7442e-05-0.00068236i,-0.00015534-0.00036034i,-0.00054227-0.00041913i,-0.00049637-0.00017269i,-0.00070043+0.00066477i,-0.0012327+0.000759i,-0.00084781+0.00076063i,0.00018193+0.00027074i,0.00045053-0.00016323i,0.00057497+2.5336e-05i,0.00078765+0.00019858i,0.00016994-0.00011285i,3.5071e-05-0.00030456i
0.00054084-0.0017015i,0.00059231-0.0024137i,0.0005077-0.0018737i,-9.6882e-05-0.0010605i,-0.00016051+0.00023454i,-9.7534e-05+0.0018148i,-0.00015138+0.0022003i,0.00017387+0.0017566i,-0.00050194+0.00089416i,-0.000779+9.6809e-05i,0.00068521-0.00041267i,0.00072583-0.00036017i,-2.7605e-05+0.00028875i,-0.00035886+0.0011029i,-0.00086168+0.0013647i,-0.00091919+0.00082569i,-0.00060161+0.00015692i,-0.00032892+0.00042165i,0.00010142+0.0005391i,0.00018416-1.2438e-06i,-7.3624e-05-0.00025288i,-0.00023802-0.00017055i,-0.00050662-0.0002092i
-0.0013857-0.0010624i,-0.00031189-0.00098787i,-9.8309e-05-0.00032363i,6.951e-05-0.00063864i,0.00034786-0.00052407i,-0.00049386+0.00060222i,-0.00063299+0.0015885i,2.5841e-06+0.0017071i,-0.00036009+0.00075893i,-0.00028049-0.00010469i,0.00061962-0.00037367i,0.0011291-0.00041075i,0.0014127-0.00050886i,0.0010632-0.00023885i,0.00018631-0.00014159i,-0.00020074+5.5363e-05i,-0.00020286-0.00016821i,-0.00084141-0.00049424i,-0.00088052+0.00029194i,-0.00035839+0.00074611i,0.0002328+0.00029807i,0.00023342+8.587e-06i,-0.00026006-0.00034709i
0.0031811-2.5198e-05i,0.0023194-0.00036098i,0.0013623-0.00093809i,0.001467-0.0013728i,0.00060152-0.00062982i,-0.0014251+0.00055889i,-0.00088698+0.00072362i,0.00025056+0.0010404i,2.9649e-05+0.00067749i,0.00014813+0.00017672i,0.00052826+0.00048364i,0.00048596+0.00030802i,0.00016301+0.00022683i,-9.3265e-05+0.00074541i,0.00026672+0.0010001i,0.00048654+0.00054836i,-0.00034775+0.0002798i,-0.00044042+0.00045237i,0.00019165+0.00086815i,0.00065181+0.00056787i,0.00087681+0.00040986i,0.0004799+0.00043597i,-2.3589e-06+0.00023627i
-0.00028257-0.0016632i,-0.00050255-0.001256i,-0.0010801-0.00099972i,-0.00022738-6.5086e-05i,6.6433e-05+0.00043463i,-0.000287+0.00095649i,-0.00062538+0.00086334i,-0.00030028+0.00016081i,0.00018084+0.0001658i,-5.0624e-05+0.00090216i,-5.6351e-05+0.0004771i,0.00045106-0.00059559i,0.00076292-7.8917e-05i,0.00080688+0.00029069i,0.00057857+7.63e-05i,2.9209e-05+0.00045594i,-2.4249e-05+0.00010104i,0.00024125-0.00014461i,-0.00018938+3.658e-05i,-0.00027054+0.00022787i,0.000145+0.00031533i,0.00038486+0.00019616i,0.00030533+0.00073329i
0.0016009-0.00013693i,0.0016464-0.00059497i,0.0012871-0.0011531i,0.00018487-0.00041176i,-0.00078041+0.00053226i,-0.00074342+0.00073518i,-0.00067852+0.00090332i,-0.00017584+0.00086417i,0.00070313+0.00066931i,0.00088714+0.00037199i,0.00081957-0.00013707i,0.00073898-0.00040162i,0.00011505-0.00020919i,-2.4723e-05+9.7387e-06i,-0.00024657+0.00035717i,-0.00053618+8.3612e-05i,-0.00060522-0.0001558i,-0.00070752-0.0004827i,-7.1315e-07-0.00051155i,0.0004698+0.00015919i,0.00029066+0.00030468i,-0.00016281+6.7103e-05i,-0.00033644-0.00027646i
0.00036297-0.0011237i,-0.00093441-0.0012262i,-0.0010385-0.00072602i,0.00033479-0.00090963i,0.00032578-0.0014288i,-0.0012771-0.0002787i,-0.0013944+0.00098284i,-0.00041277+0.00088089i,-0.00027193+0.00029948i,0.00064126-0.00060763i,0.0014525-0.00095026i,0.00070474-0.0010279i,-0.00015016-0.0011777i,-0.00033363-0.00021787i,-0.00047704+0.00067353i,-0.00098596+0.00043802i,-0.00071535-0.0004167i,-0.00037447-0.0004926i,-0.00036964+0.0002433i,-0.00056442+0.00059312i,-0.00066368+0.00082442i,-0.00068104+0.00071093i,-0.00048225-0.00019236i
0.00083883-0.000786i,-0.00013036-0.0011964i,0.00010738+0.00023893i,0.00033953+0.0017862i,0.00046145+0.0017552i,0.00016526+0.001361i,-0.00017137+0.0015612i,-3.5535e-05+0.0014433i,-0.00051542+0.0010031i,-0.00077179+0.0006115i,0.00037624+0.0001965i,0.00024154+0.00070141i,-0.00063074+0.00086595i,-0.00012377+0.00046545i,0.00036548+0.00016779i,0.00031392+7.6847e-05i,-8.9845e-05+3.127e-05i,-0.00023221+0.00013952i,9.4551e-05+0.00028438i,0.00031398+0.00018135i,0.00075647+0.00050653i,0.00082005+0.0010317i,0.00040071+0.00043266i
0.0019878+0.0015456i,0.003252+0.0018223i,0.0026625+0.00072804i,0.00078031-0.00036529i,-0.00083004-0.001122i,-0.0011932+0.00050549i,-0.0003163+0.0016574i,0.00026345+0.00095549i,0.00029912+8.0128e-05i,-0.00016393-0.00030572i,-0.00020353-0.00073205i,0.00036294-0.00051032i,-0.00033986-4.6769e-05i,-0.001575-0.00046397i,-0.0009455-0.0005276i,0.00018277+5.6308e-06i,-0.00031037+1.0725e-05i,-0.00087786-0.00022341i,-0.00040689+0.00029024i,-0.00039323+0.00072973i,-0.00019863+0.00050268i,0.00063549+0.000118i,0.0009536-0.00016602i
-0.0010785+0.00027928i,-0.0012433+0.00031876i,-0.00076143+0.0003309i,-0.00060988+0.00021444i,-0.00038029-0.00018408i,-0.00067799-0.00063991i,-0.00082405-0.00039993i,5.7287e-05+2.9603e-05i,6.4131e-05+2.1876e-05i,-0.00019643-0.00035642i,-0.00012225-0.00074178i,0.00024353-0.00085058i,0.00069143-0.00058797i,8.5688e-05-8.8105e-05i,-0.00025193-0.00018343i,-8.0621e-05-0.00030521i,-0.0003546-0.00012993i,-0.00071815-0.00025524i,-0.00089307-0.00011471i,-0.00060692+0.00012186i,-0.00014279-0.00025076i,0.00017877-5.9463e-05i,0.00035241+0.00020555i
0.0024197-0.0023337i,0.0025763-0.0038309i,0.00056788-0.0028548i,-0.0011706-0.00042672i,-0.00082477+0.001524i,-6.62e-05+0.00215i,-7.1656e-05+0.0018309i,6.7382e-05+0.0012523i,0.00039474+0.0007434i,-0.00018698+0.00044933i,-0.00044401+0.00054104i,-0.00027182+0.0010683i,-9.5121e-05+0.00097708i,0.0004636+0.00057876i,0.00013561+0.00080661i,-0.00036568+0.00053253i,-0.00015747-0.00031122i,-6.9655e-05-0.00025943i,2.6018e-05+0.00051226i,-9.7967e-05+0.0010565i,0.00027149+0.0010656i,0.00046023+0.00090453i,0.00061933+0.00042935i
-0.00014187-0.00041491i,-6.1304e-05-0.00055353i,0.00022775-0.00016601i,0.00045878-0.00022262i,0.00039177-0.00025435i,-0.00060649+0.00065355i,-0.00046501+0.0011913i,0.00012413+0.00022901i,-1.9547e-06-0.00052902i,-0.0003416-0.00064425i,0.00022091-0.00012261i,0.00076848+3.236e-06i,0.0010835+0.00047969i,0.00092245+0.00098327i,0.00012542+4.1679e-05i,-0.00059397+0.00045258i,-0.0016121+0.00085859i,-0.00092557-8.0261e-05i,0.00052081-2.5408e-05i,0.00012644+0.00046969i,0.00010801+0.00044474i,0.00042337+0.00062378i,-0.00025838+0.00023096i
-0.0007869-4.7252e-05i,-0.00091217+0.0014345i,-0.00021787+0.0017501i,-2.8348e-05+0.0010434i,-0.00037095+0.00067144i,-0.00025055+0.0010125i,-0.00023427+0.0016185i,-1.6634e-05+0.00060205i,-0.00010934-3.3158e-05i,-4.1536e-05-6.8732e-05i,0.0008857-0.00065506i,0.0011442-0.0013656i,0.00057545-0.0012874i,0.00040176-0.001013i,0.00069157+1.0917e-05i,0.00044478+0.00093121i,6.371e-05+0.00057783i,0.00014753+0.00053214i,0.0002648+5.9943e-05i,0.00034382-0.00031723i,9.2357e-05-0.00016089i,-7.9214e-05-0.00055442i,0.0003831-0.00073538i
0.0029142+0.00039748i,0.0018791-0.0011314i,0.0013428-0.0024798i,0.00097696-0.0010919i,-0.00046059+0.00059585i,-0.0017174+0.0015225i,-0.0019011+0.0014361i,-0.00075102+0.0014009i,0.00048649+0.00090886i,0.00030947-0.00070198i,-0.00022427-0.00096542i,-0.00066024+2.1036e-05i,-0.00089581+0.00060947i,-0.00046649+0.00068374i,0.00017013+0.00069586i,0.00025035+0.0010136i,0.00037647+0.0010292i,0.00037017+0.00044505i,0.00056616-0.00012227i,0.00090751+0.00010335i,0.0012338+0.00047804i,0.00076135+0.00017235i,0.00018475+0.0010266i
0.00016577+0.0001487i,2.5768e-05+8.2237e-05i,1.8041e-05-0.0011i,-3.6005e-06-0.001121i,6.4085e-05+0.00066098i,-0.0012154+0.0020464i,-0.0018062+0.0020693i,-0.001554+0.0016387i,-0.00079183+0.0012197i,-0.00019467+0.00038791i,-6.7482e-06+0.00013846i,1.1253e-05+0.00029706i,0.00057077+0.00038263i,0.00099442+0.00033521i,0.00040525+0.00077655i,-0.00020163+0.00019964i,-0.0003903-0.00049486i,-0.00049618-0.00042657i,0.00036047-0.00010777i,0.0010839-5.9519e-05i,0.0010014-0.00011005i,0.00074608-8.0782e-05i,0.00097926-0.00042899i
1.5387e-05-0.00036072i,0.001645+0.00010555i,0.0012339+0.00079275i,-1.2795e-05+0.00019476i,-0.0005183-0.00036906i,-0.0010409+0.00019206i,-0.0022383+0.0007534i,-0.0025014+0.00022302i,-0.00064904-0.00050218i,0.0006204-0.00037929i,0.00069366-0.00032195i,0.00043366-0.00066924i,-1.716e-05-0.00082544i,-0.0002335-0.0008339i,-0.00036837-0.00068305i,-0.00043067-0.00040875i,-0.00011791-0.00050122i,-4.3914e-05-0.00028299i,-0.00043179+0.00027731i,-0.00070032+0.00060705i,-0.00035058+0.00048293i,0.00013732-0.00019689i,0.00051228-0.00066069i
-0.00016324+3.3505e-05i,0.00039143-0.00055557i,0.00086262+0.00017081i,0.0008012+0.0015085i,0.00050704+0.0020753i,0.00067229+0.0013547i,-4.4447e-05+0.00081653i,-7.1356e-05+0.00079338i,0.00061277+0.00026759i,0.00033267+5.23e-05i,-0.00031904-3.2523e-05i,-9.9436e-05-0.00085017i,0.00066316-0.00078601i,0.00083119-0.00028056i,0.00075754-0.00029793i,0.00063311+0.00030065i,-1.8321e-05+0.00039295i,-0.00047872+0.00050448i,9.1742e-05+0.00089948i,0.00021616+8.1429e-05i,0.0002691-0.00028044i,0.00041955+0.00020251i,-0.00057408+0.00020138i
-0.00081201+0.0019694i,-0.00010984+0.00090667i,0.001173-0.00012364i,0.0011031-0.00094856i,9.8224e-05-0.00052932i,-0.00035093-2.6923e-05i,-0.00025937+0.00089567i,-0.0001887+0.0017343i,-1.8039e-05+0.00089108i,0.00070993+0.00022194i,0.00049538-0.00012746i,-0.00033627-0.00084373i,-7.5369e-05-0.0007179i,0.00021302-0.00037377i,-0.00027423-0.00063494i,-0.00085452-0.00031133i,-0.0002136-6.9904e-05i,0.00027543-0.00083238i,-0.00070089-0.0011306i,-0.00067709-0.00057136i,0.00018968+0.00012861i,2.1917e-05+0.00030075i,-0.00019968+0.00024541i
-0.00070558+0.00068167i,0.00011382+0.00080401i,0.00094062+0.00082779i,0.0009012+0.00028835i,0.00078709+0.00023061i,0.00079264+0.0008623i,-0.00029786+0.0013288i,-0.00083571+0.00090722i,-0.00029476-0.00011832i,0.00023048-0.00029519i,0.00063759+8.5002e-05i,0.00057919+0.00010366i,0.00045062-0.00050425i,5.8835e-05-0.00076305i,-0.00019976-0.00020219i,0.0007973-0.00023316i,0.00062855+5.3909e-05i,-0.00027645+0.00093767i,-0.001201+0.0010965i,-0.0016367+0.00052145i,-0.0011039+0.00026392i,-0.00029312+0.00059745i,-0.000173+0.00079294i
0.001645-2.8323e-05i,0.0010692-0.00057345i,0.00091343-0.00095055i,-0.0002994-0.0012582i,-0.0006775-0.0001964i,-0.00083854+0.001534i,-0.0008224+0.0026052i,-0.00011788+0.0019383i,-0.00012549+0.00049118i,0.00026744+2.1235e-05i,0.00035309-0.00029345i,2.4797e-05+0.00023836i,9.4881e-05+0.00047769i,0.0002412+0.00026125i,-0.00013229+0.00035607i,-0.00021091-0.00025994i,0.00011559-0.0006286i,-5.8182e-05-0.00078975i,-0.00053123-0.0006862i,-0.0013899-0.00031861i,-0.0019553-8.045e-05i,-0.0012865-0.00012502i,-0.00022714-0.00037051i
0.00072975+0.0010165i,0.0015549+0.00058467i,0.0018917+0.00031796i,0.00071339-0.00027682i,-0.00016174-0.00064697i,-0.00039378-0.00043068i,-0.00088371+0.00096688i,-0.00019263+0.0017134i,0.00034154+0.00085621i,0.00069791-0.00019633i,0.00076989-0.00068887i,0.00056569-0.00048707i,0.00045802-0.00017058i,-4.5842e-05-0.00054208i,-0.0002667-0.00071191i,0.00044145-0.00034041i,0.0015018-0.00028383i,0.00071524+0.00014912i,3.336e-05+0.00081802i,0.00068901+0.00054957i,0.00054993+0.00018039i,-1.6221e-05-0.00046229i,-0.00044012-0.00015558i
0.0014679+0.00051428i,0.0012691-0.0010107i,0.00088725-0.0017024i,0.00071339-0.00096277i,0.00057944+0.00048908i,-0.00039417+0.0015268i,-0.00076229+0.0015826i,9.5337e-05+0.0010283i,0.001034+0.00010174i,0.0014028-0.00044867i,0.0012324-0.00039236i,0.00085587+0.00022363i,0.00032889+0.0010672i,-0.00019526+0.00048791i,-0.00046931+0.00020314i,-0.00012412+0.00076275i,0.00014756+0.00063777i,-0.00028126+1.1657e-05i,-6.0194e-05+0.00016733i,8.2599e-05+0.00050394i,-8.8532e-05-6.9584e-05i,-0.00011359-0.00079597i,0.00042267-0.00091825i
0.0015821-0.00020966i,0.0011138-0.00020411i,0.00010972-0.00087262i,-0.00078235-0.0011528i,-0.0013849-0.00028252i,-0.0015347+0.0009913i,-0.0011103+0.001556i,-0.0003808+0.0014614i,-0.00036604+0.00076914i,0.00026245-0.00017178i,0.00068021-0.00014613i,0.00021491+0.00019322i,-0.00049897-1.9802e-05i,-0.00079914-4.5322e-05i,-5.6214e-05+0.00013208i,0.00048408-0.0001472i,0.00044431-0.00013314i,5.8389e-05+0.00038065i,-0.000522+0.0005256i,-0.00036764+0.00024028i,0.00012194+0.00034404i,0.0005702-1.5476e-05i,0.00035819-0.00054731i
0.00075587+0.00043792i,0.001365-4.1375e-05i,0.00078303+0.00039046i,0.00014686+0.0011258i,-0.0001213+0.00089009i,-0.00099869+0.00088334i,-0.0016775+0.0014637i,-0.0011548+0.0013863i,-0.00073815+0.00023178i,-0.00068116-0.00040465i,-0.00017562-0.00053846i,0.00022975-0.00057839i,0.00071505-0.00059601i,0.00069629-0.00049567i,0.00084004-0.00038671i,0.0012683-0.00052769i,0.0003098-0.00058209i,-0.00068137-0.00067985i,-0.00033474-0.00070282i,0.00040741-0.00092998i,0.00040271-0.00093271i,-0.00026815+4.7232e-05i,0.000272+0.00022866i
0.00018774-0.0011569i,-0.00028837-0.0010021i,-0.0015603-0.00014637i,-0.0017704+0.00051102i,-0.0010137+0.00076397i,0.00029463+0.00092606i,0.0012932+0.0010783i,0.00024934+0.0010849i,-0.00071753+0.00053426i,-0.00036042-0.00014348i,0.00036727-0.0004792i,0.00025718-0.00034292i,-6.1067e-05-0.00035702i,0.0013085-0.00058833i,0.0020527-1.9379e-05i,0.00043979+0.00035787i,-0.001019+1.1563e-05i,-0.0014127-0.00019664i,-0.0010721+9.8733e-05i,-0.00054455-0.00019569i,-0.00011478-0.00051993i,0.00022594+0.00018404i,-0.00024917+0.0003156i
-0.0002791+0.00046425i,0.00021252+0.00045557i,0.00021772+0.00095987i,-0.00032241+0.00058049i,-0.0014214+0.0003298i,-0.0014409+0.00083276i,-0.0007118+0.0011082i,-0.00051959+0.00082496i,-0.00030503+0.00053036i,-0.00017564-0.00026838i,5.545e-05-0.00080891i,0.00045619-0.00046822i,0.00033942-0.00033485i,0.00020513-0.00082391i,0.00029632-0.00053582i,0.0003667+0.0006914i,0.00040056+0.001194i,0.00047979+0.0011012i,0.00046592+0.00051915i,-0.00020984+0.0003131i,-0.00045562-0.00038839i,0.00016243-0.0010786i,0.00052906-3.313e-05i
