-0.005337+0.0016477i,-0.0042359+0.0023105i,-0.0035513+0.003149i,-0.001573+0.0027191i,-1.3733e-05+0.0018928i,0.000525+0.0020233i,0.0004011+0.0022004i,0.00098114+0.0025008i,0.0017281+0.0023383i,0.0023241+0.00052832i,0.002169-0.00073201i,0.0012665-0.0012644i,0.00090137-0.001853i,0.00043461-0.0019393i,-0.00081545-0.0014088i,-0.0017487-0.00050614i,-0.0013258-0.00052977i,-0.0003683-0.00063422i,0.00092629-5.824e-06i,0.0015071+0.00011029i,0.00058182-0.00033024i,-0.0001989-0.00054788i,-0.00016912+0.00056288i
-0.0050411+0.010869i,-0.022186+0.0024257i,-0.042245-0.027532i,-0.051259-0.059175i,-0.0378-0.05999i,-0.0047963-0.035494i,0.017746-0.011168i,0.017048+0.0030277i,0.011087+0.0072186i,0.0098408+0.0039886i,0.0080065-8.8925e-05i,0.0041065-0.0014998i,0.003467-0.0016353i,0.0072103-0.0011614i,0.011453-0.0026601i,0.01162-0.0070257i,0.0077291-0.0086804i,0.0039967-0.0054683i,0.0038607+1.5534e-06i,0.0074864+0.0054958i,0.010527+0.0095455i,0.0079216+0.0089404i,0.0030003+0.0053468i
-0.0025549-0.0011709i,0.0016084+0.0046813i,0.0052009+0.036183i,-0.0047632+0.074326i,-0.024948+0.077961i,-0.039798+0.050771i,-0.036461+0.02819i,-0.014691+0.021875i,0.0076911+0.016503i,0.013315+0.0076003i,0.009237+0.0034886i,0.0070518+0.002732i,0.0051567+0.00068324i,-9.4816e-05-0.0016383i,-0.0047702-0.0026629i,-0.0021005-0.0026848i,0.0054425-0.0023017i,0.009806-0.0021314i,0.0090106-0.0039394i,0.0045047-0.0092574i,-0.00066101-0.016328i,-0.0040704-0.019881i,-0.0061923-0.017884i
0.0092621-0.0013518i,0.014152-0.0052425i,0.022815-0.017255i,0.039924-0.029142i,0.052635-0.020598i,0.046201+0.0065761i,0.030684+0.021354i,0.01983+0.012289i,0.014779-0.0024896i,0.0084894-0.0095634i,0.0006225-0.0093363i,-0.0022918-0.0082214i,-2.528e-05-0.0097715i,0.0030393-0.010593i,0.0014437-0.0095771i,-0.0048689-0.0074622i,-0.0084453-0.0050751i,-0.0071254-0.0038574i,-0.0060861-0.003679i,-0.0069496+0.0020236i,-0.0079712+0.012965i,-0.008197+0.020472i,-0.0082606+0.021053i
-0.0068902+0.0054594i,-0.017213+0.0088118i,-0.031463+0.013819i,-0.04221+0.016449i,-0.038697+0.0035274i,-0.02118-0.021906i,-0.0045826-0.037859i,0.00044729-0.035082i,-0.0019625-0.024646i,-0.0048827-0.016285i,-0.0056971-0.010799i,-0.0048918-0.0059187i,-0.0057208-0.0016591i,-0.0072947+0.0020835i,-0.0065052+0.0032346i,-0.0043788-0.00041202i,-0.003686-0.0047123i,-0.0031219-0.0052311i,-5.2944e-05-0.0044847i,0.0044495-0.0078812i,0.0083953-0.011623i,0.012209-0.0089591i,0.014575-0.0017627i
0.0029573-0.0043281i,0.016276-0.0040528i,0.037562-0.0023621i,0.053642+0.0017289i,0.050035+0.010842i,0.02763+0.017274i,0.007377+0.010318i,0.0011382-0.0065976i,-0.0015191-0.016303i,-0.002787-0.012669i,-0.0013495-0.0084984i,-0.001509-0.0083887i,-0.0040054-0.0082837i,-0.0060609-0.0065489i,-0.0068249-0.0018937i,-0.0048786+0.002841i,-0.0010527+0.003964i,0.00082427+0.00023373i,-0.0026381-0.0029003i,-0.0094426-0.0010878i,-0.013831-0.00066339i,-0.012384-0.0056924i,-0.0076073-0.010387i
-0.0049255+0.0025269i,-0.012609-0.00087398i,-0.024634-0.015852i,-0.028704-0.039247i,-0.018033-0.049099i,0.0018605-0.037187i,0.013604-0.019957i,0.0063961-0.011575i,-0.0070147-0.0095274i,-0.0092431-0.0059427i,-0.0055091+0.00023827i,-0.0043765+0.0040775i,-0.0033873+0.0050134i,0.00046022+0.0045485i,0.0034231+0.0019912i,0.0002583+0.0014545i,-0.0051572+0.0046407i,-0.006639+0.0058759i,-0.003917+0.0049283i,0.0025786+0.0065337i,0.0094356+0.0098104i,0.0098404+0.009664i,0.006151+0.0058997i
0.00019988+0.00075461i,0.0020108+0.0018499i,0.0016691+0.012546i,-0.0070444+0.02679i,-0.022439+0.028211i,-0.033362+0.018857i,-0.034867+0.01116i,-0.02603+0.010775i,-0.015274+0.011562i,-0.0096666+0.0088728i,-0.0065287+0.0047867i,-0.0031151+0.0021648i,-0.0018027+0.0025797i,-0.0029096+0.0053243i,-0.0028969+0.0073279i,0.00075191+0.0055493i,0.0040183+0.0014709i,0.0041981-0.0015399i,0.0029033-0.0032782i,-0.00050081-0.0076055i,-0.0062007-0.012851i,-0.0099748-0.013842i,-0.010097-0.010225i
-0.0022575-0.0016622i,-0.0012925-0.0034372i,-0.0015455-0.011813i,-5.8176e-05-0.020015i,0.0042231-0.013756i,0.0086409+0.0040122i,0.0062655+0.01609i,-0.0029429+0.016921i,-0.0070842+0.013453i,-0.0055502+0.0090554i,-0.0038996+0.0050113i,-0.0027272+0.0028446i,-0.00025377-0.00060748i,0.0032775-0.0058519i,0.005616-0.0072568i,0.0062893-0.0021391i,0.0059005+0.0040847i,0.0036412+0.0059498i,-0.00025118+0.0061521i,-0.0011803+0.010975i,0.00080414+0.017044i,0.001451+0.018954i,0.00051145+0.016853i
-0.0035594+0.001874i,-0.0095139+0.0061209i,-0.020541+0.014392i,-0.030542+0.021403i,-0.03024+0.016755i,-0.017659-0.0010318i,-0.0029486-0.013133i,0.0032693-0.0080871i,0.0025179+0.0015628i,0.0012945+0.0039863i,0.00095285+0.0023465i,0.0011685+0.0033881i,0.0023249+0.0072059i,0.0028415+0.010128i,0.0021582+0.0097845i,0.00073925+0.0060087i,-0.00051086+0.0026045i,0.00027662+0.0020337i,0.0026219-0.00057571i,0.0043045-0.0077124i,0.0072821-0.013527i,0.011225-0.012258i,0.013567-0.0070815i
0.0039748-0.0056239i,0.0088488-0.0064142i,0.017501-0.0034942i,0.025866+0.0058621i,0.026496+0.016512i,0.02001+0.0198i,0.015307+0.013101i,0.01699+0.0041734i,0.017639-0.0013203i,0.012265-0.0019425i,0.0064279-0.0033382i,0.0029503-0.0072366i,0.00013475-0.0096926i,-0.0026109-0.0097373i,-0.002768-0.0086607i,-0.0015558-0.0085368i,0.00051351-0.0086662i,0.0016346-0.0091022i,-0.0018645-0.0073636i,-0.0075057-0.0022283i,-0.011746+0.0012767i,-0.01262+0.00033868i,-0.0095885-0.0022546i
-0.001916+0.0025039i,-0.004708+0.00479i,-0.0079218-0.00028477i,-0.0067754-0.010501i,-0.0013665-0.017195i,0.0057859-0.017711i,0.0124-0.013409i,0.01445-0.0096733i,0.011412-0.0085012i,0.0077881-0.0057492i,0.0069305-0.00036173i,0.006849+0.0042928i,0.0058844+0.0044097i,0.0062121+3.0282e-05i,0.0071555-0.0043744i,0.0064252-0.0052465i,0.0053186-0.0027964i,0.0042111+0.00015812i,0.0047106+0.0019974i,0.008528+0.0022812i,0.012065+0.0014296i,0.011702+0.0015673i,0.0082086+0.0015253i
-0.00090102-0.0016415i,0.0012647-0.0020376i,0.0061404+0.0014994i,0.0090137+0.0061541i,0.0017031+0.0055396i,-0.013057+0.001792i,-0.019539-0.0035294i,-0.012652-0.0089014i,-0.0040105-0.010281i,-0.00099494-0.0089577i,-0.0018609-0.0068827i,-0.0025049-0.007047i,-0.0025934-0.007031i,-0.0027747-0.0017334i,-0.0030336+0.0038542i,-0.0037539+0.0037344i,-0.0048577+0.0012201i,-0.003868-0.0016113i,-0.0025564-0.0054608i,-0.0061115-0.0091798i,-0.011926-0.010613i,-0.013846-0.0083845i,-0.011098-0.0042157i
0.0022668-0.002869i,0.0018287-0.0085539i,-0.000134-0.018458i,-0.0030879-0.026633i,-0.0056785-0.024603i,-0.0072608-0.011365i,-0.0089714-0.0018618i,-0.012283-0.0047432i,-0.011098-0.0096861i,-0.006681-0.0094983i,-0.0045447-0.0074857i,-0.0035437-0.0057871i,-0.0022475-0.0062916i,-0.0015592-0.0091319i,-0.0014939-0.010963i,-0.002287-0.0090116i,-0.0034015-0.0057587i,-0.0037092-0.003372i,-0.0028955+0.0010517i,0.00077688+0.0078021i,0.0053223+0.012901i,0.0063958+0.013717i,0.0040416+0.010527i
-0.0044475+0.0030272i,-0.0056792+0.0061611i,-0.011907+0.008824i,-0.020132+0.0089139i,-0.022846+0.0084762i,-0.0169+0.0050761i,-0.0094499-0.0010776i,-0.0083373-0.0050047i,-0.0092183-0.0056422i,-0.0069787-0.0050266i,-0.0030059-0.002155i,-0.00032714+0.0013114i,0.00056702+0.0046385i,0.0013201+0.0079033i,0.0018096+0.0087474i,0.0013927+0.007502i,0.001433+0.0056085i,0.0027612+0.0024936i,0.0027318-0.0020155i,0.0015574-0.0081973i,0.0014395-0.013533i,0.0030995-0.01435i,0.004995-0.012092i
-0.00035887-0.0030497i,-0.00072322-0.0039968i,0.00035107-0.0049456i,0.001226-0.00073278i,0.0018659+0.0098726i,0.0050168+0.018962i,0.0073124+0.019288i,0.005016+0.013153i,0.00064731+0.0059208i,-0.0022239+0.0019498i,-0.0037673-0.00073053i,-0.0065048-0.0036565i,-0.0099074-0.0046524i,-0.011633-0.0036304i,-0.010712-0.0011144i,-0.0094079+0.0017306i,-0.0086705+0.0030392i,-0.0069369+0.0025088i,-0.0055257+0.0015107i,-0.006763+0.0042825i,-0.0082261+0.0080669i,-0.0081036+0.0077876i,-0.0071649+0.0055528i
-5.4254e-05-0.0014334i,-0.0036757-0.00042526i,-0.0086133+0.0011971i,-0.0098952+0.0035026i,-0.0053251+0.0045771i,0.0042735+0.0041389i,0.011493+0.005847i,0.0092637+0.0095585i,0.0040031+0.0097816i,0.0019135+0.0077352i,0.0030101+0.0073768i,0.0042238+0.0085767i,0.0054265+0.0089571i,0.0060264+0.0059017i,0.0058932+0.0012947i,0.0040543-0.0011668i,0.0015365-0.00093834i,0.00048333+0.00022155i,0.0026055-0.00053728i,0.0079621-0.0027933i,0.012329-0.0046339i,0.01117-0.0042268i,0.0057053-0.0025163i
0.0012296-0.0015326i,0.0027468-0.00011868i,0.0068467+0.0041617i,0.010596+0.0080493i,0.0094894+0.006245i,0.0031985+0.0021937i,-0.0013865+0.00034155i,-0.00071905+0.0006725i,0.0001158+0.0024754i,-0.001962+0.0021504i,-0.0047421-0.0001248i,-0.0048779-0.0010788i,-0.0018156+0.00057147i,0.0016623+0.0042491i,0.0041471+0.006945i,0.0064548+0.0071613i,0.0076194+0.0054911i,0.0067277+0.0024092i,0.0017156-0.0010247i,-0.0069391-0.0031327i,-0.013031-0.0032782i,-0.012585-0.0011387i,-0.0075745+0.002437i
0.0036052+0.0017941i,0.0036278-0.0015528i,0.0046588-0.0067453i,0.0061539-0.013803i,0.0061945-0.018809i,0.004105-0.018492i,0.003254-0.014624i,0.0040753-0.010663i,0.0044651-0.0070364i,0.0028888-0.0040543i,0.0010452-0.0024685i,0.0011375-0.0013794i,0.0024378-0.0021199i,0.0022349-0.005116i,-0.00017653-0.0072251i,-0.0019494-0.0061269i,-0.0017928-0.0030268i,-0.0014734-8.3445e-05i,2.4268e-05+0.0030386i,0.003718+0.0070097i,0.0082442+0.0091203i,0.010092+0.0085862i,0.0088322+0.005589i
0.00055214-0.0006697i,-0.00085707-0.00084611i,-0.0029827-0.0024755i,-0.0060484-0.0062073i,-0.011059-0.0078163i,-0.012546-0.0094657i,-0.0068101-0.013137i,0.00078985-0.014046i,0.0045037-0.011203i,0.0044923-0.0078944i,0.0049269-0.0047365i,0.006905-0.0021133i,0.0085158-0.00073214i,0.0090098+0.00057329i,0.0089654+0.0007767i,0.0086964-0.00095682i,0.007311-0.0039326i,0.0051612-0.0050714i,0.0029374-0.0058456i,-0.0002663-0.0084017i,-0.003573-0.011562i,-0.0047531-0.012664i,-0.0030174-0.010839i
0.0030118+0.0009843i,0.0028563-0.0017793i,0.0023127-0.0056805i,-0.0015256-0.0078397i,-0.0065704-0.0050584i,-0.008136+0.0014807i,-0.0052099+0.0039798i,-0.00063427+0.0012058i,0.0028572-0.0029787i,0.0021852-0.0043591i,-0.0019944-0.0030281i,-0.0055455-0.0031901i,-0.0097775-0.0048824i,-0.012683-0.0048543i,-0.0096904-0.0035897i,-0.004518-0.0024443i,-0.0010621-0.0017519i,0.00032633-0.00066388i,5.3885e-05+0.001611i,0.00023456+0.0062109i,-0.00031818+0.010462i,-0.0010862+0.0097911i,-0.0012194+0.0062938i
-0.0010999+0.0025598i,-0.0013676+0.0029452i,-0.0044067+0.0038609i,-0.00991+0.0043086i,-0.011038+0.0068465i,-0.0077233+0.0085078i,-0.0049987+0.0065817i,-0.0041092+0.0029948i,-0.0019659+0.00014624i,0.0016703-0.00068846i,0.0033877-0.00011694i,0.0041449-0.00039884i,0.0043876-0.0022714i,0.0028808-0.0041837i,0.00033493-0.0048417i,-0.0039978-0.0045204i,-0.007558-0.0035547i,-0.0068351-0.0024159i,-0.0020041-0.0017769i,0.0038492-0.0046891i,0.0069245-0.0080754i,0.00478-0.00777i,-1.8451e-05-0.0058503i
-0.0022318+0.00056339i,-0.0024785+0.0033766i,-0.00086439+0.0077131i,0.00077915+0.01127i,0.0012546+0.014413i,0.0008073+0.014614i,-0.0021187+0.0095864i,-0.006529+0.0025421i,-0.009651-0.0012751i,-0.009295-0.0016395i,-0.0070702-0.0016234i,-0.0066868-0.0011488i,-0.0061723+0.00072629i,-0.0035986+0.0028652i,-0.00058257+0.0036398i,0.00035625+0.0028402i,0.00043888+0.00052605i,-0.00019546-0.00093008i,-0.0024374-0.0010167i,-0.0061404-0.00097989i,-0.010006-0.00086095i,-0.0094235+0.0007501i,-0.0054247+0.0028976i
0.0010391+0.00029341i,0.00068403-0.0012605i,0.0016451-0.0012739i,0.0049857+0.00059939i,0.0075462+0.002188i,0.0071469+0.00102i,0.0047726-0.00042042i,0.00058484-0.00085111i,-0.002871-0.0011346i,-0.003404-0.0018076i,-0.0029637-0.0017781i,-0.0033643+0.00044958i,-0.0038832+0.0025451i,-0.0037832+0.0013313i,-0.0053243-0.00013997i,-0.0064731+0.00061074i,-0.0045017+0.0026947i,-0.001054+0.0028575i,0.0016884+0.00059556i,0.004515-0.00051459i,0.0081114+0.0017363i,0.0093117+0.003189i,0.0072542+0.0024461i
-0.00085717+0.0024759i,0.0021097+0.0023512i,0.0040449+0.0032181i,0.0058376+0.0023374i,0.0072606-0.0014932i,0.0063904-0.0045352i,0.0041692-0.0041522i,0.0021064-0.0018311i,-0.00050564+2.4759e-05i,-0.0016854-0.0010533i,-0.00034355-0.0030489i,0.001155-0.0035153i,0.0020959-0.0029329i,0.0039779-0.0011649i,0.0054863+0.00084575i,0.0051705+0.0028407i,0.0031083+0.0045713i,0.00067234+0.0042489i,-0.0016464+0.00043119i,-0.0053551-0.0041537i,-0.0085462-0.0057322i,-0.0084077-0.0054981i,-0.0058478-0.0046129i
-0.0004299-0.0020297i,0.00044049-0.002426i,0.0017236-0.0058527i,0.0021033-0.0099224i,0.0019864-0.010904i,0.0016972-0.0070301i,0.0021199-0.0003376i,0.0026164+0.0037896i,0.0025746+0.0042789i,0.00040191+0.0031565i,-0.0025746+0.0019858i,-0.0026946+0.0019294i,-0.0019183+0.0013555i,-0.0021839+0.0012741i,-0.0019138+0.0022312i,0.0005247+0.0008857i,0.0027178-0.001467i,0.0028584-0.0021691i,0.0020835-0.00061412i,0.0021453+0.0033456i,0.0029597+0.0071924i,0.0032602+0.0081629i,0.0026487+0.0056981i
-0.00054084-0.00046626i,-0.0016939+0.0011931i,-0.004857+0.00032155i,-0.0082054-0.0038616i,-0.010569-0.0060559i,-0.0086921-0.0046391i,-0.0034591-0.0016713i,0.00081455+0.00012658i,0.0032721-0.00016749i,0.0037665-0.00026168i,0.0029517+0.00014749i,0.0045491+0.00015523i,0.0070665-0.0015185i,0.0061886-0.0038878i,0.0032447-0.0041007i,0.0015061-0.0027427i,0.0010053-0.00033529i,-0.00057307+0.0013221i,-0.0015309-0.00042424i,9.9008e-05-0.004031i,0.0024798-0.0068652i,0.0021602-0.0065357i,0.00031676-0.0043764i
-0.0037052+0.0027545i,-0.0046719+0.0038447i,-0.0062308+0.0029517i,-0.0095235+0.00084648i,-0.011254+0.00099104i,-0.0082914+0.0011573i,-0.0031943-0.000572i,0.0016186-0.0025871i,0.0024855-0.0027918i,0.00018874-0.0018215i,-0.0017464-0.0017687i,-0.003108-0.0023884i,-0.0029089-0.0012488i,-0.00093081+0.00064808i,0.0012076+0.001216i,0.0018664+9.8684e-05i,0.0018058-0.0017454i,0.0014564-0.0016373i,0.00041091+0.0009883i,-0.0022165+0.0033988i,-0.0047481+0.0035889i,-0.0044739+0.0027045i,-0.0021109+0.001466i
-0.0067773-0.002434i,-0.0078913-0.001032i,-0.010176+0.0019704i,-0.011952+0.006436i,-0.010948+0.0097591i,-0.0047314+0.0071798i,0.0030829-0.00018302i,0.0056889-0.006532i,0.0038275-0.0075645i,0.0026525-0.0051619i,0.002827-0.002501i,0.0018701-0.0016193i,0.0001562-0.0013389i,-0.0011755-0.0017533i,-0.002945-0.0035301i,-0.003917-0.0050001i,-0.0026699-0.0058857i,-0.00041136-0.0058613i,0.0018174-0.0054181i,0.0044257-0.0045309i,0.0069131-0.0032807i,0.0072435-0.002183i,0.0049556-0.001194i
0.0015356-0.0033221i,0.0028267-0.0024252i,0.0017531+0.0020129i,0.001099+0.0079035i,0.0023073+0.012088i,0.0031468+0.0092781i,0.0026911+0.00081549i,0.00045525-0.0057655i,-0.0022092-0.0070799i,-0.0021453-0.0049841i,-0.00012971-0.0029781i,0.00049661-0.003011i,-0.0003997-0.004067i,-0.00080498-0.0040556i,0.00028545-0.0038013i,0.0011456-0.0019931i,0.00026919+0.0017154i,-0.00091698+0.0039651i,-0.0017665+0.0028042i,-0.0040373+0.00084305i,-0.0062888-0.00083128i,-0.0063637-0.0015177i,-0.0051345-0.0015052i
0.00085845-0.00063586i,0.0012179+0.0013851i,0.0011865+0.0012883i,0.0030115+0.0015741i,0.005495+0.0031435i,0.0042765+0.0030459i,-0.00022606+0.0010301i,-0.0043046-0.00028033i,-0.0057077-0.00051583i,-0.0048853-2.8212e-06i,-0.0038766+0.00089049i,-0.0025756+0.0024218i,-0.0015111+0.002771i,-0.0015139+0.0015164i,-0.0026674+0.0010976i,-0.004082+0.0010445i,-0.0050403+0.00039843i,-0.0040121-0.001298i,8.7743e-05-0.0030414i,0.0026753-0.0018635i,0.0025829+0.00054669i,0.002402+0.0021442i,0.0022464+0.0025955i
-0.0020639+0.0022447i,-0.002543+0.0015609i,0.00013136-0.00089475i,0.0031408-0.0037557i,0.0026591-0.0039929i,-0.0010426-0.0031737i,-0.0052679-0.0010863i,-0.0079521+0.00077605i,-0.0069479-0.00049112i,-0.003774-0.0010845i,-0.0014217-0.0005186i,0.00017991-1.8357e-05i,0.00092453-0.00092416i,-5.4319e-06-0.0017419i,-0.0013896-0.00068251i,-0.0011812+0.0015894i,-0.00060248+0.0030633i,-0.00053005+0.0016743i,-0.0013995-0.00077999i,-0.002835-0.002307i,-0.0025445-0.003086i,-0.0013626-0.0025017i,-0.00026905-0.00066608i
0.0016081-0.0034863i,-4.7745e-05-0.006253i,-0.00073906-0.0093822i,-0.00080873-0.01296i,-0.0018884-0.013714i,-0.0029897-0.0080168i,-0.0028941-0.00021568i,-0.0018663+0.0037901i,-0.00044285+0.0031936i,-0.00093949+0.00064523i,-0.0034047-0.001927i,-0.0038104-0.0023384i,-0.0029151-9.5363e-05i,-0.0015078+0.0026387i,0.0010695+0.0039609i,0.0027927+0.0044106i,0.0018887+0.0047036i,0.00090679+0.0045314i,0.00080077+0.003663i,0.00051145+0.0027999i,-0.00047029+0.0024999i,-0.0015747+0.0018433i,-0.00181+0.00089371i
0.0025535-0.0019265i,0.0011004-0.0022577i,-0.00308-0.0045969i,-0.0075229-0.0069788i,-0.010845-0.0076443i,-0.0077641-0.0036955i,0.00043628+0.0021263i,0.0053608+0.0041786i,0.0057488+0.0022096i,0.0042307-0.0002299i,0.0029835-0.00056806i,0.0029398+0.00012609i,0.0029319+0.00097809i,0.002123+0.0016312i,0.0010594+0.0011173i,0.00032288+2.2911e-05i,-0.00030364-0.0011995i,-0.0014869-0.0023813i,-0.0024272-0.0035955i,-0.0020359-0.0043117i,-7.554e-06-0.0036488i,0.0024682-0.0021738i,0.0023206-0.0006166i
0.0010239+0.0011948i,0.00089114+0.0011804i,-0.00037998+0.00046088i,-0.0035549+0.00023411i,-0.0064614+0.0018008i,-0.0042356+0.0035135i,0.0020359+0.0028618i,0.0065973+0.00044428i,0.0066069-0.00083436i,0.0035339-0.00037414i,0.0015606-0.00055109i,0.00064982-0.0018211i,-0.00015291-0.0020191i,0.00053745-0.00052248i,0.0025372-0.00035814i,0.0042266-0.00096968i,0.0046564-0.00035884i,0.0047781+0.0014527i,0.0039809+0.0029827i,0.00075385+0.002809i,-0.0017588+0.0015642i,-0.0016704+0.00073842i,-0.0013363+0.00056712i
-0.0027097-0.0019752i,-0.0046573-0.0019669i,-0.0077545-0.0012078i,-0.010274+0.0033459i,-0.0096742+0.0058315i,-0.0046523+0.0040282i,0.0018406-0.00017673i,0.0039411-0.005196i,0.0028394-0.0057182i,0.0019591-0.0027721i,6.0042e-05-0.001296i,-0.00025721-0.00030809i,0.0021737+0.00085819i,0.0036191-0.00028738i,0.0034903-0.0019484i,0.0022713-0.0031079i,0.0011848-0.0028861i,0.0011896-0.0019952i,0.001423-0.0022867i,0.0017146-0.0023642i,0.0026354-0.0013195i,0.0030339-0.00026556i,0.0024306+0.00076377i
0.0010781-0.0036995i,0.00053917-0.0036876i,-0.0004038-0.0011803i,-0.00031948+0.0029172i,0.00010799+0.0073527i,-0.00017354+0.0054696i,-0.0013514-0.0027828i,-0.0028277-0.0082372i,-0.00353-0.0075554i,-0.0018531-0.0034484i,-0.00021408-0.00020906i,0.00024787-9.2037e-05i,0.00068107-0.0017913i,-0.00040231-0.0036898i,-0.0017951-0.0053313i,-0.0028317-0.0061414i,-0.0025342-0.0058998i,-0.0012006-0.0045003i,-0.0012336-0.0022157i,-0.0020347-0.00080138i,-0.0020111-0.00099459i,-0.00066744-0.00085702i,0.00093558-0.00019847i
0.001019-0.00027787i,0.0019556-0.0014332i,0.0038949-0.0016322i,0.0057605-0.0014596i,0.0070316-0.00024552i,0.0040604-6.2056e-05i,-0.0012741-0.0022647i,-0.0042877-0.0043255i,-0.0042926-0.0039827i,-0.0025619-0.0031394i,-0.0023492-0.0024687i,-0.003508-0.0012986i,-0.0027224-0.00042455i,-0.001536-4.6693e-05i,-0.0014869+0.00029511i,-0.0013297+0.0013988i,-0.0012597+0.002045i,5.713e-05+0.00082986i,0.001838-0.0011835i,0.0020427-0.0015029i,0.00090223-0.00091139i,-0.00061921-0.00053953i,-0.0021643-0.00049103i
0.0046287+0.0030141i,0.0057061+0.00080513i,0.006907-0.0030521i,0.0062109-0.0073553i,0.0032407-0.0093404i,-0.00085037-0.0064683i,-0.004157-0.0012651i,-0.0043525+0.0023925i,-0.0015804+0.0029001i,-0.00042917+0.0012065i,-0.00053381+4.676e-05i,0.00055875-5.0935e-05i,0.00062919+0.00034013i,-0.0013369+0.000665i,-0.0036421+0.0011068i,-0.0046618+0.0016056i,-0.0049066+0.0010956i,-0.0053056-0.00067927i,-0.0054048-0.002381i,-0.0045715-0.0027712i,-0.0031251-0.0022887i,-0.0018336-0.0009401i,-0.00045867+0.00017997i
-0.0025852+0.00031134i,-0.0038406-9.9709e-05i,-0.0032644-0.0026362i,-0.0024353-0.0050736i,-0.0030764-0.0062029i,-0.0030582-0.0033106i,-0.0022983+0.0029403i,-0.00074226+0.0061045i,0.00066477+0.0051364i,-0.00023317+0.0023251i,-0.0011502-6.8185e-05i,-0.0020615-0.00094994i,-0.004007-0.0011039i,-0.0040133+0.00084514i,-0.0018516+0.0031557i,-0.00064794+0.003775i,-0.00042108+0.0037928i,-5.2184e-05+0.0024076i,0.0011343+0.00084864i,0.00072075+0.00079409i,-0.00061496+0.0015715i,-0.00034505+0.0018885i,-0.00060576+0.00050947i
-0.0011931+0.0012836i,-0.00047704+0.00079329i,-0.0013843+6.5381e-05i,-0.0041844-0.0020483i,-0.0060351-0.0041484i,-0.0044466-0.0030145i,-0.00034992+0.00038804i,0.0032805+0.0011733i,0.0034254+6.195e-05i,0.00098164-0.00087522i,-0.00085481-0.0010227i,-0.0013146-0.00041857i,-0.00031877+0.00067431i,0.00022881+0.00085606i,0.0014647+0.0013265i,0.0038725+0.002676i,0.0052523+0.0036112i,0.0039204+0.0029359i,0.00099453+0.0013566i,-0.00073187-1.5594e-05i,-0.00068283-0.00013417i,0.00087522+0.00065017i,0.0020665+0.0013514i
4.389e-05-0.00014772i,0.0011257+0.00013729i,-0.00045819+0.0008782i,-0.0044624+0.0024811i,-0.005762+0.0032453i,-0.0033018+0.0015962i,0.00068429-0.0017475i,0.0024002-0.0037969i,0.0021358-0.0034639i,0.0021356-0.0017031i,0.0029685-0.00086853i,0.003983-0.00087644i,0.0032752-0.0001925i,0.0012892-1.2909e-05i,0.00089592-0.001002i,0.0016721-0.0022313i,0.0018658-0.0029874i,0.00071972-0.0014504i,-0.00035039+0.0017717i,-0.0011446+0.0034325i,-0.0006985+0.0023435i,0.00060539+0.0010945i,0.0016475-0.00012274i
0.00045144+0.0016922i,0.00010989+0.0033384i,-0.0013576+0.0035666i,-0.002741+0.0045846i,-0.0029957+0.0063265i,-0.0012978+0.0041057i,0.0016258-0.0020772i,0.002576-0.0069069i,0.0014059-0.0067125i,-4.7029e-07-0.0034741i,-0.00022496-0.0016096i,0.00087653-0.00045161i,0.0015866+0.000539i,0.0022453-6.8262e-05i,0.0027735-0.00069948i,0.0029372-0.00099272i,0.0033488-0.00097312i,0.0036871-0.00094923i,0.0031634-0.0016062i,0.0025775-0.0022732i,0.0014303-0.0020891i,0.00026496-0.0013442i,-0.00052018-7.9578e-05i
0.00092296-0.0019024i,-0.0015578-0.0018803i,-0.0011361-0.0024382i,0.00058546-0.0012803i,0.00076929+0.0011469i,0.0010418+0.0019963i,0.00034571-0.00031184i,-0.0017443-0.0030465i,-0.0025931-0.0030898i,-0.00076814-0.0016563i,0.00070896-0.00091275i,0.0012567-0.00030035i,0.0012505-0.00015332i,0.00071027-0.0018456i,-0.00012328-0.0035525i,-0.00089425-0.0045045i,-0.0009755-0.0043466i,-0.00046783-0.003659i,0.00017092-0.0020712i,-0.00040249-0.00071066i,-0.0010807-0.0013509i,-0.0012843-0.0012847i,-0.0011765-0.00033218i
-0.00066067-0.0018858i,-0.00077571-0.00098933i,-0.00022624-8.9906e-05i,0.0021129+0.00091156i,0.0021333+0.0014373i,-0.00056569+0.0021901i,-0.0034233+0.0018069i,-0.0041466+0.00093217i,-0.002129+0.00097982i,-0.00089612+0.00095311i,-0.0016037-0.00021237i,-0.0018546-0.0014163i,-0.0023836-0.0018942i,-0.0032787-0.0015097i,-0.0044217-0.0010532i,-0.0055869-0.00085151i,-0.004797-0.00030781i,-0.0030083-0.0012579i,-0.00074335-0.0028688i,0.0011586-0.0026886i,0.0011928-0.0017123i,0.00024794-0.0010933i,-0.00051638-0.0008142i
