-0.005337+0.0016477i,-0.0042359+0.0023105i,-0.0035513+0.003149i,-0.001573+0.0027191i,-1.3733e-05+0.0018928i,0.000525+0.0020233i,0.0004011+0.0022004i,0.00098114+0.0025008i,0.0017281+0.0023383i,0.0023241+0.00052832i,0.002169-0.00073201i,0.0012665-0.0012644i,0.00090137-0.001853i,0.00043461-0.0019393i,-0.00081545-0.0014088i,-0.0017487-0.00050614i,-0.0013258-0.00052977i,-0.0003683-0.00063422i,0.00092629-5.824e-06i,0.0015071+0.00011029i,0.00058182-0.00033024i,-0.0001989-0.00054788i,-0.00016912+0.00056288i
0.0010892+0.00099103i,0.00057038+0.0016643i,-0.00012302+0.00037595i,-0.0014365-0.0011683i,-0.0024844-0.0014278i,-0.0019741-0.0008295i,-0.00071077-0.0003293i,6.7161e-05-5.425e-05i,-8.2512e-05-0.00026061i,-0.00050585-0.00081231i,-4.0616e-05-0.00072145i,-3.5544e-05-0.0003336i,-0.00067792-0.00029537i,-0.00075123-0.00064628i,-0.0001104-0.00026275i,-0.00024622+0.00034659i,-0.00014229+8.6278e-05i,0.0012732+0.00027019i,0.00096884+0.0008086i,5.7565e-05+0.00011978i,-0.00034587+0.00017846i,-0.00014368+0.00046728i,0.00040613-0.00038238i
-0.0030469-0.00083668i,-0.0040341+0.00048973i,-0.0036766+0.0013596i,-0.0022957+0.001745i,-0.0013766+0.0020193i,-0.00075504+0.0024644i,0.0001593+0.0018263i,0.00069668-3.6599e-05i,-0.00019444-0.001075i,-0.0013787-0.0011033i,-0.0015397-0.0010248i,-0.0012986-0.0007477i,-0.00014326-0.00049533i,0.00074233-0.00050483i,0.00083209-0.00065796i,0.00054371-0.00036681i,-9.364e-05-0.00022219i,0.000129-0.00012384i,0.0001719-0.00046244i,-9.0091e-05-0.00098398i,-0.00015417-0.00030909i,2.0658e-05+0.00030701i,-0.00015342-3.5319e-05i
0.0013325-0.0024447i,0.0012975-0.0021042i,0.00076389-0.0021357i,8.2718e-05-0.0012238i,-0.0002401-0.00018957i,0.00053622+0.00025955i,0.00080094+0.00015206i,0.00041603-0.00044018i,-0.00055036-0.0013813i,-0.0006989-0.0014171i,-0.00043656-0.00097751i,-0.00023365-0.00075523i,0.00070726-0.00049168i,0.0010418-0.00084527i,0.00077049-0.0011172i,0.00054447-0.0006612i,0.00026542-0.00065759i,2.0853e-05-0.00082107i,0.00014013-0.00044186i,0.00086534-4.7688e-05i,0.00091901+0.0002354i,0.00062564+0.00048296i,0.00051811+8.2185e-05i
-0.0003665+0.00073669i,-0.00020406+0.00042182i,-0.0010803+0.00052332i,-0.0012564-0.00029442i,-0.00099485-0.0015767i,-0.0017167-0.0012818i,-0.00089188-0.00048079i,0.00055904-0.00056031i,0.0014349-0.0013693i,0.0017653-0.001514i,0.00055251-0.00090008i,0.00038123-0.00083733i,0.0010621-0.00015507i,0.00063897-0.00045645i,-7.1153e-05-0.001026i,0.00029942-0.00078411i,0.00052596-0.00019836i,0.00011666+4.7568e-05i,-0.00024995-0.00048338i,-0.00080327-0.00048702i,-0.0011553-0.00041978i,-0.00073529-0.00030051i,-0.00026178-0.00056718i
0.00095621-0.00020041i,0.001234-0.00064423i,0.00089412-0.0009738i,0.00056834-0.0021174i,-0.000217-0.0017971i,-0.0010162-0.00010147i,-0.00062427+0.00079393i,0.00063394+0.00033813i,0.00070088+5.8794e-05i,0.00027421+8.1664e-05i,0.00019082-0.00033953i,-0.00064423-0.00026531i,-0.00047642-0.00049055i,0.00038446-0.00065324i,0.00022636-0.00030551i,-0.00092168-0.00054526i,-0.0013692-0.00053899i,-0.00053294-7.4923e-06i,0.00076456-7.0923e-06i,0.00085311-0.00017693i,0.00051971-0.00043129i,0.00019412-0.00079621i,-7.3123e-05-0.00019241i
0.00079124+0.00034016i,0.00055353+0.00029904i,0.00029097-0.00033736i,0.00013372-0.00089942i,-0.0011749-0.0010919i,-0.002043-0.00096722i,-0.00049627-0.00037892i,0.00085304+0.00021876i,0.00085689+6.4649e-05i,0.00073377-0.0004773i,0.00012497-0.00041984i,-0.00028432+0.00050981i,-0.00041574+0.00030823i,-4.3748e-06-0.00016901i,0.00038941+0.00022539i,0.00064689+0.00023112i,0.001054-0.00016659i,0.0009299-0.00044588i,0.001012-0.00026228i,0.0012359-4.8624e-05i,0.00032147+4.574e-05i,-0.00091895-0.00018545i,-0.00079067-0.0005653i
0.0011157+0.00011264i,0.001494-0.00022506i,0.0015639-0.0014371i,0.00065746-0.0021663i,-0.00046364-0.0014608i,-0.00093273-0.00014602i,-0.00096232-7.6391e-05i,-0.00082884-0.00073581i,-0.00041514-0.0011755i,-0.00013541-0.0014197i,-0.00024232-0.0013094i,0.0002623-0.0010464i,6.3466e-05-0.00086335i,-0.00042587-0.00040823i,0.00020042+9.9524e-05i,0.00068806-5.9331e-05i,0.00055892+8.7245e-06i,0.00027539+0.00019316i,0.00029842+0.00045233i,0.00010788+0.00047544i,-0.00070703+0.00017246i,-0.00053645+0.00026909i,-0.00022443+6.6281e-05i
-0.00079769-0.0011i,-0.0012561-0.00075562i,-0.0026757-0.0010162i,-0.0027989-0.00077886i,-0.0022207-0.00086181i,-0.00056224+6.463e-05i,0.00087645+0.00013533i,0.00036166-0.00097885i,-0.00069069-0.0013279i,-0.0012954-0.0015291i,-0.00091071-0.0017109i,-0.00053085-0.0014886i,-0.00050428-0.0010252i,-7.4071e-05-0.0012761i,0.00031954-0.0014369i,0.00037901-0.00086218i,0.00047349-0.00042618i,0.00045328-0.00039645i,0.00029729-0.0010621i,7.6957e-05-0.0011645i,0.00014036-0.00042476i,0.00037735+0.00046882i,0.00082349+0.00071408i
0.0016366-0.00078913i,0.00062171-0.00069293i,2.3157e-05-0.00074296i,-9.998e-05-0.0011407i,-0.00069254-0.0015204i,-0.00059901-0.0010735i,7.5749e-05-0.00062047i,0.00056781-0.00073388i,0.00071965-0.0013397i,0.00058593-0.0017231i,6.7249e-05-0.0017984i,-0.00089085-0.0018417i,-0.00085644-0.0018013i,8.9448e-05-0.0015026i,0.00096527-0.0012759i,0.0013232-0.00088608i,0.001014+6.0749e-05i,0.00073017+0.00026816i,0.0005095-0.00013887i,-0.00029987+2.1641e-05i,3.3087e-06-0.00024824i,0.00080224-0.0004925i,0.00066382-0.00044571i
0.00034106+0.0006108i,0.0003809-0.0014256i,0.0012539-0.0029301i,0.00058313-0.0031478i,-0.00071332-0.0019915i,-0.0012141-8.7512e-05i,-0.00055968-0.00023773i,0.00028306-0.0011392i,0.00041076-0.0014881i,0.0011094-0.0016537i,0.0011194-0.0015453i,-0.0001226-0.0011809i,-0.00083036-0.0010811i,-0.00028359-0.00098936i,0.00068776-0.0010094i,0.0010217-0.00071711i,0.0005348-0.00029283i,0.00027654-0.00014365i,0.00066993-0.00010751i,0.00067119+0.0001749i,8.1311e-05+8.836e-05i,-8.9736e-05-0.00011261i,-1.8792e-05+0.00023566i
