0.0012176+0.0022256i,-0.000335+0.0011419i,-0.0018137+0.000153i,-0.00234-0.00066404i,-0.0021616-0.00042008i,-0.0016469+0.00040699i,-0.00099886+0.0012556i,-0.00027798+0.001586i,0.00075729+0.00087053i,0.0015559+2.4694e-05i,0.0012352-0.00030066i,0.00044437-0.00042227i,0.00014757-9.0298e-06i,0.00023531+0.00025688i,-0.00049352-9.5461e-05i,-0.0007454+5.1885e-05i,-0.00034519-2.7806e-05i,-0.00023364-0.00055901i,-0.00065571-0.00033037i,-0.00036295+0.00046165i,6.8189e-05+0.00037229i,-0.0001267-0.00017773i,-0.00022736-0.00063833i
0.0010723+0.0012379i,0.0011409+0.00060717i,0.0006816+0.00017122i,-0.00038242+0.00022457i,-0.00012252+0.00022863i,0.0003217-0.00012825i,0.00020382-0.00053813i,-0.0001765-0.00032564i,-0.00055449-0.0002139i,-0.00094764+2.2543e-06i,-0.0016645+0.00060048i,-0.0017795+0.00045792i,-0.0011957-0.00049006i,-0.00064531-0.00030327i,0.00013441+0.00052178i,0.00093669+0.00048347i,0.001199+0.00034015i,0.0007193-0.00029533i,9.3696e-05+7.5286e-05i,0.00012633+0.0011659i,-0.00030672+0.0011024i,-0.0003649-0.00021216i,-0.00077207-0.00077196i
0.0016701+0.0014697i,0.0025383+0.0002914i,0.0022605-0.00099907i,0.00079911-0.0019037i,-8.9023e-05-0.0014068i,0.00028407-0.00065369i,-0.00055506+0.00010499i,-0.00094319+0.00086977i,-0.00090859+0.0003182i,-0.00066686-0.00073087i,0.00055031-0.00087952i,0.0005342-0.00036421i,-0.00023983+0.00032112i,-0.00061119+6.9732e-05i,-0.00080155-0.00014016i,-0.0011256-0.00013267i,-0.00090784-5.3358e-05i,-0.00016817-0.00016398i,0.00014978-0.00084624i,0.00071853-0.00077968i,0.00061351-0.00029731i,-0.00027586-0.0004282i,-0.00020739-0.00084934i
0.00023615+0.0025623i,0.0021893+0.002103i,0.0036166+0.0016527i,0.0031702+0.0011749i,0.0017474+0.001261i,0.00095192+0.00055862i,0.00066937-0.00058949i,0.00065398-0.00070398i,0.00049947-0.00068994i,0.00037011-0.00079825i,0.00037833+0.00010494i,0.00013414+0.00031802i,-5.3957e-05+2.9309e-06i,-0.00032216+6.3416e-05i,-0.00025673+0.00028807i,0.00025968-9.6285e-05i,0.00024145-0.00014657i,-0.00021036+0.00030962i,-0.00019346+0.0006333i,-6.1607e-05+0.00071199i,0.00063417-8.2359e-05i,0.0013775-0.00034367i,0.00077025+7.4812e-06i
-0.0010617+0.0014168i,0.0010592+0.0018167i,0.0023435+0.0015822i,0.0016694+0.0010415i,9.908e-05+0.00061669i,-0.0005792+0.00018655i,-0.0015605-0.00063201i,-0.0019089-0.00096182i,-0.0010025-0.00037216i,0.00030553-0.00024317i,0.00070741+0.00051909i,0.00021526+0.0011595i,0.00028715+0.00046539i,0.0004516-0.00084553i,0.00095038-0.0021126i,0.00034472-0.0014i,-0.00086189+0.00024179i,-0.001201+0.0010599i,-0.00097737+0.00055449i,-0.0010397-0.00015565i,-0.00060004-0.00029052i,0.0004047-0.00036133i,0.00026452-0.0002085i
-2.4135e-05+1.5183e-06i,0.00048057+0.00035128i,0.00045271-0.00074857i,5.0836e-05-0.0016609i,0.00033705-0.00072333i,0.00047991+0.00047875i,0.00060055+0.00028121i,0.00090021-0.00020265i,0.00028499-0.00014997i,-0.000396+0.00026694i,-0.00077197+0.0010471i,-0.00014803+0.0014952i,0.00040749+0.0011553i,0.00047364+0.00067029i,-0.00013749+0.00033856i,-0.0007582+0.00072795i,-0.00066183+0.00060169i,-0.00019218+3.8817e-05i,0.00037002-0.00020346i,0.00067414+8.3912e-05i,0.00022714+0.00075294i,0.00026058+0.00030016i,5.2951e-05-0.00040673i
0.0010588+0.00077182i,0.0015574+0.0018821i,0.0019131+0.0011521i,0.0013632+0.0004801i,0.00031266+0.00055497i,0.00029281-7.0295e-05i,-5.6448e-05-0.00069949i,-0.00099843-0.00031449i,-0.00069846+0.00078923i,-0.00013824+0.0010571i,-0.00022371+0.00082212i,-0.00035149+0.0010413i,0.00015501+0.00052752i,0.00050308-0.00032707i,0.00051997-0.00037127i,0.00071744-0.00040624i,0.00088345-4.1924e-05i,0.00090046+0.00078827i,0.00057404+0.00083535i,0.00043319+0.00017842i,4.529e-05-1.9429e-06i,-0.00029957+0.00025822i,-0.00047912-8.4749e-05i
0.00058259+0.00028911i,0.00027742+0.0014962i,-0.00019762+0.00090684i,-0.00012512+3.5173e-05i,0.00050639+0.00059223i,0.00071145+0.00020842i,-0.00025839-0.00050286i,-0.00088529-0.0012035i,-0.00030108-0.00065109i,0.00051048+0.00015397i,9.0118e-05+7.1068e-06i,-0.00078507+2.4878e-05i,-0.00094257-0.0002722i,-0.00045323-0.00064551i,-0.000163-0.00076343i,-0.00034622-0.00037777i,-0.00049278-0.0002561i,5.6758e-05-0.0010638i,0.00040278-0.00073743i,-0.00016742-0.00014902i,-0.00030457-0.00053696i,1.5963e-05-0.00026895i,-4.8032e-05+4.7358e-05i
0.0007855+4.3333e-05i,0.00028249-0.0011068i,-0.00018757-0.0018727i,0.00015019-0.0013872i,0.0011647-0.0010089i,0.0011541-0.0015136i,0.00082091-0.0016009i,0.00094666-0.00084889i,0.00050388+8.4352e-05i,3.007e-05+0.00083233i,-0.0003392+0.0011142i,-0.00067592+0.00037793i,-0.00067045-0.0005049i,-0.00021715-0.00034257i,-0.00015244+0.00062566i,-0.00029687+0.00095897i,-0.00041756+0.00048477i,-0.00015508+0.00020773i,-0.00017609-0.00063576i,-6.8611e-05-0.0011031i,3.4538e-05-0.0006233i,0.00045043+0.00026543i,0.00076435+0.00042924i
0.0015485+0.0012819i,0.001179+0.00027273i,0.00079656-0.00016978i,0.00039323-0.00080689i,-0.00010707-0.0014447i,-0.00046275-0.00097557i,-0.00095972-0.00083508i,-0.00052682-0.0010866i,0.00021106-0.0010171i,0.0002848-0.00084307i,0.00047845-0.00047937i,0.00013195-0.00018457i,-0.00020239-8.309e-05i,-0.00015895+0.0005004i,-0.00080045+0.00072925i,-0.0016877+0.00051287i,-0.0018447+0.00049823i,-0.0010898+0.00038659i,-0.00014472+0.00032905i,0.00042026+0.00030614i,0.00019816+0.00082486i,0.00022227+0.0012548i,0.00019207+0.00053147i
-0.00042682-0.0016943i,8.1469e-05-0.0023176i,-8.4083e-05-0.001403i,-0.00060885-0.00045455i,-4.8823e-05+0.00037985i,0.0007706+0.00044377i,0.0011368-0.0005852i,0.00053006-0.0018343i,-0.00027795-0.0023762i,-0.00056479-0.0014757i,-0.00037821-3.0465e-05i,-0.00023926+0.00039806i,-0.0002908+0.00058837i,-9.724e-05+0.00079001i,0.00061129-0.00010631i,0.00097103-0.00018267i,0.00074457+0.00023296i,0.00024267-2.5191e-05i,7.2515e-06-0.00015843i,0.0003039-0.00068158i,0.00063125-0.00061129i,0.00064374-0.00019457i,0.00038651+0.0002828i
0.0013738+0.00014412i,0.00097083+0.0010334i,0.0013388+0.00084301i,0.001498-1.4659e-05i,0.0010227-0.00062953i,0.00064572-0.00053637i,0.00020686-0.00043373i,-0.00031276-3.9669e-05i,-0.00047118+0.00026915i,-0.00022863+0.00020848i,-0.00050451+2.8418e-05i,-0.00048208+0.00017045i,0.00041704+0.00021274i,0.00060719+0.0003951i,3.4548e-05+0.00086965i,-0.00058497+0.00056568i,-0.0010996+6.964e-05i,-0.00044505+0.0001251i,0.00020291-1.2203e-05i,-0.00042235-0.00055485i,-0.0010679-0.00028084i,-0.00089283+0.00069057i,0.00017189+0.00061926i
0.003249+0.0016062i,0.0023266+0.00030026i,0.00083774-0.0010602i,0.00066521-0.00086291i,-0.00017548-0.00022303i,-0.00052459-0.00041777i,-0.0006107-0.0007934i,-0.00067606-0.00066165i,3.3483e-05-0.0010771i,1.5754e-05-0.0011541i,-0.0005757-0.00093236i,-0.00067361-0.00082753i,-0.00069704-0.00041096i,-0.00050428-0.00045435i,-0.00097143+0.00021655i,-0.0014183+0.0010014i,-0.00071728+0.0013048i,0.0001682+0.0008583i,0.00035093+0.00054883i,-0.00026003+0.00068076i,0.00069439+7.0665e-05i,0.0012197+0.00010707i,0.00015093-0.00044165i
0.0014272+0.0017139i,0.00085893+0.00016674i,-0.00066525-0.0014104i,-0.0020085-0.0020849i,-0.002131-0.0013351i,-0.00092499-0.00028003i,-0.00027564+7.0468e-05i,-0.00035772+0.00047406i,0.00062437+0.0010688i,0.00016856+0.0002103i,-0.00073897-0.00066065i,-0.00017209-2.6124e-05i,0.00052105+0.00044015i,0.00044406+0.00026399i,-0.0001343-5.6965e-05i,-0.0006999+0.00010901i,-0.00050037+0.00020057i,0.00023714+0.00027226i,6.5241e-05+0.00066051i,-0.00031165+0.00099953i,0.00037769+0.00064405i,0.0009734-0.00022048i,0.0011074-0.00058553i
-0.0011812-8.2121e-05i,0.00078483+0.00023822i,0.0032098-0.00013776i,0.003922-2.2891e-05i,0.0033495-0.00025331i,0.0020898-0.00028879i,0.00072764-0.00088699i,0.00027151-0.0014364i,0.00013999-0.00083186i,-0.00034147-0.00023784i,-0.00068359+1.6409e-05i,-0.00090996+0.00092125i,-0.00077126+0.00085857i,9.1789e-06+0.00044994i,-0.0001384+0.00016917i,-0.00079348-0.00068638i,-0.00021603-0.0014627i,0.00033478-0.001011i,8.8703e-05-0.00015983i,-0.00036772+0.00016625i,-0.000327+0.00061426i,-0.00049156+0.00081185i,-0.00010881+0.0010315i
-0.00091624-0.00034099i,-0.0012349-0.00037005i,-0.0017895+0.00027226i,-0.0024161+0.0011583i,-0.0017586+0.0011873i,0.00022501+0.00017617i,0.00077646-0.0011106i,0.00072079-0.0014511i,9.5555e-05-0.00090387i,-0.0005447-0.0007418i,-3.5729e-05-0.00036155i,0.00035019+0.00033793i,0.00043471+0.0005383i,0.00057701+0.00027101i,0.00026763+0.00031363i,0.00053118+0.00058768i,0.00047657+4.7095e-06i,0.00024376-0.00078498i,7.9298e-05-0.00030428i,1.251e-05+0.0001313i,-0.00010357-0.00023897i,0.00053879-0.00015054i,0.001137-0.00041451i
7.5836e-07+0.00041197i,0.0023022+8.3242e-05i,0.0029245-0.0011071i,0.0013402-0.0014162i,0.00016359-0.00022508i,0.00058047+0.00091743i,0.00078681+0.00042237i,0.00037375-0.00074097i,-0.00029861-0.00053855i,-0.001072+0.00018244i,-0.0010596-1.7604e-05i,-0.00030007-0.00082281i,0.00046568-0.0011836i,0.00047644-0.00053095i,0.00010337+0.00023787i,-0.00056616+0.00051212i,-0.00069403-0.00015958i,6.7727e-05-0.00014691i,0.00062829+0.001376i,0.0003659+0.0017259i,-0.00014689+0.00035043i,0.0002915-0.00010623i,0.00083726+0.00046085i
-0.00020054-0.00087748i,0.00050233+0.00041102i,0.0020451+0.00052656i,0.0032747+0.00079677i,0.0026088+0.0018757i,0.00097443+0.0011311i,0.00054752-4.7833e-06i,0.00058219-0.00038382i,0.00028242-0.00035899i,-8.5178e-05+8.8492e-05i,-0.00056884+0.00032326i,-0.0004148-0.00029636i,-7.7384e-05-0.00056856i,0.000201-0.0001206i,0.00039113+0.00011314i,-1.0399e-05-0.00022735i,-0.00028878-0.00020907i,0.00020125+4.1696e-05i,0.00040496-0.00036492i,-0.00020787-0.00028484i,-0.0008266+6.6945e-05i,-0.0010059+0.00028108i,0.00018202+0.0003041i
0.0016401+0.0023262i,0.0014024+0.0035528i,0.0015919+0.0031575i,0.00041493+0.0019993i,-0.00070826+0.00083755i,-0.00041563-0.00045813i,-0.00019855-0.0016356i,0.00032011-0.0025771i,0.0003858-0.0017249i,0.00031402-0.00076556i,-0.00032027-0.00055683i,-0.0014187-0.00027157i,-0.00081728+0.00035842i,0.00038904+0.00070691i,0.00018209+0.0004104i,-0.0003223-0.00038502i,3.7858e-05-0.00071363i,0.00034245+0.00010567i,0.00026999+0.00031896i,0.00078744+0.00040821i,0.00099847+5.6533e-05i,0.00053688-0.00014196i,0.00020068+0.00023047i
3.3026e-05+0.0029537i,0.00014879+0.0023522i,-0.00030927+0.00092272i,-0.00057162-0.00068746i,3.5164e-05-0.0009244i,0.0012103-0.00027462i,0.0013277-0.00052249i,-0.0001737-0.00057122i,-0.0008034-0.00036442i,0.00013125-0.00015422i,-3.0061e-05+0.00030331i,-0.00030199+0.00050347i,0.0001133+0.00054044i,-0.00015091+0.00062326i,-0.00048903-0.00028556i,-0.00018377-0.00097345i,-0.000228-0.00072608i,-0.00017062-0.00058629i,0.00028247-0.00033862i,0.00067425-0.00010459i,0.00013775+0.00038881i,3.2936e-05+0.00035192i,3.3602e-05+0.00013223i
-0.0010283+0.0022763i,-0.00033918+0.0029198i,0.00084171+0.0020375i,0.0020823+0.0014138i,0.0019263+0.00083229i,0.0013785-0.0007731i,0.00043925-0.0014979i,-0.00024039-0.0017594i,0.00017972-0.0013597i,0.00084875-0.0002445i,0.00028732-0.00010418i,8.7123e-05-0.00039459i,8.4698e-05-0.00048901i,-0.00064011-0.00016459i,-0.00070393+3.8847e-05i,-0.00058579-0.00015603i,-0.00099969-0.00022967i,-0.0011098-0.00016461i,-0.00020214+0.00016659i,0.00033258+0.00015419i,0.00039276-0.00027024i,5.1571e-05+6.5337e-05i,-0.00010489+0.00021983i
-0.00089386+0.00011361i,-0.00032777-7.8488e-05i,-3.2144e-05-0.00028867i,-3.7187e-05+4.5977e-05i,-5.3449e-05+0.00023884i,-3.1686e-05-0.00040055i,0.00013649-0.00022479i,0.00018922-9.2216e-05i,0.00016007-0.0005234i,0.00075068-0.00073946i,0.0010753-0.00062577i,7.6992e-05-0.00027538i,-8.1213e-05-0.00011122i,0.00012303+0.00023522i,-0.00044377+0.00026236i,-0.00051321-7.2941e-05i,-0.00090029-6.7794e-05i,-0.0013122-0.0005621i,-0.0012195-0.00093609i,-0.00082465-0.00050468i,-0.0010917-0.00097973i,-0.0012765-0.0018938i,-0.00086137-0.0011836i
-0.00046033-0.00043883i,-0.00066659-0.0016312i,-0.00079398-0.0021092i,-0.00058984-0.001899i,-3.3699e-05-0.0016195i,0.00049906-0.00050775i,0.00035557-9.8555e-05i,0.00043804-0.00052255i,0.00062266-0.00031009i,-5.3882e-05-0.0002638i,-0.00049865-0.00025738i,-0.00050885-0.00018644i,-9.3034e-05+4.715e-06i,-0.00030181+0.00010297i,-0.00043008-0.0004049i,-0.0007074-0.00041587i,-0.0010427+9.8315e-05i,-0.0001939+0.00011639i,0.00068703-0.0001178i,0.00037406-0.00017816i,-0.00011512-0.00054675i,-4.9279e-05-0.00049796i,0.00021986+0.00026213i
-0.00018558+0.00061624i,0.0019333+0.0008135i,0.0017707+0.0014004i,4.5901e-05+0.0017431i,8.2429e-05+0.0014775i,0.00088852+0.00073722i,-0.00028516-4.0154e-05i,-0.00068653-0.00033691i,-0.00044806+0.0002424i,-0.00060124+0.00048651i,-8.122e-05+0.00070473i,0.00037049+0.00069315i,0.00056158+0.0005257i,0.0011016+0.00057391i,0.0014014+0.00084926i,0.00056767+0.00065512i,0.0001829+0.00054985i,8.6781e-05+0.00060943i,-0.00068724-0.0001209i,-0.00019558-0.000982i,0.00067274-0.0015716i,0.0010509-0.0011205i,0.00072389-0.00058891i
-0.0019459+0.0010749i,-0.0021469+0.0021518i,-0.0021027+0.002642i,-0.0010138+0.0021775i,-0.00010398+0.00291i,0.00082997+0.0022263i,0.001097-0.00033371i,4.2485e-05-0.00087029i,-0.00040455-0.00061157i,0.00039163-0.00061526i,0.0006736+8.3005e-05i,0.0008941+0.00059528i,0.00092122+0.00023241i,-0.0001774-0.00059662i,-0.00030208-0.0015718i,0.0002743-0.0014662i,-0.00030857-0.00055992i,-0.00037555-0.00043728i,4.8854e-07-1.3915e-05i,-0.00039143+6.2097e-05i,-0.00038813-0.00024339i,0.00012965-0.0004988i,0.00031285-0.00089757i
-0.0021962-0.00038086i,-0.0021485+0.00019547i,-0.0019363+0.00072074i,-0.00073978-1.653e-05i,-3.4145e-05-0.00023613i,-0.0011233-0.00063224i,-0.0022421-0.0020928i,-0.002022-0.0016843i,-0.0013204-0.00036862i,-0.00032237-0.00039775i,0.00074586-0.00024659i,0.0012171+0.00030869i,0.00070999+0.00028286i,-0.00012284-0.00021846i,-0.0002161-0.00017722i,0.00040236-6.3701e-05i,0.00061246-0.00023907i,-0.00015133-0.00057584i,-0.00020669-0.0010264i,0.00058323-0.00060679i,8.8011e-05+0.00019894i,-0.00046645+0.00010515i,-0.00015025+2.3489e-05i
-9.2571e-05-0.00035459i,0.00072124+0.00020452i,0.00035437+0.0005023i,0.00047053+0.00038974i,0.0012569+8.2735e-05i,0.0018132-0.00083359i,0.0015218-0.0024296i,0.000453-0.0027225i,-6.5144e-06-0.00066536i,-0.00024862+0.00045156i,-6.7118e-05+2.2235e-05i,0.00043742+0.00032867i,0.00043838+0.0005964i,0.00076273+0.00049446i,0.000522+0.00048119i,0.0001688+0.00036722i,0.000474+0.00018156i,0.00059217-6.7183e-05i,0.00024138+0.00022203i,0.00058236+0.00016267i,0.00067025-0.00055701i,0.00032627-0.00031955i,-0.00029163+0.00017101i
-0.0015217+0.00060469i,-0.0010281+0.00014276i,0.00043935-0.00081687i,0.00041865-0.0021779i,-0.00010463-0.0011832i,-0.00054796+0.00054735i,-0.00074253+0.00071151i,-0.00053923+0.00037639i,-0.00070737+0.00022089i,-0.00052224+0.0003101i,0.00045091+0.00049721i,0.00087289+0.00068408i,-0.00072502-7.6329e-05i,-0.0011353-0.00052023i,-3.3829e-05+1.9166e-05i,-0.00036059+0.00073743i,-0.0009856+0.00040473i,-0.00062687-3.3778e-05i,-0.00014166-8.8369e-05i,3.0571e-05-0.00039327i,-0.00059889-0.00051039i,-0.00037877-0.00010739i,-9.9426e-05+0.00025573i
-0.0028102-0.0018585i,-0.0032658+0.00014292i,-0.0024687+0.0048473i,-7.5112e-06+0.0064479i,0.0020935+0.0045534i,0.0032332+0.00062877i,0.0016087-0.0032135i,-4.7202e-05-0.0031816i,-0.0011317-0.0009456i,-0.00017574+0.00041832i,0.0014285+8.26e-05i,0.0019191-0.0005804i,0.00143-0.00064492i,0.00072574-0.0018022i,0.00065824-0.0023692i,-0.00013576-0.0012811i,-0.0007582-0.00052128i,-0.00094107-9.6174e-05i,-0.0012856+2.1714e-05i,-0.00073646-0.00023739i,0.00030152+0.00010772i,0.00070056+0.00043866i,0.0003361-0.0003717i
0.011064-0.0001175i,0.012285-0.0017561i,0.0099744-0.0059094i,0.0036848-0.0054348i,-0.0011955-0.0040308i,-0.003528-0.0019935i,-0.002003+0.00016337i,0.00073926+0.00014919i,0.0012319-0.0012439i,-0.00018385-0.0025853i,-0.0012538-0.0022488i,-0.0012437-0.0006416i,-0.0014191+0.0015116i,-0.0024736+0.0029216i,-0.0033667+0.0038694i,-0.0020286+0.0034965i,-0.00053861+0.0012263i,-0.00026196+3.9999e-05i,0.00060576+0.00018945i,0.0019382+0.00067616i,0.002328+0.00030318i,0.0015435-0.00083981i,-1.3055e-05-0.0014495i
0.00065825+0.0039111i,0.0015136+0.0043579i,0.0033268+0.0022464i,0.0037232-0.00054283i,0.002223-0.0017968i,0.00028987-0.0012334i,-0.00033715-6.9791e-05i,-0.00072273+0.00061017i,-0.00035489+0.00054083i,0.00056706-0.00029981i,-0.00025854-0.00084997i,-0.0011693-0.00031952i,-0.00144+0.00012808i,-0.0021892-4.9651e-05i,-0.0021627+0.00041243i,-0.0012426+0.0010179i,-0.00061085+0.00087356i,-2.4281e-05+2.3819e-05i,0.00018381-0.00013772i,0.00016573+2.7416e-05i,0.00063805+0.00025893i,0.00085579+0.00078659i,0.00036893+0.0004021i
0.0014573+0.0019361i,0.0020649+0.0016293i,0.0020033+0.00028111i,0.0011006-0.00054609i,0.00044175-0.00083835i,0.00044914-0.0010329i,0.00092008-0.0015283i,0.0011165-0.0018003i,0.0005967-0.0014914i,-6.2017e-05-0.00096164i,-0.00077186-0.00013526i,-0.00055213+0.00047888i,8.3046e-05+0.00071219i,-0.00013111+0.00066684i,3.8983e-05+0.00086611i,-0.00041735+0.00054246i,-0.00011791+4.0119e-05i,0.00055959-2.4498e-05i,0.00034215+0.00034756i,0.00041462+0.00045243i,0.00082912-2.0066e-05i,0.00073339-0.00064287i,0.0002515-0.00077482i
-0.00028874+0.0033689i,0.00094729+0.0021207i,0.0022389-0.00021594i,0.0017931-0.0010566i,0.0011953-0.0013691i,9.1207e-05-0.00050573i,-0.00096889+0.00032162i,-0.00077276-0.00012296i,0.00029489+7.1295e-05i,0.00039696+0.00088389i,0.00037276+0.00032725i,0.0002401-0.00046744i,-0.00011049-0.00036959i,-0.00067315-6.8413e-05i,-0.00094138+0.00026302i,-0.00026618-0.00026589i,0.00065909-0.00031843i,0.0009805+0.00010466i,0.0010875-0.00011101i,0.001741-0.00010096i,0.0019326+2.0329e-05i,0.0010591+0.00020089i,0.00045815+0.00049348i
-0.0004353-0.00044994i,0.0010242+5.4648e-05i,0.0024369-0.00020321i,0.0027534-0.00039809i,0.0012534-0.00020461i,0.00061722-0.00094692i,0.00074245-0.0011576i,0.0004449-0.00070578i,0.00024666-0.00045982i,-5.9787e-05-0.00030105i,-0.00010806+0.00024239i,-0.00038097+0.00082695i,-0.0010162+0.00048497i,-0.0014277-0.00017264i,-0.0013351-0.00043163i,-0.00056828-0.00031611i,-0.00011169-0.00061473i,-0.00027428-0.00038149i,-0.00021934-8.7155e-05i,0.00011799-5.73e-05i,0.00022934-0.00026684i,1.2434e-05-0.00046077i,-0.0001189+7.4274e-05i
0.0012748+0.0025655i,0.0020022+0.00075456i,0.0014775-0.00060261i,-0.00027601-0.0012222i,-0.0013294-0.00058821i,-0.00098857+0.00065669i,-0.00051495+0.00063093i,-0.0003169-0.00032897i,-0.0003134-0.00091806i,-0.00068154-0.0011997i,-0.00052398-0.0007816i,8.1009e-05-6.8984e-05i,0.00039821+5.9953e-05i,-0.00012819+0.00046974i,-0.0010363+0.00042038i,-0.0013676+7.6617e-05i,-0.0007672+0.00086927i,-0.00047449+0.0019013i,-0.0011118+0.0018455i,-0.0012653+0.0010749i,-0.00074434+0.00041022i,0.00013964-1.9884e-05i,0.00011554-0.00044592i
-0.00065148+0.0013604i,-0.00056793+0.0015198i,0.00023099+0.00088238i,0.0014499-0.00049917i,0.0011973-0.0015932i,5.7876e-05-0.001872i,-0.00015266-0.0010631i,0.00019334+0.00029264i,0.00067399+0.00067621i,0.00086167-0.00036387i,-0.00016605-0.0015481i,-0.00027919-0.0021055i,0.00085569-0.00096259i,0.0010312-0.00023089i,0.00015006-0.00053834i,0.00014041-0.00019068i,0.0006709-3.7582e-05i,0.00076223+0.00011069i,0.00065317+0.00022997i,0.00015833+0.00011377i,-0.00037373-5.625e-05i,-0.00029777-0.0001753i,-7.7175e-05-0.00014595i
0.00051162+0.00053867i,0.001648-0.00028158i,0.0013833+0.0012114i,0.00066955+0.0027269i,0.00026365+0.0026556i,0.00027031+0.00177i,-0.00058892+0.00061058i,-0.00040971-0.00011842i,0.00035244-0.00072338i,0.00017581-0.0011108i,-7.1477e-05-0.00077825i,-0.0002049-0.00022212i,5.9358e-05-0.0010848i,-6.5058e-05-0.001042i,-0.00051666+4.9708e-07i,-0.00080564+0.00011086i,-0.00079533+0.00026434i,-0.00058507+0.00050658i,-0.00091002+1.6516e-05i,-0.001107-0.00068365i,1.8605e-05-0.00011298i,0.00046397-0.00013572i,-0.00048321-0.00048919i
-0.0013005+0.0035088i,-0.0010785+0.0038787i,-0.00049887+0.0015955i,-0.00016649+0.00023444i,0.00072141-0.00068769i,0.002156-0.0018338i,0.0016763-0.0016262i,0.00057774-0.00077613i,0.00021211-0.00017308i,0.00073944-0.00029163i,0.0012542+3.9568e-05i,0.0011884+0.00077789i,0.00070075+0.00056026i,-0.00018311-6.4348e-05i,-0.00076304-0.0010377i,-0.00067558-0.00088641i,-0.00057986+9.1648e-05i,-0.00032656+0.00012355i,-0.00059255-0.00032332i,-0.0008671-0.00096842i,-0.00035299-0.0015871i,0.00075239-0.0010582i,0.0012418-3.1532e-05i
0.00026762-0.0011727i,0.00091477-0.0024742i,0.0026182-0.0037942i,0.0014477-0.0035441i,-0.00014668-0.0017707i,-0.00094708-0.00028066i,-0.001335-0.00018661i,-0.0010694-0.00084015i,9.9012e-06-0.0008871i,0.0005295-0.0013243i,0.00031576-0.0014228i,-1.1642e-05-0.00062017i,-0.00045753+0.00013133i,-0.00038753+0.0014658i,-3.6158e-05+0.0021335i,0.00026032+0.0013967i,-0.00035684+0.00075359i,-0.001+0.0002244i,-0.00018443+0.00015185i,0.00036125-6.0337e-05i,0.00041578-0.00095135i,0.00035373-0.00098316i,8.3111e-05+0.0002635i
0.00018092-0.0006893i,-0.00040723-0.00030009i,-0.00098052+0.00068509i,0.00015209+0.0022725i,0.0011755+0.0021283i,0.001753+0.00020653i,0.0014397-0.00084426i,7.6162e-05-0.001292i,-0.00037358-0.00038607i,0.00014993+0.00058948i,0.00012401+0.00038717i,-0.00027547-0.00015087i,-0.00017454-0.0002072i,-2.1885e-05-7.5871e-05i,6.7301e-05+6.357e-05i,0.00033679+0.0006697i,0.00024558+0.00049353i,-0.00010628-0.00028184i,-7.4678e-05-0.0012015i,-0.00020462-0.0012358i,-0.00026949-0.00048704i,-0.00042696+0.00062381i,9.4822e-05+0.0010229i
0.0019617+0.00077024i,0.0021997+0.00042634i,0.0016812-0.0013897i,0.0005528-0.0021415i,-0.0001097-0.00076523i,-0.00044512+0.0003407i,1.082e-05+0.00022484i,0.00051887-0.00026592i,0.00040158-0.00034235i,-0.00027161-0.00096765i,-0.00091539-0.00086201i,-0.00088658+2.3773e-05i,-0.00098397+0.00024552i,-0.0011563+0.00039568i,-0.00039312+0.00070401i,8.183e-05+0.0014133i,0.00012079+0.0017088i,-5.9386e-05+0.00070788i,-0.00027914-0.00021821i,-3.5934e-05-0.0004069i,0.0001884-5.8706e-05i,-0.0001004-0.00017669i,-0.00012628-0.00031889i
-0.00046295+0.0010631i,0.00025299+0.0019232i,0.00043909+0.0010548i,0.00067806-0.00064722i,0.00080247-0.00046228i,0.0004439+0.00020527i,0.00037143-0.00066703i,-4.4821e-05-0.0011187i,-0.00029725-0.00101i,-0.00014501-0.0010972i,0.00042198-0.00099901i,0.00030916-0.00065256i,0.00017481-0.00076214i,0.0010034-0.00089222i,0.0016651-0.00071928i,0.00032948-0.00058385i,-0.00087141-0.00041323i,-0.00090505+0.00032102i,-8.3902e-05+0.00039834i,0.00080665-0.00011783i,0.0001616-0.0010692i,-0.00033263-0.001148i,0.00050888+0.00038131i
0.00135+0.0013041i,0.0020402+0.00064254i,0.0026271-0.00084509i,0.0015357-0.00030544i,0.00030076+0.00078544i,0.00019459+0.00059933i,0.00095292-0.00057302i,0.0014703-0.00086497i,0.00024171-0.00053543i,-0.00084623-0.00064478i,-0.0010323-0.00032343i,-0.00085365-7.2071e-05i,-4.8555e-05+0.00043296i,0.00029922+0.0015801i,-0.00055587+0.0013591i,-0.00088352+0.00031836i,-0.00023252+0.00028326i,0.00014348+0.00047749i,0.00036405+0.00081712i,0.00088612+0.00045615i,0.0010096-0.00077332i,0.00066623-0.00073198i,0.0004273-0.00015418i
