4.622e-05-0.0023387i,0.00062736-0.0024963i,0.00015264-0.0013318i,-0.00025377-0.00081605i,-4.7498e-05-0.00024404i,0.0011082+0.00064699i,0.0013689+0.0013998i,0.00099345+0.0012378i,0.0012034+0.00069237i,0.0018386-0.00035271i,0.001675-0.0014724i,0.00051493-0.0013024i,4.3204e-05-0.00096853i,0.00049799-0.0012366i,0.00052739-0.0011533i,0.00019644-0.0002047i,-9.5994e-05-0.00054027i,2.9228e-05-0.00032029i,0.00082097+0.00071635i,0.00041448+0.00070321i,-0.00041234+0.00031603i,-0.00049699-0.00011059i,-0.00050462-0.00076028i
0.0033134-0.0020499i,0.0026298-0.0015141i,0.0018543-0.0016353i,0.00023494-0.0021879i,-0.0012208-0.0020946i,-0.00043987-0.0015154i,0.0005397-0.00058588i,0.0012524+0.00019978i,0.00051941+8.8913e-05i,-0.00068536+2.6926e-05i,-0.000238+0.00018406i,0.00029434+0.00049297i,0.0004699+0.0003409i,0.00052231-0.0004098i,0.00042954-0.0004549i,0.00023571+0.00013336i,0.00044177+0.00060549i,0.00034461+0.00077615i,0.00046726+0.00063765i,0.00049085+0.00038136i,0.00033823+0.00062611i,0.00055745+0.00070743i,0.00065585-2.2267e-05i
-0.0015821+0.00038711i,-0.00071637-0.00081014i,0.00071721-2.1793e-05i,0.0011983-0.0002553i,0.0016699-0.00082125i,0.0016721-0.0012598i,0.0012004-0.0012247i,0.0007161-0.00083426i,0.00015285-0.00037802i,4.1837e-05-8.6683e-05i,0.00086101-2.1889e-05i,0.00071829+0.00060579i,-0.00029816+0.00081346i,-0.00083085+0.00067976i,-0.0012217+0.00065016i,-0.0013061+0.00069148i,-0.00051892+0.00089802i,-0.00013866+0.00041129i,9.2835e-05+0.0001857i,0.00040491+0.00061028i,-3.499e-06+0.00081444i,-0.00039667+0.00042393i,-0.0010499-0.00055464i
0.000569-0.00080765i,0.00062787-0.0014691i,0.00086178-0.0015243i,0.0016043-0.0011756i,0.0020159-0.0014541i,0.0019325-0.0018489i,0.0011015-0.0013055i,0.00040324-4.949e-05i,0.00034877+0.00059129i,-3.5154e-05+0.00054253i,-0.00026979+0.00032534i,-1.8645e-05+9.6256e-05i,0.00021277+0.00048133i,0.00016666+0.00096673i,0.00011219+0.00062522i,4.0683e-05+0.00051829i,-0.0003977+0.00040922i,-0.0010492-0.00040726i,-0.00093335-0.00057333i,0.00014016-0.00044722i,0.00049818-2.514e-05i,-2.4849e-05+0.00044362i,-0.00014824-9.9365e-05i
0.00095579+0.00037548i,0.00077053-0.0015004i,0.0010645-0.0020256i,0.0013218-0.0014129i,0.0016523-0.0013949i,0.001715-0.0011393i,0.0016852+4.8148e-05i,0.001617+0.00079199i,0.00027259+0.00029493i,-0.00011742-0.00038719i,0.00040296-0.00016957i,0.00022912+0.00025781i,-0.00026037+0.00061123i,-0.00011024+0.00087576i,9.4086e-05+0.00046636i,-0.00021252+0.00028269i,-0.00016888+0.00048945i,0.00012258+6.4551e-05i,0.00082834-0.00056753i,0.00079168-0.0003233i,7.1535e-05-0.00017703i,-0.00022544-0.00032363i,-0.00087886-0.00090266i
0.0010125+0.00085295i,0.00041473+0.00011394i,0.00035312-0.00069826i,0.00087937-0.0015311i,0.00081359-0.0020951i,0.0005973-0.0014737i,0.00085901-0.00019999i,0.0012914+0.00078824i,0.00062819+0.00023861i,-5.1723e-05-0.00097042i,-5.8107e-05-0.0010527i,-0.00042507-0.00013394i,-0.001055+0.000308i,-0.0012705+0.00016837i,-0.00022147-3.6278e-05i,0.00056014+0.00018488i,7.1352e-05+0.00040412i,-0.00054451+0.00046158i,-0.00059119+0.00096618i,-0.00088775+0.00085533i,-0.0014217+5.1825e-05i,-0.00061304-8.2153e-05i,0.00018973-5.401e-05i
7.8869e-05-0.0017029i,-0.00012217-0.0031415i,4.8956e-05-0.002563i,-1.1606e-05-0.0011845i,0.0003139-0.00046913i,0.001433-0.00032895i,0.0019652-0.00045779i,0.0015579-0.00037966i,0.0016123-0.00015136i,0.00076165+0.00021095i,-3.902e-05-6.9146e-05i,0.00055036-0.00041688i,0.00084244-3.6593e-05i,0.00071504-8.5856e-05i,0.00016265+1.9496e-05i,-0.00090846+0.00057048i,-0.001278+0.00063314i,-0.00037337+0.00024222i,0.00030331+0.00045536i,0.00029801+0.00022344i,-9.9258e-05-0.00092613i,2.603e-05-0.00079108i,2.5942e-05+0.0003943i
0.0022727+0.00024696i,0.0028394-0.0013409i,0.0009274-0.0020526i,-0.0010162-0.0019939i,-0.0010009-0.00088278i,0.00070188+0.00012991i,0.0016308-0.0002009i,0.0014631-0.00044292i,0.00011901-0.0010237i,-8.6973e-05-0.00099096i,0.00073615-0.00059503i,0.00049782-0.00091382i,6.3985e-06-0.00059095i,-0.00017607-0.00031448i,-0.00032739-0.00052724i,-6.7357e-05-0.00086949i,-2.1446e-05-0.00031685i,-0.00036238+0.0007473i,-7.6249e-06+0.0011917i,0.000248+0.0010555i,-0.00044658+0.00028135i,-0.00024205+8.1591e-05i,0.00036835+0.00028874i
0.00057044+8.6067e-05i,0.00012493-0.00011433i,0.00039871-0.00020618i,0.00053701-0.00059061i,0.0004287-0.0016573i,0.00040386-0.00081183i,0.00059048+0.00027035i,0.00073188+0.00032418i,4.6613e-05-0.00032633i,-0.00089939-0.0018001i,-0.00040275-0.0015132i,0.00064497+6.7428e-05i,0.00092044+7.1075e-05i,0.00065778+0.00021821i,0.00065646+3.9379e-05i,0.0009764-0.00067023i,0.0010907-4.405e-05i,0.0007023+0.00077351i,0.00047388+0.00033158i,0.00045582-0.00034252i,0.00086086-0.00035453i,0.00074108-0.00032746i,-0.00033133-0.00053868i
0.0016756-0.0018964i,0.0010539-0.0023738i,0.00062768-0.0022856i,0.00073074-0.0017161i,0.00083957-0.0011951i,0.00095469-0.00093623i,0.0013031-0.00046224i,0.0010535-0.00061965i,0.00064702-0.0010323i,0.0006806-0.00050859i,0.00075266-0.00024951i,0.00015607+5.7218e-05i,3.6556e-06+0.00034336i,0.00060285+0.00010318i,0.00062428+0.00010842i,-6.8073e-05-0.00045122i,0.00041576-0.0011045i,0.0011411-0.00049729i,0.00085083+4.3065e-05i,0.00047815+4.0811e-05i,-0.00033064+0.0001239i,-0.00093862+6.9639e-05i,-0.00011321-0.00014714i
0.0014347-0.0014104i,0.0016944-0.001928i,0.00069209-0.0016531i,0.00045995-0.0013991i,2.6263e-05-0.0011426i,-0.00030859-0.00066924i,0.00018358-0.00047582i,0.00079927-0.00024099i,0.0010113-5.6125e-05i,0.0010517-7.1311e-05i,0.00092315-0.00047349i,0.0010029-0.00078039i,0.0010789-0.00039185i,-0.00014604+1.5232e-05i,-0.00086001-0.00048255i,-0.00014926-0.00080042i,8.1579e-05-0.00027169i,-0.00074657+0.00013888i,-0.0010295+0.00012558i,-0.00086343-0.00024912i,-0.00048837-0.00042787i,-0.00025581-0.0003045i,-0.00031753-9.5814e-05i
-0.00040758+0.000373i,-1.4083e-05+0.00016033i,0.00033172+0.00029615i,0.00050798-1.42e-05i,0.0014939-0.00052875i,0.0020761-0.0013315i,0.0016255-0.001457i,0.0010447-0.00086338i,0.00052036-0.00068085i,0.00023235-0.00071259i,0.00062963-0.00072077i,0.00043104+0.00025342i,0.00023661+0.00077674i,-6.9621e-05+0.00054016i,0.000146+6.9489e-05i,0.00026243+7.8852e-05i,-0.00028748+0.001067i,-0.00029009+0.00079321i,-4.6531e-05+1.3902e-05i,0.00014098-0.00021056i,-7.2766e-05+1.2559e-05i,-0.00037373+0.00014417i,3.2383e-05+3.5517e-05i
8.8045e-05-0.0010574i,-0.00013116-0.0010584i,-0.00021505-0.00012892i,0.0001641+0.00040017i,0.0008486+0.00025377i,0.0010243-0.00054239i,0.00065755-0.00068932i,-0.00013724-0.00031232i,-0.00094472-0.00069692i,-0.0010503-0.0008051i,-0.00043865-0.00018144i,0.00033384-3.7957e-05i,0.0004566-0.00060286i,0.0001721-0.00013158i,-0.00094158+0.00028526i,-0.0016224+0.00030264i,-0.00096344+0.00063335i,0.00038372+0.00032596i,0.00078613+0.00016825i,0.00010259-0.00011083i,-0.00013222+0.00013295i,-0.00023593+0.0004268i,-0.00017863+7.471e-05i
0.00085926-0.0023889i,0.00082085-0.0023554i,-0.00023109-0.0023381i,-0.00048217-0.0019513i,-0.00011123-0.0011947i,0.00080248-0.00057084i,0.001507-0.00040241i,0.001225-0.00067295i,0.00070741-0.00060799i,0.00028917-0.00048804i,0.00058665-0.00095382i,0.00045764-0.0010078i,8.847e-05-0.00031704i,-0.00019606+0.00061401i,-0.00091569+0.00078126i,-0.0006491-0.00031513i,-0.00029065-0.0010075i,2.8518e-05+9.6886e-05i,0.00044053+0.00090878i,0.0010815+0.0007024i,0.0014478+0.00038802i,0.00053664-6.5642e-05i,-0.00065394-0.00046378i
0.0010013-0.0017267i,0.0010871-0.0016786i,-0.00014645-0.0014714i,-0.0003816-0.00082591i,-0.00059835-0.00015354i,-0.00037264-1.2955e-05i,0.00064729-0.00046886i,0.00056138-0.0010343i,-0.00048357-0.0011665i,-0.00059751-0.00060655i,0.00025907+0.00010798i,3.6372e-05+0.0003697i,-0.00066108+0.00047387i,-0.00040628+0.00012869i,1.173e-06+0.00029418i,-6.9409e-05+0.00052276i,-0.00044948+0.00028697i,-0.00067868+0.00023478i,-0.00036793+0.00019766i,0.00040124+0.0003267i,0.0010461-0.00015722i,0.00059207-0.00043131i,-5.2516e-05-0.0007461i
0.0014689-0.00021124i,0.0012653-0.0020151i,0.00071219-0.0020833i,0.00070989-0.0016197i,0.00041234-0.0016477i,0.00078086-0.00067505i,0.0007242+0.00038813i,0.00027379+0.0006367i,-0.00037797-0.0003442i,-0.00097831-0.0012854i,-0.00052698-0.0009164i,0.00022822-0.00039542i,4.1481e-05+0.00010934i,-0.00019943-0.00020461i,-0.00053612-0.00070157i,-0.00016311-0.00017136i,0.00071416+0.00038144i,0.0011337+0.0012532i,0.00059567+0.0011452i,0.0003998-0.00030198i,0.00048582-0.00042055i,0.00046991-0.00029028i,0.00051004-0.00065409i
2.1502e-05-0.00057421i,0.00091648-0.0011555i,0.00026055-0.0010034i,3.7398e-05-0.00053128i,0.0016739-0.00022938i,0.0018139+4.0954e-05i,0.0010972+0.00025417i,0.0013049+3.2346e-05i,0.00088257+7.3177e-05i,0.00059775-0.00017585i,6.1593e-05-0.00087342i,-0.00065102-0.00070652i,-0.00033317-0.00025019i,0.00018756-0.00031538i,-0.00050964+0.00014606i,-0.0006077+0.0012503i,-0.00021226+0.0015712i,-3.207e-05+0.00068468i,0.00015366+0.00022568i,0.00083271+0.00027155i,0.00039568+0.00013068i,-0.00072382+0.00019156i,-0.00059721+0.0004254i
0.00065515-0.00069701i,0.0011273-0.0011264i,0.00093407-0.0018393i,0.0007787-0.0017414i,0.00060128-0.0014807i,0.0011747-0.0015582i,0.0015874-0.00077307i,0.00088963-0.00043394i,0.00028338-0.00058032i,-0.00019762-0.00027531i,-0.00044441+4.097e-05i,-0.00035866+0.00024827i,-0.0004034+0.00029052i,-0.00036662+0.00014291i,-5.0746e-05-9.4101e-05i,-0.00023452+7.1582e-06i,-0.00091245+0.00010022i,-0.0004258+0.00010517i,0.00035504+0.0004781i,0.00052447-0.00016255i,0.0003663-0.00086253i,-0.00010791-0.0002923i,3.5343e-05+0.00050461i
-0.00024198-0.00047431i,-5.6572e-05-0.0016474i,0.00086381-0.00074216i,0.0012491-0.00011455i,0.0012331-0.0012797i,0.00049519-0.0018629i,0.00087468-0.00065263i,0.0014098-8.9103e-05i,0.0014459-0.0002144i,0.00095084+0.00012257i,0.00052562+0.00034971i,0.00045112+0.00041063i,0.00024604+0.00019798i,0.0004587-0.00016529i,3.9342e-05-0.00028545i,-0.0003936+6.0936e-05i,-0.00033145+0.00018173i,-0.00018123+0.00024628i,-0.00065095+0.00027418i,-0.00076836-0.00019228i,-6.2157e-05-0.00057293i,5.3748e-06-8.0584e-05i,-0.00044144+0.00041704i
0.0018307-0.0024799i,0.0015762-0.0029608i,0.0010281-0.0026265i,0.00079074-0.0016417i,0.0012538-0.0011994i,0.0017343-0.00051628i,0.0024742+0.00052724i,0.001673+0.00026903i,0.00062057-0.00062305i,0.00078523-0.00036405i,0.00078967+0.00041779i,0.00040733+7.1009e-05i,0.00042992-0.00023625i,0.00023198-0.00011019i,4.0522e-05-0.00041782i,0.00064919-0.0011242i,0.0007524-0.00072795i,0.00054186-1.903e-06i,0.00030975+2.9156e-05i,0.00048462+0.0001751i,8.952e-05-0.0001651i,-0.00031491-0.00092138i,0.00016435-0.0010141i
0.0019788-0.00057561i,0.0012438-0.00085944i,0.00040839-0.0018287i,0.00018273-0.0020446i,0.00037426-0.001559i,-0.00019604-0.0010402i,-0.00069781-0.00063407i,0.00025781-0.0012353i,0.0010231-0.0017143i,7.5821e-05-0.00092674i,0.00019966-0.0002039i,0.001011+0.00010085i,0.00019065-0.00011371i,-0.00051405-0.00056679i,-0.00036142-0.00088708i,-0.00013625-0.00051873i,-8.5428e-05+0.00067244i,2.0428e-05+0.0009986i,0.00062553+0.00018281i,0.00073731-0.00022835i,0.00016395+0.00024165i,-6.0781e-05+0.00014081i,2.9842e-05-0.00098468i
0.0020947-0.0010455i,0.0015971-0.0016649i,9.3389e-05-0.0020274i,-0.00010389-0.0011156i,0.00045154-0.0010994i,0.00072753-0.0015489i,0.0012459-0.00088436i,0.00078044-1.665e-05i,-6.5515e-05+0.00039646i,0.00019577+0.00049253i,0.00088728+0.00016511i,0.00098607+0.00050004i,0.00063585+0.00051879i,0.00038914-0.00019101i,-0.00012553-0.00033198i,-0.00046313+8.01e-05i,-0.00079217+0.00033154i,-0.00061738+0.00047894i,-0.00051769-3.07e-05i,-0.0007461-0.00037733i,-0.00050999-0.00014744i,0.00058767-0.00024857i,0.001034-0.00059855i
0.0015961-0.00076214i,0.0010233-0.00071078i,6.5743e-05-0.0011911i,0.00025932-0.00045i,0.00043495-0.00029154i,0.0013264+4.7418e-05i,0.0019906+0.00030627i,0.0017195-0.00010233i,0.0011497-0.0001595i,0.00061177+6.7363e-05i,0.00046864-0.00011137i,0.00015291-0.00033389i,0.00026412-9.8931e-05i,0.00036926-0.00041036i,0.00029109-0.00046859i,1.6119e-06+0.00022896i,-0.00053231+0.00027031i,-0.00051605+0.000191i,0.00015921+3.5011e-05i,0.0004576-0.00037546i,0.00031348-0.00072288i,-8.9951e-05-0.00095538i,-0.0001209-0.0010991i
0.0020229-0.0012795i,0.00083345-0.0018655i,0.00062227-0.0021755i,0.0004879-0.0020006i,0.00050708-0.0015344i,0.00010151-0.00041231i,-0.00013418+0.00018582i,0.00037691-0.00075905i,0.00042166-0.00099617i,0.000562+0.00018419i,0.00050905+0.00095499i,0.00020108+0.0011483i,0.00029127+0.0011769i,0.00022438+0.00082016i,0.00023278+0.00014845i,0.00063569-0.0005275i,0.00059952-0.00010024i,-0.00039657+0.00038854i,-3.3624e-05+0.00014123i,0.00063362+0.0002106i,0.00014802+0.00037758i,-6.4644e-05-6.2637e-05i,0.00013172-0.00064125i
0.0026843+0.00075017i,0.0013069-0.00022343i,-0.00040415-0.0021307i,-0.00093015-0.001585i,-0.00023441-0.001002i,0.00060247-0.00023678i,0.0010858+0.00023372i,0.0011473+0.00039564i,0.0011559+0.0010041i,0.00058288+0.00029877i,-0.0001469-0.00052708i,2.044e-05-0.00084793i,-2.2638e-05-0.00087144i,-0.00020171-1.1657e-05i,0.00037074+0.00063096i,0.0010177-9.5644e-05i,0.00089899-0.0010547i,0.00032439-0.00019648i,-0.00055151+0.00014806i,-0.0010001+0.00043419i,-0.00071726+0.0011963i,-0.00012877+0.00077617i,-0.00056712+0.00023333i
0.00038044-0.0017886i,0.0010691-0.0017693i,0.0015893-0.0016317i,0.0012087-0.0016477i,0.00012165-0.0017722i,0.00021233-0.0010303i,0.0015241-0.0002289i,0.0021412-0.00059844i,0.00125-0.0013988i,-0.00031476-0.0015922i,-0.00085751-0.0014445i,-0.00040062-0.0013751i,-2.7108e-05-0.0012437i,-3.5375e-05-0.00059079i,-9.9222e-05-0.00051672i,6.0303e-07-0.00088942i,-0.0002985-0.0009202i,-0.00051632-0.00098355i,-0.00043954-0.00051926i,-0.00040557-0.00062178i,-0.00046957-0.0013064i,2.8103e-05-0.0007516i,0.00027526-0.00026165i
0.00071916-0.0015923i,0.00073379-0.00097699i,0.00054509-0.00080148i,0.00037237-0.00070473i,0.00044873-0.00027208i,0.00048965-0.00044397i,0.00097152-0.00040962i,0.0014581+1.1744e-05i,0.000905-0.00038783i,0.0010134-0.00090614i,0.0011699+0.00041715i,0.00039642+0.0015981i,0.00069399+0.00069778i,0.00077507-6.7347e-05i,0.00043145+0.0006063i,-0.0003305+0.0010092i,-0.00034052+0.00057058i,0.00045553+0.000479i,0.00065426+0.00019315i,0.00091219+2.8139e-05i,0.00016627-5.4858e-05i,-0.00038968+0.00072561i,-0.00035569+0.0012298i
0.0026753-0.00077728i,0.0018016-0.0016846i,0.00027808-0.0022477i,0.00016924-0.0015413i,-0.00013452-0.0015339i,0.00035362-0.0012662i,0.00093588-0.00037203i,0.00064158-0.00032769i,0.00094029-0.00019126i,0.0002538-0.00047142i,0.00030929-0.0011335i,0.00054998-0.00094935i,0.0010055-0.00056518i,0.0013662-0.00041311i,0.00068334+0.00010183i,0.00016215+0.00063409i,-0.00016039+0.00046897i,-0.00072128-0.00031589i,-0.00073709-0.00015241i,-0.00058311+0.00037065i,-0.00061685+0.00046844i,7.7324e-05+0.00029692i,0.00028197-4.818e-06i
-0.0011017-0.0018421i,-0.0007173-0.0014145i,-0.00032613-0.00067014i,0.00070129-4.0078e-05i,0.0015734-0.00018941i,0.0018552-0.00059041i,0.0014212-0.00037911i,0.00055522+3.8437e-05i,0.0002271-0.00045653i,-0.00026208-0.00084447i,0.00014123-0.00051155i,0.00055185-9.4134e-07i,-5.6847e-05+9.2516e-05i,-0.00083718-0.00050478i,-0.00096592-0.00072759i,-0.00077062-9.1561e-05i,-0.00049182+0.00048941i,0.00013617+0.00043132i,0.00058581+4.9495e-05i,0.00040368+0.00017658i,0.00012349-0.00019577i,-0.00023125-0.00062796i,-4.0856e-05-0.00073871i
0.001879-0.0014476i,0.0017523-0.0023081i,0.00097524-0.0027933i,9.9594e-05-0.0020199i,-0.00056795-0.0010063i,1.7365e-05-0.00049496i,0.001019+0.00020358i,0.00056117-0.00067564i,0.0002414-0.0012234i,0.00054187-0.00041721i,-7.2794e-05-0.00029071i,-0.00057832-0.00023943i,0.00012031+0.00041727i,0.00036054+0.00060085i,0.00066716-0.00035432i,0.00084319-0.0011553i,0.00035964-0.00060231i,-0.00025184+0.00067753i,-0.000665+0.00066594i,-1.0499e-05-0.00034742i,0.00062182-0.00043868i,0.00041639-0.00094919i,-7.0494e-05-0.0011875i
0.0018879-0.0021494i,0.0027502-0.002387i,0.0020378-0.0023658i,0.0014313-0.0020248i,0.0013977-0.0011675i,0.0011586+0.00012849i,0.00090227+0.00044573i,0.00083983+0.0001189i,0.00047124-0.00024756i,-8.231e-05-0.00023983i,-0.00035086-3.764e-05i,0.00016763-0.00014648i,0.00041196+0.0004629i,0.00015995+0.00053306i,-0.00015501-0.00016197i,-0.00013096-0.00016712i,0.00012248+0.00012951i,0.00034197+0.00022534i,0.00032531+0.00055662i,-0.00060256+0.00036821i,-0.0012469-0.00030725i,-0.00085267-0.0003444i,-0.00012663+0.00012155i
0.00087865+6.8696e-05i,0.00071714-0.00094645i,0.000404-0.001455i,0.00015108-0.0010947i,0.00045579-0.00046474i,0.001226-0.0003193i,0.0013641+0.00016175i,0.0010671+0.00035095i,0.00025346-0.0007086i,0.00012918-0.001323i,0.00069239-0.00062394i,0.00047185-0.00051976i,2.1709e-05-0.00011702i,0.00011993+0.00016808i,-8.5762e-05-0.00010755i,-0.00031787-0.00020304i,-0.00055707+0.00042152i,-0.00021856+0.00046081i,0.0003956+8.5211e-05i,0.00035028-0.00017099i,0.00037139+2.8086e-06i,0.00054445+0.00032627i,0.00012072+0.00010586i
-0.00042782-0.00031733i,-0.00063235-0.0018574i,-0.00061193-0.0015823i,-4.7527e-05+0.00023008i,0.0010356+0.00086653i,0.0016453+0.00044645i,0.0015347+0.00025855i,0.0015177-7.3886e-05i,0.0014498-0.00031265i,0.00086549+0.00036165i,-0.00018558+0.00037319i,-0.0009421-0.0007261i,-0.00079008-0.00097994i,-0.00049092-0.00024998i,-0.00042046+0.00013594i,-0.00018143-0.00052147i,0.00015313-0.00057739i,7.7276e-05-0.00071766i,-0.00034892-0.00047743i,-0.00023907+0.00052979i,0.00010051+0.0001712i,-0.00060754-0.00058551i,-0.00078826-0.00042448i
