-0.0023494-0.00030526i,-0.0016983-0.00048248i,-0.0018359+0.00031826i,-0.0014924+0.0013076i,-0.0010685+0.0021759i,-0.00014711+0.0017259i,-0.00025685+0.00083149i,-0.00022704+0.0010288i,0.00060429+0.0020201i,0.0011439+0.0017084i,0.0016606+0.00017233i,0.0008304-0.00085752i,-0.0001612-0.0012172i,-4.2007e-05-0.00095648i,0.00072532-0.000431i,0.0012283-0.00074944i,0.00092718-0.0008533i,-0.00025419-0.00042937i,-0.0006426-0.0010647i,-0.00072111-0.0013181i,-0.00083581-0.00076908i,-0.0009314-0.00039305i,-0.00025552-0.00037642i
0.0018044+0.00035779i,0.0021951-0.00050294i,0.0011275+0.00077482i,-0.0006072+0.0016433i,-0.002053+0.0001179i,-0.0023884-0.0017163i,-0.001587-0.0017626i,-0.00056675-7.2293e-05i,0.0003983+0.0017681i,0.0016906+0.000336i,0.002756-0.0032647i,0.0020796-0.004374i,0.0006247-0.0029827i,9.3184e-06-0.0011976i,-0.00033721-0.00044258i,-0.00019872-0.00068333i,-9.0197e-06-0.00038569i,-0.00012368+0.00025271i,-0.00049292+0.00047392i,-0.0001866+0.00054062i,-0.00011441+0.00050505i,-0.00011569+0.00012193i,0.00035393-0.000308i
-0.0011132+0.0026861i,-0.00091132+0.0033851i,0.00084791+0.0036272i,0.0018144+0.0012834i,0.0026033-0.0022824i,0.0035429-0.0032701i,0.0030378-0.001507i,0.0022327+0.0008927i,0.0033354+0.0021097i,0.0048816+0.0012197i,0.0043976-0.00061648i,0.0023765-0.00088533i,0.00033683-0.0009689i,-0.00076416-0.0016248i,-0.0009576-0.0013716i,-0.0011326-0.0010164i,-0.00098312-0.00032273i,-1.4244e-05+0.00021683i,0.00078684-0.0002782i,0.0003869-0.0010822i,8.1883e-05-0.0010076i,0.00057909-0.00071788i,0.0004388-0.00055723i
0.00053248+0.0010635i,0.0019789+0.00080619i,0.0024126+0.0011369i,0.002909+0.00089727i,0.0034806-0.00045745i,0.0045482-0.00082663i,0.0043548-0.00040594i,0.0025847+0.00054607i,0.0015125+0.0017611i,0.00088623+0.0027465i,0.00022089+0.0035054i,0.00069589+0.0025187i,0.00086698+0.00036947i,0.00031449-0.00087513i,0.0003875-0.00030395i,0.00013754+0.00029494i,-0.00036499+5.3251e-05i,-0.00051735+0.00042361i,-0.00034162+2.6686e-05i,-0.00034811-0.00083383i,-5.2052e-05-0.0011388i,-2.2257e-05-0.00089561i,1.8329e-05-0.00069428i
-0.002739+0.0012199i,-0.0037991+0.00058799i,-0.003093-0.00017235i,-0.0013737-0.00011783i,0.00045659+0.0012917i,0.0016773+0.0021371i,0.0014091+0.00099396i,0.000991-0.00044255i,0.00055072+0.00023356i,-0.00070429+0.0024449i,-0.001411+0.0036322i,-0.00073748+0.0027871i,0.0010484+0.00098783i,0.0013681-0.00036479i,0.0008554-0.00027253i,0.00026751+0.00052871i,0.00066016+0.00081925i,0.00092889+0.0010124i,5.004e-05+0.00087298i,-0.0003712+0.00043299i,-0.00019134-0.00019042i,-9.832e-05+2.2815e-05i,0.00076613+0.00062735i
-0.00078318-0.00075749i,-0.00054881-0.0013235i,-0.00083327+0.00077067i,-0.0026929+0.002926i,-0.0041118+0.0026239i,-0.0033856+0.0025158i,-0.0018997+0.0021729i,-0.00076885+0.00097203i,-0.0015749+0.0003728i,-0.0024766+0.00084092i,-0.0022342+0.001043i,-0.00069453+0.0005949i,0.00080996+0.00048337i,0.00068118+0.00042642i,0.00040542+0.00041001i,0.00071118+0.00088779i,0.00095004+0.0014759i,0.00061053+0.0010036i,-0.00034363+0.00058903i,-0.00063623+0.00067922i,3.7835e-05+0.00057347i,0.00028599+0.0012034i,-0.00056643+0.0018719i
-0.00092592-0.0019666i,-0.00077188-0.00093949i,-0.0016947+0.00044466i,-0.0019844+0.0013393i,-0.0021805+0.00047317i,-0.0020546+6.7094e-05i,-0.0013314+0.00017137i,-0.001852-3.7714e-05i,-0.0023835-0.00047497i,-0.00093865-0.0013165i,0.0005794-0.0028973i,0.00044394-0.0030099i,-0.00013057-0.0013977i,0.00025952-9.4371e-06i,0.0013024+0.00028861i,0.00064819+0.00084883i,-7.8623e-05+0.0013429i,0.0002721+0.00061846i,0.00091097-0.00029783i,0.00047033-0.0011332i,-0.00044087-0.0016874i,-0.0010662-0.00084921i,-0.0010296-6.83e-05i
0.0014515-0.00090169i,0.0034845-0.00053706i,0.0035755-0.0010612i,0.0022135-0.0022611i,0.0010695-0.0035361i,0.00065893-0.0036024i,0.00074114-0.0014284i,-0.0003696+0.0015629i,-2.8278e-05+0.0022188i,0.0025233+0.00059631i,0.0028806-0.001617i,0.00018587-0.0019058i,-0.0023601-0.00031235i,-0.0025625-2.6422e-05i,-0.001685-0.0001521i,-0.00097625-0.00018548i,-0.00062782+0.00020992i,-0.00020162+0.00029602i,0.00043967-0.00035216i,0.00086387-0.00044759i,0.0012736-0.00075891i,0.0019209-0.00083095i,0.0010772-0.00049198i
0.00054081+0.00031921i,-0.0015937+0.000152i,-0.001304-0.0013537i,0.00053309-0.0021154i,0.0016699-0.0016898i,0.0022304-0.0012135i,0.0020584+0.00010865i,0.0017597+0.001388i,0.0019643+0.001445i,0.0020153+0.0013534i,0.0012086+0.00078848i,-0.00069968-0.0005771i,-0.0013842-0.0013493i,-0.0012394-0.0013191i,-0.0010657-0.0006948i,-0.00057169-4.5848e-06i,-0.00016344+0.00010246i,0.00012565+9.0592e-05i,-0.00044734-0.00049263i,5.146e-05-0.00066847i,0.00082895+0.00011658i,0.00054612+0.00043348i,0.00073822+0.00020703i
-0.00036171-0.0012259i,-0.00046307-0.0010734i,-0.0014234+0.00011016i,-0.0019256+0.0016432i,-0.00035531+0.0029504i,0.0012992+0.0035642i,0.0026564+0.0032456i,0.0032979+0.002616i,0.0022201+0.0025322i,-0.00024434+0.0035534i,-0.0018397+0.0036142i,-0.0010199+0.0016227i,0.0014708-0.0008562i,0.0017833-0.0015139i,0.00057355-0.00048079i,0.00062911+0.00040091i,0.0013234+0.0010362i,0.00049692+0.00087391i,-0.00050664+1.3704e-05i,0.00018692+0.00044248i,0.0010828+0.0010469i,0.00076703+0.0010234i,0.00055228+0.0011275i
-0.0003457-0.00067998i,6.6358e-05-0.00017613i,-0.0011792+0.0011492i,-0.0018794+0.0029016i,-0.0015893+0.0032694i,-0.0018274+0.0027536i,-0.00081739+0.0019123i,0.00072037+0.000824i,-0.00068097+1.3311e-05i,-0.0034079+0.00090387i,-0.0032128+0.0022347i,0.00049249+0.0017591i,0.0034077-9.497e-05i,0.0027972-0.00066606i,0.0014155-0.00057052i,0.0012953-0.00025013i,0.001197+0.00022528i,0.00042111-0.00032622i,0.00031744-0.00040393i,9.8527e-05-1.3653e-05i,-0.00054388+0.00034665i,-0.00093181+0.00093707i,-0.00097112+0.0015161i
0.00026511-0.0027662i,0.00087065-0.00019507i,-0.00014532+0.0009626i,-0.0021694+0.00079757i,-0.0039464+0.0005781i,-0.0043813-0.00041609i,-0.0028925-0.00023379i,-0.0019084-0.00056055i,-0.0023206-0.0016659i,-0.0017056-0.0013115i,0.00050896-0.00077549i,0.002129-0.0005353i,0.0020667+0.00080942i,0.0017508+0.0013259i,0.0020024+0.00016254i,0.0018398-0.00013735i,0.00057766+0.00021528i,-0.00013123+0.00028718i,0.00023442-3.9105e-05i,7.7446e-05-0.00056061i,-0.00050106-0.00065228i,-0.00095271-0.00053085i,-0.0010101+0.00078344i
0.0039699-0.00011675i,0.0032199-0.00087619i,0.0024551-0.0025194i,0.0012369-0.0034399i,-8.426e-05-0.0052056i,-0.00083409-0.0060823i,-0.00093651-0.0047981i,-0.0011643-0.0028743i,-0.0015063-0.0014668i,0.00019557-0.0010619i,0.0025051-0.0015907i,0.0010313-0.00083828i,-0.0011854+0.0013612i,-0.00079925+0.0020733i,0.00034586+0.0012794i,6.9644e-05+0.001655i,-0.0010832+0.0019708i,-0.0006569+0.0013712i,0.00052504+0.00046947i,0.0009684-0.00037007i,0.00036865-0.0011306i,-0.00018056-0.0017622i,-0.00043606-0.0017214i
