-0.003532+0.00062947i,-0.0025818+0.0010761i,-0.001995+0.0013676i,-0.0016164+0.0016906i,-0.0013864+0.0026503i,-0.00046713+0.0018706i,-0.00015305+0.0014253i,0.00033546+0.0027815i,0.0016229+0.0030741i,0.0020481+0.0023721i,0.0011453+0.00084352i,0.0011352-0.00053731i,0.00039979-0.00039886i,-0.0002873+9.9118e-05i,-0.00015071+0.00028205i,-0.00034759+0.0004327i,-0.00039047+0.00013539i,-0.00035495-0.00088454i,-0.00027225-0.0012321i,-1.6609e-05-0.00053593i,0.00067179+0.00010365i,0.00048056+0.00032311i,0.00037952+3.4401e-05i
-0.0012801+0.00026028i,-0.00026177+0.00061518i,0.00075874+0.00071339i,0.0011615+0.00067146i,0.00053622+0.0010199i,0.00034335+0.00064614i,0.00024503-0.0001526i,-0.00011941-0.00016927i,0.00042459+0.00031514i,0.00098835+0.0004778i,0.00063811+0.00047159i,0.0004549-0.00017214i,0.0004344-0.0010727i,0.00014469-0.0011938i,-0.00027429-0.0009642i,-0.00030119-0.00072415i,6.6412e-05-0.00088465i,1.3037e-05-0.00043206i,-0.00044708-8.1172e-05i,0.00026808-0.00016851i,0.00067136+0.00016541i,0.00043539+0.00010773i,0.00011821-1.4477e-07i
-0.00083609-2.3753e-05i,-0.00093942-0.0010051i,-0.00090145-0.00038669i,-0.0011333+0.0010653i,-0.00071233+0.0015784i,0.00052251+0.0016656i,0.00091346+0.00075083i,8.4648e-05+0.00030087i,-0.00030367+0.00085811i,0.00051574+0.00123i,0.00021304+0.00091667i,-0.00048599+6.7401e-06i,-5.3806e-05-0.00015359i,0.00085774+2.0058e-05i,0.0012479+0.0001915i,0.00023815+0.00023789i,-0.00023752-2.4384e-05i,-0.00047604-0.00027961i,-0.00088796-0.00063769i,-0.00047488-0.00023022i,-0.00015837+0.00017497i,-0.00022215-0.00044028i,-0.00041432-0.00097257i
0.0011541-0.0010156i,0.0017819+0.00064709i,0.0013155+0.0015068i,-0.00046757+0.0011438i,-0.0015595+0.00091359i,-0.00071825+0.0016927i,0.00044757+0.0015985i,0.0012112+9.1196e-05i,0.0014499-0.00036154i,0.00042524+0.00022847i,0.00016706-2.3619e-05i,0.00071011+0.00016578i,0.00061676+0.00065225i,0.0002047+0.00055803i,-0.00050017+0.00019424i,-0.00065221+0.00054628i,-0.00045671+0.00085939i,-0.00046874+0.00018753i,0.00031564-0.00063039i,0.00060186-0.00068195i,1.1355e-05-0.00019113i,-0.00010013+1.4919e-05i,0.0001585-1.8604e-05i
-0.0018615+0.00077924i,-0.0013663+0.001066i,-9.2572e-05+0.0012726i,0.0001896+0.0011388i,-8.895e-05+0.0010806i,0.00039787+0.0011631i,-1.5425e-05+0.0017069i,-0.00056407+0.0015412i,-0.00011705+0.00090978i,0.00052746+0.00016228i,0.0011145+0.00024292i,0.00022243+0.00028504i,-0.00054017-4.8015e-05i,-7.5649e-05-0.00058969i,-0.00021659-0.0005229i,-0.00070751-0.000168i,-0.00038966-0.00048016i,1.7383e-05-0.00063569i,3.6955e-05-0.00056803i,0.00017569-0.00062602i,0.00071335-0.00068777i,3.074e-05-0.00041392i,-8.4879e-05-0.0001511i
-0.001634-0.001613i,-0.0024381-0.0011887i,-0.0035178+0.00035752i,-0.0030846+0.0019326i,-0.001153+0.0021022i,8.5315e-05+0.0022147i,-0.00071653+0.0014569i,-0.0015475+0.001179i,-0.00072347+0.0012503i,-0.00034757+0.00066714i,-0.00067498-0.00010216i,1.6036e-05-6.6537e-05i,0.00074288+0.00015826i,0.00088745+0.00011568i,0.0010858+9.5277e-05i,0.00073472-0.00025403i,-0.00021695-0.00056936i,-0.00017572-0.00038425i,-0.00015003+0.00017636i,-3.2093e-05+0.00025059i,0.00011179-0.00036686i,-0.00054127-0.0002716i,-0.0001884-0.00011651i
-0.00030545+0.0010364i,0.00078841+0.0010547i,0.0022888+0.0013947i,0.002198+0.0010709i,0.0012225+0.0010092i,0.00041133+0.0013629i,0.00033215+0.0010597i,0.00046814+0.00097001i,0.00034656+0.0013746i,0.00053119+0.00040614i,0.00054072-0.00076535i,0.00072801-0.00067768i,0.00038315-1.6315e-05i,-0.0003189+0.00026494i,-0.00043214-0.00013755i,-0.00062044-0.00027534i,-0.00081736-0.00019541i,-0.00069309+0.0003003i,-0.0003023+0.00063233i,0.00010152-0.00055943i,-7.7964e-05-0.00089858i,0.00022084-0.00036255i,0.00042305-4.0294e-05i
0.00012856+0.0012254i,-0.0003928+0.0012222i,-0.00047315+0.0013115i,-0.0005028+0.0018582i,-0.00044506+0.0014663i,-0.00061457+0.00081902i,-0.0007891+0.00057956i,-0.00056013+0.00074544i,-0.00036279+0.00062615i,2.7355e-05+0.00055004i,-2.1569e-05+0.00087093i,-0.00032196+0.00043237i,-9.5013e-05-0.00051885i,0.00027775-4.6632e-05i,7.329e-05+0.0005206i,0.00016664+0.00042111i,0.0003247+0.00040296i,0.00063668-8.4306e-05i,0.00088871-0.00012145i,0.00078334-0.00013598i,0.00082158+0.00018414i,0.0007104+0.00040653i,0.00020436+4.2989e-06i
7.5674e-05+0.00024312i,0.0008983+0.00023923i,0.0016443+0.0017509i,0.00079627+0.0026011i,-0.00045888+0.0019945i,-0.00067452+0.00098214i,-0.00038016+0.00054209i,-0.00018318+0.00042406i,-0.00043456+0.00019933i,0.00011275-0.00043014i,0.00051861-0.00060191i,4.3046e-05+0.00023763i,-0.00072356+0.00033773i,-0.0007618-0.00046729i,-3.3624e-06-0.00050294i,0.00037577-0.00020379i,-0.00013982-0.00068629i,-0.00080273-0.0014199i,-0.00076152-0.00066079i,-0.00032201-0.00015405i,-0.00019184-0.0006068i,-0.00011171-0.00054781i,-0.00015731-0.0002817i
0.00048995-0.00078605i,0.00018997-0.00042809i,-0.00045601-1.4509e-05i,0.00012292+0.0009009i,0.0003642+0.0011883i,-9.9514e-05+0.0011744i,-0.00056561+0.0016175i,-0.00034495+0.0012125i,0.000161+0.00092169i,0.00054356+0.00084091i,0.00021023+0.00033467i,-0.00024052+0.00024616i,0.00037196-0.00056948i,0.00074205-0.0013282i,0.00063123-0.0013736i,0.00089243-0.0013658i,0.00075797-0.00068168i,1.9227e-05-0.00032733i,-0.00037962-0.00077006i,-0.0007235-0.00085521i,-0.0011464-0.00014894i,-0.00060234+0.00071438i,0.00022144+0.00047356i
0.00042195-0.00066775i,-0.00035645+0.00056103i,-0.0017799+0.00096601i,-0.0021125+0.0015762i,-0.00089225+0.0014721i,0.00026024+0.0010739i,0.00031544+0.00026962i,0.00071432+0.00088328i,0.0005788+0.0018212i,-0.00051895+0.00076692i,-0.00057165+0.00024701i,-0.00027358+0.00051223i,-0.00088903+0.00053614i,-0.00084817+0.00019528i,-0.00064092-0.0003935i,-0.00094484-0.00034853i,-0.00033014-0.00050081i,-8.4665e-05-0.00079764i,-0.00042689-0.0008186i,-0.00043386-0.00061788i,-0.00021844-0.00036181i,0.00015086-0.0005283i,-0.00017654-0.00028886i
-0.00058782+0.0012391i,0.00032475+0.00030021i,0.00087231+0.00053718i,0.001676+0.0010136i,0.0020267+0.0011855i,0.0008541+0.00083395i,0.00037174+0.00021212i,0.00044433+0.00044186i,0.00030474+0.00079337i,0.000555+0.00049898i,0.00046684-0.00035527i,5.1577e-05-0.00092587i,8.6506e-05-0.00059902i,0.00025724-1.179e-05i,0.00074068+0.00045256i,0.00058798-2.7485e-05i,0.00098592-0.0011075i,0.0014127-0.00091986i,0.00034064-4.648e-06i,-9.828e-05+0.00031179i,-0.00049012-0.00013565i,-0.00072992-0.00063563i,-0.00084778-0.00047456i
-0.00054252+0.00064182i,-0.0006015+0.00077893i,-0.00094066+0.00099233i,-4.1837e-05+0.0016951i,0.00031436+0.0015505i,-0.00038891+0.00063265i,-0.0012459+0.00041138i,-0.000523+0.00011799i,0.00090397+0.00017068i,0.0013182+0.00036871i,0.0011901+0.00037292i,0.00070472+0.00079043i,2.0863e-05+0.00024183i,-0.00020643-9.9059e-05i,0.0002231-3.6184e-05i,-0.00017347-0.00029553i,-0.00023261-0.00077187i,0.00072113-0.00078881i,0.00099585-5.3093e-05i,0.0005154+4.3311e-05i,-0.00011833-0.00074081i,-0.00054379-0.00093514i,2.357e-05-0.00010149i
-0.00042726+0.00091862i,0.0008455+0.00047837i,0.0013612+0.0016806i,0.00095203+0.0019829i,0.00065969+0.0013431i,-0.00062059+0.00054807i,-0.00089976+0.0009472i,3.6537e-05+0.0011331i,0.0010598+0.00072099i,0.0010859+0.0011079i,0.00036109+0.0010033i,0.00032623-0.00022923i,0.00041147-0.0003629i,0.00021823+6.1878e-06i,-0.00023668+0.00014022i,-0.00062515+6.3878e-05i,-0.00030771-0.00062135i,0.00025538-0.0015286i,-4.7114e-05-0.0013991i,-0.00024846-0.0010933i,-0.00058226-0.00069079i,-0.00046732+0.00026126i,0.00019182+9.5826e-05i
-0.0015861-0.00098372i,-0.0012075-0.00091363i,-0.00082651-0.00029337i,1.2846e-05+0.00095082i,0.00096427+0.0018405i,0.0013444+0.0015728i,0.00058917+0.00066127i,0.00011127+0.00045501i,0.00048984+0.00052504i,0.00069955+0.000282i,0.00025774-0.00030473i,-0.00015565-0.00095567i,-0.00024253-0.0010062i,-0.00040135-0.00094514i,-0.00050484-0.00070162i,-0.00031615+8.661e-05i,-6.8383e-05+0.00048472i,-0.00027147+0.0003255i,-0.00027557-5.7116e-05i,0.00060087-0.00067981i,0.00082349-0.0010208i,-0.00020344-0.00073631i,-0.00033842-0.00034764i
-0.0024478+0.0014868i,-0.00065253+0.0028348i,0.0004148+0.003141i,0.00069138+0.0030318i,0.0011971+0.002204i,0.0010237+0.0011044i,-0.00013722+0.00061708i,-0.00044547+0.00020051i,0.00017597+0.00017589i,0.00081103-8.1319e-05i,0.00090155-0.00051244i,0.00034939-0.00043401i,9.787e-05-7.3023e-05i,8.4045e-05-0.00025432i,-0.00035997-0.00032642i,-0.00050572+9.7667e-06i,0.00033207-1.4413e-06i,0.0006352-0.00014001i,0.00069623-0.0007374i,0.00028228-0.00076244i,-0.0001818-0.00078718i,3.3909e-05-0.0010507i,-0.00068387-0.00045666i
-0.0014685-0.00058628i,-0.0010309-0.0001188i,-0.0020281+0.0010373i,-0.002258+0.0028151i,-0.0011648+0.0034151i,-0.00036353+0.0029666i,-0.00049031+0.0019793i,3.7436e-05+0.00088456i,0.001042+0.00056897i,0.00043396+0.00064594i,-0.00013189+6.259e-05i,0.00048508-8.3362e-05i,0.00044177+0.00074151i,-0.00041618+0.00047284i,-0.00052225-0.00053015i,-0.00059433-2.3524e-05i,-0.00053582+0.00041627i,5.6335e-05-1.1613e-05i,-0.0006979+0.00024262i,-0.0013775+0.00027395i,-0.00069669+0.00063305i,-5.0408e-05+0.00028308i,0.00075516+2.1846e-05i
0.0013092-0.001779i,0.00077388-0.001614i,0.0001764-0.0016345i,-0.00072238-0.00036481i,-0.0019225+0.00039674i,-0.001952+7.2232e-05i,-0.00073034-3.6452e-05i,0.00028677+0.00049792i,0.00075729+0.0003579i,0.00030566-0.00015165i,0.00050474-3.9132e-05i,0.0013631+0.0006127i,0.0010624+0.00076208i,0.0011084+0.00036968i,0.0012198-0.0001457i,0.0003917-0.0010684i,7.4435e-05-0.0010474i,0.00018628-0.00024468i,7.4173e-05+4.4463e-05i,-0.00013796+0.00017943i,0.0001169+3.9741e-05i,-5.2807e-05-0.00031371i,-0.00021814+0.00031605i
0.00095818-0.00036097i,0.00093322+0.00083901i,0.00040445+0.0019478i,-0.00013636+0.0016334i,-0.00049846+0.0016802i,-6.7207e-05+0.0016258i,0.00015749+0.0017447i,-0.00026798+0.0012504i,8.5985e-05+0.00026688i,0.00051141+0.00017915i,-1.812e-05+0.0004946i,-0.00059033+0.00074429i,-0.00069477+0.00030169i,-0.00055427-0.00039737i,0.00012913-0.00038095i,0.00069362-0.00014135i,0.00058807-0.00037516i,0.00026692-0.00053622i,8.2291e-05-0.00059493i,-0.00036156-0.00065322i,-0.00043037-0.000329i,7.5842e-06+0.00047726i,0.00049615+0.0010191i
0.0001387-0.00086591i,-0.00064152-0.00067893i,-0.00099939-0.00030465i,-0.0010342+0.00086885i,-0.0011454+0.0012297i,-0.00033751+0.0013863i,0.00045709+0.0011795i,0.00050548+0.00060861i,-0.00012232-7.397e-05i,0.00044084-0.00052394i,0.0015446-0.00017935i,0.0013808+0.00038923i,0.00043821+0.00087224i,6.1464e-06+0.00061092i,0.00028863+0.00016679i,0.000196+1.8493e-05i,0.00048692-0.0002123i,5.8943e-05-0.00033411i,-0.00032056-0.00053625i,-8.0091e-05-0.00031938i,0.00054842-1.9281e-05i,0.00080161-0.00042892i,1.0108e-05-0.00038058i
-0.00047129-5.2654e-05i,9.7658e-05+0.00015248i,0.00054717-9.4878e-06i,0.00096958+0.00059721i,0.00072805+0.0010344i,1.3743e-05+0.0012797i,-0.00085884+0.0012849i,-0.0005265+0.00091579i,0.00086907+0.0004307i,0.00062788+0.00010135i,-0.00042924+0.00033885i,-0.00064514+0.0001226i,0.00010814+0.00039894i,0.00023167+0.00061106i,-8.0758e-05+0.00017263i,6.7081e-05-0.00020499i,0.00026878-0.00072921i,0.00045267-0.0005933i,0.0007845-0.00032194i,0.0013219-0.00019051i,0.0014514+0.00039421i,0.00057995+0.00024935i,-0.00038128-0.00058427i
0.00050404-0.0013541i,-8.1542e-05-0.00062541i,-7.3373e-05+0.00032453i,-0.00010864+0.00036617i,-0.00059742+0.00073802i,-0.00089917+0.00099612i,-0.00058739+0.00038538i,-0.00036136+0.00015109i,-0.00027462-0.00026826i,0.00033892-0.00071128i,0.00040682-0.00043975i,-4.0412e-05+8.2476e-05i,0.00010124+1.3213e-05i,0.00057693-7.3162e-05i,0.0007365-6.7382e-05i,0.00043026+2.0252e-05i,-0.00061106-0.000533i,-0.00044195-0.001303i,0.00053477-0.00088042i,0.00061834-1.8042e-05i,-6.9438e-05+5.4422e-05i,-0.00040974+0.00057859i,-0.0001338+0.00041023i
0.0017099+0.00047161i,0.001522+0.00015093i,0.0011085+0.00058022i,6.8195e-05+0.00077944i,-0.0013829+0.00062764i,-0.0014904+0.00063435i,-0.00070159+0.00089507i,-0.00022534+0.00058816i,0.0004271+0.00072263i,0.00098368+0.00043011i,0.00063916+1.3631e-05i,4.1962e-05-0.00022478i,8.4581e-05+0.00011256i,-0.00011748+0.00068584i,-0.00039041+0.00024412i,0.00037069-6.5335e-05i,0.0013079-0.00027435i,0.00099304-0.00029157i,0.00067324-0.00034927i,0.00042072-0.00063334i,0.00050876-0.00032558i,0.00084863+0.00076672i,0.0005952+9.7737e-05i
-0.0015369-0.00062042i,-0.0010906+0.0010415i,-0.00065016+0.0017082i,-3.5853e-05+0.0022374i,0.00041078+0.0021857i,0.00011463+0.0016324i,-0.00022918+0.0012316i,0.00047794+0.00082523i,0.00050434+0.0006163i,0.00023014+0.0004761i,0.00023399+0.0002824i,0.00020978+0.00016732i,0.0007991-0.00050743i,0.001787-0.00025053i,0.0017905+0.00048526i,0.0014716+0.00013054i,0.00085688-9.4567e-06i,9.49e-05-0.0001187i,8.0982e-05-0.00030689i,0.00019702-0.0001386i,0.00019788+0.00012185i,0.00042286-0.00033947i,-1.5921e-05-0.00035416i
-0.0018792+0.0016452i,-0.0016319+0.0014553i,0.00020313+0.0014011i,0.00093136+0.001699i,0.0009628+0.0011228i,0.00057824+0.00082259i,0.00033982+0.00095092i,1.8349e-05+0.00074511i,-0.00028066+0.0004815i,0.00029575-0.00020144i,0.00064727-0.00046746i,0.00015831-0.00046585i,0.00021203-0.00011617i,0.00011344+0.00045687i,-0.00016607+0.00017129i,7.9489e-05-0.00053362i,-0.00025099-0.00081357i,-0.0002216-0.00088311i,0.00020711-0.0004585i,-6.6464e-05-0.00035156i,-3.4459e-05-0.00091519i,-0.00030141-0.00024197i,-0.00057654+0.00087857i
0.00056712-0.00065076i,0.00073881-0.00050989i,0.00042636+0.0013074i,-0.00057543+0.0025377i,-0.0010898+0.0017271i,-0.00038307+0.00098602i,0.0001058+0.00090718i,-0.00025226+0.00080356i,-9.0716e-05-0.00022948i,0.00062005-0.00050679i,0.00046312-4.7289e-05i,0.00019372+0.00030476i,0.00022586+0.00069832i,-8.3675e-05+0.00049214i,0.00025925-0.00019301i,0.00037352-0.00078243i,0.00032947-0.00082877i,0.00018579-0.00094313i,0.00057739-0.00085973i,0.00061004-0.00047871i,0.00028727-0.00084658i,1.0336e-05-0.00073147i,-0.00033495+0.0001566i
0.00062201+0.0010819i,0.0012285+0.0011098i,0.00077298+0.0017027i,-6.4424e-05+0.0016635i,-0.00017001+0.001248i,-0.00098481+0.00061524i,-0.0013012-0.00042484i,-0.000388+0.00024093i,0.00040593+0.0010174i,-3.834e-05+0.00029102i,-0.00049246-0.00032103i,-0.00051565-7.8416e-05i,-0.0012449-0.00017439i,-0.0010656-6.6125e-05i,-0.00043795-0.00029018i,-0.00051053-0.0010978i,2.8559e-05-0.0011154i,0.00047105-0.00035839i,0.00043468-0.00021071i,-0.00016847-0.00074183i,-0.00028811-0.00056877i,0.00019231+0.00021452i,0.00045437+0.00020883i
-0.00018731+0.00083624i,0.00059087+0.001117i,0.0017124+0.0016109i,0.0013264+0.0014225i,0.00050332+0.0013008i,-8.5741e-05+0.0019039i,-0.00034631+0.0019313i,-0.00012244+0.0012613i,0.00060841+0.00077742i,0.00082372+0.00036316i,0.00027758-0.00028428i,-0.00078316-0.00048575i,-0.00076265-0.00067245i,-0.00015376-0.0007883i,0.00053224-0.0002347i,0.00077475+0.00035406i,0.0004731+0.00030189i,0.00091167-2.2619e-05i,0.00015564-8.8245e-05i,-0.00083737-8.164e-05i,-0.00053316+0.00025459i,-0.00032828+0.00049298i,-0.00040989+0.00076493i
-0.0013454-4.3975e-05i,-0.00085731-0.00010576i,-0.0011875+0.0016063i,-0.0010406+0.0024361i,0.00063696+0.0027314i,0.0012763+0.0026954i,0.00018065+0.0018699i,-0.00016262+0.00089069i,0.0003923+4.394e-05i,0.00061799-0.00055383i,0.00046476-0.00061145i,0.00043287-0.0003754i,0.00036458-0.00054784i,-8.3769e-06-0.00076799i,-0.00029476-0.00097355i,-0.00026967-0.00055786i,-0.00019978-0.00010587i,-0.00035969-1.8112e-05i,0.00010508-0.00020194i,0.00040344-8.941e-05i,0.0010346+0.00012106i,0.0020879+0.00057865i,0.0015386+0.00051052i
-0.00056697-0.0008793i,-0.00089727-0.00040035i,-0.00085049+0.0010918i,-0.0010038+0.0021306i,-0.0011319+0.0021297i,-0.00077414+0.0014465i,-0.00017868+0.00058297i,3.4374e-05+0.00058809i,-6.4351e-06+0.00070839i,0.00061213+0.00094598i,0.0007776+0.00052403i,5.6638e-05-0.00035543i,0.00037647-7.54e-05i,0.00069987-0.00010734i,0.00061767-0.00075187i,0.00045767-0.00023032i,0.00082175+0.00048706i,0.0011153+7.8238e-05i,0.00021504-0.00033203i,-0.00031146-0.00050163i,0.0001456-0.00025371i,0.00019828+0.00048704i,-1.4094e-05+0.00061694i
0.00061689-0.00029215i,-0.00019193+0.00044363i,-0.0010473+0.0008958i,-0.0003828+0.00082635i,-2.0592e-05+0.00083385i,-0.00015913+0.0011862i,-0.00065073+0.0013705i,-0.00094851+0.00099424i,-0.00060694+0.00078774i,0.0001254+0.0006232i,0.00038213+1.9837e-05i,0.000261-0.00026209i,0.00016439+0.00061104i,0.00024418+0.00087783i,0.00030637+0.00055003i,0.00022477-8.3884e-05i,2.3067e-05-0.0002583i,3.1426e-06+0.00024015i,8.5988e-05+0.00020912i,-5.5401e-05+4.1844e-05i,-0.00035068+0.0001623i,-0.00035452+0.00060298i,0.00024853+0.00061403i
0.0011335+0.0001361i,-0.0003158+0.00067841i,-0.00097965+0.00062265i,-0.0015117+0.00060026i,-0.0019171+0.0017048i,-0.0019185+0.0023597i,-0.0015831+0.0014156i,-0.00038231+0.00020168i,3.3359e-05-0.00040543i,-0.0004924-0.00044377i,-0.0005026-9.272e-05i,-0.00093089+0.00022812i,-0.00093246+0.00053697i,-0.00042302+0.00075311i,-0.00037588+0.00056264i,-0.00029916-0.0001464i,-0.0006203-0.00063302i,-0.00066624-0.00056199i,-0.00091101-0.00034753i,-0.00059383-0.00061144i,-0.00032637-6.6849e-05i,-0.00019057+0.0010478i,1.1145e-05+0.00066026i
