-0.001519+0.000942i,-0.0016679+0.00051039i,-0.0035252+0.00084416i,-0.0033229+0.000736i,-0.0012381+0.0010389i,0.00031436+0.0013705i,0.0006752+0.0012668i,0.00092158+0.00078218i,0.0013013+0.0001198i,0.0014362-0.00028272i,0.0010261-0.00077142i,0.00078677-0.00055806i,-0.00012361-0.00025499i,-0.00099292-4.1833e-05i,-0.00052372+0.00022055i,-9.1845e-05+0.00037447i,-5.4038e-05+6.6593e-05i,-7.4719e-05+0.00030026i,0.00048942+0.00059749i,0.00098618-7.6234e-05i,0.00095336+0.00032115i,0.00044646+3.0582e-06i,-2.8324e-05-0.00022652i
0.0012115+0.00031362i,0.0014733+0.0014225i,0.0020531-0.00024922i,0.0014962-0.001701i,0.00032352-0.0019804i,-0.00046926-0.00082592i,-0.00020059+0.00014549i,0.00049216-0.00019424i,0.00049459-0.00061248i,-1.7067e-05-0.00075836i,-0.0001091-0.00093617i,-0.00013322-0.00035153i,-0.00049431+0.00024597i,-0.00085082+0.00031375i,-0.0011721+0.00075885i,-0.001083+0.00081583i,-0.00053806+0.0009547i,0.0002334+0.00074642i,0.0016695+2.6526e-05i,0.0015679-0.00057394i,0.0006073-0.00076066i,-0.00034258-0.00039106i,-0.00082158-2.7317e-05i
-0.00064325+0.00051449i,0.00034292+0.00073046i,0.00065949+0.00024061i,-3.1803e-05+0.00072121i,0.00040244-0.0002999i,0.0015689-0.001669i,0.0015875-0.00074534i,0.0010109+0.0002743i,0.0011416+0.00048017i,0.00097488+0.00045169i,0.00036046+0.00025375i,0.00058776+0.00026392i,0.00048852+0.00013468i,0.00061433-0.00012982i,0.00041572+0.00015358i,-7.7853e-05+0.00030161i,0.00018936+0.0002485i,0.00041341-0.00022864i,0.00073558-0.00057172i,0.00080955-0.00096997i,0.00073437-0.0010429i,0.00067273-8.5712e-05i,0.00066125-9.8938e-05i
0.0015547+0.00010191i,0.0011089-0.0011196i,0.00068027-0.0028978i,-0.00052508-0.0027302i,-0.00048449-0.00027815i,0.00052523+0.0011927i,0.0010722+0.00036068i,0.00084463-0.00064224i,0.00032522-0.00088899i,0.00036492-0.0010328i,-9.4576e-05-0.001309i,0.0002793-0.00062341i,0.00032351+0.00058023i,0.00022604+0.000143i,0.00081217-0.00035212i,0.00084169+0.0007116i,0.00080686+0.0012892i,0.00059102+0.00065175i,2.6483e-05-0.00022643i,-0.00026272-0.00021142i,-0.0010299+0.00022153i,-0.00071225-0.00015113i,3.4106e-05-0.00040088i
-0.00066361+0.00028199i,-0.001184+0.00076188i,-0.00098667+0.00022198i,-0.00068921-8.9732e-05i,-8.2149e-05+0.00045141i,5.5057e-05+0.00080903i,0.00016688+0.00052873i,0.001038+0.00010516i,0.00079134-2.4046e-05i,0.00057052-0.00051262i,0.00093711-0.00038474i,0.00056722+8.1806e-05i,0.00040806-0.00097596i,0.00084437-0.0016626i,0.00063982-0.00084662i,0.00010742+0.00030767i,-0.00047669+0.00085891i,5.1913e-05+0.00075674i,0.00048157+0.00061i,0.00018479-4.0649e-05i,0.00058272-0.00023091i,0.00058662+0.0001361i,-1.7115e-05+0.00016465i
0.0022337-0.0025126i,0.0020299-0.003153i,0.0006306-0.0030555i,-0.0015842-0.0027i,-0.002261-0.002589i,-0.00043583-0.0012755i,0.0012397-6.5443e-05i,0.0010502+0.00082489i,0.00022698+0.0012992i,-0.00026058+0.00084917i,-0.0006246+0.00040424i,-0.0013785+0.00037247i,-0.0012626+0.00020481i,-0.00014678-0.00013795i,-9.8419e-05-0.00052693i,-0.00040356-0.00058719i,0.00012342+0.00016942i,0.0011556+0.00067518i,0.0019751+0.00036695i,0.0015897+0.00030213i,0.00074002+0.00051161i,0.00032474+0.00071881i,-2.2323e-05+0.00040307i
0.0011434+0.00072118i,0.0013219+0.0001418i,0.0018863-0.00048012i,0.0017147-0.00026307i,0.0010577-0.00044794i,0.0012275-0.00014746i,0.0016268+0.00081262i,0.0014109+0.001026i,0.0011114+0.00083115i,0.00095306+0.00030535i,-2.1497e-05-0.00039731i,-0.00046915-0.0010053i,0.00019124-0.001101i,0.00066636-0.00096248i,0.00022043-0.00048329i,-0.00079815-3.4457e-05i,-0.00078384+0.00096067i,-0.00047468+0.0011775i,-0.0001269+0.00058702i,0.00033831+0.00080317i,-0.00010702+0.00046819i,-0.0006404+8.3431e-05i,-0.00062294+0.00036131i
-0.0015224+0.0013092i,-0.0015195+0.0019524i,-0.0015762+0.0022364i,-0.001474+0.0016917i,-0.00079398+0.0011972i,0.00040434+0.00034077i,0.0010522+3.1323e-05i,0.0011948-0.00055273i,0.0013435-0.0010803i,0.00101-0.00022169i,0.00092884+0.00052873i,0.001216+0.00032041i,0.00022567-0.00032832i,-0.00058247-0.00083504i,-0.00056556-0.0010357i,-0.00033095-0.00064016i,-0.00011676-0.00010842i,-3.2645e-05+0.00066914i,-0.00032631+0.00102i,2.133e-05+0.00085449i,0.00089041+0.00065247i,0.00055378-0.00039843i,-0.00016453-0.00021247i
0.0019473-0.00056534i,0.0018745-0.00087687i,0.00058097-0.0015114i,0.00013904-0.0017122i,-0.00034394-0.0017106i,-0.00039501-0.00085393i,0.00034685+0.00064672i,0.00029512+0.00080017i,-6.0958e-05+5.9018e-05i,0.00037328+0.00028822i,-9.0469e-05+0.00023543i,-0.00088908+8.3708e-05i,-0.0012134+0.000699i,-0.00015856+0.0010536i,0.0003657+0.00035392i,-0.00067589-0.00011851i,-0.00051843+0.00018133i,0.00017389-1.7793e-05i,0.00074729-0.00039377i,0.00087512-7.4932e-06i,0.00026486+0.00094045i,-0.00060489+0.0011446i,-0.0006698+0.00051125i
-3.8393e-05+0.0005689i,0.00019691+0.00069819i,-0.00010433-0.0014059i,-0.00094239-0.0016479i,-0.00078584-0.00022533i,0.00026228+9.2191e-05i,0.00059755+0.00026872i,0.00036187+0.00048548i,0.00014103-0.0004356i,0.00040285-0.00083063i,0.00023697-0.00022492i,-0.0005252+6.318e-05i,-0.00064855+0.00050862i,-0.00034189+0.0010346i,-0.00024606+0.0013136i,-0.00079939+0.00094301i,-0.00080293-0.00025211i,-1.6702e-05-0.00082014i,5.0035e-05-0.00011173i,-0.00018067+8.1302e-05i,0.00052297-0.00033628i,0.00078457-0.00066795i,0.00055398-0.00041648i
-0.0006745-0.00099996i,-0.00061827-0.00075248i,-0.00033138+0.0001631i,-0.00012119+0.0006413i,0.00086994+0.0013662i,0.0012661+0.0015708i,0.0013581+0.00063114i,0.001467+0.00025703i,0.00099683+0.00081988i,0.00028018+0.00071721i,-5.6816e-05+0.00083806i,-0.00064849+0.00058102i,-0.0011333-0.00027452i,-0.00063583-8.9275e-05i,2.4048e-05+7.1123e-06i,-0.00024239+0.00029232i,-0.00037488+0.00049586i,0.00011921+0.00057242i,0.00055897+0.0004686i,0.00098501+6.658e-05i,0.0003173+0.00053889i,-0.00030921+0.0011271i,-0.00017368+0.0007257i
0.00066283-0.0001796i,5.7407e-05+9.1782e-05i,-0.0020733+0.00066787i,-0.0022526+0.0010478i,-0.0010055+0.0013648i,-0.00028847+0.0011858i,0.00022756+0.00099977i,0.00030315-6.8408e-05i,0.00054048-0.0012863i,0.00086866-0.00029298i,0.00095248+0.00051097i,0.00052694+4.3832e-05i,-0.00026938-0.00026618i,-0.0003806-2.2447e-06i,-0.00013849+0.00019426i,-0.00055631+0.00073258i,-0.0011387+0.00094953i,-0.00048794+0.00048464i,-0.0001438+0.00010293i,-3.7834e-05+0.00015611i,0.00025523+0.00029757i,0.00028328+0.00068176i,-0.00017924+0.00070524i
-0.00077141+0.00078362i,-0.00045128+0.00069663i,-0.0001666+0.0010087i,-0.00063237+0.00050284i,-0.00061847-0.000214i,-0.00012641+0.00019303i,1.1024e-05+8.4625e-05i,0.00062629-0.00096447i,0.00053962-0.00101i,-2.9834e-05-0.0010675i,0.00037725-0.00097257i,0.00042611-0.00063707i,0.00051543-8.3181e-05i,9.9578e-06+0.00060981i,-0.00055353+0.00052449i,-0.00075273+0.00054296i,-0.00079885+0.00081462i,-0.00022576+0.00034594i,0.0003022-3.3173e-05i,0.00016851-0.00054838i,-0.0003226-0.00031333i,-0.00026179+0.00045007i,0.00041816+0.00071041i
-0.00057866-0.0018635i,-0.0008849-0.0017701i,-0.0014608-0.001817i,-0.0020066-0.0012939i,-0.0012151-0.00011304i,-2.3085e-05+0.00112i,0.00022226+0.0010025i,-3.3215e-05+0.00033426i,0.00062406-1.2762e-06i,0.0012344-0.00077216i,0.00052394-0.0010658i,-0.00035043-0.00056474i,-0.00054941+0.00020287i,-0.00056851+0.00081194i,-0.0002495+0.0012141i,-9.9254e-05+0.0010482i,0.00037558+0.0005472i,0.0010884-0.00018436i,0.0010308+0.00044288i,0.00049931+0.0014734i,0.00061302+0.0015056i,0.0002792+0.00063911i,-0.0005402-0.00051469i
-0.0014187-0.00088206i,-0.0012223-0.0015022i,-0.0013803-0.00059913i,-0.0013979+0.00095163i,-0.00098385+0.00074537i,0.00019047-2.4581e-05i,0.00086965-0.00017953i,0.00036443-0.00042322i,0.00017999-0.00038653i,0.00036617+0.00045728i,0.00018561+0.00080484i,-0.0002119+0.0001631i,-0.00032332-9.8986e-07i,-0.0006406-0.00021382i,-0.00041788-0.00023132i,-0.00023974+1.212e-05i,-0.00025102+0.000325i,0.00035754+0.0010742i,0.00028033+0.00068206i,0.00036722-0.00034454i,0.00041248-0.0002042i,0.00028836+0.00037556i,0.00056825+0.0013872i
0.00027795+0.0012269i,-6.0022e-05+0.00064839i,0.00035169+0.00025437i,0.00026076-0.00082407i,0.00043993-0.0012677i,0.00095474+0.00017035i,0.0010884+0.0014204i,-0.00012636+0.00080503i,-0.00023842-4.3647e-05i,0.0016795-0.00024822i,0.0013617-0.00066839i,-0.00029446-0.0011508i,-0.00072594-0.0014523i,0.00011159-0.0012311i,0.00093628-0.00042832i,0.00054622+0.00025386i,0.00024851+0.0008985i,0.00036564+0.0011281i,0.00086776+0.0001207i,0.00082329+9.9577e-05i,-0.00030946+0.0004008i,-0.00056778+8.9228e-05i,-0.0002294+5.6483e-06i
-0.0021833+0.00054249i,-0.0020455+4.4174e-05i,-0.0012189+0.0012168i,-4.265e-06+0.0015843i,0.00037056+0.0018117i,0.00083485+0.0011063i,0.00086065-4.3469e-05i,0.0010356-0.0003742i,0.0014089+1.1934e-05i,0.00084745+0.00023625i,0.00055376+0.00025942i,0.00077009-0.00011212i,0.00058245-0.00093168i,0.00055818-0.00096507i,0.00063363-0.00013989i,0.00050138+0.00019934i,0.00072953-0.00022384i,0.00052589+4.6189e-05i,0.00021245+0.00046793i,0.00040592+0.0001714i,0.00059475+4.8127e-05i,0.00056573+0.00014668i,0.00020102+0.00021313i
-6.2784e-06+0.00043675i,0.00078403+0.00044642i,0.00099429+0.00038596i,0.00049404+0.000544i,0.00066634+0.0012152i,0.0012728+0.0010617i,0.00093431+0.00010407i,0.00074674-0.00051723i,0.0013318-0.00063498i,0.00089224-0.00045958i,-0.00045633-0.00043717i,-0.00055956-0.00074671i,3.3425e-05-0.0010426i,0.00058355-0.0011906i,0.00058329-0.00071517i,0.00050348+0.00011011i,0.00060453+0.00077004i,0.00055857+0.0011796i,0.0002091+0.00058709i,0.00025471-9.0616e-05i,6.753e-05+0.00026843i,1.2499e-05+0.00039752i,0.00043252-3.5707e-05i
-0.00080736-0.00078724i,-0.0018985-0.00011489i,-0.0017498+1.2e-05i,-0.0024669+1.7085e-05i,-0.0019967+0.00034448i,-0.00014569+0.000202i,0.00064933+0.0001071i,0.00052634+3.5585e-05i,0.00026752-3.5919e-05i,0.00069958-0.00014548i,0.00010939-0.00047711i,-0.00089655-0.00066833i,-0.00052245-0.00049505i,0.00035928-0.00089682i,0.0002628-0.0016451i,-0.00028697-0.00073704i,-0.00053761+0.00067923i,0.00015269+0.00063649i,0.00093738-0.00019361i,0.00066158-0.00069163i,9.8328e-05-9.202e-05i,4.2878e-05+0.00016782i,0.00057635-0.00023776i
0.00067371-0.00061598i,7.0632e-05+0.0002609i,0.0010451+0.0015395i,0.00059235+0.00063886i,0.00019948-0.00096302i,0.00022811-0.00046884i,-0.00027662-3.3727e-06i,0.00028199+0.00031257i,0.0010622+0.0010412i,0.0016519+0.00041338i,0.0015318-0.0011128i,0.0004552-0.0014596i,-0.00013646-0.0014659i,-0.00017188-0.0011959i,0.00036092-0.00069331i,0.00053107+0.00026105i,0.00043099+0.0010467i,0.0010121+0.00041539i,0.00018472-0.00094511i,-0.00058678-0.0018357i,-0.0004664-0.00096945i,-0.00027733-8.4042e-05i,0.00033924-0.00017137i
0.0011417+0.001509i,0.00038001+0.001708i,-0.001369+0.00095264i,-0.0016138-0.00031774i,-0.0010092-0.00099192i,7.9972e-06-0.00066i,0.0005817+0.00049939i,-0.00026013+0.00090069i,-0.00049688-7.7671e-05i,0.00041057-0.00081258i,0.0010224-0.00031993i,0.00058565+1.6171e-05i,-8.7505e-05+2.3756e-05i,-2.9187e-08+0.00034547i,-0.00032171+0.0010801i,-0.00087864+0.0011599i,-0.00082794+0.00083728i,-0.00049183+0.00053567i,0.00042148+0.00040411i,0.00045814+0.00051513i,-4.3054e-05+0.00022467i,-0.00011061-1.639e-05i,-9.5023e-05+0.00028494i
-0.0024368-0.00072977i,-0.0014355-0.00029141i,-0.00098168+8.3013e-05i,-0.0015529+0.00077195i,-0.0011397+0.00065699i,0.00074913+9.5909e-05i,0.0018755-0.00021982i,0.0015274-0.00051898i,0.00067497+5.471e-05i,0.00029205+0.00010356i,4.7096e-05-0.00019019i,-5.2705e-06-0.00011178i,2.6747e-05-0.0006805i,6.1277e-05-0.00062286i,0.00027969+0.0002097i,0.00032603+0.00091651i,-2.0714e-05+0.0011909i,-0.00027861+0.00095507i,-0.00026454+0.00041364i,-0.00025949-0.00023688i,-0.00081865-0.00045702i,-0.0008288+0.00010207i,-0.00017651+0.00065263i
0.0021318-0.0012879i,0.0018683-0.0011217i,0.001861-0.0015904i,0.00037295-0.002335i,-0.0014009-0.0015702i,-0.0014599+0.00023859i,-0.00034959+0.00039927i,0.00023946-0.00050508i,0.00080035-0.00051046i,0.0016236-0.00054664i,0.0013786-0.0004601i,0.00036744+0.00012629i,-0.000927+0.00076448i,-0.0013678+0.00099778i,-0.001097+0.00081178i,-0.00080126+0.00091681i,-0.00057752+0.00072076i,0.00035688+0.0003967i,0.0010254+0.00096495i,0.00082033+0.0010086i,0.0001863+0.00049569i,-1.4226e-05+0.0002357i,0.00049957+0.00039829i
-0.00051377-0.00037589i,0.00010127+9.6491e-05i,1.2876e-05-0.0012198i,-0.00060157-0.0013434i,-0.00052272-0.00038468i,0.00066897-0.00010041i,0.0014608+0.00031262i,0.00095238+0.00018164i,0.0012599-0.00072739i,0.0016069-0.0011983i,0.00096351-0.00091098i,6.6787e-05+1.3436e-05i,-0.00039521-0.00017552i,0.00026559-5.6972e-05i,0.00069829+5.8326e-05i,0.00063183+5.8802e-05i,0.00056451+0.001189i,0.00014553+0.0013945i,0.00064932+0.00013889i,0.0011033-5.4172e-05i,0.00075945+0.00050583i,6.5417e-06+0.0003254i,-0.00018245+0.00028878i
0.0010789+0.00056544i,0.0012379-0.00087595i,0.0015648-0.0012416i,0.00047658-0.00077791i,-0.00058241-0.00064662i,0.00033381+0.00037425i,0.0011145+0.00057113i,0.00051339+0.00050744i,0.00033521+0.00049173i,0.00081991-0.00064901i,0.00060003-0.0011309i,0.00096135-0.00033321i,0.0011317+0.00010751i,0.00095373+0.00018107i,0.00092224+0.00080203i,0.00013452+0.0014695i,-8.4267e-05+0.001894i,0.00030135+0.0012205i,0.00049182-0.00035448i,0.00058637-0.00080504i,-0.00061205-0.00033994i,-0.0012659-6.852e-05i,-0.0010858+0.0002125i
-0.0042344+0.0013429i,-0.0028379+0.0028002i,-0.0019071+0.0038461i,-0.00098258+0.0028426i,0.00047611+0.0012883i,0.001684+0.00041076i,0.0015274-0.00048609i,0.00048259-0.0013754i,-8.55e-05-0.0009876i,0.00057891+0.00030396i,0.00096659+0.00039437i,0.0010802-0.00014408i,0.00055296-0.00061274i,-0.0005719-0.00091256i,-0.00068685-0.00097458i,0.0001954-0.00070692i,0.00046866-3.031e-05i,5.7731e-05+0.00046687i,3.2077e-05+0.00054415i,0.00032823+0.00028391i,0.00051829-0.00033044i,0.00051701-0.00044743i,0.00019883-0.00018894i
0.00056772+0.0010514i,-0.00024139+0.0002653i,0.00059873-0.0011909i,0.00048127-0.0015563i,-5.772e-05-0.0008254i,0.00053954-0.00032442i,0.0010813-0.00042921i,0.00082354-0.00042873i,0.00010707-5.4194e-05i,0.00038642+1.0507e-05i,0.00044293-0.00036711i,-0.00041295-0.0010055i,-0.00080195-0.00071683i,-0.00063171+4.94e-05i,-0.00036684+0.00068083i,-0.00028594+0.00046415i,1.1739e-06+0.00028733i,-0.00053948+0.00016742i,-0.00046884+0.00025907i,0.00074044+0.00062678i,0.00073619+0.00032533i,-0.00010869-0.00036937i,-0.0006236-0.00061523i
0.0032807+0.00058229i,0.0038011+0.00069004i,0.0035393+0.00054934i,0.0019316+0.00030822i,0.00064022+0.00030995i,0.00074382+0.0014586i,0.00032129+0.0012816i,0.0005454+0.00049071i,0.001052+0.00036172i,0.0014669-6.2931e-05i,0.0010718-0.00050825i,9.984e-05-0.00028435i,-0.00017712-0.00056266i,0.00016253-0.00056314i,2.5269e-05-6.5194e-05i,-0.00023241+0.00031117i,9.4079e-05+0.00061328i,0.00010627+0.00062655i,-0.00010468+0.00042204i,-0.00019614+0.0002836i,-0.00010254+0.00029955i,0.00019796-0.00033101i,-7.4856e-05-0.00044089i
0.0013085-0.00032381i,-0.00026299+0.00023126i,-0.0012291-0.0004087i,-0.00061243-0.0012845i,0.00024136-0.00028246i,0.00010469+0.00083557i,0.00029796+0.0005173i,0.00090031-0.00067101i,0.0011705-0.0007931i,0.0010493+0.00017221i,0.0003673+0.00063876i,-0.00022159+0.000645i,0.00043574+0.0003563i,0.00024853-3.185e-06i,-0.00041279+6.1197e-05i,-0.00033147+0.00034519i,-0.00017516+0.0002815i,-5.146e-05+0.00029936i,-0.00016631+0.00043398i,0.00021313+0.00027744i,0.00072497+0.00080324i,0.00070324+0.00068618i,2.3104e-05-0.0007437i
0.0014088+0.00037154i,0.0013778-0.0010362i,0.0013053-0.00085476i,0.0011809-0.00095159i,0.00051977-0.0011684i,0.00032094-0.00053743i,0.00029685+0.00032836i,6.0893e-05+0.00061593i,0.00056495+0.00037479i,0.0007331-0.0001715i,0.00013825-0.00014391i,-0.00062063-8.429e-05i,-0.00083558-0.00049065i,-0.00052323-0.0003665i,-0.00043297-0.00054261i,-0.0011388-0.00072201i,-0.0010032+0.000506i,-0.00045292+0.0010015i,-0.0001624+0.00064607i,0.00032529+0.00069153i,0.00026059+0.00023827i,-3.261e-05+0.00013268i,0.00057064+0.00041898i
0.00061185+0.00069926i,0.001363+0.0015407i,0.0014733-0.00027414i,0.00060313-0.0011735i,-0.00010981-0.00033497i,0.00028574-0.00043476i,0.0013559-0.00026913i,0.0013861+0.0003948i,0.00075664+0.00061958i,0.000329+6.4206e-05i,0.00023558-0.00080106i,-2.9179e-05-0.0010787i,-0.00029336-0.00047509i,0.00055295-3.157e-05i,0.00060786-0.00013626i,-0.00015956+5.5342e-05i,-0.00016586+0.00057457i,0.00013001+0.00082481i,0.00024224+0.00050231i,8.7332e-05+0.00011548i,-0.00063844-0.00013059i,-0.00045812-0.00082227i,0.0002828-0.0019243i
0.0019823+0.00092937i,0.0021728+0.00032065i,0.0015583-0.00015407i,0.00076073-0.00079565i,0.00082282-0.00077241i,0.0013518-0.00047933i,0.00062526+0.00013012i,4.4177e-05+0.00018101i,0.000922+8.0786e-05i,0.0015298-0.00034614i,0.00061452-0.001111i,-0.0003288-0.00099001i,-0.00029886+5.5747e-05i,4.4742e-06+0.00098722i,-0.0004768+0.00076893i,-0.0010203+0.0001036i,-0.00059179+0.00041963i,0.00011745+0.00056291i,-0.00017052+0.00010648i,-0.00021179+2.5517e-05i,-0.00062373+0.0002287i,-0.0012037-0.00057618i,-0.00089452-0.0017152i
0.00041005-0.0048722i,-0.00049801-0.0046667i,-0.0023675-0.005201i,-0.0031082-0.0030798i,-0.0020242+3.8281e-05i,0.00041034+0.0013452i,0.0016842+0.0012205i,0.00090334+0.00079274i,-0.00022777+0.00031316i,-0.00037997-2.3884e-05i,0.00014326+0.00034294i,-0.00014616+0.00093527i,-0.00029941+0.00099743i,0.00061636+0.0012773i,0.0011588+0.00089987i,0.0010649-0.00013444i,0.0011314+0.00034235i,0.0013442+0.00076761i,0.001597+0.00027603i,0.00078498+7.4591e-05i,-0.00035754-0.00026462i,-0.00023695-6.0627e-05i,-4.6267e-05+0.00018184i
0.00083797+0.0012196i,0.00055285+0.0010777i,0.0018789-0.00014699i,0.0010669-0.0016228i,0.0002769-0.0016686i,0.00041106-0.0005492i,0.00044615-8.4287e-05i,0.0012013-0.00036495i,0.0016094-0.00027418i,0.0015854-0.00043375i,0.00069323-0.00080356i,-0.00037122-0.00018235i,-0.00026421+0.0008603i,-0.00045355+0.0010387i,-0.00064229+0.00072501i,-0.00031762+0.00096755i,-5.3783e-05+0.0013671i,0.00050903+0.0016134i,0.00042259+0.0011562i,5.7987e-05+0.00010726i,-7.0623e-05-0.00064632i,3.5541e-05-0.00069788i,0.00022983-0.00052195i
-0.00038491+0.0010829i,-0.00030532+0.0010566i,-0.00070674+0.0016916i,-0.00088971+0.0016951i,-3.6672e-05+0.0010947i,0.0010498+0.00039734i,0.0010534+0.0004481i,9.9839e-05+0.00019205i,-0.00056927+4.989e-05i,0.00022754+0.0007446i,0.0012392+0.00058542i,0.0011181-1.4496e-05i,0.00027551-6.0632e-05i,-0.0005291+0.00026234i,-0.00036931+0.00035213i,0.00012409+0.0004273i,0.00027908+0.00061745i,0.00069599+0.00074279i,0.00078775+0.001098i,0.0004429+0.0010718i,-0.00039715+0.00018296i,-0.00088966-0.00026793i,-0.00043811-0.00025229i
-0.00048839-0.0011538i,-0.0010672-0.000965i,-0.0010959-0.00080929i,-0.0016667-0.00019715i,-0.0010482+4.9348e-05i,0.00031309+0.0006097i,0.00051212+0.0008373i,0.00076261-0.00028795i,0.00096386-0.00094606i,0.00076104-0.00072944i,0.00046011-0.00047022i,0.00063631-6.3841e-05i,0.00085441+0.00019028i,0.00062758+0.00034825i,0.00094165+0.0012938i,0.00032143+0.0024203i,-0.00068001+0.0019823i,-0.00049718+0.00064273i,0.00036664+1.1242e-05i,0.00098033+0.00041093i,0.00064794+0.00085333i,0.000284-0.00022692i,0.00030458-0.0010053i
-0.00085463+0.0013199i,-0.00069116+0.00072147i,-0.00033807+0.00049352i,-0.00038111+0.00023082i,0.00036893+0.00056418i,0.0011958+0.00075199i,0.0013089+1.7496e-05i,0.00072837-0.00046576i,6.1025e-05-0.0005425i,0.00038912-0.00023576i,0.00050603+5.818e-05i,0.00013225+1.8946e-05i,-0.0004436-3.9497e-05i,-0.00027216-2.6474e-05i,0.00011676-0.00033411i,1.0124e-05-0.00069688i,2.6024e-05+0.00038179i,0.00027312+0.00084795i,0.0010044+0.00039457i,0.0014537-0.00038114i,0.00056321-0.00035617i,-0.00082321+0.00017524i,-0.00038245+0.0006136i
0.00049065-0.00069082i,-2.2393e-05-0.00028434i,-0.00012455-0.0012378i,-0.00014985-0.0012243i,-0.00018861-0.00061019i,-5.0753e-05+0.00035042i,-0.00028239+0.00028132i,0.00029196-0.00043713i,0.00058748-0.00083052i,-0.000212-0.0011043i,-0.0003759-0.00067807i,-7.362e-05-6.7368e-05i,0.0001192+0.00033267i,-0.00012135-0.00020616i,-0.00056889-0.00016199i,-0.00028264+0.00034704i,0.00053617+0.00099607i,0.0010527+0.0012021i,0.00080234+0.00079382i,0.00058954+0.0011035i,0.0010008+0.00081537i,0.00090068+0.00013985i,0.0001221-0.00039228i
0.00015228+0.00065466i,0.000679+0.00036741i,0.0012267+0.00018511i,0.00033211+0.00012798i,-0.00034512+0.00067446i,0.00032709+0.00061785i,0.0012945+0.00021207i,0.0013168+0.00034761i,0.0010998+0.00081453i,0.0010959+0.00024522i,0.0016131-0.00044966i,0.0010336-0.0002861i,-6.747e-05-0.00041337i,-4.3188e-05-0.00043246i,-0.00015813-0.00021858i,-0.0007805-0.00016577i,-0.00028509+0.00019069i,-0.00010124+0.00045001i,-0.00026217-0.00019239i,0.00035318-0.00087726i,0.00055832-0.00072219i,0.00017592-0.00020755i,-0.00060151-0.00052805i
-0.0010211-0.0013613i,-0.0010646-0.00012442i,-0.0012666+0.00055103i,-0.0013736-0.00010491i,-0.00044265+0.00038353i,0.0010671+0.00090324i,0.00089541+0.00042316i,0.00059301-0.00040325i,0.00052725-0.00014512i,-5.4482e-05+0.00011877i,-0.00046796+0.00017538i,-0.0006596+0.00015958i,-0.00019221-0.00074837i,0.00042147-0.00052946i,0.0002397-0.00014445i,-0.00058054-0.000862i,-0.00021892-0.00056203i,0.00028967+0.00038871i,0.0002045+0.00041178i,0.0002481+1.1345e-05i,0.0002441-0.00022054i,0.00041996-9.1558e-05i,0.00024499+2.6913e-05i
-0.0008767-0.0012419i,-0.00073441-0.0017236i,-0.0010445-0.0014457i,-0.00081841-0.00051826i,-0.00014533+0.00043181i,0.0010546+0.0011337i,0.0014842+0.001046i,0.00083252+0.0001306i,0.00031362-0.00039347i,0.00048321+0.00013468i,0.00041047+0.00049873i,0.00021671+0.00010645i,0.00031229-0.00022737i,-0.00030087-0.00038276i,-0.00027954-0.00075407i,0.00035911-0.0011828i,0.0008027-0.0010023i,0.00078218-0.00016334i,0.00028393+0.00087874i,0.00017772+0.00090368i,0.0005199+0.00028572i,0.00022195+0.00045936i,-0.00036923+0.0012624i
0.00065403+0.00028994i,0.00012208+0.00040147i,-0.00026831+0.00037636i,0.00026871+0.000503i,0.00089265+0.0011223i,0.00016076+0.0011279i,-0.00039992+0.00079028i,0.00031968+0.00029051i,0.0012845+8.7947e-06i,0.0011437-0.00021213i,0.00044322-0.00031826i,-6.3763e-05-0.00082952i,-0.00079765-0.0012066i,-0.00086313-0.00073746i,-0.00054405-0.00050542i,-0.00011338-0.0005944i,-0.00015283-0.00022796i,0.00015872+0.00014743i,0.00060186+0.00029823i,0.00037944+0.00019161i,-9.1807e-05+9.853e-05i,-0.00014499+9.7331e-05i,0.00042719+0.00020156i
0.0030268+0.0010597i,0.0028611+0.00063078i,0.0028978-0.00035012i,0.0024976-0.00091893i,0.001732-0.00061098i,0.0014925+0.00035567i,0.0014573+9.0008e-05i,0.0018489-0.00083061i,0.0024168-0.00056075i,0.0016107+0.0003038i,9.4345e-05-0.00036618i,-0.00071159-0.0015215i,-0.0013585-0.0014638i,-0.0011404-0.0010451i,-0.00075789+0.00020887i,-0.0007424+0.00065206i,-0.00066067+0.00036344i,-0.00035293+0.00020996i,0.00010598+0.00085724i,9.7755e-06+0.001139i,-0.00058844+0.00084632i,-0.00093783+0.00087529i,-0.00055148+0.0005361i
-0.001192+7.5452e-05i,-0.0013474+0.00018674i,-0.00082736+0.0019578i,6.3563e-06+0.0016976i,-0.00011026+0.0004022i,-0.00039405+0.00010842i,-0.00014705+0.00031269i,0.00038812+0.00049006i,0.00034992-0.00017776i,0.00040647-0.00042235i,0.00064108-6.7898e-05i,0.00013119-0.00041474i,-0.00079931-0.00038831i,-0.00080461-0.00015086i,-0.00024417+3.8541e-06i,-0.00025082-0.00011155i,-0.00050103-4.4667e-05i,-0.00049941+0.00084457i,0.00023795+0.0008637i,0.00055505-0.00025292i,0.00028105-0.00091869i,0.00068324-0.00036271i,0.00024654-5.5062e-05i
