-0.00045186+0.0005624i,-0.0016493-0.00018516i,-0.0014814-0.0014716i,-0.00067198-0.0015096i,-0.0014375-0.00039794i,-0.0018109+0.00032088i,-0.0011464+0.00078621i,4.5969e-05+0.0012531i,0.00088223+0.00099811i,0.00096213+0.00070619i,0.00060615+0.00012522i,0.00036918-0.00078455i,0.00011046-0.0011246i,0.0002703-0.001289i,0.00046811-0.00077088i,0.0001824+0.00019344i,0.00015719+8.2298e-05i,9.8029e-05+0.0002265i,-0.00028809+0.00049639i,-0.00025929+4.5012e-05i,-5.9785e-05-0.0004039i,0.0003004-0.00046573i,7.5583e-05-0.00050351i
-0.0010135-0.0012231i,-0.00037917-0.0018856i,-2.7596e-05-0.0019408i,0.0002276-0.0011526i,-7.9783e-05-0.00069926i,-0.00013092-0.00066932i,-0.00081867-0.002016i,-0.0010479-0.0021646i,-0.0012944-0.0011328i,-0.00044841-0.00067213i,0.00055902-1.2885e-05i,0.00045566+0.00044878i,0.00039802+0.00061698i,0.00014777+0.00062029i,1.7133e-06+0.00069062i,0.00024205+0.00025161i,-0.00018547+0.00013217i,-0.00080211-0.0001924i,-0.00071411-0.00041873i,-0.00057974+4.2106e-05i,-0.0003419+0.00054406i,-0.00013635+0.00091392i,-0.00027653+0.0002101i
-0.00010525-0.001087i,0.00029289-0.00076971i,-0.00032878-0.0011092i,-0.00011628-0.0011568i,0.00054133-0.00075828i,0.00067564-0.00015388i,0.00070673+0.00012735i,0.00022789-0.00025648i,-0.00052175-0.00023146i,-0.00083433+0.00016566i,-0.00061359-0.00017242i,-0.00013029-0.0010348i,0.00037234-0.0010596i,0.00036112-0.00010239i,-0.00017932-1.6105e-05i,-0.00029369-0.00013865i,-3.9045e-05+0.00045159i,0.00021577+0.00050157i,-0.00010719+0.00010029i,-0.00094147-9.908e-06i,-0.00058859-0.00018395i,-0.00029773-0.00035226i,-0.00038071-0.00025862i
0.0023316-6.9432e-05i,0.0017328-0.00063896i,0.0006808-0.0014371i,-0.00051238-0.00090351i,-0.0016682-0.00014308i,-0.0014957-0.000508i,-0.0016839-0.00088402i,-0.0013804-0.00051742i,0.00011369-0.00011843i,0.00035646+0.00042824i,0.00033225+0.00065488i,8.3478e-05+0.00028798i,0.0002003-5.4373e-05i,0.00057376+0.00010703i,-2.1166e-05+0.00022717i,-0.00055018-0.00020282i,-0.0002876+0.00021011i,-0.00032067+0.00040644i,-0.00058852-0.00017258i,-8.9671e-06-0.00065798i,0.00038959-0.00071556i,-0.00016575-0.00010812i,-0.00060836+3.6993e-05i
0.0016752-0.00088585i,0.0021544-0.00095162i,0.0021204-0.0023813i,0.0004905-0.0031165i,-4.2595e-05-0.0017892i,0.00032655-0.00066752i,-0.0001163-0.00082885i,-0.00023702-0.00053529i,-2.4989e-05-0.0002857i,0.00032925+4.7117e-05i,0.00024518+0.00057435i,-0.00016016+0.00019573i,0.00036312+0.00010496i,0.00083224+0.00023373i,0.00033378+1.7347e-05i,-0.0003759+0.00044046i,-0.00048811+0.0010411i,-8.8497e-05+0.00030282i,-0.00011573+0.00055733i,-0.00084882+0.0011436i,-0.00068843+0.00083461i,-0.00062163+0.00034209i,-0.00065999+0.00019231i
0.00023524-0.00047256i,0.00059835-0.0020088i,0.00083749-0.0020449i,0.00012251-0.0010568i,-0.00044926-0.0002241i,-0.00043908+0.00033388i,-0.00037267-6.5966e-05i,-0.00022224-0.000708i,-0.00014173-0.00021797i,-0.00045934+6.7518e-05i,-0.00029913+0.0005263i,-0.00037329+0.0010664i,-0.0010155+1.7232e-05i,-0.00028005-0.00062935i,0.00069983-0.00054084i,0.00082263-0.00070578i,0.00049341-0.00039923i,0.00042599+0.00056003i,-2.0384e-05+0.00064022i,-0.00037356-0.00036755i,-0.00027685-0.00060895i,-0.00083138-0.00036311i,-0.0016536-0.0001952i
0.0019618-0.0002148i,0.0014158-0.0021062i,0.00062573-0.002727i,-2.5619e-05-0.0016239i,-0.0010341-0.00018243i,-0.0020003+0.00011394i,-0.0021017-0.00039493i,-0.001384-0.00039675i,-0.0001991-0.0005246i,0.00019694-0.00031801i,-0.00014223-0.00043794i,-0.00013838-0.00097536i,0.00029771-0.00050666i,0.00091741-9.9506e-05i,0.00024306-0.00012927i,-0.00031498-0.00055166i,-0.00052075-0.0011313i,-0.00012676-0.00093341i,0.0004924-0.00035254i,-0.00038678+0.00015673i,-0.00086115+0.00035554i,-0.000118-0.00018713i,6.623e-05-0.0001944i
-8.8969e-05+0.00021563i,0.00066459-0.00065619i,0.0005182-0.0014974i,-0.00075049-0.0024275i,-0.0022231-0.0023442i,-0.0018936-0.001689i,-0.00062473-0.001492i,-0.00049593-0.0010804i,0.00042947-0.0004766i,0.00074761+0.00019257i,-3.6056e-05-0.00019603i,-0.00052756-0.00028194i,-0.00078719-0.00020373i,-0.00088474-0.00075516i,-0.001354+0.0003252i,-0.00091162+0.00095855i,8.7473e-05-0.00050184i,0.00024416-0.0010497i,-0.00063777-0.00054272i,-0.0001597-0.0002404i,0.00023863-4.7345e-05i,-0.00010662-0.00028212i,0.00013959-0.00033122i
0.0020217-0.00060626i,0.0027061-0.00092921i,0.0026599-0.0019849i,0.001813-0.0020663i,0.00070808-0.0011465i,0.0002009-0.00088553i,0.00020534-0.00049677i,2.8347e-05+0.00048399i,0.00018592+0.0010269i,9.9002e-05+0.00052057i,-3.6884e-05-0.00019212i,1.1067e-06-0.00022666i,0.00021997-8.9584e-05i,-0.00023263+0.00022704i,-0.0011545-0.00017745i,-0.001068-0.00067193i,-0.00031096-4.0401e-05i,0.00038903+0.00049673i,0.00065228+0.00024603i,0.00051262+6.0905e-05i,0.00044659-0.00024849i,0.00042939-0.00077298i,0.00017059-0.00036137i
-6.6046e-05+0.00153i,0.00072655+0.0004517i,0.00089873-0.00086222i,-0.00037331-0.00029755i,-0.0021844+0.0007696i,-0.0022287+0.00046858i,-0.00087792+5.9966e-05i,-0.00080272+8.4906e-05i,-0.00097672-0.00056328i,-0.00046369-0.00016367i,9.0124e-05+0.00081499i,-0.00013919-0.00028664i,-0.00029717-0.00064099i,-0.00030362+0.00014388i,-0.00055652+0.00026694i,-0.00079505+0.00037355i,-0.00098649+3.1664e-05i,-0.0005553-4.1177e-05i,-0.00018008+0.0003704i,-0.00034489+4.6325e-05i,0.00017118-0.00031839i,0.00023617-0.00051672i,-0.00060411-0.00077553i
0.0012695-0.0017858i,0.0014367-0.0033731i,0.0011134-0.0046358i,0.00027148-0.0037222i,-0.00039647-0.0022609i,-0.00017624-0.0018046i,0.00019844-0.0019619i,-0.00062185-0.0019363i,-0.00074288-0.0011773i,-0.00050994-0.00025368i,-0.00081378+0.00031492i,-0.00095065+0.00090565i,-0.0009562+0.00073522i,-0.00064484+0.00032095i,-3.0296e-05+0.00025404i,0.00027164+0.00021329i,0.00021413+7.9843e-05i,-0.00017771+0.00030518i,-0.00058542+0.0001844i,-0.0011995-0.00019149i,-0.0010613-0.00028836i,-0.00025826-0.0010375i,-5.4589e-05-0.0012955i
0.00024288+0.0019472i,0.00077047+0.0014428i,0.00045234+0.00023125i,-0.00028385+0.00013831i,-0.00017211+0.00049852i,-4.5425e-05+2.1141e-05i,-0.00049756-0.00039782i,-0.00059013-0.00037782i,-0.00029106-0.0010121i,-0.00017555-0.0011888i,0.00017084-0.00017578i,-9.5859e-05+0.00014475i,-0.00029141-0.00075865i,-0.00011542-0.0018963i,0.00012128-0.0013703i,-3.9423e-05-0.00079592i,-0.00026824-0.0012525i,-0.00044066-0.00075828i,-0.00035824+0.00046035i,-0.00017001+0.0012082i,-0.00027471+0.00029174i,-0.00055737+0.0003463i,-0.00081287+0.0019702i
0.0019656+0.00021527i,0.0013947-0.00094365i,0.00072091-0.0012103i,0.0003253-0.0013859i,5.2383e-06-0.00091852i,-0.00021476-0.00054505i,-0.00045589-0.00029793i,-0.00024845+0.00056912i,-0.00051799+0.00068026i,-1.4927e-06-0.00031715i,0.00028575-8.9718e-05i,0.00019068+0.0004805i,0.00094551+0.00036312i,0.0010264-9.4384e-05i,0.00032505-0.00085517i,-0.00017229-0.00035475i,-0.00066217+0.00024648i,-0.00059053-2.959e-05i,0.00058328+0.00047945i,0.00081605+9.3608e-05i,-0.00017725-0.00048585i,-0.00013749+4.2333e-05i,-0.00045389-5.4207e-05i
0.00099371+0.00035779i,-0.0002091-0.00096103i,-0.00082565-0.0013851i,-0.00019096-0.0016457i,-0.00018059-0.0014169i,-0.00053337-0.00095452i,-0.00033521-0.00041516i,-0.00070624+0.00037292i,-0.00046492-0.00015093i,0.00035582-0.00056933i,0.00032268-0.00053779i,0.0004721-0.00047757i,0.00083853-0.00018362i,0.00074575+0.00014927i,-0.00017188+3.4229e-05i,-0.00063056-0.00019137i,-0.00026609-0.00035384i,-0.00011015-0.0010358i,-0.0001038-0.00081179i,0.00043666-0.00056324i,0.00048458-0.00058025i,0.00029786+0.00048755i,0.00011786+0.00014753i
0.0010112+0.0018407i,0.0022103+0.00088981i,0.0021039-0.0009993i,0.0012557-0.0022758i,-2.0174e-05-0.0016526i,-0.00091514-0.00031194i,-0.001034-3.7786e-05i,-0.00038034-5.079e-05i,0.00068623+0.00055924i,0.00054156+0.00071146i,0.00088032+0.00022877i,0.0006957+0.00010053i,-0.00094067+0.00071034i,-0.0015198+0.00041632i,-0.0010227-0.0007385i,-0.00073671-0.00069785i,-0.00034491-0.00026359i,0.00011558-0.00022841i,0.00047237-0.0007719i,0.00029626-0.00052919i,-0.00035198+0.00052875i,-0.00029871+0.00080557i,0.00053676+0.00037694i
-0.00025979-0.00036068i,-0.00022996-0.0007071i,-0.00053532-0.001814i,-0.0013906-0.001704i,-0.0016897-0.00074745i,-0.00097964-0.0001677i,-0.00089137-4.5316e-05i,-0.00086496+5.163e-05i,-0.00050954-0.00041936i,-0.00033121-0.00032774i,0.00030084+0.0007327i,0.00068556+0.0010955i,0.00046549+0.00034897i,-0.0003154+0.00019796i,-0.00036901+0.00025599i,0.00010826-4.2839e-05i,7.5312e-05-0.00010811i,0.00027588-1.0907e-05i,0.0004303-0.00016689i,-0.0001464-0.00066033i,-0.00076323-0.00061713i,-0.0011024-0.00080471i,-0.0010997+9.832e-06i
0.00014602+0.00025171i,7.6594e-06+6.0468e-05i,-0.00099688-0.00074464i,-0.0015283-9.9788e-06i,-0.0014189+0.001059i,-0.00048067+0.0008585i,0.00045151-4.6924e-05i,0.00037628-0.00039624i,4.8116e-05-0.00015682i,-0.00032807-0.00040036i,-0.00047803-0.00091852i,-0.00039402-0.0010768i,6.365e-05-0.00075044i,0.00020336+6.4753e-05i,1.8831e-05+0.0009359i,-0.00030263+0.0010798i,-0.00072685+0.00096853i,-0.00057142-1.8517e-05i,-0.00010667-0.0012092i,0.00018205-0.00049396i,4.3017e-05+0.00022709i,-0.00044577+0.00019129i,-0.00042205+0.00022076i
-0.0015852-0.001314i,-0.00038961-0.00071511i,-0.00053967-0.00046908i,-0.000689+0.00022928i,-0.00025968+0.0010187i,-0.00063566+0.00058011i,-0.0013592+0.00013806i,-0.0011701+0.00022763i,-0.00022998+0.00027893i,0.00013105+0.00040987i,0.00037041+0.00063873i,0.00075233-8.0363e-05i,0.00067075-0.00066871i,0.00076389-0.0007263i,0.00055396-0.00049559i,0.00041717-0.00036925i,0.00022425-4.1213e-05i,-0.00013574-0.00017382i,-0.00034783-0.00052117i,-0.00050878-0.00049266i,-0.00050815-0.0001813i,-6.3924e-05+0.00012922i,0.00039824-0.00035893i
0.00038239+0.00017485i,0.00081376-0.0014906i,0.00072823-0.0023667i,-0.000425-0.0022438i,-0.00082154-0.0012499i,-0.00018946-0.00044701i,8.6475e-05-0.00080537i,-0.00058875-0.0011123i,-0.0005914-0.00084963i,2.8017e-05-0.00065588i,0.00019192-0.00029411i,0.00048417-0.00023258i,0.0001303-0.00013861i,-0.0011478+0.00017165i,-0.0011857-0.00021608i,-0.00088867-0.00037893i,-0.00027794-0.00044557i,0.00035493-0.00090832i,0.0004681-0.00047043i,8.7745e-05+0.00024715i,-0.00026197-0.00026973i,0.00012108-0.00078962i,0.00012718-0.00041059i
0.00086669+0.00012014i,0.0013322-0.0011878i,0.00095907-0.0015991i,0.00057851-0.002133i,0.00035637-0.0017928i,0.00036806-0.00091466i,-7.8135e-05-0.0014109i,3.8383e-07-0.0011418i,0.00026465-0.00051192i,0.00017153-0.00034604i,-0.00025643-0.00042599i,-0.00017298-0.00044642i,0.00038616+6.5579e-06i,8.8719e-05+0.00023809i,-0.00015273-0.00016116i,-0.00077848-0.00055503i,-0.00089413-0.00048065i,-0.00016398-0.0003281i,-1.883e-05-0.00028696i,0.00011284-0.00038036i,2.7797e-05-0.00041631i,-0.00042604-0.00063569i,-0.00037906-0.00021332i
-0.0002274-0.00068477i,0.0011406-0.001117i,0.0013619-0.0010646i,0.00077853-0.00037462i,-0.00036747+0.00057068i,-0.0010823+0.00043807i,-0.0012302-0.00027144i,-0.00088135-0.00019482i,3.2689e-05-0.00020638i,3.7593e-05-0.00025904i,-5.7745e-05-0.00030012i,0.00040355-0.00069478i,0.00043955-0.00045937i,7.4013e-05-0.00042538i,0.00038311-0.00018943i,0.00035116+0.00042201i,-0.00017553+0.00027618i,0.0007347+0.00022395i,0.001369+0.00025065i,0.00029008-0.00025121i,-0.00044543-0.00098444i,-0.00011802-0.0011811i,-0.0001355-0.0012289i
0.0022163-0.0017105i,0.0020572-0.0024634i,0.0010307-0.0021626i,-0.00028296-0.0014286i,-0.0004781-0.00064178i,-0.00010311+0.00086346i,0.00023875+0.00033964i,0.00068474-0.00024657i,0.0010126+0.00018288i,0.00026752+3.1392e-05i,-0.00032832-0.00023673i,0.0001354+0.00067673i,0.0003361+0.00074063i,0.00013468+0.00017793i,-0.00024879+0.00055744i,-1.3899e-05+0.00037801i,8.8249e-05+0.00015916i,-0.00062559-0.00022173i,-0.00029335-0.0002745i,0.00064491+2.5518e-05i,0.00062011+8.7857e-05i,0.00040194+0.00034577i,0.00032484+0.00030451i
-0.000122+0.00012639i,-0.00027589-0.0014258i,-0.00013317-0.0021677i,-0.00042008-0.0019856i,-0.0010889-0.0016894i,-0.0016624-0.00123i,-0.00088669-0.0007174i,7.9611e-05-0.00036425i,-0.00010461-0.00012967i,0.00017981-0.00017003i,0.00017166+0.00016133i,-0.00024936-5.0623e-06i,2.9017e-05+0.00018725i,0.00049078+0.00054984i,0.0001131-0.00030993i,0.00034754-0.00094099i,0.00065069-0.0013065i,0.00071788-0.0012935i,0.00055909-0.00022381i,0.00019471+0.00032109i,0.00028152-4.1872e-05i,-7.9353e-05-0.0002061i,-0.00020771-2.4736e-05i
0.00032461+0.00038559i,0.00039226-0.0010651i,0.0013531-0.0013163i,0.0020982-0.00065911i,0.00076818-0.0006827i,-5.4943e-05-0.00071812i,0.00027425-0.00107i,0.00041201-0.00022526i,2.3072e-05+0.00076901i,7.2481e-05+0.00036709i,0.00061058+4.4521e-05i,0.00061148+0.00055365i,1.6532e-05+0.00066801i,-0.00021785+0.00015127i,-0.00012764-0.00012045i,-0.00070368+0.00012712i,-0.00043741-0.0002361i,3.4197e-05-0.00041995i,0.00020491-0.00024738i,0.00055565-0.00013749i,0.00057608+0.00014727i,0.00020643+0.00021365i,0.00014967-0.00019305i
0.0023127-0.00059741i,0.0024121-0.0018478i,0.0017436-0.0025574i,-0.00025263-0.0023058i,-0.0017241-0.0011341i,-0.0017699-0.00069834i,-0.0013517-0.00051556i,-0.00046488-0.00056529i,-8.3959e-06-0.00077064i,-9.4691e-05-0.00029322i,-0.00015038+0.00029996i,-0.00048243+0.00045214i,-0.00049241-0.00013778i,0.00028261-0.00069173i,0.0003525-0.00068453i,-2.7258e-05-0.00035032i,-0.00045938+0.00040486i,-0.00052465+0.00026332i,0.00017888-0.00050337i,-7.7745e-05-0.00051714i,-0.00068024-0.00030748i,-0.00096458+0.00024457i,-0.0018758+0.00018024i
0.0014649-0.0011467i,0.00058658-0.0016853i,-0.00095752-0.0017698i,-0.0016367-0.0015475i,-0.0016344-0.0003894i,-0.00098927+0.00040115i,-0.00047739-0.00010939i,0.00019144-0.00083636i,0.00027416-0.00088671i,-0.00031121-0.00024663i,-0.00055626+6.4008e-05i,0.00014938+0.00052731i,0.00054073+0.00078878i,0.00047757+0.00058157i,0.00025588+0.00084123i,-0.00014771+0.00013529i,-0.00090843+0.00019559i,-0.00078296+0.00048373i,0.00036839+0.00049066i,0.00036036+0.00059387i,0.00058772+0.00070016i,0.00082972+0.0006419i,0.00025748+0.00056426i
0.00096453-0.0011272i,0.00085606-0.0015255i,0.0014085-0.0025827i,0.0020279-0.0015194i,0.00010767-5.8854e-05i,-0.00083224-0.00029873i,-0.00024207-0.00049807i,-0.00029183-0.00019594i,-0.00033498-0.00019428i,-0.00041052+0.00017199i,6.3983e-05+0.00093318i,0.00013082+0.0012029i,-0.00061205+0.00052298i,-0.00034192+9.5194e-05i,-0.00080989-3.3386e-05i,-0.0004137-0.00034907i,0.00036743-0.00035271i,5.8297e-06-0.00056519i,5.8794e-05-0.00043284i,0.0006528-0.00061463i,0.00056234-0.00065828i,-0.0005087+6.6254e-06i,-0.0007033+0.00022277i
-0.00016404+0.00082607i,0.0010023+0.00039188i,0.0010722-0.001226i,0.00012581-0.0018028i,-0.00063277-0.001747i,-0.00013038-0.0011426i,4.2271e-05-0.00051327i,-6.9854e-05-0.00015676i,0.00019689+4.9374e-06i,0.001251-0.00010424i,0.0015066-0.0004835i,0.00057002-0.00021341i,0.00020113+0.00029999i,-0.00019486-0.00047016i,-8.2463e-05-0.00078721i,-9.7101e-05-3.1475e-05i,-0.00024361+1.3762e-05i,0.00011347-0.00019026i,0.00077274-0.00050174i,0.00042423-0.0004809i,-2.3414e-05+0.00019025i,0.00060723-0.00029912i,0.00047664-0.00069289i
0.00029267-6.3388e-05i,0.00098814+0.00079419i,0.0010599+0.0011771i,0.0012536+0.00018303i,0.0012546-0.00050057i,0.00066979-0.00012132i,6.7844e-05+4.4824e-05i,-0.00037222-0.00065274i,-0.00016916-0.0011347i,0.00031242-0.00051964i,0.00039332+1.3515e-05i,-3.7343e-05-0.0003159i,-0.00021759-0.00013813i,-5.9827e-05+0.00019823i,0.00025018-0.0002125i,0.00025344-0.00047574i,-0.00050485-0.0005012i,-0.00018401+0.00015945i,0.00059934+0.0011581i,0.00075221+0.00087794i,0.00037458+0.00040243i,6.0602e-05+0.00052118i,-0.0002936+0.00026526i
-0.00088611-0.00033175i,0.00050627-0.00021522i,0.00029957+5.6273e-05i,-0.00064272+0.00077475i,-0.00042625+0.0013676i,0.00081974+0.00063605i,0.00024608-0.00085553i,-0.00073443-0.0010873i,-0.00075843-0.00041101i,-0.00052257+0.00033335i,-2.4626e-05+0.00055198i,0.00040502+0.0004612i,0.00049385+0.00027909i,8.9647e-05-0.00015454i,0.0003857-0.0010643i,0.00050087-0.0017514i,0.00033394-0.00098009i,0.00022355+0.00028279i,-0.00023802+0.00019734i,-0.00052879-0.0003401i,-0.00067115-7.8202e-05i,-0.00035392-2.4108e-05i,8.1777e-05-0.00072913i
-0.00081262+0.00055383i,-0.0010604+0.0005312i,-0.0016323+0.0012685i,-0.00070631+0.0019714i,0.00044397+0.0014616i,0.00089507-8.7401e-05i,0.00074222+3.4505e-06i,0.00037773+0.00077606i,-0.00042154+0.0006998i,-0.00082928+0.00064087i,0.00025263+0.00033778i,0.0012958+0.00034004i,0.0010474+0.00038058i,0.00010316-0.0001717i,-0.00012943-0.00051274i,7.5281e-05+0.00024661i,-6.1563e-05-9.7002e-05i,-1.6941e-05-0.00054867i,-0.00030594+0.00024371i,-0.00036978+0.00063028i,-0.00066639+0.00054277i,-0.00050092+0.00077628i,-0.00026872+0.00050407i
-0.0005646+0.00088506i,-0.00050384-0.00074383i,0.00031423-0.0014229i,0.0011036-0.0023517i,0.0015141-0.0022638i,0.001147-0.0014315i,-9.7171e-05-0.0010655i,-0.00031235-0.0011467i,0.00044251-0.00078071i,0.00038981-0.00026034i,0.0001342+0.00030036i,-2.9306e-05+0.00010899i,-6.5184e-06+0.00044799i,0.00026777+0.00058378i,7.0387e-05-0.00020544i,0.00044615-0.0009038i,0.001093-0.00054593i,3.7345e-05+0.00013323i,-0.0012797-6.8995e-05i,-0.0013419-0.00069687i,-0.00081041-0.00046923i,-0.0007193-0.00023964i,-0.00015445+8.8393e-06i
