-0.0051126+0.00022693i,-0.0043813-0.00028067i,-0.0042449+0.00064217i,-0.0023238+0.0015866i,-0.00046761+0.0025253i,0.00025207+0.002045i,-0.00022664+0.0019694i,-0.00020388+0.0022386i,0.00061043+0.001504i,0.001147+0.0006439i,0.0010252+0.00042387i,0.00044318+0.0001259i,0.00067631-0.00064161i,0.00089066-0.00093687i,0.00022069-0.00058562i,-0.00030462+0.00047025i,0.00042495+0.0011277i,0.00084497+0.0011743i,0.00033024+0.00086932i,3.8124e-05+0.0010795i,-0.00051675+0.00079698i,-0.00056344-0.00042231i,0.00017348-0.00056719i
0.0010995-8.5667e-06i,0.00079159-0.0005727i,0.0011244-0.0014892i,3.7476e-05-0.0020445i,-0.00078889-0.00026902i,-0.00098037+0.0007989i,-0.00044343+0.00013381i,-0.00027351-0.00017986i,-0.00029885-0.00030685i,-0.00021286-0.00033334i,-0.00030608-0.00011069i,-0.00058986-6.3721e-05i,-0.0014198-0.00016264i,-0.0016822+0.00052843i,-0.0010633+0.00070094i,-0.00018615+0.0003236i,0.00025936+0.00025076i,0.00044553-0.00025927i,0.00062001-0.00048777i,0.00034499-0.00048419i,0.00028122-0.00050014i,0.00031181-0.00023009i,-0.0003732-1.9537e-05i
-0.0010345-0.0012722i,-0.00081858-0.00095156i,-0.0015661-0.00010356i,-0.0018005+0.0013051i,-0.00083607+0.0025928i,0.0001957+0.0018114i,-4.9216e-05+0.00088303i,-0.00020651+0.0011393i,-6.2294e-06+0.0012746i,-0.00024+0.0015443i,2.4234e-05+0.00068202i,0.00037409-0.00061741i,-0.00024233-0.00063871i,0.00024147-0.00052934i,0.0009317-0.00067344i,0.00038048-0.00038695i,-0.0004151+0.00060918i,-0.0010523+0.00078149i,-0.00045204+0.00020747i,0.00020155+0.00090781i,-0.00057006+0.0011758i,-0.0003435+0.00047092i,0.00021502+0.00082951i
0.00047792-0.00017597i,-0.00060919+0.00022057i,-0.00047362-0.00040859i,0.00017735-0.00031158i,-0.00044179+0.000185i,-0.00065224-2.0444e-05i,-0.0006892+0.00045417i,-0.0003441+0.00091528i,0.0001306+0.00056647i,0.0005617+0.00016221i,0.00092044-0.00039549i,6.8239e-05-0.00022133i,-0.000243+0.00022076i,-0.00015899+0.00037367i,-0.00047795+0.00010995i,-0.00042043-0.00022828i,-0.00049363+0.00036537i,-0.0001211+0.0010965i,-0.00073795+0.0010901i,-0.0011069+0.00010587i,-0.00041194-0.00073245i,-0.00020551-0.00065397i,-0.00057766-0.00024858i
0.00073115-0.00092553i,0.00067703-0.001497i,-0.00023379-0.0013497i,-0.0018109+0.00010341i,-0.001995+0.0010159i,-0.0013193+0.00084846i,-0.00027932+0.00046248i,0.00048216+0.00091439i,0.00014806+0.0012783i,-0.00057224+0.0010608i,-0.0010712+0.00047634i,-0.00041244+0.00033909i,0.00087601+0.00095654i,0.0010586+0.00091265i,0.00080272+0.00052766i,0.0001626+0.00092554i,-9.7321e-05+0.00023708i,-0.00071185-0.00013455i,-0.0010905+6.2642e-05i,-0.00036619-0.00040558i,0.00016818-0.00061124i,0.00024694-0.00054381i,0.00077797+0.0002922i
-0.001123+0.00057829i,0.00026803-0.00014784i,0.0018538+1.7859e-06i,0.0026771+0.0010519i,0.0015719+0.0014925i,-0.00045627+0.00060675i,-0.0011326-0.00032367i,-0.00046597-0.00044288i,0.00042116-0.00059387i,0.00042142-0.00054602i,-0.00038421-0.00011444i,-0.00012809+0.00011398i,0.00063123+0.00056069i,0.00027917+0.0010494i,-0.00021813+0.0009606i,-9.0152e-05+0.00021473i,-0.00023307-0.00032728i,-0.00067693-0.00058411i,-0.00043015-0.0006248i,0.00049361+3.1431e-05i,0.00053272+0.0010768i,-8.9477e-05+0.0008066i,-0.00053143-0.00038376i
0.00045217+2.7787e-05i,0.0008004+0.00018619i,2.9623e-05+0.0001127i,-0.00022372-0.00090486i,0.00034584+0.0003658i,-5.3085e-05+0.0011311i,-0.00080751+0.00072369i,-0.00089749+0.00052991i,-0.00064036+0.00088333i,0.00017872+0.00067768i,0.00038187+0.00044556i,-4.8497e-05+4.6215e-05i,-0.00038778-0.00013911i,-1.4551e-05+0.00036368i,0.00035669+0.00019466i,-4.6021e-05-9.1778e-05i,-0.00024764+6.8009e-05i,-0.00030553-6.8278e-05i,0.00023943+0.00010625i,0.00060258+0.00048627i,6.7069e-05+0.00045307i,0.0003327+0.00030303i,0.00087194-0.00011351i
-0.00079484-0.00027512i,-0.0011795+0.00041862i,-0.00062353+0.00080228i,-0.00042445+0.00072757i,-0.00016336+0.00079555i,0.00085108+0.00079105i,0.0011513+0.00026193i,0.0008549-0.00021983i,0.00081223-0.00027744i,0.00045299-0.00042561i,0.0003522-0.00039595i,0.00020816-0.00075896i,-0.0002862-0.00080734i,-0.0011345+0.00045198i,-0.0012796+0.00068414i,-0.00010856-0.0001137i,0.00037156-0.00055325i,2.2102e-05-0.0003496i,-0.00023633-0.00017121i,-0.00022569+0.00020879i,-0.00028934+0.00056223i,-5.1288e-05+0.00075955i,0.00031109+0.00095758i
-0.00025198-0.0016028i,-0.00079074-0.0017112i,-0.0013449-0.0019769i,-0.0016969-0.00085761i,-0.0013226+0.00015464i,0.0001301+0.00011259i,0.00027609-0.0010437i,-0.00036078-0.0012162i,-0.00038792-0.00040236i,-0.00025163-0.0007303i,-0.00021071-0.00035647i,-3.7137e-05+0.0008335i,2.0149e-06+0.0011697i,0.00035186+0.0010399i,0.00043139+0.0013145i,0.0006497+0.0010766i,0.00062147+0.00083639i,0.00051503+0.0006367i,0.00051701+9.8776e-07i,0.00030896-1.9658e-05i,0.00012449+0.00037803i,-0.00012461+0.00019107i,-0.00035074+0.00011354i
0.0011097-0.00017273i,0.0019207-0.0007902i,0.0012127-0.00054773i,-0.00024656+0.00058845i,-0.0010235+0.0013987i,-0.00086013+0.0011915i,-0.00034019+0.00071049i,-9.3674e-05+0.00044186i,-0.00068338+0.00068377i,-0.0010337+0.00060882i,-0.0013001+0.0003519i,-0.0014325-2.2263e-05i,-0.00050985+0.00011265i,0.00018061+0.00084351i,0.00047879+0.00034937i,0.00057904+0.00012425i,0.00093953+0.00011534i,0.0014545-0.00018986i,0.00099638-0.00012859i,-0.00034377-5.0902e-06i,-0.00047855+2.0476e-06i,-0.00024176-9.4173e-05i,-0.00035105+0.00049519i
0.0017614-0.0010303i,0.0013776-0.001402i,-2.5015e-05-0.001441i,-0.0010942-0.0015014i,-0.001232+0.00073153i,-0.00116+0.0021329i,-0.00069921+0.0010529i,0.00016282+7.0506e-05i,0.00039472-1.959e-05i,-0.00070149+0.00042832i,-0.00077697+0.00059623i,-0.00039844+0.00014708i,-0.00077159+0.00011615i,-0.00010999-0.00045124i,0.00033674-0.00073371i,-0.0002331-0.00022334i,-0.00088625+5.1873e-05i,-0.0010402+0.00011391i,-0.00042888+2.2258e-05i,2.5957e-06+0.00040475i,9.3731e-05+0.00011659i,-4.9483e-05-0.00013408i,0.00034386+0.00039187i
-0.00082383-0.0026714i,-0.0003433-0.0028418i,-0.00028356-0.0013294i,-0.0013947+0.0013301i,-0.0015184+0.0025125i,-0.00056612+0.0014219i,6.8859e-05+0.00048772i,0.00040883+0.00067856i,-0.00015751+0.00070423i,0.00024881-9.498e-05i,0.00055194-6.1596e-05i,-0.00034149+0.00087205i,-0.00039465+0.0010189i,-0.00058383+0.00070322i,-0.00060852+0.00036387i,-0.00031383-0.00033853i,-3.7295e-05-0.00045924i,-0.00025102+0.00010384i,-0.00053301-6.4399e-05i,-0.00069493-0.0004678i,8.0506e-06-0.00026419i,0.00072597+4.849e-06i,0.00045083+0.00021658i
0.00028588-0.00065447i,0.00015084-0.00027539i,-0.00016716+0.00034698i,-0.00014147+8.0949e-05i,-0.00030708+0.00028632i,-0.0011572+0.00022798i,-0.00068305-3.4177e-05i,-0.00045406-0.00042969i,-0.00075125-0.00069755i,-0.00059386-0.00059338i,-0.00051182-1.762e-05i,-0.00074613+0.00090145i,-0.00049379+0.00085648i,-0.00022669+0.00020343i,-7.3623e-06-7.3305e-05i,0.00061757-0.0003569i,0.00088919-1.3839e-05i,0.00054197+0.00055375i,0.00015594-8.0657e-05i,-0.00028121-0.00080006i,-0.00054342-0.0009471i,-0.00034238-0.00076011i,6.6344e-06-0.00049331i
-0.0015417-0.00072457i,-0.0012053-0.00042699i,-0.0019394+0.00034884i,-0.0020896+0.0010382i,-0.00033722+0.0019719i,0.00091193+0.0019784i,0.00046687+0.0012004i,-0.00010863+0.00065039i,-0.00014486+0.00063469i,0.0002889+0.00048184i,0.00075561-9.7068e-05i,0.00085958-0.00030643i,0.00057071-0.00020716i,-2.7478e-05-0.00026201i,0.0001668+0.00031761i,7.811e-05+0.00061349i,-5.3678e-05+0.0006642i,0.0004118+0.00039048i,0.00041127-4.6184e-05i,0.00018791+0.00062326i,0.00042787+0.0011404i,-0.00036968+5.5887e-05i,-0.00080235-0.0003373i
-0.0014829-0.00080194i,-0.0017465-0.0021827i,-0.00069386-0.0025008i,0.00019953-0.00087987i,0.00057555+0.00099909i,0.00057529+0.00094994i,0.00020768+0.00046998i,-0.00043871+0.0010137i,-0.00017623+0.0011025i,0.00043755+0.00051584i,-0.00019634-0.00017496i,-0.0001571-0.00025688i,0.00043869-0.00019031i,0.00057635-0.00068235i,0.00022617-0.001349i,3.8718e-05-0.00093395i,0.00049707-0.00027067i,0.00057979-0.00013892i,8.0351e-05-9.5468e-05i,-0.00013389-0.00092422i,0.00022508-0.001105i,-1.8455e-05-5.4454e-05i,0.00025424+6.3952e-05i
0.0018393-0.00085973i,0.0015331-0.0015654i,0.00075303-0.0017201i,-0.00071241-0.00064543i,-0.0012332+7.0981e-05i,-0.0013795+0.0002255i,-0.0011918+0.00062475i,-0.0011173+0.00048569i,-0.00060081+0.00039409i,-9.521e-05+0.00013043i,-0.00068089-0.00081813i,-0.00079056-0.00060803i,-0.00022807-0.00026162i,-2.034e-05+8.095e-05i,2.8175e-05+0.00082377i,0.0011713+0.00096093i,0.0014043+0.00025767i,-0.0003056-0.00035049i,-0.00099326-0.00068859i,-0.00043878-0.0003318i,0.00021326+0.00034986i,0.00031088+0.00039087i,0.00016118+0.00022373i
0.002209+0.00152i,0.0022468+0.00022017i,0.0011361-0.00092568i,0.00070173-0.0010269i,9.6638e-05-0.00045666i,-0.00012794-0.00044673i,-2.0682e-05-0.00063059i,-0.00039463-0.00023364i,-0.00022865+0.0002126i,-2.8794e-05+0.00083266i,-0.00025139+0.0009668i,-0.00022327+0.00014922i,0.00063406-0.00030888i,0.00067429-0.00012207i,-0.00034804-0.00020044i,0.00013091-9.3819e-05i,-6.233e-05-4.0253e-06i,-0.00061685+0.00027495i,-0.00041254+0.0010115i,-0.00045406+0.00010192i,-0.0005419-0.0001722i,-0.00023075+0.00065865i,0.00032461+0.00061423i
0.0017219+0.0013678i,0.0013422+0.00086036i,0.00087999+3.6572e-05i,0.00076068-0.00065495i,-5.8898e-05-0.00085491i,-0.00069948-0.00049154i,-0.0014944-3.8944e-05i,-0.00094308-0.00028572i,0.00041555-0.00049808i,0.00033569-0.00074903i,-0.0003038-0.0011194i,-0.00067804-0.00095491i,-0.0013204-0.00058293i,-0.0015076+0.00012925i,-0.0014707+0.00073734i,-0.00087404+0.00022918i,0.00010815-0.00028692i,0.00048262-0.00049366i,0.00049574-0.00041134i,0.00073157-0.00040806i,-4.807e-05-0.00048851i,-0.00045132+0.00016263i,0.00010537+0.00012104i
-0.00018712-0.00028347i,-0.00046526+0.00076323i,-0.00099664+0.00073579i,-0.0010895+0.0011292i,-0.001136+0.0019419i,-0.0012142+0.0015567i,-0.00052205+0.00061808i,-0.00011962+0.00048543i,1.2203e-06+0.0011641i,0.00016977+0.0013122i,0.00084697+0.0009471i,0.0011379+0.00063268i,0.00052038+0.00017291i,-2.8843e-06+1.0302e-05i,-0.00027947-0.00016036i,-0.00010275-0.00024428i,-0.00044022-0.00030295i,-0.0010578-0.00039098i,-0.00050031-0.00015357i,0.00043037+0.00034074i,-0.00013036+0.0001934i,-0.00025244+0.00015308i,0.00010716+0.00043071i
0.0030978+0.0015517i,0.0034325+0.00061445i,0.002716-0.0014503i,0.0011175-0.0023846i,-0.00025804-0.0010964i,-0.0012937-9.8244e-05i,-0.0015987+0.00011146i,-0.00076145+0.00034266i,0.00040764+7.029e-05i,0.00098447-0.00040276i,0.00041782-0.00050443i,-0.00025496-0.00084457i,-0.00037031-0.0010732i,0.00025364-0.00019467i,0.00054677+0.0010816i,0.00013004+0.00064122i,0.0002544-0.00020834i,-0.00023641-0.00016599i,-0.00050346-0.00069881i,-0.00043403-0.0013759i,0.00012926-0.00083412i,0.00045202-0.0003181i,4.8822e-05-0.00041962i
7.1931e-05+0.0013482i,0.00047438+0.0017165i,0.00029106+0.0012419i,0.000504+0.00046355i,0.0010966-0.00014461i,0.00050257-0.00085831i,0.00033551-0.00046002i,6.246e-07-8.9403e-05i,-0.00068663-5.6554e-06i,-0.0010227-9.4834e-06i,-0.00044937-0.00055552i,-0.00035625-0.00013094i,-0.00017442+3.7963e-05i,0.00061203-0.00035544i,0.00075543-0.00037242i,0.00021576-0.0010279i,-1.5556e-05-0.0012503i,-3.2402e-05-0.00081339i,0.00013406-0.00036445i,0.00044771+0.0003239i,0.00071656+0.00091202i,0.0010793+0.00093894i,0.00018095+0.00013211i
-0.0004854+0.001669i,0.00037822-0.00028142i,0.00088409-0.00038334i,0.00011461-5.3392e-05i,7.4508e-05-0.00064073i,0.00033066-0.00073453i,0.0003754-0.00050861i,-5.7638e-05+0.00035433i,-0.00023487+0.00074217i,0.00019059+0.00029474i,8.2308e-05+0.00041181i,-3.9782e-05+0.00071263i,-0.00018262+0.00037766i,-0.00040231+0.00033119i,-0.00039606+0.00017423i,-0.00024347-0.0002081i,-2.2397e-05+2.2828e-05i,-0.00012132+0.00074442i,-0.00033782+0.00054412i,-0.00044304-0.00037475i,-0.00018103-0.00075924i,-4.6169e-05-0.00038393i,-9.0995e-05+9.4502e-05i
0.0024698-0.00028982i,0.0028994-0.0002667i,0.0013742-0.00088818i,-0.0003943-0.00075463i,-0.00061124+0.000619i,-0.00020629+0.0013187i,-2.0569e-05+0.0007843i,-1.8706e-05-0.00055755i,0.00027209-0.0013135i,0.00062582-0.00062604i,0.00017802+2.5712e-05i,-0.00072158+0.00010947i,-0.0012086+0.00019682i,-0.00023197+0.00025027i,-8.0699e-05+0.00015953i,-0.00099783-0.00028493i,-0.0010965-0.00038095i,-0.00046684-0.00021914i,-6.0164e-05+0.00039802i,-9.0515e-05+0.00082574i,-0.00032617-0.00024369i,-0.00036494-0.001165i,-0.00019012-0.00037274i
-0.00021936-0.001313i,-0.00047928-0.00032125i,-0.0012849+0.00030831i,-0.0017084+0.00048844i,-0.00054338+0.0015428i,0.00055961+0.0012195i,0.00053086+0.00037951i,0.0001352-0.0001985i,0.00017496-0.00028479i,0.00065244-0.00012506i,-0.0002144-0.0003021i,-0.00057066-0.00026017i,0.00056798-0.00069797i,0.00091547-0.00093288i,0.00020124-0.00018315i,2.7063e-05+0.0006519i,0.00059139+0.00048525i,0.00092904+0.00014166i,0.00083327+0.0007801i,0.00023043+0.0010159i,0.00043164+0.0003883i,0.00073219-5.628e-05i,0.00018279-7.5258e-05i
-0.0024797+0.00075982i,-0.0021654+0.00071319i,-0.0016758+0.0010513i,-0.00086479+0.0021621i,9.6233e-05+0.002476i,0.00058873+0.0012519i,0.00036244+0.00038648i,-0.00010156+0.00083497i,9.8968e-05+0.0011089i,0.00091739+0.0006027i,0.00047958-0.00012751i,-0.00012792-0.0011048i,-0.00034624-0.0009017i,-0.00056588-0.001081i,-0.00051164-0.00092302i,9.4099e-06+0.00030155i,0.00030251+0.00046746i,0.0003199+0.00039911i,8.5296e-05+0.00034475i,0.00021332+4.9116e-07i,0.00053048+0.00025254i,0.00069544+0.00022708i,0.00095566-0.00049611i
-0.00053108-0.00028477i,-0.00049927-0.00099945i,-0.0014054+7.1548e-05i,-0.0018822+0.00078491i,-0.00043542+0.0011729i,0.0012658+0.0010657i,0.001349+0.00028929i,0.00029026-4.0358e-05i,-0.00036905+0.00017721i,-0.00034627+0.00048971i,-0.00061821-6.7354e-05i,-0.0012509-0.00083889i,-0.0009748-0.00038097i,-0.00060071+0.00034866i,-0.00057073+0.00059417i,-0.00060448+0.00027416i,-0.0010861+0.00019948i,-0.0012095-0.00056134i,-0.00024073-0.00096187i,0.00042028-0.0007735i,0.00033617-0.0008118i,8.3392e-05-0.00023077i,0.00047916+0.00061264i
-0.00045685+0.0011849i,-0.00024991+0.0011991i,-0.0014667+0.00050288i,-0.0011529+0.00041019i,0.00019989+0.0019399i,0.00069418+0.0011783i,0.0011251-0.00031621i,0.00080216-8.0631e-05i,-3.7428e-06+0.00018836i,-0.00025786-8.3921e-05i,-0.00045-5.4888e-05i,-0.00042382-8.023e-05i,3.8239e-06-0.00018748i,6.2836e-05-0.00063135i,-0.00025066-0.00081751i,-0.00041894-1.0205e-05i,-0.00034774+0.00035249i,0.00017481+9.4712e-05i,0.00038534-0.00052639i,-9.3099e-05-0.000417i,-0.00053344-0.00018594i,-0.00046109-0.00062686i,-0.00053545-0.00087107i
0.0010575+0.00074633i,0.00094436+0.00037983i,-0.00011225-0.00073561i,-0.0010029-0.00086284i,-0.0011972-2.5741e-05i,-0.00051118+0.00025732i,-6.8453e-05-0.00012362i,-0.00074137+0.00046959i,-0.00056672+0.00070679i,-0.00016477-0.00048809i,0.00034781-0.00087673i,0.0005064-0.00029511i,-0.00033229+0.00011686i,-0.0004992+0.00030787i,-0.00035802-0.00023636i,2.399e-05-0.00048264i,0.00073137-0.00040624i,0.00043198+7.8658e-05i,0.00020473+0.00029738i,-0.00013256+0.00021019i,4.6657e-05-0.00059224i,0.00077171-0.00052111i,0.00047516+0.00046707i
0.00035692-0.001191i,0.0002761-0.0023641i,0.00095444-0.0033981i,-9.6922e-05-0.0026536i,-0.0010039-0.00094635i,-0.0011666+9.1708e-05i,-0.0011332+1.9398e-05i,-0.00059521+0.00014931i,-0.00030627+9.4786e-05i,-0.00029573-3.7696e-05i,-0.00064098+3.5395e-05i,-0.00033867+0.00025072i,1.2041e-05+0.001247i,-0.00014628+0.001629i,4.2447e-05+0.00073744i,0.00029576+0.00065635i,0.00038626+0.00067693i,0.00064154-0.0001829i,-1.5105e-05-0.00093764i,-0.00015143-0.0006158i,0.00065605+0.00039637i,0.0003263+0.00060624i,6.971e-05-0.00013403i
0.0015228+0.00022475i,0.0018079-0.0001971i,0.00069746-0.00016417i,-0.00039198+0.0010098i,-0.00060674+0.0024524i,0.00019413+0.0013851i,0.00042583-0.00020602i,-0.00070688-0.00067642i,-0.00092477-0.00017711i,-0.00065644+8.5034e-06i,-0.00018823-0.00056426i,0.00024201-0.0012168i,-0.00086656-0.00054399i,-0.001795-4.4866e-05i,-0.00087572+6.5564e-05i,-0.00035665+0.00023425i,-0.00011745-0.00015502i,0.00053712-0.0008125i,0.00079808-0.00039876i,0.00025106+0.0003137i,-0.00012976+0.00057093i,-0.00023948+0.00054819i,-7.6834e-05+3.6693e-05i
0.0023908+0.00029802i,0.0024118-0.0011954i,0.0014467-0.0017659i,-0.00079827-0.0011499i,-0.0014792+1.0836e-05i,-0.00030698+0.00048803i,0.00032135+0.00047915i,0.00038177+0.00037711i,0.00013471+0.00024644i,0.00025633+0.00034576i,-0.00011994+0.00013038i,-0.00078542-0.0002481i,-0.0012853+0.0004746i,-0.0016375+0.00086738i,-0.00102+0.00067384i,-0.00018171+0.00046451i,0.0005921-0.00044286i,0.00041606-0.00087539i,3.0785e-05-0.00020162i,0.0002223-0.00020857i,0.00021985-6.5366e-06i,0.00034459+0.00062303i,0.00042293-8.9933e-05i
-0.00078879+0.0014266i,-0.00087777+0.0012358i,0.00061907+0.0017486i,0.0014847+0.001851i,0.0016599+0.0010672i,0.00093116+0.00033583i,0.00015574+0.00024524i,-0.00039179+0.0003848i,-0.00046639+0.000455i,-0.00024755+0.00078138i,-0.00023749-3.6988e-05i,-0.00062538-0.0008049i,-0.00053223-0.00025047i,-0.00081618+0.00062296i,-0.00079312+0.0004346i,-0.00032475-4.181e-05i,-0.00031985-0.00039872i,-0.00042322+3.4123e-05i,0.00033106+0.00055153i,0.0010164-5.732e-05i,0.00069292-0.00023573i,0.00043633-0.00062826i,0.00024035-0.00017598i
