-0.0038598-9.7256e-06i,-0.0033354+0.00015179i,-0.0035475-3.6759e-05i,-0.0044353+0.00078314i,-0.004852+0.0018571i,-0.0029923+0.0020954i,-0.0017538+0.0021203i,-0.0013972+0.0021065i,-0.00090561+0.00089615i,-0.00025455+0.00015371i,-4.005e-05+4.1514e-05i,1.7379e-05-0.0005421i,-0.00024833-2.5676e-05i,-0.00074684+0.0007046i,-0.00086566+0.00023916i,-0.00084552+8.8841e-05i,-0.00057724+0.00044137i,-0.00017983+0.00011468i,0.00040618+0.00016109i,0.00058522+0.00016237i,-0.00017763-0.00030233i,-0.00037443-0.00027298i,0.00017973+0.00014759i
6.5994e-05+0.0018487i,0.00058492+0.00037281i,0.0013372+0.0001964i,0.0011922-0.00046124i,0.00066521-0.00081895i,-0.00030745-0.0006385i,-0.00051111+8.9081e-06i,-6.0313e-05+0.00073362i,0.00039857+0.00064712i,0.00048448+0.00073044i,9.1353e-05+0.00081154i,-0.00026168-4.7484e-05i,0.0001352-0.0010587i,0.00040746-0.0010172i,-0.00028248-0.00068528i,-0.00079784-0.00027953i,-8.0539e-05+0.0001773i,0.00041324+0.0010027i,8.0403e-05+0.0010318i,-0.00015458+0.00052785i,-0.00035794-0.00021893i,1.657e-05-0.00065056i,0.00030884-0.00059776i
-0.001219-0.0011973i,-0.00055673-0.00086429i,0.00032414-0.0015474i,6.5958e-05-0.0011859i,-0.00074662-0.00081389i,-0.0016838-0.00086761i,-0.0020391-0.0010211i,-0.0016451-0.0006488i,-0.001209-5.0667e-05i,-0.0010928-0.00016903i,-0.00094644-0.00033301i,-0.0009006-0.00031449i,-0.00077478-0.00034091i,-0.00099231-0.00091101i,-0.00090348-0.0012325i,-0.00049637-7.8369e-05i,-0.0005749+0.00045626i,-0.0010438-0.00037463i,-0.00081098-0.00029244i,-0.00054716+0.0001948i,-0.00025135+0.00014407i,4.4393e-05+0.00068711i,-0.0001512+0.00068554i
-0.00058538-0.0012059i,-0.00072095-0.001133i,-0.00035771-0.0011837i,-3.6628e-05-0.00065135i,-0.00018507-0.00011147i,-0.00034668+3.4875e-05i,-0.00083517+0.00045654i,-0.0011034+0.00043048i,-0.001023+0.00042108i,-0.00078633-0.00021989i,0.00055252-7.071e-05i,0.00020135+0.00042942i,-0.0010493-0.00015366i,-0.00069176+3.2792e-05i,0.00031968-0.00049846i,0.00096113-0.00056107i,0.0005697+0.00024706i,-0.000126-0.00017056i,-0.00070483-0.00022634i,-0.00081319+0.00039311i,-0.00032806+0.00021797i,0.00040827-0.00098594i,0.00034395-0.00056661i
-0.00011606+0.00028829i,0.00042277+0.0010832i,0.0012689+0.00048618i,0.00079397+8.7707e-05i,-9.0967e-05+0.00030807i,-9.996e-06+0.00058683i,-0.00020015+0.00060841i,-0.00090166+0.00051342i,-0.0014741+0.00075973i,-0.0010707+0.00060502i,-0.00011667-6.7209e-05i,0.00051167-0.00069362i,0.00059853-0.00087702i,0.00022403-0.00092489i,-0.00010884-0.00074161i,-0.00054448+3.2467e-05i,-4.4434e-05+0.0005434i,6.7479e-05+0.00045463i,-0.0011542+0.00024802i,-0.0016803+0.00011217i,-0.00086681-0.00012778i,-0.00061303+0.00015238i,-0.00080187+0.0005042i
0.001681+0.0010285i,0.0012237+0.0012663i,7.2007e-05+0.001233i,9.4943e-06+0.00048113i,7.1304e-05-3.7705e-05i,-0.00037759+6.5282e-05i,-0.00095211+0.00044884i,-0.0009619+0.00036989i,-0.00049813-0.00018988i,2.8639e-05-0.00064336i,0.00045088-0.0007784i,0.00038414-0.00070053i,4.1656e-06-0.00046063i,4.6648e-05-0.0007249i,0.00023527-0.0011449i,0.00013967-0.00064383i,0.00049162+0.00069196i,0.00053416+0.0012456i,0.00011939+0.00052796i,0.00020362+0.00042007i,0.00011367+0.00058732i,-0.00010254-0.00011517i,7.5212e-05-0.00081793i
0.0018422+0.0016715i,0.0010502+6.1745e-05i,0.0012406-0.00049637i,0.0012438-0.0002177i,0.00043504-0.00013077i,-0.00065534-0.00068373i,-0.00096976-0.00020902i,-0.00067561+0.00076971i,-0.00038804+0.00046258i,-0.00017636+0.00016651i,0.00030242+0.00029749i,0.00022064+0.00041036i,-0.00031135+0.00041614i,-0.00055536+0.00024465i,-0.00077638+0.00027169i,-0.0018009+0.00060409i,-0.0017469+0.0010293i,-0.00065334+0.0010159i,0.00059752+0.00089243i,0.0010916+0.00097007i,0.00065683-1.2517e-06i,0.00050287-0.00094024i,0.00043237-0.00065432i
0.000444+2.948e-05i,0.0011432-0.00023086i,0.0012388-0.0001857i,0.001797-0.00047349i,0.0014021-0.00070686i,-0.00024339-0.00022094i,-0.00082479+0.0007603i,-0.0004338+0.0012703i,-0.00040816+0.00098084i,-0.00094587+0.0004478i,-0.0012053-6.6161e-05i,-0.0010547-0.00028973i,-0.00044642-0.00034167i,0.00064687-9.8876e-05i,0.00043088-0.00028427i,-0.00041347-0.00050368i,-0.00043175-0.00023613i,-0.0004906+0.00015441i,-0.00054658+0.00060169i,-9.5848e-05+0.00023202i,-0.00041955+0.000176i,-0.0011311+0.0011215i,-0.00075986+0.00076819i
0.00035527+0.0026014i,0.00037589+0.0032985i,0.0010231+0.0029746i,0.001596+0.0010658i,0.0012563-0.00069014i,0.00083661-0.0010865i,0.00039152-0.00119i,-7.6456e-05-0.00099234i,-0.00039328-0.00033872i,-0.00053447-0.00016627i,-0.00034012+0.00012902i,-0.00037985+0.0001628i,-4.0114e-05+9.2992e-05i,8.2302e-05+0.0001811i,-6.6165e-06-0.00071777i,0.00055806-0.00072655i,5.4502e-05+0.0006169i,-0.00091428+0.0011325i,-0.0014738+0.00074054i,-0.001687+0.00020836i,-0.0009547+0.00063021i,-0.0001941+0.00071883i,0.00021796+0.00038622i
-0.0011653+0.0016295i,-0.0017781+0.0010672i,-0.0015561+0.00047426i,-0.00040866+0.00064987i,-0.00035511+0.00083855i,-0.00097047+0.00056365i,-0.0017181+0.0005624i,-0.0020851+0.00097633i,-0.0015498+0.0016391i,2.9231e-06+0.0011536i,0.0011561+0.00027581i,7.3697e-05+5.075e-05i,-0.00048979-5.9717e-05i,0.00012102+0.00026971i,-0.00014505+0.00027011i,-0.00051271+0.00074457i,-0.00038898+0.0013815i,-0.00010202+0.0014338i,-0.00046855+0.0011514i,-0.00068887+0.0003431i,-0.0001159-0.00023974i,0.00054917-0.0004479i,0.00037586-0.00091887i
-0.0015559-0.00089804i,-0.0013067-0.00098639i,-0.00090601-0.00052106i,-0.0019196-0.00022286i,-0.0019595-0.00051518i,-0.00049731-0.00048979i,-3.506e-05-0.0004872i,-0.00039942-0.00025402i,-0.00053824-0.00017704i,-0.0014365-0.00022035i,-0.0021057+6.475e-05i,-0.0013176+0.00031981i,-0.0005538+0.0005981i,-0.00069048+0.0006231i,-0.00066824+0.00067493i,-0.00032042+0.00084419i,0.00057892+0.0009844i,0.00068044+0.0011305i,-0.00061955+0.00083404i,-0.00098237+0.00051912i,-0.00017839+0.00048461i,0.00055248+0.0001935i,0.00059516-5.0107e-06i
-0.0005656+0.0014029i,0.00050496+0.0014036i,0.0017891+0.002041i,0.0017765+0.001539i,0.0010239-0.000284i,2.6103e-05-0.0007315i,0.0002279-0.00033234i,-8.162e-05-0.00044866i,-0.0016245-0.00030714i,-0.0014962-0.00041957i,-0.00026994-0.00055654i,0.00014274-6.0187e-05i,-5.1752e-05-8.3584e-05i,-0.00018343-0.00045327i,-0.00016975-0.00045483i,-1.0607e-05-5.8569e-05i,0.00021547+7.4691e-05i,8.4246e-05-9.4797e-05i,7.1528e-05-1.939e-05i,-0.00044129-0.00052197i,-0.00017449-0.0006833i,0.00063803-0.00022306i,0.00084552-7.8856e-05i
-0.0011269-0.00073108i,-0.00088169-0.00073758i,-0.00090726+8.7561e-05i,-0.0011703+0.0012316i,-0.0016207+0.0022773i,-0.0010994+0.0018322i,-4.8138e-06+0.00024359i,-0.00049032+0.00053197i,-0.0017071+0.00088755i,-0.0010192+8.4087e-05i,-3.3705e-05-0.00057953i,-0.00018928-0.00080298i,-0.00023467-0.00021834i,8.9169e-05+0.00020642i,-0.00011205+6.0551e-05i,-0.00052784+0.00061678i,-0.00033073+0.0012139i,-0.00038675+0.00044566i,-0.00074476+7.4115e-05i,-0.00086403+0.00044468i,-0.00081467+0.00024249i,0.00039161+0.0002171i,0.00073729+0.00068248i
-0.0012058+0.0004734i,-0.0012139+0.0012209i,-0.001815+0.0015564i,-0.0019588+0.0020825i,-0.00087828+0.0016586i,-0.00043976+0.00054847i,-0.0006101+0.00028593i,-0.00014211+0.00057175i,-0.000136+0.00053523i,-0.00049977-1.0587e-05i,-0.00031698-0.00065419i,5.7384e-05-0.0012415i,-5.471e-05-0.00046199i,-0.000125+0.00054362i,-0.00019857+0.00064549i,-0.00055485+0.00053456i,-0.00056585+0.00084679i,-2.345e-05+0.0011815i,0.00050168+0.00075578i,-0.00019401-0.00014219i,-0.00075982-5.4254e-05i,-0.00042616-0.00022387i,-0.0001308-0.00060672i
-0.0013672-0.00020329i,-0.0015759-0.00087705i,-0.0026524-0.0019293i,-0.0020931-0.0020032i,-0.00075883-0.0012141i,0.00040135+0.00022883i,0.00013103+0.00055436i,0.00020472+0.0003383i,0.00025437+0.00056395i,-3.0308e-05+4.9225e-05i,-7.3031e-05-0.00011591i,-0.00069971+0.00070853i,-0.0010543+0.0011298i,-0.00048964+0.00086529i,0.00052739+0.0012025i,0.0008388+0.0015133i,0.00015745+0.00099391i,-0.00012809+0.00067794i,-0.00052191+9.6954e-05i,-0.00095138-6.8304e-05i,-0.00046968-0.0001405i,-6.8862e-05+5.1971e-06i,-9.2931e-05+0.000661i
0.00043806+0.0004372i,-5.2432e-05+5.5572e-05i,-7.3604e-05-0.00071021i,-0.00030466-0.0007096i,-0.00062273-0.00046062i,-0.0008587-0.0002591i,-0.00085656+0.00011127i,-0.00066795+0.00066132i,-0.000739+0.00056523i,-0.00031267+6.3658e-05i,3.789e-05-0.00020534i,0.00012332-0.00035157i,9.599e-06-0.00074098i,-0.0001531-0.00088172i,-0.00041647-0.0005245i,0.0002037-6.7562e-05i,0.00020591+0.00045684i,-0.00024623+0.00041897i,0.00024411-0.00012597i,0.00044558-0.0002586i,0.00077766+0.00025511i,0.00062097+0.00016031i,7.4337e-05-0.00024545i
0.0009883-0.00034186i,0.00050491+0.0005624i,-0.00013199-0.00042818i,-0.00074131-0.00075678i,-0.0012182+0.00041277i,-0.00052551+0.00076436i,0.00027565+0.00061343i,-0.00010059+0.00072634i,-0.001041-0.00029638i,-0.00099204-0.0011373i,-0.0003554-0.00060239i,-0.00051526-0.0002982i,-0.00063416+0.00013854i,-0.00068377+0.00044243i,-0.00089577-0.00019972i,-0.000783-0.00070403i,-0.00048676-0.00055976i,-0.00044328+3.2576e-05i,-0.00043615+0.00042577i,5.8842e-05+0.00014459i,0.0003032-0.00012262i,0.00060407-9.8897e-05i,0.0010722-0.00027835i
-0.00081257+5.4059e-06i,-5.2073e-05+0.0011871i,0.00019951+0.0013131i,0.00013667+0.0010246i,-0.0006036+0.00082885i,-0.00071246+0.00040429i,-0.00070161+0.00033456i,-0.00031685+0.00060864i,-0.0002827+0.00076235i,-0.00056158+0.00095385i,-0.00036803+0.00082761i,-0.00038298-0.00036541i,-0.00068414-0.0016005i,-0.00020687-0.0012732i,-3.4672e-07-0.00068708i,-0.00048067-0.00034057i,-0.00030502-7.2057e-05i,-0.00072553+0.00058237i,-0.0011012+0.0010461i,-0.00032375+0.00034793i,0.00013514-0.00049716i,-4.1343e-05-0.0011362i,-9.3715e-05-0.0010199i
-0.00018576-0.00038425i,-0.00056558-0.0020215i,-0.00054832-0.0018474i,-0.00078944-0.0011866i,-0.0008984-0.0014749i,-0.00036565-0.0012437i,-0.00071053-0.00052144i,-0.001385+0.00044547i,-0.0013927+0.00021399i,-0.00085825-0.00024017i,-0.00073633-0.00055556i,-0.00083886-0.00065016i,-0.00074388-0.00048793i,-2.8833e-05-0.00075963i,-9.9433e-05-0.0011773i,-0.00075542-0.00074369i,-0.00097981+6.9197e-05i,-0.00059444+4.668e-06i,0.00043911+0.00010151i,0.0006346+0.00054304i,-0.00013889+0.0010951i,-5.4383e-05+0.0012137i,0.0002821+0.0010098i
0.002679+0.00039586i,0.001931-0.00020741i,0.0021859-0.0011462i,0.0015721-0.0019378i,0.000129-0.0013776i,-0.00045858-0.00027519i,-8.746e-05+0.00057133i,-0.00021753+0.0007131i,-0.00068519+0.00039405i,-8.5166e-05-0.0003895i,0.00058071-0.00097502i,0.00011395-0.00077577i,-0.00024971-0.00073862i,-0.00022038-0.00083897i,-0.00073008-0.00036002i,-0.00094872+0.00060941i,-0.00094309+0.0011734i,-0.00056346+0.0010122i,-0.00031664+0.00099862i,-0.00037534+0.00083376i,0.00035367+0.00048023i,0.00066763+0.00031307i,0.00022775+0.00055538i
-0.0019917+0.0014929i,-0.0017925+0.0026139i,-0.0011737+0.0031181i,-0.00083025+0.0021464i,-0.00072476+0.001092i,-0.00029232+8.0657e-05i,-0.00047311-1.6087e-05i,-0.0013368+0.00044709i,-0.0015162+1.9478e-05i,-0.00061384-0.00015923i,-0.00049629+0.00050838i,-0.00093968+0.00058436i,-0.00037515+0.00060791i,0.00057005+0.0011315i,0.0013763+0.0014361i,0.00051114+0.00075467i,-0.00038007+0.00021104i,-0.00012968+0.0003863i,-0.00052448+0.00061629i,-0.0010258+0.0011927i,-0.00076367+0.0011942i,-0.00012507+9.8037e-05i,9.4256e-05-0.00057881i
-0.00024159-0.00063063i,-0.00016341-0.00081763i,-0.00011218-0.00064467i,-0.00021904-0.00057933i,-0.00078461+8.2181e-05i,-0.0011516+0.0006437i,-0.001112+9.7287e-05i,-0.00072571-0.00015137i,-0.00077572+3.9823e-05i,-0.001182-0.00015639i,-0.00081412-0.00059976i,-0.00027841-0.00071503i,-0.00062656+1.7948e-05i,-0.0010313+0.00026946i,-0.00091733+0.00044376i,-0.00083262+0.00093849i,-0.00041935+0.00022592i,-0.00033974+0.00019007i,-0.00064792+0.00036441i,-0.00053818+0.00034144i,0.00019405-0.000118i,-5.5062e-05-0.00021237i,-0.00065966+0.00037437i
0.00024142-4.5281e-05i,0.00056048-0.0011391i,-0.00042328-0.0022921i,-0.0011556-0.0013488i,-0.00087853-5.328e-05i,-0.00042599+0.0011026i,0.00017669+0.0016314i,-3.4587e-05+0.0013206i,-0.00066316+0.00047996i,-0.00037614-0.00079901i,0.00013623-0.0012757i,3.5856e-05-0.0011144i,-0.00038315-0.00057314i,-0.00057438+0.0001336i,-0.00077339+0.00059515i,-0.0012272+0.00075273i,-0.001095+0.0003482i,-0.00078126+0.00079221i,-0.00029303+0.0012005i,0.00011591+0.00053718i,-0.00043662+0.0002712i,-0.0015072-0.00015075i,-0.0010318-0.00021904i
-0.0005907-0.0010937i,-0.0001724-6.6051e-05i,-0.00077098+0.00031972i,-0.0007801-0.00095197i,-0.00050725-0.0014923i,-0.00046957-0.00039917i,-0.00072019+0.00061728i,-0.00062987+0.00057317i,-0.0003655-7.3177e-05i,-0.00065798+0.00011113i,-0.0012009+0.00027441i,-0.0017298-0.0010082i,-0.0018332-0.0013288i,-0.0008048+5.9751e-05i,6.2322e-06+0.00021478i,-0.00020084+1.4135e-05i,0.00027271+0.00097721i,0.0002794+0.0015098i,3.123e-05+0.0004598i,0.00041865-0.0002681i,4.6872e-05+0.00018544i,-0.0006002+0.00077758i,-0.00046716+0.0011438i
