-0.00063821+0.00014117i,-0.0010357-0.0013852i,-0.002315-0.0010897i,-0.0018892-0.00089235i,-0.00082406+0.00025394i,-7.8056e-05+0.001446i,-0.00021137+0.0018039i,-0.00022406+0.0022283i,0.00064604+0.0018759i,0.00071971+0.00074712i,9.5968e-05-0.00055001i,4.8987e-05-0.0011211i,4.7272e-05-0.001295i,-0.00022834-0.001308i,3.0809e-05-0.0010356i,3.8549e-05-0.0007162i,0.00035811-0.00011188i,0.00045836-3.6621e-05i,0.00024439+6.9838e-05i,-0.00052033+0.0002916i,-0.00024257+0.00046155i,0.00010708+0.00032119i,-0.00012364+0.00030869i
-0.0012706+0.002162i,-0.0015745+0.001569i,-0.0011857+0.0012342i,-0.00034202+0.00085253i,0.00064271-0.00045867i,0.001467-0.0014604i,0.0022358-0.001918i,0.0016972-0.0024213i,0.0016524-0.0011527i,0.0012604+0.00018194i,0.00070622+0.00061824i,0.00062773+0.00044027i,-0.00039585-6.8216e-05i,-0.00047202-0.00070444i,0.0008434-0.0015316i,0.0010555-0.0016053i,-3.8114e-05-0.00054005i,0.00019313-0.00014055i,0.0004351+0.00028348i,2.5554e-05+0.00079044i,0.00038193+0.00094948i,0.00018106+0.00011914i,-9.3979e-05-0.0003079i
-1.9028e-06+0.0012824i,0.0010512+0.0021331i,0.0010501+0.0021267i,0.00093306+0.00065482i,0.00071623-0.0011563i,-0.00012921-0.0025333i,-0.0010479-0.0037632i,-0.0013535-0.003683i,-0.0017849-0.0026884i,-0.0018665-0.0012536i,-0.00095883-0.00045718i,5.4632e-06+0.00030123i,0.00045453+0.00071542i,-0.00049157+0.00014228i,-0.00089271-0.00028938i,-0.0011845-0.00025261i,-0.0016188-0.00025133i,-0.00055183-0.00062343i,-0.00022168-0.00052533i,-0.0009896-0.00083558i,-0.00041874-0.00063959i,0.00055837-0.00016294i,0.00016973-0.00040892i
-0.0011861-0.0020767i,-0.00086148-0.0016655i,-0.00064736+8.1606e-05i,-0.0011331+0.00033058i,-0.00082152-0.00087521i,-0.0011672-0.002009i,-0.0020559-0.0021855i,-0.0021666-0.00081844i,-0.0018852-0.00020642i,-0.0018077+0.00034576i,-0.0013328+0.00067678i,0.00033454+0.00087609i,0.0013626+0.00095495i,0.0010961+8.4255e-05i,0.00054925-0.00036897i,-1.1048e-06+9.6007e-05i,-0.00025435+0.00013849i,1.7028e-05+0.00026387i,0.00025999+0.00030303i,-0.00027242+1.6475e-05i,-0.00049399+0.00014388i,-0.00052756-0.00063324i,0.00020677-0.0013088i
-0.00058981-0.0010413i,0.00025428-0.00039544i,0.0012478+0.0011154i,0.0011331+0.00059212i,0.00051753+2.6182e-05i,0.0005671-0.00050161i,0.00057216+2.4999e-05i,6.4902e-05+0.0014747i,-0.00029041+0.0013856i,-0.00024278+0.00081523i,2.3294e-05+0.00078748i,-0.00012725-0.0001722i,-0.00036885-0.00091525i,-0.0004505-0.00059188i,4.9469e-05-0.00013027i,-0.0004359+0.00021272i,-0.00086868+0.00070981i,-0.00037182+0.00062928i,-0.00027579+0.00013682i,-0.00073735-0.00033959i,-0.00063722-0.00070486i,0.00018404-0.00041799i,0.00019697+0.00038905i
0.0018524-0.00093749i,6.8639e-05-4.3017e-05i,-0.00042161+0.0010111i,0.00011115+0.0011308i,0.00038638+0.0002124i,0.00075852-0.00033632i,0.002338-0.0001279i,0.0032589+0.00054771i,0.002873+0.00050249i,0.001718+0.00047049i,0.00047292+0.00097039i,-0.00056654+0.00095484i,-0.00073161+0.00098053i,-0.0001775+0.0014355i,0.00025021+0.0011246i,0.00020223+0.00038333i,0.00043887-0.00028647i,0.00087883-0.00040903i,0.0010204+0.00010347i,0.00079377-0.00010765i,0.00047749-0.00030091i,-5.5228e-06-0.00042265i,-4.9033e-05+6.3507e-05i
0.00035046-0.00036328i,-0.00026924+6.7677e-05i,7.0034e-05+0.0010345i,0.00074253+0.00038454i,0.0016682-0.0010277i,0.0025652-0.0024487i,0.0032115-0.0031961i,0.0018866-0.002689i,0.00034043-0.0020319i,0.00067876-0.00091358i,0.00089228+0.00054024i,0.001261+0.00089777i,0.001276+0.00025512i,0.00062041-0.00027498i,0.00068996-0.00019802i,0.00015394-3.2134e-05i,-0.00060316-0.00010994i,-2.2636e-05+0.00021888i,0.00026645+0.00025994i,-0.00016449+0.00026344i,-7.8814e-06+0.00071361i,0.00072238+0.00040641i,0.0010549-0.00024762i
-0.00022403+0.00018031i,-0.00044209+0.00032004i,-0.00037857+1.4427e-05i,-0.0003565-0.0010327i,-0.00011187-0.0015566i,-0.00044319-0.0022941i,-0.00084197-0.0036009i,-0.0015522-0.0038376i,-0.0019501-0.0022552i,-0.0014224-0.00066545i,-0.00037741-0.00026595i,0.00030955-8.2926e-05i,0.0003511-0.00014826i,0.00065555-0.00069108i,0.0016519-0.0008641i,0.0014082-0.00095602i,0.00040692-0.00077909i,0.00010038-2.0709e-05i,-0.00025791+0.00085022i,-0.00023543+0.00065213i,0.00045757+0.00044791i,0.0010967+0.00017926i,0.00070845-0.00051809i
-0.00058099-0.00132i,-0.00015582-0.0017641i,0.00010243-0.00069783i,-0.00044783-2.0744e-05i,-0.0012685-0.0010815i,-0.0013205-0.0012256i,-0.0011657-0.00063903i,-0.001879+0.00013282i,-0.0018552+0.00092691i,-0.00093965+0.00093164i,-0.00048369+0.00058335i,-0.00018867+2.1983e-05i,-0.00062083+0.00033488i,-0.0012874+0.00076788i,-0.00086108+0.00025857i,-0.00054398-0.00055118i,-0.00033198-0.0011782i,-0.00013851-0.00073095i,0.00016722+0.00034161i,0.00048467+0.0005229i,-0.00020236-0.00031601i,-0.00013137-0.00035884i,0.00019388-2.911e-05i
-0.0010097-0.0014306i,-0.00070285-0.0017111i,-0.0006287-0.00092572i,-4.2372e-05+1.2771e-05i,6.2795e-05+0.00029461i,0.00068706-0.00018244i,0.00057217-0.00017002i,6.9544e-05+0.00082545i,0.0004982+0.0018407i,0.00055784+0.0014136i,0.00037313+0.0010303i,0.00015952+0.0010148i,0.0003989+0.00066924i,0.00085616+0.00054689i,0.0012023+0.00040073i,0.0004573+0.00071507i,1.0602e-05+0.00061891i,0.00017798-1.4098e-05i,-0.00022584+0.00014003i,-0.00070324+0.0011216i,-0.00057875+0.0013542i,-0.00057948+0.00086405i,-0.00049063+0.00013057i
0.0017694-0.0008837i,0.002466-0.00079791i,0.001989-0.00098035i,0.0010807-0.0016385i,0.00036836-0.0017823i,0.00028178-0.00083985i,0.0016159+0.00042241i,0.0025773+0.00077763i,0.0020096+0.00010311i,0.0011891-0.00043996i,0.00095135-0.00035337i,0.00057663+0.00065084i,0.0001265+0.00096861i,-3.1103e-05+0.00098305i,-0.00069871+0.0013807i,-0.0014868+0.00065469i,-0.00067628-0.00014672i,0.0007515-0.00078051i,0.0012951-0.00039075i,0.00012916+8.8614e-05i,-0.00068746+7.0233e-05i,0.00010288-0.00044283i,0.00015393-0.00076486i
-0.000669-0.0021289i,-0.0013359-0.0025102i,-0.0015362-0.0019722i,-0.0016573-0.0013371i,-0.00056819-0.0013492i,0.00084595-0.0019007i,0.0019307-0.0023971i,0.0021146-0.0028141i,0.00081702-0.0023862i,-0.00010367-0.0017792i,0.00034338-0.0012114i,0.00084024-0.00023913i,0.00091284-0.00051242i,0.00069846-0.0012208i,-7.9563e-05-7.9563e-05i,-0.00028066+0.00039419i,5.498e-05-0.00040745i,0.0002201-0.00087111i,0.0008463-0.00028542i,0.0010031+6.416e-05i,0.00054773-0.0003214i,0.00032483-8.7619e-05i,-0.00021731+0.00015361i
-0.00040624-0.00094458i,-0.00063765-0.0011438i,-6.9191e-05-0.00041649i,0.00013981+0.00020399i,-0.00035007-0.00078565i,-0.00075429-0.0017139i,-0.00080546-0.0022177i,-0.0011968-0.0024362i,-0.0017018-0.0014793i,-0.0012703-0.00079958i,-0.00072214-7.2291e-05i,-0.00054378+0.00046458i,-0.00073176+0.00035714i,-0.0004727+5.2486e-05i,0.00030166+9.0535e-05i,0.00073274-0.00016117i,0.00049311-0.00063857i,2.6979e-05-0.00045889i,-0.00064896-0.00016992i,-0.00050608-7.2103e-05i,-2.7726e-05+5.4272e-05i,-0.00054269+0.00042205i,7.7587e-05+8.1419e-05i
0.0014285-9.897e-05i,0.0023564+8.9999e-05i,0.0025097+0.00038999i,0.001077-0.00015863i,-0.00078581-0.00063124i,-0.0020703-0.00034642i,-0.0024975+0.00037483i,-0.0020292+0.00099458i,-0.0015293+0.0014541i,-0.0014012+0.0011827i,-0.0011192+0.00041829i,2.8954e-05+2.2692e-05i,0.00073452+0.0006832i,-8.5451e-05+0.000924i,0.00026274+0.0005501i,0.00033312+0.00061238i,0.00012074+3.67e-05i,0.00011551-0.00058483i,-0.00020296-0.0011764i,0.00039323-0.0011079i,0.00032929-0.00018289i,-9.4704e-05+2.4435e-05i,-0.00013617-0.00040589i
-0.00028728-0.00035433i,0.00040012-0.0006341i,8.7135e-05-0.00069795i,-0.00014072+0.00016079i,0.00074859+0.00081302i,0.0013256+0.00042223i,0.0011975+0.00027983i,0.00093841+0.00067232i,0.00094593+0.00055259i,0.0016203+0.00071912i,0.0016682+0.00020385i,0.0010843-0.00031366i,0.00053733+0.0003259i,0.00047+0.0014253i,0.00046684+0.0011969i,-0.00013515-4.324e-05i,-0.00020272-0.00033906i,4.31e-05+0.00057638i,0.00027442+0.00053602i,-0.00032767+3.6906e-05i,-0.00087917-0.00038558i,-0.00056311-7.6145e-05i,7.7759e-05+3.8358e-05i
0.00099683+0.00080181i,0.00040799+0.00064865i,0.00046967-0.00017375i,-0.00015222-0.00086776i,-0.0005005-0.0012938i,0.00063327-0.0010123i,0.0022134-0.00080173i,0.0028084-0.0011538i,0.0019256-0.0010964i,0.00031531-0.00043578i,-7.1321e-05+0.00011874i,0.00094696+0.00056252i,0.00072459+0.00013988i,-0.00020361-0.00056913i,-0.00063867-0.00030413i,-0.00058036+0.00076232i,-0.00053878+0.0012751i,-0.00068061+0.0010352i,-0.00079353+0.00050214i,-0.00041907+0.00043302i,-0.00020234+0.00041496i,-0.00035823+0.00023488i,-0.00017441+0.00083067i
-0.00019709-0.0011415i,-0.00050564-0.00081514i,-0.00029444+0.00013614i,0.00034975+8.0196e-05i,0.00069386-0.0018609i,0.00039775-0.003396i,0.00029378-0.0026412i,0.00041386-0.0024051i,8.5632e-05-0.0023514i,-0.00036955-0.00097094i,-0.00020025+9.6071e-05i,-0.00033813-0.00045313i,0.00034497-0.00035523i,0.00048925+0.0009168i,-0.00034778+0.00089926i,-0.00063513-0.00048603i,-0.00071025-0.0010017i,0.0002411-0.00042947i,0.00037984-0.00044421i,0.00023911-0.00076133i,0.00025841-0.00013747i,-0.0007163-0.0001903i,-0.0008068-0.00064387i
0.00041697+0.00025951i,-0.00066591-0.00050036i,-0.00041581-3.0123e-05i,0.00023321-0.00018742i,-8.3772e-05-0.0017078i,-0.00073645-0.0027522i,-0.00069244-0.0023365i,-0.0017094-0.00054329i,-0.0022558+0.00029223i,-0.0013973-0.00041902i,-0.00029213-0.00031086i,0.00015393+0.00016915i,0.00029003-0.00050755i,0.00032053-0.00073378i,0.0005506-6.3533e-05i,0.001276-4.0722e-05i,0.00090054-0.0003754i,0.00052211-0.00020452i,0.00050156+0.00023447i,0.00023265+0.00095162i,0.00010112+0.0010295i,0.00058908+0.0009613i,0.00051839+0.00081043i
-4.9908e-05+0.0022605i,0.00044114+0.0017809i,0.0010224+0.00069729i,0.00026402+0.00049757i,-0.00052517+0.00020758i,-0.00043542-0.0003427i,-0.00080899-0.00031849i,-0.0011794+0.00087236i,-0.0012358+0.0017808i,-0.00072633+0.0013698i,-0.00011426+0.0014762i,-3.3058e-06+0.0011318i,-0.00016539+0.00080585i,0.0002051+0.00061103i,0.00038937+1.1484e-05i,-3.4984e-06-0.0004876i,-8.7483e-05-0.00027398i,0.00036004-0.0003634i,6.548e-05-0.00084531i,-0.0005188-0.00064071i,-0.00020129-0.00025755i,0.00020868-5.1941e-05i,0.00049437-0.00014277i
-0.0019811+0.0011745i,-0.001295+0.0019966i,-0.00015638+0.0020335i,0.0010324+0.00073801i,0.0016252-0.00039735i,0.0012696+4.9643e-05i,0.00057313+0.0011305i,0.00044208+0.00061051i,0.0016949+0.00035199i,0.002031+0.00022322i,0.00089147+0.00046805i,0.00052159+0.00041512i,0.0010651-8.3643e-05i,0.00049652-0.00040237i,5.1309e-05-0.00079046i,5.7562e-05-0.00089324i,-0.00052381-0.00054227i,-0.00063765+0.00032862i,-0.00060862+0.00049006i,-0.00029343-0.00036375i,0.00066918-0.00071026i,0.0010278-1.629e-05i,0.00022314+0.00032273i
0.0012267-0.0013424i,0.0019557-0.00031008i,0.0006946-0.00030814i,-0.00021259-0.0013507i,0.0004817-0.002245i,0.0016905-0.0016153i,0.0025783-0.00034468i,0.0024588-0.00094253i,0.0014596-0.00173i,0.0016807-0.0015415i,0.0020658-0.0012957i,0.0014055-0.00034314i,0.00065356+0.00013189i,0.00060518-3.1785e-05i,0.00013058-0.00015773i,0.00072624-0.000447i,0.0018738-0.00082008i,0.00078615-0.001091i,-0.00069156-0.00047014i,-0.00092942+0.00019482i,-0.0005871+3.5242e-05i,-0.00028642+6.1753e-05i,2.4132e-06+0.00069001i
0.0014281-4.9575e-05i,0.0014225+0.00050321i,-0.00049107+0.00050893i,-0.00065699-0.00023874i,0.0010436-0.001396i,0.0019021-0.0017424i,0.00061777-0.0025091i,-0.00076564-0.0031242i,-0.0018554-0.0020812i,-0.0020667-0.00052884i,-0.0013827+0.00035608i,0.00021814+0.00026826i,0.0011467+9.0233e-05i,0.00072542+0.00013517i,0.00015219+0.00024769i,-2.0078e-05+0.00016629i,-0.00052552-0.00010007i,-0.00058974-0.00030837i,-0.0001664-0.0008687i,0.00043279-0.0003947i,0.00042235+0.00044482i,-0.00061433-8.9605e-05i,-0.00081825-0.00079631i
0.00084909-0.00025867i,0.00043088+0.00020693i,0.00087792-0.00056061i,0.00010025-0.0013838i,-0.0012857-0.0010225i,-0.0017879-0.00064276i,-0.0014301-0.00090912i,-0.0012404+2.6119e-05i,-0.0016513+0.00051842i,-0.0022565+0.0010313i,-0.0024422+0.0016666i,-0.0022391+0.0010974i,-0.0014895+0.00022542i,-0.0001187+9.0523e-05i,0.00038306+0.00073443i,0.00020308+0.0001678i,-5.8486e-05-0.00024543i,0.00030324+0.00010542i,0.0011609+0.00022537i,0.00062805+0.00040815i,-0.00047037-4.2316e-05i,-0.00028758-0.00031645i,0.00017274-0.00017284i
2.9026e-05+0.001309i,-0.0012841+0.0005809i,-0.00070746+0.00019469i,0.00050939-0.00048391i,0.00064937-0.0011396i,0.00026017-0.0012025i,-0.00050017-0.00076989i,-0.00068996+0.00087548i,0.00040089+0.0014744i,0.0012116+0.0010139i,0.00063624+0.0010549i,-0.00036807+0.0013642i,-0.00053611+0.0015079i,0.00012098+0.0011503i,0.00064686+0.0005444i,0.00025319+0.00075486i,-7.5137e-05+0.0001311i,-8.477e-06-0.0011386i,0.00034906-0.00043356i,0.00048671+0.00099646i,-0.00022826+0.00098507i,-0.00019432+0.00013162i,0.00017289-0.00010454i
5.9846e-05+0.00049678i,0.00083722+0.0010937i,0.0018808+0.001166i,0.0022368+0.00018572i,0.0010155-0.00045864i,-0.00016721-0.00035168i,0.00015918+0.00026835i,0.00080995+0.00065383i,0.0009783+0.00088269i,0.00071078+0.00018441i,0.00071723-5.4268e-05i,0.00082473+4.0402e-05i,0.0010085-0.00059846i,0.0012615-0.00087314i,0.00070581-0.00047691i,-1.5253e-05+4.4682e-05i,0.00056092+0.00020678i,0.0014178+4.7512e-05i,0.00062931-9.9748e-05i,-0.00099225+0.00015465i,-0.0011779+0.00015114i,-0.00064504+7.2226e-05i,-0.00018872+0.00026444i
0.00055237-0.0014779i,-0.00012228-0.0008343i,-0.00015935-0.00028841i,-6.697e-05-8.7462e-05i,-0.00020064-0.00041327i,0.00039983-0.00033538i,0.0013841-0.00075918i,0.001197-0.0021603i,0.0003149-0.0024101i,-0.00051494-0.0016474i,-0.00077891-0.00046324i,-0.00040022+0.00033756i,-5.8329e-05+0.0003391i,0.0003414+0.00036093i,0.00059452+0.00094498i,0.00035658+0.00090456i,0.00076231+0.00031163i,0.00080634-0.00029646i,-2.2966e-06-0.00079356i,-2.5725e-05-0.00079498i,4.4144e-05-0.00103i,-6.5814e-05-0.0011994i,0.00027043-0.00065793i
0.00048517+0.001343i,0.0011816+0.00083227i,0.0017711+3.5289e-05i,0.0019829-0.0010348i,0.0010864-0.0026963i,0.00040888-0.0029632i,-4.3849e-07-0.0010004i,-0.00062481-0.00060508i,-0.0015303-0.00023451i,-0.0017502+0.00041949i,-0.0012462-0.00035177i,-0.00070886-0.00050994i,-0.00064394+0.00046809i,-0.00075373+0.00041465i,-0.00042804-0.0001609i,0.0003289+0.00012702i,0.00044177+0.00066845i,0.00011978+0.00053346i,-0.00029222+0.00066411i,-0.00058182+0.00055345i,-0.00087361+0.00016827i,-0.00051564+5.8919e-05i,-0.00018177+0.00020265i
0.0010132+0.00032525i,0.00051707+0.00056499i,0.00045952+0.00049458i,-0.00092078+0.00037881i,-0.001268+0.00010466i,-0.00020208-0.0010909i,9.9699e-05-0.0017157i,-0.00072658-0.00053516i,-0.00093864+0.001102i,-0.0011167+0.0018901i,-0.00091654+0.0014427i,-9.3083e-05+0.00045928i,0.00072917+0.00029326i,0.00044482-0.00030127i,-4.5852e-05-0.00034763i,0.00071638+0.00051134i,0.0013083+0.0012669i,0.0010022+0.0008757i,-0.00016902+0.00080446i,-0.00019151+0.00057505i,0.00059685+0.00019485i,0.00037686-0.00011897i,0.00077889-0.00073043i
0.00010608-0.0018608i,-0.0011261-0.0011613i,-0.0019022-0.00035699i,-0.0015217+6.2254e-05i,-0.0010523-0.00027236i,-0.00011779-0.00053984i,0.0012355-0.0001765i,0.0019417-0.00015453i,0.0021379-0.00066194i,0.0010564-0.0010464i,0.00026583-0.00036776i,0.00070409+0.00060852i,0.00069326+0.00038528i,0.00031279+0.00081098i,0.00031883+0.00076769i,-0.00031215+0.00025918i,-0.00084188-8.6923e-05i,-0.00037708-0.00045792i,-2.0731e-05-0.00057955i,0.00045514-0.00059958i,0.00048363-0.00021067i,-6.7301e-05+0.00033176i,-0.00063645+0.00096218i
0.0011212-0.00049773i,0.0003923-0.00029667i,-0.0007273+0.00011062i,-0.00054968+0.00021225i,8.241e-05+0.00043323i,0.00058233+5.4612e-05i,0.0015834-0.00073456i,0.0022544-0.001121i,0.0017587-0.001788i,0.00097015-0.0016311i,0.00027589-0.00029677i,0.00039833-0.00024248i,0.00092107-0.00042486i,0.00058951+0.0002957i,0.0002709+0.00025057i,-0.00052917-1.5055e-05i,-0.00033098-0.00027938i,0.00088351-0.00022137i,0.0010541-1.232e-05i,0.00073+0.00036723i,-0.00047468+0.00042846i,-0.001147+9.0264e-05i,-0.00077856-0.00017785i
-0.0017614-0.00050731i,-0.0020236-0.0013274i,-0.0011308-0.0001545i,-7.61e-05+0.00031006i,0.00054066-0.00024814i,0.00021305-0.001232i,0.00048779-0.0020814i,0.00097167-0.0019935i,-1.3156e-05-0.00086033i,-0.0010058-0.0006262i,-0.00054091-0.0005362i,0.00031317-0.00028343i,0.00060228-0.00017183i,0.00065884-0.00019016i,0.00053335-0.00018979i,-2.4194e-05-8.342e-05i,5.9021e-05-9.9246e-05i,4.2399e-05+0.00018198i,-0.00022011+0.00044381i,-0.00037626+0.00073321i,-0.00042297+0.00080395i,0.00069845+0.00026782i,0.0010655-0.00048444i
-0.00052576-0.0020517i,0.00011714-0.0020865i,0.00065386-0.0013467i,0.00036862-0.0010753i,0.00010559-0.00087278i,0.00013543-0.0010596i,-0.00023539-0.0010794i,-0.0013268-0.00031455i,-0.0014701+0.00021584i,-0.0011837+0.0011144i,-0.0018686+0.0016308i,-0.0018413+0.0014197i,-0.00051381+0.00080045i,0.00095215+0.00020755i,0.0014078-0.00010773i,0.00072469-9.0603e-06i,0.00012379+0.00066447i,0.000294+0.00043286i,0.00056796-0.00025885i,0.00072874-0.00024715i,0.00050896-2.2134e-05i,-3.843e-06+0.00021167i,-0.00027359-0.00015312i
0.0024715-0.0014306i,0.0019447-0.0017964i,0.0023967-0.0019781i,0.0018611-0.0015799i,0.00010695-0.0017706i,0.00016862-0.0011438i,0.00092979-0.00064014i,0.0005675+2.2739e-05i,0.00035755+0.0010069i,-2.9411e-05+0.001221i,-2.8897e-05+0.0011781i,0.0004373+0.0017703i,0.00061238+0.0021033i,0.00033202+0.0017057i,0.00021838+0.00096973i,0.00040582+0.00035755i,0.00020124+0.00015364i,5.1739e-05-0.00047038i,6.7369e-05-0.00072395i,-0.00084339-0.00030586i,-0.0013091-0.0003071i,-0.00054662-8.8259e-05i,-1.1468e-05+0.00098467i
