-0.0011227-0.0014012i,-0.0010504-0.0019248i,-0.0015334-0.0016672i,-0.0011415-0.00055193i,-0.00086859+0.00069636i,-0.00055087+0.0014586i,-0.00020397+0.0013452i,0.00056243+0.00065958i,0.0014882+4.6527e-06i,0.0016134-0.0010614i,0.00093343-0.0011358i,0.00018761-0.00057062i,0.00051453-0.00077848i,0.00067451-0.00089047i,0.00024881-0.00022162i,-0.00026548+0.00042084i,-0.00034536+0.00035172i,-0.00024862+0.0003324i,-0.001034+0.00029272i,-0.0010661-1.2899e-06i,-0.00022286-0.00045879i,0.00015692-0.00084985i,2.1289e-05-0.00060369i
-0.0004395-0.0032318i,-0.00044586-0.0014395i,-0.0013468-0.00056971i,-0.001139+0.00030353i,0.00014807+0.0016526i,0.0014521+0.0014781i,0.0014186-0.00010607i,-4.1925e-05-0.0011451i,-0.00051058-0.0013825i,-0.00024292-0.00092393i,-5.5981e-05-0.00040536i,0.00023289+7.0584e-05i,-0.0003393+9.027e-05i,-0.00027916-0.00011076i,0.00015238+0.00068707i,0.00021318+0.00099629i,-0.00026519+0.00061784i,-0.00047093+0.00027032i,3.6315e-05-0.00060967i,9.7805e-05-0.0010383i,0.00012814-0.00025291i,0.00021059+0.00054683i,-0.0001025-0.00013172i
-0.00016948+0.0018264i,0.0011131+0.0017451i,0.0010544+0.0015509i,0.0013295+0.00021239i,0.0024227-0.0018586i,0.0020236-0.0018905i,0.00030655-0.0008835i,-0.00014065+4.8483e-05i,2.588e-05+0.00057858i,-0.00019844+0.00031681i,-9.4914e-06-0.00042452i,0.00022005-0.0011629i,-0.00029108-0.00081503i,-0.00043336-2.4968e-05i,-0.00014329+0.00034506i,-1.725e-05+0.00027438i,0.00079718+0.00013383i,0.0014649+0.00059981i,0.00090987+0.00054099i,0.00067924+0.00023971i,0.0008901-0.00017651i,0.0011135-0.00072532i,0.00027608-0.00033242i
0.00056305-0.00014658i,0.0011022+0.00039645i,0.0011772+0.00026933i,0.00028092+0.00080902i,-7.8885e-05+0.0014322i,0.00043492+0.00089385i,0.00049343-5.8011e-05i,-0.00028217+0.00020161i,-0.00022755+0.0002984i,0.00020474-0.000421i,1.0965e-05+3.5811e-05i,0.00015978+0.00029923i,-0.00020719-0.00018425i,-0.00013186-0.00071636i,6.2982e-05-0.00045445i,-0.00039133-0.00044198i,-0.00041027-0.0001367i,-0.0002736+0.00034775i,-0.00018245-0.00010049i,9.5935e-05-0.00027987i,-4.1301e-05-0.00016183i,-0.00017935-0.00069954i,-0.00016903-0.001171i
-0.0010954+0.00071717i,-0.0013784+3.5491e-05i,-0.00014358+0.00092053i,0.0011417+0.0012528i,0.0014012+0.0013698i,0.0022305+0.00097509i,0.0019832-0.0001626i,0.00088986-0.00041596i,0.00049692+7.1675e-05i,0.00024309+0.00042833i,-0.00029794+0.00053971i,-0.0010329+0.00035259i,-0.00086978+1.0935e-05i,0.00010202-0.00040835i,0.000396-0.00032298i,8.9152e-05+0.00027989i,0.00032036+0.0002i,0.00024985-9.2342e-05i,-0.00074642+0.0004778i,-0.00045919+0.0003764i,8.3531e-05-0.00047103i,-0.00035143-0.0006151i,-5.964e-05-0.0003772i
0.0014724+0.00082216i,0.0017504-0.00045446i,0.0021282-0.00027627i,0.0014871+0.00025033i,0.0009013-3.3563e-05i,0.0009298-0.0004789i,0.00058737-0.00011543i,0.00035228+0.00037444i,0.00042324+0.00013738i,0.00029845-0.00019477i,0.00068623-0.00051434i,0.00064825-0.00018556i,-0.00037956-1.2739e-05i,-0.00045843+0.0001504i,-0.00023031+0.0007341i,-0.00037935+0.0001642i,-0.00034032-0.00028829i,-0.00043607-0.00027594i,9.9074e-05-4.8187e-05i,0.000147+0.00071939i,-0.00042039+0.0013849i,-0.00072971+0.0011759i,-0.00066933+0.00054432i
-0.0010934-0.00018428i,-0.0022553+0.00066919i,-0.0024093+0.0011436i,-0.00088432+0.0014534i,0.000918+0.00072662i,0.0014314-0.00024555i,0.00082253-0.000212i,-0.00040792+0.00045137i,-0.00096208+0.00066786i,-0.00035109+0.00039601i,0.00032345+0.00052179i,0.00037133+0.00066896i,2.4152e-05+0.00086668i,2.7913e-05+0.00079493i,0.00043391+0.00036668i,0.00018845-0.00047754i,1.794e-06-0.0010611i,-0.00022547-0.0012232i,-0.00069071-0.0011067i,6.5922e-05-0.00095568i,0.00011032-0.00021037i,-0.0011223+7.9279e-05i,-0.0010987-0.0004417i
-0.00064788-0.0020431i,-0.00030298-0.0012335i,-0.00029883+0.00054144i,-0.0009224+0.0015461i,-0.00070837+0.0009652i,0.0006736+0.00044034i,0.00088+0.00018375i,-4.9848e-05-0.00081728i,0.00045447-0.00078066i,0.00089139+4.1836e-05i,0.00075649+0.00019065i,0.00056671+2.7703e-06i,0.00044+0.00019288i,0.00033686-1.1528e-05i,-0.00025917-0.00022828i,-0.00091351+0.00012326i,-0.00069932-0.00035895i,0.00013884-0.00099019i,0.0001975-0.00043836i,-0.00033314+0.00020122i,-0.00072724+8.7324e-05i,-0.00088832-1.7831e-06i,-0.00036628+0.00069379i
0.0011162-0.0017202i,0.00038073-0.0010729i,0.00020154-0.00028268i,0.00051533+0.0010696i,0.0010388+0.0019567i,0.0014254+0.0013931i,0.00071823+0.001183i,-0.00030986+0.00052358i,-0.00078898+0.00056183i,-0.00056056+0.0013682i,-0.0010583+0.0012313i,-0.00094952+0.0002291i,-9.2491e-05-0.00042958i,0.00027508+0.00016479i,0.00014454+0.0016778i,-6.387e-05+0.001446i,1.0424e-06+0.00016449i,0.00019297-5.9522e-05i,0.00044606+0.00019242i,0.00039552+0.0002578i,-7.1896e-05+0.00020086i,-0.00053933-8.7637e-05i,-0.00088295-0.00039412i
-0.00044529-8.7644e-05i,-0.00012879+0.00016228i,-0.00014532+0.0005616i,-9.6959e-05+0.00088895i,0.00022373+0.00052621i,0.0019561-7.7917e-06i,0.0025638-0.00042323i,0.0016816+0.00010965i,0.00086794+0.00056367i,0.00064868-5.9774e-05i,0.00042188-0.0002786i,-0.00037219+0.00034851i,-0.0001823+4.1816e-05i,0.00051598-0.00025654i,2.7033e-05-0.00013896i,-0.0007766-8.8639e-06i,-0.00082113+0.0002306i,-0.00010519+0.00074815i,0.00040747+0.00088435i,-0.0001216+4.7762e-05i,-0.000284-0.00047727i,-0.00052749+0.00031244i,-0.0013328+0.00052307i
0.0018043+0.00040037i,0.0010915-0.00073255i,0.0011092-0.00095922i,0.0013483-0.0012561i,0.0013219-0.00083543i,0.00054206-0.00059994i,-0.00012146-0.00065428i,-0.00043482-0.00079077i,6.9396e-05-0.0007014i,0.00066536-0.00063813i,-1.5842e-06-0.00099219i,-0.0012082-0.0017116i,-0.0010504-0.001806i,-0.00098826-0.00032735i,-0.0010297-2.5041e-05i,-0.00042868-0.00054133i,7.9817e-05-0.0005819i,6.186e-05-0.00091765i,0.00035361-0.0010619i,0.00082179-0.00062999i,0.00024265-0.00045606i,0.00013919-3.4576e-05i,0.00096693+0.00012607i
0.0010714-0.0013801i,0.00022487-0.001293i,-0.0010072-0.0011978i,-0.0012572+0.00023377i,-0.00060313+0.0012373i,0.00052509+0.001286i,0.00081125+0.00080907i,-5.5656e-05+0.00069642i,0.00025633+5.2287e-05i,0.0001788+7.8828e-05i,-0.00065462+8.765e-05i,-0.00096269-0.0001312i,-0.0003814+6.699e-05i,0.00036957-0.00062507i,0.00010502-0.00016741i,-0.00044472+0.00051548i,7.2448e-07-8.6972e-05i,0.00033555-5.4542e-05i,0.00026383-1.6209e-05i,0.00013243+0.0003399i,0.00025429+0.00047934i,0.00065301+0.00014075i,-0.00018525+0.00028868i
0.00040294-0.00058717i,0.00015088-0.0001769i,3.1903e-05+0.00024424i,9.1906e-05+0.00080725i,0.00071948+0.00063054i,0.0012813+0.00019068i,0.0008042-1.6024e-05i,0.00073965-0.00015611i,0.0010207+0.0002546i,0.00018313+0.0003928i,-0.0004811+0.00092186i,-0.00034652+0.00060714i,-0.00018977+0.00018466i,-0.00023275-2.1265e-05i,-0.00041945-4.631e-05i,-0.00071472+0.00038894i,-0.00044535+0.00056173i,0.0007062-0.00019329i,0.00040271-0.00058399i,-0.00037255+3.5637e-07i,-0.00022695+6.0999e-05i,-5.6139e-05-0.0001566i,-2.3041e-05+0.00039116i
0.0007474-6.7725e-05i,0.00074991-0.00028037i,0.0009009-0.00027145i,0.0016043-8.6633e-05i,0.0012376+0.00047576i,0.00097124+0.0007535i,0.0017172+0.00040117i,0.00093183-0.00014376i,-0.00014977-0.00069415i,-0.00069808-0.00049713i,-0.0010777-0.00011047i,-0.0010863+3.8231e-05i,-0.0010064+0.00030557i,-0.00021517+0.00046797i,0.00019731+0.00054834i,-6.4155e-05+0.00065928i,-0.00019784-0.00026426i,-0.00062009-0.0013995i,0.00036029-0.001321i,0.0011728-0.00028093i,0.00038815+0.00023255i,-6.1573e-05+0.00077613i,0.0002304+0.00096934i
0.00011648-0.0013349i,-0.00027402-0.0015904i,-0.0015545-0.00082064i,-0.0021431+0.00115i,-0.00064465+0.0027264i,0.0011856+0.0013997i,0.00128-0.00058832i,0.00041214-0.0008133i,0.00055464-0.0006099i,0.00032184-0.00056015i,-0.00031475+0.00020751i,1.6932e-05+0.00023436i,0.00014211+0.00023848i,-0.00055263+0.0013516i,-0.00099872+0.0010528i,-0.0012681+0.0005805i,-0.0011138+0.00081384i,-0.00058313+0.00026548i,-0.0001795-0.00072078i,-0.00022979-0.00031262i,2.5119e-05-8.7007e-05i,0.00018828-0.00084333i,-0.00028083-0.00069544i
0.0018946-0.0024984i,0.00038271-0.0024477i,-0.0019458-0.0022424i,-0.0022612-0.001487i,-0.0004792+0.00046535i,0.00087874+0.0011103i,0.0010224+0.000481i,7.0652e-05+0.00048214i,-0.00085957+0.00026662i,-0.00075927+2.4645e-05i,-0.00095015-5.5933e-05i,-0.0011072-0.00029186i,-0.0004522+0.00023457i,0.00090903+0.00033833i,0.001611+0.00012796i,0.00046671+0.00033865i,-0.000396-7.548e-05i,-0.00011087-0.0009082i,0.00049935-0.0010581i,0.00046432-0.00018097i,0.00010474+0.00043885i,0.00030552-6.3472e-05i,0.00061888-0.00097764i
8.3484e-05-0.0001464i,-9.0117e-05-0.0014197i,0.00062827-0.0025816i,1.6866e-05-0.0015717i,-0.0002888-0.00056367i,0.00042817-0.00038097i,0.00085402-0.00015655i,0.00042194-0.00023891i,2.1973e-05-0.00029553i,8.2254e-06-0.0004626i,-0.0002107-0.00099228i,-0.0003709-0.0012768i,-0.0006163-0.00065391i,-0.00085942+0.00019422i,-0.00085733+0.00018256i,-0.00016648-0.00036624i,0.0001346-0.00018391i,-6.1512e-05+0.00042392i,-5.6232e-06+0.00065732i,-0.00037158+0.00033725i,-0.00026761-0.00011539i,0.00068225+0.00068095i,0.0012545+0.0014201i
0.0012239-0.00086224i,0.0025644-0.0010609i,0.0023563-0.0012957i,0.0002432-0.00053563i,-0.00089029+0.00089228i,-0.0004606+0.0010688i,0.00022972-1.4744e-05i,-0.00029814-0.00058906i,-0.00068423-0.00087636i,-0.00046048-0.00093562i,-0.00078845-7.7989e-06i,-0.00068393+0.00046813i,0.00015121-0.00062591i,0.00013839-0.0011735i,-9.5373e-05-3.1016e-05i,-0.00041165+0.00074613i,-0.00010903+0.00048562i,-4.6211e-05+0.00013078i,-8.6724e-05+2.8042e-06i,0.00042159-0.00054839i,0.00025226-1.7585e-05i,-0.00045604+0.00050209i,-0.00061838-0.00020123i
