-0.00040953-0.0020728i,-0.0011545-0.0012547i,-0.0014084-1.2851e-05i,-0.00080404+0.00076784i,-0.00031957+0.00062573i,-0.00083234+0.00011459i,-0.00097106+0.00029272i,-0.00097555-0.00017601i,-0.001163-0.00047059i,-0.00073812-0.00038634i,0.00021711-0.00020485i,2.5941e-05+0.00011952i,-0.00044987+0.00067171i,0.00024565+0.00043457i,0.001054+0.00023716i,0.00073251-0.00029986i,0.00021218-0.00041579i,-0.00048498-0.00017503i,-0.00025673-0.00016794i,0.00030039+1.802e-05i,0.00016839-0.00041895i,0.0005419-0.00061255i,9.1065e-05-0.00049394i
-0.0017945-0.0016575i,-0.0013979-0.00078058i,-0.00083351+0.0010856i,-0.0001226+0.0012748i,0.00070299+0.00021097i,0.00080932-0.00041818i,0.0003263-0.00093558i,0.00029941-0.00177i,-0.00015028-0.0017145i,-0.00081408-0.00068449i,-8.2634e-05+4.9345e-05i,0.00036333+0.00011348i,0.00048799-0.00064535i,0.00064374-0.0012524i,0.00044935-0.00065589i,0.0002274-0.00021628i,0.00020347-0.00029388i,-4.014e-05-0.00073415i,-0.0006458-0.00027466i,-0.0012084+9.9408e-05i,-0.0006253-0.00054916i,0.00024959-0.00042012i,-0.00017753+0.00011562i
-0.000114-0.0004825i,-9.0015e-05+3.6882e-05i,-0.00018462-1.4819e-05i,-0.00031274-0.00036217i,3.8051e-05-0.00050097i,-0.00029594+0.0003066i,-0.00034316+0.00082875i,-0.00018054-0.00012644i,-0.00070825-0.0010364i,-0.0001567-0.00082148i,0.00063684+6.5492e-05i,-6.7513e-05+0.00020622i,-0.00022791-4.0398e-05i,0.0005699+0.00041953i,0.00070349+0.00095198i,0.00043415+0.00092091i,0.00012069+0.00069052i,-0.00012815-0.00016889i,0.00034547-0.00035441i,0.00069943+9.7944e-05i,1.0849e-05+0.00056178i,0.00033401+0.0004246i,0.0010539-0.00017548i
0.00096297-0.0014203i,7.6713e-05-0.0012909i,-0.00073634+0.00039969i,-0.0010105+0.0017498i,-0.00076956+0.0015969i,-0.0007054+0.00071776i,-0.00036434-6.9069e-05i,0.00041317-0.00064401i,0.00076156-0.0017123i,0.00024396-0.00219i,-0.00018925-0.0014835i,-0.00098306-0.0005508i,-0.00053723+0.00023619i,0.00042757+0.00056674i,0.00055348+0.00076427i,0.00053377+0.00089883i,0.00020575+0.00039384i,-0.00033778+0.00032629i,-0.00022071+0.0001769i,0.00053029-0.00097892i,0.00019648-0.00072509i,-0.00010451-2.0675e-05i,-0.00020832-0.00038494i
0.00077449-0.00016325i,-0.00024115-0.00035061i,-0.00081898-0.00095613i,-0.00053711-0.00098934i,-0.0015235-0.00026678i,-0.0015836+0.00039573i,-0.00070722+0.00086019i,-0.00081453+0.00117i,-0.001202+0.00083341i,-0.0015251-0.00018003i,-0.00077323-0.00049306i,6.5411e-05-0.00018773i,0.00033476-0.00020405i,-5.8128e-06-0.0001701i,-0.00033761-0.00040892i,0.00030027-0.0006972i,0.00025893-0.00033873i,-0.00015392+0.00013195i,-0.00013829+4.1634e-05i,0.00050163+0.00019348i,0.00036822-4.0235e-06i,0.0002655-0.00014641i,0.00065441+0.00028357i
0.0003737-0.0010732i,0.00027508-0.0015134i,9.1079e-05-0.00091592i,0.00015785-0.00046456i,-0.00024028-0.00020696i,-0.00070765+0.00042847i,0.00012412+0.00041634i,0.00059249-8.1465e-05i,1.8833e-05-0.00015313i,-0.0010079+0.00011404i,-0.00064499+0.00067693i,0.00042704+0.00068487i,0.00020318+0.00022385i,-4.1676e-05+0.00055105i,0.00071873+0.00072249i,0.0013354+0.0005936i,0.0013117+0.00015984i,0.001345-5.5011e-05i,0.00042611+0.0004329i,-0.00077355+0.00083205i,-0.00061293+0.00079918i,-0.00019489+0.00068513i,0.00015681+0.00050193i
-0.00026639-0.00087701i,-0.00063272+0.00017314i,-0.0013027+0.00106i,-0.0017446+0.00098153i,-0.00073069+0.00022508i,-0.00031179+5.9665e-05i,9.6709e-05+0.00037363i,0.00051407+0.00024664i,-0.00019136-0.00026772i,-0.00072263-0.00014166i,-0.00035715-0.00021365i,-9.8584e-06-0.0003809i,-7.8014e-05-0.00062759i,9.7237e-05-0.00069247i,0.00070065+0.00011824i,0.00029004+0.00026344i,-0.00034057-0.00012127i,-0.00017355+0.00033507i,-0.00014671+0.00078286i,-0.00037844+0.00037017i,0.00012494-0.0001573i,0.00067301-0.00030786i,0.00068222-0.00058905i
0.0015769+0.0015113i,0.00065298+0.0013098i,-0.00047713+0.0009268i,-9.5479e-05+0.00059483i,-4.4555e-05+0.0011312i,-0.00053602+0.00071806i,-0.00037778-0.00035333i,0.00016937-0.00057896i,0.00063964-0.00066673i,0.00034594-0.0004944i,-0.00012378-0.00038639i,0.00019786-0.00050804i,0.00016573-0.00014399i,0.00020237+0.00018349i,0.00096737+0.00046012i,0.0014139+0.000831i,0.00073697+0.00010579i,-0.00010657-0.00032701i,-0.00088214-4.7685e-05i,-0.00075596-0.00053546i,-0.0003917-0.00029277i,-0.00014654+8.8631e-06i,0.00023217+0.00062089i
-0.00028735-0.00078732i,-0.00099282-0.0007761i,-0.00081921-0.0003575i,-0.00042707-0.00028419i,-0.00099134-0.00060616i,-0.001569+7.5637e-05i,-0.0012332+0.00059917i,-0.00048095+0.00045255i,-0.00031482-0.00039977i,-0.00089721-0.00117i,-0.00079262-0.00095774i,-0.00038614-0.00021758i,-0.00063362+0.00020068i,-5.9049e-05+0.00040279i,0.0010895+0.00063831i,0.00092836+0.00084734i,0.00029911+0.00083184i,0.00041013+0.00071969i,0.00059646+0.00024601i,0.00034834-0.000134i,-3.0885e-05+0.00025525i,-0.00032258+0.00071207i,-0.00027173+0.00041486i
-4.4549e-05-0.0023193i,-0.0012707-0.0013665i,-0.0011103-0.00036823i,-0.00086055+0.000533i,-0.00051529+0.001725i,-0.00065354+0.0014568i,-0.00062956+0.00021859i,-2.4183e-05-0.00073616i,-3.3297e-06-0.0012868i,-0.00048372-0.00096612i,0.00015107-0.00035445i,0.00047346+0.00015376i,0.00039026+0.0002601i,0.00078584-5.3927e-05i,0.0013555+0.00017543i,0.00082141+0.0011164i,0.00012393+0.00090721i,-0.00034157-0.00011656i,0.00017198-0.00069903i,0.00033011-0.0013403i,3.8676e-05-0.0015682i,0.0010953-0.00077909i,0.0014565-0.00010405i
