-0.0016357-0.0008362i,-0.001502+0.00020156i,-0.0024479+0.0011603i,-0.0021967+0.0016357i,-0.0010689+0.0018064i,-0.00023878+0.0014337i,0.00021804+0.0015855i,0.00046916+0.00050748i,0.00026312-0.00075138i,0.00094832-0.00093551i,0.0010129-0.00066332i,5.5091e-05-0.00032499i,-0.00047744-0.00011273i,-0.00053509-0.00051123i,0.00013965-0.0010588i,0.00039999-0.00099429i,0.00034979-0.00012393i,8.1579e-05+0.00055321i,-0.00037851+0.00067625i,-0.00053728+4.5345e-05i,-0.00074422+9.8507e-05i,-0.00098175+0.00041383i,-0.00031956-0.00020876i
0.0015053-0.0003895i,8.5569e-05-0.00051746i,-0.00065075-0.00035969i,0.0004583-0.00012796i,0.00095047+0.0012292i,0.00089587+0.0017528i,0.0020109+0.00060884i,0.0016182-0.00061523i,-4.8657e-06-4.5521e-05i,-0.00027706+0.00015782i,5.2879e-05+0.00027916i,-0.00030218+0.00053614i,-0.00072666+0.0003695i,-2.2515e-05+0.00049513i,0.00089682+0.00068075i,0.00030157+0.00036271i,-0.00030253-0.00060734i,0.000155-0.00077437i,0.00034922+0.00017419i,0.00020018+0.00046935i,-0.000109+0.00064416i,-0.00064505+0.00016549i,-0.0007751-0.0007338i
0.0021096-0.0011968i,0.0022332-0.0022809i,0.0019658-0.0015522i,0.0006202+4.6871e-06i,-0.00017161+0.0013883i,0.00054303+0.0010089i,0.0015433+0.00055155i,0.00163+0.00014738i,0.00056428-0.00060553i,0.00032289-0.00034138i,0.00039078+0.00018388i,-0.00065261+9.8624e-05i,-0.00071449+0.00048457i,-0.00037193+0.00096345i,-0.0006395+0.00037376i,-0.00057952+0.00041761i,-0.00050596+0.0003666i,-0.00047012+0.00014063i,-0.0011924+5.9815e-05i,-0.0018773+0.00016768i,-0.0013671+0.0004131i,-0.00018638+0.00043852i,0.0003245+3.0162e-05i
0.0014851-0.00017114i,0.0006908+0.00015894i,-0.00040435-1.6408e-05i,-0.00019401-0.0003944i,-8.0027e-06-9.779e-05i,0.00051259+0.0010748i,0.0018689+0.0011935i,0.0012884+0.00048098i,0.00028274-0.00035145i,0.00063214-0.00050727i,0.00040491+7.8358e-05i,-6.3685e-05-6.9024e-05i,-0.0002737-0.00022091i,0.00015029+0.00045055i,3.8881e-05+0.00086512i,-0.00031583+0.00032168i,-0.00042157-0.00011955i,-0.00032418+0.00035586i,-0.00039952+0.00071315i,-0.00038229+0.00018697i,0.00043897+0.00024025i,0.00026618+0.00094765i,-0.00022603+0.001026i
0.00093617-0.00037677i,0.0017384+0.00024963i,0.0016732+0.00068576i,0.0010139+0.00067162i,0.00017868+0.0011154i,6.6623e-05+0.0017924i,0.0011589+0.0022386i,0.0021885+0.0010576i,0.0018675-0.00023614i,0.00070241-0.00031927i,-0.00044175-5.3014e-05i,-0.00041231+0.00022245i,-0.00062402-0.00020582i,-0.00076683-0.00057198i,-6.9561e-05-4.4545e-05i,0.00010215+0.00058481i,-0.00058413+0.00078516i,-0.0008104-1.0297e-05i,-0.00022969-0.00042175i,0.00012667+0.00023301i,0.0001771+0.0004307i,0.00046693-4.4541e-05i,0.00050077+0.00030487i
2.8883e-05+9.6781e-05i,0.00081686-0.0006108i,0.0010815-0.00050498i,-0.00016971-0.00030254i,-0.00010635-0.00018408i,0.00070619+0.00010604i,0.00055701+0.00034763i,0.00080024-0.0004131i,0.0010063-0.00088945i,0.00091385-0.00082267i,0.0008017-0.00082385i,0.00027582-0.00042143i,-0.00010762+0.00025689i,-0.00042027-0.00015315i,-0.0008745-0.00036743i,-0.00085503+0.00053559i,-0.00085969+0.00057048i,-0.00073131+0.00057934i,-0.00015445+0.0013483i,0.00030242+0.0018406i,0.00036229+0.0011947i,-0.00015049-4.8106e-05i,-0.00073967-0.00053921i
0.00057891-0.0016005i,0.0012991-0.00055148i,0.00030616+0.00054148i,-0.00034752+0.0010927i,0.0001176+0.0011664i,0.00098856+0.0014617i,0.0014927+0.00098079i,0.0015567-0.00024255i,0.0012748+0.00039451i,0.00026566+0.0011561i,-0.00051129+0.00048989i,-0.00059332+1.2186e-05i,-0.00082993+0.00053636i,-0.00053105+0.00047958i,-7.9419e-05-0.0001001i,0.00029926-0.00075603i,-0.00017771-0.0011525i,-0.00051029-0.00090939i,-0.00055366-0.00089689i,-0.0010659-0.00055568i,-0.00062651-0.00044327i,-0.00021518-0.00079233i,1.7874e-05-0.00041054i
0.0019012-0.00080191i,0.0026652-0.001437i,0.00057674-0.00075643i,-0.00094839-3.6905e-05i,0.00032488+0.00054505i,0.0018277+0.0013023i,0.0023758+0.001593i,0.001258+0.00050293i,0.00017158-0.00046327i,-3.1532e-05+0.00013938i,-0.00013014+0.0003764i,8.8954e-05-0.00052366i,-0.00026671-0.00062488i,-0.00022312+0.00015957i,-3.6356e-05-0.00013864i,-0.00069774-4.5843e-05i,-0.00075665+0.00023847i,-0.00056113+0.00071475i,-0.00026618+0.00050805i,-0.00012927+0.00019687i,-0.0004847+0.00090658i,8.9829e-05+0.0004259i,-0.00013933-1.8621e-05i
0.00092821+0.0006909i,0.0004663+0.00022441i,0.00065378-0.00093684i,0.00090834-0.00090345i,0.00060468+2.9124e-05i,0.0011786+0.0012821i,0.0021339+0.0014244i,0.00216+0.00073296i,0.00091342+0.00085747i,-0.00047802+0.0010999i,-0.00053443+0.00049187i,-0.00082733+0.0002295i,-0.0013233+0.00071429i,-0.00061622+0.00055275i,-0.00023363+0.00071286i,-0.00097632+0.00029112i,-0.0010731-0.00047283i,-0.00030042-0.00032616i,0.00041803-0.00014804i,0.00042193-1.9363e-05i,-0.00023055-0.00012304i,5.0764e-05-0.00020419i,0.00051784-0.00014797i
-0.0020215-0.0012399i,-0.0014267-0.0013064i,-0.0015747-0.001597i,-0.00046452-0.00072479i,0.00022771+0.00047536i,0.00043139+0.0010903i,0.0010449+0.00089855i,0.0011746+0.0002359i,0.00045556+0.00022546i,0.00017148-6.509e-05i,0.00032855-0.00021i,7.4254e-05-8.1943e-05i,-0.00036421+0.00029828i,-0.00074974-2.9611e-05i,-0.001193-0.00037i,-0.001114-0.00035931i,-0.0012827-0.00026577i,-0.00073402-0.00018354i,0.00013606-0.00024017i,0.00017965-0.00037454i,-4.9067e-05-0.00040576i,-0.00053395+5.0313e-05i,-0.00078956+0.00021857i
0.0015856-0.00093406i,0.0022832-0.0012712i,0.0019347-0.0014491i,0.0010625-0.001387i,0.00084219-0.00048281i,0.0013123+0.00061477i,0.0013396+0.0013744i,0.00086855+0.00091045i,0.00030858-0.00042415i,0.00039602-0.00077858i,0.00079031-0.00061652i,0.00018624-0.00043817i,-0.00062183-0.00013268i,-0.00061356-6.8492e-05i,-0.00043589+4.513e-06i,-0.0008183+0.00012863i,-0.0011157-0.00044947i,-0.00042988-0.0006239i,-0.00035969+0.0004102i,-0.00061502+0.00034237i,-0.00050434+0.00029928i,-0.00013536+0.00068646i,0.00017796+0.0010783i
