-0.0037895+0.00041105i,-0.0018681+7.1483e-05i,-0.0028687+0.0012049i,-0.0032736+0.0024393i,-0.0026476+0.0035816i,-0.001178+0.0026861i,0.00027349+0.0017914i,0.0012318+0.0018728i,0.0013988+0.0013803i,0.001648+0.00028827i,0.001798-0.00085686i,0.0012568-0.00090113i,0.00057514-0.00083219i,-0.00015198-0.00050707i,-0.00050565+0.00012614i,-0.00083066-0.0003345i,-0.00066575-0.00049667i,-0.00019135-0.00055617i,0.00038125-0.00050301i,-0.00059463-0.00019771i,-0.001409-0.00019443i,-0.0008467-0.00023504i,-0.00019328-0.00057207i
0.00028209+0.00025048i,0.00017496-0.00099092i,0.00090502-0.0023316i,0.00091348-0.0021864i,-0.0010761-0.0016578i,-0.0023493-0.0016906i,-0.0010233-0.00082735i,0.00042814+0.00053271i,0.001332+0.000911i,0.0020268+0.00056924i,0.0010357+0.00050398i,-0.00013028-0.00019246i,-0.00036972-0.00028885i,-0.00066365-0.00013654i,-0.00091383+0.00021287i,-0.00013876+0.00032657i,0.00058477+0.00045527i,0.00057797+0.00080862i,0.0002006+0.00058115i,-6.3547e-06+0.00070565i,-0.00045354+0.0002073i,-0.00040111-0.00082894i,0.00038025-0.00061413i
-0.0007403+0.0003798i,-0.0024968+0.00098481i,-0.0028488+0.00022069i,-0.0021712-0.0017705i,-0.0014373-0.0014184i,-0.00059721-0.00081582i,0.00048465-0.0010577i,0.00125-0.00035879i,0.0015607+0.00043219i,0.0019167+0.00046451i,0.0018306-1.2709e-05i,0.0013636-0.00043857i,0.00024167-0.00094757i,-0.00091805-0.00060692i,-0.0005918-0.00015147i,-0.00024357-0.00049147i,-4.3271e-05-2.9218e-05i,0.00019838+0.00092158i,0.00051958+0.0011876i,0.00080566+0.00092326i,0.0010123+0.00094947i,0.00085627+0.001038i,-4.4957e-06+0.00066909i
0.00074376+0.0015113i,-0.00048643+0.0033191i,-0.0018983+0.0030177i,-0.0019581+0.00034356i,-0.0019441-0.0014866i,-0.0018154-0.0013215i,-0.00096213-0.00097491i,-0.00062049-0.00019754i,-0.00073979-3.794e-05i,-0.00073771-0.00016254i,-0.00034713-0.00039241i,0.00013632-0.00064132i,-0.00012187-0.00015626i,8.9189e-05+0.00059657i,-0.00072195+0.0012076i,-0.0019338+0.00058053i,-0.0018368-0.00013058i,-0.0017234-8.6487e-05i,-0.0009603-0.0004494i,9.647e-05-0.00060223i,0.00072543+3.0648e-06i,0.00036464+0.00044725i,-0.00040832+0.00018956i
0.0022601-0.0011506i,0.00243-0.00073187i,0.0014397-0.00013075i,-0.00067317-0.00070547i,-0.0025627-0.0022803i,-0.0028475-0.0027392i,-0.0018694-0.0022217i,-0.0013249-0.0013834i,-0.0018954-6.5267e-05i,-0.0016257+0.00077416i,-0.00078272+0.00063856i,3.8983e-05+0.00041485i,0.00013018+0.00037312i,0.00052142+0.0007165i,0.0012992+0.00076458i,0.0012476-0.00012563i,0.0004414-0.00074374i,-0.00031475-1.51e-05i,-0.00069843+0.00017869i,-0.00095704-0.00076075i,-0.0004843-0.0011814i,-0.00011148-0.0005254i,0.00010792+0.00037857i
6.3695e-05-0.001512i,0.00044361-0.0029643i,0.0010875-0.0025079i,0.00050999-0.00086409i,-0.00029903-0.00083959i,-0.00067389-0.0017478i,-0.00058392-0.0015031i,-0.00084002+0.00052991i,-0.00091134+0.0020072i,-0.00048498+0.0020786i,-0.0001605+0.0022601i,1.2746e-05+0.0016748i,1.4645e-05-0.00014456i,-0.00015164-0.0013568i,0.00056421-0.0014012i,0.00041217-0.00047642i,-0.00069532+0.00034178i,-0.00080392+0.00067328i,-0.00076713+0.00068944i,-0.0006194+0.00049954i,-0.00010066+0.00045594i,0.00016255-0.00048292i,-0.00040781-0.00081718i
-0.00067571-0.00051768i,0.0011115-0.0022311i,0.0024223-0.0038798i,0.0013965-0.0032261i,-0.00065218-0.0020351i,-0.0017887-0.0012691i,-0.0014434-0.00016861i,-0.00088202+0.0016105i,4.6614e-05+0.0028311i,0.00070591+0.0027445i,0.00053891+0.0012792i,0.00063373+0.00012307i,0.00063292-0.00072284i,3.1739e-05-0.0015487i,-0.00094142-0.00083633i,-0.0010957-0.00012692i,-0.00028137+0.00020954i,-0.00017856+0.00082814i,-0.00064937+0.00069958i,-0.00049105+0.00042815i,5.3374e-05+0.00035593i,0.00046416+0.00017409i,0.0003261+0.00013861i
-0.0020586-0.0010691i,-0.0031215-7.3002e-05i,-0.0030673-0.00021956i,-0.0023953+0.00015104i,-0.0017865+0.00021735i,-0.00021937-0.00023326i,0.0013933+0.00011687i,0.0018257+0.00077503i,0.001371+0.00095052i,0.0013209+0.00057011i,0.00098279+0.00027164i,0.00118+3.1617e-05i,0.00091955-0.00058672i,9.9247e-05-0.0012289i,-0.00025889-0.00059902i,-0.00053044-2.8794e-05i,-0.00029705-0.00035521i,-3.5066e-05+0.00018189i,0.00052313+0.00092995i,0.0010096+0.00085712i,0.00078846+0.00024968i,0.00011516+0.00046705i,0.00027658+0.00034562i
0.00082124+0.0010129i,-0.001119+0.00091338i,-0.0023086-6.5251e-05i,-0.0022007-0.0021377i,-0.0027168-0.0032065i,-0.0025608-0.0017023i,-0.0010902-0.00046358i,-4.0006e-05-0.00040615i,0.00049383-0.00053165i,0.0006395-0.00021648i,0.00082248-0.0005678i,0.00064439-0.00097568i,8.1974e-05-0.00051678i,-0.00018242-8.6772e-05i,-0.00077846+0.00032491i,-0.00083101+0.00054412i,-7.7038e-05+1.2572e-05i,0.00011348-0.0005527i,0.00036147-6.8991e-05i,7.637e-05+0.00046321i,-6.4643e-05-5.9507e-05i,0.00066195-0.00026081i,0.00073065-0.00018896i
0.0013371+0.0024344i,0.0013938+0.0034697i,0.00086154+0.003681i,-0.00078379+0.0035597i,-0.0017539+0.0018032i,-0.0015496-0.00095489i,-0.00089928-0.0027197i,-0.00016058-0.0022606i,-0.00043606-0.0005665i,-0.00065009+1.2956e-05i,-0.00025859+0.00014794i,9.7891e-05-0.00022179i,8.3902e-05+0.000141i,-0.00022109+0.00062334i,0.00018247+0.00030724i,0.00034046-0.00018336i,0.0002402-0.00025866i,4.3386e-05+9.8635e-05i,8.6366e-05+0.00031251i,-0.00033044+0.00024301i,-0.0002074-1.1546e-05i,0.00069934+0.00014372i,0.00090445+6.9769e-05i
-0.00026525+9.8611e-05i,0.002236+0.0014244i,0.0036993+0.0021551i,0.0023751+0.0016168i,-0.00020635+9.6643e-05i,-0.0011879-0.0012539i,-0.0010875-0.0019869i,-0.0012012-0.0012494i,-0.00080257+0.00074091i,-0.00055639+0.0022345i,-0.00059085+0.0018141i,-0.00032399-3.7829e-05i,0.00027885-0.001156i,0.00081313-0.0011093i,0.00055441-0.00016224i,0.00026859+0.00052946i,0.0004546+0.00048057i,0.0003823+0.00091886i,-0.0001701+0.0007683i,0.00042068+5.5053e-05i,0.0010923+9.3694e-05i,0.0010176+0.00030813i,0.00024611+0.00018977i
0.0004954-0.00045876i,0.0020298-0.0011283i,0.0025265-0.0015958i,0.0014165-0.0014987i,0.0001968-0.0018874i,-0.00055876-0.0025929i,-0.001341-0.0013365i,-0.0019427+0.001008i,-0.0012585+0.0030566i,-0.00062183+0.0037248i,-0.00019601+0.0025408i,0.0001764+0.00065728i,0.00030201+0.00037167i,-0.00021959-0.00017291i,-0.00068612-0.00074405i,-0.00011078-0.00036627i,0.00022465-0.00020843i,-0.00051255+0.00030432i,-0.00081293+0.00012441i,-0.00047079-0.00030945i,-0.00020264-0.0004529i,0.00010088-4.586e-05i,0.00019376+0.00054834i
-0.0026891-0.0023059i,-0.0036716-0.0038432i,-0.0031349-0.0042025i,-0.001671-0.0032055i,-0.0016662-0.0020069i,-0.001862-0.001346i,-0.0012655+1.2772e-05i,-0.00044722+0.00089838i,0.0010209+0.001351i,0.0017039+0.0010837i,0.0012504-0.00024045i,0.00057384-0.00082684i,0.00015889-0.0014632i,0.00022375-0.0015842i,-0.00030515-0.00086065i,-0.0010128+0.00036923i,-0.00069722+0.00037354i,-2.837e-05-0.00013815i,7.4136e-05-7.0812e-05i,-0.00023133-0.00011017i,-0.00020988+3.1608e-06i,0.00045959+7.5169e-05i,0.00029179+0.0008326i
-0.0021176+0.00094872i,-0.0046905+0.0004085i,-0.0054223-0.00090053i,-0.0039604-0.0015739i,-0.0025861-0.0017036i,-0.0016355-0.0016529i,0.00055544-0.0013161i,0.0016983-0.00041798i,0.0021208-0.00037495i,0.0023036-0.00038903i,0.0011763-7.9165e-05i,0.00063942+0.00021424i,0.00081507+0.00035405i,0.00024581+0.00022381i,-0.00062107-0.00017797i,-0.0011631+1.2444e-06i,-0.0010036+0.0007865i,-0.00053353+0.00078657i,4.3874e-05+0.00013418i,0.0011601+0.00011624i,0.00088302+0.00039619i,0.00017258+0.0010814i,0.00011617+0.0011411i
0.0018921+0.00023031i,0.00017587+0.0015418i,-0.0033293+0.00097972i,-0.0042046-0.0014829i,-0.0021908-0.0030594i,-0.001066-0.0019919i,-0.00021993-0.0014941i,0.000782-0.0012878i,0.00084063-0.00093449i,-0.00012531-0.0010497i,0.00032246-0.00067157i,0.0012428+8.1393e-05i,0.00092682+0.00058639i,0.00036307+0.0011545i,-0.00020103+0.0011548i,-0.0010188+0.0015113i,-0.00090168+0.00090335i,-0.00051102-7.5406e-05i,-0.00065921+0.00019506i,-0.00031959+0.00041767i,-0.00030845+0.00034309i,-0.00030432+0.00033092i,0.00011204-0.00014154i
0.0025083+0.0018744i,0.0034486+0.0024102i,0.0033373+0.0027189i,0.0012992+0.0015056i,-0.00058827-0.00021655i,-0.0010355-0.0014323i,-0.00079016-0.0017951i,-0.00049794-0.0013074i,-0.00025467-0.00098629i,0.00027361-0.0002846i,0.00058991+0.00028978i,0.00075888+0.00024387i,0.00098901+0.00026853i,0.00046129+0.00056351i,-0.00023393+0.0005448i,-9.0986e-05-2.2896e-05i,0.0003914-4.9813e-05i,0.00029131+0.00056358i,-8.1007e-05+0.00054693i,-4.1284e-05+0.00035594i,0.00033821+0.00037676i,0.00033507-0.00068042i,0.00013985-0.0012948i
0.00087727-0.0010023i,0.0028661-0.0014546i,0.0041258-0.00058917i,0.0032842+0.00065742i,0.0010166-0.00018932i,-0.00078519-0.0019219i,-0.0014199-0.0029917i,-0.0016135-0.001787i,-0.0018041+0.0010172i,-0.00066883+0.0023032i,0.0003232+0.0020778i,0.00092071+0.0012694i,0.0011827+0.0008228i,0.0001749+0.00073375i,-0.0010788+1.5148e-05i,-0.0010694+4.4529e-05i,-0.00044247+0.00048687i,-0.00028165+0.00069315i,-0.00075388+0.00072655i,-0.00087158+0.00016175i,0.00012529-0.00036742i,0.00062057-0.00048794i,0.00065184-0.00060898i
-0.0001145-0.003963i,-0.00028216-0.0058406i,0.0005228-0.0056789i,0.00081039-0.003409i,-0.00065453-0.0019407i,-0.0022806-0.0017486i,-0.0023808-0.0011963i,-0.0016376+0.00021605i,-0.0010352+0.0018564i,0.00025449+0.0021576i,0.00085115+0.0013192i,0.00067858+0.00033394i,1.1407e-05+0.00029662i,-0.00071492+0.00040045i,-0.00053248-0.00020036i,-0.00092484-0.0008928i,-0.0010229-0.0004264i,-0.00061654+0.00029366i,7.9395e-05+0.00038829i,0.0001089-0.00026358i,-0.00023556-0.00094609i,-0.00049848-0.00069899i,-0.00046241-0.00021037i
-0.0022437+0.0014712i,-0.0026793-0.00021945i,-0.001468-0.0019614i,0.00053759-0.0031385i,0.00069635-0.0033292i,-0.00015704-0.0031383i,-0.00076852-0.0020186i,-0.00056913+0.0010809i,0.001315+0.0030317i,0.002537+0.0029814i,0.0022203+0.0018323i,0.00095392+1.4807e-05i,0.00077389-0.00068969i,0.00092013-0.00029187i,-0.00037343+1.8682e-05i,-0.00081492-0.00016047i,-0.00058959-0.0004039i,-0.00013349+0.000658i,-0.00039201+0.0009686i,-0.00040066+9.674e-05i,-0.00068024+0.0004686i,-0.00049231+0.00099595i,0.00010378+0.00068793i
-0.00065982+0.0033362i,-0.0017381+0.0038399i,-0.0035594+0.002226i,-0.0040415-0.0010498i,-0.0025862-0.003243i,-0.00064685-0.002019i,0.00055669-0.0002976i,0.0010247+0.00082451i,0.0015962+0.0011666i,0.0012473+0.00055747i,0.00056925+0.00012862i,0.00091697+0.0010897i,-0.00022112+0.00062506i,-0.0015035-0.0011073i,-0.00081318-0.0012338i,-2.3682e-05-0.00016261i,0.00010388+0.00042571i,-0.00025161+0.00055225i,-1.8938e-05+0.0001433i,-5.4064e-05-0.00053325i,2.9047e-05-2.4397e-05i,0.00037526+0.00033015i,0.00014685+0.0001824i
0.0010591+0.0029227i,0.00059238+0.0051424i,0.00022348+0.0052359i,-0.00085724+0.0024975i,-0.0012682-0.00054115i,-0.0007838-0.0015042i,0.00084968-0.0018791i,0.0016914-0.0015678i,0.00099179-0.00073921i,0.00032611-0.00073845i,-0.00034078-0.00026809i,-0.00030067+0.00026621i,-0.0002575+0.00018066i,-0.0010123+0.00042818i,-0.001052+0.00079168i,-0.0011612+0.00065749i,-0.0012921+0.00061783i,-0.0010357+0.00075482i,-0.00053962+0.00040642i,-2.0812e-05+0.0008671i,0.0001532+0.001516i,-6.5503e-05+0.0012086i,6.0091e-05+0.00091493i
0.0027619+0.00061084i,0.0041491+0.00025896i,0.0054531+0.0018725i,0.0033812+0.0025095i,0.00027743+0.0010077i,-0.0012925-0.0018855i,-0.0019525-0.0029419i,-0.0017449-0.0020198i,-0.0013534-0.0010125i,-0.0013035+9.5302e-05i,-0.00042086+0.0004098i,7.253e-05+0.00029969i,-0.00017293+0.00056802i,-0.00057583+0.00062829i,-0.00067735+0.00083219i,-0.00045267+0.001206i,-0.00026142+0.0012526i,-0.00031616+0.00074485i,-0.0006788-9.2962e-05i,-0.00069584-0.00012841i,0.00027687-0.00026452i,0.00066325-0.00067196i,0.00033191-0.00020364i
0.0025453-0.0032543i,0.0032381-0.0051985i,0.0036995-0.0057025i,0.0033229-0.002812i,0.001258-0.00073084i,-0.0010256-0.0013393i,-0.0024278-0.002143i,-0.0022358-0.0019421i,-0.0011399-1.0808e-05i,-0.00088217+0.0016624i,-0.00045351+0.0016615i,0.0003301+0.00080651i,0.00081605+0.00071316i,0.0010247+0.00085548i,0.00011296+0.00066331i,-0.00091317+0.00027476i,-0.0011742+1.3871e-05i,-0.00083917-0.00012627i,-1.8554e-05-0.00024527i,0.00080758-0.00020561i,0.00079359-0.00097036i,0.00057237-0.00095137i,6.4569e-05-0.00064349i
-0.0012723-0.0020703i,-0.0019275-0.0056144i,-0.0014661-0.0075518i,-0.0007-0.00758i,-0.00094873-0.0055135i,-0.0016291-0.0032875i,-0.0023862-0.00099894i,-0.0021679+0.0011512i,-0.00070625+0.0019113i,0.00062329+0.0017098i,0.0010232+0.0011573i,0.0002309+0.00036091i,-0.00040511-0.00041693i,0.00015315-0.00059359i,0.00037461-0.0009341i,6.6144e-05-0.00045057i,0.00081249-0.0001195i,0.0012737-0.00029013i,0.0010149+0.00040319i,7.1578e-05+0.00051794i,-0.00044797-5.2876e-05i,-0.00068605-0.00036815i,-0.00096378-0.00021973i
-0.0042315+0.00088406i,-0.006414+0.0010818i,-0.0077158+0.001392i,-0.0062404+0.00022411i,-0.0033977-0.0010632i,-0.0017369-0.00070669i,-0.0016203+0.0008155i,-0.00060237+0.002226i,0.00080263+0.002239i,0.0018039+0.0012764i,0.0018398+0.00023982i,0.00084558-4.3317e-05i,0.00087623-0.00062787i,0.00044821-0.0015381i,-0.00048592-0.0017118i,-0.00075343-0.0015685i,-0.00019467-0.0007371i,0.00014328-0.00032559i,-0.00049408-0.00089935i,-0.00077703-0.00068151i,-0.00046929+0.00012531i,-0.0004802+4.4281e-05i,-0.00077641-0.00015482i
-0.00097302+0.0018984i,-0.0022689+0.003264i,-0.0040213+0.0027687i,-0.0052269+0.00089335i,-0.003578+1.2986e-05i,-0.0015225+0.00047312i,2.2566e-05+0.001364i,0.0022298+0.0022253i,0.0033593+0.0019771i,0.0026829+0.0011846i,0.00101+0.00083348i,-0.00037929+0.00025875i,-0.00014806-0.00038449i,0.00054305-0.00050913i,-0.00017195-0.00048541i,-0.00055971-0.00018943i,0.00021231+0.00045123i,3.8034e-05+0.00083132i,-0.0002928+0.0004434i,-8.2455e-05-3.6405e-05i,0.00014859+0.00029852i,0.00010524+0.00081162i,-0.00064312+0.000764i
0.0032662+0.0056893i,0.0065131+0.0068795i,0.007256+0.0072815i,0.0040661+0.0050808i,0.00075313+0.00055638i,0.00077132-0.0033055i,0.0017555-0.0034824i,0.0016073-0.0021328i,0.0010992-0.0010417i,0.00017156-1.5331e-05i,-0.00052645+0.00028992i,-0.00097718-8.6335e-05i,-0.0010443-0.00035358i,-0.0012822+0.00033214i,-0.0009219+0.00092247i,-0.00071271+0.0013593i,-0.00078657+0.0012866i,-0.00014865+0.00063747i,0.00085236+0.00060227i,0.00049724+0.00071206i,-4.8174e-05+0.00052806i,0.00048316+0.0005192i,0.00082304+0.00066672i
0.0025644-0.0017416i,0.0049164-0.0019987i,0.0059981-0.0020567i,0.0047742-0.00077431i,0.0022049-6.8022e-05i,0.0011494-0.00158i,0.00034749-0.0030628i,-0.00046891-0.0031217i,-0.00066641-0.0014864i,-0.00072469+0.00075283i,-0.0001325+0.0019407i,0.00044962+0.0015068i,0.00025667+0.00061308i,-0.0003769+0.00041971i,6.792e-06+2.6192e-05i,0.00068098+0.00029955i,0.00059185+0.00011625i,0.00047687-0.00015532i,0.00036379-2.0776e-05i,-0.00021378+0.00035363i,5.4496e-05+0.00080522i,0.0013065+0.00077969i,0.0011537+0.00070525i
0.0019221-0.0035047i,0.001649-0.0070958i,0.0015086-0.0096391i,0.00086395-0.0084502i,-0.00054921-0.0059773i,-0.0023855-0.0041492i,-0.0028261-0.0025981i,-0.0020354-0.00075227i,-0.0015623+0.00095384i,-0.00070385+0.001568i,0.00048319+0.0011894i,0.0011658+0.00061895i,0.00080653+0.00046347i,7.9146e-05+0.00086061i,4.8214e-05+0.00074351i,1.5302e-05+5.9332e-05i,-1.0155e-05-0.00045167i,5.338e-05-0.00059878i,0.00033705-1.2036e-05i,0.00048854+0.00014992i,-0.00022261+0.00012756i,-0.00091419+0.00030169i,-0.00052003+0.00014876i
-0.0029965-0.0021193i,-0.0049233-0.0034767i,-0.0059337-0.0051442i,-0.0039812-0.0048554i,-0.0022955-0.0031723i,-0.0015831-0.0012885i,-0.0011906+0.00016368i,-0.0012173+0.0016315i,-0.00028168+0.0026087i,0.0010695+0.0019542i,0.0020231+0.00044433i,0.0016927-0.00022892i,0.00088718-0.0001722i,0.00063503-0.0003162i,0.00020136-4.6047e-05i,-0.00053172+0.00033644i,-0.00097904+0.00019926i,-0.00052398+0.00072961i,-0.00019277+0.00049383i,-0.00041598+0.0002017i,-0.00051448+0.00025476i,-0.00035291+2.201e-05i,-0.00056768-0.00051938i
-0.0027824+0.00072225i,-0.0061427+0.00226i,-0.0090261+0.0029728i,-0.0081021+0.00055568i,-0.0048338-0.0013155i,-0.0029373-0.00068351i,-0.0015705+0.00077999i,0.00062064+0.0020787i,0.0018683+0.0021422i,0.001398+0.0013021i,0.00049003+0.00010689i,-0.00018052-0.00050132i,-6.4276e-05-0.00018311i,-0.00029703+2.6403e-06i,-0.00074325-0.00023792i,-0.00066207-0.0001956i,-0.00057105+0.00071568i,-0.00013133+0.0012971i,-0.00017488+0.00056868i,0.00012219+5.9113e-05i,0.00050833+0.00070838i,1.9091e-05+0.0008526i,0.00013575-1.7272e-05i
-0.0012644+0.0035365i,-0.0012669+0.006462i,-0.0020805+0.0091024i,-0.0021254+0.007566i,-0.00089426+0.0036079i,0.0007479+0.0010148i,0.0011801+0.00033222i,0.0016799+0.00078091i,0.0013169+0.00060454i,2.8805e-05+0.00036928i,-7.3792e-05+0.00056528i,-0.00022197+0.00048756i,-0.00046995+0.00049423i,-0.00054871+0.00012278i,-0.00080105+0.00017451i,-0.00091702+0.00062522i,-0.0009491+0.00058326i,-0.00083106+0.00015986i,-0.00070997+0.00017207i,-0.00034341+0.00031449i,0.00067335+0.00011433i,0.001116+0.00015392i,0.0010756+0.0004668i
0.0033225+0.0022062i,0.0065848+0.0025662i,0.0098873+0.0025464i,0.0074303+0.002036i,0.0024661-0.00017155i,0.00026539-0.00090597i,0.00079595-0.00012073i,0.001456+0.00016869i,0.00092347+0.00013363i,0.0001777+0.00029725i,2.7697e-05+0.00099187i,0.00018777+0.0010401i,1.4079e-05+0.0013259i,-0.00036377+0.0015081i,-4.3639e-06+0.0012953i,-8.02e-05+0.00065639i,-0.00039773+0.00079572i,0.00038914+0.0010671i,0.00088863+0.00035199i,0.0006623-0.00011529i,0.00062438-0.00078144i,0.00068007-0.00070196i,-4.1475e-05+4.7643e-05i
0.0036756-0.0015314i,0.0055876-0.0039981i,0.0078932-0.0060879i,0.0080415-0.0055572i,0.0054489-0.0042254i,0.0016798-0.0039463i,9.8853e-05-0.0029604i,-5.4547e-05-0.002205i,-0.00028791-0.00050735i,-0.00073412+0.0013578i,-0.00012341+0.0015915i,0.00081935+0.0012225i,0.00081037+0.00021601i,0.0010018+0.00010718i,0.0008669+0.00021502i,3.3635e-05+4.6583e-05i,-0.00057005+0.0002261i,-0.00079465-0.0001774i,-0.00057657-0.0001398i,-0.00011773+0.00057243i,-0.00024445+0.00060041i,-0.00070379+0.00078475i,-0.0007427+0.000758i
-0.0015815-0.0020763i,-0.0025897-0.0043688i,-0.0028174-0.0075112i,-0.0014879-0.0080588i,-9.8871e-05-0.0060488i,-0.00090629-0.0046295i,-0.0025229-0.0030322i,-0.0022737-0.0011956i,-0.0010232+0.00059351i,0.00057539+0.0021532i,0.0015288+0.0018021i,0.0012524+0.00071202i,0.00053085+0.0002559i,7.4738e-05-0.00051268i,1.8993e-05-0.00087517i,-0.00035432-0.00044616i,-0.00043356-6.8932e-05i,-0.0002851-0.00039362i,-0.00046926-0.00042516i,-3.3546e-05+0.00056758i,0.00049573+0.00071691i,0.00059213-0.00014727i,0.00051653-0.00082461i
-0.0032632+0.00076317i,-0.0057056+0.00078041i,-0.007796+0.00069162i,-0.0069393-0.00044191i,-0.0038018-0.0017483i,-0.0030475-0.0023748i,-0.0034251-0.0017071i,-0.0021355+0.00060346i,-0.00016515+0.002306i,0.0010293+0.0018677i,0.0014011+1.4635e-05i,0.00067767-0.0008628i,-0.00068019-0.00053161i,-0.0012969-0.00048883i,-0.00091019-0.0004388i,-0.0010799-0.00024193i,-0.0018458+0.00049009i,-0.0016641+0.001649i,-0.0010906+0.0015322i,-0.00023521+0.00023327i,0.00012139-3.4452e-05i,0.00011688+0.0003791i,-0.00042934+0.00024122i
-0.0018871-0.00051372i,-0.0038124+0.0035711i,-0.0058908+0.0060326i,-0.0064553+0.004272i,-0.0054814+0.00086742i,-0.0033818-0.00024666i,-0.0019104+0.0012003i,-0.0011133+0.0023388i,-0.00033636+0.0017907i,-3.4485e-05+0.0011837i,0.00022915+0.00050728i,0.00088231-9.4613e-05i,0.0010879-1.7744e-05i,0.00053961+0.00034808i,0.00012472+0.00096672i,0.00059718+0.00087455i,0.0007821+0.00079194i,7.8829e-06+0.00072569i,8.2374e-05+6.634e-05i,0.00064544-4.643e-05i,0.00074418+0.00032584i,0.00071498-0.00020778i,0.00052023+0.00022941i
0.00029581+0.0028973i,0.0028895+0.005639i,0.0038916+0.0079311i,0.0027694+0.0066902i,0.00063787+0.003542i,-0.00059319+0.0017443i,-0.0003758+0.0006989i,0.00059941-0.00011337i,0.0013019+0.00050434i,0.00064676+0.0010312i,-0.00084693+0.0012706i,-0.00073945+0.00048805i,-0.00017022+8.1782e-05i,0.00046322+0.00063317i,0.00058311+0.0008656i,-0.00062419+7.1062e-05i,-0.0014303-0.00036028i,-0.00072745-0.00051338i,-0.00035585-0.00081681i,-0.0002929-0.00047734i,0.00013316+0.00017237i,3.1479e-05+0.00043034i,-9.1929e-05+0.00055524i
0.0016907-0.0011644i,0.006155-0.0016886i,0.008874-0.0016179i,0.0075885-0.00041032i,0.0047023+0.00034174i,0.0031485-0.00062681i,0.0019542-0.0019654i,0.00066609-0.0017683i,0.00022377-0.00079445i,0.00017771+0.00021114i,0.00066538+0.00045306i,0.0018304+0.00041463i,0.001248+0.00019176i,-8.42e-05-0.00041543i,-0.00081189-0.00096241i,-0.00090764-0.0004725i,-0.00059904+0.00030075i,-0.00039678+0.0004445i,0.00036244+0.00013763i,0.00034936+0.00037362i,-0.00023745+0.0012708i,0.00024873+0.00091968i,0.00074426-0.00080455i
0.001168-0.0014703i,0.0017312-0.0059704i,0.0030825-0.010487i,0.004237-0.010243i,0.0034182-0.0058578i,0.00070018-0.0039847i,-0.0010232-0.0030017i,-0.00095119-0.00094288i,-0.0016317+0.00057583i,-0.00070773+0.0016468i,0.0013682+0.002421i,0.0012624+0.0014655i,0.00026297-8.2368e-05i,-0.00092698-0.00048392i,-0.0015546-0.00057244i,-0.0015502+0.00010488i,-0.0012234+0.00092921i,-0.00032096+0.0011426i,0.0005605+0.00040574i,0.00072914-0.00029543i,-0.00024259-6.6625e-05i,-0.00082854+0.00035438i,-0.00061437-3.9303e-05i
-0.001897-0.0034888i,-0.0060956-0.0041979i,-0.0091417-0.0069027i,-0.0079635-0.008224i,-0.0039372-0.0059294i,-0.0019096-0.0025535i,-0.0012605-0.0015041i,-0.00061838-0.0010653i,-0.00084769+0.001051i,-0.00047621+0.002109i,0.00090929+0.00098037i,0.00096231-0.00014808i,-0.00028094-0.00029927i,-0.00092407+0.00019809i,-0.0016891+0.000806i,-0.0013899+0.00095153i,-0.00021521+0.00079118i,-0.00011659+2.7647e-05i,-0.00042029-0.00070976i,0.00012709-0.00060716i,0.00013241-9.5916e-05i,-0.00041361-0.00014094i,-0.0011641+0.00010033i
-0.0029081+0.00044745i,-0.0082741+0.0034909i,-0.010782+0.0045399i,-0.0096811+0.0020465i,-0.0058621-0.00072061i,-0.0029478-0.0016052i,-0.002217-0.0014095i,-0.0016398+4.1535e-05i,-0.00078594+0.0019367i,0.00034937+0.0020001i,0.00047181+0.00036435i,-0.00010749-0.00067591i,0.00031243+0.00041252i,0.0011016+0.00094751i,0.0010009-0.00023062i,0.0010276-0.00040809i,0.0013821+0.00066534i,0.00069556+0.0011437i,0.00036003+0.0011184i,-1.9326e-05+0.00057058i,-0.0001222-0.00056708i,0.00018682-0.00082716i,0.00012372-0.00029419i
-0.0017686+0.004393i,0.00060602+0.0083637i,0.001057+0.012144i,-0.0010417+0.010823i,-0.0018017+0.0046914i,-0.0010392-0.00050574i,-0.00092739-0.0017797i,-0.00068286-0.00078148i,0.00023844+0.00060157i,0.00039316+0.00057215i,0.0004512-6.6511e-06i,0.00016086+0.00037503i,0.0001289+0.00079673i,0.00039908+0.00069135i,7.2731e-05+0.00048022i,0.00037895+0.00064283i,0.00026645+0.0008587i,-0.00057115+0.00074345i,-6.2371e-05+0.00032556i,0.00074192+0.00028346i,0.0012982+0.00043796i,0.001241+4.6458e-05i,0.00096215-0.00056159i
0.0014826+0.001686i,0.0081251+0.0018257i,0.012081+0.0034103i,0.0096338+0.0045707i,0.0042853+0.0032302i,0.00030511+0.0009886i,-0.0005482+4.1514e-05i,4.4244e-06+0.00045385i,0.00043066+0.0010211i,0.00019725+0.00075763i,1.741e-05+0.00047759i,0.00047006+0.0011966i,0.00066961+0.0014897i,0.00033613+0.00070497i,0.00044393-0.00060653i,-0.00025468-0.0012656i,-0.0011595-0.00066477i,-0.00074166-0.00018545i,-0.00040342+0.00011672i,-0.00049978+0.00082226i,-0.00063294+0.00086576i,0.00047787+0.00068518i,0.00082209+0.0001853i
