0.003716-0.001279i,0.003185-0.0023568i,0.0012928-0.0026524i,-0.00033849-0.0015918i,-0.0021673-0.0012898i,-0.0034886-0.00080925i,-0.0022703+0.0005235i,-0.00071252+0.001103i,0.00051029+0.0007019i,0.00044102-0.00014212i,-0.00025382-0.00066177i,3.5863e-05-0.00071264i,0.00050037-0.00062231i,6.5515e-05-0.00048351i,-0.00072478-0.00010641i,-0.00060967-2.9068e-05i,-0.0007702-0.00044041i,-0.0011017-0.00055575i,-0.00037523+0.00030858i,3.5584e-05+0.0011858i,0.00041641+0.0011593i,0.00079027+3.8855e-05i,0.00049307-0.00054538i
0.00097159-0.0016966i,0.00093124-0.0017937i,0.00094713-0.0014307i,0.0011515-0.0015268i,0.00037134-0.0015508i,-0.0010272-0.0010553i,-0.0011053-0.00029624i,-0.0008495+8.704e-06i,-0.0011231+0.00016193i,-0.00038589+0.0001166i,0.00021984-0.00024708i,0.00021384-0.00011863i,-8.4793e-05+0.00069656i,-0.00045468+0.00077805i,-0.00012414-0.00057291i,0.00064053-0.0012029i,0.00079863-0.00088041i,0.00053243-0.00039852i,0.00059114+0.00029771i,0.00022962+0.00031893i,-0.00018368+0.00031155i,-0.0001251+0.00010782i,-0.00023168-0.00061526i
0.0023641-0.0022144i,0.00145-0.0015243i,0.00074302+0.00015686i,0.00040995+0.00099887i,0.00037501+0.0003909i,0.00011692-0.00049172i,-0.00024394-0.00053984i,0.00020698-0.00055993i,0.00048603-0.0013704i,7.181e-05-0.0014094i,-0.00066317-0.00086847i,-0.0010495-0.00060947i,-0.00037427-0.00049236i,-0.00019745+0.00042264i,-0.00052973+0.0013807i,-0.00064717+0.00087004i,8.3791e-05+0.00057646i,0.00063244+0.00034118i,0.00032156+0.00039642i,5.5522e-05+0.00046172i,-0.00011036-0.0002921i,-0.00052118+0.00033123i,-0.00064819+0.00081848i
0.00063452-1.9136e-05i,0.00034896-0.00077656i,-0.00015779+0.00026258i,0.00011689+0.00066757i,0.0004396+0.00010812i,-8.3819e-05+8.3294e-05i,-0.00043377+8.6944e-05i,-0.00069976+0.00039447i,-0.0013186+0.00042107i,-0.0014556+5.2572e-05i,-0.00025888-0.00062978i,0.00049417-0.00096079i,-0.00012228-0.00044859i,-0.00073363+1.0482e-05i,-0.0004748-9.6736e-05i,6.3106e-05+3.6211e-06i,-0.00024834+0.00024917i,-0.00078649-0.00040551i,-0.00075192-0.0014573i,-0.00011797-0.0011981i,0.00011309-0.00019921i,0.00014837+0.00017644i,0.00082986-0.00021617i
-0.00037106+0.00054771i,-0.00062563-9.6726e-06i,-0.0010049-0.00019154i,-0.0015279-0.00025212i,-0.0014038-4.5697e-05i,-0.0009735-0.00012026i,-0.0011444-0.00042267i,-0.0011104-0.00015049i,-0.00010156+0.00041841i,-0.00011164+0.00023152i,-0.00031392-0.00022757i,-0.00018118-0.00015284i,-0.00028587+0.00022393i,-0.00031882+0.00038891i,-0.00057154+0.00025062i,-0.00046668+7.1371e-05i,0.00017249+0.00048609i,0.00046551+0.00039481i,4.4572e-05-0.00021701i,-0.00046111+0.00016943i,-0.00042901+0.00042301i,-0.00013422+0.0010854i,-0.00019099+0.00052898i
0.0014961-0.0035449i,0.00076775-0.003597i,-0.00069271-0.0021009i,-0.00088666-0.00069341i,-0.0011834-0.0010083i,-0.0020718-0.0011203i,-0.0018008-0.00096213i,-0.0011092-0.0011688i,-0.00054617-0.00080242i,-0.0003815-0.0010627i,-0.00050839-0.0016165i,-0.00011976-0.00055357i,0.00032401-2.719e-05i,0.00023504+3.2253e-05i,-0.00053702+0.00091468i,-0.00074979+0.00094588i,-8.3784e-05+0.00019842i,0.00024305+0.0004289i,-0.00018376+0.00080499i,0.00013787+0.00074211i,0.00089197+0.00051141i,0.00019381-0.00065139i,-0.00022577-0.0014131i
0.0041379-0.00091032i,0.0030202-0.0010019i,0.001011-0.00043191i,-0.00047315+0.00016109i,-0.0018005+0.00066101i,-0.0026529-4.9776e-05i,-0.0018663-0.00014291i,-0.00018238-0.00049739i,0.00064697-0.0009531i,0.00021941-0.0009723i,-0.00061057-0.00046479i,-0.0004712-0.00028653i,0.0004284-0.00046632i,0.00088315+3.3873e-05i,0.00067164+0.00048838i,0.00068611+2.2956e-05i,0.00065331-0.0004833i,-0.00029198+0.00029123i,-0.0010348+0.00083724i,-0.00075973+0.0010293i,-0.00050347+0.00053347i,-3.8553e-05-0.00027482i,0.00062301-0.00037113i
0.001914+0.0023205i,0.0016048+0.0012467i,0.0012347+0.0010677i,0.00093302+0.00048391i,0.00027437-0.00060396i,-0.00077717-0.0016646i,-0.0011304-0.0011916i,-0.00091843-0.00025954i,-0.00052123+4.3624e-07i,0.00016154-0.00052432i,-0.00054884-0.00073934i,-0.0007224-6.6073e-05i,0.00033551+0.00043231i,0.00036413+0.00071279i,-0.00022785+0.00025057i,-0.00043027+0.00035832i,-0.00057873+0.00060173i,-0.00067688-0.00058892i,-0.00037063-0.0011429i,-0.00036635+0.00059207i,-0.0010738+0.0011549i,-0.00043461+0.0001969i,0.00089265-0.00019659i
0.0025719-0.0015681i,0.0016329-0.0016306i,0.00017028-0.0010071i,2.0126e-05+0.00015974i,-0.001016+0.00091859i,-0.0012877+0.00039227i,-0.00036972+0.00027555i,-0.0004374+0.00077881i,-0.00085051+0.00055976i,-0.00050475+2.1909e-05i,2.4573e-05+0.00011002i,0.00040845+0.00041475i,0.00040264+0.00047143i,0.00047843+0.00083743i,0.00021352+0.00049037i,-8.722e-05-0.00019063i,-0.00014615-0.00030501i,-0.00044118-0.00047979i,-0.00045008-0.00081872i,-0.00018688-0.0010581i,-9.98e-05-0.0003971i,0.00027349-0.00040201i,1.8171e-05-0.00052823i
0.0007665-9.794e-05i,0.00069129-0.00016189i,-0.00022079+0.00011893i,-0.00021448+0.00027539i,-0.00042642-0.00046903i,-0.00087421-0.00088717i,-0.00028331-0.0010657i,0.0007285-0.00092925i,0.0010398-0.00049671i,0.00075023-0.00098626i,0.00094777-0.00085175i,0.00035243-0.00061227i,0.00037081-0.00019256i,0.00061153+0.00056639i,-5.7967e-06-3.2548e-06i,1.4086e-05-0.00040418i,0.00032803-0.00063869i,-0.00012087-0.00043539i,-0.00062533-0.00033509i,-0.00043058-0.00035049i,0.0004571-0.00074377i,8.8528e-05-0.0010827i,-0.0005675-0.00081898i
0.0022671-0.001851i,0.0014442-0.0017954i,0.0015073-0.00095674i,0.00082732-0.00014765i,-0.00072553-0.00010938i,-0.0011442-0.00046587i,-0.00064707-0.00035162i,-0.00024495-0.00013024i,-5.0715e-05-0.00043788i,0.00037478+9.5454e-05i,0.00044114+0.00032174i,-0.0010455-0.00015092i,-0.001627-0.00049144i,-0.00069899-0.00016241i,-0.00074569-6.2715e-05i,-0.00048541+0.00030328i,0.00029936+0.00038997i,-0.00044034+8.4966e-05i,-0.00092725-6.5349e-05i,-0.00089577+0.00065206i,-0.00055494+0.00081249i,8.2506e-06+0.00024126i,1.8244e-05-0.001135i
0.0018795-0.0010181i,0.00077654-0.00097468i,-0.00018196-0.00017982i,-0.0013292+0.00079541i,-0.0016833+0.00076364i,-0.0015846+0.0003877i,-0.00092432-0.00045723i,-0.00069534-0.00074191i,-8.9252e-05-4.9284e-05i,0.00049481+0.00045647i,9.3899e-05+0.00035168i,0.00019012+0.0001186i,0.00034898+0.00030673i,1.5629e-05+0.00015024i,0.00069391-0.00019543i,0.00068632-0.0003732i,0.00032584-0.00031098i,0.00053836-0.00058685i,0.00070529-0.00089371i,0.00067937-0.00038724i,1.3437e-05+0.00062845i,-0.00057895+0.00086432i,-0.00088255+0.00044615i
0.001225-0.0023271i,0.0019169-0.0020552i,0.0010203-0.0016835i,-0.00028357-0.00045354i,-0.00089634+0.00080334i,-0.0010877+0.0015341i,-0.00046768+0.0014316i,-0.00029346+0.00092709i,-0.0010783+0.00048878i,-0.00089589-0.0006625i,6.3663e-05-0.0017651i,8.8971e-05-0.0016948i,-2.9991e-05-0.00071959i,-8.6379e-05-0.00028186i,-0.00026819-0.00056008i,-0.00057705-0.00042438i,-0.0011848-0.00049786i,-0.00071813-0.00060816i,-0.0002907-0.00044509i,-0.00086491-0.0010112i,-0.00036973-0.00095397i,0.00092408-0.00032591i,0.00073957-0.00047651i
0.002275-0.00077818i,0.00069093-0.00074283i,-0.00028014-0.00061802i,-0.00030357-0.0007671i,-0.00059962-0.0011705i,-0.001196-0.0018403i,-0.00096096-0.0013603i,-0.00064414+0.00028197i,-0.0003977+0.0010435i,-0.00039696+0.00059581i,-0.0004409+0.00063854i,-0.00035383+0.0010027i,3.4942e-06+0.00089614i,0.00026182+0.00072756i,-3.3801e-05+0.00024303i,-3.7068e-05-0.00048969i,0.00049356-0.0005043i,0.000537-0.00043271i,0.00036982-0.00034573i,0.00032122+0.0002348i,0.00044864+0.00052155i,0.00048252+6.313e-05i,-0.00015936-0.00014806i
0.0023769-0.0013794i,0.0012075-0.0011016i,0.00037626-0.0013681i,4.9831e-05-0.0007905i,-0.00070126-0.00037823i,-0.0011949-0.00048374i,-0.00053331-0.00048282i,0.00026204+0.00012077i,-0.00035627+0.00040354i,-0.00063561-0.00015821i,-0.00011754-9.1185e-05i,6.2619e-05-0.00017193i,-0.00044907-0.00084089i,-0.0004096-0.0010475i,2.1072e-05-0.0010022i,-9.1675e-05-0.0007785i,-0.00017094-5.2051e-05i,-3.0231e-05+0.00061201i,-2.686e-05+0.00085387i,7.6719e-05+0.00071441i,0.00016323+0.00093888i,7.0811e-05+0.0011758i,0.00038985+0.00032633i
0.0012021-3.6143e-05i,0.0010177-0.00061678i,0.00013469-0.00032221i,-0.00016314+0.00021016i,-4.1469e-05+0.00015025i,-0.00071555-0.00043171i,-0.00083628-0.0011078i,-0.00013146-0.00036091i,0.00036269+0.00096481i,0.00061312+0.0011396i,0.00016582+0.00069158i,0.00024433+0.00043455i,0.0004288+0.0009686i,5.121e-06+0.0013205i,0.0004165+0.0011534i,0.00026281+0.0001545i,-0.00021328-0.00067156i,-0.00016716-0.00021012i,-2.4949e-05+0.00028439i,0.00027102+3.113e-05i,0.00025944-0.00021904i,0.00020107-0.00041501i,-0.00010484-0.0011044i
0.00013282-0.0018791i,-0.00042887-0.001531i,-0.0018657-0.0015521i,-0.0025109-0.001034i,-0.0018261-0.00086284i,-0.00040904-0.00088462i,-0.00033364-0.00048028i,-0.0011622-0.0002337i,-0.0012441-0.00053497i,-0.0014182-0.00070632i,-0.0014511-0.00069131i,0.00044137-0.00082167i,0.00081112-0.00083526i,0.00069927-0.00090866i,0.0015397-0.000465i,0.0012211+8.6039e-05i,0.00076143+0.00058739i,0.00017963+0.00093661i,6.6382e-05+0.00094209i,-0.00028134+0.00098619i,-0.00052054+0.0004823i,-0.00066437-8.2662e-05i,-0.00066957-0.00056022i
0.0012233-0.0030909i,0.0018691-0.003561i,0.0012431-0.0021221i,9.5311e-05+0.00047834i,-0.00071748+0.00083036i,-0.00074815+0.00059941i,0.00030131+0.00034667i,0.00031376-0.00022613i,8.436e-05-0.00063553i,0.00059025-0.00077812i,0.00042978-0.0011753i,-0.00023167-0.0011849i,-0.00025373-0.00055565i,0.00031587-0.00039031i,-0.00013945-0.00016343i,-0.00033276+0.00011968i,0.0008215+0.0003651i,0.00099238+0.00069912i,0.0003136+0.00020938i,0.00014479+5.4355e-05i,-0.00045511-0.00035388i,-0.00043645-0.00037731i,0.00031246+0.00032371i
0.0023872-0.0005811i,0.0016635-0.0011728i,0.00018045-0.00090246i,-0.00062358-0.00065906i,-0.00043328-0.00042804i,-0.0012339-0.00092944i,-0.0013678-0.00077676i,-0.00047537-3.6709e-05i,-0.00014697-1.3885e-06i,0.00047288-0.00049525i,0.00043451+1.3277e-05i,-0.00055788+0.00051377i,-0.0010514-0.00016116i,-0.00043614-0.00046075i,0.00026205-4.7393e-05i,0.00060389-0.00030527i,-4.6889e-05+4.3367e-05i,-0.00050603+0.00027486i,-0.00042602-0.00027754i,-0.00027904-0.00024825i,-0.00033855-0.00019712i,-0.00013612-0.00027039i,0.00034057-3.9214e-06i
0.00087472-0.00094163i,0.0010099-0.0015063i,1.049e-05-0.0011343i,-0.00091703+0.00016013i,-0.0011217+0.00097806i,-0.0012487+0.0011047i,-0.0011093+0.00096294i,-0.00079902+0.00061939i,-0.00096418+0.00016737i,-0.00082013-0.0010645i,-0.00076313-0.0013141i,-0.00094924-0.00026435i,-0.00085394-0.00014069i,-0.00053103-6.7512e-05i,-0.00034856+0.00020393i,-0.00034567-0.0007774i,-0.00023537-0.0012115i,0.00031905-0.00083993i,8.0449e-05-0.00034919i,0.00010399+0.00037633i,0.00052593+0.00052009i,0.00013346+0.00083233i,-0.00024066+0.00015372i
0.00086688-0.00038749i,0.00074523-0.00065777i,-0.00019029-0.00026541i,-0.0012738+0.00010644i,-0.00059253-0.00070514i,0.00029996-0.0012058i,0.00076303-0.00040817i,0.0002294-0.00041057i,-0.00039621-0.00079331i,-0.00071375-0.00034123i,-0.00082434-0.00049213i,-0.00034334-0.00055631i,-0.00027463+0.0002131i,-0.00063886+0.00048781i,-0.00079422+0.00035995i,-0.00050493+0.00041375i,-0.00010748+0.00062266i,-3.7999e-05+0.0008475i,9.1489e-05+0.00093977i,0.00015814+0.00041968i,-5.5708e-05+0.00044121i,-6.0579e-05+0.00048623i,0.0002708-6.0497e-05i
3.5862e-05-0.00032923i,-0.00027015-0.00094754i,0.00053322-0.0012481i,0.00057066-0.0012181i,-0.00065531-0.00088122i,-0.0018433-0.0010584i,-0.0016949-0.00075973i,-0.0010022+8.2053e-05i,-0.00049981+0.00031763i,-0.00030229-0.00059145i,-0.0010263-0.0012351i,-0.0012199-0.0013838i,-0.00049137-0.0017363i,7.832e-05-0.0012787i,0.00040822-0.00033018i,0.00028961+0.00048008i,0.00076749+0.00045818i,0.0011511+0.00035225i,0.00045726+0.00075876i,7.9095e-05+0.00027234i,-0.00043587-0.00043237i,-0.0012769-0.00059086i,-0.0012109-0.00022149i
0.00098572-0.0018244i,0.00096281-0.0014865i,-0.00016293-0.00092913i,6.6474e-05-4.3078e-05i,0.00046236+0.0010575i,-0.00022134+0.00088832i,-3.6362e-05-0.00079752i,0.00063124-0.0015677i,5.1564e-05-0.0014054i,-0.0012459-0.0013564i,-0.0015222-0.00072554i,-0.00051386+0.00010958i,-0.00041443-0.00024766i,-7.7631e-05+3.671e-05i,0.00036723+0.00076751i,0.00031711+0.00016738i,0.0010486-0.00047956i,0.001421-0.00040413i,0.0006396-7.7813e-05i,0.00051157+0.00057312i,0.00033952+0.00074165i,-6.9443e-05+0.000607i,0.00012906+0.00057559i
0.0020843+0.00056424i,0.0014464+0.00065733i,-0.00027799+0.00018461i,-0.00063518-0.00027537i,-0.0010075-0.00033838i,-0.00092115-0.00080893i,-0.00080993-0.0010416i,-0.00076616-0.00056507i,-0.00033603-0.00018142i,-6.7997e-05-0.0006351i,-2.692e-05-0.0013642i,-0.00023549-0.0014882i,0.0001299-0.0011022i,-5.3066e-05-0.00012206i,-5.5818e-05-0.00017462i,-7.6553e-05-0.00019216i,-5.0393e-05+0.0001444i,0.00065784-0.00012194i,0.00026556-0.00037371i,-0.00018959-0.00023577i,-3.3827e-05+0.00023786i,8.27e-05+0.00024364i,0.00048671-0.00040222i
0.0011387+0.0009639i,-9.9666e-06+0.00038617i,-0.00017462+9.3538e-05i,-6.4753e-05-0.0002113i,0.00014836-0.00086286i,-0.00015515-0.0013938i,-0.00038496-0.0010162i,-0.00041835+0.00026095i,-7.3817e-05+0.00081347i,0.00025839+0.00016401i,0.0002725+0.00039496i,0.00023043+0.00019307i,0.00029767+3.8529e-05i,0.00069353+0.00062769i,0.00041415+0.0015528i,-0.00020248+0.00094777i,0.00018052-0.00017995i,0.00038289-0.00028656i,0.00030254-0.00011636i,-0.00058953+0.00013401i,-1.8378e-05+0.00038607i,0.00049369+0.00095656i,0.00018956+0.00084405i
0.0029144-0.0031105i,0.0021927-0.0027379i,0.0013648-0.0028614i,0.00053306-0.0011448i,-0.00068015+0.00030891i,-0.0013303+0.00096603i,-0.00070373+0.00049282i,-0.00041963-7.5905e-07i,-0.00072651+0.00032189i,-0.0011316+0.00018662i,-0.00083908+6.8318e-05i,-0.00031353+0.0007726i,-0.00067085+0.0015855i,-0.00050613+0.0010267i,-0.00010968-0.00038647i,-0.00027584-6.6911e-05i,-0.00051064+0.00041148i,-0.00074125-0.00057314i,-0.00057729-0.00058597i,3.3897e-05+0.00014176i,0.000534+0.00085942i,0.000507+0.0010574i,0.0002301+6.1747e-05i
0.0025584+0.00024105i,0.0029863-0.00043778i,0.0020679-0.00063584i,0.0011766-0.00062635i,0.00023315-0.0011704i,2.149e-05-0.00070633i,-6.7616e-05+4.0019e-05i,-0.00053457-0.00034908i,-0.00049829-0.00047412i,-1.6849e-05-0.0002566i,0.00030375-0.00025722i,0.00024261-0.00038414i,0.00034533+0.00020594i,0.0007543+0.00027099i,0.00021856-0.0006319i,-0.0004896-0.00087672i,-0.00012226-0.00084314i,-8.9181e-05-0.0011162i,6.4072e-06-0.0010315i,-0.00031147-0.00042151i,-0.00026468+0.00033903i,0.000478+0.00074369i,-8.9232e-06+0.00059385i
0.0015129-0.0011101i,0.0016896-0.00083155i,7.2387e-05-0.00075622i,-0.0013869-0.00052408i,-0.0014492-0.00045018i,-0.0019831-0.00096387i,-0.0024117-0.00084893i,-0.0014818-0.0003024i,-0.00077174+0.00049169i,-0.00024112+0.00056512i,-7.6052e-05+5.7593e-06i,-0.00024962+0.00050513i,-0.00042387+0.00085891i,0.00023218+0.00034127i,0.0005815+0.00090663i,0.00022113+0.00080854i,0.00041664-0.00045475i,0.00035346-0.0010077i,0.00020293-0.00076047i,0.00039367+0.00035012i,4.7127e-05+0.0008602i,-2.3238e-05+0.00036977i,0.00017219+4.4942e-06i
-0.00080167-0.0019407i,-0.0017421-0.0024456i,-0.0019628-0.001782i,-0.0017506-0.00044526i,-0.0012008+0.00043117i,-0.00058452+0.00017991i,-0.0005143-0.00051782i,-0.00021606-0.0007244i,0.00057621-0.0010832i,0.00043897-0.0013985i,-0.00013641-0.0013175i,-0.00018636-0.00097842i,-0.00012686-0.00055613i,-0.00017703-0.00043237i,0.00023816-7.1558e-06i,0.00071884+0.00096714i,0.00054388+0.00097874i,0.00023624+0.00067642i,0.0003996+0.00038136i,0.00043538-7.6249e-05i,-9.8613e-05-0.00075684i,-0.00033442-0.00030829i,-0.00045083-0.0002504i
0.0016356-0.0016352i,0.0012866-0.0023955i,0.0010312-0.0020125i,0.000237-0.00095502i,-0.00063971-0.00024306i,-0.0010805-0.00044881i,-0.00048894-0.0010283i,0.00021165-0.0010802i,0.00071582-0.00088628i,0.00052378-0.00053383i,-0.00055747-0.00050312i,-0.00090526-0.00032796i,-0.00035853-0.00016095i,0.00037081+7.6104e-05i,0.00064099+0.00021848i,0.00065106+0.00015016i,0.0004934+0.00078359i,-0.00016993+0.00080164i,-0.00059021-0.00052761i,-0.00022564-0.00094219i,0.00036239-0.00053522i,5.7645e-05-0.00047168i,2.3515e-05-0.00068388i
0.0016704-0.0010384i,0.0019001-0.0010035i,4.3008e-05+6.7205e-05i,-0.00085465+0.00095179i,0.00035885+0.0011834i,0.00051741+0.00013511i,-0.00077223-0.00066957i,-0.00072002-0.00060162i,0.00025825-0.00030309i,3.022e-05+5.1824e-05i,-0.00060066-0.00012299i,-0.00075919-0.00016368i,0.00011815-0.00055441i,0.00049262-0.00072452i,4.7906e-05-0.00016166i,0.0003467+0.00015686i,0.00040354+0.00032425i,-0.00049598+0.00044479i,-0.00099994+0.0001548i,-0.00053204+3.5697e-05i,6.4161e-05-6.0016e-05i,0.00058307-0.00036139i,6.8896e-05-0.00055424i
0.00058071+0.00051073i,9.2643e-05-0.00069839i,-0.00049055-0.00065395i,-0.0003841-0.00051864i,0.00049783-0.0001027i,-0.00047382-0.00031196i,-0.0014863-0.001248i,-0.0010834-0.0013744i,-0.000698-0.0010382i,-0.00052001-0.00081289i,-0.00076477-0.00044286i,-0.00066869-0.00027459i,-0.0001403+0.00047347i,-0.00036754+0.00096589i,-0.0002941+0.00061709i,0.00021483+6.8855e-05i,0.00013322+4.1768e-05i,-1.102e-05+0.00013645i,-0.00025166+0.00053492i,-0.00039354+0.00039272i,-0.00014047-0.00013172i,0.00046305-0.00056486i,0.00092763-0.0014419i
