0.0012134+0.00011999i,0.0013219-0.0021265i,0.00087989-0.0030589i,0.00053625-0.0025084i,-0.00026059-0.00084349i,-0.00064389+0.00047286i,-0.00063388+0.0013357i,0.00038535+0.0021593i,0.0016505+0.0015263i,0.0015794-0.0001205i,0.00076012-0.001078i,-4.2924e-05-0.0011296i,-0.0010215-0.00075335i,-0.00040864-0.00088641i,-0.00013667-0.0011017i,-0.001143-0.00060426i,-0.001014-6.8947e-05i,-5.0796e-05+1.2539e-05i,0.00065495+0.00058319i,3.5943e-05+0.0010467i,-0.00028909+0.00069931i,-0.00012086-0.00048151i,-0.0002587-0.00082937i
0.0019471-0.0017181i,0.0023729-0.003489i,0.0018633-0.0048794i,4.8822e-05-0.0041879i,-0.00076979-0.0020429i,-0.00017652-0.00040334i,0.00012274+0.00036496i,-0.00032892+0.00074642i,-0.00060598+0.00099147i,-0.00023717+0.00045268i,0.00016174+0.00015622i,-9.0065e-05+0.00050447i,2.2478e-05+0.0012296i,-5.6074e-05+0.0012664i,-0.00042859+0.00076801i,-0.00022794+0.00054125i,0.00026097-7.4744e-05i,0.00022435-0.00034456i,1.8901e-05+5.5657e-05i,-0.00022743+0.00027721i,-0.00060035-6.2361e-05i,-0.00034611-0.00029048i,0.00030946+0.00015011i
0.0020848-0.0020108i,0.0024685-0.0038674i,0.0018323-0.0036657i,0.00072133-0.0028696i,0.00012221-0.0018341i,-0.00046065-0.00086021i,-0.00072405-0.00019065i,-0.00018082+0.00030114i,1.5672e-05+0.00014063i,-0.00087543+1.868e-06i,-0.0010878+0.00064768i,-0.00058249+0.00014563i,-0.00057868-0.00070213i,-0.0011014-0.00020808i,-0.00083291+0.0001887i,-8.854e-06-2.5434e-05i,0.00049311-0.0002372i,7.1797e-05-0.00073161i,3.1213e-05-0.0011087i,4.8295e-06-4.9265e-05i,-0.00036987+0.0010057i,-0.00025342+0.00075121i,-0.00022097+0.00046008i
0.0043822-0.00025844i,0.004-0.00069699i,0.0027545-0.0018905i,0.0013126-0.0019662i,8.3143e-05-0.00089398i,-0.00057814+0.00018219i,-0.00068475+0.00064401i,-0.00043895+0.001384i,-0.00042233+0.0017579i,-0.00035076+0.00061047i,-0.00027068-3.7784e-06i,-0.00023977+5.1048e-05i,-0.00082188+0.00014343i,-0.0014512+0.00014084i,-0.00068809-0.00012344i,0.00010581-5.3258e-05i,3.4866e-05-0.00023681i,-5.7811e-05-0.00019366i,0.00029378+0.00023738i,0.00020205-0.00012093i,-7.6344e-05-0.00022219i,-0.00025351+0.00017677i,-0.0003872+0.0003016i
-0.00075831-0.0019822i,0.00011618-0.0031138i,1.7719e-05-0.0029684i,-0.0011915-0.0014829i,-0.001103-0.0001896i,-0.00063761-0.00028609i,-0.00029706-0.00041719i,0.00013406-0.00013117i,0.00035443+0.00028696i,0.00025767+0.00023003i,4.7452e-05-8.4678e-05i,8.8967e-05+0.0006302i,0.0005667+0.00083054i,0.00075653+0.00054629i,0.00070244+0.00075749i,0.00051351+0.0002594i,0.00040109-3.0114e-05i,4.3375e-05+0.00021451i,-0.00037198+0.00039984i,-0.00032989+0.00018903i,-0.00063318-0.00028767i,-0.00066133+0.0001826i,-0.00033541+0.0011472i
0.0010534-0.00088904i,0.0016217-0.0021465i,0.0017955-0.0033973i,0.00045611-0.002668i,-0.00027026-0.00079946i,0.00017999+0.00020599i,-8.7799e-05+0.00065707i,-0.0010249+0.00039412i,-0.00054195-0.00011093i,0.00025153-0.00070716i,3.6228e-05-0.00087134i,-0.0005952-9.2966e-06i,-0.00087049+0.00041944i,-0.0013434+0.00032836i,-0.0013064+0.0006969i,-4.9676e-05+0.00043547i,0.0004741-0.00032458i,0.00035097-0.00029501i,-8.547e-05-6.6565e-05i,-0.00029763-0.00013053i,-9.266e-05-0.0002719i,0.00030214-0.00070404i,0.0004007-0.00056485i
-0.00020722-0.0022874i,-0.00090281-0.0014723i,-0.0017719-0.0014574i,-0.0016269-0.0010579i,-0.0011166-0.00016766i,-0.00023494+7.4365e-05i,0.00026534+1.9081e-05i,-0.00025299+2.4316e-06i,-0.00059143+0.00041938i,-0.00022539+0.00018641i,-0.00035448-0.00050716i,0.00035533+0.00024962i,0.0017859+0.00090568i,0.0020648+0.00046643i,0.0010921-0.00011572i,0.00025162+0.00014323i,0.00019672+0.00077497i,0.00023337-0.00013167i,0.00011513-0.001223i,0.00022151-0.00069697i,0.00045539+0.00014937i,9.9397e-05+0.00057637i,-0.00060831+0.0010771i
0.0019802-0.00033417i,0.0025414-0.0030719i,0.0025468-0.0039407i,0.0012989-0.0027359i,-0.00014909-0.0017442i,-0.0010118-0.0012349i,-0.00074888-0.0011608i,0.00015496-0.00047641i,0.00015121-0.00013957i,-0.00069286-0.00041987i,-0.00078806-0.00070902i,-0.00071646-0.00074994i,-0.00072303-0.00027639i,-0.00041652+0.0010087i,1.8537e-05+0.0013509i,-0.00043862+0.00049151i,-0.00088956-0.00023489i,-0.00052251+8.8138e-05i,-0.00027395+0.00059029i,2.5701e-05+0.00023172i,0.00030486+0.00017215i,-6.8237e-05+0.00030621i,-9.2204e-05+0.00052977i
-2.5507e-05-0.0015722i,0.00037304-0.0027582i,0.0013539-0.0032612i,0.0011164-0.0027237i,0.00034731-0.00083206i,-0.0003348+0.00022062i,-0.00049807+0.00052222i,-0.00094871+0.00030557i,-0.00069858+0.00017094i,8.1008e-05+7.186e-05i,5.8173e-05-0.0002102i,-0.00010059-0.00019822i,-7.8509e-05-0.00059009i,0.00019515-0.00057063i,0.00058142-0.00055856i,-0.00051008-0.00036119i,-0.00105+0.00027832i,-0.00076504-0.00024852i,-0.00080468-0.001036i,-0.00029963-0.00015162i,-0.00029374+0.0005498i,-0.00038357-0.00075368i,-4.1387e-05-0.0015955i
0.0013936-0.0024157i,0.0012782-0.0023484i,0.00050187-0.0023297i,6.7002e-05-0.0023384i,-0.00025521-0.00091347i,-0.00021816-3.8372e-05i,-0.00010304-0.0007318i,0.00020451-0.00093391i,0.00047349-0.00085118i,0.00026841-0.0010047i,0.00037735-0.00036254i,0.00073267+0.00043008i,0.00039588+0.00036505i,-0.00034636-0.00065167i,-0.00078397-0.0010604i,-0.0001864+4.2253e-05i,-0.00029289-0.00053639i,-0.0013098-0.0019767i,-0.00031972-0.001381i,0.00072547+0.00035613i,0.00041328+0.0011383i,4.0464e-05+0.00036905i,-0.00018445-0.00017595i
0.0013175-0.0031676i,0.0018685-0.0032832i,0.0020057-0.003377i,0.00092635-0.002233i,-0.00056738+3.2386e-05i,-0.00058921+0.00087652i,0.0001212-0.00018206i,4.6342e-05-0.00036651i,0.00047879+0.00022461i,0.00034392+0.0002773i,-7.3174e-05+0.00050009i,-3.5699e-05+0.00081983i,0.00072108+0.00090732i,0.0015631+0.00026996i,0.0011848-0.00041271i,0.0005323+5.4156e-05i,0.00045426+0.00012436i,0.00087062-0.00052263i,0.00065533-0.00032622i,-0.00050786+0.00016645i,-0.0012097+0.00054614i,-0.0012427+0.00089139i,-0.00081199-5.6022e-05i
0.0010654-0.0015609i,0.00069173-0.0030554i,0.00046931-0.0025448i,-0.00063446-0.0018649i,-0.00091395-0.0019813i,-6.8509e-05-0.0021521i,-0.00015173-0.0015574i,-0.00086434-0.0010439i,-0.00077875-0.00051544i,-0.00052082-0.00023329i,-0.00019466-0.00023127i,8.8096e-05+0.00016079i,0.00022089-9.3202e-05i,0.00066494-6.9137e-06i,0.00054388+3.316e-05i,5.4037e-05+4.0686e-05i,-2.8422e-05+0.001066i,0.00014058+0.001391i,0.00052367+0.00086048i,0.0013149+0.00033768i,0.00073065+3.41e-05i,-0.00086895+0.0005347i,-0.0014716+0.00061701i
0.0015147-0.0017387i,0.0020071-0.0027089i,0.0018887-0.003092i,0.0017164-0.0022364i,0.00091991-0.00056443i,0.00035501+0.00045587i,-0.00010222-1.427e-05i,0.00024306-0.00025586i,0.00090946+0.00011707i,0.00059784-0.00015382i,-0.00050946-0.00016909i,-0.00049187+0.00040019i,0.0007198+0.0007931i,0.00044864+0.00067678i,-0.00024028+0.00049746i,-6.0035e-06+0.00030794i,0.00015827+6.592e-05i,-0.00020106-5.6106e-05i,4.4047e-05+0.0004793i,0.00039114+0.00051467i,-0.00033824-0.00032986i,-0.00087998-0.00017946i,-0.00040527+0.00017131i
0.00031123-0.0023529i,0.0021615-0.0028787i,0.0015026-0.0026993i,-0.00055404-0.0013781i,-0.0006433+0.00026457i,0.00044305+0.0016368i,0.00039655+0.0011326i,0.00013684+0.0010822i,-0.00032962+0.0012968i,-0.0010903+0.0014649i,-0.0010368+0.0012652i,-0.00057471+9.6436e-05i,7.8211e-05-0.00021125i,0.00016767-0.00037883i,0.00031055-0.00093237i,0.00060542-0.00013993i,0.00030093+0.00036437i,-6.9341e-05-0.00014765i,0.00038519-0.00043158i,0.00053375+0.00045494i,0.00032998+0.0012987i,0.00058215+0.0016587i,-9.4682e-05+0.0011766i
0.0015569+0.00012093i,0.0025286-0.0013509i,0.0021092-0.002109i,0.00072633-0.0020812i,0.00013009-0.0015599i,5.2613e-05-0.0017267i,-0.00012008-0.0012817i,-1.6391e-05-3.9058e-05i,2.4134e-05+0.00079027i,7.2808e-05-1.746e-05i,-0.00022033-0.00094043i,-0.00058596-0.00073251i,-0.00068238-0.0004579i,-0.00049584-0.00030205i,-0.00048901-0.0002628i,-0.00036525-0.00026158i,-0.00031345-8.7332e-05i,-0.00082181-9.8345e-05i,-0.0011137-0.00021616i,-0.00013367-0.00074182i,0.00029579-0.000815i,-0.00041608+0.00039338i,-0.00023286+0.00065289i
0.0018491-0.0020933i,0.0019883-0.0026305i,0.0023491-0.004333i,0.0015516-0.0048523i,5.1847e-05-0.0026316i,-0.00065641+4.0589e-05i,-0.00027093+0.00074161i,-8.0195e-06+0.00077567i,0.00037777+0.0003621i,0.00051006-0.00034817i,9.8454e-05-0.00026334i,-0.0009738+0.00073986i,-0.0020158+0.00052653i,-0.0014873+0.00093587i,-0.00073496+0.0015848i,-0.00022602+0.00077826i,3.833e-05+0.00039328i,0.00020145+0.00042885i,0.00027133+0.00046286i,-0.00010046+1.1563e-05i,-0.00021195-0.00011441i,0.00064815+0.00030941i,0.00054733+0.00050177i
0.001623-0.003875i,0.0022945-0.0034069i,0.0019947-0.0020151i,0.0011716-0.00056909i,0.00096473-0.00022685i,0.00088966-0.00097316i,-0.00050744-0.0015208i,-0.00067681-0.00076708i,0.0001986-0.00032836i,-9.0368e-05-0.00077945i,-0.00071234-0.00048682i,-0.0007708-0.00047294i,-0.00015503+4.1618e-06i,0.00032557+0.00058858i,0.00041904+0.0001106i,0.00047845-2.7524e-05i,0.00048016+0.00011242i,0.00018491-2.4313e-05i,0.00036144-0.00029898i,-0.0003723+0.00038328i,-0.0010546+0.00049444i,-0.0010425+0.00044967i,-0.00047373+0.00082004i
0.0028794-0.0033806i,0.003354-0.0030873i,0.0028578-0.0018186i,0.00024858-0.00071452i,-0.0014487-0.00016637i,-0.00061381+0.0003543i,-0.00077735+0.00015951i,-0.0010264+0.00029259i,-0.00066732+0.00026185i,-4.9066e-05-0.0002052i,0.00047065-0.00042552i,0.00060377-0.00058537i,0.00053133-8.9698e-05i,-0.00014956+0.00010699i,-0.00070889-5.3096e-05i,-0.00031903-0.00051132i,0.00097086-0.00018784i,0.001231+0.00027686i,0.00028097+0.0001296i,-0.00019767-0.00013723i,3.1556e-07-0.00027516i,0.00028564-0.00032076i,0.0001319-0.00080208i
0.0025922-0.00099758i,0.0032176-0.0034633i,0.002616-0.0047787i,0.0012201-0.0041344i,-0.00016248-0.0026924i,0.00023194-0.0023227i,0.00026898-0.0013832i,-0.00064665-0.00026393i,-0.00071575-2.8814e-05i,-0.00022-9.5459e-05i,-0.00014193-0.00082389i,-2.4017e-05-0.0008877i,-0.0001114-0.00074492i,-0.0011144-0.00063681i,-0.0014831-0.00019706i,-0.0010827+0.00033029i,-0.00022665+0.00048885i,0.00014954+0.00023174i,-0.00014221-0.00048025i,-0.00016277+0.00021939i,-0.00025153+0.00061834i,-0.00081101-0.00021585i,-0.00063901-0.00018106i
0.00087816-0.0016269i,0.001136-0.0008402i,0.001326-0.00046234i,0.0010575+0.00065509i,0.00096184+0.0019965i,0.0015201+0.0016388i,0.00072589+0.00042623i,-0.00024603-0.00026928i,-0.00049498+5.172e-05i,-0.00014588+0.00069952i,1.4097e-05+0.0013279i,0.00047682+0.00061491i,0.00061997-0.0003202i,0.00021621-0.00013676i,0.00020976-0.00073098i,0.0002129-0.00071578i,0.0001392-0.00025831i,0.00071459-0.00046809i,0.00056424-0.00087226i,-0.00020008-0.00011652i,-0.00050827+0.00069473i,-0.00066593+0.00091906i,-0.00052887+0.0011483i
0.0015487-0.00016666i,0.0023803-0.00081066i,0.0024567-0.0015632i,0.00040182-0.0016458i,-0.0017529-0.0012326i,-0.001677-0.00038249i,-0.00063359-8.9869e-05i,0.000286+0.00021279i,0.00051832+0.00065691i,0.00013694-4.1577e-05i,-5.6925e-05-0.00048313i,0.00024941-0.00029735i,0.00072168-0.0010355i,6.2635e-05-0.0012352i,-0.00039338+0.00019838i,0.00055249+0.00083112i,0.00094136+0.00018106i,0.00077941-0.00057848i,0.00062794-0.00082891i,8.092e-05-0.0001835i,-0.00050412+0.00039226i,-0.00046734+0.0003196i,-0.00042505+0.00019563i
0.0027184+0.00061546i,0.002801+1.0274e-05i,0.0031553-0.0014611i,0.0016422-0.0015473i,-0.0012736-0.0011435i,-0.0025403-0.00047906i,-0.0017813+0.00067009i,-0.00061995+0.0014282i,-0.0003792+0.0012686i,-0.0008894+0.00021306i,-0.0011352-0.00065739i,-0.00081213+0.00014118i,-0.0008448+0.00018574i,-0.0012049-0.00035563i,-0.0014391+4.7914e-05i,-0.00090956+0.00060356i,3.9715e-05+0.0010849i,4.4068e-05+0.00064626i,0.00015533+0.00027394i,0.00034896+0.00098088i,1.8802e-05+0.00068834i,-0.00027123-4.2557e-05i,-0.00042171-0.00033742i
-0.00092847-0.0013721i,-0.00048399-0.0021417i,0.00014587-0.0033373i,7.3734e-05-0.003185i,-0.00074246-0.0019134i,-0.00075435-0.00081289i,-0.00046932-0.00068018i,0.00032582-0.00074007i,0.00092816-0.00057461i,0.00082563-0.00028909i,0.00070772-0.00032293i,0.00071088+0.00043701i,0.00031642+0.00038153i,6.6998e-05-0.00024386i,0.00015172+0.00041324i,-0.00014695+0.000271i,0.00017784-0.00064808i,0.00022428-0.00077935i,0.00046696-0.00052923i,0.00070274-7.8794e-05i,0.00060439+0.00061483i,0.00073079+0.00066357i,0.00034424+0.00040173i
0.0013513-0.0015938i,0.0017006-0.0022511i,0.0016742-0.0018432i,0.0014932-0.0013932i,0.00057269-0.0012152i,0.00014875-0.0004762i,-3.7997e-05+1.9932e-05i,-0.00030845+0.00063261i,0.00032833+0.00034795i,0.00045208-0.00030537i,-0.00060208-0.00031731i,-0.00068921+0.00026704i,-0.00011248+0.0010888i,0.00017332+0.00094086i,-0.00020248-0.0004675i,6.9414e-05-0.0012572i,0.0010606-0.00063001i,0.0011841+0.0004077i,0.00029298-1.3193e-05i,-0.00022831-0.00015404i,-0.00035031+7.076e-05i,-0.0013708+0.00062421i,-0.0024821+0.00079668i
0.0015575-0.0010946i,0.0018461-0.0027147i,0.0012274-0.0045217i,0.00044505-0.0041495i,0.00038345-0.0016092i,0.00017503+0.00018748i,-0.00010794+0.00054572i,0.00039242+0.00082855i,0.00094055+0.00049121i,0.0007678+0.00016521i,0.00068977+0.00023082i,0.00074654+0.00059808i,0.00015226+0.00058591i,-0.00075205+0.00041052i,-0.00098035+8.509e-05i,-0.00067061-0.00036416i,0.00035093-0.00045612i,9.0442e-05+9.0891e-05i,-0.00029346+0.0003392i,-0.00026693+0.0003538i,-4.8073e-05+0.00019274i,-0.00018596-0.00071105i,-0.00069119-0.0013256i
0.0018049-0.0025434i,0.0024022-0.0037587i,0.0010809-0.003593i,0.00040541-0.0028358i,-2.0412e-05-0.0011646i,-0.00013362-0.00012614i,-0.0002734-0.00018987i,-0.00067749-3.1996e-05i,-0.00054083-0.00032043i,-0.00018427-0.00046574i,-0.00043639+0.00033957i,-0.00055693+0.00053695i,-7.7527e-06+0.00042105i,0.00036433+0.00030307i,6.313e-05+0.00015458i,-0.00047799+0.00036452i,-0.0004691+0.00021574i,0.00019577-0.00046822i,0.00019996-0.0005748i,-6.2867e-05-0.00017647i,-6.4993e-05+9.7858e-05i,-0.00042054+0.00066073i,-0.0013928+0.00059905i
0.0031271+0.0004043i,0.0039532-0.0005784i,0.0033503-0.00088359i,0.0017057-0.0010298i,6.9112e-05-0.0015008i,-0.0010436-0.0013683i,-0.0012665-0.00069365i,-0.00093405-8.8061e-05i,-6.6367e-05+9.6554e-05i,0.00059131+0.00064135i,5.7742e-05+0.00073374i,-0.00089135-0.00073997i,-0.00098914-0.0012779i,-0.0008419-0.0010241i,-0.001084-0.0001375i,-0.00086587+0.00076092i,-5.4507e-05+0.00074824i,0.00067787+6.6026e-05i,0.00081809-2.7633e-05i,0.00027418+8.4021e-05i,0.00019596+0.00019003i,0.00068081+0.00022704i,0.00060304+0.0001482i
0.0022629-0.0010842i,0.0042097-0.0027459i,0.0039813-0.004726i,0.001725-0.0042514i,-0.00092624-0.002126i,-0.0010532-0.0011303i,7.2655e-06-0.00041722i,0.00095841+0.00018121i,0.00049401+0.00070243i,-0.0005512+0.00011802i,-0.0014372-0.00039097i,-0.0015371+9.9725e-05i,-0.0011876+0.00078267i,-0.00098159+0.00095688i,-0.00061204+0.000663i,-0.00015178+0.00078472i,-2.1802e-05+0.00048691i,-0.00051304-5.7488e-05i,-0.0002188-0.00054343i,0.00015004-0.00021771i,-0.00025938-3.8513e-05i,-0.00060679-0.00037143i,-0.00019891+1.0295e-05i
-0.00036023+0.00090513i,0.00067879+0.00012764i,0.0025947-0.00045205i,0.0026607-1.271e-05i,0.00098703+0.00025881i,-0.0012298-0.00029933i,-0.002124-0.00036319i,-0.0015232+0.00023702i,-3.7589e-05+0.00052442i,0.00069593+0.00034496i,0.00053345-9.1405e-05i,0.0003392+0.00017449i,0.00031515+5.8848e-05i,6.9111e-05-0.00038376i,-0.0007739-0.00012807i,-0.00094603+0.00015409i,-0.00099634-4.9343e-05i,-0.00087907+0.00019971i,-0.00055457+0.00050224i,-0.00026595+0.00058927i,0.00014884+0.00056088i,0.00028195+0.00041866i,7.2605e-05+9.7153e-06i
0.0012762-0.0029887i,-0.000347-0.00427i,-0.00071833-0.0052843i,-0.0012292-0.0046487i,-0.0014481-0.0023804i,-0.00079394-0.0012202i,-0.00054017-0.00042495i,0.00011095+0.00078092i,0.00058214+0.0011653i,0.00040589+3.397e-05i,0.00032404-0.0012511i,-0.00022476-0.0012784i,-0.0010615+3.9296e-05i,-0.00083836+0.0010026i,-0.00022495+3.2834e-05i,-4.5318e-05-0.00055017i,0.00055799-0.00029292i,0.00068386+4.0519e-05i,0.00053647+0.00031379i,0.00053724+0.00075348i,-0.00022526+0.00069907i,-0.00062767+0.00038238i,0.00070466+0.00023473i
0.0002875-0.002931i,0.0008866-0.0028732i,0.00080566-0.0019487i,0.00024128-0.0014705i,0.0003018-0.0011787i,0.00058081-0.00043534i,-0.00029114-0.00044927i,-0.00058802-0.00043812i,-0.00019541+4.3829e-05i,7.6902e-05-6.4385e-05i,-0.00011791-7.5649e-05i,-0.00035998+0.00016459i,4.3292e-05-0.00021169i,-0.00015609-0.00058675i,0.00026399-0.000665i,0.00055178-0.00037526i,0.0002247-0.00049911i,-0.00015111-0.00071353i,-0.00019362-0.00034936i,0.00013035+0.0001409i,-0.00021527+0.00036552i,-0.0004521-0.00023086i,-0.00014418-7.4688e-07i
0.002411-0.0019262i,0.0018808-0.0029506i,0.00082432-0.0019017i,6.998e-05-0.0013966i,-0.00048747-0.0014526i,-0.00056986-7.4706e-05i,0.00041665+0.00040466i,0.00043595+0.00083515i,-0.00027024+0.0004812i,-7.5251e-05-0.00036864i,0.0002626-0.00038132i,0.00023024+0.00021165i,0.0010896+0.0003195i,0.0010191-3.1843e-05i,0.00024999-7.3751e-05i,-3.9063e-05+2.5035e-05i,-0.00023342-7.3062e-05i,0.00010004-0.0001011i,0.00010301-0.00012227i,9.0968e-06-0.00016596i,-0.00013529+0.00073984i,-0.0010738+0.0010747i,-0.0012129+0.00040745i
