-0.0033688+0.0006394i,-0.0023932-0.00049523i,-0.0029293+5.283e-05i,-0.0017771+0.00049862i,-0.00072364+0.00096347i,-0.0011498+0.0011683i,-0.00075571+0.00081114i,0.00049783+0.00081963i,0.00073338+0.00038996i,9.4744e-05-9.8135e-05i,-0.00018637+6.8576e-05i,4.0984e-05-0.00033i,0.00036668-0.00079258i,-0.00037351-0.00085533i,-0.0011758-0.0011214i,-0.0010616-0.0011075i,-0.0011505+3.6701e-05i,-0.0013095+0.00092292i,-0.0010428+0.00091012i,-0.00073361+0.00077789i,-0.00015829+0.00041848i,0.00051783+0.00023748i,0.00034044+0.00010703i
0.00048282+0.0017191i,-0.00028505+0.0014546i,-0.0010686+0.0007964i,-0.00041988-0.00063473i,0.00032891-0.0019574i,0.0001477-0.0018131i,-0.00054115-0.0010828i,-0.0001857-0.00037285i,-0.00018323-0.00012557i,-0.001022-1.3694e-05i,-0.001202-9.5918e-05i,-0.00021335-4.3529e-05i,-4.7241e-05+2.0673e-05i,-0.00040794-7.1275e-06i,-0.00023449+0.00020591i,-0.00057771+0.0004683i,-0.00057811+0.00035372i,8.9082e-05+0.00056133i,0.00026556+0.00091397i,0.00016402+2.3791e-05i,-7.9208e-05-0.00049914i,-0.00052416+1.4603e-05i,4.5e-05+3.5363e-05i
-0.00049398+0.0010631i,-0.00060821+0.00057476i,0.0006805+0.00044901i,0.0015381-0.00015262i,0.00080328-0.00091625i,0.00027304-0.0018339i,-0.0004819-0.0012765i,-0.00096714-8.6157e-06i,-0.00090035+8.8657e-06i,-0.00073098-0.00086842i,9.0466e-05-0.0011702i,0.00078031-0.00093048i,0.00016709-0.00047577i,-0.00026265-2.2938e-05i,-0.00076352+0.0010052i,-0.00071348+0.0012596i,0.00054454+0.00042071i,0.0011055+0.00017152i,0.00035237+0.00027068i,-0.00016193+5.6769e-05i,8.0813e-05-0.00060774i,0.00078288-0.000764i,0.00055722-0.00036696i
0.001497+0.0023064i,0.0019339+0.0020855i,0.001609+0.0019536i,0.0012798+0.0012679i,0.00093113+0.00015325i,-9.5947e-06-0.00057026i,-0.00047322+0.00014108i,-0.00087742+0.00052991i,-0.00062091-0.00048441i,-0.00025145-0.0013658i,-0.00068383-0.0015315i,-0.00099022-0.0011582i,-0.00077011-0.00086158i,-0.00074578-0.0007654i,-0.00086294-0.00066405i,-0.00064602-0.00066935i,-4.2421e-05-0.00033371i,0.00015234+0.00031695i,-3.6645e-05+0.00049398i,0.00031715+0.00029288i,0.00035126+0.00021372i,-0.00022345+0.00010745i,-0.00026911+0.00079408i
-0.00058377-0.00047722i,-0.00080769-4.7944e-05i,-0.00038166-0.00053662i,-0.00037764-0.00051186i,-0.0002965-0.00069821i,0.00063239-0.00079495i,0.000588+0.00011537i,-4.428e-05+0.00064452i,-4.3016e-05+7.342e-05i,-0.00047068-0.00033937i,-0.0010408-0.00013716i,-0.00093247+0.00019985i,-0.0013859+0.0002925i,-0.0013514+2.8419e-05i,-0.00077929-0.00031212i,-0.0009232-0.00047423i,-0.00076041-0.00037144i,-0.000496-0.0004092i,-5.03e-05-0.00026914i,0.00062931+0.0001044i,0.00095147+0.00022694i,0.00032144-9.8404e-05i,-0.00024675-0.00045128i
0.0025188+0.0010912i,0.0029137-0.00029751i,0.0027832-0.0022431i,0.0015323-0.0018425i,2.4709e-05-0.0010106i,-0.00044508-0.0014272i,-0.00028956-0.00094515i,-0.00014778+0.00015675i,0.00016773+8.0044e-05i,-0.00031566-0.0012024i,-0.001538-0.0011693i,-0.0018911+0.00015074i,-0.0010439+0.00064129i,0.00019065+0.00055662i,0.00049631+0.00067455i,0.00071616+0.00044469i,0.0011456+0.00052432i,0.00085656+0.00098042i,0.0004867+0.00073424i,0.00021+0.00057292i,-0.00060889+0.00021777i,-0.0016174+2.9479e-05i,-0.001767+0.00015029i
-0.00053263-0.00096667i,-0.00022613-0.00090819i,-0.00067244-0.00029233i,-0.00057322+0.00019075i,-0.00085851-2.9569e-05i,-0.0009261-0.00052594i,0.0001248-0.00056968i,0.0003527-4.4321e-05i,-0.00087234-6.0025e-05i,-0.0017393-0.00018283i,-0.0012068-0.00014632i,-0.00098468+0.00025532i,-0.00059158+0.00043385i,0.00059743+0.0004938i,0.00063273+0.00052052i,7.6984e-05-0.00016647i,-0.00010178+5.9338e-05i,-6.0118e-05+0.00041807i,2.3401e-05+3.37e-06i,-0.00036125+9.9609e-05i,0.00039621+0.00021334i,5.8821e-05+0.00066218i,-0.00054793+0.0013445i
-0.0014214+0.00091213i,-0.00069445-0.00022457i,0.00055696-0.0015473i,0.00060373-0.0011309i,0.00056114-0.00065645i,0.00078632-0.0010143i,0.00045133-0.00044922i,2.9443e-05+0.000237i,-0.00069601+0.00023365i,-0.00083616-1.3585e-05i,-0.00075458+0.00041631i,-0.0015255+6.1468e-05i,-0.0014127-0.0013073i,-0.00069702-0.0013183i,-0.00090341-0.00058288i,-0.00061234+0.00012011i,0.00035726+0.00049201i,0.00062574+0.00017439i,-1.6521e-05-0.00015556i,-0.0005385-0.00047549i,-0.0002688-0.00029689i,-0.00011+0.00021493i,0.00015915+0.00065194i
0.0016134+0.001076i,0.00091968+0.0018164i,0.0012873+0.0026069i,0.00084573+0.0023297i,-0.00039833+0.0012751i,-0.00046504+0.00044586i,-0.00066838+2.6875e-05i,-0.00072621-0.00030899i,0.00016922-0.00076207i,0.00014428-0.0015541i,-0.00088497-0.0011635i,-0.0016672+0.00013139i,-0.0020248-0.00021643i,-0.0016139-0.0005079i,-0.0011575-0.00049605i,-0.0011222-0.00083383i,-0.00051171-0.00077841i,0.0002677-0.00065783i,0.00037803-0.00062507i,-1.9274e-05-0.00058583i,0.0001265-0.00046672i,-0.00014938-0.00013923i,-0.00058932-0.00021446i
-0.0015037-0.00048552i,-0.0015956-0.0005027i,-0.0020994-0.0019548i,-0.00093067-0.0025545i,0.00050986-0.0017073i,-0.0005347-0.00072835i,-0.0012513-0.00031015i,-0.0010759-0.00036026i,-0.00078471-0.00083484i,-0.0011832-0.00091158i,-0.0010814-0.00089117i,-0.00024975-7.1697e-05i,-0.00037179+0.00032812i,0.00015328+0.00035683i,0.00077138+0.00046848i,0.001129+0.00077118i,0.00097911+0.00062581i,0.00074466+0.00010355i,0.00068425+3.0692e-05i,0.0001612-0.00017136i,-0.00070268-0.0005797i,-0.00069781-0.00012743i,-0.00060073+0.00044217i
0.00066043+0.0011627i,0.00061656+0.00090354i,0.0011022+0.0014868i,0.0011347+0.0012914i,0.0010368+0.00058631i,0.00061471+0.00013245i,0.00030827-0.00033045i,0.00056515-0.00011849i,-1.7486e-05+0.00041212i,-0.0010929-0.00027963i,-0.0010543-0.0004383i,-0.00021829+0.00058946i,-0.00025722-2.0052e-05i,-0.00047196-0.0010301i,5.2018e-05-0.00055652i,-0.00034085+0.00052436i,-0.00071453+0.0006333i,-0.00048494+0.00037226i,7.5195e-05+1.3684e-05i,0.00023229-0.00045239i,-0.00050005+0.00018948i,-0.00068451+0.00078095i,-0.00079902+0.00056033i
-0.0035081+0.00053599i,-0.0021067+0.00021694i,-0.00042309+0.0017793i,0.00070067+0.0022466i,0.0011099+0.0010409i,0.0010349-0.00057872i,0.00036127-0.0010902i,8.7503e-05-0.00045611i,8.6927e-05-0.00028533i,-0.00060045-0.0003897i,-0.0012133-7.7372e-05i,-0.00082695-0.00040823i,-0.00054978-0.00094464i,-0.00075804-0.00066567i,-0.00035237-0.00021946i,0.00027272+6.1621e-05i,0.00026569-0.00035535i,0.00013505-0.0010475i,0.00025511-0.00074066i,6.5651e-05+0.00016022i,0.00038027+0.00030829i,0.00052239-0.00019775i,0.00070619-6.3354e-05i
-0.0011958+0.00047475i,-0.0012915+0.0011429i,-0.00093356-0.00025895i,-0.00061482-0.0002355i,-0.0011342-6.6925e-05i,-0.00055875-0.00066211i,-0.00037939-0.00097921i,-0.0013083-0.0001353i,-0.0013508+0.00085234i,-0.00064451+3.1952e-05i,-0.0010563-0.00012335i,-0.0012657+0.00052613i,-0.00084612+9.0398e-05i,-0.00053337-0.00061447i,1.0438e-05+0.00033103i,-0.00027952+0.00090125i,-0.00056754+0.00011513i,-0.00062201-0.00017815i,-0.00095303+4.6566e-05i,-0.00067347+0.00041711i,9.8802e-05+0.00049174i,0.00058822+0.00041575i,0.00033825+0.00076462i
0.00083963+0.0010161i,0.0005214-1.9037e-05i,-0.00031232-0.00071443i,-0.00058729-0.00018118i,0.00040384-0.0002413i,0.00064483-0.0015795i,-0.00017521-0.00152i,-0.0002219-0.0008437i,4.1044e-05-0.0011516i,-0.00094002-0.0012626i,-0.00088117-0.00054881i,-0.00027183-0.00045157i,7.7398e-08-0.00048726i,0.00024816-6.8703e-05i,0.00022531+3.3379e-05i,0.00015398+0.00014172i,-0.00015705+0.00032953i,-0.0001457+0.00020067i,0.0005222+0.00040655i,0.00054951+0.00029096i,0.00022528-0.00014193i,6.1583e-05+0.00037881i,0.00016877+0.0008587i
0.0005172+0.00056934i,0.00092169+3.3403e-05i,0.0011611-0.0018319i,0.00035583-0.0022833i,-0.00013268-0.0012355i,0.00029137-0.00042958i,0.000123-0.00041611i,0.00010875-0.00066016i,-0.00022443-0.00037494i,-0.00076231-0.0004047i,-0.00045569+0.0002866i,-0.00026207+0.00052107i,-0.00030152-0.00032499i,-0.0002484-0.00085842i,-0.00020686-0.00044802i,3.5949e-05+0.00025714i,0.00046507+0.00074319i,0.00086815+0.00051823i,0.00065269-0.0003975i,0.0004864-0.00064161i,0.00034802-0.00056372i,-8.79e-05-0.00038201i,0.00029275-0.00066316i
0.0011065+0.0017904i,0.00084647+0.00079812i,0.0011617-0.00075728i,0.0011958-0.00071476i,0.00011555-0.00021504i,-0.00045668-0.00042692i,-0.00050639-0.0001817i,-0.00060444-4.7852e-05i,-0.00043582-0.00056842i,1.8183e-05-0.0015846i,-5.9833e-05-0.0017796i,-0.00042601-0.0010052i,-0.00058183-0.00095091i,-0.00093147-0.00062215i,-0.00056664-0.00022588i,-0.00016242-0.00019378i,-0.00053886+0.00045077i,-0.00057689+0.00052054i,-0.00058339+0.00026902i,-0.00069734+0.00022679i,-0.00031574-2.3374e-05i,-7.9826e-05-0.00016825i,0.000208-0.00038546i
-0.00029932-0.0013579i,-0.0002586-0.0020695i,-0.00035549-0.0015242i,-0.0010834-0.00068527i,-0.0011937-0.0003063i,-8.0115e-05-0.00039373i,1.2527e-05-0.0007418i,0.00031414-0.00084972i,0.00026638-0.00095828i,-8.2224e-05-0.00084242i,-0.00033279-0.00035684i,-0.00023057-0.00034021i,-0.00016398+4.027e-06i,-0.00020662+0.00011746i,-9.5158e-05+0.00024165i,-0.00010304+0.00010293i,4.9801e-05+0.00027631i,0.00011983+0.0006472i,0.00024026+0.0003087i,0.0003655+0.00058053i,0.00027749+0.00091023i,0.0007475+0.00096875i,0.001465+0.00027128i
-0.00069751+0.001015i,-0.0011045+0.00032442i,0.00033679-0.00013284i,0.00092651-1.7427e-05i,7.2652e-06-0.00078014i,-0.00026596-0.00082688i,-2.1083e-05+0.00020283i,0.00041102+0.0003703i,0.00019277-0.00067116i,-0.0007036-0.0010448i,-0.00090517-0.00011647i,-0.00064218-0.00039031i,-0.0006126-0.00074633i,-3.8033e-05-0.00069701i,0.00026249-0.00051427i,-2.2268e-05+0.00066117i,-0.00032461+0.00115i,-0.0008972+0.00051307i,-0.00056861+8.7107e-05i,-7.9575e-05+0.00021877i,-0.00037307+0.00013363i,-0.00014673-0.00028079i,0.00044599+8.3846e-05i
-0.00069837+0.0013679i,-0.0002382+0.00062485i,0.00059876+0.0014078i,0.0013941+0.00045165i,0.001747-0.00079273i,0.0017175-0.00076912i,0.00045851-8.8841e-05i,-0.00022573-0.00047559i,0.00037239-0.00094659i,0.00074383-0.00069574i,0.0004813-0.00038153i,-0.00047228-9.9732e-06i,-0.000492-0.00074109i,-0.00032833-0.0011698i,-0.00026873-1.1578e-05i,-0.00033036+0.00088145i,-0.00054702+0.00080986i,-0.00078705+0.00072685i,-0.00065047+0.00013978i,0.00039231-0.0004482i,0.00049077-0.00024784i,-6.4501e-05-0.00012824i,-0.00019473-5.8565e-05i
9.8116e-05-0.00056468i,-0.00053961-0.00015433i,-0.0012905+0.00057265i,-0.0021754+0.00058226i,-0.0015635-0.00021821i,-8.7789e-05-0.00056423i,-2.044e-05-0.00070239i,-0.00011495-0.001002i,0.00031251-0.00087739i,-0.00089377-0.00029458i,-0.00211+0.00077717i,-0.0017348+0.0014709i,-0.0011136+0.00084702i,-0.0010087+0.00027585i,-0.00080532+0.00067466i,-0.00016528+0.00070403i,0.00056243+5.8504e-05i,0.00054763-0.00054273i,0.00021798-0.00051203i,0.00037836-0.00032338i,0.00034173+9.482e-05i,0.0001091+0.00015488i,0.000521+0.00019103i
-0.00038652+0.0010301i,-0.0004086+0.00070904i,-0.00034477+0.00069606i,-5.9627e-05+0.00046921i,0.00015941-0.00048706i,0.00052162-0.0015364i,0.00038291-0.0015847i,-6.7788e-05-0.001331i,-0.00082822-0.0019886i,-0.0012705-0.0020018i,-0.00095748-0.0010957i,-0.00023947-0.00040013i,-6.6951e-05-7.0416e-05i,-0.00012936+0.00056225i,6.3543e-05+0.0004704i,0.00064333-0.00021229i,0.0011632-5.6866e-05i,0.00052079+0.0006255i,0.0002479+0.00092609i,0.0010286+1.5474e-05i,0.00098316-0.00024873i,0.00036127+0.00036038i,0.00031945+8.0698e-05i
0.00057872-0.0019751i,0.0013484-0.0025331i,0.00048879-0.002393i,-0.00092161-0.0014638i,-0.001421-0.00084394i,-8.5147e-05-0.00015394i,0.00058328-0.00021873i,0.00058816-0.00022729i,5.1665e-05-0.00015007i,-0.0014659-0.00054546i,-0.0021543+0.00024075i,-0.0012145+0.0008575i,-0.00018875-3.3905e-05i,-0.00013353-0.00028508i,0.00043318-0.0001748i,0.0009675-0.00023363i,0.00023973+8.6323e-06i,-0.00055686+0.00084936i,-0.00049973+0.00081612i,-0.00016357+8.3162e-05i,-0.00031816-0.00012281i,-0.00019797+0.00032309i,0.00064999+0.00074874i
0.00082629+0.00031693i,0.00021873+0.00062786i,0.00017802+0.00038824i,0.00062164-0.00011327i,0.00078313-0.00052292i,0.00044147-0.00010818i,-0.000341+0.0002994i,-0.00094226+0.00062654i,-0.00087321-0.00028724i,-0.0010997-0.0011787i,-0.001191-0.0009686i,-0.00052174-0.00021366i,0.00032124+8.4887e-05i,0.00059913+0.00032849i,4.246e-05+0.0011771i,-0.0006038+0.0013848i,-0.00054956+0.00076512i,0.00020541+0.00039121i,0.00092623+0.00030693i,0.00088607+0.00053022i,0.00017352+0.00061244i,-4.7788e-05+8.6204e-07i,-0.00042626+7.9243e-05i
0.0012856-0.0016935i,0.0012265-0.0025016i,0.0010165-0.0022338i,-0.00024983-0.0013817i,-0.00077047+0.00016644i,-0.00089956+0.0007876i,-0.00099139-0.00016514i,-0.00042217-0.00036224i,-0.00042124-3.5342e-05i,-0.0010058-0.00046373i,-0.0011084-0.00012816i,-0.0013921+0.00021688i,-0.0017919-0.00033868i,-0.0015898-0.00012503i,-0.00061336-0.00037692i,-3.6399e-05-0.00020321i,-4.5e-05+0.00072824i,0.00042198+0.0010954i,0.0013526+0.0015204i,0.0011969+0.0011302i,0.00044195-3.8916e-05i,-2.6896e-05-0.00034777i,-0.00030139+0.00034675i
-0.00072051+0.00024914i,-0.00026601+0.00042369i,-0.00037747-0.00037102i,0.00052473-0.00066831i,0.001052-0.0006127i,0.00083555-0.001282i,0.00046271-0.0011225i,0.00015997-0.00056775i,-0.00027358-0.00098577i,-0.0008229-0.001052i,-0.00072506-0.00032685i,-0.00047255+0.00019359i,2.5783e-05-4.0472e-05i,0.00021187-0.00060538i,-0.00019151-0.00059355i,-0.00061907-0.00030639i,-0.00086442-2.871e-05i,-0.00046493-0.00032798i,0.00061985-0.00076343i,0.00083369-0.00069179i,0.00010344-0.0008597i,-0.00036777-0.00082153i,0.00011376+0.00028667i
-0.00059959+0.00099342i,-0.0010295+0.00094474i,-0.00068241+0.00021875i,-0.00052828-0.00079009i,-0.00066641-0.0017289i,-0.00031672-0.0018727i,-2.7296e-05-0.00081577i,-0.00012636-0.00013541i,-0.00078915-0.0004646i,-0.0010127-0.00077132i,-0.00095683-0.00021956i,-0.0011512+0.00066829i,-0.00037958+0.00018091i,-0.00024098-0.00055047i,-0.00057232-0.00033295i,-0.00025609+3.5515e-06i,6.3653e-05-2.1874e-06i,1.9324e-05+7.5149e-05i,0.00052093+0.00048369i,0.00070398-0.00018211i,0.00095716-0.00092372i,0.00089498-0.00056954i,0.00017257+0.00018642i
-0.002326-0.0020296i,-0.0023568-0.0020029i,-0.0020057-0.0009812i,-0.0011278+0.00073163i,-8.3334e-06+0.0012234i,0.0013491+0.00069438i,7.3332e-05+0.00066803i,-0.00099367-0.00013343i,-0.00079672-0.00030442i,-0.0012648-0.0001214i,-0.0011582+0.00019268i,-0.00026687+0.00017556i,0.00065059-0.00068205i,0.0008425-0.00092165i,0.0010258-0.00057883i,0.00053023-0.00096765i,3.9905e-05-0.0007659i,-0.00010104+0.00020278i,2.2875e-05+0.00053033i,0.00059863+0.00093259i,0.00099197+0.0010736i,4.2703e-06+0.00049294i,-0.00087276+0.00025635i
-0.0022367+0.0025662i,-0.00070105+0.0025438i,0.00056629+0.004087i,0.0008355+0.0041123i,0.00091248+0.0016681i,9.2783e-05+0.00027014i,-0.00068841+0.00012236i,-0.00054048+8.7273e-05i,-0.00011616+0.00030969i,-0.00019829+0.00062424i,-0.00090966+0.00042335i,-0.00091769-0.00070014i,-0.00033311-0.001498i,-0.00010802-0.0011319i,0.00048247-0.0002808i,0.00039348+0.00016811i,-0.00029762+0.00043281i,-7.6708e-05+0.00052217i,0.00039937+0.00038013i,0.00074531+3.461e-05i,0.0013955+1.3699e-05i,0.00085263+0.0003665i,0.00018915+0.00057004i
-0.0010816+0.00039616i,-0.0004916-0.00053495i,0.0011639-0.00060621i,0.0013654-0.00041578i,0.00050775-0.00055397i,0.00039782-0.00036544i,0.00075646-0.00021742i,-0.00012219+6.9845e-05i,-0.00073556-0.00019015i,-0.00043283-0.0012978i,-0.00045872-0.00058899i,-0.00036386+0.00052683i,-0.00021581+0.00011743i,-0.00029762+0.00016061i,-0.00044306+0.00016824i,-0.00018698-1.384e-06i,0.00026382-0.00037931i,-0.00033778-0.00059732i,5.2567e-05-4.8542e-05i,0.00088406+0.00051343i,0.00030078+0.00019695i,-0.00066381-0.00027718i,-0.00048426-0.00068654i
0.00082555+0.0018582i,0.0017255+0.0018292i,0.0030977+0.0015437i,0.0037268-0.00055813i,0.002991-0.0015668i,0.0015516-0.0018812i,0.00098364-0.0019736i,0.00098206-0.00083047i,0.00025901-0.00094811i,-0.00053208-0.0017548i,-0.00075014-0.0013582i,-0.0010086-0.00016563i,-0.0015264+0.00063624i,-0.0011839+0.00045727i,-5.5812e-05+0.00031422i,3.8e-05+0.00025413i,-0.00069047+0.0005802i,-0.00079743+0.00054481i,-0.00065526+0.00050677i,0.00032285+0.00037624i,0.00042565+0.00026053i,-4.0544e-05+6.0406e-05i,0.00041988-0.00033958i
0.0010653+3.6896e-05i,0.00018444-0.00041844i,0.00018372-0.00090289i,0.0011591-0.0010707i,0.0016636-0.0007183i,0.00025754-0.00040595i,-0.0011906-9.9227e-05i,-0.0013409+0.00034334i,-0.00097014-0.00011868i,-0.0010689-0.00068796i,-0.00096205-0.00012097i,-0.00019656+0.00052575i,-6.9781e-05+0.0004498i,-0.00040883-0.00046526i,-0.00038137-0.00057983i,-0.00025689+0.00016445i,-0.00014515-7.6817e-05i,-3.3282e-06-0.00024477i,9.0879e-05+0.00012316i,0.00013346+0.00017098i,0.0002424+0.00024432i,0.00030026-6.7382e-05i,0.00026418-0.00055214i
-0.00088855+0.0013046i,-0.00016343+0.0017706i,0.00019717+0.001319i,0.0012167+0.00084623i,0.0015132+0.00058668i,0.0010073-0.0005407i,0.00097817-0.001171i,0.000582-0.0011613i,0.00041513-0.000884i,8.6138e-05-0.00053749i,-0.0010594-0.00045601i,-0.0012003+2.4743e-05i,-0.00075276+0.00053515i,-0.00097687+0.000375i,-0.00078448+0.00087483i,0.00030424+0.00050977i,0.00043678-7.0736e-05i,0.00028932+0.00021756i,0.00074991+0.00062145i,0.0006857+0.00045345i,0.00062979+0.00015278i,0.00066458-4.3201e-05i,0.00083191-0.00034219i
