-1.318e-05-0.00033526i,-0.00067819-0.00063417i,-0.00071184+0.00026293i,-0.00061806+0.00018296i,-0.00064718-0.0011684i,-0.00097769-0.0008649i,-0.0010678+0.00010984i,-0.0001825+0.0010673i,0.0010269+0.00094684i,0.0016493+0.00030569i,0.0018722-0.00040751i,0.0008415-0.0010743i,-1.2128e-05-0.00082521i,0.0003494+0.00028778i,0.00061543+0.00081485i,0.00049306+0.00047914i,0.00032513+2.8655e-05i,-6.9093e-05-0.00030617i,8.3454e-05-0.00023044i,-0.00011121-0.00020518i,-0.00012744-0.00050139i,0.00047973-0.00017791i,0.00037742+0.00038783i
-0.00049863-0.00069796i,-0.00065233-3.1082e-05i,-0.0022602-0.0010812i,-0.0030278-0.0010896i,-0.0023787+8.8121e-05i,-0.0013438+0.00062828i,-0.00023105+0.00032123i,-0.00021175-0.00088321i,-0.00020438-0.00060523i,0.00032833+0.0002024i,-9.4636e-05+0.00010961i,-0.0012601+0.0002288i,-0.0010089+0.00030964i,0.00043482+0.00050831i,0.00088363+0.00075021i,0.00036078+5.8244e-05i,0.0002355+0.00039455i,-0.00021084+0.00027592i,-0.00026765-0.00071741i,-0.00012875-0.001244i,-0.00011126-0.00024591i,0.00014781+0.0012011i,0.00029597+0.00099634i
-1.1642e-06-0.0014561i,-0.00090597-0.0017548i,-0.0014253-0.0018125i,-0.00017577-0.001313i,0.00067441-0.00081823i,0.00048404-0.00039471i,0.0004222+0.00038788i,0.00010004+0.00055458i,-0.00057267+2.358e-05i,-0.00034594-0.00048418i,-0.00015611-9.1548e-05i,-0.00079588-0.00022296i,-0.0014622-0.00074511i,-0.0010159-9.7583e-05i,0.00070201+2.9909e-05i,0.0014808+5.2124e-05i,0.0009757+0.00013298i,2.9275e-05-0.00033553i,-6.584e-05-0.00054395i,-0.00014269-7.9407e-05i,-0.0007343-3.0882e-05i,-0.00079729-0.00025439i,-0.00040726-2.2904e-05i
0.00087808-0.0011482i,-0.00055963-0.00038563i,-0.0006641-0.00052633i,-0.00079398+0.00052036i,-0.001313+0.00053562i,0.00020495-7.7331e-05i,0.0018163-0.00040733i,0.0015399-0.00038667i,0.00096616-0.00044479i,0.00050551-0.0010083i,3.2255e-05-0.0012272i,-0.00019084-0.00029377i,-2.6199e-05+0.0002071i,0.0005911+0.00011847i,5.6633e-05+0.00055183i,-0.00071744+0.00037755i,-0.00025817-4.5447e-05i,-0.00039113-0.00074845i,-0.00027795-0.00026224i,-0.00018949+0.00010499i,-8.4539e-05-0.00071386i,0.00012938-0.00015558i,0.00051522+0.00079737i
0.00054816-0.00085058i,-0.0002494-0.0014609i,-2.3959e-05-0.0017227i,0.00030996-0.0010423i,0.00011019-0.00024158i,-0.00018544+0.00016424i,0.00054923-0.00029607i,0.0011868-0.00066039i,0.00069497-0.00043573i,2.7255e-05-0.00014253i,-0.00040125-0.00019627i,-0.000641-0.00061417i,-0.00021587-0.00034146i,5.9524e-05-0.00032127i,-1.0564e-06-0.00060782i,0.00012225-8.1088e-05i,0.00032679+0.0004522i,0.00030703+0.00024982i,0.00076668-9.9751e-05i,0.00086882-0.00021322i,0.00052249+0.00015569i,0.00022034-0.00029354i,0.00030569-0.00096858i
-0.00040736-0.0001576i,-0.00077006+4.5637e-05i,-0.0005722+0.00021196i,1.9649e-05+2.8392e-05i,-0.00028463-0.00014365i,-0.00067753-0.00036028i,-0.00059265-0.00062055i,-0.00033237-0.00074028i,-0.00060858-0.00079045i,-0.001363-0.00077205i,-0.0012724-0.0001646i,-0.00089302+0.00036703i,-0.0008622+0.00020826i,-0.00067833-0.00032611i,3.9311e-05-0.00027624i,0.00029924-0.00040309i,-0.00015238+0.00019797i,0.00010782+0.00074008i,0.00048124+0.00021595i,0.00071131+0.00021802i,9.7389e-05+0.00053184i,9.0441e-05+0.00025041i,0.00050526-0.00041948i
-0.00031204-0.002023i,-0.0023472-0.0012321i,-0.0034859-0.00027306i,-0.0026725+0.00044203i,-0.00089982+0.00038566i,-0.00047453+0.00059553i,-0.000355+0.0001953i,0.00018174-0.0003613i,-3.6181e-06+0.00031344i,-0.00053585+0.00088968i,-0.00070706+0.00053062i,-8.7725e-06-0.00017705i,0.00032243+9.8306e-05i,-0.00048241+0.00070245i,-0.00016279+0.00076451i,0.00022801+0.00066184i,6.5256e-05+0.00088004i,0.00052002+0.00078332i,0.00042225+6.0072e-06i,0.00016512+4.7835e-05i,0.00022646+0.00023857i,9.2393e-06-5.2115e-05i,-0.0001542-0.00065542i
0.001789+0.0005731i,0.001972-0.00037775i,0.0018735-0.0018113i,0.0016-0.0021069i,0.0015975-0.0011003i,0.00062702-0.00043146i,-0.00019477-0.00082263i,0.00014874-0.0011981i,-0.00013963-0.0014669i,-0.00075711-0.0016732i,-0.00046359-0.00081875i,-7.936e-05+0.0001571i,0.00016678+0.0007564i,0.0004289+0.0012634i,0.00081289+0.001483i,0.0006521+0.00031453i,0.00042396-0.00015152i,0.0005024+0.00055317i,0.00062553-0.00027059i,0.0005938-0.00087873i,-6.9781e-05-0.00010423i,5.9269e-05+0.00012903i,0.00025771-0.00033456i
-0.0014155+0.00070351i,-0.0010647+0.0015609i,-0.0012524+0.0016895i,-0.0015314+0.0019727i,-0.0013903+0.00061767i,-0.00023493-0.00022111i,-1.0214e-05-0.00026701i,-0.0004406-0.00042246i,-0.00044646+7.92e-05i,-0.00058978+0.00034809i,-0.00075607+0.00056715i,-0.0004851+0.00055862i,-0.0002023+0.00038807i,-0.00029327-0.00011038i,9.6346e-05-0.00073063i,0.00044592-0.00083022i,3.5824e-05-0.00047582i,-1.2214e-05-0.00022506i,0.00042107-0.00051799i,0.00014917-0.0008684i,6.451e-05-0.00084459i,0.00049963-0.00056257i,8.3667e-05+0.00028376i
-0.00040274-9.7077e-05i,-0.00092456-0.00072255i,-0.0001468+0.00012753i,0.00095937+0.00035487i,0.0011979-0.00015786i,0.00088948-0.00073107i,0.00026396-0.00055034i,6.2453e-05-0.00024925i,0.00053878-0.00013301i,0.00087629+1.9931e-05i,0.0010295+5.0274e-05i,-0.00014712+0.00016402i,-0.0011695+1.5437e-05i,-0.0010674+0.00084038i,-0.0012102+0.00097203i,-0.00070685+0.00054037i,-7.7949e-05+0.00068651i,0.00073665-0.00059708i,0.00083205-0.0012963i,0.00024965-0.00051679i,0.00015424-4.8895e-05i,0.00028721+0.00017751i,5.886e-05+0.00044972i
0.00081128-0.0003407i,0.00098716-0.00047379i,0.00035197+0.00052334i,0.00025647+0.00099846i,0.00081831+0.001409i,0.00053724+0.0012165i,0.00077382+0.00045774i,0.00088916-4.0592e-05i,-0.00013924-0.00028353i,-0.00075819-0.00029305i,-0.00088676+1.376e-05i,-0.00070514+0.00072416i,0.00060652+0.00092058i,0.0011407+0.0012288i,0.0003833+0.00098985i,0.0001916+0.00031046i,0.00044915+5.5645e-05i,0.00044535+0.00022049i,0.00048775-2.1082e-07i,0.0005717-0.00039471i,0.00029187-0.00081993i,-0.00013402-0.00049309i,0.00019963+0.00049201i
-0.0013333+0.00018824i,-0.0018506+0.0011694i,-0.0012713+0.0011967i,-0.00025917+0.0010227i,0.00019112+9.6405e-05i,0.00015422-0.00081308i,0.00048922-0.00087138i,0.00041796-0.00039884i,-0.00032056-0.0002295i,-0.0010642-7.7449e-05i,-0.0011344+0.00083728i,-0.00067366+0.00043773i,-0.001353-0.00037716i,-0.0011268+0.00012444i,-0.00016942+0.00051693i,-0.00026342+0.00045367i,-0.00041074-0.0001867i,-0.00021321-0.00061203i,0.00050184-2.3603e-05i,0.00040638+0.00025479i,0.00016941-0.00040286i,0.00049431-0.00067764i,2.9969e-06-0.00045022i
0.00029037-0.00018035i,-0.00060148-0.0009776i,3.2924e-05-0.0013947i,-0.00018006-0.0010978i,-0.0003921-0.0011106i,8.3672e-05-0.0014016i,0.00024514-0.00081906i,-6.7891e-05+2.8525e-05i,-0.00011242+0.00026768i,-0.00066872-0.00051465i,-0.0011997+0.00013228i,-0.00088595+0.00084377i,-0.00022782+0.00019242i,0.0001367-0.0001587i,-4.2378e-05+0.00032792i,-0.00034071+0.00099332i,-5.796e-05+0.00075371i,0.00030806-0.00041575i,0.00069817-0.00069955i,0.0013009+8.0757e-05i,0.0010454+0.00067631i,0.00064717+0.00092485i,-0.00016726+0.00070014i
0.0015375-0.00055639i,0.002316-0.00022111i,0.0012941-0.00056922i,-0.00010944-0.00092263i,-0.00030568-0.00014404i,2.6795e-05-0.00013726i,0.00010091-0.00052027i,0.00023653-0.00018309i,0.00076351+3.6182e-05i,0.0013094+3.5783e-05i,0.00089122+0.00011782i,-0.00040323+1.7155e-05i,-0.00085865+0.00082486i,-0.0007007+0.0014573i,-0.00043819+0.0001629i,0.0002521-0.00053357i,0.00060702-0.00031619i,0.00039625+0.00014615i,9.7876e-05+0.00077279i,-0.00057664+0.000386i,-0.00082433-0.00014145i,-0.00044134-0.0003692i,7.3308e-05-0.0010569i
0.0008793-0.00012315i,0.00027024-8.5421e-05i,-8.4904e-05-0.00084371i,0.00030378-0.0012323i,0.00029699-0.00062523i,0.00019403-0.00073502i,0.00083106-0.00097884i,0.00066165-0.0010417i,0.00014974-0.0011004i,0.00055918-0.00036697i,0.00062676-9.8201e-05i,-0.00011721-0.00011885i,-0.00056366+0.00085022i,-0.00018347+0.0014641i,-0.00023388+0.0018771i,-0.00021455+0.0015194i,0.00024664+0.00041297i,5.7096e-05-7.9266e-05i,-0.00031741+0.0006735i,-0.00084895+0.00063716i,-0.00085682+0.00018889i,-0.00055423+0.0005626i,-0.00035664+0.0004771i
0.0004099-0.00037454i,0.00020689-0.0013955i,0.00095914-0.00084959i,0.00063801+0.00099733i,0.0002225+0.00099804i,-0.00030719+0.000112i,-0.00065844+0.00038388i,7.4672e-05+0.0006109i,0.00036315+0.00023905i,0.00092582-0.0005402i,0.0014801-0.00073279i,0.0011101-0.00022907i,0.00053466-2.548e-05i,9.2163e-06-0.00028291i,0.00017479-0.00065306i,6.493e-05-0.00018078i,-0.00091508+0.00043789i,-0.0010753+0.00022845i,-0.0005233-0.00092991i,-0.00022254-0.00097371i,7.3562e-05+0.00057307i,-0.00053511+0.00044483i,-0.00051293+2.8596e-05i
0.00094866+0.00056113i,0.0012216+0.0002675i,0.0017229-0.00034798i,0.0012692-0.001378i,0.00014262-0.0025418i,-0.00011752-0.0014109i,0.00024006-0.00066473i,-0.00010013-0.00070542i,-9.7599e-05-0.00096354i,-3.1062e-05-0.00075438i,0.00016178+0.00041708i,-0.00024237+0.00088145i,-0.00067455+0.00065864i,-0.000357+0.0010389i,-0.00024554+0.0012304i,0.00041995+0.00071402i,0.0006663+0.00038876i,0.0004117+3.164e-05i,0.00081109-0.00031454i,0.00080087-4.7548e-05i,0.00023902+0.00029196i,-0.00027686+2.3659e-05i,-0.00098821-3.9679e-06i
-0.00081999-0.0005078i,-0.00031637-0.00074178i,0.0011424-0.0011026i,0.0010879-0.00020018i,0.0003454+0.00057993i,0.00052564+0.00042325i,0.00067972+0.0005021i,0.00021883+0.0006375i,-0.00062712+0.00047975i,-0.001007+0.00049593i,-0.00015032+0.000478i,0.00012868+0.00036416i,-0.00067783+0.0010262i,-0.0004018+0.00095248i,9.8769e-05+0.00026999i,-3.578e-05-6.362e-05i,2.0797e-05+5.8837e-05i,3.8923e-05+0.00028214i,-0.00015389+0.00062118i,-0.00030181+0.0006874i,0.00015257+0.00058139i,0.00078182+0.00014468i,0.0008773-0.00021762i
-0.00038038+0.00095577i,0.0010105+0.0011546i,0.00066198+0.00034404i,-4.8736e-05+0.0002226i,0.00074138-3.1946e-05i,0.00082485-0.00058836i,0.00059799-0.0001065i,-0.00023602+0.0001689i,-0.0010531+0.00023339i,-0.00050479+0.00026358i,-0.00031174+0.00010426i,-0.0009216-0.00043317i,-0.0013737-0.00040463i,-0.0011131+1.2488e-05i,-0.00034658-0.00058652i,0.00024883-0.00045381i,0.00025107+0.00094729i,-0.0001257+0.0014043i,0.0001058+0.00048979i,0.00035183-0.00035512i,0.00017352-0.0008751i,0.00051009-0.00029999i,0.0009305+0.00041526i
0.00034469-0.0013924i,-0.0005923-0.001313i,-0.001775-0.0011949i,-0.002357-0.0010196i,-0.0019148-0.00047383i,-0.0014421+7.7225e-05i,-0.00089818+0.00020757i,3.2997e-06+0.00012357i,7.8758e-05-0.00025641i,-0.00067106-8.9529e-05i,-0.00036766-2.3503e-05i,0.00052055-0.00028554i,0.00074754+0.00020982i,0.00057455+0.0013812i,0.0006978+0.0013419i,0.0012964+0.00052563i,0.00084542-0.00024731i,7.0271e-05+3.1508e-05i,-8.467e-05+0.00032296i,-3.3767e-05-0.00012637i,-7.2925e-05+2.2733e-05i,-0.00043359-0.00049859i,-0.00040179-0.0011723i
-0.001009-0.0012357i,-0.00068546-0.001099i,-0.00020303-0.00010829i,-0.0001446+0.00084654i,0.00014337+0.0016312i,0.00090403+0.0008274i,0.00094366-0.00057073i,0.00041605-0.0010466i,-0.00026061+8.3008e-05i,-0.00062911+0.0013142i,-0.00037286+0.0012124i,-0.00030217+0.0013441i,-7.5565e-05+0.0014424i,-0.00028594+0.00035578i,-0.00044833-0.001035i,0.00019674-0.00077548i,0.00033979-0.00054691i,0.00050626-0.00090546i,0.00062804-0.00085886i,-5.7011e-06-0.00020726i,-0.00041778+0.00040952i,-0.0005437+0.00052739i,-0.00070937+0.00016426i
-0.0011518+0.00080761i,-0.00062208+0.0006708i,0.00096291+0.0012429i,0.0010587+0.00058546i,1.9572e-05-0.00039858i,-0.00016353-0.00059865i,-0.00050727-0.00094409i,-0.00081322-0.0015854i,-0.0001602-0.0013212i,0.00073511-0.0012032i,0.00084266-0.00075935i,-0.00041657-0.00026953i,-0.001021+2.2864e-05i,-0.00067023+0.00047029i,-0.00099226+0.00066716i,-0.0010725+0.00038995i,-0.0006672+5.0907e-05i,-0.00022897+0.00022067i,-7.7627e-06+0.00019435i,0.00043064+0.00032179i,0.00043698+5.5367e-05i,0.00033707-0.00011836i,0.00027845+0.00033907i
0.00043786-0.0015786i,0.00051335-0.0018468i,-0.00050372-0.0026005i,-0.00058622-0.0019935i,1.5533e-05-0.00036852i,4.2312e-05+0.00066076i,0.00033175+0.00024084i,0.00036565+0.00030687i,-0.00041121+0.00018222i,-0.00074564+6.2305e-05i,-0.00067455+0.00022905i,-0.00059585+0.0002966i,-0.00059116+0.00051768i,-0.00029949+0.00047502i,0.00019332+0.00015398i,0.00074015-0.00038361i,0.00043923-0.00018215i,4.2199e-05+4.3554e-05i,0.0002647+0.00081827i,2.2836e-05+0.00079184i,-0.00065302+0.00055088i,-0.00055799+0.00011283i,9.5103e-05-0.00053531i
0.00040042+0.0020355i,0.00054689+0.00066109i,0.00054443+0.00047481i,0.00030223+0.001336i,0.00045254+0.0009366i,0.0010077+0.00025839i,0.00036673+2.5014e-05i,-0.000217+0.00015692i,-7.7763e-05+0.00017777i,0.00052831+0.00033652i,0.00042664+0.00080464i,-0.00077836+0.00069857i,-0.0011302+0.00085342i,-0.00071798+0.0014074i,-0.00065058+0.00073895i,-0.00075694+0.00026753i,-5.0443e-05+0.0006417i,0.00066173+0.00059681i,-0.00026299-0.00027472i,-0.000545-0.0010047i,-1.3624e-05-0.00060725i,8.5688e-05-0.00042496i,0.00078353-0.00044867i
0.00054954+0.00034013i,0.0027-0.00073001i,0.0031455-0.0010883i,0.0013818-0.00086005i,0.00095855-0.00060595i,0.00072543-0.00036282i,0.00033811-0.00024968i,0.00031359-0.00035065i,0.00034786-0.00082835i,0.00022266-0.00073455i,-0.00029332-0.00093937i,-8.4037e-05-0.00069864i,0.00022175+0.00070955i,0.00018152+0.0012533i,-0.00039312+0.0014175i,-0.00077217+0.00095236i,-0.00056415+0.00026998i,-0.00037187+0.00015477i,0.00012828+0.00023513i,0.00024897+8.8756e-05i,-5.6816e-05-0.0002499i,-0.00020575+5.3689e-05i,-0.0001723-6.3953e-05i
