0.00041714+0.0020017i,0.0015889+0.0018974i,0.0011145+0.00030921i,-0.00018188-0.0014998i,-0.001608-0.0012687i,-0.0017998+0.00043692i,-0.00032044+0.0010736i,0.00089907+0.00039956i,0.0013655-0.00013726i,0.00092171-0.00087607i,0.00054958-0.00067899i,0.00039899+0.00051656i,-0.00010944+0.0014169i,-0.00055098+0.0015331i,-0.00059699+0.00074088i,5.0012e-05+0.00034531i,0.0011397+0.0007202i,0.0012443+0.00013087i,0.00015131+0.00010098i,3.0345e-05-1.7565e-05i,0.00043144-0.00037305i,0.00035336-0.00072938i,0.00063321-0.00017729i
-0.00050821-0.0013563i,-0.00034488-0.00088633i,-0.00019256-0.0011958i,0.00038018-0.00087638i,0.00063182-1.7717e-05i,0.0010681-0.00019111i,0.0013087-0.00035283i,0.0010419+0.00065736i,0.00036596+0.00075336i,0.00050924-1.8001e-06i,0.00029285-0.00020412i,-3.3455e-05+0.0002801i,0.00044458+6.6117e-05i,0.0002022-6.3947e-06i,-0.00048858-0.00030004i,-7.2298e-05-0.00075669i,0.00055856-0.0002946i,0.0004599+0.00028093i,0.00029223+0.00054336i,-5.6193e-05+2.9404e-05i,-0.00034883-9.857e-05i,0.00046161+0.0002594i,0.00056925+0.00037034i
-0.00026492+0.00022407i,-0.00054319+0.00063583i,-0.00041437+0.00042255i,-8.0025e-05-8.3682e-05i,0.00020925-0.00044928i,0.00020632-0.00077038i,-0.00068643-0.00060227i,-0.0012215-0.00052616i,-0.00070736-0.00066105i,-0.00033185-0.00060967i,-0.0012905-0.00082143i,-0.0015209-0.0013008i,-0.000561-0.0013288i,-0.00049622-0.00077714i,6.4448e-05-0.00019794i,0.00074335-0.00016804i,0.00039728+0.00076087i,0.0005247+0.0013291i,0.0017556+0.0005066i,0.0019085+0.00041562i,0.00063807+0.00054988i,2.1877e-05+0.00069985i,-0.00016325+0.00038194i
-0.00028405+0.0016145i,-0.00067849+0.0014081i,-0.00055233+7.3085e-05i,0.00020041-0.00088621i,0.00070483-0.00024805i,0.00042331+0.00058671i,0.00049803+0.0004926i,-5.4013e-05-0.00076718i,-0.00069046-0.0013128i,-0.0013329-0.0010229i,-0.0015059-0.00043768i,-0.00045173+0.00042849i,0.00037894+0.0011889i,0.000534+0.00074986i,0.00017709-0.00023522i,1.7998e-05-0.00048102i,0.00042135-0.00019548i,0.00021554-0.00081167i,-0.00013293-0.001208i,0.00038062-0.00042022i,0.00067258+5.2207e-05i,7.5755e-05+0.00010842i,-0.00044358+0.00037947i
-0.001932+0.0013937i,-0.0025785+0.0012596i,-0.00067387+0.0019786i,0.0017519+0.0011744i,0.0025183-0.00020252i,0.0021056-0.00073678i,0.0015436+2.8904e-05i,0.00070896+0.00034078i,0.00019931+0.00070686i,0.00057644+0.00034396i,0.00059522-0.00059671i,0.00043684-0.00048087i,0.00010778+0.00065836i,-0.00051525+0.00097363i,-0.00092127+0.0001503i,-0.00046435-0.00016239i,0.00031214+7.4405e-05i,0.00087063-0.00060736i,0.00098456-0.0012939i,0.00051506-0.0011262i,0.00036634-0.0005662i,0.00030019+0.00032991i,-1.6316e-05+0.0010652i
-0.0013028-0.00064083i,-0.0020193-0.00072398i,-0.0014681-0.00013635i,-0.00096624+3.9137e-05i,-0.00011172+3.3128e-05i,0.00081982+0.00023134i,0.00068716+0.0011561i,0.00056891+0.0019177i,0.00018692+0.00095129i,0.0005661+0.00046398i,0.00091689+0.00088115i,0.00025377+1.0391e-05i,-1.9541e-05-0.00025725i,0.00047687+0.00029297i,9.7958e-05+0.00096322i,-0.0002119+0.0011761i,0.00062266+0.00077755i,0.00060214+0.00029936i,3.1609e-05-4.1935e-05i,6.618e-05-0.00033807i,-0.00018036-0.00026133i,-0.00053709-0.0002891i,0.00019715-0.00037834i
0.00036546-0.0013653i,0.002079-0.000724i,0.0021488-8.2665e-05i,0.00037253+4.6778e-05i,-0.00075091+9.1884e-05i,-0.00039496+0.00041178i,0.00069365+0.00067755i,0.00081983+0.00071777i,-0.00027601+0.00044746i,6.8817e-05+0.00014983i,0.00028018-5.5533e-05i,-0.00065207-0.0004959i,-0.00026259-0.00051001i,0.00033742+0.00028501i,0.00029017+0.00022527i,1.8256e-05-0.00028887i,-0.00054143-0.00029945i,-0.00030666-0.0001782i,0.00043307+0.00040939i,0.0010692+0.0013957i,0.00086941+0.0010962i,0.00092249-0.00010023i,0.00055493-0.00071505i
-0.0003134-0.00037904i,-0.0014144+0.00022042i,-0.0014124+6.5449e-05i,-0.00012613+0.00016615i,0.00067908+0.00037043i,0.00077204-5.3846e-06i,0.00066753+0.0001371i,0.00019313+9.198e-05i,0.00016255+0.00032448i,0.00037127+0.00063008i,0.00041988+0.00014316i,0.00080398-0.00096242i,0.00057812-0.0016359i,0.0005379-0.0013773i,0.00073804-0.00061305i,0.0003012+0.00025924i,-0.00029619+0.00063242i,-0.00019275+0.00069996i,0.000625+0.000381i,0.00060774-0.00017456i,0.00062522-0.00014674i,0.00088103-0.00014869i,0.00088949-0.00051415i
-0.0014121+0.0011437i,-0.0017497+0.0011548i,-0.00028529+0.0018402i,0.0013364+0.0015291i,0.0024168-0.00039673i,0.0019399-0.0012275i,0.0012953-0.00018939i,0.0015334+4.0777e-05i,0.0016538-0.00014704i,0.00099789-0.00023122i,-0.00017208-0.00033849i,-0.00025006-9.2487e-05i,5.6557e-05+1.5656e-05i,-0.00036733+0.00022374i,-7.3067e-06+0.00015727i,4.5728e-05+0.00020567i,-0.00085274+0.00018252i,-0.0008614-3.0851e-05i,-0.00041424+0.00018482i,6.451e-05+9.7689e-05i,0.00010118+2.5351e-06i,-0.00022807-1.8503e-05i,-0.00052474-0.00021736i
-0.0012531-0.00081737i,-0.0012443-0.0011342i,-0.00045755-0.00037276i,-0.00029228-0.00068463i,-0.00015251-0.00084047i,-0.00039173-0.00029567i,-0.00043619+0.00018398i,-0.00011708+0.00040759i,0.00040514+0.00085002i,0.00082575+0.00025289i,0.0005934-0.00073251i,0.00033359-0.00046917i,0.00063776+0.00029448i,0.0004778+0.00033585i,-0.00014168+0.00079155i,-0.00052776+0.0015798i,-0.00031447+0.0014606i,-0.00019279+0.00079i,-0.00062745+0.00027508i,-0.00071689-2.2678e-05i,-9.2564e-05-8.5422e-05i,-0.0001774-0.00032166i,-0.00029534-0.00048201i
-0.0007199-0.00018393i,-0.0017926-0.00017173i,-0.00068227-0.00040676i,0.00063402-0.00032526i,0.00093047+0.00035255i,0.00058074+0.00023938i,0.0007781-0.00046997i,0.00048961-0.00010604i,0.00084122+8.16e-05i,0.0013911-0.00030096i,0.00047787+9.1626e-05i,-1.8455e-05+0.00041528i,0.00025435+0.00036688i,0.0004813+0.00034166i,5.2883e-05+3.35e-05i,-0.0003918-0.00047029i,9.9013e-05-0.00048675i,-0.00020526-0.0002521i,-0.00076782-0.00053878i,-4.4879e-05-0.00063109i,0.00018539-0.00025169i,-0.00046186-0.00018877i,-0.00052657-0.00047827i
-0.0008755-0.0013051i,-0.0014843-0.0007862i,-0.0012362-0.00058117i,-0.00093437-1.8985e-05i,-0.0006098+0.00081114i,0.00052739+0.0012288i,0.00091025+0.00062072i,0.00034468-0.00072124i,-8.3063e-05-0.00057175i,-0.0005446+0.00091056i,-0.00092192+0.00045953i,-0.00057507-0.00024798i,-0.00053095-0.00042106i,-0.00055442-0.00018534i,-0.0010423-0.00019772i,-0.00092346-0.00049611i,-0.00033755+0.00018029i,-0.00016907+0.00062395i,9.7237e-05+0.00043469i,0.00090041+0.00066342i,0.00090236+0.00066043i,0.00040988+0.00035189i,0.00050218+0.00028248i
-0.0016366+4.4481e-05i,-0.0012286-4.5884e-05i,-0.00043925+0.00043337i,2.9149e-05+0.00083858i,0.0006247+0.00074304i,0.0015502-0.00020223i,0.0011991-0.00062871i,6.7119e-06-0.00031439i,2.4004e-06+0.00037761i,0.00031441+0.00093525i,0.00027282+0.00085433i,0.0011076+0.00027237i,0.0011914+0.00013064i,0.00050433+0.00026768i,0.00030087-0.00039844i,0.00069442+0.00037108i,0.00052815+0.0006115i,0.00025426+0.00027725i,0.0004237+0.00066942i,0.00084735+0.00078493i,0.00030872+7.2728e-05i,-0.00039094-0.00019653i,-0.00021874+9.3943e-05i
-0.00025004-0.00092772i,-0.00011943-0.00065783i,0.0009784-0.00086633i,0.00085726-0.00094989i,0.00013581-0.00037015i,0.00011474+0.00049521i,0.00027926+0.00083673i,0.00054593+0.00098105i,0.00080424+0.0010667i,0.00048067+0.00060209i,2.726e-05+0.00066555i,6.0058e-05+0.00042085i,-9.8718e-05+7.6999e-05i,2.2452e-05+0.00098212i,0.00050194+0.0016913i,0.00057674+0.0011761i,0.00032799+0.00065592i,0.00025451+0.00080466i,0.00047303+0.00085093i,0.00076303+0.00059791i,0.0003721-0.00015301i,-1.6327e-05-0.00033671i,-0.00039997-0.0003352i
0.0019276+0.0014635i,0.0010884+0.0015879i,-0.00052445+0.0015691i,0.00014906+0.00064887i,0.001347-0.00082833i,0.0011744-0.00097358i,0.00079583-0.00095766i,0.00083967-0.00080372i,0.00033751-0.00052813i,-8.0509e-05-0.0008171i,0.00017945-0.0011226i,-0.0001706-0.00088203i,-0.0001785-8.2537e-05i,0.0002133+0.00033148i,0.00053548+0.0003577i,0.00057424+0.00056352i,0.00021871+0.00035835i,1.6683e-05+0.00011838i,0.00024716+0.00075874i,0.00071112+0.00052884i,0.0012298-0.00019224i,0.00085407-0.00089656i,1.583e-05-0.00095758i
0.00011875+0.00068964i,-0.00022885+0.0003456i,0.00050869+8.373e-05i,0.001523-5.0411e-05i,0.0015032-0.00042915i,0.00057406-0.00037156i,0.00056981+0.00034015i,0.00086898+0.00045636i,0.00076364+4.8432e-05i,4.8297e-05-5.9261e-05i,-0.00034483-0.00039178i,-7.3968e-05-0.00051306i,1.2703e-05+9.448e-05i,0.00011627+0.00069633i,0.0002695+0.00071801i,0.00037701+0.00089842i,0.00061905+0.0011053i,0.00033999+0.00085608i,0.00011888+0.00054933i,5.272e-05+7.3603e-05i,-0.00020078+2.9695e-05i,-0.00031826+0.00042415i,-0.00031535+0.00046518i
-0.0015099+0.0021643i,-0.0016288+0.0013963i,-0.0010144+0.001499i,0.00046561+0.0015214i,0.0017015+0.0012032i,0.0016597+0.00055024i,0.00090573-0.00031212i,0.00053152-0.00086792i,0.0010091-7.1659e-05i,0.00091403+0.00053138i,0.00040311+0.00033296i,-5.0923e-05-0.00020668i,-0.00069977-0.00069561i,-0.00082435-0.00013393i,-7.5325e-05+0.00034006i,0.00046625+0.00053056i,0.00056633+0.00057662i,0.00058634+0.00019966i,0.00059112-4.1569e-05i,8.6128e-05+2.2935e-05i,-0.00049414+0.00016998i,-0.0011393+0.00014209i,-0.00067923-0.00020076i
0.00029291-0.0003071i,-0.00017609+0.00013545i,0.00012619+0.00064154i,6.575e-05+0.00025999i,0.00038981+0.00026389i,0.00085617+0.0008475i,0.0012765+0.0010888i,0.0014563+0.00076236i,0.0010883+8.7532e-05i,0.00022445-0.00048076i,0.00012452-0.00019625i,0.00065215+0.0002945i,0.0010331-0.00013691i,0.00086591-0.00074563i,0.00016668-0.00065083i,-0.00012811-0.00034333i,5.9026e-05-0.00039928i,2.7306e-05-0.00016512i,-0.00029068-0.00010837i,-0.00054732-0.00025152i,-0.00042963-0.00012741i,-0.00019722+0.00012104i,3.6496e-05-3.4478e-05i
0.00078239+0.00044245i,0.00061733+0.00038314i,0.0010516+0.00034508i,0.0014055-0.00016769i,0.0010172-0.0010759i,0.00033623-0.0014581i,-0.00059213+6.4569e-05i,-0.00096431+0.00057929i,8.9749e-05+0.00036976i,0.00067699+5.3271e-05i,-7.5166e-05-0.00027593i,-0.00018681-0.00019531i,-0.00012491-0.00078686i,-0.00045391-0.0011026i,-0.00060182-0.00044834i,-0.00035018-4.4709e-05i,0.00012837+0.00024204i,0.00021166+0.00060324i,-0.00033618+0.0002465i,-0.00049048-0.00053277i,0.00026177-0.00067842i,0.0012024-0.00047266i,0.00072968-0.00051727i
-0.00012015-0.0008006i,8.7868e-05+4.2742e-05i,0.00037323-0.00013812i,0.00034033+0.0005682i,0.00075926+0.0010409i,0.0010762+0.0015367i,0.0013674+0.0010101i,0.001027+0.00017426i,0.00038715+0.00013016i,0.00045732+0.00060261i,0.00044671+0.00081954i,-1.172e-05+0.00060131i,4.6081e-05-0.00014908i,0.00031905-5.1456e-05i,0.00032887+0.0005929i,-4.8033e-05+0.0010921i,0.00040528+0.00068538i,0.0011239-8.2585e-05i,0.00083055+0.00016066i,0.00064142+0.00063222i,0.00062796+0.00030483i,0.00045248-0.00037849i,0.00017496-0.00028653i
-0.0012807+0.00074711i,-0.0022909-0.00025687i,-0.0014721-0.00039301i,-0.00025079-0.00020426i,0.00022711+0.00015322i,0.00043749+5.409e-05i,4.385e-05-0.00071729i,-0.001052-0.00078648i,-0.00082139-0.00072377i,2.1414e-05-0.00092942i,0.00041834-0.00027336i,0.00098685-0.00035257i,0.0001651-0.0013361i,-0.00049311-0.00049148i,0.0002979+0.00086321i,0.001067+0.00071431i,0.001335+0.00024395i,0.00087401+0.00033679i,0.00034494-5.4372e-05i,0.00013652-0.00069019i,-0.00019423-0.00077607i,6.2524e-05-0.00063271i,0.0010505-0.00035615i
-0.00018099-0.00025629i,-0.00039574-7.4597e-05i,-0.00083815+0.00073439i,-0.0010564+0.00085669i,-0.0011893+4.7736e-05i,-0.00085215+9.0011e-05i,-0.00038305+0.00040529i,0.00036226-0.00019614i,0.00065429-0.00086474i,0.0003598-0.00053788i,0.00020818+0.00055054i,2.3655e-05+0.00050261i,-0.00054869-0.00029655i,-0.0005476-0.00044406i,-0.00042957+0.00017454i,-0.0009357+0.0001361i,-0.0011425+0.00022142i,-0.00050914+0.00050662i,0.00031931+0.00062881i,0.0006688+0.00014844i,0.0009365-0.00091868i,0.00064968-0.0014179i,0.00058719-0.00060066i
-0.0018946+0.00050491i,-0.0018517+0.00090125i,-0.00059069+0.00039201i,0.00018574+0.00035447i,0.00080576+0.00090167i,0.0015776+0.00056701i,0.0011165+5.2403e-05i,-0.00014031-3.0081e-05i,-0.00020765-0.0003248i,0.00054409-0.000247i,0.0002877-0.00011207i,-0.00041793-0.00038169i,-0.0005806-0.00033553i,4.8883e-05-0.00041054i,0.00032893+7.0688e-05i,0.00023515-0.00011072i,0.00056695-0.00051422i,0.00054253-4.5885e-05i,0.00026751+0.00025621i,0.00038525+0.00052325i,-0.00012533+0.00077858i,-0.00063311+0.0011827i,-0.00071674+0.0010471i
-0.0013344+0.00025364i,-0.0016153-7.8047e-05i,0.00033833+0.00056849i,0.00084275+0.0011544i,0.001071+0.0012391i,0.0013199+0.0010347i,0.00080257+0.00048626i,0.0004628-0.00025319i,0.00052427-0.00036057i,0.00097669-0.00011401i,0.00075028+0.00091806i,0.00043712+0.0011007i,0.00075771+0.00079528i,0.00053878+0.00074323i,0.00056821+0.00065992i,0.00015516+0.00026422i,-0.00042129+0.00043666i,-0.00042299+0.0010037i,-0.00032315+0.00054715i,0.00013006+0.00025384i,0.00038741-0.00019849i,-7.9166e-06-0.0004091i,-0.00051025-0.00035205i
-0.0020251-0.00061867i,-0.001381-0.0010191i,-0.00024597-0.00042112i,0.0013653+0.0005398i,0.002705+0.0005646i,0.0026013-0.00037294i,0.0011253-0.00016257i,0.00010921+0.00067161i,-0.00043992+0.00034307i,-0.00022211-0.00046976i,0.00027609-0.00080329i,-5.2965e-05-0.00075143i,-0.00072558-0.00053299i,-0.0011508-0.0004382i,-0.0010253-0.00058428i,-0.00072667-0.00025591i,-0.00045002+0.00031945i,-4.8883e-06-0.00013209i,5.3752e-05-0.00034987i,0.00041455-0.0005125i,0.00087611-0.00090198i,0.00082761-0.0010521i,0.00059351-0.0003589i
0.0012658+0.0010876i,0.00027075+0.0018349i,1.6902e-05+0.0010545i,0.00078346+0.00099702i,0.001232+0.0010234i,0.0010605+0.00064965i,0.0010772+0.00030006i,0.00085208-2.221e-05i,0.0004509+0.00044292i,-0.00052501+0.00076337i,-0.00013214+0.00037002i,0.000272-0.00019453i,-0.00042938-0.0006892i,-0.0010006-0.00048414i,-0.00044318+0.00020222i,4.3335e-05+0.00058199i,0.0004782+0.00038569i,0.0011557-0.00042362i,0.0011599-0.00065638i,0.00076341-2.3261e-05i,0.00049872+0.00023801i,0.00035978+0.00010864i,3.6757e-05+0.00051284i
-0.0012407-0.0013199i,-0.0015681-0.0017335i,-0.0013695+0.00017927i,-0.0006064+0.0016465i,0.00028955+0.0014891i,0.00089468+0.00071854i,0.00075467+0.00044959i,0.00036669+4.8497e-05i,0.00028826-0.0005237i,-0.00010884-0.00066393i,-0.00012974+0.00020234i,-0.00013706+0.0010688i,-0.0001483+0.00043149i,0.00038976-0.00015777i,1.009e-05-0.00014565i,-0.00039563+0.00025907i,0.00014805+0.00064839i,0.00075096+6.9049e-05i,0.0013895-4.5262e-05i,0.00085171+0.00020107i,0.00032328-0.00042608i,0.00036708-0.00077108i,-0.00025049-0.00059999i
-0.0018521+0.0011905i,-0.0011339+0.00030683i,4.9776e-05+0.00069672i,0.00094648+0.00093016i,0.0015781+0.00027325i,0.0018184-0.00019152i,0.0017848+0.00066279i,0.0016158+0.0014202i,0.001026+0.0010622i,0.00029663+0.0004166i,7.9955e-05+0.0002722i,0.00031599+6.9827e-05i,0.00019608-0.00064724i,-0.00014808-0.00056306i,-0.00022598+7.9346e-05i,0.00026457+0.0003134i,0.00077239-0.00017665i,0.00097689-0.00043414i,0.00084785-7.3048e-05i,-3.3912e-05+0.00027797i,6.1196e-05+5.2143e-05i,-7.4224e-05-5.3442e-05i,-0.00094013-0.00012082i
-0.002015+0.001121i,-0.0016686-0.00010227i,-0.00036415-0.00011478i,0.00068543-0.00022552i,0.0015455-0.00077739i,0.0018302-0.0014508i,0.0014266-0.0010054i,0.00073105+1.926e-05i,0.00046036+7.7169e-05i,0.00046305-0.00010055i,-0.00041536+4.8601e-05i,-0.00083564+0.00032789i,4.3084e-06+0.00051337i,0.00013159+0.00012954i,-0.00042969-0.00019002i,0.00017772-3.9453e-05i,0.00077013+0.00010505i,0.00039405-0.00013798i,-8.9668e-05-0.00014869i,-9.2295e-06-0.00053298i,0.00080739-0.0010584i,0.00096053-0.00097628i,0.0010204+0.00020431i
-0.00092564+0.00010854i,-0.0015531-0.00049558i,-0.00035242+0.00054388i,0.00091882+0.00091504i,0.0013862+0.00070861i,0.0012659+9.2446e-05i,0.00023249-0.00021394i,-0.00087751+0.00038142i,-0.00050247+0.0004808i,6.9008e-05+0.00020173i,-7.7428e-05+0.00065289i,-0.00041948+0.00088547i,-0.0004513+0.00044589i,-0.00010274+0.00022233i,0.00027932+0.00061822i,0.00023007+0.00076851i,0.00058745+0.00070712i,0.00056828+0.00064506i,-0.00012745+0.00043653i,-0.00038566+0.0005798i,-0.0004455+0.00029121i,-0.00060652-0.00028871i,-0.00080929-0.00046079i
-0.0011741-0.0016176i,0.00027222-0.0014409i,0.00022558-2.5308e-05i,-0.00035003+0.0008196i,0.00064418+0.00047091i,0.0011131-0.00013171i,0.00082884-0.00068187i,0.00058231-0.00050867i,0.00076691+0.00018277i,0.00029174+0.00065391i,-0.00089143+0.0002267i,-0.00089931+0.00055491i,-0.00059481+0.00096654i,-0.00076891+0.00053815i,-0.00076385-0.00030111i,-0.00069955-0.00059824i,-0.0003623+0.00028867i,2.5608e-05+0.00091259i,0.0006617+0.0006427i,0.00072397+0.00055297i,0.00073665+0.00096794i,0.00049979+0.00082989i,-0.00044808+0.00037515i
-0.00077213+0.0004379i,-0.00059101+0.00032552i,-0.00044908+0.00031159i,0.00025446+0.00048041i,0.0003277+0.00089013i,5.0009e-05+0.0002888i,0.00019293-0.00052132i,0.00028957-0.00079344i,0.00082698-0.0010047i,0.0011078-0.00022766i,0.00063499+0.00058811i,-0.00014705+0.00046113i,-9.7127e-05+0.00053031i,0.00040492+0.0010813i,6.4052e-05+0.0010562i,2.3082e-06+0.00034658i,0.00096967-0.00013836i,0.00095402-0.00022815i,0.00042196+1.0196e-05i,-0.00012948-2.2797e-05i,-0.00063546-0.00038497i,-0.00099813-0.00080328i,-0.00082466-0.00028813i
-0.0014928-0.00079457i,-0.0013503-0.00039718i,-0.0013376+0.00010624i,-0.00071301+0.00053679i,-2.8406e-05+0.0010111i,0.00053842+0.00075367i,0.0011341+0.00044128i,0.0011587+0.00044934i,0.00083419-0.00078208i,0.00018595-0.0018142i,7.5355e-05-0.0014681i,5.328e-05-0.00089157i,-0.00015727-0.00089318i,-5.7478e-05-0.0010102i,-0.00034279-0.0005025i,-0.00082089+0.00020711i,-0.00027579+0.000456i,0.00065282+0.00060525i,0.00038687+0.00068456i,0.0002271+0.00040572i,0.00080013+0.00052076i,0.00060247+9.8067e-05i,-0.00010573-0.00023079i
