-0.0028579+0.0027658i,-0.0029232+0.0019498i,-0.0037508+0.0022532i,-0.0020261+0.0022798i,-0.00057376+0.0016057i,-0.00032963+0.001433i,1.67e-05+0.0019282i,-0.00011103+0.0017706i,-0.0006378+0.00094743i,0.00022739+0.00056442i,0.0010066-4.8562e-05i,0.00070456-0.00038553i,-5.3452e-06-0.00084054i,-7.4438e-05-0.0014264i,6.3299e-05-0.000834i,-9.7749e-05-0.00016181i,-3.6249e-05+0.0001749i,-0.00011853+3.5611e-05i,-6.3289e-06-0.00090936i,0.00034381-0.0012735i,7.908e-05-0.00044719i,-0.0003718+0.00031686i,-0.00026245-4.2299e-05i
-0.0026221+0.0013249i,-0.00242+0.0014736i,-0.0017696+0.00067122i,-0.0015803-0.00030032i,-0.00093177-0.00093377i,0.00010402-0.001098i,0.00032854-0.00062498i,0.000181+4.6044e-05i,6.0373e-05+0.0003906i,0.00033824+0.00043497i,0.00043822+0.00033165i,0.00015962+0.00039131i,-8.0671e-05-0.00024603i,-0.00048432-0.00048846i,-0.0006973-0.00041937i,-0.00056726-0.0010341i,-0.00019432-0.00047518i,8.7835e-05+0.00063851i,-5.3969e-05+0.0013017i,-0.00096188+0.00078164i,-0.0009669+4.9532e-05i,-0.00026335+0.00054399i,-0.0002248+0.00064778i
-0.00081124+0.00062187i,-0.002289+0.0011702i,-0.0015554+0.0015557i,0.00061+0.0010837i,0.0015342+0.00051334i,0.0012536-0.00024423i,0.00038792-0.00045372i,-0.00063665+0.00052075i,-0.00078123+0.00062682i,0.00049998-1.5397e-05i,0.00064941+0.00032032i,-0.00010083+0.00045546i,1.372e-06+0.00027943i,0.00069177-0.00019551i,0.00072388-0.0004902i,-0.00026568-0.00031813i,-0.00069297-0.00014131i,-0.00030031+0.00010728i,-0.0007108-0.00047733i,-0.0010511-0.00081423i,-0.00064523-0.00029257i,-5.8475e-05-3.1422e-05i,0.00080422-0.0002624i
-0.0020743+0.00071297i,-0.0013782+0.0013598i,-0.00070345+0.001106i,-0.00046396+3.0288e-05i,-0.00032719-0.00039035i,-0.00025637-0.0003938i,-0.00030952-0.00027586i,-0.0007029-0.00054304i,-0.0002551-0.0012366i,0.00010521-0.00070438i,-9.5337e-05+0.00011373i,-0.00011555-3.7949e-05i,-7.889e-05-4.9524e-05i,-0.00028192-0.00021579i,-0.0003677-0.00081553i,-0.00035858-0.00034885i,0.00039595-0.00077064i,0.00055764-0.0016418i,-0.00028448-0.0011041i,-0.0003701-0.00052899i,0.00014467-0.00019438i,-0.00014682+0.00017246i,5.7064e-05+0.00015044i
1.9224e-05+0.00027592i,-0.00013786+0.0012685i,-0.00067524+0.0012384i,-0.00037833-0.00043463i,-0.00017943-0.0012405i,-2.021e-05-0.00066281i,-7.7114e-05+1.3265e-06i,-0.00066329+0.00046245i,-0.00050267+0.00052721i,0.00052532+0.00064219i,0.00062376+0.00092496i,0.00044001+0.00076623i,0.00034735+0.00083297i,-6.4019e-05+0.00042851i,-0.0003851-0.00063823i,-0.00062668-0.0010379i,-0.00022146+0.00020742i,1.1364e-05+0.00076801i,-1.0131e-05+0.00017183i,0.00053274+0.00038894i,0.0010405+0.00027152i,0.0012077-0.00026282i,0.0007561-0.00058035i
-0.00036423-0.00044767i,-0.0012664+0.00080889i,-0.001875+7.2107e-06i,-0.0011184-0.00049465i,0.0002445+0.00053871i,-3.6168e-05+0.00097985i,-0.00091492+0.00052374i,-0.00062783-6.6641e-05i,-0.00063303-0.00020743i,-0.0004482-0.00016483i,0.00014729-0.00030558i,4.971e-05-0.0005016i,-0.00029721-0.00031622i,0.00015292+0.00045879i,0.0001107+0.0010473i,-0.00024885+0.001319i,-0.00034685+0.0010562i,-0.00045543-0.00011162i,-0.00043626-0.00053134i,-0.00031129-6.6413e-05i,-0.00012503+0.00046045i,-5.3377e-05-0.00021116i,0.00024214-0.00057091i
-0.00055322-0.0010342i,-0.00083054+0.0005184i,-0.00038088+0.0010955i,-0.00054833-0.00026647i,-0.00052408-0.00028748i,0.0003152+0.00098075i,0.000812+0.00075191i,0.00066279-0.00024882i,-9.3417e-05-0.00034916i,-0.00038301+0.00055059i,-0.00094824+0.00086916i,-0.0009965+0.0002227i,-0.00029643-0.00020679i,-4.8871e-05+0.00016891i,-8.7859e-05+0.00065678i,-0.00014216+0.00081638i,-0.00010317+2.405e-05i,2.4105e-05-0.0007814i,0.00037125-0.00078379i,0.00055226-0.00044765i,0.00037565-0.00062959i,0.00062959-0.00083842i,0.00031485-0.00021732i
-0.0012499+0.00091534i,-0.00079+0.00098216i,-0.00048361+0.00034036i,-0.00056943+0.00010418i,0.00056382-7.4253e-05i,0.0016313+0.00017318i,0.0009127+0.00014704i,-6.2248e-05-0.00056304i,0.00013075-0.00094453i,0.00079965-0.00061941i,0.00060756-0.00023578i,0.00059021+1.8119e-05i,0.00062034+0.00022829i,0.00065713-0.00025916i,0.0001927-0.00023734i,-0.00052019+0.00027561i,-0.00016614+0.00066775i,0.00031495+0.00041832i,-0.00031716-0.00031653i,-0.00070031-0.00056461i,0.00010086-0.00046806i,0.0003584-0.00052425i,0.0002437-0.00053371i
-0.0019442-0.0015345i,-0.0023219-0.000268i,-0.0019915-0.00053766i,-0.0012559-0.00094317i,-0.0010936-0.00096095i,-0.0010696-0.00058526i,-0.0001735-0.00029284i,0.00017748-0.00010195i,-0.00024689-0.00029037i,-7.1403e-05-0.00039357i,0.00041725+8.8648e-05i,0.0012782+0.00074014i,0.0014707+0.00044067i,0.00080415-0.0001427i,0.00065999+2.0744e-05i,0.00037342+2.0753e-05i,0.00042197-8.5184e-05i,0.0003838+0.00043868i,0.00013589+7.7463e-05i,0.00040413-0.0003346i,0.00044837-0.0004485i,7.2022e-05-0.00087931i,0.0001541-0.00094806i
0.00075257-0.00091113i,0.00088927+0.00022327i,-0.00064613+0.0011522i,-0.00090081+0.0011776i,-0.00020777+0.00053847i,-0.00011118-0.00024262i,-0.00037221-0.00097585i,-0.00050983-0.00075038i,-0.00076009+0.00042281i,-0.00071885+0.00068164i,-0.00023578-0.00025947i,5.5413e-05-0.00081427i,-4.9326e-05-0.00095433i,0.00066976-0.0007735i,7.9201e-05-0.00012405i,-0.00089523-0.00033536i,-0.00033752-0.00040801i,-2.7239e-05-0.00037236i,-0.0001435-0.00066361i,0.0001331-0.00034718i,0.001056-0.00024094i,0.00080119-0.00048015i,-3.8626e-05-0.00064319i
-0.00023755-0.00041662i,-7.0103e-05+0.00027059i,-0.000643+0.00019323i,-0.0018612-0.00052234i,-0.001239-0.00035222i,-0.00036709-0.00013818i,0.0004353-0.00024194i,0.000657-9.0904e-05i,0.00079236+4.1636e-05i,0.00047164+0.00025828i,-0.00060364-0.00054182i,-0.00093679-0.0010056i,-0.00015181-0.00027797i,0.00065143-0.00016099i,0.00037098+2.296e-05i,0.00015079+0.00058656i,0.00045867-3.6986e-05i,0.00069181-0.0006953i,0.00050391+6.1407e-05i,0.00016058+0.00019307i,-0.00010513-0.00086334i,-7.6729e-05-0.00097429i,0.00026766-0.00017225i
-0.00059993+0.00070681i,0.00082124+0.00073441i,0.0018146+0.00042893i,0.0011989+5.4413e-05i,-0.00029898-0.0010177i,-0.0012391-0.0015252i,-0.0012176-0.0011992i,-0.00066097-0.0003255i,-0.00034761+0.0004702i,0.00012425+0.00048829i,0.00029693+1.5875e-05i,0.0003584-0.00073798i,0.00029158-0.00057299i,0.0001577+9.2218e-05i,-0.00033444+0.00022493i,-0.00072085-0.00040936i,-0.00079872-5.6646e-05i,-0.00040002+0.00026093i,0.00012661-0.00029489i,0.00017679-0.00041813i,9.3757e-07-0.0004367i,0.00052035-0.00049451i,0.0007234-0.00081299i
0.001273-0.0013731i,0.00055041-0.00089705i,-0.00015794-0.00011429i,-0.00063787+0.00036404i,-0.0013762+0.00040771i,-0.0011229-0.00045011i,0.00010129-0.00098323i,0.00036243-0.00051047i,0.00053765+0.00015773i,0.00062482+0.0001256i,-0.0003167-9.6665e-05i,-0.00039197+3.6977e-05i,8.6481e-05-0.00027581i,1.3732e-05-0.00018251i,-0.00021047+0.00040576i,-0.0001896-0.00010081i,-5.9018e-05-6.543e-05i,0.00023987+0.00019972i,2.5489e-05-0.00019356i,-0.0003163+0.00015697i,-0.00032762+0.00055771i,0.00044501+0.00039818i,0.00088167-0.00020336i
-0.00016019+0.0023958i,-0.00079563+0.00099158i,-0.0008747+0.00037184i,-0.00027648+1.3352e-06i,0.0004361-0.00070106i,0.00062651-0.0010402i,0.00020863-0.00014394i,-0.00057532+0.00014685i,-0.00034681-5.1837e-05i,-6.0047e-05+2.065e-05i,-0.00022998-0.00014168i,-0.0001158+0.0001283i,-0.00022188+0.00036493i,-0.00028352+0.00059522i,-0.00035021+0.00057366i,-0.00018418-0.00016377i,-0.00011802-0.00037511i,-0.000643+0.00011325i,-0.00043665+1.072e-05i,-9.9422e-06-0.00065212i,0.00026949-0.0011041i,0.001137-0.00074957i,0.00061763+0.00034361i
-0.0016309-0.00054144i,-0.0007536-0.0004174i,0.00043025-0.00020339i,0.00079471-0.00021373i,0.00067238-0.00042367i,0.00040052-0.00027641i,-0.00039834+0.00025921i,-0.0010521+0.00012183i,-0.0010291+0.0004437i,3.0266e-05+0.00083473i,0.0001332-6.7525e-05i,0.00023383-0.0010867i,0.00058866+0.00011312i,-0.00014642+0.0017361i,-0.00076405+0.0015715i,-0.00036001+0.00068871i,-5.4012e-05-7.6512e-05i,-0.00024955-0.00035453i,-0.00031387-0.0004559i,-0.00026872-9.7965e-05i,8.6783e-06+0.00017071i,0.00033466+0.00015972i,0.00021802-0.00019548i
-0.00069804+0.00024442i,-0.00051741+0.0011033i,-0.00090446+0.0015891i,-0.0006822+0.0013622i,-0.00047303+0.00036963i,0.00036449-0.00031026i,0.0010634-4.7114e-05i,0.00029545-0.00017202i,-0.00091833-0.00036043i,-0.0010814-0.0004751i,-0.00052502+0.00015128i,1.3035e-05+0.00058087i,2.1751e-05+0.00047219i,-0.00022397+0.00033602i,0.00011341-7.3808e-05i,0.00049152+5.2182e-05i,-0.00012633+0.0004766i,0.00013911+0.00040847i,0.00088138-0.00042404i,0.000569-0.001414i,0.0003213-0.0012956i,5.4755e-06-0.00060613i,0.00016287+0.00025058i
-0.00079898-6.3386e-05i,-0.000957+0.00078726i,-0.0010804+0.00034278i,-0.00078514+0.00021368i,-0.00015949-9.2893e-05i,-0.0002425-0.0001913i,-2.4858e-05+0.00038334i,-0.00028647+9.6594e-05i,-0.0010181-0.00050134i,-0.00048657-0.00019639i,6.4133e-06-6.2038e-05i,-0.00050556-3.096e-06i,-0.00015339-3.3078e-05i,0.00049696+0.00010247i,0.00080673+0.00022939i,0.00053936-0.00022776i,-0.00024894-2.6278e-05i,-0.0003935+1.8186e-05i,0.00027705-0.00030692i,0.0002619+0.00059682i,8.776e-05+0.0013708i,0.00087425+0.00065679i,0.00073859+6.4651e-05i
-0.0017421-0.0020546i,-0.0018889-0.0023522i,-0.0022158-0.00086052i,-0.0018523+0.00041296i,-0.00069937+0.001008i,9.7583e-05+0.0017287i,0.00015147+0.0012923i,3.0936e-05-0.0003986i,-0.00027165-0.00099788i,-0.00021563-0.00036187i,7.4747e-05+0.00020663i,0.0002981+0.00045193i,0.00078743+4.3645e-05i,0.00075333-0.00049706i,0.00028733-0.00028217i,-0.00028549+5.6756e-05i,-0.00056635-6.6285e-05i,3.9682e-05-0.00019167i,0.00062496-2.8084e-05i,0.00031487-6.3186e-05i,-1.2353e-06-0.00014361i,0.00020642+4.8632e-05i,0.00024692+0.00016053i
0.0002611-0.0011304i,0.00047692-0.00041281i,9.2874e-05-0.00037122i,-0.00032032-0.00020415i,-0.0011157-2.6269e-05i,-0.0012642-0.00022607i,-0.0004004-0.00021673i,1.0124e-05+0.00013532i,-0.00010168-9.036e-05i,-0.00029797-0.00056108i,-0.00050569-0.00050268i,-0.00016129+0.00044367i,-0.00021155+0.00076795i,-0.00015719+0.00060765i,-5.6561e-05+0.00091882i,-0.0003563+0.00084723i,-0.00050332+0.00064164i,-0.00064476+4.6622e-05i,-0.00066291-0.0008375i,-0.00052828-0.0011698i,0.00010418+0.00017081i,0.00063305+0.0012802i,0.00054549+0.00084266i
0.0015-0.00030698i,0.00047806-0.00094274i,-3.7062e-05-0.00050804i,0.00014564-0.00064456i,5.3219e-05-0.0013402i,-0.00016154-0.00099909i,-8.8477e-05+0.00025543i,0.00083386+0.00066763i,0.0010011-9.2579e-05i,0.00044418-0.0004065i,0.00029209-5.8931e-05i,9.2694e-05+0.00060576i,-0.000292+0.0012532i,-0.00048494+0.001318i,-0.00054403+0.00078418i,-0.00032764+0.00068655i,-0.00024424+0.00072713i,-0.00068451+0.00067577i,-0.0010897+0.00041427i,-0.00034217+0.00053924i,0.00054869+0.00020434i,0.00087334-0.00063691i,0.0009736-2.029e-06i
0.00013663+0.0018759i,-0.00088941+0.0020749i,-0.0012588+0.0011832i,-0.001262-0.0011847i,-0.0014352-0.0019593i,-0.00093669-0.0015743i,-2.9015e-06-0.0009832i,0.00059275-0.00060148i,0.00053247-0.00085678i,-0.00011316-0.00025862i,-0.00020834+8.9885e-05i,-0.00040708-0.00010702i,-0.0010056+0.00017362i,-0.0012724+0.00024236i,-0.0013415-0.00063292i,-0.00074645-0.00079554i,-0.00050073+0.00015707i,-0.00045234+0.00072064i,-0.00031373+0.00015242i,-0.00044819-0.00031752i,0.00046628-0.00040667i,0.0010438-0.00056437i,0.00061865-0.00042156i
-0.0016998-0.00055712i,-0.0021583+5.3971e-05i,-0.001156-0.00079613i,-0.000156-0.0014366i,0.00034487-0.00057313i,0.00010717-0.00013909i,-1.8774e-05-0.00026297i,1.2931e-05+0.00028757i,-0.00048744+0.00053227i,-0.00034021+0.00026218i,0.00023499-0.00023011i,0.00043756-0.00011939i,0.0002579+0.00036249i,0.00015584-1.4684e-05i,-8.6267e-05+0.00019481i,0.00017702+0.00037807i,0.0010233+0.0001249i,0.0011114+0.00027593i,2.5651e-05+0.00030897i,-0.000149-0.00019027i,-0.0002706-0.00058193i,-0.00071052-0.00088113i,-5.0494e-05-0.00091941i
-0.0015369-0.00042051i,-0.0027717+0.00021953i,-0.0019192+0.00013099i,-0.0005879-0.00018151i,-0.00027488+0.00058789i,-0.00066437+0.00018127i,-0.00013228-0.00059108i,0.00012589-0.00033572i,-5.8243e-05-0.00019585i,-0.00016235-0.0005874i,-0.00021638-0.00048698i,0.00020827-0.00024645i,0.00049007-0.00028098i,0.00024853-2.4325e-05i,-0.00030763-0.00010774i,-0.00047942-0.00084527i,-0.00032073-0.00062404i,-0.00020486-2.8801e-05i,-0.00016797-0.00013364i,-0.0003466-0.00045818i,-0.00097656-0.00081374i,-0.00083903-0.0010561i,-0.00022159-0.00021744i
0.00085697+0.00017852i,-0.00025786+8.3863e-06i,-0.0005428-0.0017673i,-0.00018897-0.0018055i,0.00016718-0.0004481i,-0.0001209+0.00060919i,-0.0010105+0.00081613i,-0.00091224+1.7075e-05i,-0.00033238+6.7317e-05i,0.00043612+0.00044059i,0.00071301+0.00051882i,0.00019741+0.00062655i,-0.00021361+0.00037109i,-0.00025562-7.5582e-05i,8.3486e-05+0.00046352i,0.00075091+0.00080047i,0.00036205+0.00059084i,-0.00010951+0.00031581i,-0.00036568+8.8846e-05i,-0.0001651-0.00027402i,0.0004271-0.00085308i,0.0003442-0.00049639i,0.00013654+0.00031981i
-0.0012731-6.6729e-05i,-0.0021574+0.00051145i,-0.0017247+0.00031352i,-0.00064168+0.00084473i,-0.00031974+0.0010518i,-0.00043257+0.001035i,-0.00058994+0.00049494i,-0.00029972-0.00036036i,-0.00010268-0.00014079i,0.00017941+0.00056471i,0.00048873+0.0011138i,0.00064505+0.00086587i,0.00075497-4.8029e-05i,0.00085441-0.00013505i,0.00014715+0.00077431i,-0.0004247+0.00069554i,-4.3778e-05-0.00015123i,-0.00011527-0.00030895i,0.00044046-0.00036442i,0.0010158-0.00060487i,0.00092678-0.00059023i,0.00088581-0.00034787i,0.00074219+0.00013395i
0.00074214+0.0015057i,0.00056161+0.0016248i,-5.0281e-05+0.00047924i,1.2003e-05-0.00091081i,-8.0482e-05-0.0017685i,-0.00012427-0.0016567i,0.00076825-0.00052225i,0.0011539-0.0002719i,0.00026713-0.00022216i,-0.00046409-0.00066378i,-0.00075654-0.00062924i,-0.00094517-0.00029849i,-0.00099979-0.00021116i,-0.00093735+9.2683e-05i,-0.0011908+0.00054161i,-0.0014842+0.00025012i,-0.00096204-0.00038335i,-0.00093026-0.00080232i,-0.00098886-0.00078706i,-0.00050736-0.00023128i,-0.00027772-0.00019432i,8.5667e-06-0.00016682i,0.00047248+4.6982e-05i
-0.0025593-0.0016949i,-0.0032987-0.00093883i,-0.0032374-0.00035704i,-0.0026008+0.00029298i,-0.0014239+0.00066484i,-0.00067202+0.00018083i,0.00052411+0.00020783i,0.00077427+0.00056416i,5.8695e-05+0.00016322i,5.5934e-05+0.00039729i,0.00012958+0.00021007i,0.00051484-5.2572e-05i,0.00066935+1.2964e-05i,3.9303e-05-0.00010324i,-0.00020127-0.00019268i,0.0007931-8.7125e-05i,0.00044038+0.00027619i,-0.00073449+0.00059595i,-0.00048771+0.00038708i,0.00045235+0.00078682i,0.00033782+0.0013505i,6.7468e-05+0.00064284i,2.0216e-05+0.00024848i
-0.0021435-0.0014647i,-0.0014727+0.00050874i,-0.0013772+0.00076749i,-0.00033928-0.00047343i,0.0012107-0.00063356i,0.0017241-0.00046028i,0.0012882-0.0010099i,0.00050226-0.00068358i,4.5185e-05+0.00014538i,-5.6552e-07+0.00041972i,-0.00027292-4.5328e-05i,0.00017116-0.00021691i,0.00093729+0.00057218i,0.0010551+0.0003404i,0.0010777-0.0005173i,7.6992e-05-0.0001517i,-0.00094549-2.5608e-05i,-0.00053129-0.00058293i,0.00054426-0.00073668i,0.0011455-0.00034422i,0.00048246-0.00012791i,-6.8146e-05-6.1848e-05i,-7.2419e-05-2.7769e-05i
-0.00020832+0.0014421i,0.0001277+0.0014528i,0.00089617+0.00097867i,0.00065144-0.0005916i,0.00054186-0.0012493i,-0.00046581-0.00028534i,-0.0011945+0.00036285i,-0.00068875+0.0008476i,-0.00023744+0.0010403i,-0.00033649+0.00054987i,-7.9058e-06-0.00012997i,-0.00010609+3.004e-06i,2.6179e-05+1.8401e-06i,-0.00014615+0.00028486i,-0.0011531+0.00018725i,-0.0011828-0.00024112i,-0.001038-0.00014336i,-0.0012543-0.00038879i,-0.0011354+0.00021227i,-0.00049069+0.00050057i,0.00046695-0.00019399i,0.0004268-0.00011483i,-0.00066912-8.7671e-05i
-0.00024956-0.0012572i,-0.00029716-0.0016055i,-0.0015363-0.00086255i,-0.0018879-0.00047562i,-0.00059066-0.00069653i,0.0010588-0.00072682i,0.0010124-0.00072617i,-0.00041502-0.00035303i,-0.0010282+1.6549e-05i,-0.00092383-0.00049165i,-0.00029275-0.0010708i,7.8716e-05-0.00071743i,-0.00030708-0.0001763i,-0.00069668-0.00075938i,-0.00044159-0.0010676i,2.2316e-05-0.00027346i,0.00034924+0.00027589i,0.00069842-0.00021673i,0.0011263-0.00076239i,0.0011382-0.00025596i,0.00060753-3.3705e-05i,-6.3934e-05-0.00013082i,0.00052467+0.00046537i
-0.0013937+0.0019699i,-0.00085146+0.0015114i,-7.8334e-05+0.00029774i,0.00086293-0.00023477i,0.0007928-0.00060634i,-0.00010081-0.0010311i,-9.9559e-05-0.00057333i,0.00010558-0.00023619i,-0.0002535+0.0003298i,0.0004205+0.00035741i,0.0011829+0.00030157i,0.00025818+0.0004096i,-9.7117e-05+0.00057193i,2.0065e-05+0.00021316i,-0.00039004-0.00017047i,-0.00055663+0.00038819i,-0.00086416+1.0762e-05i,-0.00066831-0.00029397i,-0.00044381+0.00016064i,-0.00079789-0.00027884i,-0.00082745-0.00039176i,-2.149e-05+5.4414e-05i,0.00057003-0.00027859i
-0.0027145+6.3534e-05i,-0.0019545+0.0014896i,-0.00044206+0.0018281i,-1.7e-05+0.0012403i,0.00010148+0.00088041i,0.00068782+0.00046809i,0.00068999-0.00018322i,0.00070996-0.00034724i,-1.2322e-06-5.3225e-05i,-0.00085308+0.00057431i,-0.00076404+0.00062964i,-1.948e-05+9.5235e-05i,0.00067412-0.00074587i,0.00098418-0.00055898i,0.0002449+0.00083582i,-0.00024153+0.0016277i,-5.7894e-05+0.00077096i,0.0001603-0.0006414i,0.00033746-0.0017567i,0.00055523-0.001359i,0.00075765-0.00030663i,0.00087582+0.00047545i,0.00046761-8.7342e-05i
