-0.00036023+0.00099223i,0.00090388-0.00049874i,0.00017373-0.00040376i,-0.0011033+0.00039459i,-0.0022891+0.0015574i,-0.0017905+0.0015777i,-0.0013149+0.00051749i,-0.0006132+0.00043987i,0.00051591+0.00044586i,0.00069611+0.00029902i,0.00029443+7.0596e-05i,0.00031063-0.00043738i,1.7764e-05-0.00029159i,-0.0008513-0.00022681i,-0.0012007-0.0001962i,-0.00081872+0.00049505i,-0.00059628+0.00033236i,0.00055309-0.00012861i,0.00080636-0.00021817i,0.00043997-0.00048001i,0.00062676-0.00047408i,0.00047244-0.00042971i,0.00033021-0.0002484i
0.0010438+0.00054879i,0.0012128+0.0010041i,0.0010963+0.0011358i,0.00090526+0.00039615i,0.00071606+0.00060258i,0.00034643+0.0010817i,-2.3641e-05+0.00056424i,0.00021304+0.0001005i,-0.00026482+0.00014398i,-0.00096805-0.00015671i,-0.00051075-0.00095362i,5.2817e-05-0.0011647i,6.2371e-05-0.0010709i,-8.772e-05-0.00024801i,-0.00047426+0.00095652i,-0.00073078+0.00065383i,-0.00057612-0.00042635i,-0.00024713-0.00021389i,0.00025014-8.2021e-05i,0.00016637-0.00013612i,0.00035245-0.00077597i,0.00080184-0.0013183i,0.001064-0.0013991i
0.00079287+0.0019536i,0.00071264+0.0021739i,0.00037811+0.00096336i,-0.00085141-0.00012177i,-0.0016296+0.0001513i,-0.001519+0.00073565i,-0.0012409+0.00032318i,-0.00093375-0.00050279i,-0.00074665-0.00071252i,-0.00075724-0.00027073i,-0.00085825+0.0006019i,-0.0012854+0.00042057i,-0.0013668-0.00059433i,-0.0013406-0.00013409i,-0.0011259+0.00027425i,-0.00016511-0.00028284i,-0.00045205-0.00026935i,-0.00084687+0.00014532i,-0.00059816+0.00022572i,-0.000862-8.3494e-06i,-0.00092421+3.7288e-05i,-0.00016568-3.7143e-05i,0.00072465-0.00010566i
0.0017853+0.00019133i,0.0019906+0.00058634i,0.0021287+5.7239e-05i,0.0014983+8.0069e-06i,-3.9392e-05+0.00016639i,-0.001445+0.00058371i,-0.00096791+0.00091842i,1.96e-06+0.0010507i,0.00018279+0.00026505i,-0.00072403-0.00032967i,-0.0014419-0.0002491i,-0.00065335+0.00025974i,0.00032087+0.00033154i,0.00066072-0.00021798i,8.7831e-05-0.00068298i,-0.00028867-0.00041452i,-0.0005019+0.00043871i,-0.00049718+9.4144e-05i,0.00028862-0.00022841i,0.00066959+0.00028514i,0.00051755+0.00044052i,0.00029243+0.00018488i,0.00031433-0.00074274i
0.00086986+0.00087337i,0.00044277+0.0011278i,0.00085063+0.0011019i,0.00051314+0.0020086i,-0.0002228+0.0026076i,-0.00020757+0.0015828i,-0.00046278+0.00078461i,-0.00050883+0.00067654i,-0.00043684+0.00011977i,-6.3446e-05-0.00047133i,0.00021038-0.00051943i,9.5014e-05-0.00031519i,-0.00058832-0.00026604i,-0.00095241-0.00028149i,-0.0010446-8.2721e-05i,-0.00071978-3.4659e-05i,-0.00025164-0.00030738i,0.00022212-0.00036928i,0.00058621-0.00024852i,0.00045696-0.00015613i,-3.7167e-05-0.00040178i,-0.000144-0.00040413i,0.00042508+0.00024797i
-0.0013532-0.00055624i,-0.00083416+0.00032272i,-0.00096925+0.00082922i,-0.00080753+0.00010006i,-0.00011824-0.00033048i,-7.7416e-05+0.00026158i,-0.00043545-4.0007e-05i,-1.7985e-05-0.00050881i,9.1935e-05+0.0001924i,-0.00065331+0.00015136i,-0.0014046-0.00061776i,-0.0014628-0.00081643i,-0.0011393-0.0011271i,-0.00052202-0.00062906i,-0.00018535+0.00057968i,-0.0003215+0.00063531i,-0.00074618+0.00070675i,-0.00081173+0.00053652i,1.1047e-05+3.9648e-05i,6.4896e-05+0.00052135i,-0.0005911+0.00039083i,-0.00032868-0.00010384i,-0.0012084-0.00031137i
-0.00042172+0.0011125i,0.0001384+0.0010788i,0.0015615+0.0012215i,0.0017471+0.0011664i,0.0013385+0.0014264i,0.0011764+0.0010197i,0.00036279+0.00047573i,-0.00077776-1.1977e-05i,-0.0008941-0.0001183i,0.00010266-0.00026674i,-0.00061274+0.00014433i,-0.0019098+0.00048777i,-0.0009629-0.00042869i,-0.00031291-0.00051225i,8.2662e-05+0.00037554i,0.00031288+0.00087525i,0.00032183+0.00076482i,-0.00030597+0.00017488i,-0.00090418-0.0002069i,-0.00017153-0.00037472i,0.00065474-0.00018889i,0.00023331-0.00050105i,2.6939e-05-0.00026275i
-0.00010416+0.00011733i,-9.4457e-05+0.00043706i,-0.00080512-0.00020164i,-0.0013156-5.8809e-05i,-0.0014468+0.00035542i,-0.0010051+0.00051533i,-0.00020653+0.0004698i,7.3531e-05+0.00036403i,0.00023897+0.00019384i,0.00052799-0.00013896i,0.00011631-0.00045031i,-0.00024384-0.00091922i,-0.00037577-0.00065005i,-0.00053361-9.9227e-05i,-0.00035019+0.00070644i,-0.00025761+0.0011811i,-6.1558e-05+0.00098098i,0.00038818+0.00073295i,0.00070044+0.00071569i,0.00035509+0.00012456i,-0.00027453-0.00033433i,0.00024768-7.9781e-05i,0.00074735+0.00037469i
-0.0017421+8.5589e-05i,-0.00068916-0.00038911i,-0.00034983+0.00023705i,-0.00019823+0.0014383i,0.00024695+0.0015177i,0.00041461+0.0010722i,0.00028069+0.00015075i,-0.00016357-0.00056172i,-0.00084426+5.4052e-06i,-0.00045792+0.00091637i,-0.00013306+0.00055232i,0.00029925-0.00026566i,0.00040319-0.00026172i,7.0674e-05-0.00046768i,-0.0001664-0.00024827i,-0.00048321+7.3704e-05i,-0.00068518-0.00021252i,-0.00038203+0.00024668i,0.00027308+0.00010877i,-0.00013052-0.00032761i,-0.00082042+3.8815e-05i,-0.00051792+0.00036391i,4.5099e-05+4.5902e-05i
0.00049074+0.00041908i,0.0005953+0.0011104i,0.0012023+0.00091381i,0.00062135+3.323e-05i,0.00036497-1.9614e-05i,-0.00035919+0.00046971i,-0.00091188+3.6915e-05i,-0.00045403-0.00016981i,-0.00041981+0.00026128i,-0.00023942+0.00065344i,0.00012261+0.00077799i,0.00012831+0.00039248i,-0.00042864+0.0003311i,-0.00055206+0.0009645i,4.1899e-05+0.00081018i,0.00029283+0.00034183i,-0.00032404-8.9318e-05i,-0.00026157-0.00062884i,-0.00040893-0.00095892i,-0.00018669-0.00045867i,-0.00022538-0.00023969i,-0.00030024-0.00098234i,-0.00019511-0.00085262i
0.0006023+0.00044058i,0.00094219+0.00052348i,0.0013209+0.000574i,0.00053576-7.9688e-05i,-0.00062796-0.00084035i,-0.00047686-0.00066874i,-0.00067373+0.0010394i,-0.00068535+0.0016903i,-0.00036086+9.307e-05i,-0.0008325-0.00077438i,-0.00088324-0.00031857i,-0.00062286-8.6303e-05i,-0.000277+3.1002e-05i,-8.9697e-05-2.027e-05i,-0.00023408-0.0006226i,-0.00035587-0.00081418i,-0.00083654-1.5073e-05i,-0.0012588+0.00028701i,-0.000994+7.7399e-05i,-0.00032759+0.00023399i,0.00023024+0.00075737i,4.0087e-06+0.00043168i,-0.00068994-0.00054452i
-0.00016317+0.0013987i,-0.00039632+0.001081i,-0.00034374+0.00099815i,-0.00037059+0.00072058i,-0.00073109+4.5746e-05i,-0.00098451+0.0007305i,-0.00021639+0.0010738i,1.7144e-05+0.00011467i,-0.0007121-0.00036304i,-0.00054996-0.00014569i,0.00014222-0.00030738i,0.00021803-0.00048111i,-0.00040826-0.00022193i,-0.00070548-0.00012321i,-0.00033795-0.00011294i,-0.00035149+0.00057938i,-0.00066057+0.00090225i,-0.00033468+0.00012407i,-4.7589e-05-0.00088061i,0.00027752-0.00055266i,0.00034581-0.00028866i,0.00039632-0.00034596i,0.00026767+0.00033418i
-0.00013825+0.0016314i,-0.00014852+0.00098995i,0.00049567+3.8807e-05i,-0.00035378-0.00081626i,-0.0012928-0.00043862i,-0.00078021+0.00028618i,-0.00066053+0.0003751i,-0.0010683+0.000295i,-0.00057156+3.0098e-05i,7.0598e-05-0.00055135i,0.00069384+0.00012078i,0.0010183+0.00063853i,0.00085919+0.00039864i,0.00052858+0.00056592i,0.00034754+0.00057472i,9.5018e-05+0.00059734i,0.00012884+0.00082827i,0.00054389+0.00032787i,0.00033304-0.00027989i,9.4701e-05-0.0002351i,0.00022523-0.00030318i,0.0002282-0.00041563i,1.3233e-05-0.00054567i
0.00019683-0.00070722i,-0.0011208+0.00049835i,-0.0010596+0.00045373i,-5.9411e-06+0.00093095i,-0.00036728+0.0013239i,-0.0011075+0.0014196i,-0.00021348+0.0010779i,-0.00012135+0.00018641i,-0.00045893-0.0010263i,0.00020992-0.0010208i,0.00065852-0.00066883i,0.00089621-0.00010656i,-2.6417e-05+0.00014347i,-0.00086784-0.00052834i,-0.0007474-0.00041783i,-0.00069218-0.00012745i,-0.00013313-0.00015343i,0.0006758-0.00031807i,0.00052993-0.00038387i,0.0006376-0.00065827i,0.00079323-0.00068564i,0.00054463-0.00036093i,-0.0004377+9.8868e-05i
0.0014522-0.00056053i,0.0014883-0.00020854i,0.00061201-0.00029498i,-0.00062324-0.00011644i,-0.0012257+0.00030806i,-0.00046526+0.00050825i,-0.00029991+0.00069068i,-0.00017517+0.00045638i,0.0001867-0.00075428i,0.00020056-0.001223i,-1.0115e-05-0.00051164i,-1.1883e-06-0.00049184i,0.00039888-0.00036058i,0.00031045-0.00046438i,0.00068561-0.00085923i,0.00059349-0.00012335i,-0.00029819+0.00033301i,-0.00071082+2.9108e-05i,-0.00053525+6.5641e-05i,1.0546e-07-0.00012278i,0.00056987-0.00014924i,-0.00018267+0.0001848i,-0.00082972+0.00027755i
0.0012339+0.00085593i,0.0012595+0.00031444i,0.0014288-0.00023803i,0.00089954+0.00012216i,7.1331e-05+0.0011411i,-0.00068773+0.0011708i,-0.00067906+0.00044662i,-0.00013573+0.00041807i,-4.7064e-06+6.6911e-05i,0.00011694-0.00053165i,0.00010983-0.00025728i,1.9882e-05-5.957e-05i,0.00037267-0.00047533i,7.1916e-05-9.0457e-05i,-0.00096309+0.00034409i,-0.00117-0.00015452i,4.9192e-05+8.9975e-05i,1.0986e-05+0.00064164i,-0.00042694+0.00015789i,0.00026065-0.00021417i,0.00044564-0.00048917i,0.00037131-0.0010093i,0.0001471-0.0010294i
-0.00033351-0.00016395i,-0.00023627+0.00018469i,-0.00011511+0.00037965i,-0.00037523+0.00073479i,-0.00090989+0.0011196i,-0.00096202+0.00098776i,-0.00032604+0.00086904i,0.00016986+1.2323e-05i,0.00013182+2.3298e-05i,-4.3817e-05+0.00080516i,-0.00021749+0.00077207i,1.8404e-05+0.00095219i,0.00054782+0.0014072i,0.00057122+0.00034441i,0.00070315-0.00078374i,3.0221e-05-0.00049833i,-0.00068468+0.00035814i,-0.00023158+6.451e-06i,0.00077261-0.00014829i,0.00065382-0.00016756i,-0.00038256-0.000272i,-0.00046946-0.00069608i,-0.00028942-0.00054685i
-0.0013718+0.0010695i,-0.001435+0.00087327i,-0.00097435+0.0017806i,0.00022876+0.0018893i,0.00079151+0.0011962i,0.00074201+1.8753e-05i,0.0001943-0.00071207i,0.00026536-0.0001763i,0.00033529+0.00056306i,-0.0003939-2.8115e-05i,-0.0003646-0.00033342i,0.00011032-0.00015748i,-0.00014181-0.00030399i,-0.0005265+9.2216e-05i,-0.00049042+0.00065298i,-0.00081404+0.0012809i,-0.0009298+0.001727i,-0.00050989+0.00081426i,-0.00037299+0.00050713i,-0.00088317+7.5657e-05i,-0.00081594-0.00041126i,-8.2055e-05-0.00027983i,0.00028556-0.0002975i
-0.0014667-0.00019123i,-0.0010226-2.6111e-05i,-0.0010299+0.0013008i,-0.0012802+0.0017355i,-0.0006886+0.0015595i,-0.00016695+0.0010603i,-0.00068176+0.00013664i,-0.0010747-0.00091388i,-0.00046306-0.00068088i,0.0002429-0.00019309i,-0.00027305-0.0009053i,-1.2714e-05-0.0013699i,0.00045743-0.0011718i,0.00030285-0.001226i,0.00027934-0.0006293i,-0.00086275-0.0006489i,-0.0013244-0.0007074i,-0.0013153-0.00028328i,-0.0010131-0.00043435i,-4.4134e-05-0.00054959i,0.00018352-8.6233e-05i,3.3068e-05+0.00076328i,-2.7149e-05+0.00048515i
-0.00038598+0.00024489i,-0.00055098-0.00062263i,0.00035917-0.00062131i,0.00079974-0.00041085i,0.0005221-0.00029995i,-0.00013469-0.00056722i,-0.00050044-0.00024455i,-0.00033899+0.00024136i,0.00012646+0.00029738i,0.00037952-0.00023538i,-6.1368e-05-0.00071554i,-2.8681e-05-0.00019064i,-0.00041441+0.00043622i,-0.0015216+0.00018777i,-0.0015791-0.00027807i,-0.00079776-0.00093809i,-0.00011824-0.00084803i,0.00052558-0.00015555i,0.00015931+0.00038476i,-0.00099681+0.00025658i,-0.00067198-0.00064559i,0.00054542-0.001147i,0.0006287-0.00070449i
-0.0024807+0.0015719i,-0.00025192+0.0026657i,0.0005359+0.0038536i,0.0011204+0.0036722i,0.0017076+0.0031184i,0.0010865+0.0015158i,-0.00021625-5.3031e-05i,-0.0010326-0.00022486i,-0.001209+0.00030732i,-0.00080178+0.00050384i,-0.00093407-0.00040205i,-0.00096074-0.00031114i,-0.00035587-2.6614e-05i,-0.00075509-0.00027329i,-0.0014413-3.2738e-05i,-0.00078888-5.7253e-05i,-0.00052904-6.9466e-05i,-0.00055147-0.00017301i,-0.00030128-0.00081223i,0.0001122-0.00056269i,-0.00020403+3.8458e-05i,-0.00058446+0.00013032i,-0.00013235+0.00012434i
-0.0013751+0.0026084i,-0.00057055+0.0026957i,-0.000438+0.0024657i,-0.0012874+0.00099206i,-0.00040489+0.00026548i,0.00025153+0.00058308i,-0.00041624+0.00069006i,-0.00042584+0.0011013i,0.00036077+0.00090016i,0.0010984+0.00018305i,0.0012504-0.00021057i,0.0003381-0.0003291i,-0.00058865+0.00039985i,-0.00095716+0.0011525i,-0.00084321+0.00092932i,-0.00056737+0.00032759i,-0.00034268+8.616e-05i,-2.2365e-05+0.00018297i,-0.00021805-0.00064548i,-0.00076705-0.00082675i,-0.00087788+0.00010914i,-6.5797e-05+0.00010514i,0.001086-0.00042483i
-0.00039508-0.0011053i,-0.00019124-0.00094757i,0.00024743-0.00039479i,0.00029929+0.00082959i,1.4039e-05+0.0014034i,-0.00053483+0.00016056i,-0.00097786-0.00089352i,-0.00089757-0.00045797i,-0.00062608+0.00028989i,0.00044791-0.00012219i,0.00025079-0.00035448i,-0.00068024+1.5303e-05i,-0.00039833+0.00067322i,-0.00012006+0.00045826i,-0.00046902-0.00015155i,-0.00073189+0.000102i,-0.00038406+0.00036921i,7.4961e-05+0.00067193i,0.00089001+0.000981i,0.00076238+0.00060292i,-0.00014303-0.00041865i,6.2153e-05-0.00093965i,0.00047914-0.00061108i
-0.00080998+0.00075864i,-0.00019889+0.00088397i,-0.00018215+0.00022289i,-0.00033051-0.00027322i,0.00023753-2.7394e-05i,0.00028446+5.539e-05i,-0.00059502+6.107e-05i,-0.00082351+0.00045342i,-0.00047307+0.00052766i,-2.1406e-06-0.00040424i,-0.00034809-0.0008956i,-0.0010955-0.00025106i,-0.00066007-4.9594e-05i,-0.00016593-0.00011441i,-0.00050341-0.00049046i,-0.00071424-0.00032384i,-0.00057673+0.00010699i,-0.0004051+0.00031702i,0.0003665-0.00012831i,0.00056252-0.00046303i,0.00014129-7.1262e-05i,0.00027993+0.00021335i,0.00085689+0.00069069i
0.00090107+0.00023713i,0.0012748+0.001336i,0.0006139+0.0010877i,-0.00036746+0.00046422i,-0.0011039+0.0010833i,-0.0016082+0.0017788i,-0.0005032+0.0010027i,0.00066868-3.2977e-05i,0.00049452-0.00086124i,0.00041218-0.00079004i,-0.00028895+0.00018246i,-0.00082718+0.0006304i,-0.00035369-6.5285e-05i,0.00072248-0.00041385i,0.00086133-0.00020569i,0.0005474+0.00018948i,0.00054439+0.00030931i,0.00067987+0.0002866i,0.00049048+0.00054752i,-0.00030517+0.00013834i,-0.00015136-0.00035128i,-0.00014989-6.7643e-05i,-0.00037678-0.000257i
0.0011999-0.00042899i,0.0009921+0.00032627i,2.2626e-06+0.00012149i,-0.00066035+0.00051851i,-0.00092989+0.0014697i,-0.00076959+0.0015187i,-0.00047998+0.00084887i,-0.00068205+0.00025266i,-0.0012281+0.0002478i,-0.0013523+0.00031708i,-0.00043755-0.00035244i,0.00072188-0.0006175i,5.099e-05-0.00048689i,-0.00014042-0.0005849i,3.2529e-05-0.00082348i,-0.00011292-0.0012972i,8.5384e-05-0.0010065i,0.00022754-0.00042567i,0.00034043-0.00042306i,5.632e-05-3.3535e-05i,-0.00061924+0.00053447i,-0.00070833+0.0004079i,-0.00024194-0.00022739i
-0.00021697+0.0002118i,0.00020879+0.00034261i,0.00060829+0.00081584i,0.00033292+0.0014108i,0.00019599+0.0015809i,1.2223e-05+0.0016811i,-0.00044176+0.0010036i,-0.00014854+0.0001958i,0.00079555+0.00032419i,0.0010734+0.00034243i,0.00040364+0.00018648i,-1.4136e-05+0.00034048i,0.00015551+0.00056669i,0.00050695+0.00016835i,0.0005626-0.00032384i,-0.0003536+1.5266e-05i,-0.00089685-0.00045592i,-0.00059903-0.00097473i,-0.00069312-0.00025925i,-0.00060081+0.00025244i,-0.00041276+0.00013075i,0.00013801-0.00030237i,0.00025575-4.3706e-05i
-0.00049247+0.00018954i,-0.0018003-3.4845e-05i,-0.002268+0.00044191i,-0.0023662+0.00078313i,-0.0010725+0.0013584i,-0.00042951+0.0014386i,-0.00076408+0.001483i,-0.0015334+0.0011276i,-0.0014486+0.00085526i,-0.00046863+0.00095794i,-0.00056376+0.00018074i,-0.00057217-0.00048783i,-0.00049349-0.00011252i,-0.00034158+0.00019346i,-0.00038148-0.00038369i,-0.00046318-0.000561i,-0.00079878-0.00012355i,-0.00055043-0.00012689i,0.0005672-0.00025241i,0.00049148-0.00030097i,-0.00054723-0.00058839i,-0.00082148-0.00021788i,-0.00084161+4.788e-05i
-0.00013092+0.00078728i,2.2481e-05+0.00057672i,0.00099471-0.00059535i,0.0010944-0.0014187i,3.181e-05-0.00068472i,-0.00045623-0.00013974i,-0.00032148+0.00020271i,-0.00035252+0.00063323i,0.00019621+3.522e-06i,0.00061352-0.0011307i,0.00023112-0.00087356i,-4.116e-05-0.00015854i,2.6204e-05-0.00051556i,0.00013996-0.00066095i,-0.00050847-1.2377e-05i,-0.00078856-0.0001197i,-0.0007612-0.00042348i,-0.00085759-0.000167i,-0.0013606-0.00018667i,-0.001019-0.00032523i,-8.0152e-05-2.1401e-05i,4.8438e-05+0.00031235i,0.00011755+9.9922e-05i
-0.0022464-0.0008154i,-0.0020471+0.00012295i,-0.0013015+0.0013324i,-0.00017328+0.002268i,0.0004441+0.0028174i,0.0006986+0.0012304i,0.00056467+0.00033502i,-0.00027287+0.00016782i,-0.00026188-0.00078941i,-0.00012956-0.00097878i,-0.00041942-0.00045133i,-0.00040632-0.00029341i,-0.0005868-0.00058039i,-0.0013804-0.00021053i,-0.0011391+0.00025322i,-0.00092623+0.00031485i,-0.00097546+0.00045563i,-0.00074233+9.6837e-05i,-0.00046577-0.00061451i,-7.9577e-05-0.00028873i,6.9234e-05+0.00059826i,2.9483e-05+0.00023813i,-0.00027007-0.0010912i
0.00076326+0.00010788i,0.00066703+0.00083293i,-2.2575e-05+0.00037498i,0.00023657-0.00028455i,0.00017438+0.00052135i,-0.00029396+0.001896i,3.0469e-05+0.001767i,0.00073818+0.00051709i,0.00083211-0.0003787i,0.00078735-0.0013096i,0.00024028-0.0015979i,2.0069e-05-0.00033742i,0.00028453+0.00057017i,0.00047416+0.00021886i,0.00066632-0.0003176i,0.0006227-0.00052381i,-1.7831e-05+5.4293e-05i,-0.00050605+0.00023867i,-0.00050259+0.00018143i,-0.00038823-0.00040008i,-0.00020603-0.00043239i,-2.9658e-06+0.00021856i,5.4245e-05+0.00054841i
0.00065453+0.0015287i,-0.00020323+0.0017321i,-0.00056308+0.0016798i,-0.0011973+0.0011632i,-0.0013318+0.00098955i,-0.0011623+0.00098575i,-0.0017313+0.0011362i,-0.0016918+0.00063511i,-0.00098974-0.00050486i,-0.00095358-0.0011764i,-0.00065736-0.00089349i,2.4268e-05-5.3622e-05i,0.00038512+5.8554e-05i,9.4597e-05-0.00014175i,5.7168e-05+0.00016078i,-0.00044636+0.00038033i,-0.00089771+0.00065049i,-0.00040467+0.00057549i,-0.00051405-0.00024502i,4.6372e-05-4.9941e-05i,0.00072241+0.0001297i,-0.00021743-0.00029991i,-0.00094219-0.0005155i
