-0.0027485-0.00035506i,-0.0015708-0.00031519i,-0.0015823+0.0010623i,-0.0011437+0.0020506i,-0.00075701+0.0026093i,-5.3998e-05+0.0015073i,0.00076317+0.00035018i,0.0012693-0.00022076i,0.0015368-0.00011747i,0.0014691+0.00017962i,0.001445-0.0003697i,0.0012167-0.00097921i,0.00079274-0.0015597i,0.00067893-0.0016548i,0.0014955-0.0010858i,0.0015494-0.00061277i,4.9852e-05-0.00011133i,-0.0009024+0.00022828i,-0.00097074-0.00054781i,-0.00087351-0.00060628i,-0.00078515-0.0001584i,-0.00074075+0.00017341i,-5.42e-05-8.8853e-05i
0.0030095+0.000197i,0.0039131-0.00040059i,0.0035198-0.00097926i,0.0021562-0.0017572i,0.00030203-0.0019149i,-0.001586-0.0013612i,-0.0012433-0.00061098i,0.00066902-0.00039992i,0.0015467-0.00086659i,0.00086572-0.0011608i,0.00037865-0.00044293i,2.1097e-05+0.00022268i,-0.0002603+0.00032678i,-0.00064526+0.00020129i,-0.00085046-0.0004422i,-0.00071834-0.0010468i,-0.00083283-0.00086249i,-0.0010715-0.00047931i,-0.00083936+4.8256e-05i,2.514e-05+0.00027573i,0.00054821+0.00050912i,0.00019288+0.00074044i,-0.00038084+0.00055995i
0.0021403+0.00016612i,0.0011314+0.00056489i,-0.00024083-0.00083396i,-0.00031122-0.00071141i,-7.1303e-05+0.0002015i,-0.00064668-0.00051018i,-0.0012207-0.00059134i,-0.00095281-0.00065893i,-0.00029247-0.00023548i,0.0001176+0.00049672i,0.00011558+0.00054947i,0.00046216+3.3498e-05i,0.00051335-8.509e-05i,0.00018015+9.367e-05i,0.00024471+0.00060478i,-0.00070388+0.00073954i,-0.00082085+0.0005478i,-0.00018683+0.00099213i,-0.00024214+0.00045556i,-8.4531e-05-5.9066e-05i,-0.00020836+5.7695e-05i,-0.00028597-0.00023721i,0.0001073-0.00028661i
0.0022217+7.6379e-05i,0.0016352+0.00060403i,0.00047409+0.00032381i,-0.00038383+0.00013375i,-0.00025767+0.00024225i,0.0006063+0.00036213i,0.00045649+0.00051627i,0.00013803+0.00012711i,0.00034496-6.139e-05i,1.3409e-05+0.00057688i,-0.00040852+8.6801e-05i,-7.5851e-05-0.00087986i,0.0003382-0.00051488i,0.00073775+0.00022788i,0.00053433+0.00039089i,0.00029578-0.00033672i,0.00015424-0.001071i,0.00039927-0.00057194i,0.00056385+1.9385e-05i,0.00049553-0.00020884i,-0.00018469+5.3218e-05i,-0.00067744+0.00080531i,0.00031052+0.00061658i
0.0012264+0.0021204i,0.0016436+0.00085972i,0.0021665+0.00031057i,0.0014785+1.2586e-05i,-6.5693e-05-0.00080089i,-0.00087535-0.0018195i,-0.0011287-0.0014027i,-0.00091032-0.00056079i,-0.00043873-0.00026349i,-0.00018992+7.9265e-05i,0.00021325+5.1312e-05i,0.0008053-0.00035037i,0.0015017-0.00015948i,0.0007623-7.4588e-05i,-0.00010105-0.00081069i,-0.00019867-0.0012053i,-0.0007002-0.00049754i,-0.00062884+0.0002695i,-0.00050253+0.0011679i,0.00016775+0.0013656i,0.00096733+0.0011154i,0.00060213+0.00068247i,-0.00098772-0.00022014i
-3.1696e-05-0.00021898i,0.00045076-0.00036085i,0.0005316+0.00030104i,7.7673e-06+0.00050507i,-0.00049722+0.00041246i,-0.000751+0.00034011i,-0.00085625-0.00029979i,-4.6543e-06-0.00036867i,0.00018818+0.00036471i,-0.00073221+0.00080714i,-0.00043437+0.00094749i,-0.00054419+0.00076668i,-0.00030859+5.5181e-05i,0.0012946-0.00014577i,0.001424-0.00010563i,0.00043858+0.00010488i,-0.00058132-0.0005391i,-0.00082819-0.0010974i,-0.00014396-0.00048251i,0.00020288+0.00019733i,0.00014529+0.00066266i,-0.00027289+0.00025127i,-0.0008218-0.00048708i
0.0017873-0.0011649i,0.0020929-0.0017814i,0.00093802-0.0017277i,-0.00011944-0.001493i,-0.0003244-0.00094956i,-0.00023418-0.0001578i,-0.00051044+0.00021903i,-0.0012351-0.00063084i,-0.000859-0.001298i,-0.00024148-0.0010985i,-0.00021573-1.0929e-05i,-0.00036723+0.00096921i,-0.0011656+0.00080784i,-0.0016607+0.000229i,-0.00088265+0.00015358i,-0.00036361+0.00021744i,-0.00033254+0.00042778i,0.00028595-7.0536e-05i,0.00036538-0.00032211i,-0.00088621+0.00029257i,-0.00082925+0.0003493i,0.00024987+0.0003866i,0.00077087-6.3639e-05i
0.0010498+0.0010412i,0.0017522+0.00047734i,0.00097325-0.00059368i,-0.00011363-0.00019103i,0.00038937+0.0010345i,0.00064337+0.0005512i,-3.603e-05-0.00019616i,0.00012459+0.00032056i,0.00087374+0.00085699i,0.00011404+0.00067981i,-0.00062402+0.00021195i,-0.00010646+7.0207e-05i,-0.00035367-0.00013372i,-0.00054592-0.00026111i,-0.00015221-0.00019473i,-0.00028782-0.00057925i,-0.00059028-0.00080964i,-0.00018443-0.00071641i,0.00052849+3.0079e-05i,0.00010013+0.00063003i,-0.00015706-0.00033827i,-0.00012256-0.00087468i,-0.00071299-0.00047748i
0.00097774-0.00035147i,0.0018603-0.00023828i,0.001206+5.0618e-05i,0.0012719-4.0278e-05i,0.00099324-0.00056572i,-0.00029613-0.0011899i,-0.00033699-0.001146i,0.00029976-0.0011302i,0.00020696-0.00090714i,-0.00010236+0.000367i,0.00013218+0.00082152i,-0.0002257+0.00019211i,-0.0006149-0.00087492i,-0.0011045-0.00061004i,-0.0011849+0.00036159i,-0.00015647-4.3733e-05i,0.00021811+0.00048138i,4.2983e-06+0.00064788i,-0.00034382+0.00014808i,-3.1759e-05+0.00026114i,0.00025565+0.00082998i,-5.3024e-05+0.00078665i,-0.00013753+0.00037719i
0.0013059-0.00089061i,0.0011981-0.0016002i,0.00056266-0.0012855i,8.075e-05-0.00076598i,-0.0011708-0.0003868i,-0.0018788-0.00020784i,-0.0015476-0.00026901i,-0.00038285+0.00020763i,0.00063641-0.00034371i,-9.3465e-05-0.0012348i,-0.0010341-0.0010591i,-0.00036735+0.00017836i,-0.00015993+0.0012612i,-0.00024608+0.00040662i,-6.2802e-05-5.9461e-05i,0.00038298+0.00093002i,0.00060021+0.00042966i,0.00053177-0.00044106i,0.00048726-0.001055i,0.00016833-0.00088496i,-0.00043202-0.00032514i,-0.00083624-0.00057389i,-0.00032422-0.00090521i
0.0016644+0.00089839i,0.0021563+0.000362i,0.001142+0.00048788i,3.7911e-05+0.00077157i,-0.00013814-1.3243e-05i,-0.00013102-0.00031741i,-0.00021027-0.00041077i,-0.00012264-0.00056899i,-0.00024862-6.484e-05i,-0.00046111+5.7378e-05i,-0.00061024+0.00018114i,-0.0006857+0.00049516i,-0.0002538+0.0002592i,0.00058087+0.00022927i,0.00077685+0.00021795i,0.00028467+1.3589e-05i,0.0005759-0.00017352i,0.00084285+0.00051517i,0.00094091+0.0018116i,0.00051351+0.001758i,-0.00034296+0.00049008i,-0.00046805-0.0006191i,0.00014591-0.00053818i
0.002236+0.00053934i,0.0017835-0.00034286i,0.0011545-0.00016532i,0.00051363-6.7541e-05i,-7.4675e-05-0.00042913i,-0.0010459-0.00043036i,-0.00093093-0.00020544i,0.00010456+0.00028469i,-0.00016112-1.2487e-06i,-0.00051182-0.00025872i,-0.00041528+3.816e-05i,-0.0002608-2.1676e-06i,-0.00013422-0.00033396i,-0.00065646+0.00010592i,-0.0010704-0.00022465i,-0.00078624-0.00054666i,-9.2842e-05+0.00044915i,0.00067691+0.00072138i,0.00065603+0.0008708i,0.00014162+0.00070956i,0.00010551+5.4323e-05i,0.00024018-0.00050706i,-0.00054945-0.00092871i
0.0013942-0.0013533i,0.0015285-0.0014587i,0.0010615-0.00088175i,0.0010266+0.00015007i,0.0013702+0.00081265i,0.0015197+0.00027993i,0.00053928-0.0002584i,2.0078e-05-0.00062393i,0.00014417-0.00096297i,0.00092678-0.00070391i,0.00096149-0.00037999i,0.00035113+4.1985e-05i,0.00085184+0.00024498i,0.00075033-0.00055141i,0.00022778-0.0010287i,0.00041618-0.00042484i,0.00011705-3.9879e-05i,-0.00034672-0.00037561i,-0.00067062-0.00037875i,-0.00048971-0.0010932i,0.00016117-0.0014883i,2.3849e-05-0.0008084i,-1.6879e-05+0.00010974i
0.00083915+0.00058479i,0.0013805+0.00081281i,0.00042704+0.00054176i,-0.00061528+0.0003048i,-0.00091323-0.00078479i,-0.00025826-0.0018011i,9.5885e-05-0.0015674i,-0.00043612-0.0015646i,-0.00064288-0.0013218i,-0.00033193-0.00061735i,1.9395e-05-7.3069e-05i,-0.00031393+0.00017571i,-5.4399e-05+0.00049285i,6.7252e-05+0.00088425i,-0.00040593+0.0005637i,-0.00069765+0.00021211i,-0.00015639-0.00024806i,0.00030577-0.00096486i,0.00015545-0.00083881i,-0.00091467-0.00016158i,-0.0013971-0.00011176i,-0.00099439-2.9298e-05i,-0.00072251+0.00033255i
0.00035489+0.00021171i,0.00024361+0.00041242i,1.5462e-05+0.00054505i,-0.00029502+0.0010246i,0.00051828+0.001255i,0.0010573+0.0010385i,0.0010208+0.0011045i,6.0073e-05+0.00076692i,-0.00080484+0.00028172i,-0.00081176+0.00056821i,-0.00046112+0.00065309i,0.00078158-4.6774e-05i,0.0012474-0.00048145i,0.00075858-0.00079858i,0.00088753-0.0007277i,0.0006481-0.00085286i,-6.0078e-05-0.0012301i,-8.1117e-05-0.0010487i,-6.5841e-05-0.00017909i,-0.00057563-0.00029925i,-0.00043012-0.00038759i,0.00026669-0.00020631i,-0.00023821-0.00045237i
0.0018129+0.00084166i,0.0017888-0.0005137i,0.0016326-0.00050947i,0.00071111-0.00062427i,-8.656e-05-0.0014042i,-0.00069616-0.0017404i,-0.0011634-0.0017584i,-0.00067333-0.0012567i,3.4474e-05+0.00031358i,0.00051374+0.00079239i,0.00010288-3.3876e-05i,0.00015498-0.00017231i,0.00071412-0.00047094i,0.00012138-0.000578i,-6.9698e-05-0.00070805i,0.00033674-0.0003079i,6.4918e-05-0.00015035i,0.00016553-0.00084349i,0.00058438-0.00056534i,2.8893e-06+0.0003818i,0.00027233+0.0004774i,0.00058222-0.00019069i,0.00065496-0.00098412i
0.00088-0.001057i,0.00025422-0.0013816i,-0.0013098-0.0014946i,-0.0014666-0.0002623i,-0.00059004+0.00076224i,-0.0002902+0.0003011i,-0.00031013-0.00021113i,-2.7342e-05-0.00020762i,0.00057023-0.00023154i,0.00068892+0.00032657i,0.00024346+0.0010408i,0.00043718+0.0010418i,1.5919e-05+0.00059379i,-0.0002534+0.00078156i,0.00053087+0.00030252i,0.00052315-0.00044625i,-0.00038973-0.00067694i,-0.00029994-0.00069652i,-3.6901e-05-0.00036216i,0.00042669-0.00020394i,0.00077472+0.00036511i,0.00053898+0.00071162i,0.00010606+0.00034593i
0.0015877+0.00029085i,0.00092753-0.00085397i,-0.00013943-0.0021226i,-0.00049373-0.001441i,-0.0009854-0.0011173i,-0.0017509-0.00096621i,-0.0010867+0.00025732i,0.00013242+0.00091722i,0.00022242+0.0010726i,-0.00033363+0.00095697i,-0.00057857+0.00044179i,-0.00027909+0.00037234i,3.7211e-05+6.6879e-05i,0.00012014+3.2932e-05i,0.00055058+0.00057259i,0.00084204+0.00064059i,0.00021591-0.00026391i,0.00029404-0.00090229i,0.00073612-0.00058703i,0.00058402-0.00049875i,0.00055847-0.00086709i,0.0003946-0.00071437i,2.86e-05-0.00037325i
-0.00052926-0.00015562i,-0.00037704-0.001251i,-0.00031692-0.0017732i,-0.00099865-3.1176e-05i,-0.0012636+0.00071724i,-0.001234-0.00045531i,-0.00032105-0.00077589i,0.00017805-0.00011916i,-0.00085754-0.00025063i,-0.00077689-0.00042604i,-0.00021297+0.00010876i,-9.7553e-05+4.6697e-05i,0.00059533+0.00028888i,0.00094859+0.00047145i,0.00021136-0.00033633i,-0.00040735-0.00093552i,-0.00017411-0.00070759i,0.0003073-3.5024e-05i,0.00036073+0.00038934i,-0.00048643+0.0001044i,-0.00074892-0.00057319i,0.00034856-0.00096469i,0.00087107-0.00044072i
-0.00042765-0.0012183i,-0.00068318-0.00035509i,-0.0022193+0.00033566i,-0.0020945+0.00075468i,-0.00068157+0.00081755i,-0.00029637+0.00098309i,-0.00028925+0.00015539i,0.00026314-0.00025181i,-3.1468e-05-0.00011889i,-0.00028403-0.00022216i,-0.0010346-1.1567e-05i,-0.0012963+0.0003168i,-0.0009302+3.1952e-05i,-0.00012549-0.00021151i,0.00045537+0.00028595i,0.00052994+0.00019984i,0.00044449-0.0001325i,0.00023687-0.00017524i,0.00039129-0.00080241i,0.00062222-0.0015391i,-2.5715e-05-0.00093458i,-0.00066304-2.8914e-05i,-0.00055539-0.00062216i
-0.00065952-0.0012771i,-0.00093307-0.00033555i,-0.00061027+0.00011469i,-8.881e-05+6.2905e-05i,0.00014049-0.00090072i,7.1522e-05-0.0013012i,-0.00043977-0.00073192i,-0.00054292-0.00044017i,-0.00088686-0.00017939i,-0.0013083-3.761e-05i,-0.00049002+0.00070648i,-0.00012137+0.0010879i,0.00039997+0.0003955i,0.0011933+0.00076554i,0.0013821+0.00091016i,0.0013907+0.00037401i,0.0011679-0.00034224i,0.0007677-0.000403i,0.00024534+0.00017308i,-0.00038844+0.00013005i,-0.00059439+0.00017866i,0.00020319+0.00052147i,0.00086068+0.0007732i
0.00042272-0.00039077i,0.0005829-0.0013248i,-0.00062442-0.00035328i,-0.0012754+0.001413i,-0.00026099+0.0020383i,0.00016237+0.0016965i,-0.00017108+0.00063717i,-4.8122e-05-0.00011625i,-0.00035457+0.00028344i,-0.00045598+0.00058853i,-0.00072037-0.00010813i,-0.0011839-0.00041055i,-0.00083701-0.00049033i,-0.00011306-0.00040948i,0.00063394-0.00046117i,0.00082086-6.491e-05i,0.00054847+0.00045848i,0.00061161+0.00018921i,0.00058367-0.00071083i,0.00026855-0.00074396i,-0.00011643+4.2654e-05i,-0.0003558+0.00044032i,-0.00051088+0.00021217i
0.00081362-0.0013399i,0.0005391-0.00069844i,9.7657e-05+0.00028096i,-0.00018908+0.00087587i,-0.00026064+0.00024463i,-0.000608-0.0014039i,-0.00074059-0.0011905i,-7.1496e-05-0.000249i,0.0010535-0.00044795i,0.00084289-1.3349e-05i,-0.00036168+0.00042102i,-0.0011554+0.0009484i,-0.0011399+0.00052074i,-0.00050463-0.0011434i,-3.5397e-05-0.0016975i,0.00088215-0.00074244i,0.0014664+0.00023008i,0.0011994+0.00038888i,0.00057259-3.6172e-05i,0.00022522-0.00033097i,0.0006003-0.0001547i,0.00019726-7.0319e-05i,-0.00087408-0.00030457i
0.0028238-0.00082854i,0.0020083-0.00031756i,-0.0001836+0.00068542i,-0.00081736+0.00037267i,-0.00032221+0.00015997i,-0.00045249-2.3934e-06i,-6.3176e-05-0.00039672i,0.00049224-0.00036449i,0.00022577+9.4215e-05i,-0.00015383+0.00028265i,-0.0007292+0.00013652i,-0.00091497+6.6267e-05i,-0.00062745-0.00010334i,-0.00027722+0.00016185i,0.00037618+0.00028562i,0.00034837-0.00011581i,0.00021184-0.00023801i,-7.0047e-06+0.00027248i,-0.00039242+0.00073244i,-0.00029057+0.00078689i,-0.00039781+0.00030168i,-0.00049239-8.2544e-06i,-0.00022991-0.00024745i
0.0015544-4.3196e-05i,-0.00011877-0.0014119i,-0.0013082-0.0014668i,-0.0015512-0.00018577i,-0.0019398+0.00051462i,-0.0018357+0.00028397i,-0.0010807-0.00026973i,-0.00030606-0.00033208i,0.00011019-0.00032419i,0.00018782-0.0012149i,0.00078598-0.0010534i,0.00099307+0.00023541i,-3.2086e-06+0.00068468i,-0.0011023+0.0004666i,-0.00055728+0.00023077i,0.00058462-0.00017482i,0.0014318+9.0356e-05i,0.0014007+0.00036352i,0.0005417+0.00030312i,0.0001487+8.9445e-05i,-7.4526e-05-0.00013077i,-0.00083941+7.2254e-05i,-0.00072284+5.4513e-05i
0.0019601-0.0014524i,0.00089127-0.0018822i,0.00061011-0.0026161i,-0.0001944-0.0022958i,-0.0015392-0.0010193i,-0.0020904-0.0010144i,-0.000997-0.0013902i,0.00020434-0.00068456i,0.0002611-0.00050676i,-9.242e-05-0.00064131i,-0.00046251-9.3852e-05i,-0.00055316+0.00075522i,-0.00049912+0.00087291i,0.00017466+0.00045457i,0.00041149+0.00038205i,0.00019801+9.4644e-05i,0.00032398+0.00021336i,0.00028442+0.0003893i,-1.6625e-05-0.00031873i,-0.00011161-0.00051729i,0.00021395-0.00061504i,0.00012576-0.00066436i,-0.0001812-3.8709e-05i
0.001311-0.00023226i,0.0011159-0.000375i,-5.2828e-05-0.00024169i,-0.00079073+9.1134e-05i,-0.00021676-0.00015383i,-0.00018264-0.00069646i,-0.00043577-0.0013446i,-0.00026822-0.001357i,4.646e-06-0.00070893i,-0.00025878-0.00018738i,-0.00056187-2.5941e-05i,-0.00031395+0.0001483i,9.3535e-05+0.00013239i,-0.00030875-0.00018165i,-0.00097089-0.00022306i,-0.00081529+0.00013553i,-0.00053966-6.282e-06i,-0.0006912+3.6275e-05i,-0.00045964+0.00011614i,-0.00097661-0.00030755i,-0.0016161-0.00068508i,-0.00079184-0.00037343i,0.0004261-0.00041251i
0.0018494+0.00039079i,0.0011915-0.00016568i,0.00040094+6.6124e-05i,0.00034947+0.00038259i,-0.00025671-2.0568e-06i,-0.00097614-0.00097885i,-0.00069665-0.00059048i,-0.00034903+0.0005687i,0.00014941+0.00074409i,0.00049223+0.00030225i,0.00049565+0.0008362i,3.5727e-06+0.0010204i,-0.00049159+0.0005347i,-0.00099428-0.00023335i,-0.00016905-0.001085i,0.00044715-0.00036325i,-0.00028873-8.3417e-06i,-0.00068599-0.00067045i,-0.00049809-0.00077182i,-0.00051411-0.00052559i,-0.00066117-0.00024483i,-0.00060681+0.00021907i,-0.00041052-7.4763e-06i
0.00047495-0.0013288i,0.0003161-0.0020996i,0.00066924-0.00093661i,0.00027631-0.00027435i,-0.00071018-0.0011741i,-0.0010977-0.001902i,-9.7529e-05-0.0012512i,0.00056154-6.2421e-05i,-7.7366e-05+0.001025i,-0.00017235+0.0011899i,-0.00016995+0.00054213i,-0.0004772+9.2719e-05i,-0.00035011-0.00067418i,-0.00015829-0.0011691i,-0.00039099-0.00045284i,-0.00029809+5.6717e-05i,0.00064972-0.00065148i,0.001804-0.00014736i,0.001556+0.00059686i,0.00052324+0.00016494i,0.00031907+8.5244e-05i,0.00020514-0.00030229i,0.00030261-0.00064017i
0.00086345-0.00088622i,0.0015984-0.0014581i,0.0015192-0.00062808i,0.00018325+0.00058363i,-0.00059836+0.00085728i,-0.00039316+0.00089038i,-0.00059022+0.00024664i,-0.00028712-4.79e-05i,-2.0277e-05-0.00017476i,-0.00016466-0.0005587i,-0.00031738+7.5649e-05i,-0.00049246+0.00080806i,-0.00057262+0.00063222i,-0.00014092-2.6949e-06i,0.00040647-0.00022166i,0.00036274-0.0010359i,-0.00022396-0.00076066i,-0.00049357+0.00054122i,-1.5387e-05+0.000592i,0.00011137-0.00025085i,0.00018553-0.00079338i,-0.00013138-0.00050157i,-0.00050715-0.0001957i
0.00102+5.2635e-05i,0.00091599-0.00083061i,0.00082216-0.00087857i,0.00054593+2.6505e-05i,0.00037223+0.00089528i,-0.00016957+0.00047028i,-0.0010011-0.00035346i,-0.0010383-0.00059517i,-0.00032452-0.00043238i,2.819e-05-0.00052369i,0.00051206-0.00092139i,0.00045806-0.0005812i,0.00022807-4.1929e-05i,0.0001371+0.00025376i,-0.00023756-2.6778e-05i,-0.00050071-0.00056i,-0.00076842-0.00084273i,-0.00032295-0.0017991i,-2.4721e-05-0.0018129i,-0.00024364-0.0008635i,-2.9544e-05-0.00095392i,0.00059673-0.0012744i,0.00035716-0.00064648i
0.001795+0.0016894i,0.0022807+0.00064514i,0.0010299+0.0012029i,-0.0010576+0.0018292i,-0.0013112+0.00060073i,-0.0010811-0.00095663i,-0.001253-0.00041742i,-0.00084599-9.8642e-05i,-0.00019021+9.7087e-06i,4.5524e-06+0.00076167i,-0.00020335+0.00099908i,-3.0316e-06+0.00049426i,-0.00033108-0.00031299i,-0.00045323-0.00074549i,-0.0004097-0.000692i,5.1287e-05-0.0002374i,0.00023938+7.1322e-05i,7.6072e-05+0.00023523i,1.5138e-05-0.0001206i,-0.0005273-0.00018543i,-0.00034077-1.6706e-05i,-0.00019507-0.00073722i,4.8433e-05-0.0010279i
