-0.0034168+0.0012029i,-0.00089897+0.0009915i,-0.00088641+0.0016845i,1.5331e-06+0.0018816i,0.00085143+0.0017255i,0.00041414+0.000976i,-0.00010962+0.0011548i,0.00026156+0.0015748i,0.00044707+0.0010025i,0.00018644+0.00055183i,0.00044198-9.1859e-05i,0.00015311-0.00076388i,-0.00041662-0.00039747i,-0.00076976-8.8401e-05i,-0.00012506+0.0001295i,-0.00046778+0.00029244i,-0.0013242-0.0001415i,6.6475e-05-0.00055454i,0.00078427-0.0010533i,0.00040375-0.0011485i,-4.9839e-05-0.00082308i,-0.00040497-0.0003119i,0.0002385+0.00042187i
0.00059028+0.00035004i,-0.00025996+0.00018607i,0.00046179+0.00032871i,0.0014025-0.0011557i,0.0015778-0.0023191i,0.0008842-0.0013702i,-0.00039542+0.00013182i,-0.00068106+0.0005388i,-0.0003759+0.00055011i,0.00050937+0.0003231i,0.00095852+9.9891e-05i,0.00013902+0.00066935i,-0.00040902+0.00084684i,-0.00029217+0.00046882i,-0.00034126-0.00019212i,-0.00064453-0.00076942i,-0.00080864-0.00095581i,-0.0006267-0.00084474i,5.675e-05-0.00025045i,0.00032852+0.00031219i,0.0002303+0.00047856i,-0.00067018+0.00011058i,-0.0011649+0.00037115i
-0.00024956+0.001177i,0.00097327+1.0534e-06i,0.001508+8.7331e-06i,0.0013835+0.00058893i,0.00085145+0.00011954i,0.00032935-0.0010186i,0.00028717-6.7992e-05i,-0.00026786+0.00068434i,-0.00036288+0.00035814i,-0.00027+0.00029291i,-0.00014322+0.00025562i,-5.9679e-05+0.0004052i,-0.0002277-1.7814e-05i,0.00018357-0.00021447i,0.0009633+0.00060712i,0.00051606+0.00073075i,-0.00012508+0.00012625i,9.0053e-06-0.00028676i,-0.00028618-1.9217e-05i,-0.0004355+0.000175i,-0.00036288-0.00026947i,0.00015697+3.7913e-05i,0.00054747+0.00022659i
-0.00069271+0.00080871i,-0.00067211+0.00023751i,-0.00023005-0.00036927i,0.00024317-0.00052762i,0.00074422-0.00067112i,0.00047132-0.0014527i,-9.9684e-05-0.00095113i,-0.00029479+0.00011344i,-0.00067524+1.3001e-05i,-0.00013135-0.00011101i,0.0008422+0.00066375i,0.00067361+0.00088625i,0.00017392+0.00073242i,-0.00039419+0.00082038i,-0.00046541+0.00078228i,-0.00011741+0.00014997i,0.00030688+0.00020063i,0.0006364+0.0004933i,0.00072241+0.00075089i,0.00069345+0.00039209i,0.00078648-0.00057912i,-4.4164e-05-0.00026668i,-0.0014852+0.0010069i
-0.0015888-0.001619i,-0.0016562+0.00042704i,-0.001676+0.00193i,0.00010074+0.0030906i,0.00096084+0.0036306i,0.0009216+0.0019571i,-0.00012212+0.00071107i,-0.0007992+0.0012144i,-0.00039098+0.0011934i,-0.00052779+0.00047482i,-0.00077988+0.00093467i,-0.0005925+0.0009515i,0.00048644+4.1335e-05i,0.0015168-5.6111e-05i,0.0013515+0.00026841i,0.00059012-3.2872e-05i,-0.0002762+2.8959e-06i,-0.00033985+5.7234e-05i,0.00012513-7.1023e-05i,-0.00021267+0.00056581i,-0.00012612+0.00097921i,-6.5968e-05+0.00059302i,-0.00044548+2.5032e-05i
0.0017342+0.0020058i,0.0027558+0.0015082i,0.0028503+0.00031265i,0.0018103-0.0008813i,0.0012768-0.0014466i,0.00063908-0.00138i,-0.00064214-0.00078483i,-0.00052844+2.6443e-05i,0.00036684+0.00026305i,0.00076379+0.00035039i,0.00064969+0.00041095i,0.00054719+0.00031105i,0.00027376+0.00058465i,0.00040172+0.00018372i,0.00098942-0.0007625i,0.00083318-0.00035128i,0.00069672-0.00024408i,0.00065767-0.00099336i,0.00051796-0.00088764i,0.00026878-0.00023883i,0.00012706-0.00028474i,4.1854e-05-0.00034565i,0.00011301+0.0003131i
-0.0015394-0.00043652i,-0.0021282+0.0012607i,-0.0025657+0.0013194i,-0.0018822+0.00052882i,-0.00078433+0.00050115i,0.00027446+0.00072153i,0.00072477+0.00076224i,-0.00051449+0.00064844i,-0.0012455+0.00052324i,-0.0010417+0.0010153i,-0.00043048+0.00098842i,0.00022277+0.00058752i,0.0011671+0.00036663i,0.0015154+0.00038993i,0.00069265+0.00053492i,0.00056205+0.00020723i,0.00075332-0.00057019i,2.0267e-05-0.00017269i,-0.00030759+0.00052851i,-1.6488e-05+0.00055268i,-0.00015537+0.00086317i,-0.00045655+0.00076179i,-0.00038296+0.00051895i
-0.00080479-0.00028361i,-0.00052437+0.00049246i,-0.00040235+0.0023615i,0.00029831+0.0026739i,0.0015902+0.00088714i,0.0018504-0.00086761i,0.0010028-0.00058334i,0.00034514+7.191e-05i,7.0227e-05-0.00026778i,-0.0001074-0.00056649i,1.8001e-05-0.00060631i,0.00061427+2.4912e-05i,0.00023496+0.00019759i,0.0005929+0.00021684i,0.0011543+0.00052026i,0.0010908+0.00033517i,0.00093468-0.00046886i,0.00058417-0.0011473i,0.0006331-0.0011411i,0.00035516-0.00053577i,-0.00031823-0.0001645i,-0.00035911+0.00092843i,0.00021833+0.0015582i
0.00035978+0.002236i,0.00099609+0.00058749i,0.001753-0.00057116i,0.0017325-0.00087419i,0.000972-0.00066819i,-0.00025988-0.0010043i,-0.00086871-0.00066129i,-0.00033339-0.00053358i,4.3369e-05-9.8306e-05i,-0.00010975+0.0011539i,-0.00027136+0.0017718i,-0.00046851+0.00054657i,-9.7253e-05-0.00086422i,5.2672e-05-0.00071235i,-0.0001994-1.4528e-05i,-0.00013037-0.00010273i,-0.00046855-0.00094491i,-0.00022401-0.00065028i,0.00019897-0.00039592i,0.00058789-0.00059036i,0.00047726+3.5435e-05i,-0.00038899+0.0003248i,-0.00013699+0.00029057i
-0.0013117+0.0016112i,-0.00013659+0.0011191i,0.00054205+0.00093499i,0.0016208+0.0010235i,0.0025466+0.0010392i,0.0021992-6.4794e-05i,0.0011531-0.00039908i,0.00042041+0.00018672i,6.5753e-05+0.0003182i,0.00014019+0.0003227i,0.00042196+0.0010368i,0.00065481+0.0010992i,-2.5728e-05+0.00086041i,-0.00070645+0.00035549i,-0.00013364-0.00018517i,-0.00019279-6.016e-06i,-0.00071339+0.00018498i,-0.0002549+0.00014969i,0.00048761+0.00030044i,0.00018268+3.4911e-05i,-0.00041643-9.347e-05i,-0.00015603+0.00011828i,1.7753e-05+0.00073451i
-0.00058248-0.00070087i,-0.00094139+0.00036943i,-0.00022589+0.00041325i,0.00012187+0.00065587i,-0.00045155+0.00092573i,-0.00025592+0.00016191i,0.00032165-0.00015909i,-0.00013255+0.00022347i,-0.00026399+0.00094147i,-9.5345e-05+0.0011428i,-1.6909e-05+0.0003233i,0.00051963+0.00072561i,0.00032485+0.0012349i,0.00049913+0.00063975i,0.0013128+8.4908e-05i,0.0012688-0.00067156i,0.00077283-0.00060411i,0.00078122-0.00032558i,0.00068694-0.0002371i,6.0051e-05-0.00017539i,-0.00087476+0.00028835i,-0.001543+0.00057751i,-0.00099347+0.00010488i
