-0.00040081+0.00099509i,0.0014222-0.00063336i,0.00039007-0.00077571i,-0.0010725-0.00023971i,-0.0021919+0.00093139i,-0.0016695+0.00099338i,-0.00072783+0.00094735i,0.000105+0.0011265i,0.0011401+0.00051993i,0.0010212+0.00044635i,0.00024509-7.5689e-05i,0.00014599-0.00047947i,0.00075455+0.00021886i,0.00021717+0.0010643i,-0.00023442+0.0015046i,-0.00028845+0.00065126i,0.00075508-0.00065406i,0.0010681-0.0009367i,0.00015957-0.0011125i,0.00018509-0.00077593i,0.00061792-0.00021128i,0.0010093+0.00016159i,0.00047949+0.00021814i
9.1465e-06-0.0021981i,-0.0012697-0.0018397i,-0.0024192-0.00070184i,-0.0034559-0.00018147i,-0.0020913-9.6905e-05i,0.00049827-2.9941e-05i,0.0011642-0.00029511i,0.00082272-0.00065725i,-0.00056437-0.0006497i,-0.0010789+8.5915e-05i,-0.00013056+0.00068414i,0.00015396+0.00049294i,-0.00011514+0.0001499i,0.00052251-8.1351e-05i,0.00051554-7.3683e-05i,0.00022912-0.00033992i,-0.00023669-0.0010012i,-0.00096695-0.0012605i,-0.00081871-0.0007287i,-0.00049635+0.00018247i,-0.0003664+0.0011369i,0.00033544+0.0013511i,0.0014023+0.0007696i
-4.2634e-05+0.00027222i,0.00065294+0.0015065i,0.00025985+0.0019513i,0.00049032+0.0010176i,0.00090619+8.2679e-05i,0.00077895+0.00020912i,0.0011242-0.0003248i,0.00093581-0.0007216i,-0.00029784+0.00036876i,-0.00050115+0.0012626i,-0.00057123+0.0012289i,-0.00091322-3.5276e-05i,-0.00055603-0.00035948i,-0.00023568+0.00060715i,8.271e-06+0.0007714i,-4.7686e-05+0.00022644i,-0.00027542-0.00082703i,-0.00028976-0.00061277i,-0.00019503+0.00029929i,-0.00032848+3.2516e-05i,-0.00053684-0.00050394i,-0.00080592+5.7209e-06i,-0.001046+0.0011074i
-0.00096369-0.00029389i,-0.001675-0.00036374i,-0.0016643-0.00054653i,-0.00039395+0.00015546i,0.00061915+0.000476i,0.00056033+3.6858e-05i,0.00050056-0.00054401i,0.00053697-0.00096838i,0.00042523-0.00094283i,-0.00026193-6.8959e-05i,-0.00077395+0.00031663i,-0.00087255+0.00010246i,-0.00038902+8.9249e-05i,0.00038646+0.00020144i,0.00072358+0.00030536i,0.0006842+0.00091816i,0.00034106+0.00055943i,0.00037025-0.0003126i,0.00035876-2.6048e-05i,0.00012449+0.00038175i,0.00012336+0.00056711i,0.00011997+0.00012399i,1.9227e-05-0.00063085i
0.00069587+0.00093389i,-0.00025197+0.0010842i,0.0010493+0.0010537i,0.0015398+0.0013279i,0.00077362+0.001033i,0.00068781+0.00029384i,0.0011343-0.00074101i,0.00091854-0.0011576i,0.00054059+0.00019165i,0.00049299+0.0012857i,0.00035238+0.00072353i,-0.00028335+0.00020596i,-0.000857+0.00023554i,-0.00085166+0.00047468i,-0.00075296-0.00023658i,-0.00072632-0.0008763i,-0.0007015-0.00031737i,-0.00045458-4.8304e-05i,7.8386e-05+6.7377e-05i,0.00041828-0.00014317i,0.00060246-0.00017857i,0.00019272+0.00011674i,0.00016883-0.00012736i
-0.00036754-0.00034956i,-0.00017838-0.0001156i,0.00024079+0.00063289i,-2.1285e-05+0.00080893i,-0.00029067+0.00091146i,0.00051529+0.0011662i,0.0018735+0.00075825i,0.0015186+0.00043589i,-0.00028604+0.00025474i,-0.00051666-0.00018925i,-0.00032401-0.0001558i,-0.00093706+1.1112e-05i,0.00025597-0.00029351i,0.00096133-0.00035271i,0.00031801-7.8664e-05i,-0.00057153-0.0002546i,-0.0015841-0.00064651i,-0.00082859-0.00028836i,0.00032957+0.00024178i,9.268e-05+1.0034e-05i,1.4205e-06-0.00053773i,-1.0391e-05-0.0011249i,-0.00022827-0.00067846i
-0.00043328-0.00073891i,-0.00091818-0.00015771i,-0.0010813-0.00026225i,-0.00068667+7.827e-05i,-3.7035e-05+0.00026489i,0.00095963+5.7694e-05i,0.001295+0.00047277i,0.00039012+2.5319e-05i,-0.00086155-0.00020887i,-0.00086257+0.00035965i,-0.00067001+0.00054027i,-0.00085077-0.00018122i,-0.00098381-0.00054106i,-0.00088103-0.0003388i,-0.00021136-0.00094405i,0.00049026-0.0013746i,-6.6385e-05-0.00099698i,-0.0011445-0.00028654i,-0.0011003+0.00058412i,-0.00014411+0.00018137i,0.00059046+0.00033713i,0.0010966+0.00098743i,0.0011593-9.9865e-05i
-0.00079559+0.00041241i,-0.00062592-0.00011326i,-0.0001882-0.00017277i,-0.00024215+0.00032572i,0.00028819+0.00051291i,7.6688e-05+0.00045225i,-0.00042296-0.00022795i,-5.0751e-05-0.00067636i,0.00043305-0.00035547i,0.00044745-0.00011159i,0.00014144-4.2154e-05i,-0.00025261-0.00018629i,-0.00057989-0.00027916i,0.00013761-0.00012235i,0.00069251+0.00036564i,0.00028914+0.00064932i,-1.0402e-05+0.00024345i,-0.00043472-0.00020445i,-0.00025699+0.00018855i,-0.00026289+0.00043041i,-5.0626e-05+0.00041781i,0.00031667+0.00024378i,0.00037871-0.00037081i
0.00077418+0.00096932i,0.00075922+0.00027295i,0.0017062-0.00017723i,0.0019379-0.0010915i,0.00091997-0.0017869i,0.00069289-0.001434i,0.00083824-0.0011798i,-0.00048526-0.00049532i,-0.0015257-0.00043451i,-0.00049134-0.00069069i,-7.9461e-05-0.00030257i,-0.00049732+0.00014648i,-0.00050772+0.0003841i,-0.00026771+0.0003251i,0.00031251-0.00032265i,0.00043122-0.0010039i,-0.00044066-0.00075771i,-0.00097959+0.00019371i,-0.000621+0.000791i,-0.00032241+0.00078049i,-1.5659e-05+0.00033911i,0.00041064+0.00038389i,0.0004819+0.00077063i
-0.0010984-0.0010115i,-0.0029296-0.00014754i,-0.0036359+0.00084584i,-0.0026286+0.0011875i,-0.00022223+0.0007651i,0.00078051-0.00013599i,0.00025796+0.00010897i,-2.9464e-05+0.0010046i,-0.00071166+0.00061724i,-0.00044693-0.00019472i,1.7204e-06-0.00029874i,-0.00026476-0.00025691i,-0.00011347-0.00011659i,7.3308e-05+0.00033763i,-0.00018072+0.00041837i,-0.00020636+0.00020319i,-0.00030732+0.00015958i,0.00017336+0.00034268i,0.00048015+0.00052222i,-1.8687e-05+0.00033954i,-0.00071547+0.00040854i,-0.00036991+0.00017245i,0.00013111-6.6259e-05i
0.0018282-0.0014455i,0.0013716-0.0013511i,0.00067205-0.00053468i,-0.00061209-0.00038992i,-0.0021384-0.0010976i,-0.0013421-0.0010347i,0.00048869-0.00019763i,0.00034377+0.00076221i,-0.00093515+0.00077177i,-0.001392-0.00061771i,-0.00084371-0.00079716i,-5.4414e-05+0.00038384i,0.00049403+0.0016577i,0.00035962+0.0017616i,0.0011347+0.0010096i,0.0015318+0.00064801i,0.00076886+0.00022647i,-0.00015358-0.0001177i,-0.00050145-0.00057988i,0.00013517-0.00050431i,0.000921-0.00041261i,0.00040882-0.00031864i,8.3669e-05+0.00043866i
0.0016327+0.0018354i,0.0018239+0.0021141i,0.0017573+0.0014295i,0.0013732-0.00050267i,0.00019073-0.0016902i,-0.00073303-0.0015994i,-0.00053195-0.0010042i,-0.00062945-0.00074195i,-0.00052313-0.00034365i,-0.00041895+0.00043822i,-0.00072826+0.00054383i,-0.000558-1.816e-05i,-9.728e-05+0.00031414i,-0.00058158+0.00043883i,-0.00068101-0.00015278i,-0.00054002-0.00042983i,-0.00087505-0.0004986i,-0.00084171-3.0876e-06i,-0.00070606+0.00032035i,-0.00034405+0.00017142i,0.00021429-0.00048703i,0.00028348-0.0010537i,0.00079202-0.00049242i
0.00082423+0.0016907i,-0.0011054+0.0013566i,-5.8002e-05+0.00096415i,0.001263-0.00046777i,0.0011925-0.002268i,0.00059415-0.0019446i,0.00023135-0.00084241i,-0.00019169-0.00047579i,-0.00084002-0.00040473i,-0.00088844-0.0010076i,-0.00079248-0.0013171i,-0.00075262-0.00052679i,-0.00027609+0.00075935i,-0.00030945+0.0013257i,-0.00076692+0.0011405i,-0.00065948+0.00078231i,-0.00046494+0.00018572i,-0.00043285-0.00045822i,-0.00049411-0.00094196i,-0.00052585-0.00077535i,0.00011311-0.00047674i,0.00082243-0.00024641i,0.00012154-0.00053784i
-0.00016768-0.0013732i,-0.00014904-0.0016514i,0.00025886-0.0011672i,-1.8773e-05-0.00080175i,-0.00069826-0.0012906i,-0.00088526-0.0013252i,7.3207e-05-0.00024321i,0.00069682+0.00061438i,0.00049681+0.00051819i,0.00042414+0.00048501i,0.00013586+0.00095498i,-0.00054461+0.0011509i,-0.00051138+0.00046851i,0.00028925+0.00023659i,0.00057038+0.00016563i,-8.827e-05-0.00014077i,-0.00031215-0.00044166i,0.00044551+3.149e-05i,0.00061119+0.00045312i,0.00029753-0.00018879i,0.00018737-0.00014476i,-0.00042823+0.00060292i,-0.00056041+0.00037878i
0.00043241-0.00057329i,0.00064696-0.0012849i,-0.00018821-0.001454i,-0.00062084-0.0013026i,0.0002705-0.00035581i,0.001214+0.00098782i,0.0016417+0.00097591i,0.0011036+0.0003966i,0.00073298+9.5892e-05i,0.00011186+0.00024148i,-0.00030263-0.00020973i,-0.00012014+0.00013746i,0.00028241+0.00035171i,0.00081029+8.0888e-05i,0.00064793-0.00028795i,-0.00037215-0.00059675i,-0.00043811-5.8145e-05i,1.5344e-05+0.00018344i,-0.00038006+0.00043871i,-0.00032614+0.00058266i,0.00023915+0.00023276i,-0.00020061-0.00018387i,-0.00023242-0.00015197i
-0.0013387+0.0012427i,-0.00061602+0.000834i,0.00066917-1.8968e-05i,0.0020598-0.0012242i,0.0025902-0.0014781i,0.0014634-0.0011205i,0.00097274-0.00035442i,0.00057419+0.0006158i,-0.00037747+0.0011986i,-0.00085941+0.00096976i,-0.00053168+0.00037592i,-0.00032631-0.00012762i,-0.0005667-0.00042772i,5.9981e-05-0.0006584i,0.00053314-0.00039867i,-0.00018618-0.00018142i,-0.00011697-0.00022313i,9.4686e-06-0.00012851i,-0.00013794+0.00046799i,0.0004279+0.00052438i,0.00058684+0.00036785i,0.00035286+0.00035834i,-0.00074329-8.2915e-05i
-0.0017258+0.00079735i,-0.0017545+0.0010678i,-0.0013459+0.0018334i,-0.00062627+0.0021089i,0.00054157+0.00096235i,0.00098091+1.8027e-05i,0.00045196+5.5633e-05i,0.00072116-0.00016377i,0.0010659-0.00012995i,0.00043609+0.00038048i,-0.00028897+0.0010635i,-0.00090078+0.00066802i,-0.00097994-0.00065884i,-0.00026224-0.00042289i,0.00060429+0.00045391i,0.00058953+0.00017163i,-0.00035083+0.0001652i,-0.00090396-0.00029176i,-0.0007652+4.0221e-05i,-0.00045398+0.00050678i,0.00016835+0.00010776i,0.00021553-7.9773e-05i,-9.5497e-05+0.00019579i
-0.0017556-0.0021178i,-0.00094126-0.0013974i,-0.0011425-0.00063085i,-0.0018123+0.00124i,-0.0014407+0.0021859i,9.6705e-05+0.0015748i,0.00088916+0.00075626i,0.00093312+0.00037929i,0.00063445+0.00091606i,0.00022951+0.001147i,6.6834e-05+0.00068618i,-0.00025221+0.00097028i,-0.00025048+0.00048094i,-7.2324e-05-0.00074418i,0.000467-0.0007022i,0.0011624-7.6156e-05i,0.00054494-0.0001773i,-0.00063631-0.00097651i,-0.0013896-0.00066082i,-0.0014502+0.00038411i,-0.00054097+0.00075567i,0.00069892+0.00068779i,0.000641+0.00014927i
-0.0013823+0.00089996i,-0.00029067+0.0021926i,0.00040842+0.0026018i,0.0013102+0.00055328i,0.0021288-0.00028382i,0.0017231+0.00015116i,0.0010086+5.7981e-05i,0.00044414-0.00025254i,-0.00022558-0.00053136i,-0.00042239-0.00032593i,-0.00044359-0.00017686i,1.9225e-05-0.00010219i,0.00032935+0.00049226i,0.00020662+0.00062i,5.5076e-05-1.1811e-05i,-0.00031751-0.0003978i,-0.00037002-0.0002772i,-0.00032424+0.00028186i,-0.00037339+0.00047869i,-0.00021825+0.00049151i,4.0956e-05+0.00022453i,5.7617e-05-0.00029089i,-9.7604e-05+0.00030739i
-0.0010853+0.0012051i,0.00016173+0.0016775i,0.00049338+0.0013895i,0.00059719+0.00057357i,0.0019758+0.00028312i,0.001847-8.2507e-05i,0.00056211-0.00040661i,-0.00019891-0.00069492i,-0.00019416+7.5344e-05i,-0.00027904+0.00021466i,-3.4461e-05-0.00020145i,-9.5525e-05-2.1446e-05i,0.00011811-0.0002502i,0.00046509-0.00034932i,-0.00029582+0.00024366i,-0.00037871+0.00034868i,-1.8882e-05+0.00010014i,-0.0005953-0.00015925i,-0.0009977-0.00064686i,-0.00056504-0.00048824i,0.00014636-1.7311e-05i,0.00057061-0.00014392i,0.00022455+0.0005224i
-0.0020401+0.00088369i,-0.0017977+0.00031296i,-0.00095837+0.0014017i,0.00024123+0.0020415i,0.00051835+0.00074045i,0.00023488-0.00086148i,0.00066824-0.0012768i,0.0001182-0.0013267i,-0.00068797-0.00053954i,-0.00042334+0.00065068i,5.3073e-05+0.00028126i,0.00031264-0.00010733i,0.00039211+0.00013935i,0.00077707+0.0002492i,0.0011477-9.4335e-05i,0.0010667-0.00023278i,0.00061308+0.00060767i,0.00024367+0.00083805i,-0.00010114-5.7494e-05i,-0.00068729+1.9137e-05i,-7.7858e-05+0.00030899i,0.00076809+0.00044593i,0.00091344+0.00026868i
0.0033464-4.3491e-05i,0.0023807+3.5482e-05i,0.0015961-0.001696i,0.00087412-0.0028159i,-0.00028339-0.0032846i,0.00027872-0.0021063i,0.0011265-0.00012861i,0.0008678+0.00018906i,-7.5499e-05-0.00016606i,-0.0005858+0.00040114i,-0.0010589+0.0011476i,-0.0012085+0.00077048i,-0.00089909+0.00083147i,-0.00058684+0.0012553i,0.00020776+0.0011989i,0.00064225+0.00094876i,0.00078914+0.00055138i,0.00092824+0.00055056i,0.00047829+0.00050049i,-0.00030102+8.0001e-05i,-0.00042849+0.00068859i,0.0001619+0.00093148i,0.00030891+0.00046874i
-0.0022982-0.00081858i,-0.0012132-0.00095415i,0.00024534-0.00035225i,0.00077195-0.00042661i,0.0010143-0.0006311i,0.0007326+0.00018089i,-6.0267e-05+0.00079707i,-1.7474e-05+0.00077445i,-8.4912e-05+0.00089216i,-0.00076231+0.0016016i,0.000176+0.0013908i,0.00029968+0.00047066i,-0.00027024-0.00052467i,0.00013896-0.00079811i,0.00051302-0.00023515i,0.00040983-0.00019502i,0.0001448-0.00042002i,-0.00011491-0.00036814i,3.4229e-05+7.3941e-05i,0.00038584+0.00016134i,0.00028472-6.0834e-05i,7.8768e-05-0.00048928i,0.0005495-0.00082038i
0.00050848+0.0017627i,0.00058723+0.0020585i,0.00061038+0.002144i,0.001949+0.0014683i,0.0024792+0.00029782i,0.0011701-0.00079762i,0.00040025-0.0010867i,0.00033152-0.00090119i,-0.0005294-0.0008904i,-0.00061732-0.00019551i,1.472e-05+0.00030128i,0.00057106+0.00029395i,0.0002765+0.00084786i,-0.00067765+0.00064743i,-0.00076132-0.00014263i,-0.00040499-0.00042709i,-0.0001473-0.0003853i,-0.00014375+9.2517e-06i,-0.00087858-8.7607e-05i,-0.0010294-0.00013021i,-0.00031578+0.00014487i,0.00048634-7.642e-05i,0.00066194+0.00019097i
-0.00055823+0.00075962i,-0.001333+0.00026167i,-0.0015412-0.00014639i,-0.00050286-0.00061613i,0.00038956-0.00042033i,0.0010118-0.00021335i,0.00050976-0.00029888i,-0.00048579-0.00048788i,-0.00077849-0.00035257i,-0.0004238-0.00015165i,0.00056422-0.00040842i,0.00097536-0.00038552i,0.0005295-0.00012876i,0.0004422-0.00019316i,0.00034363-0.00025092i,9.5437e-05-5.1602e-05i,0.00037511+0.00035135i,0.00029796+0.0007199i,-0.00028955+0.00051773i,-0.00035707-8.2158e-05i,6.2727e-05-0.0010687i,0.00030052-0.0013313i,3.516e-05-0.00037664i
