-0.0020231+0.0010112i,-0.00024891+0.0002944i,-0.00085851-0.00013717i,-0.00053131+0.00019054i,2.9897e-07+0.001392i,-0.00039428+0.0012822i,-0.00077908+0.0013402i,-0.00036862+0.0020916i,-0.00010743+0.0015285i,-1.4107e-05+0.00058946i,4.9572e-05+8.9811e-05i,-0.00047339-0.0003308i,-0.00078549-0.00047057i,-0.00073999-0.00091869i,-0.00093672-0.00044912i,-0.0010625+0.00051683i,-0.0004665+0.00051107i,1.6981e-05+0.00018248i,-0.00021606-0.00035758i,-0.00060752-0.0010455i,0.00032732-0.00089174i,0.00089391-0.00020889i,-0.00021449+0.00022766i
-0.00031558-0.00094601i,0.00017595-0.00010092i,0.00032072+0.00091262i,0.00082393+0.0016673i,0.0010255+0.0018953i,4.3429e-05+0.00059411i,-0.00065581-0.00039575i,-0.0010165-3.9273e-05i,-0.0012957+0.00030197i,-0.00088816+0.00049232i,-0.0003094+0.00074382i,-0.00029496-0.00030951i,0.00012615-0.00071103i,0.00098416+4.7316e-05i,0.00036589+0.00043653i,0.00019054+0.00060429i,0.00043585+0.0006919i,0.00020646+4.0702e-05i,-0.0001731-0.00033929i,-0.0005292-7.0949e-05i,-0.00059732-0.00029591i,-0.00041829-0.0003349i,9.9313e-05+2.4232e-05i
0.0006568+0.0019179i,0.00099238+0.00087602i,0.00098419+0.0008515i,0.0012359+0.00011887i,0.0019287-0.0010282i,0.00096988-0.0016372i,-0.00048903-0.001237i,-0.0003753-0.00052244i,0.00044594+0.0002815i,0.00055691+2.6235e-05i,0.00024415-0.0002449i,0.00012924+0.00033227i,-0.00070575+0.00071698i,-0.0016096+0.00087049i,-0.00071198+0.00092333i,0.00044907+0.00069708i,0.0013096+0.00018991i,0.00092979+0.00029877i,-0.00011553+0.00093992i,-0.00019776+0.00053021i,-0.00015353+9.4882e-05i,-0.00018976+0.00024794i,-0.00069038-0.00044111i
0.00096493+0.0013366i,0.0022999+0.00079994i,0.0038181+0.00061992i,0.0032978+0.00068115i,0.0022672+0.00013566i,0.0013187-0.001029i,0.00011314-0.001443i,0.00058773-0.00084447i,0.0013139-4.2543e-05i,0.00074502-0.00017969i,0.00017265-0.00032654i,-0.00033192-0.00077206i,-1.4079e-05-0.0010439i,0.00074908-0.00089385i,0.00079768-0.00028054i,0.00038718+0.00052429i,2.1545e-05+0.00045695i,5.1026e-05+0.00057826i,-0.00013538+0.00066884i,0.0004872+5.753e-05i,-1.9147e-05-0.00033249i,-0.00055626-0.0001002i,0.0003346+0.00021407i
-0.00072399-0.00060981i,-0.00085698+0.00054947i,-0.00019085+0.00031766i,0.00033098-0.00044218i,0.00035504-0.00019064i,-3.8522e-05-0.00015287i,-0.00059371-0.00028348i,-0.0001769+7.6828e-05i,4.6413e-05-0.00038766i,0.00020485-0.00057221i,7.1602e-05-9.7759e-05i,-0.00025798+0.00017143i,-0.0001129+0.00010633i,0.00055184-2.4995e-05i,0.00026471-4.9643e-05i,-0.00052441+0.00015769i,-0.00028857+0.00060543i,1.1763e-05+0.00010781i,0.00031163-0.0001192i,0.00050722+0.00025762i,-0.00053223+0.0011239i,-0.0010028+0.0016427i,-0.00035821+0.00064617i
-5.1195e-05+0.001026i,-0.00038403+0.00062395i,-0.00054312+0.0010178i,-0.00034076+0.001214i,0.00021184+0.0010324i,0.00025172+0.00044457i,-6.0742e-05-0.00032393i,0.00024768-0.00094816i,0.00045741-0.001096i,-5.7317e-05-0.00093209i,9.6527e-05-0.0013931i,0.00062847-0.0010515i,-3.742e-05-0.0005181i,-0.00031346-0.00025098i,-0.00012059+7.2144e-05i,-0.00057384-4.078e-05i,-0.00041403+0.00054764i,0.00050213+0.00059442i,0.0007968+0.00046706i,0.00014909+0.00010851i,-0.0003746-0.0004008i,-0.00028722-0.0003517i,0.00030405-0.0003652i
0.00014524-0.0021872i,0.0001135-0.0010569i,-0.0011939-0.00042659i,-0.0022029-5.0061e-06i,-0.0016262-4.7826e-05i,-0.00019314+0.00043874i,0.00011218+0.0001233i,0.00026221-0.00043978i,0.00066998-0.00060091i,-0.00034239-0.00074757i,-0.00091867+3.6996e-05i,0.0004988+0.00017414i,0.0012715+6.6628e-05i,0.00036738+0.0002529i,-0.00012111+6.2396e-05i,-0.00014977+0.00033379i,0.00033507+0.00056574i,5.1307e-05+0.00077533i,2.4531e-05+0.00039188i,6.196e-05-9.5787e-05i,-0.00082006-0.00024402i,-0.00083332-0.00044727i,0.00020867-0.00066256i
0.00091293-3.6956e-05i,0.00028061+4.7837e-05i,0.00021246+0.00018702i,0.00044912-0.00035138i,0.00055134-0.00037829i,0.00041897-0.00033483i,-0.00043161-0.00063221i,-0.0013951-0.00044393i,-0.00096221+1.4071e-06i,0.00017117-0.00012119i,0.00048389-0.00035003i,5.4649e-05+0.00029601i,0.0001165+0.00052566i,0.00015634+0.00068987i,-0.00028013+0.00076622i,-0.00050714+0.0003329i,0.00011877+0.00022466i,0.00027591+6.3281e-05i,-0.00015286-0.00019106i,-0.00049088-4.9199e-05i,-0.00056657-0.00011606i,-0.00030807-0.0001798i,5.8632e-05+0.00022446i
-0.00072647-0.00061751i,-0.0014328-7.2718e-05i,9.95e-05+0.0010708i,0.0011751+0.0010464i,0.0006442+0.0011277i,-0.00014805+0.00026501i,0.00032515-0.00041996i,0.00090856+0.00039146i,0.0011766+0.00066692i,0.0006049+0.00012209i,-0.00022128-0.00029482i,-0.00012952-5.083e-05i,-0.00071215+0.00028471i,-0.0010691+5.8239e-05i,-0.0002693-0.00041516i,0.00048708-0.00073116i,0.00038134+0.00010108i,-0.00017716+0.00069496i,2.2963e-05+0.0007333i,0.00047102-3.3825e-05i,0.00028301-0.00089916i,-0.00034776-0.00097156i,-0.00069845-0.00053054i
0.00025464-7.8325e-05i,0.00044732+0.00015403i,-0.00045254-0.00022173i,8.0582e-05+0.00034228i,0.00035933+0.00070475i,-0.00046529+0.00033542i,-0.00095461-3.3392e-05i,-0.0012552+6.4107e-06i,-0.0020341+4.6735e-05i,-0.0013697+0.00043564i,-0.00029148+0.00053911i,-0.00022214+0.00027211i,0.00044173+4.294e-05i,0.00076998-0.00033584i,0.00059393+0.0001251i,4.0732e-05+0.00044165i,-0.00037935-6.3943e-05i,0.00056242-0.00032409i,0.00053091-0.00013417i,-0.00027993+0.00011762i,-0.0001857-0.00034224i,-0.00025282-0.0006637i,-0.00021554-0.00015716i
0.0004963+3.4204e-05i,-0.00035547+0.00038962i,-0.0003465-0.00022236i,0.00071723-0.00020991i,0.00081169+7.8607e-07i,-5.2499e-05+0.00033043i,-0.001002+0.00022173i,-0.00047266+0.0002361i,-0.00016631+0.00048787i,-3.3039e-05+0.00033155i,0.00027791-0.00010122i,0.00024949+5.7904e-05i,-4.9821e-08+0.00084564i,0.00037058-0.00017608i,0.00037205-0.00092956i,0.00014418-0.00059289i,0.00028329-0.00042837i,0.00052993+0.00032962i,0.00032231+0.00068658i,-0.000143+0.00076939i,-0.00030635+0.00031509i,-5.6833e-05-0.00053873i,0.00073393-0.00090171i
0.00055169-0.00037854i,-0.00068205-0.0005505i,-0.001005-0.00070682i,-0.00016743-0.00048263i,5.1854e-05-0.00042645i,-4.3385e-05-0.000939i,-0.00021376-0.0010345i,0.00010698+4.9164e-06i,-0.00010344+0.00042989i,-0.00044022-0.00012179i,0.0002332-0.00087026i,0.00068992-0.0012029i,-0.00011819-0.00082288i,-0.00045626+0.00020512i,-0.00072195+0.00022331i,-0.00098381-3.8441e-06i,-0.00022184+0.00021961i,-0.0003937+0.00049986i,-0.0007546+0.00045301i,-5.8292e-05+0.00048733i,0.00058906+0.00084455i,0.00028343+0.00018378i,-0.00011444-0.00054731i
0.00015498+0.0010735i,0.0011315+0.00023135i,0.0010547+0.00050547i,0.00080981+0.0013924i,0.00050861+0.00097421i,-0.00042909-3.3185e-05i,-0.00011056-0.00023086i,0.00076413-2.4801e-05i,0.00037845+0.00036151i,-0.00015764+0.00037498i,-0.00010575+0.00037471i,-0.0001015+0.0003322i,-0.00031177+0.00022309i,3.3911e-05-0.00054989i,0.00076704-0.00054166i,0.00037302+0.00087568i,-0.00010472+0.0011963i,-0.00023925+0.00078199i,-0.001048+0.00011021i,-0.00137-0.00025209i,-0.00055729+0.00024021i,-0.00014791-0.00014295i,-0.0006778-0.00055275i
0.00029135+0.00010272i,7.7669e-06+5.3779e-05i,-0.00038715-1.2232e-05i,0.00015125-0.00013121i,0.00079277+0.00074404i,0.00088255+0.0011426i,0.0004046+0.0010103i,-0.0003771+0.0008739i,-0.00013002+6.8275e-05i,-3.052e-05-0.0007448i,-0.00054976-0.00095626i,-0.0006447-0.00058276i,-0.00025397+0.00019323i,0.00040689+5.7431e-05i,0.00018492-0.00043515i,0.00024185-0.00019587i,0.00040122-0.00012417i,-0.00042394-0.00030594i,-0.00039885-0.00033953i,-0.00026721+0.00039897i,-0.00065618+0.00028672i,-0.00084499+0.00012726i,-0.00063965+0.00026144i
-0.00055565+0.0014463i,-0.00028485+0.0022322i,7.5815e-05+0.0021588i,0.00065629+0.0018666i,0.0012613+0.0013131i,0.0013868-0.00014746i,3.9734e-06-0.00097076i,-0.00046722-0.0005862i,0.00045764-8.7521e-05i,0.00028262+0.00027677i,-0.00070679-0.00023915i,-0.0011126-7.8328e-05i,-0.0010064-0.00039363i,-0.00082729-0.0004203i,-0.00055983+0.00038285i,-0.00013939+0.00027285i,1.7167e-05-8.9121e-05i,-0.00015039-0.00042805i,1.7345e-05-0.00052836i,0.00035676-0.00041478i,-0.0002876-0.00021498i,-0.00041451-7.0515e-05i,-0.00038857+0.00013933i
0.00063305+0.0014381i,-0.00028261+0.0012211i,3.5209e-05+0.0010643i,0.00068076+0.0011526i,0.0010711+0.0009276i,0.0014461-0.00027282i,0.00051744-0.00077163i,-0.00071395-0.00044723i,-0.00098853-0.00082241i,-0.00020252-0.001252i,-0.00011819-0.00083723i,-0.00036576-0.00058978i,-0.00077739-0.0004524i,-0.00091572+0.00017206i,-0.0003849+0.00038441i,-0.00013631+0.00015277i,0.00011102+0.00058296i,0.0007256+0.00074672i,0.0010779+0.00010082i,0.00035076+1.699e-05i,-0.00061449-0.00028213i,-5.8345e-05-0.00059625i,0.00086172-0.00020374i
0.00043461-0.00083957i,0.00030042-0.0003762i,-0.00039993-0.00026118i,-0.0006886-2.6155e-05i,-0.00027947+1.2377e-05i,0.00052902+0.00039273i,0.00089432+0.00081286i,0.00050602+0.00069488i,-0.00035897+0.00023426i,-0.00078699+7.203e-05i,-0.0004147+0.00020942i,-0.00011097+0.00064298i,-1.6368e-05+0.00010505i,-0.00010301-0.00058096i,-0.00040175+1.6538e-05i,-0.00016402+0.00078436i,0.00081613+0.0010693i,0.0011668+0.00078005i,0.00048521+0.0004164i,0.00052421+0.00028307i,0.0010133+0.0001091i,0.00023808+5.2335e-05i,9.9274e-05-0.00017578i
0.00086303-0.00054445i,0.0010553+8.5358e-05i,0.0011224+0.0016523i,0.0016239+0.0020198i,0.0012965+0.0010511i,0.00062921-6.5542e-07i,0.00054395-0.00015577i,0.00082665-0.00021839i,0.00049593-0.00042017i,-7.8888e-05-0.00045347i,9.8054e-05-0.00055568i,-5.4986e-05-0.00063821i,-0.00039966-0.00034314i,-0.00019284+0.00031709i,-0.00023898+0.00065696i,-0.00016739+0.00056763i,-0.00037034+0.00066571i,-0.00044988+0.00033373i,-0.00039928-0.00035788i,-0.00050593-0.0006122i,-0.00058492-0.0011132i,-0.00011373-0.0010847i,5.26e-05-0.00070485i
0.0010824-0.00083092i,0.00049024-0.001026i,-9.7807e-05-0.00061086i,-6.7502e-05+0.0003509i,-0.00033099+0.00025798i,-0.00077849-0.00033213i,-0.00066313+0.00038337i,0.00017396+0.00038567i,0.00031566-5.3438e-05i,9.1619e-05+0.00022348i,0.00073769+0.00060418i,0.00086647+0.00083088i,0.00025831+0.0006576i,8.8811e-05+0.00011435i,9.6841e-05-0.00012391i,0.00048871+0.00046273i,0.00070587+0.00095498i,0.00055374+0.00080376i,-2.7257e-05+5.4116e-05i,-0.00055459-0.00061244i,-0.0001212-0.00088366i,0.00040443-0.0012469i,6.9054e-05-0.00050089i
0.00038321+0.00093167i,0.0004908+0.00076145i,0.0011601+0.00059842i,0.00097691-0.00026874i,0.00072713-0.00098059i,0.00052042-0.00057091i,0.00048206-0.00026904i,0.00056343+0.00036679i,0.00058322+0.00054196i,0.0003146+0.000761i,-0.00026528+0.00071833i,6.2941e-05-0.00023017i,0.00041071-0.00051375i,-0.00012229+0.00037498i,-0.00033014+0.00080829i,4.9724e-05-7.3397e-05i,0.00039925-0.00054075i,0.00047989-0.00012568i,-9.4949e-05-0.00033669i,-0.00028266-0.00027545i,-0.00018451+0.0004912i,-0.00030487+0.00064082i,0.0003305-0.0001204i
0.00053826+0.0011995i,0.00051009+0.0011893i,0.0010747+0.0021113i,0.0017248+0.0019433i,0.0022036+0.00029353i,0.00135-0.00087083i,0.00023327-0.00068327i,-6.2815e-05-0.00037671i,0.00022425-0.00020924i,-2.9206e-05-0.00031475i,-0.00041832-0.00044144i,-0.0008048-0.00022825i,-0.00091746+0.00024965i,-0.00045727+0.00014658i,0.00013306-0.00071732i,0.0005995-0.00052804i,0.0002791-9.7809e-05i,0.00034696+0.00041014i,8.5288e-05+0.0011783i,-7.4663e-05+0.0010061i,-2.4321e-05+0.00091293i,0.00012672+0.00075938i,0.00057135+0.00044292i
-0.00037918-0.00022381i,0.00035237+0.00049318i,0.00076823+0.0020302i,0.001044+0.0018413i,0.0012794-0.00021788i,0.00094241-0.0013262i,-0.00012296-0.001202i,-0.00030922-0.00057617i,8.2169e-05-0.00023458i,9.7426e-05-6.9875e-05i,7.6818e-05-0.00018767i,-1.4895e-05-0.00047161i,-0.00045571-0.00020967i,-0.00068423+0.00048257i,-0.00074187+0.0010908i,-0.00070282+0.0016264i,-9.085e-05+0.0012309i,-1.9168e-05-0.00025431i,-0.00019488-0.0006008i,0.0002407-4.0993e-05i,-3.0275e-05+0.00025748i,-0.00046008-3.4496e-05i,0.00038948-0.00048923i
-0.0006962+3.3555e-05i,-0.00056506+0.0011138i,-0.00088972+0.0023242i,-0.0011349+0.002593i,-0.00035911+0.0015221i,0.00095204+0.0009382i,0.00094604-5.463e-05i,0.00053092-0.00056989i,9.4697e-05-0.00077989i,-0.00073593-0.00075388i,-0.00071811-0.00019798i,0.00048981-0.00019132i,0.00061688-0.00010625i,-0.00033755-4.7491e-05i,-0.00081946+0.00032281i,-0.000993+0.00081109i,-0.00094731+0.00049559i,-0.00075162-0.00015849i,-0.00059082-0.00012728i,2.0007e-05-0.00045442i,0.00055113-0.00049044i,0.00085221-0.00056059i,0.00018991-0.00039234i
0.00014151+0.000811i,0.00010765+0.00052395i,0.00040335+0.00051552i,0.00077714-7.7585e-05i,0.0012844-0.00076117i,0.00097558-0.00048317i,0.0003031-0.00035059i,1.5422e-05-0.000106i,-0.00028833+0.00077991i,-7.2518e-05+0.00083972i,0.00016675+0.00049768i,-0.00015017+0.00013822i,-0.00049475+0.0003689i,-0.00038014+0.00023151i,-0.00044841-0.00013875i,0.00040699-0.00043096i,0.00046405-3.67e-05i,0.00014588+6.7169e-06i,0.00018349-0.00077071i,0.00015998-0.0013768i,0.00057401-0.00083998i,0.00056779+0.0001641i,-1.2003e-05+0.0003266i
-0.00072155+0.0012717i,-0.00043599+0.0012582i,0.00012564+0.00093716i,0.0009755+0.00066615i,0.0013907+0.00020262i,0.00093268-0.0013822i,-0.00025484-0.0015633i,-0.00042802+6.0154e-05i,0.00012189+0.0013269i,0.00021661+0.0015463i,0.000127+0.00056578i,-3.5812e-05-0.00035561i,-0.00041657-0.00029602i,-0.00048778-0.00015611i,-0.00045713+0.00022491i,-0.00035389+0.000852i,-0.00040764+0.00075374i,-0.00069255+0.00064597i,-0.00028028+0.00073941i,0.00031269+0.00032846i,0.00072536+0.00010691i,0.00063395+0.00083587i,0.00048344+0.00090959i
0.00062023+0.00037019i,0.00065962+0.00046242i,0.0003523+0.00055053i,-0.00017745+0.0005498i,-0.0004392+0.00081101i,-0.0008052+0.0008527i,-0.0018249+0.00063585i,-0.0014221+0.0002174i,-0.00015882+0.00013128i,-0.00021782+0.00068303i,-0.00073635+0.00070492i,-0.0007902+0.0005366i,-0.00092138+0.00045736i,-0.00065553+0.00028349i,-0.00044777+0.00011228i,-0.0010111+0.00050214i,-0.00099224-0.00016811i,0.00031078-0.0011177i,0.00054426-0.0011151i,0.00017243-0.0010981i,1.2547e-05+9.2883e-05i,-0.0005956+0.00050421i,-0.00018903-0.00023314i
0.00015253-0.00023393i,0.00077042-0.00032219i,0.0014357-0.00062131i,0.0015212+0.00014038i,0.0011017+0.00080969i,0.00061346+0.00018717i,1.2126e-05-0.00035212i,-0.00040449-5.742e-05i,-0.00024357-7.084e-05i,2.869e-05-0.00030387i,-0.0001835+0.00015938i,-0.00034422+0.00030394i,-0.00043344+0.00031244i,5.7363e-05+0.00046591i,0.00061694+0.00074239i,0.00079588+0.00083995i,0.00042717+0.00022105i,-0.00071053-0.00025285i,-0.0011433-4.0277e-05i,-0.00064468-7.577e-06i,8.4216e-05-0.00038947i,0.00039093-0.00035097i,0.00018605-0.00036474i
0.00042283-0.00050244i,0.00082082+0.0010741i,0.00090771+0.0011413i,0.00047156-0.00042015i,-6.7698e-06-0.001632i,-4.2124e-05-0.00094928i,-0.00033718-0.00091458i,-0.00072011-0.00081628i,-0.00066788-0.00053072i,-0.00073525+0.0001606i,-0.0010526+0.00017902i,-0.00026981-3.4523e-05i,-0.00021683+0.00076819i,0.0001701+0.0010214i,0.00017459+0.00062715i,-9.0645e-05+0.00056694i,0.00049299+0.00051018i,0.0001629+0.00033768i,-0.00075757+0.00034339i,-0.0010375+0.00025228i,-0.0013796-4.9988e-05i,-0.0013659-0.00036056i,9.3553e-05-0.00023987i
0.00062111+0.0024918i,0.0010122+0.0013648i,0.0013853-0.00029306i,0.0015258-0.00093988i,0.0022086-0.00072463i,0.0011647-0.00028149i,-0.00068495+0.00036288i,-0.0012929+0.00064455i,-0.00039392+2.0824e-05i,0.00020036-0.00061156i,-0.00024265-0.00083544i,-2.6263e-05-0.00015001i,-2.3467e-05+9.3511e-05i,-0.00052344+0.00015191i,9.7161e-05+0.00035616i,0.00032963+0.00069407i,-0.00015578+0.00045637i,-0.00037122+0.00013411i,-0.0011351+0.00019451i,-0.001046-0.00070242i,5.5284e-05-0.0011907i,0.00010578-0.00081676i,-7.4269e-05-0.00015661i
-0.0010406+0.00017776i,-0.0021989+8.4477e-05i,-0.0014964+0.00076713i,0.001285+0.0013968i,0.0028509+0.0011554i,0.0028206-0.00068796i,0.0014808-0.0015046i,0.00024741-0.00086034i,-6.8967e-05-0.00038109i,0.00048003+0.00016853i,0.00026125+0.00025258i,-0.00067421-8.0901e-05i,-0.00036465-0.00031068i,-0.00043086-0.00011251i,-0.00066173-7.3409e-05i,0.00055272+2.4012e-05i,0.0014452+0.00041574i,0.00098042+0.00085648i,0.00048569+0.00043826i,0.00071907-0.00018701i,0.00087377-0.00049173i,0.00041854-0.00044903i,0.00020654-0.00041241i
0.00068247-0.0011341i,0.00039018-0.0013234i,-0.00018226-0.0012422i,-0.00092634-0.00074319i,-0.00052194+0.00040697i,-0.00020822+0.00023185i,9.1589e-05-0.00048383i,0.00039224-0.00051678i,5.7908e-05-0.00076925i,-0.00053374-0.00026444i,-0.00085786+0.00012493i,-0.0013476-0.00082842i,-0.0011192-0.00090475i,0.00013086+6.8818e-05i,0.00041043+0.00023981i,-8.2576e-05-0.0002488i,0.0001355-0.00011932i,0.00057752+1.4613e-05i,0.00062689-0.00023255i,0.00072386-0.00014205i,1.5007e-05+5.8146e-05i,-0.0005122+0.00056703i,-1.8756e-05+0.0010344i
0.00063646+0.00051806i,-0.00025586+0.00068113i,0.00013071+0.00035279i,0.00017403+0.00016577i,-0.00059336-0.00042654i,-0.0012587-0.0012064i,-0.00055689-0.0011171i,4.5161e-05-0.00048917i,-0.00050605-0.00020824i,-7.524e-05-0.00026414i,4.7956e-05-0.00040674i,-0.00054778-0.00012195i,-0.00081906+0.00026473i,-0.0010077+0.00023939i,-0.00025725+1.2778e-05i,0.00038372+0.00050329i,-0.0002588+0.001467i,-0.00085147+0.0020827i,-0.00026647+0.0014384i,9.7339e-05+0.00059007i,-0.00010664+0.00028205i,-0.00061483+0.00049473i,-0.00099757+0.00072542i
