-0.005031+0.00077634i,-0.0066874+0.00019726i,-0.0048567+0.00074674i,-0.0014192+0.0019205i,0.00048809+0.00072189i,8.5202e-05-0.00060229i,-0.00054924-0.0011477i,-0.0010528-0.00070504i,-0.00082805-0.00019471i,0.00057581+0.00018367i,0.00096108-0.00021854i,0.00066476-0.0004828i,0.0015618+0.0004411i,0.0025804+0.00091794i,0.0021795+0.00087543i,0.00086747+0.00071515i,-0.00010424+0.00080858i,-0.00049308+0.00077395i,-0.0008461-5.035e-05i,-0.0012888-0.00012241i,-0.0014006+0.00072596i,-0.00075867+0.00059024i,-0.00040481+0.00041685i
0.0016067+0.003558i,0.0013015+0.0044802i,0.0011014+0.0039795i,0.00062815+0.0032695i,0.00091674+0.0038046i,0.0016885+0.0047495i,0.0013555+0.0041285i,0.00096799+0.0021427i,0.00022635-0.00048137i,-0.00043981-0.0014923i,-0.00018848-0.0013152i,-0.00037159-0.0015574i,6.892e-05-0.001294i,0.00070092-0.0011624i,0.0011466-0.0013226i,0.0012768-0.0011537i,0.0008799-0.00044754i,-0.00018638+0.0010552i,-0.00091951+0.00096841i,-0.00049364+0.00017905i,-0.00016018+9.4412e-05i,9.1064e-05+7.2677e-05i,0.00028067+0.00029551i
0.0016807+0.0023656i,0.0010751+0.0053643i,-9.7299e-05+0.005222i,0.00085269+0.0022341i,0.001351+0.00044818i,0.001408-0.00027363i,0.0013483-0.001214i,0.00059634-0.001731i,-0.00028662-0.0011407i,-0.00083193+0.00013475i,-0.00061978+0.0012644i,-0.0007325+0.0012181i,-0.00075798+0.00037161i,0.00043469-0.00028911i,0.0011182-0.00059633i,0.0010022-0.00034809i,0.00046243-0.00036066i,-0.0002198-0.00026164i,8.5341e-05+0.00041497i,-1.3445e-05+0.00027019i,-0.00019811+1.0437e-06i,0.00022129+0.00060884i,0.00045846+0.00087897i
0.00051986-0.0027525i,0.0026716-0.00018489i,0.0005328+0.0030419i,-0.00047732+0.0031022i,0.00067733+0.002386i,0.0022777+0.0016434i,0.0032066+0.0002745i,0.0022277-0.0002642i,-0.00045238+0.00067448i,-0.00064633+0.0014932i,0.00055755+0.0013762i,0.0005295+0.0012204i,-0.00012932-0.00027863i,-0.00072128-0.0015721i,-0.00022926-0.0012141i,0.00038652-0.00053505i,0.00061526+0.00028222i,0.00061432+0.0010043i,-1.0357e-05+0.00049042i,-0.00096372+0.00017816i,-0.0013575+0.0003928i,-0.0014184+0.00064728i,-0.0014019+0.0010834i
-0.0059154-0.0072081i,-0.0066952-0.005025i,-0.0080721+2.3111e-05i,-0.0051887+0.0016072i,-0.001692+0.0016677i,0.0012111+0.0010855i,0.0019689-0.0017545i,-0.00030466-0.0026598i,-0.0017184-0.0011614i,-0.00088034+0.00083985i,0.00063499+0.0014659i,0.0016207+0.00044151i,0.0026713-0.0003209i,0.0035848+5.136e-05i,0.0033357+0.0012198i,0.0021155+0.0011891i,0.0011168+0.00063259i,0.00067913+0.00014089i,0.0001715-0.00088454i,-0.00069188-0.0015433i,-0.0017789-0.00096722i,-0.0025833+0.00033714i,-0.0016789+0.0012762i
-7.4719e-05+0.0027964i,2.2346e-05-0.0004482i,0.0024499-0.00258i,0.0014095-0.0029403i,-0.00087986-0.0039004i,-0.0028735-0.0028529i,-0.0024577-0.00049941i,-0.00059683+0.00058777i,0.00084902+0.0012453i,0.0022073-0.00040265i,0.001702-0.0019511i,-0.00066908-0.00177i,-0.0024596-0.00019405i,-0.0028191+0.0015773i,-0.0028059+0.0015368i,-0.0019932+5.8498e-05i,-0.00084756-0.0010092i,-0.0003916-0.00096611i,-0.00075748-0.00024891i,-0.00019617-0.00012552i,0.0014136+8.8759e-05i,0.00096301+0.0010021i,0.00010945+0.0012868i
-0.0038341+0.0083044i,-0.0037717+0.005796i,-2.2065e-05+0.0026627i,0.0015799+0.0014152i,0.0006619+0.00046737i,-0.0010292-0.00016832i,-0.0015435+0.00012565i,-7.8009e-05+0.00033779i,0.0014717+0.00058606i,0.0020653+0.00040199i,0.00081375-0.00084892i,-0.00027565-0.00083661i,-0.00070562-5.402e-05i,-0.00098061-0.00028239i,-0.00055498-0.00084176i,-0.00077354-0.0011667i,-0.00023918-0.00079553i,-5.7448e-05+9.8685e-05i,-0.00015152+0.00024436i,0.0001769+0.00017838i,0.00090737+0.00086733i,0.00062147+0.00083491i,-5.0695e-05-0.00013916i
0.0028904+0.0086483i,0.0018916+0.0081669i,0.00088444+0.004678i,0.00053723+0.0021888i,0.00037995+0.00084179i,-0.00056111-0.00055012i,-0.0011577-0.00029221i,-0.00077838+0.00052892i,0.00027757+0.00032629i,0.00015141-0.00054396i,-0.0010036-0.00046378i,-0.00073705+0.00011026i,0.00068278-0.00083399i,0.00084925-0.0020224i,-0.00011901-0.0016411i,-0.00073352-0.0010362i,-0.00065575-0.00045763i,4.813e-05+0.00017671i,-0.00016876+0.00058487i,-0.0006899+0.00021149i,8.2294e-06-0.00044195i,0.00068163-0.00085703i,0.0012074-0.00077467i
0.0066553+0.0039871i,0.0047519+0.0075392i,0.0036078+0.0057354i,0.0028882+0.0011149i,0.0016578-0.00035468i,0.00022942+0.00078787i,-0.00029767+0.0016297i,-3.6983e-05+0.00054455i,3.9471e-05-0.00015544i,-5.7126e-05+0.00011003i,-0.00048471+0.00060789i,-0.00073882+0.0010245i,-0.00083453+0.00054754i,-0.0014824+0.00030644i,-0.0014954+0.00019159i,-0.00072346-0.00046811i,-0.00019882-0.00082507i,0.00033668-0.00029698i,0.00095599-6.8658e-05i,0.0013549-0.00034217i,0.00095002-0.00053147i,0.000309-0.00045108i,0.00032432-0.00061442i
0.0049636-0.0020938i,0.0064399+0.001693i,0.0045606+0.0041148i,0.0024954+0.002564i,0.0014621+0.0010513i,0.00080377+0.0012157i,0.0005111+0.0014899i,-0.00063284+0.0014942i,-0.0012543+0.0011063i,-0.00027525+0.0015504i,0.00035491+0.0012465i,-4.6679e-05-6.1325e-05i,-0.0011699-0.0013328i,-0.0022056-0.00087604i,-0.0021626+0.00047002i,-0.0012563+0.00073635i,-0.00054961+0.00025063i,-0.00021213-2.1912e-05i,-1.6446e-05-0.00032385i,0.00019129-0.00092141i,4.9987e-06-0.00078723i,7.4093e-05-0.00080122i,0.00025155-0.00083686i
