0.0016597+0.0029531i,0.00032037+0.0017275i,-0.0017185-1.1922e-05i,-0.0021126-0.00019318i,-0.0024432-0.00016205i,-0.0033762+0.001553i,-0.0022707+0.0026704i,0.00010994+0.002201i,0.0010515+0.0011111i,0.0004761-0.00033326i,-0.00032764-0.00017846i,-0.0009197+0.00070705i,-0.0011222+0.0014216i,-0.001032+0.001331i,-0.0010134+0.00053095i,-0.0013048+0.00048105i,-0.0015648+0.0004721i,-0.00063604+0.00089565i,0.00060329+0.00093378i,0.00053481+0.0004086i,0.00010146-0.00027664i,0.00021587-0.00079844i,-0.00037279-0.0010951i
-0.0011882+0.0029882i,-0.0020717+0.0031066i,-0.0014152+0.0021649i,-0.0005899+0.0010962i,-0.00056202+0.00010176i,-0.00067961-0.00024674i,-0.0004841+1.9872e-05i,-0.00031789-0.00023734i,-0.00041767-7.0725e-05i,0.00013153+0.00020009i,0.00089605-0.00026442i,0.00027543-0.00012989i,-0.00016235+0.00061977i,-0.0003996+0.00036226i,-0.00098551-0.00012289i,-0.00054865+0.00041437i,-3.4492e-05+0.00081824i,-6.1872e-06+0.00029257i,-0.00040188-0.00037598i,-0.00026537+0.0002083i,0.00034572+0.00090587i,0.00063998+0.00057489i,0.00042106+0.00053163i
-0.00055177+0.0026176i,-0.0009298+0.002579i,-0.00074398+0.0026239i,-0.00052674+0.0012915i,-5.5185e-05-0.00036117i,-0.0001334-0.00060717i,-0.0012034-0.00011306i,-0.0017892-0.00021103i,-0.0007371-8.2076e-05i,-0.00033178+3.1098e-05i,-0.00061902-0.00059511i,-0.00032378-0.001212i,-0.00028263-0.0010565i,-0.00016522-0.00085511i,-0.00017747-0.00078635i,-0.00055853-0.00095759i,-0.00065162-0.00061169i,-6.731e-05+0.00037479i,0.00048836+0.00013955i,0.00049135-0.00034368i,0.00041465-0.00020818i,-0.00010836+0.00048694i,-6.9069e-05+0.00044377i
-0.0012545+0.0027879i,-0.0010491+0.00387i,-0.00081662+0.0042669i,-0.00017966+0.0021884i,0.0013552+0.00025555i,0.0016075-6.0522e-05i,0.0005441-0.00080101i,-0.00050817-0.0010946i,-0.0013368-0.00049896i,-0.00074936+0.0007948i,0.00060397+0.0011221i,0.00073064+0.00074525i,0.00077165-7.7018e-05i,0.0011784-0.00061695i,0.00075247-0.00038947i,0.00019473-5.7462e-05i,0.00025668+0.00062857i,0.00044799+0.00065529i,0.00078787+0.00025577i,0.00056554+0.0003122i,-6.1361e-05+0.00048747i,0.00011857+0.00060559i,0.00082585+0.000569i
0.00068293+0.0022902i,-0.00091276+0.0020867i,-0.00097557+0.0024823i,4.7102e-05+0.0020058i,0.00044258+0.00044451i,-2.5616e-05-0.0013373i,-0.00048744-0.00081598i,-0.00026+0.00060788i,-0.0008465+0.00063927i,-0.00070548+0.00023978i,-0.00023007-0.00058054i,-0.00037145-0.0015286i,-9.8507e-05-0.0012075i,-0.00023125-0.00020734i,-0.00077318-0.00016091i,-0.00038484-0.00059944i,-3.236e-06-6.6176e-05i,-0.00075064+0.00059238i,-0.00051579+0.00096194i,-0.00015115+0.00098039i,-0.00023404+0.00069198i,0.00027434+0.00029759i,-2.5072e-06-9.3713e-05i
3.5415e-05+0.0020543i,-0.001242+0.0032061i,-0.00060264+0.0035924i,0.0002146+0.0032184i,0.00038952+0.0015555i,-0.00021102+0.00057822i,-0.0011572+0.00043898i,-0.0005473+0.00042013i,0.00011225+0.0006791i,-0.00013742+0.00027991i,0.00017704-0.00024848i,0.00060311-0.00039406i,6.2758e-05-0.00059267i,4.2259e-06-0.00088956i,0.00055988-0.0011998i,0.00031506-0.0010393i,1.7265e-05-0.00058521i,-0.00011887+6.6942e-06i,-0.00067211+3.9166e-05i,-0.00063815+0.00071082i,0.00027907+0.0011028i,0.00058038+0.00026963i,-1.3766e-05-1.2199e-05i
0.00074038+0.0032692i,-0.00047431+0.0022101i,-0.0020559+0.0018925i,-0.0011708+0.001186i,-0.00056522-4.5607e-05i,-0.00056263-0.00039034i,-0.0004041-0.00051503i,-0.00066896-0.00059855i,-0.00045596-3.1843e-06i,-0.00035613+0.00034602i,-0.00029079+0.00045445i,-0.00072373+0.00076328i,-0.0013708+0.00088506i,-0.0013482+0.0008345i,-0.00057712-0.00016973i,-0.0008993-0.00086221i,-0.00087943-0.00099094i,0.00036651-0.00043696i,0.00025823+0.00019488i,-0.00069572-0.0001625i,-0.00057766-0.00085091i,-0.00016787-0.00061407i,-0.00035623+0.00015818i
0.00037633+0.0022896i,-0.00066827+0.0032406i,-0.00029391+0.001263i,0.00043505-0.00037756i,-0.00034327+0.00028404i,-0.001215+0.00053209i,-0.00028409+0.00031519i,0.000455+0.00027814i,0.0010668-0.00021805i,0.00090895-0.00028818i,0.00079032-0.00052123i,0.00025322-0.0011427i,-0.00058851-0.00018907i,-0.00084625+0.00039917i,-0.0011096-0.00044524i,-0.00026923-0.00072311i,0.00039559-0.00029372i,0.00024431-0.00028342i,5.7942e-05+2.8616e-05i,-0.00025792+0.00014763i,3.6556e-05+5.2358e-05i,-0.00023347+9.7798e-05i,-0.0010559+0.00081775i
0.00098895-1.0761e-05i,0.00030469+0.00090332i,-0.00061482+0.0012952i,-0.00061674+0.0011638i,-0.00050273+0.00090328i,-0.00061568+0.00066404i,-0.00045146+0.00072132i,-9.2349e-05+0.00024174i,1.0314e-05-0.00028191i,9.565e-05-0.00061701i,0.00020362-0.00049299i,0.00016975+0.00057454i,-0.00016675+0.00095259i,-0.000228+0.00047147i,0.00052105+0.00011778i,0.00090489-5.3663e-05i,0.00035856+0.00035782i,-0.000377+5.2702e-06i,8.6241e-05+0.00016614i,0.00028404+0.00051241i,-0.00027685+0.00042035i,-0.00029887+0.00049233i,-0.00012635+0.00011518i
-0.00088641+0.0023216i,-0.0025337+0.0014816i,-0.0027809+0.0011612i,-0.0010468+0.00053182i,-9.6915e-05-0.00014474i,-1.4507e-05-0.00040875i,-0.00055696-0.0013943i,-0.0004485-0.0021002i,-0.00038826-0.0012451i,-0.00069369-0.00068833i,-0.00039016-0.00065552i,-0.0002784-0.00030325i,-0.00016096-3.9831e-05i,0.00023366+3.0679e-05i,0.0001786-0.00072927i,-0.00015229-0.0010895i,-0.00020833+0.00013008i,-0.00014657+0.0010389i,-0.00021412+0.0011468i,-0.00042406+5.291e-05i,-0.00053351-0.00075352i,-0.00019406-0.0010288i,0.00047354-0.00083501i
0.0013971+0.0043026i,0.00068303+0.0028764i,0.001537+0.0013918i,0.002069+0.000207i,0.0013848-0.00028249i,-0.00037734-0.00083612i,-0.0011382-0.00068324i,-0.0010908+0.00021915i,-0.00032089+0.00049081i,-0.0001751+0.00020922i,-0.00071742+2.5326e-05i,-0.00096688-0.00013822i,-0.0010073+3.465e-06i,-0.0015387+0.0005302i,-0.0017887+5.219e-05i,-0.00082932-0.00044852i,-8.8595e-06-3.7705e-05i,0.0001169+0.00045876i,0.00020535+0.00057017i,3.9572e-05+0.00064304i,2.8097e-05+0.00087446i,0.00022188+0.0004306i,-0.00061958+7.4276e-05i
-0.0012209+0.00088399i,-0.0018104+0.0010621i,-0.0018742+0.0020052i,-0.0017751+0.0021714i,-0.0014777+0.00070383i,-0.0011154+1.6425e-05i,-0.00030639+0.00038178i,0.00053281+0.0006415i,-3.773e-05+0.00099216i,5.9458e-05+0.00051806i,0.00070636+0.00018452i,0.00077098+0.0002665i,0.00064903+0.00033181i,0.0010118-0.00020742i,0.0012388-0.00055341i,0.00040895-0.00030081i,-0.00043983+0.00066322i,-0.00011857+0.00098251i,0.00078308+0.00051792i,0.0010024+0.00054818i,0.00051795+0.00045357i,0.00040727+1.9677e-05i,0.00039265+0.00023494i
0.00040133+0.0012815i,0.00063684+0.0011643i,0.00052081+0.0011623i,0.00023199+0.0010859i,-0.00023512+0.00080515i,-0.00053825+0.0003478i,-9.4533e-05+0.00016075i,1.1474e-05-0.00011934i,-0.00026251-0.00049227i,-0.00047053-0.00018218i,-0.00058977+0.00028172i,-0.0010268+1.7711e-05i,-0.001345-0.00064488i,-0.00074989-0.00082712i,-0.00019382-0.00045984i,-0.00024149-0.00048583i,-0.00073882+7.271e-05i,-0.001089+0.00050643i,-0.00058531+8.589e-05i,-0.00051987+0.00030561i,-0.001589+0.00060478i,-0.0019771+0.00041095i,-0.0012192+0.00035359i
0.0002856+0.0031639i,-0.0020141+0.0033094i,-0.0026157+0.0027933i,-0.00073914+0.0017288i,0.00075926+0.00074277i,0.00022677+0.00084664i,-0.00056927+0.00133i,-0.00045009+0.00084966i,-0.00018301-5.351e-05i,9.0816e-06-0.00060596i,-0.0003204-0.00038215i,-0.0011278+0.00043631i,-0.00080244+0.0008078i,-0.00047685+0.00067525i,-0.0011337+0.00054337i,-0.00066596-6.8251e-05i,0.00021944-0.00028524i,5.2795e-05+0.00044959i,-0.00015098+0.00078733i,0.00063566+0.00029548i,0.0005817-0.00030806i,-2.335e-05-0.00013949i,-0.00027793-0.00028801i
-0.00041121+0.0028544i,-0.0013689+0.0041651i,-0.0020017+0.0036187i,-0.0011373+0.0013872i,-0.00014035+0.0004316i,-0.00059879-0.00067202i,-0.0013181-0.0010641i,-0.00078355-0.00028194i,-0.00037386+0.00018526i,-1.8578e-06-0.00027912i,0.00034247-0.00060485i,0.00013396-0.00054233i,0.00042573-0.00073381i,0.00065571-0.0012333i,0.00083429-0.0012427i,0.00070985-0.00087312i,0.00041749-0.001032i,-0.0002675-0.0010878i,-0.00038695-0.0001763i,-0.00034921+0.00074537i,-9.9993e-05+0.00066152i,-0.00011426+0.00015031i,-0.00044616+0.00014173i
-0.0008232+0.0037928i,0.0003513+0.004583i,0.0014339+0.0027528i,0.0019379+0.0012729i,0.0013947+0.00024626i,0.00039452-0.0002656i,-0.00077836-0.00026576i,-0.0011476-0.0003492i,-0.00090649+0.0001015i,0.00011319+0.00041607i,0.00052766-0.00033846i,0.00027232-0.00032494i,-0.00012234-0.00036526i,-0.00012521-0.00040212i,-0.00052349-0.0001029i,-0.00055405-0.00028252i,-0.00044703+0.000162i,-0.00024646+0.00075402i,-5.686e-05+0.00045892i,9.3648e-05+0.00060048i,-0.00029599+0.0013646i,-0.00079291+0.0011258i,-0.00078056+5.037e-05i
0.00021309+0.0032251i,-0.00086775+0.0038557i,-0.00069188+0.0033229i,0.00046718+0.0021791i,0.00066007+0.00021331i,-0.00013129-0.00075743i,-0.00094528-0.00034548i,-0.0011765+2.0585e-05i,-0.00078742+0.00051633i,0.00013629+0.0010819i,0.00043111+0.00038479i,8.8986e-05-0.00043151i,-0.00011071+0.00021477i,-0.00052251-4.21e-05i,-0.00062658-0.0012085i,-6.0508e-05-0.00078696i,0.00042402-0.0001519i,-0.00030581-0.00024447i,-0.0006191-9.8834e-05i,-0.00011842+0.0005444i,0.00031334+0.00033299i,4.3793e-07-0.00060722i,0.00017818-0.0010466i
0.0011017+0.001736i,4.5281e-05+0.0020978i,-0.00070849+0.0011556i,-0.0013731+0.00027425i,-0.0012235+0.00068946i,-0.00086094+0.0009368i,-0.0011705+0.00090158i,-0.00036503+0.0014845i,2.1737e-05+0.0013302i,-7.4877e-05+4.5947e-05i,0.0002126-0.00047794i,0.00058903-0.00041352i,0.00046676-0.00024497i,0.00035523-0.00032287i,0.00060432-0.00072726i,-0.00020399-0.00058268i,-0.00079986-0.00021333i,0.00019867+0.00045729i,0.00036782+0.00067127i,3.8548e-05+0.00093149i,-0.00013192+0.0011436i,-0.00071489+0.0013206i,-0.0011589+0.0012474i
0.0020653+0.004285i,0.0020219+0.0040599i,0.0019667+0.0030798i,0.001918+0.001582i,0.0014466-0.00072184i,0.00028154-0.0019006i,-0.00013061-0.00042231i,-0.00041666+0.00096153i,-0.00061072+0.00056295i,-0.0012209-0.00045604i,-0.001415-0.00064i,-0.0013543-0.00058447i,-0.0012677-0.00099282i,-0.0008883-0.0014089i,-0.0010979-0.0015289i,-0.0016864-0.0011153i,-0.0010119-0.00073356i,0.00027641+0.000129i,0.00051356+0.00096221i,-0.00047084+0.00090016i,-0.00078996-0.00041482i,-0.00057463-0.00087068i,-0.00054965-0.0010079i
0.00077345+0.0031278i,-0.00058577+0.0028021i,-0.00076311+0.0019885i,-0.00069201+0.0014479i,-0.0010449-0.00082727i,-0.0010131-0.001169i,-0.00066527-0.00016452i,-0.00015727-0.00019691i,-0.00034903-0.00031166i,-0.00024098+0.00014282i,0.00020789+0.0010316i,0.00012018+0.0011426i,-0.00067653+0.00087727i,-0.0013501+0.00097268i,-0.0011087+0.00041021i,-0.00056146-0.00041925i,-0.00068494-0.00064434i,-0.00097858-0.00024721i,-0.0007039+0.00025865i,5.3892e-05-8.9556e-06i,-0.00029826+0.00050268i,-0.0011592+0.00038004i,-0.001273-0.00074181i
-0.00047017+0.0028937i,-0.001149+0.0030575i,-0.0013674+0.0028814i,-0.0014723+0.0020188i,0.00011471+0.00049951i,0.00012989+0.00049193i,-0.0011887+0.0006641i,-0.00093916+0.00021099i,-0.00078847-0.00046856i,-0.00028378-0.0012919i,0.00025245-0.00061369i,0.00029087+0.00023903i,-0.00030978+0.00015308i,-0.00039541-1.8404e-05i,-0.00010303-0.00050257i,-0.00057849-0.00084211i,-0.00056559-0.00060438i,-0.00033125-0.00046947i,-0.0001712-0.00022827i,0.00016062-0.000165i,-0.00095435-0.00024783i,-0.001386-0.00037349i,-0.00026207-4.8813e-05i
0.00069735+0.0022676i,0.0010612+0.0016694i,0.0014006+0.0012762i,0.0015275+0.00028831i,0.0010828-0.00089935i,0.00086312-0.0013331i,0.00068714-0.0010666i,-5.1614e-05-0.00056978i,0.00011392-0.00026275i,0.00027298-0.00010491i,-0.00024314-0.00057603i,-0.0011937+1.4395e-05i,-0.001353+0.00067581i,-0.00036693+0.00029277i,-0.00046119-1.802e-05i,-0.00025935-5.8963e-05i,-0.00011065+0.00010508i,-0.00066469+0.00039984i,-0.00093696+0.00022714i,-0.00049757-0.00020254i,0.00022442-0.00065766i,-6.9495e-05-0.00085726i,-0.00017832-9.9705e-05i
0.0008014+0.0042527i,7.9897e-06+0.004626i,-0.0006088+0.0052106i,0.00067022+0.0045982i,0.0015788+0.0022246i,0.00061229+0.00030909i,-0.00066257-0.00019234i,-0.00061935+0.00065485i,-7.7863e-05+0.0020421i,2.5923e-05+0.0016181i,5.592e-05-0.00019972i,1.7818e-05-0.00068973i,-6.8717e-05-0.00042261i,-0.00032377-0.00068545i,-0.0002445-0.0010816i,0.00013562-0.0012744i,0.00043471-0.00076804i,0.000582-0.00036593i,0.0010389-0.00036116i,0.00087646-4.2099e-05i,0.00078027+0.00037314i,0.00089501+0.00011104i,0.00054404+7.5637e-05i
0.0011952+0.0036185i,-0.00012637+0.0038035i,-0.0017879+0.0023888i,-0.0013175+0.0013436i,-0.00073795+0.0010832i,-0.0015386+0.00064987i,-0.0019442+0.00055513i,-0.0014248+0.00074524i,8.4876e-05+0.00052322i,0.00041775+0.00025802i,-0.00016479-5.5999e-05i,3.3283e-05-0.00058932i,0.0005165-0.00034375i,0.00070935+7.3034e-05i,0.00071889-0.00073657i,0.00038987-0.0013197i,-0.00024833-0.001024i,-0.00020056-0.00080969i,0.00044816-0.00041427i,0.00036141-0.00011129i,-0.00014324-0.00028268i,0.00043515-0.00020837i,0.00076497+0.00024668i
0.00073793+0.002791i,0.00063097+0.0018576i,0.0010965+0.0013653i,0.0013552+0.00043721i,0.00054934-0.00080555i,-0.00071892-0.0011799i,-0.0012301-0.00036855i,-0.0010825+0.00027507i,-0.00098668+0.00041324i,-0.0010401-8.5521e-05i,-0.00060023-0.00030599i,-0.00059069-0.00047426i,-0.00047175-0.00039184i,-0.00036767+0.00051402i,-0.00056578+0.00035402i,0.00014396-0.0001281i,0.00085711+0.00046516i,0.00059575+0.00063257i,0.00067609+0.00027865i,0.00054723+0.00069852i,0.00057813+0.00046477i,0.0011892-0.00039186i,0.0018289-0.00028519i
0.00061775+0.0019267i,-0.0007981+0.0024486i,-0.001953+0.0028315i,-0.0011247+0.0024193i,-0.00015509+0.0012286i,-0.00039505+0.00048707i,-0.00074713+0.00032701i,-0.00085593-6.0988e-05i,-0.001311-0.00045281i,-0.0011794+0.0001287i,-0.0007676+0.00042351i,-0.0004993+4.5429e-05i,-0.00023349+0.000386i,-0.00030283+0.00069103i,0.00011938-7.5239e-05i,-0.00017459+0.00020523i,-0.00058789+0.00060744i,-0.00038267+0.00018595i,-0.00022002+0.0005715i,-0.00029455+0.00084749i,-0.00070771+0.0002194i,-0.00076885+0.0002743i,-0.00022408+0.00064375i
-0.001697+0.0036605i,-0.0028828+0.0048624i,-0.0028349+0.0042417i,-0.00066766+0.0024043i,0.0013438+0.00080942i,0.0012902-9.3652e-05i,-0.00019198-0.0010812i,-0.0011522-0.00071028i,-0.00042732+8.6317e-05i,0.00046207+0.00063237i,0.00047735+0.00053921i,0.00071938-0.00027347i,0.00088543-0.00031216i,0.00026811-0.00066937i,-0.00013511-0.0010403i,0.00061099-0.00070834i,0.0012925-0.00016728i,0.00065803-9.5378e-05i,0.00054276-0.00069974i,-6.7442e-05-0.00047633i,-0.00038883+0.00052326i,6.3838e-05+0.0008116i,-0.00030203+0.00072732i
0.0013994+0.00045802i,-0.00092568+0.0011286i,-0.0024704+0.0010115i,-0.002275+0.0010009i,-0.0012569+0.0010797i,-0.00056282+0.0006692i,-0.00087992-0.00027614i,-0.00048081-0.00038887i,5.7411e-05-0.00029192i,-0.00013275-0.00069572i,-0.00014494-0.00030168i,-8.1175e-05+0.00082136i,-0.00016093+0.0007432i,0.00018506+0.00093713i,0.00075226+0.00057311i,0.00048127-0.00023649i,0.00051094-2.2935e-05i,0.00065461+9.8793e-05i,0.00065596-0.00020917i,0.0010107+7.6503e-07i,0.00050672+9.6862e-05i,-0.00023666+0.00016365i,-0.000534+0.00047576i
0.0011665+0.0013799i,0.0003727+0.0011044i,-0.0011496+0.0011235i,-0.0012499+0.0011899i,-0.00022237+0.0013255i,-0.00050448+0.0011178i,-0.0007028+0.00018489i,0.0001029+0.00025459i,-0.00045659+0.00068566i,-0.001251+0.00061476i,-0.0012857+0.0014577i,-0.00060071+0.0013876i,0.00028684+0.00046439i,0.00067602+0.00013171i,0.0010621+0.00071202i,0.00072402+0.0011337i,0.00058007+0.0010902i,0.00065386+0.0004046i,0.00074121-0.00011079i,0.00045817+0.00027963i,-0.00011653+0.00043037i,-0.00049776+0.0005167i,-0.00052204+0.00033529i
-0.0018322+0.0023871i,-0.0022261+0.0028604i,-0.0025353+0.0030449i,-0.0024612+0.002711i,-0.0016669+0.0015125i,-0.00050346+0.00075425i,-0.0002261+0.00025184i,-0.00099923-0.00022953i,-0.0011736-0.00046934i,-0.0008348-0.00019311i,-3.0735e-05+2.7038e-05i,-0.00039198+0.00028129i,-0.00045759-0.00014987i,0.00032056-0.00066477i,-0.00027958-0.00032634i,-0.00082184-0.00039725i,-0.00099887-0.00069175i,-0.00086034-0.00064433i,0.00013281-0.00047781i,0.00049975-0.0004228i,0.00032723-0.00059021i,-0.00016235-0.0009525i,-0.0007679-0.00041492i
-0.0011044+0.0019216i,-0.0017371+0.0014498i,-0.0017354+0.0013742i,-0.0020388+0.00064249i,-0.0016379-0.00081626i,-0.00047633-0.0016802i,-7.7091e-05-0.0009718i,-8.3136e-05-0.00022649i,-0.00032469+0.00041153i,-0.00023737+0.00065865i,0.00017085+0.00045801i,0.00060729+0.00078262i,0.00049898+0.00045863i,-9.6284e-05-0.00029781i,-0.00055674-0.00070834i,-0.00080898-0.00013289i,-0.00061305+0.00078595i,-0.00061829+0.00084597i,-0.00046954+0.00036435i,-0.00035155-3.1102e-05i,-0.00021989+7.93e-05i,0.00010926+0.00035206i,-0.00012942+0.00051659i
-0.00083809+0.0014373i,-0.0024975+0.001101i,-0.0037389+0.0019627i,-0.0025899+0.002337i,-0.00027135+0.0018351i,0.00044801+0.00077424i,4.4601e-05+0.00021113i,-0.00026088-0.00039106i,-0.00011668-0.00032669i,-0.00028487+0.00061708i,-0.0009438+0.00046851i,-0.00090066+0.00023745i,-8.8376e-05+0.00026524i,0.00081236-0.00025164i,0.0010975-0.00058147i,-0.00023021-0.00056205i,-0.001078+0.00014529i,-0.00042737+0.00070375i,0.00016342+0.00054464i,0.00010805-0.00019426i,-0.00065989-0.00031816i,-0.0014218-0.00022827i,-0.0013131-0.00082781i
