-0.002622+0.001005i,-0.0013267+0.00063637i,-0.0016592+0.0011801i,-0.0006168+0.0014712i,0.00025601+0.0014263i,-0.00057221+0.0012298i,-0.0015191+0.00095594i,-0.00076257+0.001374i,0.00069131+0.00108i,0.001187+0.00020604i,0.00072213-6.9492e-05i,0.00075242-0.00027221i,0.00072495-0.0007275i,-0.00033426-0.0006084i,-0.0012912-0.00018385i,-0.0009949-0.00020123i,-0.00027296-0.00069443i,-3.0039e-05-0.0010692i,0.00022329-0.00088055i,-4.1261e-05-0.00027684i,-7.0304e-05-0.0002906i,0.00051325-0.00067988i,0.00047323-0.00067879i
0.0022261-0.001141i,0.0027646-0.0014602i,0.0025876-0.0010525i,0.0013345-0.00061768i,-0.00025093-0.00029368i,-0.0012043-0.0004051i,-0.00040691-0.00034267i,3.0245e-05+0.00051353i,7.0802e-05+0.00041885i,0.00068046-0.00032704i,0.00039099+9.5054e-05i,-0.0005396+0.00098422i,-0.001274+0.00037292i,-0.001321-6.8415e-05i,-0.00078354+0.00031922i,-0.00013775+0.00037871i,-0.00015041+0.00056207i,-0.00016525+0.00015952i,0.00047912-0.00081455i,-5.7353e-05-0.0013905i,-0.00050175-0.00053767i,0.00028136+0.00013112i,0.00060386-0.00020687i
0.003133-0.0013946i,0.0029089-0.00037281i,0.001918-0.00048887i,0.0012163-0.00061032i,0.00020899-0.00086037i,-0.00065985-0.0012672i,-0.001157-0.00066908i,-0.00065802-0.00045943i,0.00026007-0.0014593i,0.00037303-0.0013406i,0.00032407-0.00014473i,-0.00039986+0.00080079i,-0.0013306+0.00072081i,-0.0013953+0.00055973i,-0.0010355+0.00051729i,-0.00074512+0.00013831i,-0.00021686+0.0004079i,-4.0363e-05+0.00076838i,-0.0010717+0.00015826i,-0.0012073-0.00029364i,-0.0004931+4.928e-05i,-0.0005815+0.0004117i,-0.00090744+0.00024366i
4.6679e-05-0.00099413i,-0.0006872-0.00096597i,-0.0010629-0.0014222i,-0.00039604-0.00063847i,0.0016372+0.00031862i,0.001395+0.00087282i,0.00024597+0.00070436i,0.00043249+0.00021051i,0.00056296+0.00028696i,0.0005157+0.00031729i,0.00045242+0.00031817i,-0.00041788+0.00067172i,-0.00097029+0.00073417i,-0.00049198+0.00054542i,-0.00021883+0.00034989i,-0.00054703+0.00043408i,-0.00043978+5.4195e-05i,-0.00027905+0.0002017i,-0.00033151+0.00062513i,-0.00094629+3.5995e-05i,-0.0010481-0.0007275i,-2.8673e-05-0.0008718i,-0.00035514-0.00056568i
0.00070608-0.0023701i,0.00064222-0.0031531i,0.0010876-0.0034916i,0.00089616-0.0016659i,0.000624-0.00015408i,8.4336e-05-5.3932e-05i,0.00037715-0.00093591i,0.0005747-0.0014991i,0.00027468-0.00097842i,-0.0002271-0.00078528i,-0.00033805-0.00099583i,7.2386e-05-0.00034029i,0.00046349+0.00020249i,0.00022914+0.00045198i,-3.6905e-05+0.00058287i,0.00059866+0.00069283i,0.00053046+0.0011976i,0.00029815+0.00087093i,-0.00031722+0.00083002i,-0.0010708+0.0012501i,-0.0010838+0.0012447i,-0.00053964+0.00046706i,-0.00021646-8.6828e-05i
-0.0019369+0.0012918i,-0.0014598+0.0027247i,-0.0013664+0.0020958i,-0.00074731+0.0011122i,0.00032529+0.0012996i,0.00042591+0.0012491i,0.00032663+0.0011158i,0.00019819+0.00080931i,-0.00047967+0.00079189i,-0.00072455+0.0013223i,5.7625e-05+0.0003126i,0.0013608-0.0016957i,0.0018624-0.0024704i,0.0010612-0.0016643i,0.00062055-0.00077201i,0.00038653-0.00043188i,-0.00035193-0.00011371i,-0.00039466-0.00048199i,-4.6672e-05-0.00063035i,-0.00030636-0.00012056i,-0.00068068+0.00010281i,-0.00059107+0.00033276i,-0.00024574+0.00045577i
-0.00050915+0.0023776i,-0.0012278+0.0014459i,0.00093584+0.0015731i,0.0025254+0.0020718i,0.0022188+0.00046817i,0.00056096-0.00059643i,-0.00052061-0.00051658i,-0.00028272-0.00058608i,0.00036242-0.001138i,0.0011071-0.0015821i,0.0015657-0.0016482i,0.00039056-0.0014119i,-0.00076948-0.00075702i,-0.0010815-0.00011223i,-0.00085877+2.5291e-05i,-0.00034852-0.00014877i,-0.00023077+0.00043579i,-0.00032372+0.00081646i,-0.00044226+0.00027077i,-0.00074542-0.00019904i,-0.00059669+0.00017488i,-0.00059426-0.00021819i,-0.00096053-0.0003007i
-0.0013843+0.0013583i,0.00012722+0.00086437i,0.0010397+0.0026456i,0.0008023+0.0023574i,0.0010151+0.00027406i,0.0011318-0.00076485i,0.00097964-0.00067013i,0.00034051-0.00041834i,-0.00040354-0.00012454i,-0.00029696+0.00019522i,0.00065969+0.00090773i,0.00092579+0.0012291i,0.00067881+0.00049747i,0.0007632-0.00060266i,0.00064511-0.00033307i,-0.00055071+0.00010248i,-0.0010644+0.00046375i,-0.00090865+0.00060826i,-0.00025877-0.00010746i,-0.00020547-0.00051136i,-0.00043389-0.00063545i,7.8147e-05-0.00057808i,0.00048301+0.00010084i
0.0012565-0.0035859i,-0.00018147-0.0025973i,-0.0018489-0.0022542i,-0.0020776-0.0018343i,-0.0017456-0.00065748i,-0.00094937+0.0010422i,-7.9575e-05+0.0012738i,2.2647e-05+0.0001686i,-0.00024795-0.00085608i,-0.00037248-0.0010423i,-0.00013176-0.00053308i,-0.000216+0.00014611i,-0.00056126+0.00056065i,-9.856e-05+0.00055398i,0.00026181+0.0010257i,-0.00035521+0.0010619i,-0.00044641+0.00036706i,-0.00056892-0.00020406i,-0.00039249-0.00058854i,0.0004418-0.00063467i,0.00044736+0.00022101i,-0.00049111+0.00086057i,-0.00048722+0.00013194i
-0.00011569-0.00050229i,-0.0010064-0.00086319i,-0.00053928-0.0011568i,0.0011364-0.0011621i,0.0019682-0.0010199i,0.0010984-0.00034406i,5.8573e-05+0.00059448i,0.00028714+0.00070413i,0.00042741+0.00016625i,0.0004999-0.00037637i,8.8455e-05-0.0016778i,-0.00063507-0.0012435i,-0.00097546+8.1021e-05i,-0.00069617+0.0002274i,-0.00021635-4.431e-05i,-0.00034228-0.00025526i,-0.0003138+0.00013811i,-0.00067858+0.00017393i,-0.0010029-0.00055508i,-0.00093147-0.0011107i,-0.0004017-0.00057129i,-0.00053826+0.00016918i,-0.00056076+0.0001134i
0.0017795-0.0016212i,0.0013099-0.0017144i,0.0011074-0.0020737i,0.00031423-0.0015943i,-0.00060946-0.0012573i,-0.00064165-0.00084176i,-0.00039417+0.00022432i,-0.00020792+0.00040561i,0.00050365-9.2499e-05i,0.0007518-0.00033278i,0.00030965-1.2976e-06i,-0.00037977+0.00040517i,-0.00098779-1.1736e-05i,-0.0011464+0.00027963i,-0.0011141+0.00096961i,-0.00065202+0.00082193i,-0.00032065+0.00061169i,-0.00070957+0.00077027i,-0.00051364+0.00014535i,0.00015772-0.00024642i,3.5444e-05-0.00072275i,-0.00057869-0.00063374i,-0.00070914-0.00032152i
0.00064094-0.0006252i,0.00044232-0.00021559i,0.00042464+0.00037666i,0.00051423+0.00069285i,0.0005291+0.00074415i,0.00050622+0.00045597i,0.00059466-0.00011541i,0.00070467-0.00027373i,0.0005582-0.00011136i,-9.4557e-05+0.00011283i,-7.8124e-05-7.7113e-05i,0.00038782-0.00055041i,8.3994e-05-0.00053736i,-0.00053743-0.0002944i,-0.00078288+0.00040417i,-0.00044253+0.00046199i,-0.00018372+0.00056254i,-0.00032932+0.00017087i,-0.00038118-9.0685e-05i,-0.00072166+4.8625e-05i,-0.00069279-0.00017347i,-0.00055263+0.00035165i,-0.00054396+0.0010425i
-0.0032715+0.0014119i,-0.0030062+0.0018133i,-0.0018758+0.0027131i,9.3342e-05+0.0031694i,0.0010657+0.0025343i,0.00083993+0.0012603i,0.00038084-6.4985e-05i,5.1363e-05-0.00047867i,-0.00016583-3.784e-05i,0.00067104+0.0011136i,0.0013123+0.00086026i,0.00069989-0.0010337i,0.00047939-0.0015083i,0.00031727-0.0010176i,-9.6798e-05-0.0006132i,-0.00097803-0.00023518i,-0.0010431-0.00064412i,0.00018508-0.001176i,0.00021797-0.0010554i,-9.1361e-07-0.00044689i,0.00017333-0.0002677i,-0.00010764+0.00029463i,-0.0005583+0.00064745i
0.0010835+0.00073813i,0.00084927+0.0010073i,0.0011199+0.0019252i,0.00057948+0.00116i,8.4405e-05+0.00022865i,-0.00015164+0.00028218i,-0.00052269+6.5211e-05i,-0.00096923-0.00067818i,-0.0003654-0.00012489i,-1.4977e-05+0.00090446i,-0.00018315+0.00030411i,-0.00026663-0.00106i,-0.00069933-0.0006389i,-0.00024311+0.0002179i,4.6825e-05+0.00082136i,-0.00043388+0.00089772i,-0.00032883+0.00047824i,-0.00017097+2.2651e-05i,-0.00031396+0.00024977i,-0.00041019-2.4094e-05i,-0.00048001-0.00032762i,-0.00079803+0.00012456i,-0.00086949-0.00024735i
-7.771e-05+6.3706e-05i,0.00071159-0.00022554i,0.00067779+0.000239i,0.001028+0.00082834i,0.0017371+0.00079651i,0.00089891-6.9481e-05i,-0.00036641-0.00026524i,-0.00089822-0.00011962i,-0.0012174-0.00063351i,-0.00079104-0.00045438i,4.3556e-05+9.7997e-06i,0.0010399+6.5297e-05i,0.00067829+0.00061411i,0.00029301+0.00045816i,-8.9035e-05-0.00044215i,-0.0010666-0.00056545i,-0.00077869+0.00014586i,-0.00031881+0.0004258i,9.0089e-05-0.00014992i,-0.00048112-0.0012098i,-0.0004255-0.00077905i,0.00082609+6.9861e-05i,0.00073706+0.00014342i
-0.00013898+0.0020725i,-0.00054659+0.0017641i,0.0002308+0.0015655i,0.0018758+0.0015463i,0.0023732+0.00080333i,0.0015719-2.4463e-07i,0.00085905+4.3416e-05i,0.00058861-0.00047272i,0.00020977-0.0011127i,0.00017735+2.4904e-05i,0.0010561+0.00075696i,0.001447+0.00017092i,0.00014294-0.00074246i,-0.000581-0.00057362i,-0.0007604-0.00064841i,-0.0010203-0.00092294i,-0.00054945-0.00055255i,-7.4869e-05-0.00080094i,0.00013449-0.00062065i,0.00049445-9.065e-05i,0.00081578-0.00013873i,0.00076733+0.00032999i,-0.00019246+0.00015003i
0.0003052+2.8398e-05i,-0.0007585+0.0011693i,-0.00028504+0.0013978i,0.0005731+0.00047769i,0.00083574+0.00033602i,0.00022512+2.4317e-05i,0.00033241-0.00052789i,0.00087532-0.00029249i,0.00098701+0.00020645i,0.00089301+0.00060458i,0.00013517+0.00016218i,-0.00056684-0.00091076i,-0.00068546-0.0013688i,8.1955e-05-2.4913e-05i,-0.0002866+0.00058066i,-0.00088517+0.00041717i,-0.00022111+0.00081397i,-0.00025855+0.00088536i,-0.00072628+0.00047819i,-0.00089409+0.00010788i,-0.0012191-0.00030888i,-0.0011888-0.00033941i,-0.0006151-0.0005894i
0.0018207-0.0015931i,0.0012543-0.0013772i,0.0005884-0.00084076i,0.0010246-0.00062165i,0.00078474-0.00087461i,6.3306e-05-0.0006824i,-8.0126e-06+0.00012639i,-0.00031243+0.00064039i,-0.00071158-2.6308e-05i,-0.00047223-0.00036001i,-6.5975e-05+8.8864e-06i,0.00024339+0.00031509i,0.00015519+0.00096133i,-0.00041016+0.00057908i,-0.00047027-0.00040156i,9.0533e-05-0.00034542i,0.00057837-0.00088122i,0.00079544-0.0010162i,0.00014133-0.00030664i,-0.0001499-0.00048058i,-3.4075e-05-5.2144e-05i,2.2095e-05+0.00011856i,-0.00015752-0.00018048i
0.00050697+0.0013971i,1.5569e-05+0.00011361i,0.00087734+0.00085503i,0.001805+0.0012786i,0.0011661-3.8215e-05i,0.00031398-0.00088396i,-0.00035991-0.00082531i,-0.00014407-0.00028728i,0.00021174-0.00014243i,0.00036254+7.261e-05i,0.00017018+0.00022067i,-0.00035903-0.00049988i,-0.00038184-0.00099871i,-0.00050136-0.0007555i,-0.00013455-0.00055995i,0.00063885+0.00017653i,0.00040677-0.00019153i,-2.7893e-05-0.00094642i,-0.00045362-0.0012654i,0.00016094-0.00091273i,0.00093802-0.00040975i,0.00054755-0.00025417i,-7.1996e-05-0.00058079i
0.00078505-0.0011947i,0.0006389-0.0011255i,0.00081016-0.001625i,0.0010255-0.0020183i,0.0011478-0.0012637i,0.00068252-0.0004095i,0.00050597-0.00027645i,0.00039183+0.00019007i,-0.00016946+0.00040001i,0.00028703+0.00028632i,-0.00027659+0.00044156i,-0.00088762+0.00017299i,-0.00098248-0.00010427i,-0.0014257+4.5165e-05i,-0.00081543+0.00021402i,-0.000733-0.00017456i,-0.0013451-2.1338e-05i,-0.0012328+9.3228e-05i,-0.00068076-0.00080868i,0.00020651-0.0010758i,0.00032894-0.00036757i,-5.9892e-05+0.00049343i,6.1825e-05+0.00058579i
-0.0019756-0.0032956i,-0.001506-0.0033467i,-0.0022298-0.001508i,-0.0021366+0.00025355i,-0.00094712+0.00025211i,-1.6216e-05-5.2403e-05i,0.00037746+0.00057731i,-0.00014117+0.00081741i,-0.00066332-3.5997e-05i,-0.00027532-2.5119e-05i,0.00030669+0.00046956i,0.00049553+0.00035186i,-8.5142e-05+0.0005509i,-0.00013674+0.00069549i,-0.00017195+0.00081184i,0.00024567+0.00056749i,0.00097824+0.00047638i,0.0005741-9.7842e-06i,0.00028864-0.00034481i,0.00022321-0.00040318i,-0.00010341-0.0009644i,-4.3938e-06-0.0010463i,0.00050285-0.0008326i
-0.0001309-0.0001867i,-0.00030952-2.384e-05i,0.00054074+0.00062792i,0.00071747+0.001076i,-0.00012279-9.0931e-05i,0.00032149-0.00097327i,8.8071e-05-0.00072173i,-0.00062267-0.0011553i,-0.0004128-0.0012638i,5.4021e-05-0.0011208i,0.0004775-0.0010789i,0.00033068-0.00020912i,3.1319e-05+0.00029333i,0.00077276-0.0001944i,0.00086341-0.00068979i,-0.00058836-4.894e-05i,-0.00076905+0.00066233i,-0.00025884-8.0642e-05i,-0.00089131-0.00064546i,-0.00093704-0.00034601i,-0.00043352+0.0002736i,-0.00049586+0.00033366i,-0.000641+0.0002984i
-0.0025843-0.00072164i,-0.0031301+0.00012362i,-0.0028958+0.00081817i,-0.00048588+0.0016558i,0.00058928+0.001355i,7.2e-05+0.00053445i,-0.00015906+4.045e-05i,-0.00023193-0.00022757i,-0.00056721-0.00068958i,-0.00076185-0.0015157i,-0.00041785-0.0013748i,3.3096e-05-4.147e-05i,-0.00026031+0.00033487i,-0.00032091-0.00014006i,-0.00044844-0.0001328i,-0.00083007+1.359e-05i,-0.00078771-1.0852e-05i,-0.00013327-0.00022259i,0.00045127-0.00025841i,-0.00027713-0.00043208i,-0.00073265-9.6871e-05i,-0.00070713+0.00068656i,-0.0005616+0.00046115i
0.0001909-0.0020327i,0.00038698-0.0020257i,0.00095531-0.00086003i,0.00052322+0.00031526i,-0.00025767+0.00057276i,-0.0002585-9.8929e-05i,-0.00059153-0.00079703i,-0.00044239-0.00085202i,-4.7464e-05-0.00075972i,0.00042787-0.00028691i,4.1273e-05+0.0003189i,-0.00062547-0.00033826i,-0.00061731-0.00012208i,-0.00035301+0.00049761i,0.00039384+0.00080069i,0.00090097+0.00057118i,0.00067053+0.00024155i,0.00016903-0.00031125i,-0.00050613-0.00099379i,-0.00045442-0.0007916i,0.00027196-0.00052545i,-0.00018539-0.00052729i,-0.00060987-0.00044192i
0.0010702-0.0012191i,0.00093723-0.0017566i,0.00036374-0.0015073i,5.5412e-06-0.0012682i,0.00025845-0.0010595i,-6.3218e-05-0.00063962i,-0.00018524-0.0001909i,0.00023901+0.00071537i,0.00030868+0.00069221i,-0.00026674-0.00056009i,-0.00023891-0.00083059i,-0.00019192+0.00011792i,-0.00086247+0.0008775i,-0.00038963+0.00058088i,-0.00025949-0.00025934i,0.00048655+4.3509e-05i,0.00079752+0.00076775i,0.00038608-7.0725e-05i,0.00035246-3.1194e-05i,-0.00023327+0.00064639i,-0.00081213+0.00045595i,-0.0011237+0.00026458i,-0.001046+0.00011418i
0.00037205+0.00041206i,0.00022386+0.00024796i,0.00055545+0.00095407i,0.00089368+0.00070996i,0.00099314-0.00029693i,0.00032357-0.00032597i,-8.217e-05-6.1599e-05i,-0.00010401+0.00014195i,-6.0686e-05+0.00031156i,9.4833e-05+0.00044749i,0.00027399+0.00093588i,3.9324e-05+0.00085483i,-0.00017752+0.00044088i,1.8539e-05+0.0003379i,-0.00063361+0.00033723i,-0.0011145+7.1072e-05i,-0.00056608-0.0002362i,-0.00025271+9.8825e-05i,-0.00036603-0.00023572i,-0.00048009+1.3553e-05i,-0.00024514+0.00083482i,-0.00031432+0.00049213i,-0.00080127+1.1965e-05i
-0.00046928+0.0018282i,8.8737e-05+0.0019589i,0.00065679+0.0025147i,0.0015827+0.0020429i,0.0018973+0.0012866i,0.00063766+0.00031098i,-0.00038616-7.9937e-05i,-7.4868e-05+0.00028494i,2.5351e-05+0.00047159i,0.00013238+0.00069369i,0.00052256+0.00045979i,0.00053618-0.00035126i,0.00028522-0.00054568i,8.5032e-05+0.00022354i,0.0002294+0.00083095i,-0.00012776+0.00041435i,-0.00068424+3.4484e-05i,-0.001093+0.00029819i,-0.00038483-0.00053834i,0.00094427-0.00073262i,0.00094749-0.00051159i,0.00046939-0.00088681i,0.00039889-0.000963i
-0.00099288-0.0014351i,-0.00075651-0.0011144i,-0.00064171+2.846e-05i,5.6744e-05+0.00040644i,0.00018182+6.9352e-05i,-0.00082737-0.00011413i,-0.001124-6.6902e-05i,-3.6955e-05+0.00024647i,0.00045714+0.00011575i,-2.0091e-05+0.00017804i,-0.0010194+0.00075752i,-0.00062157+0.00081741i,0.00032003+0.00065501i,-0.00017448+0.00084923i,-0.00033227+0.0013199i,-0.00022554+0.001216i,-0.00065121+0.00051246i,-0.00061674-0.00010462i,0.00061599-0.00060039i,0.00016035-0.00023014i,-0.00022009-6.9042e-05i,0.00015418-0.00058647i,0.00020784-0.00018363i
0.00096143-0.00061872i,0.00032889-0.00026091i,0.0012569+0.00017314i,0.003034+0.0014742i,0.0026698+0.0016144i,0.00084875+0.00046244i,-0.00036846-0.0003683i,-0.00073927-0.00027838i,-0.00074633-5.5204e-05i,-0.0012189+1.9726e-06i,-0.00076137-3.7621e-05i,-0.0005118-0.00036915i,-0.0011538-0.00044112i,-0.0013417-4.3388e-05i,-0.00097353-8.8748e-05i,-0.00079963-0.00017002i,-0.0009863-0.00044543i,-0.0010545+5.3017e-05i,-0.0012189-0.00020689i,-0.00064527-0.00087099i,0.00011086-0.0004872i,-0.00015284-0.00035178i,-0.00049883-9.9857e-06i
-0.0010931+6.6411e-05i,-0.00011038+3.6237e-06i,0.00072586-9.5338e-05i,0.0012587-0.00016052i,0.0011533-0.00043433i,-0.00016167-7.5851e-06i,-0.00054119+0.00012356i,-0.00064315+0.00034684i,-0.00028441+0.00091785i,0.00024809+0.00038919i,-0.00012167-0.00016578i,-0.0001531+0.00038454i,1.6994e-06+0.00079773i,0.0002261+6.5299e-05i,-0.00028333+0.00025879i,-0.00055566+0.00094696i,-6.9447e-05+0.00026319i,0.00030609+0.00010152i,0.00033074+0.00050065i,-0.00012925+0.00020173i,-3.0793e-05-0.00019359i,0.00016135+0.00018935i,-0.00010207-0.00017051i
